state,district,year,barley_rabi_yield_tonne_per_hectare
,,2002 - 2003,3.0
,,2003 - 2004,2.48
,,2004 - 2005,1.93
,,2005 - 2006,2.37
,,2006 - 2007,2.47
,,2007 - 2008,2.33
,,2008 - 2009,2.36
,,2009 - 2010,2.01
,,2010 - 2011,2.93
,,2011 - 2012,3.21
,,2012 - 2013,3.12
,,2013 - 2014,2.82
,,2014 - 2015,1.43
,,2015 - 2016,2.63
,,2016 - 2017,2.79
,,2017 - 2018,3.32
,,2018 - 2019,3.22
,,2019 - 2020,3.41
,,2020 - 2021,3.36
,,2021 - 2022,2.91
,,2022 - 2023,3.21
,Azamgarh,2000 - 2001,1.79
,,2001 - 2002,1.57
,,2002 - 2003,1.35
,,2003 - 2004,1.66
,,2004 - 2005,1.5
,,2005 - 2006,1.67
,,2006 - 2007,1.76
,,2007 - 2008,2.13
,,2008 - 2009,2.35
,,2009 - 2010,2.25
,,2010 - 2011,2.61
,,2011 - 2012,2.38
,,2012 - 2013,2.61
,,2013 - 2014,2.51
,,2014 - 2015,1.34
,,2015 - 2016,2.46
,,2016 - 2017,2.04
,,2017 - 2018,2.53
,,2018 - 2019,2.83
,,2019 - 2020,3.15
,,2020 - 2021,3.43
,,2021 - 2022,2.44
,,2022 - 2023,2.83
,Baghpat,2000 - 2001,3.24
,,2001 - 2002,3.2
,,2002 - 2003,2.92
,,2003 - 2004,2.53
,,2004 - 2005,2.78
,,2005 - 2006,2.82
,,2006 - 2007,3.68
,,2007 - 2008,3.01
,,2008 - 2009,3.59
,,2009 - 2010,3.48
,,2010 - 2011,3.4
,,2011 - 2012,3.84
,,2012 - 2013,2.66
,,2013 - 2014,3.58
,,2014 - 2015,3.0
,,2015 - 2016,3.49
,,2016 - 2017,3.48
,,2017 - 2018,3.97
,,2018 - 2019,4.21
,,2019 - 2020,4.01
,,2020 - 2021,3.92
,,2021 - 2022,4.01
,,2022 - 2023,3.26
,Bahraich,2000 - 2001,2.14
,,2001 - 2002,2.48
,,2002 - 2003,2.46
,,2003 - 2004,2.24
,,2004 - 2005,2.01
,,2005 - 2006,1.77
,,2006 - 2007,2.0
,,2007 - 2008,2.21
,,2008 - 2009,2.31
,,2009 - 2010,2.24
,,2010 - 2011,2.55
,,2011 - 2012,2.68
,,2012 - 2013,2.66
,,2013 - 2014,2.87
,,2014 - 2015,1.71
,,2015 - 2016,2.18
,,2016 - 2017,2.79
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,3.27
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Ballia,2000 - 2001,1.79
,,2001 - 2002,1.57
,,2002 - 2003,1.35
,,2003 - 2004,1.66
,,2004 - 2005,1.5
,,2005 - 2006,1.67
,,2006 - 2007,1.76
,,2007 - 2008,2.13
,,2008 - 2009,2.35
,,2009 - 2010,2.25
,,2010 - 2011,2.61
,,2011 - 2012,2.38
,,2012 - 2013,2.61
,,2013 - 2014,2.51
,,2014 - 2015,1.34
,,2015 - 2016,2.46
,,2016 - 2017,2.04
,,2017 - 2018,2.58
,,2018 - 2019,2.83
,,2019 - 2020,3.0
,,2020 - 2021,3.35
,,2021 - 2022,2.44
,,2022 - 2023,2.83
,Balrampur,2000 - 2001,2.14
,,2001 - 2002,2.48
,,2002 - 2003,2.46
,,2003 - 2004,2.24
,,2004 - 2005,2.01
,,2005 - 2006,1.77
,,2006 - 2007,2.0
,,2007 - 2008,2.21
,,2008 - 2009,2.31
,,2009 - 2010,2.24
,,2010 - 2011,2.55
,,2011 - 2012,2.69
,,2012 - 2013,2.66
,,2013 - 2014,2.87
,,2014 - 2015,1.71
,,2016 - 2017,2.8
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,3.27
,,2020 - 2021,3.13
,,2021 - 2022,3.04
,,2022 - 2023,3.07
,Banda,2000 - 2001,0.69
,,2001 - 2002,0.92
,,2002 - 2003,0.86
,,2003 - 2004,1.1
,,2004 - 2005,1.6
,,2005 - 2006,1.0
,,2006 - 2007,0.87
,,2007 - 2008,0.48
,,2008 - 2009,0.94
,,2009 - 2010,1.02
,,2010 - 2011,2.31
,,2011 - 2012,2.18
,,2012 - 2013,2.7
,,2013 - 2014,2.98
,,2014 - 2015,1.72
,,2015 - 2016,0.77
,,2016 - 2017,2.63
,,2017 - 2018,2.84
,,2018 - 2019,2.91
,,2019 - 2020,2.38
,,2020 - 2021,1.52
,,2021 - 2022,2.42
,,2022 - 2023,3.01
,Barabanki,2000 - 2001,2.14
,,2001 - 2002,2.38
,,2002 - 2003,2.44
,,2003 - 2004,2.28
,,2004 - 2005,2.04
,,2005 - 2006,1.83
,,2006 - 2007,2.09
,,2007 - 2008,1.84
,,2008 - 2009,2.25
,,2009 - 2010,2.15
,,2010 - 2011,2.24
,,2011 - 2012,2.63
,,2012 - 2013,2.68
,,2013 - 2014,2.89
,,2014 - 2015,1.71
,,2015 - 2016,2.18
,,2016 - 2017,2.77
,,2017 - 2018,2.85
,,2018 - 2019,3.05
,,2019 - 2020,3.08
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Bareilly,2000 - 2001,2.28
,,2001 - 2002,2.47
,,2002 - 2003,1.81
,,2003 - 2004,2.6
,,2004 - 2005,2.12
,,2005 - 2006,2.03
,,2006 - 2007,2.16
,,2007 - 2008,2.21
,,2008 - 2009,2.73
,,2009 - 2010,2.3
,,2010 - 2011,2.62
,,2011 - 2012,2.91
,,2012 - 2013,2.66
,,2013 - 2014,2.87
,,2014 - 2015,1.71
,,2015 - 2016,2.48
,,2016 - 2017,2.52
,,2017 - 2018,2.85
,,2018 - 2019,3.08
,,2019 - 2020,3.28
,,2020 - 2021,3.13
,,2021 - 2022,3.04
,,2022 - 2023,3.07
,Basti,2000 - 2001,2.35
,,2001 - 2002,2.66
,,2002 - 2003,2.47
,,2003 - 2004,2.29
,,2004 - 2005,2.03
,,2005 - 2006,2.0
,,2006 - 2007,2.11
,,2007 - 2008,2.2
,,2008 - 2009,2.19
,,2009 - 2010,2.29
,,2010 - 2011,2.6
,,2011 - 2012,2.69
,,2012 - 2013,2.67
,,2013 - 2014,2.89
,,2014 - 2015,1.73
,,2016 - 2017,2.79
,,2017 - 2018,2.84
,,2018 - 2019,3.07
,,2019 - 2020,3.29
,,2020 - 2021,3.13
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Bijnor,2000 - 2001,2.27
,,2001 - 2002,2.48
,,2002 - 2003,2.44
,,2003 - 2004,2.35
,,2004 - 2005,2.13
,,2005 - 2006,2.03
,,2006 - 2007,2.17
,,2007 - 2008,2.21
,,2008 - 2009,2.33
,,2009 - 2010,2.28
,,2010 - 2011,2.6
,,2011 - 2012,2.71
,,2012 - 2013,3.0
,,2013 - 2014,2.75
,,2014 - 2015,1.72
,,2015 - 2016,2.14
,,2016 - 2017,3.0
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,3.25
,,2020 - 2021,3.25
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Budaun,2000 - 2001,2.28
,,2001 - 2002,2.47
,,2002 - 2003,1.8
,,2003 - 2004,2.59
,,2004 - 2005,2.11
,,2005 - 2006,2.04
,,2006 - 2007,2.16
,,2007 - 2008,2.21
,,2008 - 2009,2.73
,,2009 - 2010,2.29
,,2010 - 2011,2.62
,,2011 - 2012,2.9
,,2012 - 2013,2.66
,,2013 - 2014,2.87
,,2014 - 2015,1.72
,,2015 - 2016,2.47
,,2016 - 2017,2.51
,,2017 - 2018,2.85
,,2018 - 2019,3.07
,,2019 - 2020,3.28
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Bulandshahr,2000 - 2001,3.22
,,2001 - 2002,4.0
,,2002 - 2003,4.14
,,2003 - 2004,3.2
,,2004 - 2005,2.78
,,2005 - 2006,2.83
,,2006 - 2007,3.6
,,2007 - 2008,3.01
,,2008 - 2009,3.59
,,2009 - 2010,3.48
,,2010 - 2011,3.39
,,2011 - 2012,3.81
,,2012 - 2013,2.67
,,2013 - 2014,3.59
,,2014 - 2015,3.0
,,2015 - 2016,3.49
,,2016 - 2017,3.48
,,2017 - 2018,3.96
,,2018 - 2019,4.21
,,2019 - 2020,4.01
,,2020 - 2021,3.93
,,2021 - 2022,4.01
,,2022 - 2023,3.26
,Chandauli,2000 - 2001,1.27
,,2001 - 2002,1.68
,,2002 - 2003,1.62
,,2003 - 2004,1.37
,,2004 - 2005,1.33
,,2005 - 2006,1.69
,,2006 - 2007,1.59
,,2007 - 2008,1.88
,,2008 - 2009,1.81
,,2009 - 2010,1.72
,,2010 - 2011,1.85
,,2011 - 2012,1.91
,,2012 - 2013,1.75
,,2013 - 2014,1.85
,,2014 - 2015,1.75
,,2015 - 2016,1.71
,,2016 - 2017,2.29
,,2017 - 2018,2.22
,,2018 - 2019,2.46
,,2019 - 2020,2.76
,,2020 - 2021,2.35
,,2021 - 2022,2.94
,,2022 - 2023,3.07
,Chitrakoot,2000 - 2001,0.71
,,2001 - 2002,0.92
,,2002 - 2003,1.06
,,2003 - 2004,1.15
,,2004 - 2005,1.6
,,2005 - 2006,1.14
,,2006 - 2007,0.84
,,2007 - 2008,0.48
,,2008 - 2009,1.17
,,2009 - 2010,1.13
,,2010 - 2011,2.31
,,2011 - 2012,2.18
,,2012 - 2013,2.7
,,2013 - 2014,2.97
,,2014 - 2015,1.72
,,2015 - 2016,0.77
,,2016 - 2017,2.63
,,2017 - 2018,3.29
,,2018 - 2019,3.16
,,2019 - 2020,2.36
,,2020 - 2021,3.12
,,2021 - 2022,2.71
,,2022 - 2023,2.7
,Deoria,2000 - 2001,1.28
,,2001 - 2002,2.2
,,2002 - 2003,1.54
,,2003 - 2004,1.86
,,2004 - 2005,1.93
,,2005 - 2006,1.03
,,2006 - 2007,1.95
,,2007 - 2008,2.37
,,2008 - 2009,2.34
,,2009 - 2010,2.3
,,2010 - 2011,2.65
,,2011 - 2012,2.74
,,2012 - 2013,2.75
,,2013 - 2014,3.04
,,2014 - 2015,1.82
,,2015 - 2016,2.2
,,2016 - 2017,3.45
,,2017 - 2018,3.26
,,2018 - 2019,3.17
,,2019 - 2020,3.28
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Etah,2000 - 2001,2.64
,,2001 - 2002,2.87
,,2002 - 2003,2.62
,,2003 - 2004,2.82
,,2004 - 2005,2.57
,,2005 - 2006,3.01
,,2006 - 2007,2.41
,,2007 - 2008,2.73
,,2008 - 2009,3.11
,,2009 - 2010,2.66
,,2010 - 2011,3.08
,,2011 - 2012,3.37
,,2012 - 2013,3.28
,,2013 - 2014,3.36
,,2014 - 2015,2.61
,,2015 - 2016,2.77
,,2016 - 2017,3.92
,,2017 - 2018,3.38
,,2018 - 2019,3.29
,,2019 - 2020,4.18
,,2020 - 2021,3.47
,,2021 - 2022,3.73
,,2022 - 2023,3.44
,Etawah,2000 - 2001,2.2
,,2001 - 2002,2.37
,,2002 - 2003,3.0
,,2003 - 2004,2.48
,,2004 - 2005,1.93
,,2005 - 2006,2.37
,,2006 - 2007,2.47
,,2007 - 2008,2.33
,,2008 - 2009,2.36
,,2009 - 2010,2.01
,,2010 - 2011,2.93
,,2011 - 2012,3.21
,,2012 - 2013,3.12
,,2013 - 2014,2.82
,,2014 - 2015,1.43
,,2015 - 2016,2.62
,,2016 - 2017,2.79
,,2017 - 2018,3.67
,,2018 - 2019,3.22
,,2019 - 2020,3.44
,,2020 - 2021,3.34
,,2021 - 2022,2.91
,,2022 - 2023,3.22
,Faizabad,2000 - 2001,2.15
,,2001 - 2002,2.38
,,2002 - 2003,2.44
,,2003 - 2004,2.28
,,2004 - 2005,2.04
,,2005 - 2006,1.86
,,2006 - 2007,2.08
,,2007 - 2008,1.84
,,2008 - 2009,2.25
,,2009 - 2010,2.16
,,2010 - 2011,2.24
,,2011 - 2012,2.62
,,2012 - 2013,2.67
,,2013 - 2014,2.9
,,2014 - 2015,1.72
,,2015 - 2016,2.18
,,2016 - 2017,2.77
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,3.22
,,2020 - 2021,3.13
,,2021 - 2022,3.04
,,2022 - 2023,3.07
,Farrukhabad,2000 - 2001,2.2
,,2001 - 2002,2.37
,,2002 - 2003,3.0
,,2003 - 2004,2.48
,,2004 - 2005,1.93
,,2005 - 2006,2.37
,,2006 - 2007,2.47
,,2007 - 2008,2.33
,,2008 - 2009,2.36
,,2009 - 2010,2.01
,,2010 - 2011,2.93
,,2011 - 2012,3.21
,,2012 - 2013,3.12
,,2013 - 2014,2.82
,,2014 - 2015,1.43
,,2015 - 2016,2.63
,,2016 - 2017,2.79
,,2017 - 2018,2.96
,,2018 - 2019,3.22
,,2019 - 2020,3.42
,,2020 - 2021,3.37
,,2021 - 2022,2.91
,,2022 - 2023,3.21
,Fatehpur,2000 - 2001,0.91
,,2001 - 2002,1.63
,,2002 - 2003,1.32
,,2003 - 2004,1.04
,,2004 - 2005,1.22
,,2005 - 2006,1.42
,,2006 - 2007,0.93
,,2007 - 2008,0.98
,,2008 - 2009,0.85
,,2009 - 2010,0.77
,,2010 - 2011,1.2
,,2011 - 2012,0.98
,,2012 - 2013,2.76
,,2013 - 2014,3.35
,,2014 - 2015,1.46
,,2015 - 2016,2.66
,,2016 - 2017,2.63
,,2017 - 2018,2.92
,,2018 - 2019,3.28
,,2019 - 2020,3.31
,,2020 - 2021,3.32
,,2021 - 2022,3.36
,,2022 - 2023,2.59
,Firozabad,2000 - 2001,2.61
,,2001 - 2002,3.15
,,2002 - 2003,3.34
,,2003 - 2004,3.26
,,2004 - 2005,2.69
,,2005 - 2006,2.9
,,2006 - 2007,2.82
,,2007 - 2008,2.65
,,2008 - 2009,2.95
,,2009 - 2010,3.0
,,2010 - 2011,3.33
,,2011 - 2012,3.31
,,2012 - 2013,3.25
,,2013 - 2014,3.38
,,2014 - 2015,1.84
,,2015 - 2016,2.72
,,2016 - 2017,3.42
,,2017 - 2018,3.17
,,2018 - 2019,3.58
,,2019 - 2020,3.67
,,2020 - 2021,3.75
,,2021 - 2022,3.09
,,2022 - 2023,3.48
,Gautam buddha nagar,2000 - 2001,3.24
,,2001 - 2002,3.2
,,2002 - 2003,2.92
,,2003 - 2004,2.53
,,2004 - 2005,2.78
,,2005 - 2006,2.83
,,2006 - 2007,3.68
,,2007 - 2008,3.01
,,2008 - 2009,3.59
,,2009 - 2010,3.48
,,2010 - 2011,3.39
,,2011 - 2012,3.84
,,2012 - 2013,2.67
,,2013 - 2014,3.6
,,2014 - 2015,3.0
,,2015 - 2016,3.49
,,2016 - 2017,3.48
,,2017 - 2018,3.96
,,2018 - 2019,4.21
,,2019 - 2020,4.01
,,2020 - 2021,3.93
,,2021 - 2022,4.01
,,2022 - 2023,3.26
,Ghaziabad,2000 - 2001,3.24
,,2001 - 2002,3.2
,,2002 - 2003,2.92
,,2003 - 2004,2.53
,,2004 - 2005,2.78
,,2005 - 2006,2.83
,,2006 - 2007,3.68
,,2007 - 2008,3.01
,,2008 - 2009,3.59
,,2009 - 2010,3.48
,,2010 - 2011,3.39
,,2011 - 2012,3.84
,,2012 - 2013,2.67
,,2013 - 2014,3.6
,,2014 - 2015,3.0
,,2016 - 2017,3.48
,,2017 - 2018,3.96
,,2018 - 2019,4.22
,,2019 - 2020,4.0
,,2020 - 2021,3.93
,,2021 - 2022,4.01
,,2022 - 2023,3.26
,Ghazipur,2000 - 2001,1.27
,,2001 - 2002,1.68
,,2002 - 2003,1.62
,,2003 - 2004,1.47
,,2004 - 2005,1.33
,,2005 - 2006,1.91
,,2006 - 2007,1.59
,,2007 - 2008,1.92
,,2008 - 2009,1.81
,,2009 - 2010,1.82
,,2010 - 2011,1.84
,,2011 - 2012,2.06
,,2012 - 2013,1.79
,,2013 - 2014,2.12
,,2014 - 2015,1.67
,,2015 - 2016,1.75
,,2016 - 2017,2.17
,,2017 - 2018,2.22
,,2018 - 2019,2.51
,,2019 - 2020,2.81
,,2020 - 2021,2.32
,,2021 - 2022,2.94
,,2022 - 2023,3.07
,Gonda,2000 - 2001,2.14
,,2001 - 2002,2.48
,,2002 - 2003,2.46
,,2003 - 2004,2.24
,,2004 - 2005,2.01
,,2005 - 2006,1.77
,,2006 - 2007,2.01
,,2007 - 2008,2.21
,,2008 - 2009,2.31
,,2009 - 2010,2.24
,,2010 - 2011,2.55
,,2011 - 2012,2.69
,,2012 - 2013,2.66
,,2013 - 2014,2.86
,,2014 - 2015,1.71
,,2015 - 2016,2.18
,,2016 - 2017,2.79
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,3.28
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Gorakhpur,2000 - 2001,1.28
,,2001 - 2002,2.2
,,2002 - 2003,1.54
,,2003 - 2004,1.86
,,2004 - 2005,1.93
,,2005 - 2006,1.03
,,2006 - 2007,1.95
,,2007 - 2008,2.37
,,2008 - 2009,2.34
,,2009 - 2010,2.3
,,2010 - 2011,2.65
,,2011 - 2012,2.74
,,2012 - 2013,2.75
,,2013 - 2014,3.04
,,2014 - 2015,1.82
,,2015 - 2016,2.2
,,2016 - 2017,3.45
,,2017 - 2018,3.26
,,2018 - 2019,3.18
,,2019 - 2020,3.32
,,2020 - 2021,3.23
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Hamirpur,2000 - 2001,0.69
,,2001 - 2002,0.92
,,2002 - 2003,0.86
,,2003 - 2004,1.1
,,2004 - 2005,1.6
,,2005 - 2006,1.0
,,2006 - 2007,0.87
,,2007 - 2008,0.48
,,2008 - 2009,0.94
,,2009 - 2010,1.02
,,2010 - 2011,2.31
,,2011 - 2012,2.18
,,2012 - 2013,2.7
,,2013 - 2014,2.97
,,2014 - 2015,1.72
,,2015 - 2016,0.77
,,2016 - 2017,2.63
,,2017 - 2018,2.6
,,2018 - 2019,2.91
,,2019 - 2020,2.65
,,2020 - 2021,2.63
,,2021 - 2022,2.77
,,2022 - 2023,2.77
,Hapur,2012 - 2013,2.66
,,2013 - 2014,3.6
,,2014 - 2015,3.01
,,2015 - 2016,3.49
,,2016 - 2017,3.48
,,2017 - 2018,3.96
,,2018 - 2019,4.21
,,2019 - 2020,4.01
,,2020 - 2021,3.93
,,2021 - 2022,4.01
,,2022 - 2023,3.26
,Hardoi,2000 - 2001,1.7
,,2001 - 2002,1.64
,,2002 - 2003,1.74
,,2003 - 2004,1.86
,,2004 - 2005,1.59
,,2005 - 2006,1.57
,,2006 - 2007,1.66
,,2007 - 2008,1.87
,,2008 - 2009,1.89
,,2009 - 2010,1.39
,,2010 - 2011,1.96
,,2011 - 2012,2.31
,,2012 - 2013,2.02
,,2013 - 2014,2.51
,,2014 - 2015,1.36
,,2015 - 2016,0.88
,,2016 - 2017,2.74
,,2017 - 2018,3.01
,,2018 - 2019,2.8
,,2019 - 2020,2.9
,,2020 - 2021,2.54
,,2021 - 2022,2.71
,,2022 - 2023,3.05
,Hathras,2000 - 2001,2.75
,,2001 - 2002,2.77
,,2002 - 2003,3.09
,,2003 - 2004,2.75
,,2004 - 2005,2.69
,,2005 - 2006,3.01
,,2006 - 2007,2.41
,,2007 - 2008,2.65
,,2008 - 2009,2.95
,,2009 - 2010,2.66
,,2010 - 2011,3.08
,,2011 - 2012,3.37
,,2012 - 2013,3.23
,,2013 - 2014,3.37
,,2014 - 2015,2.5
,,2015 - 2016,2.77
,,2016 - 2017,3.47
,,2017 - 2018,3.38
,,2018 - 2019,3.29
,,2019 - 2020,3.84
,,2020 - 2021,3.46
,,2021 - 2022,3.57
,,2022 - 2023,3.26
,Jalaun,2000 - 2001,1.68
,,2001 - 2002,2.58
,,2002 - 2003,2.25
,,2003 - 2004,2.02
,,2004 - 2005,2.16
,,2005 - 2006,2.01
,,2006 - 2007,1.1
,,2007 - 2008,1.13
,,2008 - 2009,2.12
,,2009 - 2010,2.03
,,2010 - 2011,2.79
,,2011 - 2012,1.73
,,2012 - 2013,2.16
,,2013 - 2014,2.79
,,2014 - 2015,1.12
,,2015 - 2016,2.12
,,2016 - 2017,2.58
,,2017 - 2018,2.41
,,2018 - 2019,2.88
,,2019 - 2020,2.31
,,2020 - 2021,3.08
,,2021 - 2022,2.93
,,2022 - 2023,2.96
,Jaunpur,2000 - 2001,1.27
,,2001 - 2002,1.68
,,2002 - 2003,1.62
,,2003 - 2004,1.37
,,2004 - 2005,1.33
,,2005 - 2006,1.69
,,2006 - 2007,1.59
,,2007 - 2008,1.88
,,2008 - 2009,1.81
,,2009 - 2010,1.72
,,2010 - 2011,1.85
,,2011 - 2012,1.91
,,2012 - 2013,1.75
,,2013 - 2014,1.86
,,2014 - 2015,1.75
,,2015 - 2016,1.71
,,2016 - 2017,2.29
,,2017 - 2018,2.22
,,2018 - 2019,2.46
,,2019 - 2020,3.06
,,2020 - 2021,2.36
,,2021 - 2022,2.94
,,2022 - 2023,3.07
,Jhansi,2000 - 2001,1.17
,,2001 - 2002,1.62
,,2002 - 2003,1.49
,,2003 - 2004,1.61
,,2004 - 2005,1.31
,,2005 - 2006,2.01
,,2006 - 2007,1.92
,,2007 - 2008,1.45
,,2008 - 2009,2.12
,,2009 - 2010,2.03
,,2010 - 2011,2.34
,,2011 - 2012,1.73
,,2012 - 2013,2.03
,,2013 - 2014,1.7
,,2014 - 2015,1.12
,,2015 - 2016,2.29
,,2016 - 2017,2.47
,,2017 - 2018,2.41
,,2018 - 2019,2.78
,,2019 - 2020,2.92
,,2020 - 2021,2.33
,,2021 - 2022,2.5
,,2022 - 2023,2.97
,Kannauj,2000 - 2001,2.2
,,2001 - 2002,2.37
,,2002 - 2003,3.0
,,2003 - 2004,2.48
,,2004 - 2005,1.93
,,2005 - 2006,2.37
,,2006 - 2007,2.47
,,2007 - 2008,2.33
,,2008 - 2009,2.36
,,2009 - 2010,2.01
,,2010 - 2011,2.93
,,2011 - 2012,3.2
,,2012 - 2013,3.12
,,2013 - 2014,2.82
,,2014 - 2015,1.43
,,2015 - 2016,2.63
,,2016 - 2017,2.79
,,2017 - 2018,2.96
,,2018 - 2019,3.22
,,2019 - 2020,3.29
,,2020 - 2021,3.33
,,2021 - 2022,2.91
,,2022 - 2023,3.22
,Kanpur dehat,2003 - 2004,2.48
,,2004 - 2005,1.93
,,2005 - 2006,1.95
,,2006 - 2007,2.47
,,2007 - 2008,2.33
,,2008 - 2009,2.36
,,2009 - 2010,2.01
,,2010 - 2011,2.93
,,2011 - 2012,3.21
,,2012 - 2013,3.12
,,2013 - 2014,2.82
,,2014 - 2015,1.43
,,2015 - 2016,2.63
,,2016 - 2017,2.79
,,2017 - 2018,3.26
,,2018 - 2019,3.58
,,2019 - 2020,3.29
,,2020 - 2021,3.27
,,2021 - 2022,2.91
,,2022 - 2023,3.21
,Kanpur nagar,2000 - 2001,2.18
,,2001 - 2002,2.25
,,2002 - 2003,2.44
,,2003 - 2004,2.49
,,2004 - 2005,1.61
,,2005 - 2006,2.78
,,2006 - 2007,2.23
,,2007 - 2008,1.62
,,2008 - 2009,1.82
,,2009 - 2010,2.08
,,2010 - 2011,2.32
,,2011 - 2012,2.72
,,2012 - 2013,3.12
,,2013 - 2014,2.95
,,2014 - 2015,1.29
,,2015 - 2016,1.24
,,2016 - 2017,1.16
,,2017 - 2018,2.37
,,2018 - 2019,1.53
,,2019 - 2020,2.07
,,2020 - 2021,3.08
,,2021 - 2022,2.91
,,2022 - 2023,3.22
,Kasganj,2009 - 2010,2.67
,,2010 - 2011,3.08
,,2011 - 2012,3.37
,,2012 - 2013,3.23
,,2013 - 2014,3.37
,,2014 - 2015,2.5
,,2015 - 2016,2.77
,,2016 - 2017,2.74
,,2017 - 2018,3.4
,,2018 - 2019,3.29
,,2019 - 2020,4.18
,,2020 - 2021,3.47
,,2021 - 2022,3.73
,,2022 - 2023,3.44
,Kaushambi,2000 - 2001,1.33
,,2001 - 2002,1.63
,,2002 - 2003,1.14
,,2003 - 2004,1.71
,,2004 - 2005,1.22
,,2005 - 2006,1.12
,,2006 - 2007,1.49
,,2007 - 2008,0.98
,,2008 - 2009,0.83
,,2009 - 2010,1.34
,,2010 - 2011,1.84
,,2011 - 2012,1.92
,,2012 - 2013,2.76
,,2013 - 2014,3.35
,,2014 - 2015,1.01
,,2015 - 2016,2.07
,,2016 - 2017,2.53
,,2017 - 2018,2.95
,,2018 - 2019,3.04
,,2019 - 2020,2.85
,,2020 - 2021,3.01
,,2021 - 2022,2.84
,,2022 - 2023,2.06
,Kheri,2000 - 2001,1.7
,,2001 - 2002,1.64
,,2002 - 2003,1.74
,,2003 - 2004,1.86
,,2004 - 2005,1.59
,,2005 - 2006,1.57
,,2006 - 2007,1.66
,,2007 - 2008,1.87
,,2008 - 2009,1.89
,,2009 - 2010,1.39
,,2010 - 2011,1.96
,,2011 - 2012,2.31
,,2012 - 2013,2.02
,,2013 - 2014,2.51
,,2014 - 2015,1.36
,,2015 - 2016,0.88
,,2016 - 2017,2.74
,,2017 - 2018,2.62
,,2018 - 2019,2.8
,,2019 - 2020,3.15
,,2020 - 2021,2.85
,,2021 - 2022,2.71
,,2022 - 2023,3.05
,Kushi nagar,2000 - 2001,1.28
,,2001 - 2002,2.2
,,2002 - 2003,1.54
,,2003 - 2004,1.87
,,2004 - 2005,1.93
,,2005 - 2006,1.03
,,2006 - 2007,1.94
,,2007 - 2008,2.36
,,2008 - 2009,2.38
,,2009 - 2010,2.3
,,2010 - 2011,2.64
,,2011 - 2012,2.75
,,2012 - 2013,2.76
,,2013 - 2014,3.04
,,2014 - 2015,1.82
,,2015 - 2016,2.2
,,2016 - 2017,3.45
,,2018 - 2019,3.18
,,2019 - 2020,3.25
,,2020 - 2021,3.13
,,2021 - 2022,3.04
,,2022 - 2023,3.07
,Lalitpur,2000 - 2001,1.17
,,2001 - 2002,1.62
,,2002 - 2003,1.49
,,2003 - 2004,1.61
,,2004 - 2005,1.31
,,2005 - 2006,2.01
,,2006 - 2007,1.92
,,2007 - 2008,1.45
,,2008 - 2009,2.12
,,2009 - 2010,2.03
,,2010 - 2011,2.34
,,2011 - 2012,2.34
,,2012 - 2013,2.26
,,2013 - 2014,2.52
,,2014 - 2015,1.6
,,2015 - 2016,2.14
,,2016 - 2017,2.44
,,2017 - 2018,1.94
,,2018 - 2019,3.32
,,2019 - 2020,2.8
,,2020 - 2021,2.14
,,2021 - 2022,3.09
,,2022 - 2023,2.53
,Lucknow,2000 - 2001,1.7
,,2001 - 2002,1.64
,,2002 - 2003,1.74
,,2003 - 2004,1.86
,,2004 - 2005,1.59
,,2005 - 2006,1.57
,,2006 - 2007,1.66
,,2007 - 2008,1.87
,,2008 - 2009,1.89
,,2009 - 2010,1.39
,,2010 - 2011,1.96
,,2011 - 2012,2.31
,,2012 - 2013,2.01
,,2013 - 2014,2.51
,,2014 - 2015,1.36
,,2015 - 2016,0.88
,,2016 - 2017,2.74
,,2017 - 2018,2.62
,,2018 - 2019,2.81
,,2019 - 2020,2.6
,,2020 - 2021,2.85
,,2021 - 2022,2.72
,,2022 - 2023,3.05
,Maharajganj,2000 - 2001,1.28
,,2001 - 2002,2.2
,,2002 - 2003,1.53
,,2003 - 2004,1.86
,,2004 - 2005,1.93
,,2005 - 2006,1.04
,,2006 - 2007,1.95
,,2007 - 2008,2.38
,,2008 - 2009,2.34
,,2009 - 2010,2.31
,,2010 - 2011,2.65
,,2011 - 2012,2.75
,,2012 - 2013,2.74
,,2013 - 2014,3.04
,,2014 - 2015,1.82
,,2015 - 2016,2.2
,,2016 - 2017,3.45
,,2017 - 2018,3.29
,,2018 - 2019,3.19
,,2020 - 2021,3.13
,,2021 - 2022,3.03
,,2022 - 2023,3.06
