state,district,year,coriander_whole_year_yield_tonne_per_hectare
,,2020 - 2021,0.29
,,2021 - 2022,0.33
,,2022 - 2023,0.36
,Tirunelveli,2000 - 2001,0.2
,,2002 - 2003,0.17
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.3
,,2006 - 2007,0.31
,,2007 - 2008,0.43
,,2008 - 2009,0.35
,,2009 - 2010,0.33
,,2011 - 2012,0.44
,,2013 - 2014,0.33
,,2014 - 2015,0.86
,,2015 - 2016,0.57
,,2016 - 2017,0.14
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,0.0
,,2020 - 2021,0.13
,,2022 - 2023,0.33
,Tirupathur,2020 - 2021,0.17
,,2021 - 2022,0.34
,,2022 - 2023,0.4
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,0.31
,,2011 - 2012,0.58
,,2013 - 2014,0.89
,,2014 - 2015,0.41
,,2015 - 2016,0.81
,,2016 - 2017,0.7
,,2017 - 2018,0.91
,,2018 - 2019,0.68
,,2019 - 2020,0.5
,,2021 - 2022,0.38
,,2022 - 2023,0.76
,Tiruvannamalai,2000 - 2001,0.23
,,2002 - 2003,0.19
,,2003 - 2004,0.33
,,2004 - 2005,0.43
,,2005 - 2006,0.29
,,2006 - 2007,0.33
,,2007 - 2008,0.37
,,2008 - 2009,0.33
,,2009 - 2010,0.4
,,2011 - 2012,0.4
,,2013 - 2014,0.33
,,2014 - 2015,0.9
,,2015 - 2016,0.57
,,2016 - 2017,0.18
,,2017 - 2018,1.0
,,2018 - 2019,0.4
,,2019 - 2020,0.5
,,2020 - 2021,0.18
,,2021 - 2022,0.33
,,2022 - 2023,0.4
,Vellore,2000 - 2001,0.25
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.3
,,2006 - 2007,0.32
,,2007 - 2008,0.39
,,2008 - 2009,0.34
,,2009 - 2010,0.4
,,2011 - 2012,0.46
,,2013 - 2014,0.34
,,2014 - 2015,0.38
,,2015 - 2016,0.59
,,2016 - 2017,0.17
,,2017 - 2018,0.51
,,2018 - 2019,0.4
,,2019 - 2020,0.49
,,2020 - 2021,0.18
,,2021 - 2022,0.31
,,2022 - 2023,0.39
,Villupuram,2000 - 2001,0.21
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.3
,,2006 - 2007,0.33
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.39
,,2011 - 2012,0.46
,,2013 - 2014,0.5
,,2014 - 2015,0.89
,,2015 - 2016,0.67
,,2018 - 2019,0.0
,Virudhunagar,2000 - 2001,0.18
,,2002 - 2003,0.19
,,2003 - 2004,0.21
,,2004 - 2005,0.63
,,2005 - 2006,0.38
,,2006 - 2007,0.43
,,2007 - 2008,0.64
,,2008 - 2009,0.59
,,2009 - 2010,0.41
,,2011 - 2012,0.72
,,2013 - 2014,0.62
,,2014 - 2015,0.55
,,2015 - 2016,0.27
,,2016 - 2017,0.27
,,2017 - 2018,0.29
,,2018 - 2019,0.38
,,2019 - 2020,0.42
,,2020 - 2021,0.36
,,2021 - 2022,0.58
,,2022 - 2023,0.86
Telangana,Adilabad,2000 - 2001,0.26
,,2001 - 2002,0.49
,,2002 - 2003,0.42
,,2003 - 2004,0.27
,,2004 - 2005,0.6
,,2005 - 2006,0.42
,,2006 - 2007,0.56
,,2008 - 2009,0.54
,,2009 - 2010,1.13
,,2010 - 2011,0.68
,,2011 - 2012,0.59
,,2013 - 2014,0.72
,,2014 - 2015,0.24
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagitial,2020 - 2021,
,,2021 - 2022,
,Jangoan,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2020 - 2021,
,Jogulamba,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,0.27
,,2001 - 2002,0.49
,,2002 - 2003,0.41
,,2003 - 2004,0.28
,,2004 - 2005,0.59
,,2005 - 2006,0.42
,,2006 - 2007,0.57
,,2008 - 2009,0.55
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2011 - 2012,0.56
,,2013 - 2014,0.7
,,2014 - 2015,0.27
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,Khammam,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.63
,Komaram bheem asifabad,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,0.26
,,2001 - 2002,0.49
,,2002 - 2003,0.42
,,2003 - 2004,0.27
,,2004 - 2005,0.6
,,2005 - 2006,0.42
,,2006 - 2007,0.56
,,2008 - 2009,0.66
,,2009 - 2010,0.95
,,2010 - 2011,0.68
,,2022 - 2023,
,Mancherial,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Medak,2000 - 2001,0.26
,,2001 - 2002,0.49
,,2002 - 2003,0.42
,,2003 - 2004,0.27
,,2004 - 2005,0.59
,,2005 - 2006,0.34
,,2006 - 2007,0.59
,,2008 - 2009,0.58
,,2009 - 2010,0.48
,,2010 - 2011,0.55
,,2011 - 2012,0.56
,,2013 - 2014,0.72
,,2014 - 2015,0.24
,,2015 - 2016,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Mulugu,2021 - 2022,
,Nalgonda,2000 - 2001,0.26
,,2001 - 2002,0.49
,,2002 - 2003,0.42
,,2003 - 2004,0.27
,,2004 - 2005,0.59
,,2005 - 2006,0.52
,,2006 - 2007,0.53
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.68
,,2011 - 2012,0.58
,,2013 - 2014,0.71
,,2014 - 2015,0.24
,,2015 - 2016,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2020 - 2021,
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,0.26
,,2001 - 2002,0.49
,,2002 - 2003,0.42
,,2003 - 2004,0.27
,,2004 - 2005,0.6
,,2005 - 2006,0.42
,,2006 - 2007,0.56
,,2008 - 2009,0.44
,,2009 - 2010,0.63
,,2010 - 2011,0.68
,,2011 - 2012,0.58
,,2013 - 2014,0.72
,,2014 - 2015,0.24
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Rajanna,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Rangareddi,2000 - 2001,0.26
,,2001 - 2002,0.49
,,2002 - 2003,0.42
,,2003 - 2004,0.28
,,2004 - 2005,0.59
,,2005 - 2006,0.42
,,2006 - 2007,0.56
,,2008 - 2009,0.55
,,2009 - 2010,0.63
,,2010 - 2011,0.68
,,2011 - 2012,0.58
,,2013 - 2014,0.61
,,2014 - 2015,0.22
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2019 - 2020,
,Vikarabad,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2000 - 2001,0.26
,,2001 - 2002,0.49
,,2002 - 2003,0.42
,,2003 - 2004,0.27
,,2004 - 2005,0.6
,,2005 - 2006,0.42
,,2006 - 2007,0.56
,,2008 - 2009,0.35
,,2009 - 2010,0.35
,,2010 - 2011,0.68
,,2011 - 2012,0.58
,,2013 - 2014,0.73
,,2014 - 2015,0.24
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Warangal urban,2020 - 2021,
,Yadadri,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aligarh,2005 - 2006,0.58
,,2006 - 2007,0.54
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2005 - 2006,0.55
,,2006 - 2007,0.53
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amethi,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Auraiya,2005 - 2006,0.59
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Azamgarh,2005 - 2006,0.58
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baghpat,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,Bahraich,2005 - 2006,0.58
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ballia,2005 - 2006,0.55
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banda,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barabanki,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bareilly,2005 - 2006,0.59
,,2006 - 2007,0.51
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Basti,2005 - 2006,0.6
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Budaun,2005 - 2006,0.56
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bulandshahr,2005 - 2006,0.5
,,2006 - 2007,0.6
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chandauli,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Chitrakoot,2005 - 2006,0.56
,,2006 - 2007,0.4
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoria,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etah,2005 - 2006,0.58
,,2006 - 2007,0.56
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etawah,2005 - 2006,0.57
,,2006 - 2007,0.54
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Faizabad,2005 - 2006,0.58
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Farrukhabad,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Fatehpur,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Firozabad,2005 - 2006,0.57
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gautam buddha nagar,2005 - 2006,1.0
,,2006 - 2007,0.57
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ghaziabad,2005 - 2006,0.58
,,2006 - 2007,0.53
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ghazipur,2005 - 2006,0.61
,,2006 - 2007,0.53
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gonda,2005 - 2006,0.6
,,2006 - 2007,0.51
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gorakhpur,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hamirpur,2005 - 2006,0.55
,,2006 - 2007,0.53
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hapur,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hardoi,2005 - 2006,0.58
,,2006 - 2007,0.53
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hathras,2005 - 2006,0.57
,,2006 - 2007,0.51
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalaun,2005 - 2006,0.5
,,2006 - 2007,0.33
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jaunpur,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhansi,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannauj,2005 - 2006,0.58
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanpur dehat,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanpur nagar,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kasganj,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kaushambi,2005 - 2006,0.58
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kheri,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kushi nagar,2005 - 2006,0.58
,,2006 - 2007,0.53
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lalitpur,2005 - 2006,0.56
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lucknow,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Maharajganj,2005 - 2006,0.57
,,2006 - 2007,0.51
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahoba,2005 - 2006,0.58
,,2006 - 2007,0.54
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mainpuri,2005 - 2006,0.57
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mathura,2005 - 2006,0.5
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2016 - 2017,
,Mau,2005 - 2006,0.56
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Meerut,2005 - 2006,0.56
