state,district,year,masoor_rabi_yield_tonne_per_hectare
,,2013 - 2014,1.24
,,2014 - 2015,0.6
,,2015 - 2016,1.25
,,2016 - 2017,1.33
,,2017 - 2018,1.25
,,2018 - 2019,0.82
,,2019 - 2020,0.99
,,2020 - 2021,1.35
,,2021 - 2022,1.26
,,2022 - 2023,1.26
,Burhanpur,2003 - 2004,0.47
,,2004 - 2005,0.38
,,2005 - 2006,0.45
,,2006 - 2007,0.46
,,2007 - 2008,0.4
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.41
,,2013 - 2014,0.73
,,2018 - 2019,1.0
,,2019 - 2020,0.0
,,2020 - 2021,1.0
,Chhatarpur,2004 - 2005,0.32
,,2005 - 2006,0.32
,,2006 - 2007,0.23
,,2007 - 2008,0.21
,,2008 - 2009,0.27
,,2009 - 2010,
,,2010 - 2011,0.16
,,2011 - 2012,0.17
,,2012 - 2013,0.37
,,2013 - 2014,0.37
,,2014 - 2015,0.64
,,2015 - 2016,0.83
,,2016 - 2017,1.11
,,2017 - 2018,0.88
,,2018 - 2019,0.65
,,2019 - 2020,0.55
,,2020 - 2021,1.15
,,2021 - 2022,1.16
,,2022 - 2023,1.16
,Chhindwara,2004 - 2005,0.47
,,2005 - 2006,0.43
,,2006 - 2007,0.51
,,2007 - 2008,0.47
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.44
,,2011 - 2012,0.51
,,2012 - 2013,0.61
,,2013 - 2014,0.65
,,2014 - 2015,0.83
,,2015 - 2016,1.0
,,2016 - 2017,0.75
,,2017 - 2018,1.08
,,2018 - 2019,0.51
,,2019 - 2020,0.72
,,2020 - 2021,1.03
,,2021 - 2022,1.11
,,2022 - 2023,1.11
,Damoh,2004 - 2005,0.53
,,2005 - 2006,0.54
,,2006 - 2007,0.46
,,2007 - 2008,0.48
,,2008 - 2009,0.68
,,2009 - 2010,
,,2010 - 2011,0.48
,,2011 - 2012,0.55
,,2012 - 2013,0.76
,,2013 - 2014,0.37
,,2014 - 2015,0.62
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.13
,,2018 - 2019,0.76
,,2019 - 2020,0.74
,,2020 - 2021,1.27
,,2021 - 2022,1.5
,,2022 - 2023,1.47
,Datia,2004 - 2005,0.5
,,2005 - 2006,0.57
,,2006 - 2007,0.46
,,2007 - 2008,0.35
,,2008 - 2009,0.66
,,2009 - 2010,
,,2010 - 2011,0.32
,,2011 - 2012,0.35
,,2012 - 2013,0.77
,,2013 - 2014,0.85
,,2014 - 2015,0.5
,,2015 - 2016,1.33
,,2016 - 2017,1.0
,,2017 - 2018,1.23
,,2018 - 2019,0.87
,,2019 - 2020,0.87
,,2020 - 2021,1.05
,,2021 - 2022,0.81
,,2022 - 2023,0.61
,Dewas,2004 - 2005,0.55
,,2005 - 2006,0.44
,,2006 - 2007,0.51
,,2007 - 2008,0.59
,,2008 - 2009,0.59
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.74
,,2013 - 2014,0.74
,,2015 - 2016,0.89
,,2017 - 2018,1.1
,,2018 - 2019,0.57
,,2019 - 2020,0.64
,,2020 - 2021,0.9
,,2021 - 2022,1.15
,,2022 - 2023,1.15
,Dhar,2004 - 2005,0.49
,,2005 - 2006,0.37
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.35
,,2011 - 2012,0.35
,,2012 - 2013,0.65
,,2013 - 2014,1.01
,,2017 - 2018,0.92
,,2018 - 2019,0.63
,,2019 - 2020,0.48
,,2020 - 2021,0.9
,,2021 - 2022,0.94
,,2022 - 2023,0.94
,Dindori,2004 - 2005,0.41
,,2005 - 2006,0.22
,,2006 - 2007,0.24
,,2007 - 2008,0.21
,,2008 - 2009,0.25
,,2009 - 2010,
,,2010 - 2011,0.06
,,2011 - 2012,0.12
,,2012 - 2013,0.46
,,2013 - 2014,0.98
,,2014 - 2015,0.73
,,2015 - 2016,1.14
,,2016 - 2017,1.0
,,2017 - 2018,1.01
,,2018 - 2019,0.61
,,2019 - 2020,0.8
,,2020 - 2021,1.16
,,2021 - 2022,1.25
,,2022 - 2023,1.26
,Guna,2004 - 2005,0.67
,,2005 - 2006,0.74
,,2006 - 2007,0.75
,,2007 - 2008,0.6
,,2008 - 2009,0.63
,,2009 - 2010,
,,2010 - 2011,0.55
,,2011 - 2012,0.64
,,2012 - 2013,0.88
,,2013 - 2014,0.69
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.23
,,2018 - 2019,0.96
,,2019 - 2020,1.08
,,2020 - 2021,1.26
,,2021 - 2022,1.28
,,2022 - 2023,1.25
,Gwalior,2004 - 2005,0.52
,,2005 - 2006,0.55
,,2006 - 2007,0.47
,,2007 - 2008,0.38
,,2008 - 2009,0.57
,,2009 - 2010,
,,2010 - 2011,0.4
,,2011 - 2012,0.42
,,2012 - 2013,0.41
,,2013 - 2014,0.47
,,2014 - 2015,0.33
,,2015 - 2016,1.0
,,2018 - 2019,0.53
,,2019 - 2020,0.58
,,2020 - 2021,1.12
,,2021 - 2022,1.32
,,2022 - 2023,1.33
,Harda,2004 - 2005,0.59
,,2005 - 2006,0.48
,,2006 - 2007,0.48
,,2007 - 2008,0.33
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2012 - 2013,0.43
,,2013 - 2014,0.36
,,2018 - 2019,0.33
,,2019 - 2020,0.46
,,2020 - 2021,0.79
,,2021 - 2022,0.5
,,2022 - 2023,0.4
,Hoshangabad,2004 - 2005,0.55
,,2005 - 2006,0.56
,,2006 - 2007,0.57
,,2007 - 2008,0.57
,,2008 - 2009,0.57
,,2009 - 2010,
,,2010 - 2011,0.49
,,2011 - 2012,0.48
,,2012 - 2013,0.74
,,2013 - 2014,0.45
,,2014 - 2015,1.0
,,2015 - 2016,0.5
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.67
,,2020 - 2021,1.5
,,2021 - 2022,1.59
,,2022 - 2023,1.44
,Indore,2004 - 2005,0.35
,,2005 - 2006,0.32
,,2006 - 2007,0.3
,,2007 - 2008,0.38
,,2008 - 2009,0.36
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,0.28
,,2012 - 2013,0.39
,,2013 - 2014,0.4
,,2017 - 2018,0.96
,,2018 - 2019,0.37
,,2019 - 2020,0.46
,,2020 - 2021,1.08
,,2021 - 2022,1.1
,,2022 - 2023,1.1
,Jabalpur,2004 - 2005,0.55
,,2005 - 2006,0.58
,,2006 - 2007,0.48
,,2007 - 2008,0.31
,,2008 - 2009,0.51
,,2009 - 2010,
,,2010 - 2011,0.22
,,2011 - 2012,0.4
,,2012 - 2013,0.29
,,2013 - 2014,0.72
,,2014 - 2015,0.82
,,2015 - 2016,1.25
,,2016 - 2017,1.32
,,2017 - 2018,1.51
,,2018 - 2019,0.98
,,2019 - 2020,0.96
,,2020 - 2021,1.26
,,2021 - 2022,2.04
,,2022 - 2023,1.64
,Jhabua,2004 - 2005,0.5
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,0.43
,,2012 - 2013,0.0
,,2017 - 2018,0.83
,,2020 - 2021,1.13
,Katni,2004 - 2005,0.3
,,2005 - 2006,0.38
,,2006 - 2007,0.31
,,2007 - 2008,0.28
,,2008 - 2009,0.41
,,2009 - 2010,
,,2010 - 2011,0.16
,,2011 - 2012,0.25
,,2012 - 2013,0.51
,,2013 - 2014,0.92
,,2014 - 2015,0.86
,,2015 - 2016,1.22
,,2016 - 2017,0.92
,,2017 - 2018,0.99
,,2018 - 2019,0.87
,,2019 - 2020,0.89
,,2020 - 2021,0.82
,,2021 - 2022,1.13
,,2022 - 2023,1.13
,Khandwa,2004 - 2005,0.33
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.43
,,2008 - 2009,0.34
,,2009 - 2010,
,,2010 - 2011,0.23
,,2011 - 2012,0.32
,,2012 - 2013,0.32
,,2013 - 2014,0.63
,,2014 - 2015,1.0
,,2017 - 2018,0.52
,,2018 - 2019,0.46
,,2019 - 2020,0.33
,,2020 - 2021,0.54
,,2021 - 2022,0.5
,Khargone,2004 - 2005,0.33
,,2005 - 2006,0.37
,,2006 - 2007,0.48
,,2007 - 2008,0.38
,,2008 - 2009,0.33
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,0.5
,,2012 - 2013,0.4
,,2013 - 2014,0.4
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.8
,Mandla,2004 - 2005,0.41
,,2005 - 2006,0.41
,,2006 - 2007,0.41
,,2007 - 2008,0.41
,,2008 - 2009,0.41
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.27
,,2012 - 2013,0.41
,,2013 - 2014,0.63
,,2014 - 2015,0.68
,,2015 - 2016,0.91
,,2016 - 2017,0.96
,,2017 - 2018,0.99
,,2018 - 2019,0.65
,,2019 - 2020,0.65
,,2020 - 2021,1.02
,,2021 - 2022,1.04
,,2022 - 2023,1.03
,Mandsaur,2004 - 2005,0.51
,,2005 - 2006,0.35
,,2006 - 2007,0.5
,,2007 - 2008,0.37
,,2008 - 2009,0.44
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.32
,,2012 - 2013,0.54
,,2013 - 2014,0.87
,,2014 - 2015,0.5
,,2015 - 2016,0.8
,,2016 - 2017,1.18
,,2017 - 2018,1.09
,,2018 - 2019,0.53
,,2019 - 2020,0.61
,,2020 - 2021,1.04
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Morena,2004 - 2005,0.52
,,2005 - 2006,0.55
,,2006 - 2007,0.49
,,2007 - 2008,0.39
,,2008 - 2009,0.55
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.36
,,2012 - 2013,0.73
,,2013 - 2014,0.74
,,2014 - 2015,0.67
,,2017 - 2018,1.55
,,2018 - 2019,0.63
,,2019 - 2020,0.84
,,2020 - 2021,1.0
,,2022 - 2023,0.61
,Narsinghpur,2004 - 2005,0.61
,,2005 - 2006,0.64
,,2006 - 2007,0.64
,,2007 - 2008,0.44
,,2008 - 2009,0.49
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.42
,,2012 - 2013,0.85
,,2013 - 2014,0.54
,,2014 - 2015,0.7
,,2015 - 2016,1.0
,,2016 - 2017,1.29
,,2017 - 2018,1.43
,,2018 - 2019,0.68
,,2019 - 2020,0.77
,,2020 - 2021,0.91
,,2021 - 2022,1.26
,,2022 - 2023,1.25
,Neemuch,2004 - 2005,0.54
,,2005 - 2006,0.49
,,2006 - 2007,0.47
,,2007 - 2008,0.4
,,2008 - 2009,0.41
,,2009 - 2010,
,,2010 - 2011,0.35
,,2011 - 2012,0.34
,,2012 - 2013,0.72
,,2013 - 2014,0.87
,,2014 - 2015,0.5
,,2015 - 2016,2.0
,,2017 - 2018,0.65
,,2018 - 2019,0.52
,,2019 - 2020,0.73
,,2020 - 2021,1.12
,,2021 - 2022,1.35
,,2022 - 2023,1.35
,Niwari,2019 - 2020,0.68
,,2020 - 2021,0.94
,,2021 - 2022,0.95
,,2022 - 2023,0.95
,Panna,2004 - 2005,0.51
,,2005 - 2006,0.48
,,2006 - 2007,0.46
,,2007 - 2008,0.48
,,2008 - 2009,0.63
,,2009 - 2010,
,,2010 - 2011,0.32
,,2011 - 2012,0.45
,,2012 - 2013,0.75
,,2013 - 2014,0.69
,,2014 - 2015,0.81
,,2015 - 2016,1.38
,,2016 - 2017,0.91
,,2017 - 2018,1.01
,,2018 - 2019,1.36
,,2019 - 2020,1.04
,,2020 - 2021,1.01
,,2021 - 2022,1.12
,,2022 - 2023,1.12
,Raisen,2004 - 2005,0.59
,,2005 - 2006,0.61
,,2006 - 2007,0.59
,,2007 - 2008,0.59
,,2008 - 2009,0.59
,,2009 - 2010,
,,2010 - 2011,0.43
,,2011 - 2012,0.57
,,2012 - 2013,0.62
,,2013 - 2014,0.63
,,2014 - 2015,0.67
,,2015 - 2016,1.45
,,2016 - 2017,1.65
,,2017 - 2018,1.39
,,2018 - 2019,0.89
,,2019 - 2020,0.89
,,2020 - 2021,1.29
,,2021 - 2022,1.32
,,2022 - 2023,1.31
,Rajgarh,2004 - 2005,0.4
,,2005 - 2006,0.38
,,2006 - 2007,0.52
,,2007 - 2008,0.43
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,0.44
,,2012 - 2013,0.63
,,2013 - 2014,1.16
,,2014 - 2015,0.78
,,2015 - 2016,1.2
,,2016 - 2017,1.32
,,2017 - 2018,1.2
,,2018 - 2019,0.8
,,2019 - 2020,1.01
,,2020 - 2021,1.42
,,2021 - 2022,1.2
,,2022 - 2023,1.16
,Ratlam,2004 - 2005,0.56
,,2005 - 2006,0.46
,,2006 - 2007,0.56
,,2007 - 2008,0.56
,,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.41
,,2012 - 2013,0.71
,,2013 - 2014,0.71
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,0.88
,,2018 - 2019,0.68
,,2019 - 2020,0.52
,,2020 - 2021,0.81
,,2021 - 2022,1.55
,,2022 - 2023,1.55
,Rewa,2004 - 2005,0.36
,,2005 - 2006,0.34
,,2006 - 2007,0.3
,,2007 - 2008,0.3
,,2008 - 2009,0.38
,,2009 - 2010,
,,2010 - 2011,0.12
,,2011 - 2012,0.21
,,2012 - 2013,0.29
,,2013 - 2014,0.44
,,2014 - 2015,0.7
,,2015 - 2016,1.08
,,2016 - 2017,1.0
,,2017 - 2018,1.09
,,2018 - 2019,0.58
,,2019 - 2020,0.87
,,2020 - 2021,0.61
,,2021 - 2022,1.33
,,2022 - 2023,1.33
,Sagar,2004 - 2005,0.4
,,2005 - 2006,0.43
,,2006 - 2007,0.44
,,2007 - 2008,0.42
,,2008 - 2009,0.47
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,0.29
,,2012 - 2013,0.67
,,2013 - 2014,0.55
,,2014 - 2015,0.7
,,2015 - 2016,1.13
,,2016 - 2017,1.21
,,2017 - 2018,1.19
,,2018 - 2019,1.26
,,2019 - 2020,1.0
,,2020 - 2021,1.08
,,2021 - 2022,0.94
,,2022 - 2023,0.94
,Satna,2004 - 2005,0.48
,,2005 - 2006,0.49
,,2006 - 2007,0.35
,,2007 - 2008,0.3
,,2008 - 2009,0.44
,,2009 - 2010,
,,2010 - 2011,0.25
,,2011 - 2012,0.27
,,2012 - 2013,0.33
,,2013 - 2014,0.31
,,2014 - 2015,0.62
,,2015 - 2016,0.96
,,2016 - 2017,1.09
,,2017 - 2018,1.15
,,2018 - 2019,0.36
,,2019 - 2020,0.39
,,2020 - 2021,1.13
,,2021 - 2022,1.37
,,2022 - 2023,1.33
,Sehore,2004 - 2005,0.46
,,2005 - 2006,0.67
,,2006 - 2007,0.72
,,2007 - 2008,0.72
,,2008 - 2009,0.72
,,2009 - 2010,
,,2010 - 2011,0.47
,,2011 - 2012,0.82
,,2012 - 2013,0.79
,,2013 - 2014,0.69
,,2014 - 2015,0.8
,,2015 - 2016,1.0
,,2016 - 2017,1.25
,,2017 - 2018,0.84
,,2018 - 2019,0.83
,,2019 - 2020,0.92
,,2020 - 2021,1.14
,,2021 - 2022,0.64
,,2022 - 2023,0.64
,Seoni,2004 - 2005,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.39
,,2007 - 2008,0.36
,,2008 - 2009,0.36
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.27
,,2012 - 2013,0.58
,,2013 - 2014,0.65
,,2014 - 2015,0.7
,,2015 - 2016,0.87
,,2016 - 2017,0.95
,,2017 - 2018,0.81
,,2018 - 2019,0.52
,,2019 - 2020,0.69
,,2020 - 2021,0.81
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Shahdol,2004 - 2005,0.37
,,2005 - 2006,0.39
,,2006 - 2007,0.39
,,2007 - 2008,0.43
,,2008 - 2009,0.41
,,2009 - 2010,
,,2010 - 2011,0.3
,,2011 - 2012,0.3
,,2012 - 2013,0.73
,,2013 - 2014,0.96
,,2014 - 2015,0.83
,,2015 - 2016,1.5
,,2016 - 2017,0.5
,,2017 - 2018,0.74
,,2018 - 2019,0.65
,,2019 - 2020,0.75
,,2020 - 2021,0.87
,,2021 - 2022,0.89
,,2022 - 2023,0.89
,Shajapur,2004 - 2005,0.43
,,2005 - 2006,0.34
,,2006 - 2007,0.44
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,
,,2010 - 2011,0.21
,,2011 - 2012,0.27
,,2012 - 2013,0.42
,,2013 - 2014,0.54
,,2014 - 2015,0.57
,,2015 - 2016,0.78
,,2016 - 2017,1.06
,,2017 - 2018,1.12
,,2018 - 2019,0.47
,,2019 - 2020,0.51
,,2020 - 2021,1.12
,,2021 - 2022,1.5
,,2022 - 2023,1.42
,Sheopur,2004 - 2005,0.67
,,2005 - 2006,0.43
,,2006 - 2007,0.34
,,2007 - 2008,0.4
,,2008 - 2009,0.38
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.28
,,2012 - 2013,1.02
,,2013 - 2014,1.28
,,2017 - 2018,0.95
,,2018 - 2019,1.5
,,2019 - 2020,1.4
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.41
,Shivpuri,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.41
,,2007 - 2008,0.31
,,2008 - 2009,0.45
,,2009 - 2010,
,,2010 - 2011,0.34
,,2011 - 2012,0.35
,,2012 - 2013,0.35
,,2013 - 2014,0.37
,,2014 - 2015,0.33
,,2015 - 2016,1.2
,,2016 - 2017,1.2
,,2017 - 2018,1.05
,,2018 - 2019,0.41
,,2019 - 2020,0.5
,,2020 - 2021,1.2
,,2021 - 2022,1.15
,,2022 - 2023,1.14
,Sidhi,2004 - 2005,0.45
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.35
,,2008 - 2009,0.44
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.39
,,2012 - 2013,0.43
,,2013 - 2014,0.73
,,2014 - 2015,0.78
,,2015 - 2016,1.0
,,2016 - 2017,0.86
,,2017 - 2018,1.24
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,1.28
,,2021 - 2022,0.83
,,2022 - 2023,0.83
,Singrauli,2008 - 2009,0.44
,,2009 - 2010,
,,2010 - 2011,0.34
,,2011 - 2012,0.41
,,2012 - 2013,1.45
,,2013 - 2014,0.76
,,2014 - 2015,0.71
,,2015 - 2016,1.2
,,2016 - 2017,0.6
,,2017 - 2018,0.8
,,2018 - 2019,1.11
,,2019 - 2020,1.21
,,2020 - 2021,1.22
,,2021 - 2022,1.19
,,2022 - 2023,1.19
,Tikamgarh,2004 - 2005,0.48
,,2005 - 2006,0.43
,,2006 - 2007,0.39
,,2007 - 2008,0.31
,,2008 - 2009,0.49
,,2009 - 2010,
,,2010 - 2011,0.2
,,2011 - 2012,0.33
,,2012 - 2013,0.34
,,2013 - 2014,0.16
,,2014 - 2015,0.71
,,2015 - 2016,0.93
,,2016 - 2017,1.0
,,2017 - 2018,0.92
,,2018 - 2019,0.56
,,2019 - 2020,0.67
,,2020 - 2021,0.93
,,2021 - 2022,0.96
,,2022 - 2023,0.96
,Ujjain,2004 - 2005,0.42
,,2005 - 2006,0.4
,,2006 - 2007,0.46
,,2007 - 2008,0.41
,,2008 - 2009,0.39
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.35
,,2012 - 2013,0.38
,,2013 - 2014,0.54
,,2015 - 2016,0.72
,,2017 - 2018,0.47
,,2018 - 2019,0.32
,,2019 - 2020,0.57
,,2020 - 2021,0.95
,,2021 - 2022,1.15
,,2022 - 2023,1.15
,Umaria,2004 - 2005,0.5
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.4
,,2008 - 2009,0.48
,,2009 - 2010,
,,2010 - 2011,0.16
,,2011 - 2012,0.32
,,2012 - 2013,0.52
,,2013 - 2014,0.72
,,2014 - 2015,0.92
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.87
,,2018 - 2019,0.75
,,2019 - 2020,0.69
,,2020 - 2021,1.15
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Vidisha,2004 - 2005,0.62
,,2005 - 2006,0.63
,,2006 - 2007,0.65
,,2007 - 2008,0.51
,,2008 - 2009,0.59
,,2009 - 2010,
,,2010 - 2011,0.44
,,2011 - 2012,0.44
,,2012 - 2013,0.67
,,2013 - 2014,0.53
,,2014 - 2015,0.68
,,2015 - 2016,1.41
,,2016 - 2017,1.38
,,2017 - 2018,1.27
,,2018 - 2019,0.75
,,2019 - 2020,0.63
,,2020 - 2021,1.21
,,2021 - 2022,1.35
,,2022 - 2023,1.22
Manipur,Bishnupur,2008 - 2009,0.79
,,2009 - 2010,0.95
,,2010 - 2011,0.78
,,2011 - 2012,0.84
,,2012 - 2013,0.8
,,2013 - 2014,0.92
,,2014 - 2015,0.82
,,2015 - 2016,0.94
,,2016 - 2017,0.94
,,2017 - 2018,0.95
,,2018 - 2019,0.94
,Chandel,2008 - 2009,1.04
,,2009 - 2010,0.73
,,2010 - 2011,0.83
,,2011 - 2012,0.89
,,2012 - 2013,0.8
,,2013 - 2014,0.92
,,2014 - 2015,0.8
,,2015 - 2016,0.97
,,2016 - 2017,0.95
,,2017 - 2018,0.95
,,2018 - 2019,0.84
,Churachandpur,2008 - 2009,0.81
,,2009 - 2010,0.72
,,2010 - 2011,0.75
,,2011 - 2012,0.84
,,2012 - 2013,0.83
,,2013 - 2014,0.92
,,2014 - 2015,0.83
,,2015 - 2016,0.95
,,2016 - 2017,0.95
,,2017 - 2018,0.96
,,2018 - 2019,0.93
,Imphal east,2008 - 2009,0.73
,,2009 - 2010,0.93
,,2010 - 2011,0.83
,,2011 - 2012,0.86
,,2012 - 2013,0.88
,,2013 - 2014,0.96
,,2014 - 2015,0.97
,,2015 - 2016,0.95
,,2016 - 2017,0.97
,,2017 - 2018,0.97
,,2018 - 2019,0.96
,Imphal west,2008 - 2009,0.77
,,2009 - 2010,0.97
,,2010 - 2011,0.83
,,2011 - 2012,0.92
,,2012 - 2013,0.85
,,2013 - 2014,0.94
,,2014 - 2015,0.88
,,2015 - 2016,0.93
,,2016 - 2017,0.95
,,2017 - 2018,0.94
,,2018 - 2019,0.94
,Senapati,2008 - 2009,0.69
,,2009 - 2010,0.74
,,2010 - 2011,0.7
,,2011 - 2012,0.77
,,2012 - 2013,0.75
,,2013 - 2014,0.87
,,2014 - 2015,0.75
,,2015 - 2016,0.88
,,2016 - 2017,0.9
,,2017 - 2018,0.89
,,2018 - 2019,0.91
,Tamenglong,2008 - 2009,0.72
,,2009 - 2010,0.63
,,2010 - 2011,0.68
,,2011 - 2012,0.73
,,2012 - 2013,0.8
,,2013 - 2014,0.88
,,2014 - 2015,0.82
,,2015 - 2016,0.91
,,2016 - 2017,0.94
,,2017 - 2018,0.84
,,2018 - 2019,0.9
,Thoubal,2008 - 2009,0.71
,,2009 - 2010,0.89
,,2010 - 2011,0.83
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.92
,,2014 - 2015,0.84
,,2015 - 2016,0.91
,,2016 - 2017,0.94
,,2017 - 2018,0.9
,,2018 - 2019,0.94
,Ukhrul,2008 - 2009,1.27
,,2009 - 2010,0.75
,,2010 - 2011,0.84
,,2011 - 2012,0.79
,,2012 - 2013,0.77
,,2013 - 2014,0.9
,,2014 - 2015,0.76
,,2015 - 2016,0.91
,,2016 - 2017,0.92
,,2017 - 2018,0.91
,,2018 - 2019,0.92
Meghalaya,East garo hills,2009 - 2010,0.5
,,2010 - 2011,0.53
,,2011 - 2012,0.56
,,2013 - 2014,1.41
,,2014 - 2015,1.47
,,2015 - 2016,1.5
,,2016 - 2017,1.56
,,2017 - 2018,1.56
,,2018 - 2019,1.56
,,2019 - 2020,1.56
,,2020 - 2021,1.56
,,2022 - 2023,0.49
,East jaintia hills,2022 - 2023,1.0
,East khasi hills,2009 - 2010,0.5
,,2010 - 2011,0.6
,,2011 - 2012,0.67
,,2013 - 2014,2.0
,,2014 - 2015,2.04
,,2015 - 2016,2.11
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2022 - 2023,2.0
,North garo hills,2013 - 2014,1.46
,,2014 - 2015,1.52
,,2015 - 2016,1.69
,,2016 - 2017,1.65
,,2017 - 2018,1.67
,,2018 - 2019,1.67
,,2019 - 2020,1.67
,,2020 - 2021,1.67
,,2022 - 2023,1.68
,Ri bhoi,2015 - 2016,1.0
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2022 - 2023,0.67
,South garo hills,2009 - 2010,1.08
,,2010 - 2011,1.08
,,2011 - 2012,1.08
,,2013 - 2014,1.44
,,2014 - 2015,1.5
,,2015 - 2016,1.6
,,2016 - 2017,1.51
,,2017 - 2018,1.51
,,2018 - 2019,1.51
,,2019 - 2020,1.51
,,2020 - 2021,1.51
,,2022 - 2023,1.42
,South west garo hills,2013 - 2014,0.95
,,2014 - 2015,0.96
,,2015 - 2016,0.98
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2022 - 2023,1.01
,West garo hills,2009 - 2010,0.84
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2013 - 2014,0.96
,,2014 - 2015,0.97
,,2015 - 2016,1.01
,,2016 - 2017,1.01
,,2017 - 2018,1.01
,,2018 - 2019,1.01
,,2019 - 2020,1.02
,,2020 - 2021,1.02
,,2022 - 2023,1.02
Mizoram,Aizawl,2000 - 2001,0.8
,,2001 - 2002,1.47
,Champhai,2002 - 2003,1.37
,Kolasib,2001 - 2002,0.6
,,2002 - 2003,0.58
,,2003 - 2004,0.67
,,2004 - 2005,0.6
,,2005 - 2006,0.71
,Lawngtlai,2004 - 2005,0.5
,Lunglei,2001 - 2002,1.0
,,2002 - 2003,0.67
,,2004 - 2005,
,Mamit,2003 - 2004,1.0
,,2004 - 2005,2.0
,,2005 - 2006,1.67
,Saiha,2003 - 2004,0.5
Nagaland,Chumoukedima,2022 - 2023,0.83
,Dimapur,2003 - 2004,0.48
,,2004 - 2005,0.38
,,2005 - 2006,1.4
,,2006 - 2007,1.14
,,2008 - 2009,0.63
,,2009 - 2010,0.71
,,2010 - 2011,0.75
,,2011 - 2012,0.76
,,2012 - 2013,0.83
,,2013 - 2014,0.81
,,2014 - 2015,0.83
,,2015 - 2016,0.92
,,2016 - 2017,0.81
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.89
,,2022 - 2023,0.83
,Kohima,2003 - 2004,0.58
,,2004 - 2005,0.49
,,2005 - 2006,1.51
,,2006 - 2007,1.2
,,2008 - 2009,0.71
,,2009 - 2010,0.71
,,2010 - 2011,0.78
,,2011 - 2012,0.78
,,2012 - 2013,0.83
,,2013 - 2014,0.83
,,2014 - 2015,0.83
,,2015 - 2016,0.83
,,2016 - 2017,0.82
,,2017 - 2018,0.83
