state,district,year,sesamum_kharif_yield_tonne_per_hectare
,,2011 - 2012,0.5
,,2017 - 2018,0.88
,Davangere,2000 - 2001,0.41
,,2001 - 2002,0.53
,,2002 - 2003,0.53
,,2003 - 2004,0.22
,,2004 - 2005,1.34
,,2005 - 2006,0.67
,,2006 - 2007,0.82
,,2007 - 2008,0.84
,,2008 - 2009,0.71
,,2009 - 2010,1.67
,,2010 - 2011,1.33
,,2011 - 2012,0.67
,,2012 - 2013,1.2
,,2013 - 2014,1.11
,,2014 - 2015,0.61
,,2015 - 2016,0.89
,,2016 - 2017,0.47
,,2017 - 2018,0.89
,,2018 - 2019,1.55
,,2019 - 2020,1.0
,,2020 - 2021,0.93
,,2021 - 2022,0.75
,,2022 - 2023,0.65
,Dharwad,2000 - 2001,0.41
,,2001 - 2002,0.37
,,2002 - 2003,0.39
,,2003 - 2004,0.44
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.59
,,2007 - 2008,0.56
,,2008 - 2009,0.51
,,2009 - 2010,0.41
,,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2013 - 2014,0.57
,,2014 - 2015,0.51
,,2015 - 2016,0.5
,,2016 - 2017,0.63
,,2017 - 2018,0.88
,,2018 - 2019,0.63
,,2019 - 2020,0.84
,,2020 - 2021,0.9
,,2021 - 2022,0.77
,,2022 - 2023,0.67
,Gadag,2000 - 2001,0.41
,,2001 - 2002,0.19
,,2002 - 2003,0.34
,,2003 - 2004,0.44
,,2004 - 2005,0.61
,,2005 - 2006,0.73
,,2006 - 2007,0.39
,,2007 - 2008,0.36
,,2008 - 2009,0.35
,,2009 - 2010,0.21
,,2010 - 2011,0.76
,,2011 - 2012,0.48
,,2012 - 2013,0.13
,,2013 - 2014,0.4
,,2014 - 2015,0.72
,,2015 - 2016,0.2
,,2016 - 2017,0.74
,,2017 - 2018,1.07
,,2018 - 2019,0.57
,,2019 - 2020,1.08
,,2020 - 2021,0.78
,,2021 - 2022,0.81
,,2022 - 2023,0.57
,Gulbarga,2000 - 2001,0.31
,,2001 - 2002,0.3
,,2002 - 2003,0.36
,,2003 - 2004,0.57
,,2004 - 2005,0.33
,,2005 - 2006,0.77
,,2006 - 2007,0.38
,,2007 - 2008,0.52
,,2008 - 2009,0.3
,,2009 - 2010,0.11
,,2010 - 2011,0.27
,,2011 - 2012,0.48
,,2012 - 2013,0.47
,,2013 - 2014,0.59
,,2014 - 2015,0.51
,,2015 - 2016,0.3
,,2016 - 2017,0.89
,,2017 - 2018,1.61
,,2018 - 2019,1.17
,,2019 - 2020,1.19
,,2020 - 2021,1.09
,,2021 - 2022,1.11
,,2022 - 2023,1.11
,Hassan,2000 - 2001,0.45
,,2001 - 2002,0.46
,,2002 - 2003,0.42
,,2003 - 2004,0.34
,,2004 - 2005,0.62
,,2005 - 2006,1.21
,,2006 - 2007,0.86
,,2007 - 2008,0.54
,,2008 - 2009,0.43
,,2009 - 2010,0.62
,,2010 - 2011,1.02
,,2011 - 2012,0.58
,,2012 - 2013,0.17
,,2013 - 2014,0.25
,,2014 - 2015,0.49
,,2015 - 2016,0.47
,,2016 - 2017,0.25
,,2017 - 2018,0.14
,,2018 - 2019,0.47
,,2019 - 2020,0.53
,,2020 - 2021,0.73
,,2021 - 2022,0.75
,,2022 - 2023,0.65
,Haveri,2000 - 2001,0.41
,,2001 - 2002,0.65
,,2002 - 2003,0.39
,,2003 - 2004,0.22
,,2004 - 2005,0.54
,,2005 - 2006,1.0
,,2006 - 2007,0.97
,,2007 - 2008,0.88
,,2008 - 2009,0.71
,,2009 - 2010,0.67
,,2010 - 2011,0.34
,,2011 - 2012,0.33
,,2012 - 2013,0.07
,,2013 - 2014,0.51
,,2014 - 2015,0.72
,,2015 - 2016,0.18
,,2016 - 2017,0.12
,,2017 - 2018,0.86
,,2018 - 2019,0.67
,,2019 - 2020,0.86
,,2020 - 2021,0.9
,,2021 - 2022,1.17
,,2022 - 2023,0.6
,Kodagu,2005 - 2006,0.9
,,2006 - 2007,0.6
,,2007 - 2008,0.5
,,2008 - 2009,0.6
,Kolar,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2012 - 2013,0.32
,,2013 - 2014,0.57
,,2014 - 2015,0.51
,,2015 - 2016,0.48
,,2016 - 2017,0.64
,,2017 - 2018,0.86
,,2018 - 2019,0.64
,,2019 - 2020,0.86
,,2020 - 2021,0.9
,,2021 - 2022,0.78
,,2022 - 2023,0.6
,Koppal,2000 - 2001,0.43
,,2001 - 2002,0.38
,,2002 - 2003,0.22
,,2003 - 2004,0.47
,,2004 - 2005,0.36
,,2005 - 2006,0.85
,,2006 - 2007,0.27
,,2007 - 2008,0.44
,,2008 - 2009,0.47
,,2009 - 2010,0.17
,,2010 - 2011,0.54
,,2011 - 2012,0.44
,,2012 - 2013,0.66
,,2013 - 2014,1.23
,,2014 - 2015,0.68
,,2015 - 2016,0.14
,,2016 - 2017,0.49
,,2017 - 2018,1.18
,,2018 - 2019,0.36
,,2019 - 2020,0.6
,,2020 - 2021,0.87
,,2021 - 2022,0.66
,,2022 - 2023,0.58
,Mandya,2000 - 2001,0.36
,,2001 - 2002,0.53
,,2002 - 2003,0.44
,,2003 - 2004,0.22
,,2004 - 2005,0.62
,,2005 - 2006,1.29
,,2006 - 2007,0.83
,,2007 - 2008,0.8
,,2008 - 2009,0.88
,,2009 - 2010,0.78
,,2010 - 2011,0.78
,,2011 - 2012,0.71
,,2012 - 2013,0.17
,,2013 - 2014,0.52
,,2014 - 2015,0.29
,,2015 - 2016,0.53
,,2016 - 2017,0.61
,,2017 - 2018,0.56
,,2018 - 2019,0.73
,,2019 - 2020,0.66
,,2020 - 2021,0.86
,,2021 - 2022,0.75
,,2022 - 2023,0.64
,Mysore,2000 - 2001,0.47
,,2001 - 2002,0.74
,,2002 - 2003,0.37
,,2003 - 2004,0.41
,,2004 - 2005,1.01
,,2005 - 2006,1.39
,,2006 - 2007,1.0
,,2007 - 2008,0.68
,,2008 - 2009,0.68
,,2009 - 2010,0.7
,,2010 - 2011,0.87
,,2011 - 2012,0.63
,,2012 - 2013,0.23
,,2013 - 2014,0.59
,,2014 - 2015,0.6
,,2015 - 2016,0.74
,,2016 - 2017,0.56
,,2017 - 2018,0.74
,,2018 - 2019,0.93
,,2019 - 2020,0.69
,,2020 - 2021,0.76
,,2021 - 2022,0.78
,,2022 - 2023,0.56
,Raichur,2000 - 2001,0.41
,,2001 - 2002,0.1
,,2002 - 2003,0.33
,,2003 - 2004,0.18
,,2004 - 2005,0.13
,,2005 - 2006,0.26
,,2006 - 2007,0.2
,,2007 - 2008,0.28
,,2008 - 2009,0.36
,,2009 - 2010,0.07
,,2010 - 2011,0.38
,,2011 - 2012,0.16
,,2012 - 2013,0.23
,,2013 - 2014,0.3
,,2014 - 2015,0.12
,,2015 - 2016,0.04
,,2016 - 2017,0.27
,,2017 - 2018,0.34
,,2018 - 2019,0.37
,,2019 - 2020,0.49
,,2020 - 2021,0.88
,,2021 - 2022,0.34
,,2022 - 2023,1.16
,Ramanagara,2007 - 2008,0.08
,,2008 - 2009,0.38
,,2009 - 2010,0.66
,,2010 - 2011,0.28
,,2011 - 2012,0.62
,,2012 - 2013,0.03
,,2013 - 2014,0.48
,,2014 - 2015,0.38
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.49
,,2018 - 2019,0.89
,,2019 - 2020,0.33
,,2020 - 2021,0.85
,,2021 - 2022,0.45
,,2022 - 2023,0.46
,Shimoga,2000 - 2001,0.41
,,2001 - 2002,0.37
,,2002 - 2003,0.39
,,2003 - 2004,0.44
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.58
,,2007 - 2008,0.57
,,2008 - 2009,0.51
,,2009 - 2010,0.4
,,2010 - 2011,0.56
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2013 - 2014,0.58
,,2014 - 2015,0.67
,,2015 - 2016,0.0
,,2016 - 2017,1.0
,,2017 - 2018,0.8
,,2018 - 2019,0.63
,,2020 - 2021,0.9
,,2021 - 2022,0.67
,,2022 - 2023,0.75
,Tumkur,2000 - 2001,0.41
,,2001 - 2002,0.37
,,2002 - 2003,0.39
,,2003 - 2004,0.44
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.59
,,2007 - 2008,0.56
,,2008 - 2009,0.51
,,2009 - 2010,0.41
,,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2012 - 2013,0.32
,,2013 - 2014,0.47
,,2014 - 2015,0.1
,,2015 - 2016,0.45
,,2016 - 2017,0.32
,,2017 - 2018,0.88
,,2018 - 2019,0.78
,,2019 - 2020,1.0
,,2020 - 2021,0.94
,,2021 - 2022,0.55
,,2022 - 2023,0.46
,Udupi,2000 - 2001,0.41
,,2001 - 2002,0.37
,,2002 - 2003,0.4
,,2003 - 2004,0.44
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.58
,,2007 - 2008,0.56
,,2008 - 2009,0.51
,,2009 - 2010,0.4
,,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2016 - 2017,0.63
,,2017 - 2018,0.88
,,2018 - 2019,0.63
,,2019 - 2020,0.86
,,2020 - 2021,0.92
,,2021 - 2022,0.75
,,2022 - 2023,0.68
,Uttar kannad,2000 - 2001,0.42
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.5
,,2004 - 2005,0.6
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2020 - 2021,0.9
,,2021 - 2022,0.75
,,2022 - 2023,1.0
,Vijayanagar,2022 - 2023,0.65
,Yadgir,2010 - 2011,0.27
,,2011 - 2012,0.11
,,2012 - 2013,0.1
,,2013 - 2014,0.18
,,2014 - 2015,0.24
,,2015 - 2016,0.07
,,2016 - 2017,0.21
,,2017 - 2018,2.69
,,2018 - 2019,0.63
,,2019 - 2020,0.85
,,2020 - 2021,0.23
,,2021 - 2022,0.8
,,2022 - 2023,0.67
Kerala,Alappuzha,2000 - 2001,0.33
,,2001 - 2002,0.26
,,2002 - 2003,0.36
,,2003 - 2004,0.23
,,2004 - 2005,0.27
,,2005 - 2006,0.27
,,2006 - 2007,0.38
,,2007 - 2008,0.2
,,2008 - 2009,0.84
,,2009 - 2010,0.21
,,2010 - 2011,0.13
,,2011 - 2012,0.33
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ernakulam,2000 - 2001,0.42
,,2001 - 2002,0.43
,,2002 - 2003,0.29
,,2003 - 2004,0.26
,,2004 - 2005,0.18
,,2005 - 2006,0.24
,,2006 - 2007,0.51
,,2007 - 2008,0.21
,,2008 - 2009,0.77
,,2009 - 2010,0.13
,,2010 - 2011,0.12
,,2011 - 2012,0.13
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Idukki,2000 - 2001,0.73
,,2001 - 2002,0.29
,,2002 - 2003,0.17
,,2004 - 2005,0.75
,,2006 - 2007,0.43
,,2008 - 2009,0.2
,,2009 - 2010,0.4
,,2011 - 2012,0.13
,,2018 - 2019,
,,2020 - 2021,
,Kannur,2000 - 2001,0.6
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.15
,,2007 - 2008,0.33
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kasaragod,2000 - 2001,0.0
,,2005 - 2006,0.67
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2013 - 2014,
,Kollam,2000 - 2001,0.5
,,2001 - 2002,0.47
,,2002 - 2003,0.57
,,2003 - 2004,0.49
,,2004 - 2005,0.48
,,2005 - 2006,0.68
,,2006 - 2007,0.6
,,2007 - 2008,0.4
,,2008 - 2009,0.57
,,2009 - 2010,0.65
,,2010 - 2011,0.68
,,2011 - 2012,0.59
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kottayam,2000 - 2001,0.17
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2005 - 2006,0.25
,,2019 - 2020,
,Kozhikode,2001 - 2002,0.25
,,2004 - 2005,0.0
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malappuram,2000 - 2001,0.41
,,2001 - 2002,0.24
,,2002 - 2003,0.26
,,2003 - 2004,0.25
,,2004 - 2005,0.3
,,2005 - 2006,0.31
,,2006 - 2007,0.45
,,2007 - 2008,0.38
,,2008 - 2009,0.47
,,2009 - 2010,0.41
,,2010 - 2011,0.45
,,2011 - 2012,0.34
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Palakkad,2000 - 2001,0.29
,,2001 - 2002,0.37
,,2002 - 2003,0.25
,,2003 - 2004,0.11
,,2004 - 2005,0.12
,,2005 - 2006,0.17
,,2006 - 2007,0.13
,,2007 - 2008,0.2
,,2008 - 2009,0.27
,,2009 - 2010,0.11
,,2010 - 2011,0.14
,,2011 - 2012,0.19
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pathanamthitta,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.17
,,2004 - 2005,0.33
,,2005 - 2006,0.3
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvananthapuram,2001 - 2002,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thrissur,2000 - 2001,0.41
,,2001 - 2002,0.26
,,2002 - 2003,0.35
,,2003 - 2004,0.09
,,2004 - 2005,0.21
,,2005 - 2006,0.34
,,2006 - 2007,0.14
,,2007 - 2008,0.33
,,2008 - 2009,0.14
,,2009 - 2010,0.33
,,2010 - 2011,0.17
,,2011 - 2012,0.25
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wayanad,2000 - 2001,0.29
,,2001 - 2002,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.11
,,2004 - 2005,0.1
,,2005 - 2006,0.08
,,2006 - 2007,0.33
,,2007 - 2008,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.12
,,2011 - 2012,0.07
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Madhya Pradesh,Agar malwa,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.22
,,2020 - 2021,0.69
,,2021 - 2022,0.36
,,2022 - 2023,0.46
,Alirajpur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.62
,,2020 - 2021,0.65
,,2021 - 2022,0.0
,,2022 - 2023,0.4
,Anuppur,2003 - 2004,0.23
,,2004 - 2005,0.25
,,2005 - 2006,0.17
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.23
,,2020 - 2021,0.31
,,2021 - 2022,0.31
,,2022 - 2023,0.31
,Ashoknagar,2003 - 2004,0.62
,,2004 - 2005,0.66
,,2005 - 2006,0.59
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.76
,,2020 - 2021,0.85
,,2021 - 2022,0.93
,,2022 - 2023,0.66
,Balaghat,2000 - 2001,0.61
,,2001 - 2002,0.62
,,2002 - 2003,0.65
,,2003 - 2004,0.79
,,2004 - 2005,0.86
,,2005 - 2006,0.82
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.95
,,2020 - 2021,0.89
,,2021 - 2022,0.96
,,2022 - 2023,0.71
,Barwani,2000 - 2001,0.17
,,2001 - 2002,0.22
,,2002 - 2003,0.23
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.32
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.53
,,2020 - 2021,0.37
,Betul,2000 - 2001,0.24
,,2001 - 2002,0.26
,,2002 - 2003,0.24
,,2003 - 2004,0.35
,,2004 - 2005,0.3
,,2005 - 2006,0.28
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.44
,,2020 - 2021,0.45
,,2021 - 2022,0.29
,,2022 - 2023,0.42
,Bhind,2000 - 2001,0.58
,,2001 - 2002,0.57
,,2002 - 2003,0.56
,,2003 - 2004,0.68
,,2004 - 2005,0.74
,,2005 - 2006,0.63
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.8
,,2020 - 2021,0.85
,,2021 - 2022,0.37
,,2022 - 2023,0.73
,Bhopal,2000 - 2001,0.36
,,2001 - 2002,0.34
,,2002 - 2003,0.29
,,2003 - 2004,0.36
,,2004 - 2005,0.41
,,2005 - 2006,0.38
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.58
,,2020 - 2021,0.6
,,2021 - 2022,0.43
,,2022 - 2023,0.43
,Burhanpur,2003 - 2004,0.4
,,2004 - 2005,0.59
,,2005 - 2006,0.49
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,0.9
,,2020 - 2021,1.02
,,2021 - 2022,0.73
,Chhatarpur,2000 - 2001,0.22
,,2001 - 2002,0.25
,,2002 - 2003,0.23
,,2003 - 2004,0.28
,,2004 - 2005,0.42
,,2005 - 2006,0.34
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.14
,,2020 - 2021,0.28
,,2021 - 2022,0.42
,,2022 - 2023,0.42
,Chhindwara,2000 - 2001,0.21
,,2001 - 2002,0.19
,,2002 - 2003,0.21
,,2003 - 2004,0.44
,,2004 - 2005,0.43
,,2005 - 2006,0.27
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.88
,,2020 - 2021,0.42
,,2021 - 2022,0.46
,,2022 - 2023,0.46
,Damoh,2000 - 2001,0.18
,,2001 - 2002,0.25
,,2002 - 2003,0.15
,,2003 - 2004,0.35
,,2004 - 2005,0.38
,,2005 - 2006,0.28
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.28
,,2020 - 2021,0.6
,,2021 - 2022,0.51
,,2022 - 2023,0.76
,Datia,2000 - 2001,0.61
,,2001 - 2002,0.6
,,2002 - 2003,0.29
,,2003 - 2004,0.65
,,2004 - 2005,0.49
,,2005 - 2006,0.64
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.91
,,2020 - 2021,0.42
,,2021 - 2022,0.61
,,2022 - 2023,0.58
,Dewas,2000 - 2001,0.37
,,2001 - 2002,0.42
,,2002 - 2003,0.47
,,2003 - 2004,0.53
,,2004 - 2005,0.59
,,2005 - 2006,0.41
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,0.62
,,2021 - 2022,0.98
,Dhar,2000 - 2001,0.17
,,2001 - 2002,0.23
,,2002 - 2003,0.3
,,2003 - 2004,0.38
,,2004 - 2005,0.39
,,2005 - 2006,0.28
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,0.83
,,2020 - 2021,0.59
,,2021 - 2022,0.0
,Dindori,2000 - 2001,0.13
,,2001 - 2002,0.2
,,2002 - 2003,0.19
,,2003 - 2004,0.21
,,2004 - 2005,0.3
,,2005 - 2006,0.32
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,0.47
,,2020 - 2021,0.24
,,2021 - 2022,0.0
,,2022 - 2023,0.42
,Guna,2000 - 2001,0.61
,,2001 - 2002,0.57
,,2002 - 2003,0.19
,,2003 - 2004,0.71
,,2004 - 2005,0.78
,,2005 - 2006,0.7
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.98
,,2020 - 2021,0.48
,,2021 - 2022,0.97
,,2022 - 2023,0.96
,Gwalior,2000 - 2001,0.5
,,2001 - 2002,0.55
,,2002 - 2003,0.38
,,2003 - 2004,0.64
,,2004 - 2005,0.68
,,2005 - 2006,0.6
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.66
,,2020 - 2021,0.47
,,2021 - 2022,0.47
,,2022 - 2023,0.47
,Harda,2000 - 2001,0.37
,,2001 - 2002,0.42
,,2002 - 2003,0.4
,,2003 - 2004,0.45
,,2004 - 2005,0.52
,,2005 - 2006,0.47
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,0.5
,,2020 - 2021,0.48
,,2021 - 2022,0.53
,,2022 - 2023,0.57
,Hoshangabad,2000 - 2001,0.37
,,2001 - 2002,0.4
,,2002 - 2003,0.42
,,2003 - 2004,0.53
,,2004 - 2005,0.59
,,2005 - 2006,0.48
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.65
,,2020 - 2021,1.1
,,2021 - 2022,0.72
,,2022 - 2023,0.98
,Indore,2000 - 2001,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.65
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2020 - 2021,0.33
,Jabalpur,2000 - 2001,0.15
,,2001 - 2002,0.28
,,2002 - 2003,0.25
,,2003 - 2004,0.35
,,2004 - 2005,0.41
,,2005 - 2006,0.28
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.61
,,2020 - 2021,0.8
,,2021 - 2022,0.54
,,2022 - 2023,0.62
,Jhabua,2000 - 2001,0.23
,,2001 - 2002,0.26
,,2002 - 2003,0.33
,,2003 - 2004,0.45
,,2004 - 2005,0.44
,,2005 - 2006,0.4
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
