State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,,,,400,228,0.57,,,,,,
,,2003 - 2004,,,,380,217,0.57,,,,,,
,,2004 - 2005,,,,370,211,0.57,,,,,,
,,2005 - 2006,,,,320,182,0.57,,,,,,
,,2006 - 2007,,,,325,185,0.57,,,,,,
,,2007 - 2008,,,,350,200,0.57,,,,,,
,,2008 - 2009,,,,350,199,0.57,,,,,,
,,2009 - 2010,,,,342,195,0.57,,,,,,
,,2010 - 2011,,,,125,71,0.57,,,,,,
,,2011 - 2012,,,,90,53,0.59,,,,,,
,,2012 - 2013,,,,205,123,0.6,,,,,,
,,2013 - 2014,,,,35,38,1.09,,,,,,
,,2014 - 2015,,,,41,33,0.8,,,,,,
,,2015 - 2016,,,,50,31,0.62,,,,,,
,,2016 - 2017,,,,42,26,0.62,,,,,,
,,2017 - 2018,,,,32,29,0.91,,,,,,
,,2018 - 2019,,,,52,47,0.9,,,,,,
,,2019 - 2020,,,,42,56,1.33,,,,,,
,,2020 - 2021,,,,59,53,0.9,,,,,,
,,2021 - 2022,,,,54,52,0.96,,,,,,
,,2022 - 2023,,,,49,61,1.24,,,,,,
,16. Hojai,2020 - 2021,,,,325,269,0.83,,,,,,
,,2021 - 2022,,,,325,269,0.83,,,,,,
,,2022 - 2023,,,,325,271,0.83,,,,,,
,17. Jorhat,2001 - 2002,,,,852,356,0.42,,,,,,
,,2002 - 2003,,,,425,183,0.43,,,,,,
,,2003 - 2004,,,,"2,185.00",956,0.44,,,,,,
,,2004 - 2005,,,,872,373,0.43,,,,,,
,,2005 - 2006,,,,"1,164.00",498,0.43,,,,,,
,,2006 - 2007,,,,587,249,0.42,,,,,,
,,2007 - 2008,,,,"1,153.00",504,0.44,,,,,,
,,2008 - 2009,,,,"1,415.00",593,0.42,,,,,,
,,2009 - 2010,,,,"1,548.00",670,0.43,,,,,,
,,2010 - 2011,,,,"1,664.00",721,0.43,,,,,,
,,2011 - 2012,,,,"1,271.00",564,0.44,,,,,,
,,2012 - 2013,,,,"4,710.00","2,227.00",0.47,,,,,,
,,2013 - 2014,,,,"1,993.00","1,339.00",0.67,,,,,,
,,2014 - 2015,,,,"2,051.00","1,288.00",0.63,,,,,,
,,2015 - 2016,,,,"1,981.00","1,251.00",0.63,,,,,,
,,2016 - 2017,,,,"2,184.00","1,358.00",0.62,,,,,,
,,2017 - 2018,,,,"2,279.00","2,187.00",0.96,,,,,,
,,2018 - 2019,,,,"3,095.00","2,059.00",0.67,,,,,,
,,2019 - 2020,,,,"2,429.00","1,749.00",0.72,,,,,,
,,2020 - 2021,,,,384,242,0.63,,,,,,
,,2021 - 2022,,,,381,242,0.64,,,,,,
,,2022 - 2023,,,,330,211,0.64,,,,,,
,18. Kamrup,2001 - 2002,,,,"2,683.00","2,083.00",0.78,,,,,,
,,2002 - 2003,,,,"2,645.00","2,048.00",0.77,,,,,,
,,2003 - 2004,,,,"2,602.00","2,046.00",0.79,,,,,,
,,2004 - 2005,,,,"1,851.00","1,542.00",0.83,,,,,,
,,2005 - 2006,,,,"1,148.00",945,0.82,,,,,,
,,2006 - 2007,,,,802,629,0.78,,,,,,
,,2007 - 2008,,,,"1,238.00","1,003.00",0.81,,,,,,
,,2008 - 2009,,,,"1,357.00","1,105.00",0.81,,,,,,
,,2009 - 2010,,,,"1,596.00","1,273.00",0.8,,,,,,
,,2010 - 2011,,,,"1,608.00","1,289.00",0.8,,,,,,
,,2011 - 2012,,,,"1,512.00","1,274.00",0.84,,,,,,
,,2012 - 2013,,,,"1,755.00","1,470.00",0.84,,,,,,
,,2013 - 2014,,,,"1,624.00","1,399.00",0.86,,,,,,
,,2014 - 2015,,,,"1,516.00","1,731.00",1.14,,,,,,
,,2015 - 2016,,,,"1,423.00","1,209.00",0.85,,,,,,
,,2016 - 2017,,,,"1,258.00","1,090.00",0.87,,,,,,
,,2017 - 2018,,,,"1,061.00",914,0.86,,,,,,
,,2018 - 2019,,,,"1,020.00",913,0.9,,,,,,
,,2019 - 2020,,,,"1,030.00","1,085.00",1.05,,,,,,
,,2020 - 2021,,,,"1,570.00","1,410.00",0.9,,,,,,
,,2021 - 2022,,,,"2,395.00","1,595.00",0.67,,,,,,
,,2022 - 2023,,,,"1,799.00","2,159.00",1.2,,,,,,
,19. Kamrup metro,2005 - 2006,,,,79,68,0.86,,,,,,
,,2006 - 2007,,,,190,164,0.86,,,,,,
,,2007 - 2008,,,,171,139,0.81,,,,,,
,,2008 - 2009,,,,172,145,0.84,,,,,,
,,2009 - 2010,,,,165,139,0.84,,,,,,
,,2010 - 2011,,,,185,154,0.83,,,,,,
,,2011 - 2012,,,,188,163,0.87,,,,,,
,,2012 - 2013,,,,342,302,0.88,,,,,,
,,2013 - 2014,,,,284,254,0.89,,,,,,
,,2014 - 2015,,,,275,330,1.2,,,,,,
,,2015 - 2016,,,,273,244,0.89,,,,,,
,,2016 - 2017,,,,78,70,0.9,,,,,,
,,2017 - 2018,,,,138,124,0.9,,,,,,
,,2018 - 2019,,,,171,153,0.89,,,,,,
,,2019 - 2020,,,,156,269,1.72,,,,,,
,,2020 - 2021,,,,125,112,0.9,,,,,,
,,2021 - 2022,,,,220,164,0.75,,,,,,
,,2022 - 2023,,,,198,230,1.16,,,,,,
,20. Karbi anglong,2001 - 2002,,,,552,314,0.57,,,,,,
,,2002 - 2003,,,,567,326,0.57,,,,,,
,,2003 - 2004,,,,481,291,0.6,,,,,,
,,2004 - 2005,,,,509,323,0.63,,,,,,
,,2005 - 2006,,,,522,323,0.62,,,,,,
,,2006 - 2007,,,,535,332,0.62,,,,,,
,,2007 - 2008,,,,526,332,0.63,,,,,,
,,2008 - 2009,,,,532,333,0.63,,,,,,
,,2009 - 2010,,,,550,345,0.63,,,,,,
,,2010 - 2011,,,,550,445,0.81,,,,,,
,,2011 - 2012,,,,581,380,0.65,,,,,,
,,2012 - 2013,,,,587,363,0.62,,,,,,
,,2013 - 2014,,,,590,417,0.71,,,,,,
,,2014 - 2015,,,,624,525,0.84,,,,,,
,,2015 - 2016,,,,628,466,0.74,,,,,,
,,2016 - 2017,,,,647,468,0.72,,,,,,
,,2017 - 2018,,,,742,536,0.72,,,,,,
,,2018 - 2019,,,,"1,236.00",900,0.73,,,,,,
,,2019 - 2020,,,,"1,257.00","1,338.00",1.06,,,,,,
,,2020 - 2021,,,,"1,281.00",930,0.73,,,,,,
,,2021 - 2022,,,,"1,062.00",771,0.73,,,,,,
,,2022 - 2023,,,,"1,304.00",947,0.73,,,,,,
,21. Karimganj,2001 - 2002,,,,20,7,0.35,,,,,,
,,2002 - 2003,,,,100,33,0.33,,,,,,
,,2003 - 2004,,,,200,65,0.33,,,,,,
,,2004 - 2005,,,,140,46,0.33,,,,,,
,,2005 - 2006,,,,70,23,0.33,,,,,,
,,2006 - 2007,,,,125,41,0.33,,,,,,
,,2007 - 2008,,,,210,68,0.32,,,,,,
,,2008 - 2009,,,,280,91,0.33,,,,,,
,,2009 - 2010,,,,300,98,0.33,,,,,,
,,2010 - 2011,,,,315,165,0.52,,,,,,
,,2011 - 2012,,,,215,72,0.33,,,,,,
,,2012 - 2013,,,,122,42,0.34,,,,,,
,,2013 - 2014,,,,156,99,0.63,,,,,,
,,2014 - 2015,,,,171,79,0.46,,,,,,
,,2015 - 2016,,,,68,58,0.85,,,,,,
,,2016 - 2017,,,,340,221,0.65,,,,,,
,,2017 - 2018,,,,123,45,0.37,,,,,,
,,2018 - 2019,,,,133,106,0.8,,,,,,
,,2019 - 2020,,,,175,175,1,,,,,,
,,2020 - 2021,,,,325,279,0.86,,,,,,
,,2021 - 2022,,,,197,187,0.95,,,,,,
,,2022 - 2023,,,,195,205,1.05,,,,,,
,22. Kokrajhar,2001 - 2002,,,,314,166,0.53,,,,,,
,,2002 - 2003,,,,320,170,0.53,,,,,,
,,2003 - 2004,,,,332,176,0.53,,,,,,
,,2004 - 2005,,,,340,180,0.53,,,,,,
,,2005 - 2006,,,,389,209,0.54,,,,,,
,,2006 - 2007,,,,423,227,0.54,,,,,,
,,2007 - 2008,,,,552,347,0.63,,,,,,
,,2008 - 2009,,,,597,363,0.61,,,,,,
,,2009 - 2010,,,,695,384,0.55,,,,,,
,,2010 - 2011,,,,543,327,0.6,,,,,,
,,2011 - 2012,,,,532,286,0.54,,,,,,
,,2012 - 2013,,,,705,419,0.59,,,,,,
,,2013 - 2014,,,,710,459,0.65,,,,,,
,,2014 - 2015,,,,705,583,0.83,,,,,,
,,2015 - 2016,,,,720,494,0.69,,,,,,
,,2016 - 2017,,,,730,458,0.63,,,,,,
,,2017 - 2018,,,,751,472,0.63,,,,,,
,,2018 - 2019,,,,730,461,0.63,,,,,,
,,2019 - 2020,,,,690,726,1.05,,,,,,
,,2020 - 2021,,,,672,425,0.63,,,,,,
,,2021 - 2022,,,,730,526,0.72,,,,,,
,,2022 - 2023,,,,417,496,1.19,,,,,,
,23. Lakhimpur,2001 - 2002,,,,578,240,0.42,,,,,,
,,2002 - 2003,,,,375,156,0.42,,,,,,
,,2003 - 2004,,,,375,156,0.42,,,,,,
,,2004 - 2005,,,,388,167,0.43,,,,,,
,,2005 - 2006,,,,432,180,0.42,,,,,,
,,2006 - 2007,,,,"1,297.00",538,0.41,,,,,,
,,2007 - 2008,,,,"2,982.00","1,238.00",0.42,,,,,,
,,2008 - 2009,,,,"2,130.00",991,0.47,,,,,,
,,2009 - 2010,,,,"2,040.00",882,0.43,,,,,,
,,2010 - 2011,,,,"1,942.00",847,0.44,,,,,,
,,2011 - 2012,,,,990,443,0.45,,,,,,
,,2012 - 2013,,,,"1,808.00",835,0.46,,,,,,
,,2013 - 2014,,,,"1,478.00",910,0.62,,,,,,
,,2014 - 2015,,,,"1,590.00","1,431.00",0.9,,,,,,
,,2015 - 2016,,,,"1,260.00","1,144.00",0.91,,,,,,
,,2016 - 2017,,,,"1,665.00","1,509.00",0.91,,,,,,
,,2017 - 2018,,,,"2,800.00","2,363.00",0.84,,,,,,
,,2018 - 2019,,,,"1,910.00","2,388.00",1.25,,,,,,
,,2019 - 2020,,,,"1,895.00","1,446.00",0.76,,,,,,
,,2020 - 2021,,,,"1,835.00","2,331.00",1.27,,,,,,
,,2021 - 2022,,,,"1,667.00","2,076.00",1.25,,,,,,
,,2022 - 2023,,,,"1,446.00","1,750.00",1.21,,,,,,
,24. Majuli,2020 - 2021,,,,"2,010.00","1,347.00",0.67,,,,,,
,,2021 - 2022,,,,"1,520.00","1,018.00",0.67,,,,,,
,,2022 - 2023,,,,"1,520.00","1,018.00",0.67,,,,,,
,25. Marigaon,2001 - 2002,,,,400,400,1,,,,,,
,,2002 - 2003,,,,600,600,1,,,,,,
,,2003 - 2004,,,,700,700,1,,,,,,
,,2004 - 2005,,,,550,550,1,,,,,,
,,2005 - 2006,,,,460,460,1,,,,,,
,,2006 - 2007,,,,670,670,1,,,,,,
,,2007 - 2008,,,,701,701,1,,,,,,
,,2008 - 2009,,,,670,670,1,,,,,,
,,2009 - 2010,,,,588,588,1,,,,,,
,,2010 - 2011,,,,601,60,0.1,,,,,,
,,2011 - 2012,,,,710,698,0.98,,,,,,
,,2012 - 2013,,,,927,957,1.03,,,,,,
,,2013 - 2014,,,,842,825,0.98,,,,,,
,,2014 - 2015,,,,761,"1,068.00",1.4,,,,,,
,,2015 - 2016,,,,740,"1,038.00",1.4,,,,,,
,,2016 - 2017,,,,780,"1,104.00",1.42,,,,,,
,,2017 - 2018,,,,760,"1,097.00",1.44,,,,,,
,,2018 - 2019,,,,735,953,1.3,,,,,,
,,2019 - 2020,,,,779,"1,027.00",1.32,,,,,,
,,2020 - 2021,,,,774,968,1.25,,,,,,
,,2021 - 2022,,,,"1,001.00","1,251.00",1.25,,,,,,
,,2022 - 2023,,,,"1,436.00","1,666.00",1.16,,,,,,
,26. Nagaon,2001 - 2002,,,,"4,164.00","1,352.00",0.32,,,,,,
,,2002 - 2003,,,,"4,164.00","1,352.00",0.32,,,,,,
,,2003 - 2004,,,,"3,644.00","1,182.00",0.32,,,,,,
,,2004 - 2005,,,,"3,720.00","1,207.00",0.32,,,,,,
,,2005 - 2006,,,,"1,698.00",550,0.32,,,,,,
,,2006 - 2007,,,,"2,219.00",719,0.32,,,,,,
,,2007 - 2008,,,,"1,448.00",468,0.32,,,,,,
,,2008 - 2009,,,,"1,485.00",481,0.32,,,,,,
,,2009 - 2010,,,,"1,741.00",565,0.32,,,,,,
,,2010 - 2011,,,,"1,711.00",554,0.32,,,,,,
,,2011 - 2012,,,,"1,632.00",546,0.33,,,,,,
,,2012 - 2013,,,,"1,920.00",801,0.42,,,,,,
,,2013 - 2014,,,,"2,062.00","1,128.00",0.55,,,,,,
,,2014 - 2015,,,,"1,888.00","1,075.00",0.57,,,,,,
,,2015 - 2016,,,,"2,171.00","1,749.00",0.81,,,,,,
,,2016 - 2017,,,,"2,096.00","1,624.00",0.77,,,,,,
,,2017 - 2018,,,,"2,052.00","1,398.00",0.68,,,,,,
,,2018 - 2019,,,,"1,841.00","1,363.00",0.74,,,,,,
,,2019 - 2020,,,,"1,857.00","1,089.00",0.59,,,,,,
,,2020 - 2021,,,,"1,528.00","1,051.00",0.69,,,,,,
,,2021 - 2022,,,,"1,543.00","1,061.00",0.69,,,,,,
,,2022 - 2023,,,,"1,880.00","1,329.00",0.71,,,,,,
,27. Nalbari,2001 - 2002,,,,"2,800.00","2,184.00",0.78,,,,,,
,,2002 - 2003,,,,"2,400.00","1,872.00",0.78,,,,,,
,,2003 - 2004,,,,"2,420.00","1,888.00",0.78,,,,,,
,,2004 - 2005,,,,"2,460.00","1,919.00",0.78,,,,,,
,,2005 - 2006,,,,"1,029.00",803,0.78,,,,,,
,,2006 - 2007,,,,980,764,0.78,,,,,,
,,2007 - 2008,,,,"1,000.00",780,0.78,,,,,,
,,2008 - 2009,,,,742,573,0.77,,,,,,
,,2009 - 2010,,,,740,575,0.78,,,,,,
,,2010 - 2011,,,,750,583,0.78,,,,,,
,,2011 - 2012,,,,800,642,0.8,,,,,,
,,2012 - 2013,,,,"2,700.00","2,203.00",0.82,,,,,,
,,2013 - 2014,,,,"3,000.00","2,505.00",0.84,,,,,,
,,2014 - 2015,,,,"2,720.00","3,016.00",1.11,,,,,,
,,2015 - 2016,,,,"2,720.00","2,263.00",0.83,,,,,,
,,2016 - 2017,,,,"1,184.00","1,421.00",1.2,,,,,,
,,2017 - 2018,,,,"2,208.00","2,833.00",1.28,,,,,,
,,2018 - 2019,,,,"2,037.00","2,444.00",1.2,,,,,,
,,2019 - 2020,,,,"1,288.00","1,484.00",1.15,,,,,,
,,2020 - 2021,,,,"1,100.00","1,430.00",1.3,,,,,,
,,2021 - 2022,,,,"1,100.00","1,441.00",1.31,,,,,,
,,2022 - 2023,,,,510,638,1.25,,,,,,
,28. Sivasagar,2001 - 2002,,,,265,153,0.58,,,,,,
,,2002 - 2003,,,,297,167,0.56,,,,,,
,,2003 - 2004,,,,281,149,0.53,,,,,,
,,2004 - 2005,,,,313,176,0.56,,,,,,
,,2005 - 2006,,,,225,129,0.57,,,,,,
,,2006 - 2007,,,,203,126,0.62,,,,,,
,,2007 - 2008,,,,469,304,0.65,,,,,,
,,2008 - 2009,,,,327,246,0.75,,,,,,
,,2009 - 2010,,,,333,243,0.73,,,,,,
,,2010 - 2011,,,,212,134,0.63,,,,,,
,,2011 - 2012,,,,167,142,0.85,,,,,,
,,2012 - 2013,,,,414,275,0.66,,,,,,
,,2013 - 2014,,,,980,611,0.62,,,,,,
,,2014 - 2015,,,,565,475,0.84,,,,,,
,,2015 - 2016,,,,733,857,1.17,,,,,,
,,2016 - 2017,,,,"1,286.00","1,179.00",0.92,,,,,,
,,2017 - 2018,,,,"1,366.00","1,621.00",1.19,,,,,,
,,2018 - 2019,,,,"1,155.00","1,424.00",1.23,,,,,,
,,2019 - 2020,,,,965,"1,445.00",1.5,,,,,,
,,2020 - 2021,,,,310,247,0.8,,,,,,
,,2021 - 2022,,,,289,191,0.66,,,,,,
,,2022 - 2023,,,,180,130,0.72,,,,,,
,29. Sonitpur,2001 - 2002,,,,"2,546.00","1,314.00",0.52,,,,,,
,,2002 - 2003,,,,"1,919.00","1,007.00",0.52,,,,,,
,,2003 - 2004,,,,"2,334.00","1,219.00",0.52,,,,,,
,,2004 - 2005,,,,"2,192.00","1,157.00",0.53,,,,,,
,,2005 - 2006,,,,"1,866.00","1,022.00",0.55,,,,,,
,,2006 - 2007,,,,"2,225.00","1,188.00",0.53,,,,,,
,,2007 - 2008,,,,"2,140.00","1,150.00",0.54,,,,,,
,,2008 - 2009,,,,"1,920.00","1,037.00",0.54,,,,,,
,,2009 - 2010,,,,"2,428.00","1,280.00",0.53,,,,,,
,,2010 - 2011,,,,"2,284.00","1,204.00",0.53,,,,,,
,,2011 - 2012,,,,"2,329.00","1,259.00",0.54,,,,,,
,,2012 - 2013,,,,"2,262.00","1,235.00",0.55,,,,,,
,,2013 - 2014,,,,"3,234.00","1,788.00",0.55,,,,,,
,,2014 - 2015,,,,"3,053.00","2,276.00",0.75,,,,,,
,,2015 - 2016,,,,"2,793.00","2,262.00",0.81,,,,,,
,,2016 - 2017,,,,"2,827.00","2,324.00",0.82,,,,,,
,,2017 - 2018,,,,"2,621.00","2,468.00",0.94,,,,,,
,,2018 - 2019,,,,"2,449.00","2,200.00",0.9,,,,,,
,,2019 - 2020,,,,"2,668.00","2,297.00",0.86,,,,,,
,,2020 - 2021,,,,"1,810.00","1,660.00",0.92,,,,,,
,,2021 - 2022,,,,"1,810.00","1,602.00",0.89,,,,,,
,,2022 - 2023,,,,"1,880.00","1,673.00",0.89,,,,,,
,30. South salmara mancachar,2020 - 2021,,,,60,53,0.88,,,,,,
,,2021 - 2022,,,,60,53,0.88,,,,,,
,,2022 - 2023,,,,70,77,1.1,,,,,,
,31. Tinsukia,2001 - 2002,,,,585,239,0.41,,,,,,
,,2002 - 2003,,,,595,243,0.41,,,,,,
,,2003 - 2004,,,,662,271,0.41,,,,,,
,,2004 - 2005,,,,556,227,0.41,,,,,,
,,2005 - 2006,,,,548,224,0.41,,,,,,
,,2006 - 2007,,,,620,254,0.41,,,,,,
,,2007 - 2008,,,,630,258,0.41,,,,,,
,,2008 - 2009,,,,560,230,0.41,,,,,,
,,2009 - 2010,,,,587,240,0.41,,,,,,
,,2010 - 2011,,,,525,214,0.41,,,,,,
,,2011 - 2012,,,,576,242,0.42,,,,,,
,,2012 - 2013,,,,"1,066.00",468,0.44,,,,,,
,,2013 - 2014,,,,"1,564.00","1,063.00",0.68,,,,,,
,,2014 - 2015,,,,"1,645.00","1,661.00",1.01,,,,,,
,,2015 - 2016,,,,"1,600.00","1,555.00",0.97,,,,,,
,,2016 - 2017,,,,"1,572.00","1,543.00",0.98,,,,,,
,,2017 - 2018,,,,"1,606.00","1,753.00",1.09,,,,,,
,,2018 - 2019,,,,"1,593.00","1,780.00",1.12,,,,,,
,,2019 - 2020,,,,"1,329.00","1,124.00",0.85,,,,,,
,,2020 - 2021,,,,"1,392.00","1,714.00",1.23,,,,,,
,,2021 - 2022,,,,"1,387.00","1,643.00",1.18,,,,,,
,,2022 - 2023,,,,"1,045.00","1,325.00",1.27,,,,,,
,32. Udalguri,2005 - 2006,,,,826,417,0.5,,,,,,
,,2006 - 2007,,,,941,475,0.5,,,,,,
,,2007 - 2008,,,,766,387,0.51,,,,,,
,,2008 - 2009,,,,972,535,0.55,,,,,,
,,2009 - 2010,,,,308,160,0.52,,,,,,
,,2010 - 2011,,,,628,332,0.53,,,,,,
,,2011 - 2012,,,,393,211,0.54,,,,,,
,,2012 - 2013,,,,428,234,0.55,,,,,,
,,2013 - 2014,,,,607,345,0.57,,,,,,
,,2014 - 2015,,,,565,419,0.74,,,,,,
,,2015 - 2016,,,,496,820,1.65,,,,,,
,,2016 - 2017,,,,545,901,1.65,,,,,,
,,2017 - 2018,,,,535,880,1.64,,,,,,
,,2018 - 2019,,,,525,677,1.29,,,,,,
,,2019 - 2020,,,,486,499,1.03,,,,,,
,,2020 - 2021,,,,478,607,1.27,,,,,,
,,2021 - 2022,,,,478,612,1.28,,,,,,
,,2022 - 2023,,,,482,586,1.22,,,,,,
,33. West karbi anglong,2020 - 2021,,,,190,138,0.73,,,,,,
,,2021 - 2022,,,,190,138,0.73,,,,,,
,,2022 - 2023,,,,192,140,0.73,,,,,,
3. Bihar,1. Araria,2000 - 2001,,,,798,883,1.11,,,,,,
,,2001 - 2002,,,,"1,044.00","1,059.00",1.01,,,,,,
,,2002 - 2003,,,,493,440,0.89,,,,,,
,,2003 - 2004,,,,778,727,0.93,,,,,,
,,2004 - 2005,,,,772,679,0.88,,,,,,
,,2005 - 2006,,,,"1,242.00","1,143.00",0.92,,,,,,
,,2006 - 2007,,,,"1,044.00",971,0.93,,,,,,
,,2007 - 2008,,,,"1,586.00","2,744.00",1.73,,,,,,
,,2008 - 2009,,,,"1,359.00","1,307.00",0.96,,,,,,
,,2009 - 2010,,,,131,131,1,,,,,,
,,2010 - 2011,,,,474,491,1.04,,,,,,
,,2011 - 2012,,,,303,312,1.03,,,,,,
,,2012 - 2013,,,,474,493,1.04,,,,,,
,,2013 - 2014,,,,22,23,1.05,,,,,,
,,2016 - 2017,,,,7,7,1,,,,,,
,2. Arwal,2003 - 2004,,,,"1,143.00","1,068.00",0.93,,,,,,
,,2004 - 2005,,,,"1,142.00","1,005.00",0.88,,,,,,
,,2005 - 2006,,,,"1,095.00","1,007.00",0.92,,,,,,
,,2007 - 2008,,,,"1,248.00","1,344.00",1.08,,,,,,
,,2008 - 2009,,,,"1,128.00","1,085.00",0.96,,,,,,
,,2009 - 2010,,,,578,579,1,,,,,,
,,2010 - 2011,,,,575,595,1.03,,,,,,
,,2011 - 2012,,,,769,793,1.03,,,,,,
,,2012 - 2013,,,,578,602,1.04,,,,,,
,,2013 - 2014,,,,576,432,0.75,,,,,,
,,2014 - 2015,,,,861,870,1.01,,,,,,
,,2015 - 2016,,,,788,788,1,,,,,,
,,2016 - 2017,,,,718,661,0.92,,,,,,
,,2017 - 2018,,,,694,569,0.82,,,,,,
,,2018 - 2019,,,,575,525,0.91,,,,,,
,,2019 - 2020,,,,289,255,0.88,,,,,,
,,2020 - 2021,,,,233,204,0.88,,,,,,
,,2021 - 2022,,,,236,233,0.99,,,,,,
,,2022 - 2023,,,,234,214,0.91,,,,,,
,3. Aurangabad,2000 - 2001,,,,"1,180.00","1,134.00",0.96,,,,,,
,,2001 - 2002,,,,"1,003.00",987,0.98,,,,,,
,,2002 - 2003,,,,"1,154.00","1,031.00",0.89,,,,,,
,,2003 - 2004,,,,"1,181.00","1,103.00",0.93,,,,,,
,,2004 - 2005,,,,"1,269.00","1,117.00",0.88,,,,,,
,,2005 - 2006,,,,"1,258.00","1,157.00",0.92,,,,,,
,,2006 - 2007,,,,"1,194.00","1,110.00",0.93,,,,,,
,,2007 - 2008,,,,"1,454.00","1,566.00",1.08,,,,,,
,,2008 - 2009,,,,"1,439.00","1,384.00",0.96,,,,,,
,,2009 - 2010,,,,979,980,1,,,,,,
,,2010 - 2011,,,,698,722,1.03,,,,,,
,,2011 - 2012,,,,966,996,1.03,,,,,,
,,2012 - 2013,,,,"1,584.00","1,649.00",1.04,,,,,,
,,2013 - 2014,,,,"1,513.00","1,135.00",0.75,,,,,,
,,2014 - 2015,,,,"1,053.00","1,064.00",1.01,,,,,,
,,2015 - 2016,,,,"1,193.00","1,193.00",1,,,,,,
,,2016 - 2017,,,,644,592,0.92,,,,,,
,,2017 - 2018,,,,651,534,0.82,,,,,,
,,2018 - 2019,,,,776,708,0.91,,,,,,
,,2019 - 2020,,,,622,550,0.88,,,,,,
,,2020 - 2021,,,,623,543,0.87,,,,,,
,,2021 - 2022,,,,737,728,0.99,,,,,,
,,2022 - 2023,,,,709,649,0.92,,,,,,
,4. Banka,2000 - 2001,,,,198,191,0.96,,,,,,
,,2001 - 2002,,,,167,164,0.98,,,,,,
,,2002 - 2003,,,,67,60,0.9,,,,,,
,,2003 - 2004,,,,132,123,0.93,,,,,,
,,2004 - 2005,,,,82,72,0.88,,,,,,
,,2005 - 2006,,,,138,119,0.86,,,,,,
,,2006 - 2007,,,,82,76,0.93,,,,,,
,,2007 - 2008,,,,99,107,1.08,,,,,,
,,2008 - 2009,,,,106,102,0.96,,,,,,
,,2009 - 2010,,,,4,4,1,,,,,,
,,2010 - 2011,,,,13,13,1,,,,,,
,,2011 - 2012,,,,5,5,1,,,,,,
,,2012 - 2013,,,,3,3,1,,,,,,
,,2013 - 2014,,,,3,3,1,,,,,,
,,2014 - 2015,,,,25,24,0.96,,,,,,
,,2015 - 2016,,,,10,11,1.1,,,,,,
,,2016 - 2017,,,,28,29,1.04,,,,,,
,,2017 - 2018,,,,27,28,1.04,,,,,,
,,2018 - 2019,,,,43,45,1.05,,,,,,
,,2019 - 2020,,,,80,83,1.04,,,,,,
,,2020 - 2021,,,,79,82,1.04,,,,,,
,,2021 - 2022,,,,79,82,1.04,,,,,,
,,2022 - 2023,,,,73,75,1.03,,,,,,
,5. Begusarai,2000 - 2001,,,,"1,108.00",876,0.79,,,,,,
,,2001 - 2002,,,,"1,277.00","1,257.00",0.98,,,,,,
,,2002 - 2003,,,,"1,159.00","1,035.00",0.89,,,,,,
,,2003 - 2004,,,,"1,373.00","1,282.00",0.93,,,,,,
,,2004 - 2005,,,,948,834,0.88,,,,,,
,,2005 - 2006,,,,"1,020.00",989,0.97,,,,,,
,,2006 - 2007,,,,"1,026.00",954,0.93,,,,,,
,,2007 - 2008,,,,696,688,0.99,,,,,,
,,2008 - 2009,,,,"1,165.00","1,121.00",0.96,,,,,,
,,2009 - 2010,,,,"1,319.00","1,320.00",1,,,,,,
,,2010 - 2011,,,,"1,332.00","1,379.00",1.04,,,,,,
,,2011 - 2012,,,,"1,219.00","1,257.00",1.03,,,,,,
,,2012 - 2013,,,,"1,165.00","1,213.00",1.04,,,,,,
,,2013 - 2014,,,,"1,281.00","1,358.00",1.06,,,,,,
,,2014 - 2015,,,,"1,241.00","1,253.00",1.01,,,,,,
,,2015 - 2016,,,,"1,454.00","1,701.00",1.17,,,,,,
,,2016 - 2017,,,,"1,454.00","1,406.00",0.97,,,,,,
,,2017 - 2018,,,,"1,466.00","1,727.00",1.18,,,,,,
,,2018 - 2019,,,,"1,475.00","1,630.00",1.11,,,,,,
,,2019 - 2020,,,,"1,235.00","1,338.00",1.08,,,,,,
,,2020 - 2021,,,,"1,353.00","1,518.00",1.12,,,,,,
,,2021 - 2022,,,,"1,321.00","1,457.00",1.1,,,,,,
,,2022 - 2023,,,,"1,279.00","1,965.00",1.54,,,,,,
,6. Bhagalpur,2000 - 2001,,,,"2,329.00","2,247.00",0.96,,,,,,
,,2001 - 2002,,,,"1,841.00","1,812.00",0.98,,,,,,
,,2002 - 2003,,,,"1,448.00","1,293.00",0.89,,,,,,
,,2003 - 2004,,,,"1,760.00","1,644.00",0.93,,,,,,
,,2004 - 2005,,,,"1,460.00","1,285.00",0.88,,,,,,
,,2005 - 2006,,,,"1,470.00","1,272.00",0.87,,,,,,
,,2006 - 2007,,,,"1,434.00","1,334.00",0.93,,,,,,
,,2007 - 2008,,,,"1,463.00","1,576.00",1.08,,,,,,
,,2008 - 2009,,,,"1,447.00","1,395.00",0.96,,,,,,
,,2009 - 2010,,,,"1,390.00","1,391.00",1,,,,,,
