State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,927,"2,106.00",2.27,,,,,,,,,
,,2006 - 2007,986,"2,491.00",2.53,,,,,,,,,
,,2007 - 2008,"1,209.00","2,888.00",2.39,,,,,,,,,
,,2008 - 2009,865,"2,879.00",3.33,,,,,,,,,
,,2009 - 2010,978,"2,713.00",2.77,,,,,,,,,
,,2010 - 2011,957,"2,727.00",2.85,,,,,,,,,
,,2011 - 2012,939,"2,666.00",2.84,,,,,,,,,
,,2012 - 2013,803,"2,498.00",3.11,,,,,,,,,
,,2013 - 2014,774,"2,358.00",3.05,,,,,,,,,
,,2014 - 2015,760,"2,131.00",2.8,,,,,,,,,
,,2015 - 2016,611,"1,829.00",2.99,,,,,,,,,
,,2016 - 2017,553,"1,823.00",3.3,,,,,,,,,
,,2017 - 2018,526,"1,748.00",3.32,,,,,,,,,
,,2018 - 2019,496,"1,784.00",3.6,,,,,,,,,
,,2019 - 2020,465,"1,640.00",3.53,,,,,,,,,
,,2020 - 2021,388,"1,358.00",3.5,,,,,,,,,
,,2021 - 2022,220,780,3.55,,,,,,,,,
,,2022 - 2023,232,790,3.41,,,,,,,,,
,14. Dungarpur,2000 - 2001,373,677,1.82,,,,,,,,,
,,2001 - 2002,632,"1,625.00",2.57,,,,,,,,,
,,2002 - 2003,409,953,2.33,,,,,,,,,
,,2003 - 2004,946,"2,127.00",2.25,,,,,,,,,
,,2004 - 2005,"1,173.00","2,793.00",2.38,,,,,,,,,
,,2005 - 2006,"1,003.00","2,278.00",2.27,,,,,,,,,
,,2006 - 2007,"1,350.00","3,438.00",2.55,,,,,,,,,
,,2007 - 2008,"1,125.00","2,433.00",2.16,,,,,,,,,
,,2008 - 2009,442,"1,353.00",3.06,,,,,,,,,
,,2009 - 2010,990,"2,663.00",2.69,,,,,,,,,
,,2010 - 2011,981,"2,795.00",2.85,,,,,,,,,
,,2011 - 2012,"1,100.00","3,123.00",2.84,,,,,,,,,
,,2012 - 2013,"1,159.00","3,605.00",3.11,,,,,,,,,
,,2013 - 2014,"1,194.00","3,637.00",3.05,,,,,,,,,
,,2014 - 2015,972,"2,725.00",2.8,,,,,,,,,
,,2015 - 2016,841,"2,517.00",2.99,,,,,,,,,
,,2016 - 2017,873,"2,878.00",3.3,,,,,,,,,
,,2017 - 2018,879,"2,922.00",3.32,,,,,,,,,
,,2018 - 2019,837,"3,011.00",3.6,,,,,,,,,
,,2019 - 2020,915,"3,227.00",3.53,,,,,,,,,
,,2020 - 2021,746,"2,611.00",3.5,,,,,,,,,
,,2021 - 2022,670,"2,376.00",3.55,,,,,,,,,
,,2022 - 2023,738,"2,512.00",3.4,,,,,,,,,
,15. Ganganagar,2000 - 2001,"21,765.00","38,432.00",1.77,,,,,,,,,
,,2001 - 2002,"7,028.00","11,467.00",1.63,,,,,,,,,
,,2002 - 2003,"11,615.00","18,535.00",1.6,,,,,,,,,
,,2003 - 2004,"9,958.00","17,636.00",1.77,,,,,,,,,
,,2004 - 2005,"11,473.00","24,371.00",2.12,,,,,,,,,
,,2005 - 2006,"14,349.00","35,377.00",2.47,,,,,,,,,
,,2006 - 2007,"23,435.00","69,236.00",2.95,,,,,,,,,
,,2007 - 2008,"31,401.00","91,241.00",2.91,,,,,,,,,
,,2008 - 2009,"58,315.00","2,09,838.00",3.6,,,,,,,,,
,,2009 - 2010,"28,078.00","71,549.00",2.55,,,,,,,,,
,,2010 - 2011,"19,316.00","79,427.00",4.11,,,,,,,,,
,,2011 - 2012,"26,369.00","92,432.00",3.51,,,,,,,,,
,,2012 - 2013,"38,079.00","1,49,963.00",3.94,,,,,,,,,
,,2013 - 2014,"45,319.00","1,68,992.00",3.73,,,,,,,,,
,,2014 - 2015,"79,408.00","2,42,914.00",3.06,,,,,,,,,
,,2015 - 2016,"36,641.00","1,24,436.00",3.4,,,,,,,,,
,,2016 - 2017,"40,137.00","1,54,747.00",3.86,,,,,,,,,
,,2017 - 2018,"56,122.00","2,28,829.00",4.08,,,,,,,,,
,,2018 - 2019,"41,616.00","1,93,905.00",4.66,,,,,,,,,
,,2019 - 2020,"56,325.00","2,58,590.00",4.59,,,,,,,,,
,,2020 - 2021,"49,090.00","2,06,922.00",4.22,,,,,,,,,
,,2021 - 2022,"29,951.00","1,33,284.00",4.45,,,,,,,,,
,,2022 - 2023,"71,753.00","3,24,809.00",4.53,,,,,,,,,
,16. Hanumangarh,2000 - 2001,"15,801.00","24,024.00",1.52,,,,,,,,,
,,2001 - 2002,"6,974.00","16,529.00",2.37,,,,,,,,,
,,2002 - 2003,"15,713.00","36,191.00",2.3,,,,,,,,,
,,2003 - 2004,"9,457.00","19,151.00",2.03,,,,,,,,,
,,2004 - 2005,"8,906.00","20,705.00",2.32,,,,,,,,,
,,2005 - 2006,"12,600.00","29,294.00",2.32,,,,,,,,,
,,2006 - 2007,"19,035.00","48,322.00",2.54,,,,,,,,,
,,2007 - 2008,"26,655.00","74,916.00",2.81,,,,,,,,,
,,2008 - 2009,"39,152.00","1,51,752.00",3.88,,,,,,,,,
,,2009 - 2010,"20,409.00","60,742.00",2.98,,,,,,,,,
,,2010 - 2011,"14,714.00","45,951.00",3.12,,,,,,,,,
,,2011 - 2012,"14,967.00","49,143.00",3.28,,,,,,,,,
,,2012 - 2013,"16,703.00","57,195.00",3.42,,,,,,,,,
,,2013 - 2014,"18,890.00","69,047.00",3.66,,,,,,,,,
,,2014 - 2015,"22,100.00","85,796.00",3.88,,,,,,,,,
,,2015 - 2016,"11,629.00","38,569.00",3.32,,,,,,,,,
,,2016 - 2017,"11,730.00","40,286.00",3.43,,,,,,,,,
,,2017 - 2018,"15,608.00","49,633.00",3.18,,,,,,,,,
,,2018 - 2019,"7,762.00","28,025.00",3.61,,,,,,,,,
,,2019 - 2020,"14,313.00","53,019.00",3.7,,,,,,,,,
,,2020 - 2021,"12,207.00","41,836.00",3.43,,,,,,,,,
,,2021 - 2022,"7,548.00","27,331.00",3.62,,,,,,,,,
,,2022 - 2023,"19,608.00","76,491.00",3.9,,,,,,,,,
,17. Jaipur,2000 - 2001,"58,447.00","1,06,103.00",1.82,,,,,,,,,
,,2001 - 2002,"48,821.00","1,49,049.00",3.05,,,,,,,,,
,,2002 - 2003,"53,506.00","1,44,902.00",2.71,,,,,,,,,
,,2003 - 2004,"51,310.00","1,15,602.00",2.25,,,,,,,,,
,,2004 - 2005,"48,655.00","1,29,723.00",2.67,,,,,,,,,
,,2005 - 2006,"47,201.00","1,23,746.00",2.62,,,,,,,,,
,,2006 - 2007,"45,317.00","1,18,597.00",2.62,,,,,,,,,
,,2007 - 2008,"44,347.00","77,983.00",1.76,,,,,,,,,
,,2008 - 2009,"51,563.00","1,52,963.00",2.97,,,,,,,,,
,,2009 - 2010,"49,582.00","1,50,768.00",3.04,,,,,,,,,
,,2010 - 2011,"65,146.00","2,41,202.00",3.7,,,,,,,,,
,,2011 - 2012,"60,706.00","1,67,654.00",2.76,,,,,,,,,
,,2012 - 2013,"62,657.00","1,84,248.00",2.94,,,,,,,,,
,,2013 - 2014,"61,603.00","1,75,292.00",2.85,,,,,,,,,
,,2014 - 2015,"60,542.00","1,87,003.00",3.09,,,,,,,,,
,,2015 - 2016,"55,929.00","1,80,062.00",3.22,,,,,,,,,
,,2016 - 2017,"56,321.00","1,89,632.00",3.37,,,,,,,,,
,,2017 - 2018,"51,756.00","1,82,696.00",3.53,,,,,,,,,
,,2018 - 2019,"50,339.00","1,84,130.00",3.66,,,,,,,,,
,,2019 - 2020,"51,105.00","1,78,229.00",3.49,,,,,,,,,
,,2020 - 2021,"53,330.00","2,02,031.00",3.79,,,,,,,,,
,,2021 - 2022,"40,254.00","1,56,904.00",3.9,,,,,,,,,
,,2022 - 2023,"53,071.00","1,88,400.00",3.55,,,,,,,,,
,18. Jaisalmer,2000 - 2001,111,201,1.81,,,,,,,,,
,,2001 - 2002,74,190,2.57,,,,,,,,,
,,2002 - 2003,71,165,2.32,,,,,,,,,
,,2003 - 2004,16,36,2.25,,,,,,,,,
,,2004 - 2005,47,112,2.38,,,,,,,,,
,,2005 - 2006,52,118,2.27,,,,,,,,,
,,2006 - 2007,98,250,2.55,,,,,,,,,
,,2007 - 2008,91,197,2.16,,,,,,,,,
,,2008 - 2009,142,435,3.06,,,,,,,,,
,,2009 - 2010,120,333,2.78,,,,,,,,,
,,2010 - 2011,200,570,2.85,,,,,,,,,
,,2011 - 2012,54,153,2.83,,,,,,,,,
,,2012 - 2013,12,17,1.42,,,,,,,,,
,,2013 - 2014,49,149,3.04,,,,,,,,,
,,2014 - 2015,20,56,2.8,,,,,,,,,
,,2015 - 2016,26,78,3,,,,,,,,,
,,2016 - 2017,5,16,3.2,,,,,,,,,
,,2017 - 2018,3,10,3.33,,,,,,,,,
,,2018 - 2019,7,25,3.57,,,,,,,,,
,,2019 - 2020,8,28,3.5,,,,,,,,,
,,2020 - 2021,13,45,3.46,,,,,,,,,
,,2021 - 2022,2,7,3.5,,,,,,,,,
,,2022 - 2023,2,7,3.5,,,,,,,,,
,19. Jalore,2000 - 2001,530,962,1.82,,,,,,,,,
,,2001 - 2002,239,615,2.57,,,,,,,,,
,,2002 - 2003,432,"1,006.00",2.33,,,,,,,,,
,,2003 - 2004,264,594,2.25,,,,,,,,,
,,2004 - 2005,243,579,2.38,,,,,,,,,
,,2005 - 2006,408,927,2.27,,,,,,,,,
,,2006 - 2007,421,"1,072.00",2.55,,,,,,,,,
,,2007 - 2008,351,759,2.16,,,,,,,,,
,,2008 - 2009,197,603,3.06,,,,,,,,,
,,2009 - 2010,404,"1,121.00",2.77,,,,,,,,,
,,2010 - 2011,520,"1,482.00",2.85,,,,,,,,,
,,2011 - 2012,429,"1,218.00",2.84,,,,,,,,,
,,2012 - 2013,442,612,1.38,,,,,,,,,
,,2013 - 2014,263,801,3.05,,,,,,,,,
,,2014 - 2015,195,547,2.81,,,,,,,,,
,,2015 - 2016,428,"1,281.00",2.99,,,,,,,,,
,,2016 - 2017,228,752,3.3,,,,,,,,,
,,2017 - 2018,214,711,3.32,,,,,,,,,
,,2018 - 2019,263,946,3.6,,,,,,,,,
,,2019 - 2020,227,801,3.53,,,,,,,,,
,,2020 - 2021,271,949,3.5,,,,,,,,,
,,2021 - 2022,126,447,3.55,,,,,,,,,
,,2022 - 2023,114,388,3.4,,,,,,,,,
,20. Jhalawar,2000 - 2001,307,557,1.81,,,,,,,,,
,,2001 - 2002,262,674,2.57,,,,,,,,,
,,2002 - 2003,114,266,2.33,,,,,,,,,
,,2003 - 2004,156,351,2.25,,,,,,,,,
,,2004 - 2005,208,495,2.38,,,,,,,,,
,,2005 - 2006,168,382,2.27,,,,,,,,,
,,2006 - 2007,374,953,2.55,,,,,,,,,
,,2007 - 2008,324,701,2.16,,,,,,,,,
,,2008 - 2009,339,"1,038.00",3.06,,,,,,,,,
,,2009 - 2010,302,838,2.77,,,,,,,,,
,,2010 - 2011,461,"1,314.00",2.85,,,,,,,,,
,,2011 - 2012,366,"1,039.00",2.84,,,,,,,,,
,,2012 - 2013,368,"1,145.00",3.11,,,,,,,,,
,,2013 - 2014,449,"1,368.00",3.05,,,,,,,,,
,,2014 - 2015,267,748,2.8,,,,,,,,,
,,2015 - 2016,202,605,3,,,,,,,,,
,,2016 - 2017,319,"1,052.00",3.3,,,,,,,,,
,,2017 - 2018,205,681,3.32,,,,,,,,,
,,2018 - 2019,132,475,3.6,,,,,,,,,
,,2019 - 2020,162,571,3.52,,,,,,,,,
,,2020 - 2021,165,578,3.5,,,,,,,,,
,,2021 - 2022,97,344,3.55,,,,,,,,,
,,2022 - 2023,250,851,3.4,,,,,,,,,
,21. Jhunjhunu,2000 - 2001,"7,495.00","13,710.00",1.83,,,,,,,,,
,,2001 - 2002,"4,186.00","9,293.00",2.22,,,,,,,,,
,,2002 - 2003,"7,463.00","17,807.00",2.39,,,,,,,,,
,,2003 - 2004,"6,206.00","15,763.00",2.54,,,,,,,,,
,,2004 - 2005,"5,498.00","9,702.00",1.76,,,,,,,,,
,,2005 - 2006,"8,565.00","15,174.00",1.77,,,,,,,,,
,,2006 - 2007,"8,038.00","21,777.00",2.71,,,,,,,,,
,,2007 - 2008,"11,340.00","26,419.00",2.33,,,,,,,,,
,,2008 - 2009,"10,913.00","34,498.00",3.16,,,,,,,,,
,,2009 - 2010,"11,578.00","35,300.00",3.05,,,,,,,,,
,,2010 - 2011,"12,103.00","29,100.00",2.4,,,,,,,,,
,,2011 - 2012,"11,458.00","32,381.00",2.83,,,,,,,,,
,,2012 - 2013,"11,748.00","39,568.00",3.37,,,,,,,,,
,,2013 - 2014,"11,501.00","35,871.00",3.12,,,,,,,,,
,,2014 - 2015,"10,940.00","34,688.00",3.17,,,,,,,,,
,,2015 - 2016,"9,856.00","27,830.00",2.82,,,,,,,,,
,,2016 - 2017,"9,896.00","30,782.00",3.11,,,,,,,,,
,,2017 - 2018,"8,873.00","28,959.00",3.26,,,,,,,,,
,,2018 - 2019,"6,890.00","23,201.00",3.37,,,,,,,,,
,,2019 - 2020,"8,755.00","29,278.00",3.34,,,,,,,,,
,,2020 - 2021,"6,907.00","21,171.00",3.07,,,,,,,,,
,,2021 - 2022,"5,143.00","17,816.00",3.46,,,,,,,,,
,,2022 - 2023,"9,029.00","23,730.00",2.63,,,,,,,,,
,22. Jodhpur,2000 - 2001,488,886,1.82,,,,,,,,,
,,2001 - 2002,380,977,2.57,,,,,,,,,
,,2002 - 2003,718,"1,672.00",2.33,,,,,,,,,
,,2003 - 2004,218,490,2.25,,,,,,,,,
,,2004 - 2005,205,488,2.38,,,,,,,,,
,,2005 - 2006,322,731,2.27,,,,,,,,,
,,2006 - 2007,277,706,2.55,,,,,,,,,
,,2007 - 2008,434,939,2.16,,,,,,,,,
,,2008 - 2009,372,"1,139.00",3.06,,,,,,,,,
,,2009 - 2010,443,"1,229.00",2.77,,,,,,,,,
,,2010 - 2011,436,"1,242.00",2.85,,,,,,,,,
,,2011 - 2012,212,602,2.84,,,,,,,,,
,,2012 - 2013,293,766,2.61,,,,,,,,,
,,2013 - 2014,244,743,3.05,,,,,,,,,
,,2014 - 2015,270,757,2.8,,,,,,,,,
,,2015 - 2016,232,694,2.99,,,,,,,,,
,,2016 - 2017,379,"1,250.00",3.3,,,,,,,,,
,,2017 - 2018,362,"1,203.00",3.32,,,,,,,,,
,,2018 - 2019,314,"1,130.00",3.6,,,,,,,,,
,,2019 - 2020,407,"1,436.00",3.53,,,,,,,,,
,,2020 - 2021,369,"1,292.00",3.5,,,,,,,,,
,,2021 - 2022,258,915,3.55,,,,,,,,,
,,2022 - 2023,283,963,3.4,,,,,,,,,
,23. Karauli,2000 - 2001,"1,245.00","2,260.00",1.82,,,,,,,,,
,,2001 - 2002,925,"2,379.00",2.57,,,,,,,,,
,,2002 - 2003,818,"1,905.00",2.33,,,,,,,,,
,,2003 - 2004,"1,396.00","3,139.00",2.25,,,,,,,,,
,,2004 - 2005,651,"1,550.00",2.38,,,,,,,,,
,,2005 - 2006,479,"1,088.00",2.27,,,,,,,,,
,,2006 - 2007,463,"1,179.00",2.55,,,,,,,,,
,,2007 - 2008,451,975,2.16,,,,,,,,,
,,2008 - 2009,551,"1,687.00",3.06,,,,,,,,,
,,2009 - 2010,598,"1,659.00",2.77,,,,,,,,,
,,2010 - 2011,499,"1,422.00",2.85,,,,,,,,,
,,2011 - 2012,357,859,2.41,,,,,,,,,
,,2012 - 2013,297,972,3.27,,,,,,,,,
,,2013 - 2014,344,"1,048.00",3.05,,,,,,,,,
,,2014 - 2015,271,760,2.8,,,,,,,,,
,,2015 - 2016,122,365,2.99,,,,,,,,,
,,2016 - 2017,208,686,3.3,,,,,,,,,
,,2017 - 2018,195,648,3.32,,,,,,,,,
,,2018 - 2019,127,457,3.6,,,,,,,,,
,,2019 - 2020,94,332,3.53,,,,,,,,,
,,2020 - 2021,171,599,3.5,,,,,,,,,
,,2021 - 2022,96,340,3.54,,,,,,,,,
,,2022 - 2023,108,368,3.41,,,,,,,,,
,24. Kota,2000 - 2001,"1,113.00","2,020.00",1.81,,,,,,,,,
,,2001 - 2002,798,"2,052.00",2.57,,,,,,,,,
,,2002 - 2003,507,"1,181.00",2.33,,,,,,,,,
,,2003 - 2004,471,"1,059.00",2.25,,,,,,,,,
,,2004 - 2005,315,750,2.38,,,,,,,,,
,,2005 - 2006,312,709,2.27,,,,,,,,,
,,2006 - 2007,449,"1,144.00",2.55,,,,,,,,,
,,2007 - 2008,502,"1,086.00",2.16,,,,,,,,,
,,2008 - 2009,472,"1,445.00",3.06,,,,,,,,,
,,2009 - 2010,385,"1,068.00",2.77,,,,,,,,,
,,2010 - 2011,686,"1,955.00",2.85,,,,,,,,,
,,2011 - 2012,544,"1,544.00",2.84,,,,,,,,,
,,2012 - 2013,468,"1,456.00",3.11,,,,,,,,,
,,2013 - 2014,303,923,3.05,,,,,,,,,
,,2014 - 2015,262,734,2.8,,,,,,,,,
,,2015 - 2016,256,766,2.99,,,,,,,,,
,,2016 - 2017,273,900,3.3,,,,,,,,,
,,2017 - 2018,409,"1,359.00",3.32,,,,,,,,,
,,2018 - 2019,191,687,3.6,,,,,,,,,
,,2019 - 2020,529,"1,866.00",3.53,,,,,,,,,
,,2020 - 2021,332,"1,162.00",3.5,,,,,,,,,
,,2021 - 2022,203,720,3.55,,,,,,,,,
,,2022 - 2023,360,"1,225.00",3.4,,,,,,,,,
,25. Nagaur,2000 - 2001,"11,991.00","15,483.00",1.29,,,,,,,,,
,,2001 - 2002,"9,032.00","22,442.00",2.48,,,,,,,,,
,,2002 - 2003,"11,651.00","19,544.00",1.68,,,,,,,,,
,,2003 - 2004,"10,759.00","24,594.00",2.29,,,,,,,,,
,,2004 - 2005,"11,168.00","24,607.00",2.2,,,,,,,,,
,,2005 - 2006,"11,837.00","24,258.00",2.05,,,,,,,,,
,,2006 - 2007,"11,918.00","29,937.00",2.51,,,,,,,,,
,,2007 - 2008,"14,106.00","19,055.00",1.35,,,,,,,,,
,,2008 - 2009,"13,134.00","32,164.00",2.45,,,,,,,,,
,,2009 - 2010,"11,726.00","30,962.00",2.64,,,,,,,,,
,,2010 - 2011,"16,898.00","44,349.00",2.62,,,,,,,,,
,,2011 - 2012,"11,229.00","27,619.00",2.46,,,,,,,,,
,,2012 - 2013,"13,660.00","33,086.00",2.42,,,,,,,,,
,,2013 - 2014,"13,484.00","34,640.00",2.57,,,,,,,,,
,,2014 - 2015,"11,777.00","26,628.00",2.26,,,,,,,,,
,,2015 - 2016,"9,333.00","22,808.00",2.44,,,,,,,,,
,,2016 - 2017,"8,506.00","21,365.00",2.51,,,,,,,,,
,,2017 - 2018,"7,702.00","20,315.00",2.64,,,,,,,,,
,,2018 - 2019,"6,109.00","15,998.00",2.62,,,,,,,,,
,,2019 - 2020,"10,654.00","33,404.00",3.14,,,,,,,,,
,,2020 - 2021,"8,177.00","22,291.00",2.73,,,,,,,,,
,,2021 - 2022,"6,223.00","17,879.00",2.87,,,,,,,,,
,,2022 - 2023,"11,035.00","27,012.00",2.45,,,,,,,,,
,26. Pali,2000 - 2001,"3,857.00","5,309.00",1.38,,,,,,,,,
,,2001 - 2002,"3,192.00","4,706.00",1.47,,,,,,,,,
,,2002 - 2003,"2,582.00","3,306.00",1.28,,,,,,,,,
,,2003 - 2004,"2,625.00","3,388.00",1.29,,,,,,,,,
,,2004 - 2005,"1,631.00","2,800.00",1.72,,,,,,,,,
,,2005 - 2006,"2,219.00","3,697.00",1.67,,,,,,,,,
,,2006 - 2007,"4,102.00","9,143.00",2.23,,,,,,,,,
,,2007 - 2008,"3,967.00","10,043.00",2.53,,,,,,,,,
,,2008 - 2009,"2,206.00","4,586.00",2.08,,,,,,,,,
,,2009 - 2010,"1,775.00","3,899.00",2.2,,,,,,,,,
,,2010 - 2011,"5,626.00","11,634.00",2.07,,,,,,,,,
,,2011 - 2012,"4,182.00","11,272.00",2.7,,,,,,,,,
,,2012 - 2013,"4,429.00","11,580.00",2.61,,,,,,,,,
,,2013 - 2014,"2,977.00","8,523.00",2.86,,,,,,,,,
,,2014 - 2015,"3,343.00","8,049.00",2.41,,,,,,,,,
,,2015 - 2016,"3,614.00","9,330.00",2.58,,,,,,,,,
,,2016 - 2017,"5,038.00","13,605.00",2.7,,,,,,,,,
,,2017 - 2018,"4,832.00","13,489.00",2.79,,,,,,,,,
,,2018 - 2019,"3,759.00","9,659.00",2.57,,,,,,,,,
,,2019 - 2020,"6,690.00","19,334.00",2.89,,,,,,,,,
,,2020 - 2021,"4,713.00","15,164.00",3.22,,,,,,,,,
,,2021 - 2022,"4,277.00","14,072.00",3.29,,,,,,,,,
,,2022 - 2023,"4,799.00","13,553.00",2.82,,,,,,,,,
,27. Pratapgarh,2008 - 2009,"2,244.00","3,947.00",1.76,,,,,,,,,
,,2009 - 2010,"2,264.00","4,633.00",2.05,,,,,,,,,
,,2010 - 2011,"2,114.00","4,124.00",1.95,,,,,,,,,
,,2011 - 2012,"2,121.00","5,227.00",2.46,,,,,,,,,
,,2012 - 2013,"1,866.00","4,510.00",2.42,,,,,,,,,
,,2013 - 2014,"1,794.00","4,659.00",2.6,,,,,,,,,
,,2014 - 2015,"1,472.00","5,582.00",3.79,,,,,,,,,
,,2015 - 2016,"1,362.00","3,226.00",2.37,,,,,,,,,
,,2016 - 2017,"1,311.00","4,652.00",3.55,,,,,,,,,
,,2017 - 2018,"1,383.00","5,265.00",3.81,,,,,,,,,
,,2018 - 2019,"1,304.00","3,150.00",2.42,,,,,,,,,
,,2019 - 2020,"1,572.00","5,892.00",3.75,,,,,,,,,
,,2020 - 2021,"1,342.00","4,792.00",3.57,,,,,,,,,
,,2021 - 2022,"1,964.00","7,572.00",3.86,,,,,,,,,
,,2022 - 2023,"1,572.00","5,703.00",3.63,,,,,,,,,
,28. Rajsamand,2000 - 2001,"1,230.00","2,153.00",1.75,,,,,,,,,
,,2001 - 2002,"3,842.00","8,426.00",2.19,,,,,,,,,
,,2002 - 2003,631,"1,177.00",1.87,,,,,,,,,
,,2003 - 2004,"1,625.00","3,932.00",2.42,,,,,,,,,
,,2004 - 2005,995,873,0.88,,,,,,,,,
,,2005 - 2006,"4,589.00","11,947.00",2.6,,,,,,,,,
,,2006 - 2007,"7,452.00","16,487.00",2.21,,,,,,,,,
,,2007 - 2008,"7,168.00","14,316.00",2,,,,,,,,,
,,2008 - 2009,"2,931.00","5,427.00",1.85,,,,,,,,,
,,2009 - 2010,"1,428.00","2,834.00",1.98,,,,,,,,,
,,2010 - 2011,"8,472.00","15,174.00",1.79,,,,,,,,,
,,2011 - 2012,"7,609.00","20,701.00",2.72,,,,,,,,,
,,2012 - 2013,"8,498.00","23,593.00",2.78,,,,,,,,,
,,2013 - 2014,"7,400.00","19,789.00",2.67,,,,,,,,,
,,2014 - 2015,"7,018.00","12,184.00",1.74,,,,,,,,,
,,2015 - 2016,"6,494.00","15,546.00",2.39,,,,,,,,,
,,2016 - 2017,"8,129.00","19,767.00",2.43,,,,,,,,,
,,2017 - 2018,"7,526.00","20,356.00",2.7,,,,,,,,,
,,2018 - 2019,"5,688.00","14,655.00",2.58,,,,,,,,,
,,2019 - 2020,"7,019.00","20,283.00",2.89,,,,,,,,,
,,2020 - 2021,"6,666.00","23,867.00",3.58,,,,,,,,,
,,2021 - 2022,"8,110.00","26,894.00",3.32,,,,,,,,,
,,2022 - 2023,"7,859.00","21,789.00",2.77,,,,,,,,,
,29. Sawai madhopur,2000 - 2001,"1,958.00","2,131.00",1.09,,,,,,,,,
,,2001 - 2002,"1,367.00","2,950.00",2.16,,,,,,,,,
,,2002 - 2003,"1,813.00","3,107.00",1.71,,,,,,,,,
,,2003 - 2004,"1,748.00","3,571.00",2.04,,,,,,,,,
,,2004 - 2005,742,873,1.18,,,,,,,,,
,,2005 - 2006,878,"1,439.00",1.64,,,,,,,,,
,,2006 - 2007,752,"1,032.00",1.37,,,,,,,,,
,,2007 - 2008,951,"1,361.00",1.43,,,,,,,,,
,,2008 - 2009,"1,235.00","2,430.00",1.97,,,,,,,,,
,,2009 - 2010,"1,464.00","2,891.00",1.97,,,,,,,,,
,,2010 - 2011,"1,795.00","5,115.00",2.85,,,,,,,,,
,,2011 - 2012,"1,202.00","3,412.00",2.84,,,,,,,,,
,,2012 - 2013,"1,097.00","3,412.00",3.11,,,,,,,,,
,,2013 - 2014,870,"2,650.00",3.05,,,,,,,,,
,,2014 - 2015,684,"1,917.00",2.8,,,,,,,,,
,,2015 - 2016,495,"1,482.00",2.99,,,,,,,,,
,,2016 - 2017,538,"1,774.00",3.3,,,,,,,,,
,,2017 - 2018,445,"1,479.00",3.32,,,,,,,,,
,,2018 - 2019,490,"1,763.00",3.6,,,,,,,,,
,,2019 - 2020,505,"1,781.00",3.53,,,,,,,,,
,,2020 - 2021,393,"1,376.00",3.5,,,,,,,,,
,,2021 - 2022,144,511,3.55,,,,,,,,,
,,2022 - 2023,295,"1,004.00",3.4,,,,,,,,,
,30. Sikar,2000 - 2001,"22,855.00","46,225.00",2.02,,,,,,,,,
,,2001 - 2002,"18,400.00","45,388.00",2.47,,,,,,,,,
,,2002 - 2003,"23,079.00","58,289.00",2.53,,,,,,,,,
,,2003 - 2004,"22,137.00","56,418.00",2.55,,,,,,,,,
,,2004 - 2005,"21,281.00","51,933.00",2.44,,,,,,,,,
,,2005 - 2006,"23,488.00","44,013.00",1.87,,,,,,,,,
,,2006 - 2007,"21,847.00","60,075.00",2.75,,,,,,,,,
,,2007 - 2008,"26,504.00","47,547.00",1.79,,,,,,,,,
,,2008 - 2009,"29,624.00","76,671.00",2.59,,,,,,,,,
,,2009 - 2010,"29,372.00","83,345.00",2.84,,,,,,,,,
,,2010 - 2011,"35,743.00","94,401.00",2.64,,,,,,,,,
,,2011 - 2012,"32,588.00","87,132.00",2.67,,,,,,,,,
,,2012 - 2013,"33,745.00","1,06,020.00",3.14,,,,,,,,,
,,2013 - 2014,"34,166.00","1,10,583.00",3.24,,,,,,,,,
,,2014 - 2015,"32,649.00","1,11,379.00",3.41,,,,,,,,,
,,2015 - 2016,"29,425.00","1,01,505.00",3.45,,,,,,,,,
,,2016 - 2017,"27,695.00","1,02,816.00",3.71,,,,,,,,,
,,2017 - 2018,"25,697.00","83,150.00",3.24,,,,,,,,,
,,2018 - 2019,"22,291.00","88,078.00",3.95,,,,,,,,,
,,2019 - 2020,"24,454.00","86,150.00",3.52,,,,,,,,,
,,2020 - 2021,"22,887.00","77,770.00",3.4,,,,,,,,,
,,2021 - 2022,"19,416.00","74,239.00",3.82,,,,,,,,,
,,2022 - 2023,"37,195.00","1,05,418.00",2.83,,,,,,,,,
,31. Sirohi,2000 - 2001,"1,360.00","2,469.00",1.82,,,,,,,,,
,,2001 - 2002,"1,308.00","3,364.00",2.57,,,,,,,,,
,,2002 - 2003,896,"2,087.00",2.33,,,,,,,,,
,,2003 - 2004,"1,171.00","2,633.00",2.25,,,,,,,,,
,,2004 - 2005,674,"1,605.00",2.38,,,,,,,,,
,,2005 - 2006,"1,048.00","2,381.00",2.27,,,,,,,,,
,,2006 - 2007,"1,326.00","3,377.00",2.55,,,,,,,,,
,,2007 - 2008,"1,167.00","2,524.00",2.16,,,,,,,,,
,,2008 - 2009,717,"2,195.00",3.06,,,,,,,,,
,,2009 - 2010,638,"1,770.00",2.77,,,,,,,,,
,,2010 - 2011,"1,203.00","3,428.00",2.85,,,,,,,,,
