State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,,,,135,131,0.97,,,,,,
,,2013 - 2014,,,,6,5,0.83,,,,,,
,,2015 - 2016,,,,4,3,0.75,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,,2017 - 2018,,,,4,4,1,,,,,,
,,2018 - 2019,,,,87,66,0.76,,,,,,
,,2020 - 2021,,,,4,3,0.75,,,,,,
,,2021 - 2022,,,,5,5,1,,,,,,
,,2022 - 2023,,,,5,6,1.2,,,,,,
,60. Pratapgarh,2000 - 2001,,,,"12,410.00","14,859.00",1.2,,,,,,
,,2001 - 2002,,,,"12,287.00","17,895.00",1.46,,,,,,
,,2003 - 2004,,,,"11,069.00","16,137.00",1.46,,,,,,
,,2006 - 2007,,,,"6,816.00","5,395.00",0.79,,,,,,
,,2007 - 2008,,,,"6,814.00","6,251.00",0.92,,,,,,
,,2008 - 2009,,,,"8,791.00","9,369.00",1.07,,,,,,
,,2009 - 2010,,,,"7,500.00","7,269.00",0.97,,,,,,
,,2010 - 2011,,,,"7,082.00","7,217.00",1.02,,,,,,
,,2011 - 2012,,,,"6,712.00","7,760.00",1.16,,,,,,
,,2012 - 2013,,,,"6,720.00","7,765.00",1.16,,,,,,
,,2013 - 2014,,,,"7,134.00","8,944.00",1.25,,,,,,
,,2014 - 2015,,,,"6,102.00","5,500.00",0.9,,,,,,
,,2015 - 2016,,,,"5,071.00","5,295.00",1.04,,,,,,
,,2016 - 2017,,,,"6,708.00","8,390.00",1.25,,,,,,
,,2017 - 2018,,,,"6,102.00","5,175.00",0.85,,,,,,
,,2018 - 2019,,,,"6,696.00","5,799.00",0.87,,,,,,
,,2019 - 2020,,,,"6,863.00","6,572.00",0.96,,,,,,
,,2020 - 2021,,,,"7,434.00","7,415.00",1,,,,,,
,,2021 - 2022,,,,"8,581.00","8,753.00",1.02,,,,,,
,,2022 - 2023,,,,"9,042.00","9,223.00",1.02,,,,,,
,61. Rae bareli,2000 - 2001,,,,"13,455.00","16,630.00",1.24,,,,,,
,,2001 - 2002,,,,"11,933.00","13,499.00",1.13,,,,,,
,,2003 - 2004,,,,"10,772.00","9,803.00",0.91,,,,,,
,,2006 - 2007,,,,"14,555.00","9,207.00",0.63,,,,,,
,,2007 - 2008,,,,"6,883.00","6,425.00",0.93,,,,,,
,,2008 - 2009,,,,"7,062.00","5,111.00",0.72,,,,,,
,,2009 - 2010,,,,"4,615.00","2,929.00",0.63,,,,,,
,,2010 - 2011,,,,"6,724.00","4,429.00",0.66,,,,,,
,,2011 - 2012,,,,"5,608.00","4,315.00",0.77,,,,,,
,,2012 - 2013,,,,"4,988.00","3,918.00",0.79,,,,,,
,,2013 - 2014,,,,"5,051.00","3,439.00",0.68,,,,,,
,,2014 - 2015,,,,"4,871.00","1,372.00",0.28,,,,,,
,,2015 - 2016,,,,"3,843.00","1,493.00",0.39,,,,,,
,,2016 - 2017,,,,"4,964.00","3,508.00",0.71,,,,,,
,,2017 - 2018,,,,"5,001.00","4,257.00",0.85,,,,,,
,,2018 - 2019,,,,"4,646.00","3,737.00",0.8,,,,,,
,,2019 - 2020,,,,"4,324.00","2,044.00",0.47,,,,,,
,,2020 - 2021,,,,"4,915.00","2,781.00",0.57,,,,,,
,,2021 - 2022,,,,"6,800.00","4,529.00",0.67,,,,,,
,,2022 - 2023,,,,"5,980.00","3,355.00",0.56,,,,,,
,62. Rampur,2000 - 2001,,,,468,519,1.11,,,,,,
,,2001 - 2002,,,,358,326,0.91,,,,,,
,,2003 - 2004,,,,161,133,0.83,,,,,,
,,2006 - 2007,,,,86,57,0.66,,,,,,
,,2007 - 2008,,,,43,36,0.84,,,,,,
,,2008 - 2009,,,,52,42,0.81,,,,,,
,,2009 - 2010,,,,5,4,0.8,,,,,,
,,2010 - 2011,,,,10,7,0.7,,,,,,
,,2011 - 2012,,,,63,51,0.81,,,,,,
,,2012 - 2013,,,,17,15,0.88,,,,,,
,,2013 - 2014,,,,33,30,0.91,,,,,,
,,2014 - 2015,,,,32,21,0.66,,,,,,
,,2015 - 2016,,,,17,11,0.65,,,,,,
,,2016 - 2017,,,,184,199,1.08,,,,,,
,,2018 - 2019,,,,795,"1,222.00",1.54,,,,,,
,,2021 - 2022,,,,51,103,2.02,,,,,,
,63. Saharanpur,2000 - 2001,,,,16,13,0.81,,,,,,
,,2001 - 2002,,,,12,9,0.75,,,,,,
,,2003 - 2004,,,,7,4,0.57,,,,,,
,,2006 - 2007,,,,2,1,0.5,,,,,,
,,2007 - 2008,,,,1,1,1,,,,,,
,,2009 - 2010,,,,1,1,1,,,,,,
,,2010 - 2011,,,,3,2,0.67,,,,,,
,,2011 - 2012,,,,1,1,1,,,,,,
,,2012 - 2013,,,,1,1,1,,,,,,
,64. Sambhal,2012 - 2013,,,,367,314,0.86,,,,,,
,,2013 - 2014,,,,457,412,0.9,,,,,,
,,2014 - 2015,,,,388,252,0.65,,,,,,
,,2015 - 2016,,,,104,69,0.66,,,,,,
,,2016 - 2017,,,,326,353,1.08,,,,,,
,,2017 - 2018,,,,542,401,0.74,,,,,,
,,2018 - 2019,,,,742,"1,140.00",1.54,,,,,,
,,2019 - 2020,,,,500,368,0.74,,,,,,
,,2020 - 2021,,,,443,390,0.88,,,,,,
,,2021 - 2022,,,,513,462,0.9,,,,,,
,,2022 - 2023,,,,539,675,1.25,,,,,,
,65. Sant kabeer nagar,2000 - 2001,,,,"3,050.00","2,015.00",0.66,,,,,,
,,2001 - 2002,,,,"3,380.00","1,721.00",0.51,,,,,,
,,2003 - 2004,,,,"3,687.00","1,476.00",0.4,,,,,,
,,2006 - 2007,,,,"3,494.00","2,280.00",0.65,,,,,,
,,2007 - 2008,,,,"2,915.00","2,228.00",0.76,,,,,,
,,2008 - 2009,,,,"2,355.00","1,528.00",0.65,,,,,,
,,2009 - 2010,,,,"2,290.00","1,484.00",0.65,,,,,,
,,2010 - 2011,,,,"3,201.00","2,033.00",0.64,,,,,,
,,2011 - 2012,,,,"3,195.00","2,389.00",0.75,,,,,,
,,2012 - 2013,,,,"3,254.00","2,767.00",0.85,,,,,,
,,2013 - 2014,,,,"2,936.00","2,561.00",0.87,,,,,,
,,2014 - 2015,,,,"3,270.00","2,070.00",0.63,,,,,,
,,2015 - 2016,,,,"3,202.00","2,081.00",0.65,,,,,,
,,2016 - 2017,,,,"2,785.00","2,081.00",0.75,,,,,,
,,2017 - 2018,,,,"3,094.00","2,197.00",0.71,,,,,,
,,2018 - 2019,,,,"1,528.00","1,121.00",0.73,,,,,,
,,2019 - 2020,,,,"3,272.00","1,939.00",0.59,,,,,,
,,2020 - 2021,,,,"3,380.00","2,002.00",0.59,,,,,,
,,2021 - 2022,,,,"3,797.00","3,364.00",0.89,,,,,,
,,2022 - 2023,,,,"4,114.00","5,147.00",1.25,,,,,,
,66. Sant ravidas nagar,2000 - 2001,,,,"4,356.00","7,192.00",1.65,,,,,,
,,2001 - 2002,,,,"4,473.00","4,420.00",0.99,,,,,,
,,2003 - 2004,,,,"3,656.00","2,688.00",0.74,,,,,,
,,2006 - 2007,,,,"2,621.00","2,333.00",0.89,,,,,,
,,2007 - 2008,,,,"4,135.00","3,269.00",0.79,,,,,,
,,2008 - 2009,,,,"3,148.00","3,153.00",1,,,,,,
,,2009 - 2010,,,,"3,762.00",844,0.22,,,,,,
,,2010 - 2011,,,,"4,483.00","4,263.00",0.95,,,,,,
,,2011 - 2012,,,,"4,086.00","5,254.00",1.29,,,,,,
,,2012 - 2013,,,,"4,177.00","5,604.00",1.34,,,,,,
,,2013 - 2014,,,,"4,367.00","5,053.00",1.16,,,,,,
,,2014 - 2015,,,,"5,543.00","5,755.00",1.04,,,,,,
,,2015 - 2016,,,,"3,969.00","6,161.00",1.55,,,,,,
,,2016 - 2017,,,,"3,922.00","7,108.00",1.81,,,,,,
,,2017 - 2018,,,,"4,070.00","5,389.00",1.32,,,,,,
,,2018 - 2019,,,,"2,258.00","2,294.00",1.02,,,,,,
,,2019 - 2020,,,,"3,964.00","3,344.00",0.84,,,,,,
,,2020 - 2021,,,,"4,020.00","4,677.00",1.16,,,,,,
,,2021 - 2022,,,,"4,577.00","5,264.00",1.15,,,,,,
,,2022 - 2023,,,,"4,890.00","5,624.00",1.15,,,,,,
,67. Shahjahanpur,2000 - 2001,,,,933,804,0.86,,,,,,
,,2001 - 2002,,,,506,523,1.03,,,,,,
,,2003 - 2004,,,,335,334,1,,,,,,
,,2006 - 2007,,,,934,789,0.84,,,,,,
,,2007 - 2008,,,,186,162,0.87,,,,,,
,,2008 - 2009,,,,129,110,0.85,,,,,,
,,2009 - 2010,,,,625,497,0.8,,,,,,
,,2010 - 2011,,,,264,199,0.75,,,,,,
,,2011 - 2012,,,,172,157,0.91,,,,,,
,,2012 - 2013,,,,202,197,0.98,,,,,,
,,2013 - 2014,,,,"1,464.00","1,282.00",0.88,,,,,,
,,2014 - 2015,,,,145,105,0.72,,,,,,
,,2015 - 2016,,,,100,66,0.66,,,,,,
,,2016 - 2017,,,,229,188,0.82,,,,,,
,,2017 - 2018,,,,309,281,0.91,,,,,,
,,2018 - 2019,,,,163,125,0.77,,,,,,
,,2019 - 2020,,,,252,256,1.02,,,,,,
,,2020 - 2021,,,,180,150,0.83,,,,,,
,,2021 - 2022,,,,284,376,1.32,,,,,,
,,2022 - 2023,,,,222,278,1.25,,,,,,
,68. Shamli,2012 - 2013,,,,4,3,0.75,,,,,,
,,2013 - 2014,,,,5,5,1,,,,,,
,,2020 - 2021,,,,7,8,1.14,,,,,,
,,2022 - 2023,,,,9,11,1.22,,,,,,
,69. Shravasti,2000 - 2001,,,,"4,999.00","2,824.00",0.56,,,,,,
,,2001 - 2002,,,,"4,410.00","3,124.00",0.71,,,,,,
,,2003 - 2004,,,,"3,160.00","1,503.00",0.48,,,,,,
,,2006 - 2007,,,,"3,561.00","2,327.00",0.65,,,,,,
,,2007 - 2008,,,,"3,384.00","2,589.00",0.77,,,,,,
,,2008 - 2009,,,,"2,903.00","1,902.00",0.66,,,,,,
,,2009 - 2010,,,,"2,438.00","1,059.00",0.43,,,,,,
,,2010 - 2011,,,,"2,468.00",991,0.4,,,,,,
,,2011 - 2012,,,,"3,324.00","1,306.00",0.39,,,,,,
,,2012 - 2013,,,,"2,210.00","1,237.00",0.56,,,,,,
,,2013 - 2014,,,,"1,622.00",868,0.54,,,,,,
,,2014 - 2015,,,,"1,547.00",625,0.4,,,,,,
,,2015 - 2016,,,,"1,424.00",939,0.66,,,,,,
,,2016 - 2017,,,,"1,949.00","1,208.00",0.62,,,,,,
,,2017 - 2018,,,,"1,415.00","1,041.00",0.74,,,,,,
,,2018 - 2019,,,,"1,769.00","1,146.00",0.65,,,,,,
,,2019 - 2020,,,,"1,874.00",789,0.42,,,,,,
,,2020 - 2021,,,,"1,906.00","1,328.00",0.7,,,,,,
,,2021 - 2022,,,,"2,176.00",920,0.42,,,,,,
,,2022 - 2023,,,,"1,755.00","1,272.00",0.72,,,,,,
,70. Siddharth nagar,2000 - 2001,,,,"4,447.00","2,938.00",0.66,,,,,,
,,2001 - 2002,,,,"3,119.00",634,0.2,,,,,,
,,2003 - 2004,,,,"5,394.00","1,829.00",0.34,,,,,,
,,2006 - 2007,,,,"5,054.00","3,298.00",0.65,,,,,,
,,2007 - 2008,,,,"3,578.00","2,735.00",0.76,,,,,,
,,2008 - 2009,,,,"2,771.00","1,798.00",0.65,,,,,,
,,2009 - 2010,,,,"2,528.00","1,637.00",0.65,,,,,,
,,2010 - 2011,,,,"1,862.00","1,177.00",0.63,,,,,,
,,2011 - 2012,,,,"2,058.00","1,539.00",0.75,,,,,,
,,2012 - 2013,,,,"2,080.00","1,768.00",0.85,,,,,,
,,2013 - 2014,,,,"1,900.00","1,658.00",0.87,,,,,,
,,2014 - 2015,,,,"1,961.00","1,241.00",0.63,,,,,,
,,2015 - 2016,,,,"1,865.00","1,212.00",0.65,,,,,,
,,2016 - 2017,,,,"2,786.00","2,081.00",0.75,,,,,,
,,2017 - 2018,,,,"2,162.00","1,535.00",0.71,,,,,,
,,2018 - 2019,,,,"2,917.00","2,141.00",0.73,,,,,,
,,2019 - 2020,,,,"2,135.00","1,266.00",0.59,,,,,,
,,2020 - 2021,,,,"2,051.00","1,210.00",0.59,,,,,,
,,2021 - 2022,,,,"2,460.00","2,175.00",0.88,,,,,,
,,2022 - 2023,,,,"2,495.00","3,121.00",1.25,,,,,,
,71. Sitapur,2000 - 2001,,,,"13,084.00","16,505.00",1.26,,,,,,
,,2001 - 2002,,,,"11,156.00","13,122.00",1.18,,,,,,
,,2003 - 2004,,,,"8,239.00","6,786.00",0.82,,,,,,
,,2006 - 2007,,,,"8,345.00","5,736.00",0.69,,,,,,
,,2007 - 2008,,,,"7,227.00","7,633.00",1.06,,,,,,
,,2008 - 2009,,,,"4,343.00","5,870.00",1.35,,,,,,
,,2009 - 2010,,,,"5,198.00","4,671.00",0.9,,,,,,
,,2010 - 2011,,,,"4,201.00","4,619.00",1.1,,,,,,
,,2011 - 2012,,,,"4,316.00","4,483.00",1.04,,,,,,
,,2012 - 2013,,,,"3,435.00","3,894.00",1.13,,,,,,
,,2013 - 2014,,,,"3,600.00","3,300.00",0.92,,,,,,
,,2014 - 2015,,,,"2,401.00","1,975.00",0.82,,,,,,
,,2015 - 2016,,,,"1,868.00","3,394.00",1.82,,,,,,
,,2016 - 2017,,,,"3,834.00","6,704.00",1.75,,,,,,
,,2017 - 2018,,,,"2,870.00","6,308.00",2.2,,,,,,
,,2018 - 2019,,,,"1,930.00","1,766.00",0.92,,,,,,
,,2019 - 2020,,,,"4,358.00","2,232.00",0.51,,,,,,
,,2020 - 2021,,,,"4,255.00","5,072.00",1.19,,,,,,
,,2021 - 2022,,,,"5,053.00","3,128.00",0.62,,,,,,
,,2022 - 2023,,,,"5,350.00","3,312.00",0.62,,,,,,
,72. Sonbhadra,2000 - 2001,,,,"11,804.00","7,643.00",0.65,,,,,,
,,2001 - 2002,,,,"12,193.00","9,639.00",0.79,,,,,,
,,2003 - 2004,,,,"14,609.00","12,149.00",0.83,,,,,,
,,2006 - 2007,,,,"13,245.00","6,657.00",0.5,,,,,,
,,2007 - 2008,,,,"11,717.00","8,094.00",0.69,,,,,,
,,2008 - 2009,,,,"11,045.00","5,195.00",0.47,,,,,,
,,2009 - 2010,,,,"8,648.00","4,799.00",0.55,,,,,,
,,2010 - 2011,,,,"9,190.00","6,389.00",0.7,,,,,,
,,2011 - 2012,,,,"10,745.00","9,224.00",0.86,,,,,,
,,2012 - 2013,,,,"13,087.00","14,127.00",1.08,,,,,,
,,2013 - 2014,,,,"10,339.00","8,663.00",0.84,,,,,,
,,2014 - 2015,,,,"10,409.00","9,186.00",0.88,,,,,,
,,2015 - 2016,,,,"8,995.00","5,909.00",0.66,,,,,,
,,2016 - 2017,,,,"10,997.00","10,923.00",0.99,,,,,,
,,2017 - 2018,,,,"10,160.00","8,949.00",0.88,,,,,,
,,2018 - 2019,,,,"10,006.00","10,040.00",1,,,,,,
,,2019 - 2020,,,,"10,087.00","9,121.00",0.9,,,,,,
,,2020 - 2021,,,,"9,131.00","8,487.00",0.93,,,,,,
,,2021 - 2022,,,,"12,226.00","11,664.00",0.95,,,,,,
,,2022 - 2023,,,,"11,178.00","10,664.00",0.95,,,,,,
,73. Sultanpur,2000 - 2001,,,,"10,709.00","20,923.00",1.95,,,,,,
,,2001 - 2002,,,,"10,615.00","16,633.00",1.57,,,,,,
,,2003 - 2004,,,,"9,169.00","11,651.00",1.27,,,,,,
,,2006 - 2007,,,,"8,336.00","11,157.00",1.34,,,,,,
,,2007 - 2008,,,,"9,277.00","11,814.00",1.27,,,,,,
,,2008 - 2009,,,,"6,936.00","7,070.00",1.02,,,,,,
,,2009 - 2010,,,,"6,406.00","7,693.00",1.2,,,,,,
,,2010 - 2011,,,,"8,731.00","19,711.00",2.26,,,,,,
,,2011 - 2012,,,,"5,590.00","8,831.00",1.58,,,,,,
,,2012 - 2013,,,,"5,642.00","4,771.00",0.85,,,,,,
,,2013 - 2014,,,,"5,567.00","3,830.00",0.69,,,,,,
,,2014 - 2015,,,,"5,565.00","2,685.00",0.48,,,,,,
,,2015 - 2016,,,,"7,142.00","6,053.00",0.85,,,,,,
,,2016 - 2017,,,,"5,456.00","4,574.00",0.84,,,,,,
,,2017 - 2018,,,,"5,055.00","3,835.00",0.76,,,,,,
,,2018 - 2019,,,,"2,807.00","2,558.00",0.91,,,,,,
,,2019 - 2020,,,,"5,220.00","7,245.00",1.39,,,,,,
,,2020 - 2021,,,,"5,065.00","7,368.00",1.45,,,,,,
,,2021 - 2022,,,,"6,846.00","9,050.00",1.32,,,,,,
,,2022 - 2023,,,,"6,160.00","5,082.00",0.83,,,,,,
,74. Unnao,2000 - 2001,,,,"7,612.00","10,127.00",1.33,,,,,,
,,2001 - 2002,,,,"7,627.00","8,675.00",1.14,,,,,,
,,2003 - 2004,,,,"5,081.00","4,194.00",0.83,,,,,,
,,2006 - 2007,,,,"4,995.00","4,461.00",0.89,,,,,,
,,2007 - 2008,,,,"3,692.00","5,023.00",1.36,,,,,,
,,2008 - 2009,,,,"3,067.00","5,433.00",1.77,,,,,,
,,2009 - 2010,,,,"2,561.00","1,114.00",0.43,,,,,,
,,2010 - 2011,,,,"3,354.00","3,155.00",0.94,,,,,,
,,2011 - 2012,,,,"2,851.00","3,202.00",1.12,,,,,,
,,2012 - 2013,,,,"2,427.00","1,985.00",0.82,,,,,,
,,2013 - 2014,,,,"2,020.00","1,459.00",0.72,,,,,,
,,2014 - 2015,,,,"2,164.00",968,0.45,,,,,,
,,2015 - 2016,,,,"2,351.00","1,697.00",0.72,,,,,,
,,2016 - 2017,,,,"2,166.00","1,794.00",0.83,,,,,,
,,2017 - 2018,,,,"2,451.00","2,885.00",1.18,,,,,,
,,2018 - 2019,,,,"2,128.00","1,997.00",0.94,,,,,,
,,2019 - 2020,,,,"2,425.00","4,331.00",1.79,,,,,,
,,2020 - 2021,,,,"2,175.00","3,600.00",1.66,,,,,,
,,2021 - 2022,,,,"2,835.00","2,129.00",0.75,,,,,,
,,2022 - 2023,,,,"2,645.00","1,986.00",0.75,,,,,,
,75. Varanasi,2000 - 2001,,,,"5,775.00","8,342.00",1.44,,,,,,
,,2001 - 2002,,,,"3,690.00","4,064.00",1.1,,,,,,
,,2003 - 2004,,,,"4,121.00","3,688.00",0.89,,,,,,
,,2006 - 2007,,,,"1,278.00",984,0.77,,,,,,
,,2007 - 2008,,,,"4,233.00","3,909.00",0.92,,,,,,
,,2008 - 2009,,,,"3,925.00","3,118.00",0.79,,,,,,
,,2009 - 2010,,,,"4,816.00","2,759.00",0.57,,,,,,
,,2010 - 2011,,,,"4,327.00","3,344.00",0.77,,,,,,
,,2011 - 2012,,,,"4,386.00","4,069.00",0.93,,,,,,
,,2012 - 2013,,,,"4,217.00","4,474.00",1.06,,,,,,
,,2013 - 2014,,,,"4,226.00","4,061.00",0.96,,,,,,
,,2014 - 2015,,,,"4,062.00","3,537.00",0.87,,,,,,
,,2015 - 2016,,,,"4,115.00","3,496.00",0.85,,,,,,
,,2016 - 2017,,,,"4,168.00","3,378.00",0.81,,,,,,
,,2017 - 2018,,,,"4,737.00","5,862.00",1.24,,,,,,
,,2018 - 2019,,,,"4,031.00","4,758.00",1.18,,,,,,
,,2019 - 2020,,,,"3,943.00","3,261.00",0.83,,,,,,
,,2020 - 2021,,,,"3,490.00","7,030.00",2.01,,,,,,
,,2021 - 2022,,,,"4,992.00","7,812.00",1.56,,,,,,
,,2022 - 2023,,,,"4,799.00","7,160.00",1.49,,,,,,
29. Uttarakhand,1. Almora,2000 - 2001,,,,5,2,0.4,,,,,,
,,2004 - 2005,,,,7,4,0.57,,,,,,
,,2006 - 2007,,,,1,1,1,,,,,,
,,2007 - 2008,,,,5,4,0.8,,,,,,
,,2008 - 2009,,,,5,4,0.8,,,,,,
,,2009 - 2010,,,,24,18,0.75,,,,,,
,,2010 - 2011,,,,4,3,0.75,,,,,,
,,2011 - 2012,,,,51,39,0.76,,,,,,
,,2012 - 2013,,,,24,18,0.75,,,,,,
,,2013 - 2014,,,,19,15,0.79,,,,,,
,,2014 - 2015,,,,50,39,0.78,,,,,,
,,2015 - 2016,,,,20,15,0.75,,,,,,
,,2016 - 2017,,,,70,40,0.57,,,,,,
,,2017 - 2018,,,,97,53,0.55,,,,,,
,,2018 - 2019,,,,48,26,0.54,,,,,,
,,2019 - 2020,,,,183,117,0.64,,,,,,
,,2020 - 2021,,,,216,140,0.65,,,,,,
,,2021 - 2022,,,,105,68,0.65,,,,,,
,,2022 - 2023,,,,170,139,0.82,,,,,,
,2. Bageshwar,2004 - 2005,,,,1,1,1,,,,,,
,,2006 - 2007,,,,1,1,1,,,,,,
,,2007 - 2008,,,,37,30,0.81,,,,,,
,,2008 - 2009,,,,4,2,0.5,,,,,,
,,2009 - 2010,,,,3,1,0.33,,,,,,
,,2011 - 2012,,,,19,5,0.26,,,,,,
,,2012 - 2013,,,,2,2,1,,,,,,
,,2013 - 2014,,,,12,9,0.75,,,,,,
,,2015 - 2016,,,,3,2,0.67,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,3,2,0.67,,,,,,
,3. Chamoli,2000 - 2001,,,,100,55,0.55,,,,,,
,,2001 - 2002,,,,101,56,0.55,,,,,,
,,2002 - 2003,,,,68,34,0.5,,,,,,
,,2003 - 2004,,,,117,88,0.75,,,,,,
,,2004 - 2005,,,,118,79,0.67,,,,,,
,,2005 - 2006,,,,116,64,0.55,,,,,,
,,2006 - 2007,,,,110,61,0.55,,,,,,
,,2007 - 2008,,,,107,76,0.71,,,,,,
,,2008 - 2009,,,,164,78,0.48,,,,,,
,,2009 - 2010,,,,110,52,0.47,,,,,,
,,2010 - 2011,,,,114,53,0.46,,,,,,
,,2011 - 2012,,,,104,45,0.43,,,,,,
,,2012 - 2013,,,,130,67,0.52,,,,,,
,,2013 - 2014,,,,149,76,0.51,,,,,,
,,2014 - 2015,,,,191,98,0.51,,,,,,
,,2015 - 2016,,,,180,95,0.53,,,,,,
,,2016 - 2017,,,,146,84,0.58,,,,,,
,,2017 - 2018,,,,199,108,0.54,,,,,,
,,2018 - 2019,,,,216,117,0.54,,,,,,
,,2019 - 2020,,,,185,118,0.64,,,,,,
,,2020 - 2021,,,,227,178,0.78,,,,,,
,,2021 - 2022,,,,177,185,1.05,,,,,,
,,2022 - 2023,,,,206,181,0.88,,,,,,
,4. Champawat,2003 - 2004,,,,2,1,0.5,,,,,,
,,2004 - 2005,,,,78,35,0.45,,,,,,
,,2005 - 2006,,,,3,2,0.67,,,,,,
,,2007 - 2008,,,,31,23,0.74,,,,,,
,,2008 - 2009,,,,9,5,0.56,,,,,,
,,2009 - 2010,,,,4,1,0.25,,,,,,
,,2010 - 2011,,,,5,4,0.8,,,,,,
,,2011 - 2012,,,,331,83,0.25,,,,,,
,,2012 - 2013,,,,33,8,0.24,,,,,,
,,2013 - 2014,,,,24,5,0.21,,,,,,
,,2014 - 2015,,,,58,15,0.26,,,,,,
,,2015 - 2016,,,,17,12,0.71,,,,,,
,,2016 - 2017,,,,17,9,0.53,,,,,,
,,2017 - 2018,,,,28,14,0.5,,,,,,
,,2018 - 2019,,,,24,13,0.54,,,,,,
,,2019 - 2020,,,,11,7,0.64,,,,,,
,,2020 - 2021,,,,2,1,0.5,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,
,,2022 - 2023,,,,2,2,1,,,,,,
,5. Dehradun,2000 - 2001,,,,193,107,0.55,,,,,,
,,2001 - 2002,,,,162,91,0.56,,,,,,
,,2002 - 2003,,,,158,89,0.56,,,,,,
,,2003 - 2004,,,,197,170,0.86,,,,,,
,,2004 - 2005,,,,68,48,0.71,,,,,,
,,2005 - 2006,,,,141,72,0.51,,,,,,
,,2006 - 2007,,,,100,51,0.51,,,,,,
,,2007 - 2008,,,,269,212,0.79,,,,,,
,,2008 - 2009,,,,236,223,0.94,,,,,,
,,2009 - 2010,,,,221,208,0.94,,,,,,
,,2010 - 2011,,,,235,208,0.89,,,,,,
,,2011 - 2012,,,,247,219,0.89,,,,,,
,,2012 - 2013,,,,274,250,0.91,,,,,,
,,2013 - 2014,,,,477,451,0.95,,,,,,
,,2014 - 2015,,,,357,280,0.78,,,,,,
,,2015 - 2016,,,,355,260,0.73,,,,,,
,,2016 - 2017,,,,229,191,0.83,,,,,,
,,2017 - 2018,,,,306,270,0.88,,,,,,
,,2018 - 2019,,,,492,434,0.88,,,,,,
,,2019 - 2020,,,,415,374,0.9,,,,,,
,,2020 - 2021,,,,387,516,1.33,,,,,,
,,2021 - 2022,,,,325,398,1.22,,,,,,
,,2022 - 2023,,,,412,363,0.88,,,,,,
,6. Haridwar,2000 - 2001,,,,1,1,1,,,,,,
,,2001 - 2002,,,,17,12,0.71,,,,,,
,,2002 - 2003,,,,4,3,0.75,,,,,,
,,2003 - 2004,,,,20,13,0.65,,,,,,
,,2004 - 2005,,,,3,2,0.67,,,,,,
,,2005 - 2006,,,,5,3,0.6,,,,,,
,,2007 - 2008,,,,1,1,1,,,,,,
,,2008 - 2009,,,,2,1,0.5,,,,,,
,,2009 - 2010,,,,1,1,1,,,,,,
,,2010 - 2011,,,,1,,0,,,,,,
,,2011 - 2012,,,,1,1,1,,,,,,
,,2013 - 2014,,,,1,1,1,,,,,,
,,2014 - 2015,,,,1,1,1,,,,,,
,,2015 - 2016,,,,1,1,1,,,,,,
,7. Nainital,2000 - 2001,,,,1,1,1,,,,,,
,,2002 - 2003,,,,62,31,0.5,,,,,,
,,2003 - 2004,,,,1,1,1,,,,,,
,,2004 - 2005,,,,4,3,0.75,,,,,,
,,2005 - 2006,,,,3,2,0.67,,,,,,
,,2007 - 2008,,,,8,7,0.88,,,,,,
,,2008 - 2009,,,,1,1,1,,,,,,
,,2010 - 2011,,,,2,2,1,,,,,,
,,2011 - 2012,,,,2,1,0.5,,,,,,
,,2012 - 2013,,,,13,7,0.54,,,,,,
,,2013 - 2014,,,,2,2,1,,,,,,
,,2014 - 2015,,,,60,32,0.53,,,,,,
,,2015 - 2016,,,,2,1,0.5,,,,,,
,,2016 - 2017,,,,52,30,0.58,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,1,1,1,,,,,,
,,2020 - 2021,,,,5,3,0.6,,,,,,
,,2021 - 2022,,,,10,7,0.7,,,,,,
,,2022 - 2023,,,,6,5,0.83,,,,,,
,8. Pauri garhwal,2000 - 2001,,,,320,128,0.4,,,,,,
,,2001 - 2002,,,,413,205,0.5,,,,,,
,,2002 - 2003,,,,357,125,0.35,,,,,,
,,2003 - 2004,,,,358,251,0.7,,,,,,
,,2004 - 2005,,,,302,188,0.62,,,,,,
,,2005 - 2006,,,,291,145,0.5,,,,,,
,,2006 - 2007,,,,319,159,0.5,,,,,,
,,2007 - 2008,,,,851,638,0.75,,,,,,
,,2008 - 2009,,,,266,200,0.75,,,,,,
,,2009 - 2010,,,,173,130,0.75,,,,,,
,,2010 - 2011,,,,437,268,0.61,,,,,,
,,2011 - 2012,,,,154,110,0.71,,,,,,
,,2012 - 2013,,,,307,268,0.87,,,,,,
,,2013 - 2014,,,,248,216,0.87,,,,,,
,,2014 - 2015,,,,361,315,0.87,,,,,,
,,2015 - 2016,,,,610,305,0.5,,,,,,
,,2016 - 2017,,,,347,208,0.6,,,,,,
