State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,"15,808.00","19,975.00",1.26,,,,,,,,,
,,2013 - 2014,"16,066.00","14,080.00",0.88,,,,,,,,,
,,2014 - 2015,"16,524.00","14,660.00",0.89,,,,,,,,,
,,2015 - 2016,"16,539.00","16,130.00",0.98,,,,,,,,,
,,2016 - 2017,"14,973.00","20,645.00",1.38,,,,,,,,,
,,2017 - 2018,"15,695.00","13,770.00",0.88,,,,,,,,,
,,2018 - 2019,"15,835.00","17,041.00",1.08,,,,,,,,,
,,2019 - 2020,"21,542.00","2,211.00",0.1,,,,,,,,,
,,2020 - 2021,"19,146.00","24,685.00",1.29,,,,,,,,,
,,2021 - 2022,"20,361.00","14,847.00",0.73,,,,,,,,,
,,2022 - 2023,"19,385.00","15,360.00",0.79,,,,,,,,,
,25. Narayanpur,2006 - 2007,30,,0,,,,,,,,,
,,2007 - 2008,51,46,0.9,,,,,,,,,
,,2008 - 2009,53,41,0.77,,,,,,,,,
,,2009 - 2010,42,44,1.05,,,,,,,,,
,,2010 - 2011,76,78,1.03,,,,,,,,,
,,2011 - 2012,32,29,0.91,,,,,,,,,
,,2012 - 2013,45,60,1.33,,,,,,,,,
,,2013 - 2014,49,34,0.69,,,,,,,,,
,,2014 - 2015,51,56,1.1,,,,,,,,,
,,2015 - 2016,44,39,0.89,,,,,,,,,
,,2016 - 2017,26,29,1.12,,,,,,,,,
,,2017 - 2018,80,59,0.74,,,,,,,,,
,,2018 - 2019,31,32,1.03,,,,,,,,,
,,2019 - 2020,48,19,0.4,,,,,,,,,
,,2020 - 2021,47,30,0.64,,,,,,,,,
,,2021 - 2022,27,17,0.63,,,,,,,,,
,,2022 - 2023,47,31,0.66,,,,,,,,,
,26. Raigarh,2000 - 2001,402,224,0.56,,,,,,,,,
,,2001 - 2002,433,310,0.72,,,,,,,,,
,,2002 - 2003,522,358,0.69,,,,,,,,,
,,2003 - 2004,902,840,0.93,,,,,,,,,
,,2004 - 2005,662,381,0.58,,,,,,,,,
,,2005 - 2006,606,420,0.69,,,,,,,,,
,,2006 - 2007,563,534,0.95,,,,,,,,,
,,2007 - 2008,555,505,0.91,,,,,,,,,
,,2008 - 2009,529,471,0.89,,,,,,,,,
,,2009 - 2010,598,591,0.99,,,,,,,,,
,,2010 - 2011,594,608,1.02,,,,,,,,,
,,2011 - 2012,492,492,1,,,,,,,,,
,,2012 - 2013,539,669,1.24,,,,,,,,,
,,2013 - 2014,516,444,0.86,,,,,,,,,
,,2014 - 2015,569,758,1.33,,,,,,,,,
,,2015 - 2016,494,460,0.93,,,,,,,,,
,,2016 - 2017,493,621,1.26,,,,,,,,,
,,2017 - 2018,420,434,1.03,,,,,,,,,
,,2018 - 2019,353,377,1.07,,,,,,,,,
,,2019 - 2020,322,155,0.48,,,,,,,,,
,,2020 - 2021,235,193,0.82,,,,,,,,,
,,2021 - 2022,217,154,0.71,,,,,,,,,
,,2022 - 2023,216,166,0.77,,,,,,,,,
,27. Raipur,2000 - 2001,"3,947.00","2,425.00",0.61,,,,,,,,,
,,2001 - 2002,"6,970.00","5,597.00",0.8,,,,,,,,,
,,2002 - 2003,"6,811.00","4,532.00",0.67,,,,,,,,,
,,2003 - 2004,"8,698.00","8,604.00",0.99,,,,,,,,,
,,2004 - 2005,"8,525.00","4,639.00",0.54,,,,,,,,,
,,2005 - 2006,"9,714.00","7,289.00",0.75,,,,,,,,,
,,2006 - 2007,"9,285.00","8,448.00",0.91,,,,,,,,,
,,2007 - 2008,"8,886.00","7,747.00",0.87,,,,,,,,,
,,2008 - 2009,"8,579.00","7,473.00",0.87,,,,,,,,,
,,2009 - 2010,"8,474.00","8,616.00",1.02,,,,,,,,,
,,2010 - 2011,"7,755.00","7,473.00",0.96,,,,,,,,,
,,2011 - 2012,"4,317.00","4,444.00",1.03,,,,,,,,,
,,2012 - 2013,"5,262.00","7,028.00",1.34,,,,,,,,,
,,2013 - 2014,"4,556.00","4,546.00",1,,,,,,,,,
,,2014 - 2015,"6,263.00","6,731.00",1.07,,,,,,,,,
,,2015 - 2016,"4,104.00","4,008.00",0.98,,,,,,,,,
,,2016 - 2017,"4,032.00","5,965.00",1.48,,,,,,,,,
,,2017 - 2018,"4,187.00","4,981.00",1.19,,,,,,,,,
,,2018 - 2019,"2,650.00","2,892.00",1.09,,,,,,,,,
,,2019 - 2020,"2,126.00",946,0.44,,,,,,,,,
,,2020 - 2021,"1,250.00",916,0.73,,,,,,,,,
,,2021 - 2022,822,694,0.84,,,,,,,,,
,,2022 - 2023,630,578,0.92,,,,,,,,,
,28. Rajnandgaon,2000 - 2001,"21,223.00","11,733.00",0.55,,,,,,,,,
,,2001 - 2002,"23,312.00","15,627.00",0.67,,,,,,,,,
,,2002 - 2003,"23,652.00","13,426.00",0.57,,,,,,,,,
,,2003 - 2004,"28,301.00","24,593.00",0.87,,,,,,,,,
,,2004 - 2005,"28,735.00","14,472.00",0.5,,,,,,,,,
,,2005 - 2006,"32,315.00","22,394.00",0.69,,,,,,,,,
,,2006 - 2007,"33,592.00","26,434.00",0.79,,,,,,,,,
,,2007 - 2008,"37,869.00","31,118.00",0.82,,,,,,,,,
,,2008 - 2009,"40,602.00","26,445.00",0.65,,,,,,,,,
,,2009 - 2010,"42,753.00","31,953.00",0.75,,,,,,,,,
,,2010 - 2011,"45,901.00","45,211.00",0.98,,,,,,,,,
,,2011 - 2012,"47,026.00","45,355.00",0.96,,,,,,,,,
,,2012 - 2013,"49,164.00","52,429.00",1.07,,,,,,,,,
,,2013 - 2014,"56,368.00","38,215.00",0.68,,,,,,,,,
,,2014 - 2015,"57,986.00","55,683.00",0.96,,,,,,,,,
,,2015 - 2016,"58,461.00","41,548.00",0.71,,,,,,,,,
,,2016 - 2017,"68,752.00","80,602.00",1.17,,,,,,,,,
,,2017 - 2018,"79,393.00","80,198.00",1.01,,,,,,,,,
,,2018 - 2019,"79,463.00","85,926.00",1.08,,,,,,,,,
,,2019 - 2020,"1,27,832.00","37,117.00",0.29,,,,,,,,,
,,2020 - 2021,"95,678.00","88,651.00",0.93,,,,,,,,,
,,2021 - 2022,"1,03,482.00","93,394.00",0.9,,,,,,,,,
,,2022 - 2023,"34,665.00","30,111.00",0.87,,,,,,,,,
,29. Sakti,2022 - 2023,23,17,0.74,,,,,,,,,
,30. Sarangarh bilaigarh,2022 - 2023,13,9,0.69,,,,,,,,,
,31. Sukma,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2014 - 2015,1,,0,,,,,,,,,
,,2019 - 2020,14,5,0.36,,,,,,,,,
,,2020 - 2021,10,7,0.7,,,,,,,,,
,,2021 - 2022,5,5,1,,,,,,,,,
,,2022 - 2023,5,5,1,,,,,,,,,
,32. Surajpur,2011 - 2012,857,752,0.88,,,,,,,,,
,,2012 - 2013,852,722,0.85,,,,,,,,,
,,2013 - 2014,929,765,0.82,,,,,,,,,
,,2014 - 2015,940,860,0.91,,,,,,,,,
,,2015 - 2016,902,530,0.59,,,,,,,,,
,,2016 - 2017,905,940,1.04,,,,,,,,,
,,2017 - 2018,771,691,0.9,,,,,,,,,
,,2018 - 2019,665,589,0.89,,,,,,,,,
,,2019 - 2020,697,319,0.46,,,,,,,,,
,,2020 - 2021,696,500,0.72,,,,,,,,,
,,2021 - 2022,588,398,0.68,,,,,,,,,
,,2022 - 2023,579,366,0.63,,,,,,,,,
,33. Surguja,2000 - 2001,"2,994.00","1,565.00",0.52,,,,,,,,,
,,2001 - 2002,"3,141.00","2,024.00",0.64,,,,,,,,,
,,2002 - 2003,"2,924.00","1,688.00",0.58,,,,,,,,,
,,2003 - 2004,"3,209.00","2,593.00",0.81,,,,,,,,,
,,2004 - 2005,"3,268.00","1,644.00",0.5,,,,,,,,,
,,2005 - 2006,"3,264.00","1,901.00",0.58,,,,,,,,,
,,2006 - 2007,"3,264.00","2,553.00",0.78,,,,,,,,,
,,2007 - 2008,"3,285.00","2,428.00",0.74,,,,,,,,,
,,2008 - 2009,"3,065.00","2,293.00",0.75,,,,,,,,,
,,2009 - 2010,"3,068.00","1,971.00",0.64,,,,,,,,,
,,2010 - 2011,"3,051.00","2,732.00",0.9,,,,,,,,,
,,2011 - 2012,"1,442.00","1,264.00",0.88,,,,,,,,,
,,2012 - 2013,"1,441.00","1,563.00",1.08,,,,,,,,,
,,2013 - 2014,"1,465.00","1,102.00",0.75,,,,,,,,,
,,2014 - 2015,"1,438.00","1,617.00",1.12,,,,,,,,,
,,2015 - 2016,"1,534.00","1,024.00",0.67,,,,,,,,,
,,2016 - 2017,"1,352.00","1,407.00",1.04,,,,,,,,,
,,2017 - 2018,"1,397.00","1,059.00",0.76,,,,,,,,,
,,2018 - 2019,"1,364.00","1,289.00",0.95,,,,,,,,,
,,2019 - 2020,"1,362.00",572,0.42,,,,,,,,,
,,2020 - 2021,"1,139.00",783,0.69,,,,,,,,,
,,2021 - 2022,"1,149.00",715,0.62,,,,,,,,,
,,2022 - 2023,"1,117.00",720,0.64,,,,,,,,,
6. Dadra and Nagar Haveli,1. Dadra and Nagar Haveli,2000 - 2001,,,,,,,140,140,1,,,
,,2001 - 2002,,,,,,,161,129,0.8,,,
,,2002 - 2003,,,,,,,148,118,0.8,,,
,,2003 - 2004,,,,,,,152,122,0.8,,,
,,2004 - 2005,,,,,,,184,151,0.82,,,
,,2005 - 2006,,,,,,,137,162,1.18,,,
,,2006 - 2007,,,,,,,115,141,1.23,,,
,,2007 - 2008,,,,,,,200,100,0.5,,,
,,2008 - 2009,,,,,,,200,100,0.5,,,
,,2009 - 2010,,,,,,,100,100,1,,,
,,2010 - 2011,80,80,1,,,,330,330,1,,,
,,2011 - 2012,,,,,,,138,138,1,,,
,,2012 - 2013,,,,,,,173,173,1,,,
,,2016 - 2017,100,105,1.05,,,,,,,,,
,,2018 - 2019,200,210,1.05,,,,,,,,,
7. Delhi,1. Delhi_total,2008 - 2009,48,70,1.46,,,,,,,,,
,,2009 - 2010,76,67,0.88,,,,,,,,,
,,2010 - 2011,8,75,9.38,,,,,,,,,
,,2011 - 2012,13,72,5.54,,,,,,,,,
,,2012 - 2013,44,62,1.41,,,,,,,,,
,,2013 - 2014,44,62,1.41,,,,,,,,,
,,2014 - 2015,41,54,1.32,,,,,,,,,
,,2015 - 2016,25,53,2.12,,,,,,,,,
,,2016 - 2017,25,53,2.12,,,,,,,,,
,,2017 - 2018,25,10,0.4,,,,,,,,,
,,2018 - 2019,2,4,2,,,,,,,,,
,,2019 - 2020,2,4,2,,,,,,,,,
8. Gujarat,1. Ahmadabad,2000 - 2001,"2,000.00",400,0.2,,,,,,,,,
,,2001 - 2002,"12,700.00","4,200.00",0.33,,,,,,,,,
,,2002 - 2003,"12,100.00","4,100.00",0.34,,,,,,,,,
,,2003 - 2004,"17,900.00","7,200.00",0.4,,,,,,,,,
,,2004 - 2005,"19,200.00","10,800.00",0.56,,,,,,,,,
,,2005 - 2006,"9,500.00","6,300.00",0.66,,,,,,,,,
,,2006 - 2007,"28,800.00","20,200.00",0.7,,,,,,,,,
,,2007 - 2008,"26,400.00","14,800.00",0.56,,,,,,,,,
,,2008 - 2009,"19,600.00","11,600.00",0.59,,,,,,,,,
,,2009 - 2010,"4,400.00","2,500.00",0.57,,,,,,,,,
,,2010 - 2011,"4,400.00","3,300.00",0.75,,,,,,,,,
,,2011 - 2012,"29,700.00","20,800.00",0.7,,,,,,,,,
,,2012 - 2013,"15,700.00","11,300.00",0.72,,,,,,,,,
,,2013 - 2014,"19,282.00","17,724.00",0.92,,,,,,,,,
,,2014 - 2015,"23,172.00","19,476.00",0.84,,,,,,,,,
,,2015 - 2016,"8,087.00","5,607.00",0.69,,,,,,,,,
,,2016 - 2017,"19,625.00","13,889.00",0.71,,,,,,,,,
,,2017 - 2018,"42,968.00","44,682.00",1.04,,,,,,,,,
,,2018 - 2019,"37,344.00","27,278.00",0.73,,,,,,,,,
,,2019 - 2020,"37,936.00","33,974.00",0.9,,,,,,,,,
,,2020 - 2021,"50,929.00","43,866.00",0.86,,,,,,,,,
,,2021 - 2022,"58,405.00","59,023.00",1.01,,,,,,,,,
,,2022 - 2023,"53,877.00","48,771.00",0.91,,,,,,,,,
,2. Amreli,2001 - 2002,"1,100.00",300,0.27,,,,,,,,,
,,2002 - 2003,900,400,0.44,,,,,,,,,
,,2003 - 2004,"1,900.00","1,900.00",1,,,,,,,,,
,,2004 - 2005,"2,700.00","2,700.00",1,,,,,,,,,
,,2005 - 2006,"2,400.00","2,600.00",1.08,,,,,,,,,
,,2006 - 2007,"4,200.00","5,200.00",1.24,,,,,,,,,
,,2007 - 2008,"9,400.00","12,200.00",1.3,,,,,,,,,
,,2008 - 2009,"8,200.00","12,300.00",1.5,,,,,,,,,
,,2009 - 2010,"1,800.00","2,100.00",1.17,,,,,,,,,
,,2010 - 2011,"2,400.00","3,500.00",1.46,,,,,,,,,
,,2011 - 2012,"2,600.00","3,800.00",1.46,,,,,,,,,
,,2012 - 2013,"2,300.00","2,000.00",0.87,,,,,,,,,
,,2013 - 2014,"3,460.00","4,273.00",1.23,,,,,,,,,
,,2014 - 2015,364,524,1.44,,,,,,,,,
,,2015 - 2016,"1,736.00","2,394.00",1.38,,,,,,,,,
,,2016 - 2017,"2,567.00","3,974.00",1.55,,,,,,,,,
,,2017 - 2018,"6,255.00","13,458.00",2.15,,,,,,,,,
,,2018 - 2019,"2,619.00","3,557.00",1.36,,,,,,,,,
,,2019 - 2020,"18,525.00","38,608.00",2.08,,,,,,,,,
,,2020 - 2021,"80,207.00","1,60,781.00",2,,,,,,,,,
,,2021 - 2022,"1,08,510.00","2,04,123.00",1.88,,,,,,,,,
,,2022 - 2023,"83,159.00","1,63,236.00",1.96,,,,,,,,,
,3. Anand,2003 - 2004,"4,100.00","1,900.00",0.46,,,,,,,,,
,,2004 - 2005,"2,500.00","1,700.00",0.68,,,,,,,,,
,,2005 - 2006,"2,300.00","1,500.00",0.65,,,,,,,,,
,,2006 - 2007,"2,700.00","1,700.00",0.63,,,,,,,,,
,,2007 - 2008,"3,100.00","1,600.00",0.52,,,,,,,,,
,,2008 - 2009,"3,600.00","1,900.00",0.53,,,,,,,,,
,,2009 - 2010,"4,100.00","2,700.00",0.66,,,,,,,,,
,,2010 - 2011,"3,100.00","2,000.00",0.65,,,,,,,,,
,,2011 - 2012,"2,600.00","1,700.00",0.65,,,,,,,,,
,,2012 - 2013,"2,700.00","1,900.00",0.7,,,,,,,,,
,,2013 - 2014,"2,785.00","1,998.00",0.72,,,,,,,,,
,,2014 - 2015,"2,515.00","1,853.00",0.74,,,,,,,,,
,,2015 - 2016,"1,746.00","2,114.00",1.21,,,,,,,,,
,,2016 - 2017,"4,179.00","3,836.00",0.92,,,,,,,,,
,,2017 - 2018,"3,807.00","3,753.00",0.99,,,,,,,,,
,,2018 - 2019,"5,672.00","5,787.00",1.02,,,,,,,,,
,,2019 - 2020,"5,294.00","5,549.00",1.05,,,,,,,,,
,,2020 - 2021,"5,524.00","5,417.00",0.98,,,,,,,,,
,,2021 - 2022,"7,664.00","7,820.00",1.02,,,,,,,,,
,,2022 - 2023,"8,990.00","8,979.00",1,,,,,,,,,
,4. Aravalli,2014 - 2015,"2,400.00","1,612.00",0.67,,,,,,,,,
,,2015 - 2016,"2,895.00","1,784.00",0.62,,,,,,,,,
,,2016 - 2017,"2,725.00","1,973.00",0.72,,,,,,,,,
,,2017 - 2018,"2,970.00","2,040.00",0.69,,,,,,,,,
,,2018 - 2019,"4,393.00","3,817.00",0.87,,,,,,,,,
,,2019 - 2020,"6,785.00","8,634.00",1.27,,,,,,,,,
,,2020 - 2021,"14,340.00","16,091.00",1.12,,,,,,,,,
,,2021 - 2022,"21,076.00","27,187.00",1.29,,,,,,,,,
,,2022 - 2023,"11,731.00","15,713.00",1.34,,,,,,,,,
,5. Banas kantha,2000 - 2001,400,200,0.5,,,,,,,,,
,,2001 - 2002,800,400,0.5,,,,,,,,,
,,2002 - 2003,100,,0,,,,,,,,,
,,2003 - 2004,400,400,1,,,,,,,,,
,,2004 - 2005,700,500,0.71,,,,,,,,,
,,2005 - 2006,600,600,1,,,,,,,,,
,,2006 - 2007,800,800,1,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,
,,2008 - 2009,300,300,1,,,,,,,,,
,,2009 - 2010,200,200,1,,,,,,,,,
,,2010 - 2011,900,"1,200.00",1.33,,,,,,,,,
,,2011 - 2012,300,400,1.33,,,,,,,,,
,,2012 - 2013,200,200,1,,,,,,,,,
,,2013 - 2014,171,211,1.23,,,,,,,,,
,,2014 - 2015,15,15,1,,,,,,,,,
,,2015 - 2016,20,18,0.9,,,,,,,,,
,,2016 - 2017,117,131,1.12,,,,,,,,,
,,2017 - 2018,331,425,1.28,,,,,,,,,
,,2018 - 2019,5,7,1.4,,,,,,,,,
,,2019 - 2020,141,221,1.57,,,,,,,,,
,,2020 - 2021,567,999,1.76,,,,,,,,,
,,2021 - 2022,"1,236.00","2,358.00",1.91,,,,,,,,,
,,2022 - 2023,856,"1,454.00",1.7,,,,,,,,,
,6. Bharuch,2000 - 2001,800,300,0.38,,,,,,,,,
,,2001 - 2002,"1,400.00",700,0.5,,,,,,,,,
,,2002 - 2003,"2,200.00",800,0.36,,,,,,,,,
,,2003 - 2004,"1,800.00","1,600.00",0.89,,,,,,,,,
,,2004 - 2005,"4,300.00","2,700.00",0.63,,,,,,,,,
,,2005 - 2006,"2,100.00","1,000.00",0.48,,,,,,,,,
,,2006 - 2007,"2,900.00","1,200.00",0.41,,,,,,,,,
,,2007 - 2008,"1,400.00",500,0.36,,,,,,,,,
,,2008 - 2009,"2,300.00",600,0.26,,,,,,,,,
,,2009 - 2010,"1,800.00","1,700.00",0.94,,,,,,,,,
,,2010 - 2011,"1,100.00","1,600.00",1.45,,,,,,,,,
,,2011 - 2012,"2,100.00","2,400.00",1.14,,,,,,,,,
,,2012 - 2013,"1,100.00","1,000.00",0.91,,,,,,,,,
,,2013 - 2014,"2,830.00","3,495.00",1.23,,,,,,,,,
,,2014 - 2015,"1,860.00",557,0.3,,,,,,,,,
,,2015 - 2016,750,219,0.29,,,,,,,,,
,,2016 - 2017,"1,130.00",332,0.29,,,,,,,,,
,,2017 - 2018,"1,695.00",598,0.35,,,,,,,,,
,,2018 - 2019,"1,550.00",802,0.52,,,,,,,,,
,,2019 - 2020,"1,355.00",894,0.66,,,,,,,,,
,,2020 - 2021,"2,741.00","2,074.00",0.76,,,,,,,,,
,,2021 - 2022,"2,037.00","2,545.00",1.25,,,,,,,,,
,,2022 - 2023,"1,567.00","1,688.00",1.08,,,,,,,,,
,7. Bhavnagar,2001 - 2002,"1,400.00",400,0.29,,,,,,,,,
,,2002 - 2003,"1,000.00",900,0.9,,,,,,,,,
,,2003 - 2004,"1,200.00","1,200.00",1,,,,,,,,,
,,2004 - 2005,700,500,0.71,,,,,,,,,
,,2005 - 2006,"1,400.00","1,400.00",1,,,,,,,,,
,,2006 - 2007,"1,400.00","1,600.00",1.14,,,,,,,,,
,,2007 - 2008,"1,300.00","1,200.00",0.92,,,,,,,,,
,,2008 - 2009,"3,000.00","3,000.00",1,,,,,,,,,
,,2009 - 2010,500,400,0.8,,,,,,,,,
,,2010 - 2011,"2,600.00","3,600.00",1.38,,,,,,,,,
,,2011 - 2012,"1,200.00","1,400.00",1.17,,,,,,,,,
,,2012 - 2013,500,500,1,,,,,,,,,
,,2013 - 2014,"1,337.00","1,651.00",1.23,,,,,,,,,
,,2014 - 2015,583,596,1.02,,,,,,,,,
,,2015 - 2016,495,439,0.89,,,,,,,,,
,,2016 - 2017,646,726,1.12,,,,,,,,,
,,2017 - 2018,"3,192.00","4,102.00",1.29,,,,,,,,,
,,2018 - 2019,686,932,1.36,,,,,,,,,
,,2019 - 2020,"4,749.00","14,627.00",3.08,,,,,,,,,
,,2020 - 2021,"21,704.00","51,851.00",2.39,,,,,,,,,
,,2021 - 2022,"50,711.00","1,22,769.00",2.42,,,,,,,,,
,,2022 - 2023,"23,015.00","38,145.00",1.66,,,,,,,,,
,8. Botad,2014 - 2015,"2,203.00","3,933.00",1.79,,,,,,,,,
,,2015 - 2016,"1,855.00","2,954.00",1.59,,,,,,,,,
,,2016 - 2017,678,735,1.08,,,,,,,,,
,,2017 - 2018,"4,266.00","4,779.00",1.12,,,,,,,,,
,,2018 - 2019,"1,941.00","2,636.00",1.36,,,,,,,,,
,,2019 - 2020,"6,089.00","6,692.00",1.1,,,,,,,,,
,,2020 - 2021,"39,644.00","65,222.00",1.65,,,,,,,,,
,,2021 - 2022,"40,336.00","91,572.00",2.27,,,,,,,,,
,,2022 - 2023,"12,160.00","27,289.00",2.24,,,,,,,,,
,9. Chhotaudepur,2014 - 2015,222,227,1.02,,,,,,,,,
,,2015 - 2016,193,171,0.89,,,,,,,,,
,,2016 - 2017,82,92,1.12,,,,,,,,,
,,2017 - 2018,335,431,1.29,,,,,,,,,
,,2018 - 2019,252,342,1.36,,,,,,,,,
,,2019 - 2020,"1,661.00","2,605.00",1.57,,,,,,,,,
,,2020 - 2021,"1,612.00","2,840.00",1.76,,,,,,,,,
,,2021 - 2022,"1,540.00","3,179.00",2.06,,,,,,,,,
,,2022 - 2023,"1,040.00","1,831.00",1.76,,,,,,,,,
,10. Dang,2000 - 2001,300,200,0.67,,,,,,,,,
,,2001 - 2002,400,200,0.5,,,,,,,,,
,,2002 - 2003,400,200,0.5,,,,,,,,,
,,2004 - 2005,300,200,0.67,,,,,,,,,
,,2005 - 2006,400,400,1,,,,,,,,,
,,2006 - 2007,600,700,1.17,,,,,,,,,
,,2007 - 2008,900,800,0.89,,,,,,,,,
,,2008 - 2009,"1,200.00","1,200.00",1,,,,,,,,,
,,2009 - 2010,"1,400.00","1,300.00",0.93,,,,,,,,,
,,2010 - 2011,"1,500.00","2,100.00",1.4,,,,,,,,,
,,2011 - 2012,"14,000.00","15,900.00",1.14,,,,,,,,,
,,2012 - 2013,400,300,0.75,,,,,,,,,
,,2013 - 2014,"19,384.00","17,917.00",0.92,,,,,,,,,
,,2014 - 2015,"16,235.00","16,030.00",0.99,,,,,,,,,
,,2015 - 2016,"16,162.00","15,761.00",0.98,,,,,,,,,
,,2016 - 2017,"18,285.00","17,888.00",0.98,,,,,,,,,
,,2017 - 2018,"20,212.00","17,496.00",0.87,,,,,,,,,
,,2018 - 2019,"3,900.00","3,277.00",0.84,,,,,,,,,
,,2019 - 2020,"17,050.00","14,297.00",0.84,,,,,,,,,
,,2020 - 2021,"16,500.00","16,688.00",1.01,,,,,,,,,
,,2021 - 2022,"16,112.00","16,685.00",1.04,,,,,,,,,
,,2022 - 2023,"15,780.00","14,127.00",0.9,,,,,,,,,
,11. Devbhumi dwarka,2014 - 2015,985,"1,813.00",1.84,,,,,,,,,
,,2015 - 2016,48,75,1.56,,,,,,,,,
,,2016 - 2017,785,574,0.73,,,,,,,,,
,,2017 - 2018,"3,720.00","7,585.00",2.04,,,,,,,,,
,,2018 - 2019,253,403,1.59,,,,,,,,,
,,2019 - 2020,"10,323.00","19,407.00",1.88,,,,,,,,,
,,2020 - 2021,"47,555.00","91,082.00",1.92,,,,,,,,,
,,2021 - 2022,"80,468.00","1,65,890.00",2.06,,,,,,,,,
,,2022 - 2023,"59,991.00","97,656.00",1.63,,,,,,,,,
,12. Dohad,2003 - 2004,"43,400.00","36,500.00",0.84,,,,,,,,,
,,2004 - 2005,"40,600.00","33,500.00",0.83,,,,,,,,,
,,2005 - 2006,"33,800.00","28,700.00",0.85,,,,,,,,,
,,2006 - 2007,"47,700.00","39,200.00",0.82,,,,,,,,,
,,2007 - 2008,"56,700.00","53,300.00",0.94,,,,,,,,,
,,2008 - 2009,"38,700.00","28,700.00",0.74,,,,,,,,,
,,2009 - 2010,"44,300.00","32,200.00",0.73,,,,,,,,,
,,2010 - 2011,"50,200.00","41,200.00",0.82,,,,,,,,,
,,2011 - 2012,"51,100.00","50,700.00",0.99,,,,,,,,,
,,2012 - 2013,"48,700.00","47,200.00",0.97,,,,,,,,,
,,2013 - 2014,"45,437.00","40,648.00",0.89,,,,,,,,,
,,2014 - 2015,"40,529.00","32,480.00",0.8,,,,,,,,,
,,2015 - 2016,"33,074.00","22,067.00",0.67,,,,,,,,,
,,2016 - 2017,"28,037.00","37,099.00",1.32,,,,,,,,,
,,2017 - 2018,"36,471.00","55,148.00",1.51,,,,,,,,,
,,2018 - 2019,"33,188.00","42,085.00",1.27,,,,,,,,,
,,2019 - 2020,"49,272.00","53,976.00",1.1,,,,,,,,,
,,2020 - 2021,"39,704.00","47,925.00",1.21,,,,,,,,,
,,2021 - 2022,"42,975.00","53,488.00",1.24,,,,,,,,,
,,2022 - 2023,"44,698.00","58,617.00",1.31,,,,,,,,,
,13. Gandhinagar,2003 - 2004,200,100,0.5,,,,,,,,,
,,2004 - 2005,200,100,0.5,,,,,,,,,
,,2005 - 2006,100,100,1,,,,,,,,,
,,2006 - 2007,100,100,1,,,,,,,,,
,,2007 - 2008,200,200,1,,,,,,,,,
,,2008 - 2009,200,200,1,,,,,,,,,
,,2010 - 2011,100,100,1,,,,,,,,,
,,2016 - 2017,37,42,1.14,,,,,,,,,
,,2017 - 2018,729,937,1.29,,,,,,,,,
,,2018 - 2019,594,807,1.36,,,,,,,,,
,,2019 - 2020,421,660,1.57,,,,,,,,,
,,2020 - 2021,953,"1,679.00",1.76,,,,,,,,,
,,2021 - 2022,"1,579.00","3,012.00",1.91,,,,,,,,,
,,2022 - 2023,"1,161.00","1,973.00",1.7,,,,,,,,,
,14. Gir somnath,2014 - 2015,70,40,0.57,,,,,,,,,
,,2015 - 2016,346,307,0.89,,,,,,,,,
,,2016 - 2017,"1,010.00","1,135.00",1.12,,,,,,,,,
,,2017 - 2018,"2,167.00","2,785.00",1.29,,,,,,,,,
,,2018 - 2019,"1,032.00","1,401.00",1.36,,,,,,,,,
,,2019 - 2020,"3,427.00","6,510.00",1.9,,,,,,,,,
,,2020 - 2021,"27,781.00","62,000.00",2.23,,,,,,,,,
,,2021 - 2022,"37,150.00","82,423.00",2.22,,,,,,,,,
,,2022 - 2023,"22,534.00","49,079.00",2.18,,,,,,,,,
,15. Jamnagar,2000 - 2001,800,600,0.75,,,,,,,,,
,,2001 - 2002,"6,400.00","3,900.00",0.61,,,,,,,,,
,,2002 - 2003,"1,700.00","1,200.00",0.71,,,,,,,,,
,,2003 - 2004,"19,500.00","29,400.00",1.51,,,,,,,,,
,,2004 - 2005,"8,500.00","11,100.00",1.31,,,,,,,,,
,,2005 - 2006,"15,300.00","21,300.00",1.39,,,,,,,,,
,,2006 - 2007,"21,200.00","24,700.00",1.17,,,,,,,,,
,,2007 - 2008,"24,400.00","34,000.00",1.39,,,,,,,,,
,,2008 - 2009,"27,800.00","36,900.00",1.33,,,,,,,,,
,,2009 - 2010,"22,900.00","33,800.00",1.48,,,,,,,,,
,,2010 - 2011,"24,000.00","37,000.00",1.54,,,,,,,,,
,,2011 - 2012,"23,100.00","33,300.00",1.44,,,,,,,,,
,,2012 - 2013,"7,200.00","6,700.00",0.93,,,,,,,,,
,,2013 - 2014,"24,368.00","39,637.00",1.63,,,,,,,,,
,,2014 - 2015,"2,794.00","3,595.00",1.29,,,,,,,,,
,,2015 - 2016,"1,553.00","1,861.00",1.2,,,,,,,,,
