State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,,,,"1,073.00","7,468.00",6.96,3,17,5.67,,,,,,
,,2018 - 2019,,,,930,"5,090.00",5.47,,,,,,,,,
,,2019 - 2020,,,,949,"6,178.00",6.51,,,,,,,,,
,,2020 - 2021,,,,"1,676.00","7,648.00",4.56,3,15,5,,,,,,
,,2021 - 2022,,,,"1,389.00","11,900.00",8.57,,,,,,,,,
,,2022 - 2023,,,,"2,726.00","11,471.00",4.21,27,165,6.11,,,,,,
,20. Sri sathya sai,2022 - 2023,,,,118,399,3.38,"1,788.00","1,191.00",0.67,,,,,,
,21. Srikakulam,2000 - 2001,,,,"3,044.00","6,280.00",2.06,17,47,2.76,,,,,,
,,2001 - 2002,,,,"2,840.00","7,659.00",2.7,12,43,3.58,,,,,,
,,2002 - 2003,,,,"2,152.00","4,229.00",1.97,15,30,2,,,,,,
,,2003 - 2004,,,,"2,615.00","9,116.00",3.49,45,198,4.4,,,,,,
,,2004 - 2005,,,,"2,790.00","11,453.00",4.11,71,294,4.14,,,,,,
,,2005 - 2006,,,,"2,867.00","8,268.00",2.88,75,314,4.19,,,,,,
,,2006 - 2007,,,,"3,274.00","11,515.00",3.52,64,288,4.5,,,,,,
,,2007 - 2008,,,,"4,000.00","15,000.00",3.75,,,,,,,,,
,,2008 - 2009,,,,"2,933.00","11,016.00",3.76,45,201,4.47,,,,,,
,,2009 - 2010,,,,"2,861.00","9,584.00",3.35,53,254,4.79,,,,,,
,,2010 - 2011,,,,"2,811.00","12,545.00",4.46,64,212,3.31,,,,,,
,,2011 - 2012,,,,"2,289.00","13,471.00",5.89,55,209,3.8,,,,,,
