State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,31. Sheohar,2001 - 2002,2,1,0.5,,,,,,,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,,,,
,,2005 - 2006,12,20,1.67,,,,,,,,,,,,
,,2007 - 2008,14,26,1.86,,,,,,,,,,,,
,,2008 - 2009,20,36,1.8,,,,,,,,,,,,
,32. Sitamarhi,2000 - 2001,29,20,0.69,,,,,,,,,,,,
,,2001 - 2002,24,18,0.75,,,,,,,,,,,,
,,2002 - 2003,23,16,0.7,,,,,,,,,,,,
,,2003 - 2004,21,11,0.52,,,,,,,,,,,,
,,2004 - 2005,27,19,0.7,,,,,,,,,,,,
,,2005 - 2006,21,35,1.67,,,,,,,,,,,,
,,2007 - 2008,19,36,1.89,,,,,,,,,,,,
,,2008 - 2009,21,38,1.81,,,,,,,,,,,,
,,2020 - 2021,,,,42,51,1.21,,,,,,,,,
,,2021 - 2022,,,,41,47,1.15,,,,,,,,,
,,2022 - 2023,,,,42,26,0.62,,,,,,,,,
,33. Siwan,2003 - 2004,1,1,1,,,,,,,,,,,,
,,2004 - 2005,18,13,0.72,,,,,,,,,,,,
,,2005 - 2006,17,16,0.94,,,,,,,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,,,,,,,
,,2008 - 2009,5,7,1.4,,,,,,,,,,,,
,,2020 - 2021,,,,25,56,2.24,,,,,,,,,
,,2022 - 2023,,,,26,53,2.04,,,,,,,,,
,34. Supaul,2000 - 2001,77,82,1.06,,,,,,,,,,,,
,,2001 - 2002,128,128,1,,,,,,,,,,,,
,,2002 - 2003,187,125,0.67,,,,,,,,,,,,
,,2003 - 2004,131,101,0.77,,,,,,,,,,,,
,,2004 - 2005,116,84,0.72,,,,,,,,,,,,
,,2005 - 2006,149,95,0.64,,,,,,,,,,,,
,,2007 - 2008,115,81,0.7,,,,,,,,,,,,
,,2008 - 2009,109,154,1.41,,,,,,,,,,,,
,,2020 - 2021,,,,271,"1,040.00",3.84,,,,,,,,,
,,2021 - 2022,,,,264,"1,061.00",4.02,,,,,,,,,
,,2022 - 2023,,,,261,"1,179.00",4.52,,,,,,,,,
,35. Vaishali,2000 - 2001,70,48,0.69,,,,,,,,,,,,
,,2001 - 2002,116,85,0.73,,,,,,,,,,,,
,,2002 - 2003,50,28,0.56,,,,,,,,,,,,
,,2003 - 2004,22,12,0.55,,,,,,,,,,,,
,,2004 - 2005,27,21,0.78,,,,,,,,,,,,
,,2005 - 2006,30,48,1.6,,,,,,,,,,,,
,,2007 - 2008,51,96,1.88,,,,,,,,,,,,
,,2008 - 2009,16,29,1.81,,,,,,,,,,,,
,,2020 - 2021,,,,7,9,1.29,,,,,,,,,
,,2021 - 2022,,,,7,8,1.14,,,,,,,,,
,,2022 - 2023,,,,8,8,1,,,,,,,,,
6. Chhattisgarh,1. Balod,2011 - 2012,25,27,1.08,,,,,,,,,,,,
,,2012 - 2013,18,22,1.22,,,,,,,,,,,,
,,2013 - 2014,33,38,1.15,,,,,,,,,,,,
,,2014 - 2015,29,8,0.28,,,,,,,,,,,,
,,2015 - 2016,10,11,1.1,,,,,,,,,,,,
,,2016 - 2017,7,5,0.71,,,,,,,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,,,,,,,
,,2020 - 2021,4,3,0.75,,,,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,,2022 - 2023,3,3,1,,,,,,,,,,,,
,2. Baloda bazar,2011 - 2012,479,437,0.91,,,,,,,,,,,,
,,2012 - 2013,369,350,0.95,,,,,,,,,,,,
,,2013 - 2014,401,306,0.76,,,,,,,,,,,,
,,2014 - 2015,384,196,0.51,,,,,,,,,,,,
,,2015 - 2016,395,209,0.53,,,,,,,,,,,,
,,2016 - 2017,309,275,0.89,,,,,,,,,,,,
,,2017 - 2018,432,177,0.41,,,,,,,,,,,,
,,2018 - 2019,267,181,0.68,,,,,,,,,,,,
,,2019 - 2020,149,97,0.65,,,,,,,,,,,,
,,2020 - 2021,273,139,0.51,,,,,,,,,,,,
,,2021 - 2022,177,112,0.63,,,,,,,,,,,,
,,2022 - 2023,145,113,0.78,,,,,,,,,,,,
,3. Balrampur,2011 - 2012,262,252,0.96,,,,,,,,,,,,
,,2012 - 2013,285,224,0.79,,,,,,,,,,,,
,,2013 - 2014,363,240,0.66,,,,,,,,,,,,
,,2014 - 2015,324,168,0.52,,,,,,,,,,,,
,,2015 - 2016,343,144,0.42,,,,,,,,,,,,
,,2016 - 2017,392,248,0.63,,,,,,,,,,,,
,,2017 - 2018,399,70,0.18,,,,,,,,,,,,
,,2018 - 2019,539,374,0.69,,,,,,,,,,,,
,,2019 - 2020,427,273,0.64,,,,,,,,,,,,
,,2020 - 2021,392,226,0.58,,,,,,,,,,,,
,,2021 - 2022,356,231,0.65,,,,,,,,,,,,
,,2022 - 2023,339,227,0.67,,,,,,,,,,,,
,4. Bastar,2000 - 2001,246,54,0.22,,,,,,,,,,,,
,,2001 - 2002,267,125,0.47,,,,,,,,,,,,
,,2002 - 2003,294,245,0.83,,,,,,,,,,,,
,,2003 - 2004,289,179,0.62,,,,,,,,,,,,
,,2004 - 2005,321,176,0.55,,,,,,,,,,,,
,,2005 - 2006,279,68,0.24,,,,,,,,,,,,
,,2006 - 2007,322,116,0.36,,,,,,,,,,,,
,,2007 - 2008,316,204,0.65,,,,,,,,,,,,
,,2008 - 2009,274,137,0.5,,,,,,,,,,,,
,,2009 - 2010,321,200,0.62,,,,,,,,,,,,
,,2010 - 2011,533,210,0.39,,,,,,,,,,,,
,,2011 - 2012,220,157,0.71,,,,,,,,,,,,
,,2012 - 2013,461,433,0.94,,,,,,,,,,,,
,,2013 - 2014,199,127,0.64,,,,,,,,,,,,
,,2014 - 2015,561,240,0.43,,,,,,,,,,,,
,,2015 - 2016,637,242,0.38,,,,,,,,,,,,
,,2016 - 2017,745,396,0.53,,,,,,,,,,,,
,,2017 - 2018,"1,176.00",379,0.32,,,,,,,,,,,,
,,2018 - 2019,"1,104.00",581,0.53,,,,,,,,,,,,
,,2019 - 2020,848,370,0.44,,,,,,,,,,,,
,,2020 - 2021,815,302,0.37,,,,,,,,,,,,
,,2021 - 2022,752,325,0.43,,,,,,,,,,,,
,,2022 - 2023,600,324,0.54,,,,,,,,,,,,
,5. Bemetara,2011 - 2012,97,107,1.1,,,,,,,,,,,,
,,2012 - 2013,68,81,1.19,,,,,,,,,,,,
,,2013 - 2014,83,62,0.75,,,,,,,,,,,,
,,2014 - 2015,37,19,0.51,,,,,,,,,,,,
,,2015 - 2016,80,88,1.1,,,,,,,,,,,,
,,2016 - 2017,49,39,0.8,,,,,,,,,,,,
,,2017 - 2018,132,91,0.69,,,,,,,,,,,,
,,2018 - 2019,235,10,0.04,,,,,,,,,,,,
,,2019 - 2020,250,194,0.78,,,,,,,,,,,,
,,2020 - 2021,160,134,0.84,,,,,,,,,,,,
,,2021 - 2022,349,311,0.89,,,,,,,,,,,,
,,2022 - 2023,280,281,1,,,,,,,,,,,,
,6. Bijapur,2006 - 2007,63,,0,,,,,,,,,,,,
,,2007 - 2008,56,36,0.64,,,,,,,,,,,,
,,2008 - 2009,62,25,0.4,,,,,,,,,,,,
,,2009 - 2010,34,10,0.29,,,,,,,,,,,,
,,2010 - 2011,50,16,0.32,,,,,,,,,,,,
,,2011 - 2012,51,35,0.69,,,,,,,,,,,,
,,2012 - 2013,53,39,0.74,,,,,,,,,,,,
,,2013 - 2014,54,35,0.65,,,,,,,,,,,,
,,2014 - 2015,42,19,0.45,,,,,,,,,,,,
,,2015 - 2016,34,5,0.15,,,,,,,,,,,,
,,2016 - 2017,46,15,0.33,,,,,,,,,,,,
,,2017 - 2018,48,11,0.23,,,,,,,,,,,,
,,2018 - 2019,44,10,0.23,,,,,,,,,,,,
,,2019 - 2020,27,14,0.52,,,,,,,,,,,,
,,2020 - 2021,21,14,0.67,,,,,,,,,,,,
,,2021 - 2022,33,14,0.42,,,,,,,,,,,,
,,2022 - 2023,25,10,0.4,,,,,,,,,,,,
,7. Bilaspur,2000 - 2001,506,104,0.21,,,,,,,,,,,,
,,2001 - 2002,786,338,0.43,,,,,,,,,,,,
,,2002 - 2003,645,496,0.77,,,,,,,,,,,,
,,2003 - 2004,814,443,0.54,,,,,,,,,,,,
,,2004 - 2005,676,336,0.5,,,,,,,,,,,,
,,2005 - 2006,739,174,0.24,,,,,,,,,,,,
,,2006 - 2007,722,235,0.33,,,,,,,,,,,,
,,2007 - 2008,656,391,0.6,,,,,,,,,,,,
,,2008 - 2009,550,256,0.47,,,,,,,,,,,,
,,2009 - 2010,554,397,0.72,,,,,,,,,,,,
,,2010 - 2011,647,292,0.45,,,,,,,,,,,,
,,2011 - 2012,383,283,0.74,,,,,,,,,,,,
,,2012 - 2013,405,369,0.91,,,,,,,,,,,,
,,2013 - 2014,365,242,0.66,,,,,,,,,,,,
,,2014 - 2015,558,267,0.48,,,,,,,,,,,,
,,2015 - 2016,562,210,0.37,,,,,,,,,,,,
,,2016 - 2017,492,268,0.54,,,,,,,,,,,,
,,2017 - 2018,322,87,0.27,,,,,,,,,,,,
,,2018 - 2019,507,288,0.57,,,,,,,,,,,,
,,2019 - 2020,259,158,0.61,,,,,,,,,,,,
,,2020 - 2021,224,157,0.7,,,,,,,,,,,,
,,2021 - 2022,169,93,0.55,,,,,,,,,,,,
,,2022 - 2023,114,63,0.55,,,,,,,,,,,,
,8. Dantewada,2000 - 2001,276,59,0.21,,,,,,,,,,,,
,,2001 - 2002,335,149,0.44,,,,,,,,,,,,
,,2002 - 2003,301,137,0.46,,,,,,,,,,,,
,,2003 - 2004,319,174,0.55,,,,,,,,,,,,
,,2004 - 2005,292,102,0.35,,,,,,,,,,,,
,,2005 - 2006,285,53,0.19,,,,,,,,,,,,
,,2006 - 2007,84,40,0.48,,,,,,,,,,,,
,,2007 - 2008,100,65,0.65,,,,,,,,,,,,
,,2008 - 2009,103,42,0.41,,,,,,,,,,,,
,,2009 - 2010,123,36,0.29,,,,,,,,,,,,
,,2010 - 2011,144,45,0.31,,,,,,,,,,,,
,,2011 - 2012,63,43,0.68,,,,,,,,,,,,
,,2012 - 2013,65,48,0.74,,,,,,,,,,,,
,,2013 - 2014,69,51,0.74,,,,,,,,,,,,
,,2014 - 2015,77,34,0.44,,,,,,,,,,,,
,,2015 - 2016,82,44,0.54,,,,,,,,,,,,
,,2016 - 2017,85,25,0.29,,,,,,,,,,,,
,,2017 - 2018,86,19,0.22,,,,,,,,,,,,
,,2018 - 2019,73,9,0.12,,,,,,,,,,,,
,,2019 - 2020,58,23,0.4,,,,,,,,,,,,
,,2020 - 2021,24,8,0.33,,,,,,,,,,,,
,,2021 - 2022,22,9,0.41,,,,,,,,,,,,
,,2022 - 2023,15,6,0.4,,,,,,,,,,,,
,9. Dhamtari,2000 - 2001,292,92,0.32,,,,,,,,,,,,
,,2001 - 2002,322,209,0.65,,,,,,,,,,,,
,,2002 - 2003,200,209,1.05,,,,,,,,,,,,
,,2003 - 2004,204,152,0.75,,,,,,,,,,,,
,,2004 - 2005,284,183,0.64,,,,,,,,,,,,
,,2005 - 2006,234,72,0.31,,,,,,,,,,,,
,,2006 - 2007,180,77,0.43,,,,,,,,,,,,
,,2007 - 2008,250,199,0.8,,,,,,,,,,,,
,,2008 - 2009,251,157,0.63,,,,,,,,,,,,
,,2009 - 2010,285,243,0.85,,,,,,,,,,,,
,,2010 - 2011,262,140,0.53,,,,,,,,,,,,
,,2011 - 2012,344,333,0.97,,,,,,,,,,,,
,,2012 - 2013,282,316,1.12,,,,,,,,,,,,
,,2013 - 2014,200,67,0.34,,,,,,,,,,,,
,,2014 - 2015,217,128,0.59,,,,,,,,,,,,
,,2015 - 2016,227,102,0.45,,,,,,,,,,,,
,,2016 - 2017,223,147,0.66,,,,,,,,,,,,
,,2017 - 2018,146,75,0.51,,,,,,,,,,,,
,,2018 - 2019,84,62,0.74,,,,,,,,,,,,
,,2019 - 2020,60,40,0.67,,,,,,,,,,,,
,,2020 - 2021,58,37,0.64,,,,,,,,,,,,
,,2021 - 2022,121,87,0.72,,,,,,,,,,,,
,,2022 - 2023,121,98,0.81,,,,,,,,,,,,
,10. Durg,2000 - 2001,198,49,0.25,,,,,,,,,,,,
,,2001 - 2002,408,252,0.62,,,,,,,,,,,,
,,2002 - 2003,318,330,1.04,,,,,,,,,,,,
,,2003 - 2004,241,188,0.78,,,,,,,,,,,,
,,2004 - 2005,205,138,0.67,,,,,,,,,,,,
,,2005 - 2006,175,56,0.32,,,,,,,,,,,,
,,2006 - 2007,142,66,0.46,,,,,,,,,,,,
,,2007 - 2008,160,141,0.88,,,,,,,,,,,,
,,2008 - 2009,149,86,0.58,,,,,,,,,,,,
,,2009 - 2010,190,184,0.97,,,,,,,,,,,,
,,2010 - 2011,139,91,0.65,,,,,,,,,,,,
,,2011 - 2012,14,15,1.07,,,,,,,,,,,,
,,2012 - 2013,22,28,1.27,,,,,,,,,,,,
,,2013 - 2014,25,20,0.8,,,,,,,,,,,,
,,2014 - 2015,28,18,0.64,,,,,,,,,,,,
,,2015 - 2016,23,12,0.52,,,,,,,,,,,,
,,2016 - 2017,38,35,0.92,,,,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,,,,
,,2018 - 2019,20,14,0.7,,,,,,,,,,,,
,,2019 - 2020,11,5,0.45,,,,,,,,,,,,
,,2020 - 2021,35,25,0.71,,,,,,,,,,,,
,,2021 - 2022,141,105,0.74,,,,,,,,,,,,
,,2022 - 2023,26,24,0.92,,,,,,,,,,,,
,11. Gariyaband,2011 - 2012,192,175,0.91,,,,,,,,,,,,
,,2012 - 2013,197,193,0.98,,,,,,,,,,,,
,,2013 - 2014,149,135,0.91,,,,,,,,,,,,
,,2014 - 2015,110,50,0.45,,,,,,,,,,,,
,,2015 - 2016,83,41,0.49,,,,,,,,,,,,
,,2016 - 2017,130,118,0.91,,,,,,,,,,,,
,,2017 - 2018,59,15,0.25,,,,,,,,,,,,
,,2018 - 2019,62,41,0.66,,,,,,,,,,,,
,,2019 - 2020,31,30,0.97,,,,,,,,,,,,
,,2020 - 2021,9,29,3.22,,,,,,,,,,,,
,,2021 - 2022,18,29,1.61,,,,,,,,,,,,
,,2022 - 2023,27,18,0.67,,,,,,,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,25,15,0.6,,,,,,,,,,,,
,,2020 - 2021,14,6,0.43,,,,,,,,,,,,
,,2021 - 2022,19,10,0.53,,,,,,,,,,,,
,,2022 - 2023,15,8,0.53,,,,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,496,103,0.21,,,,,,,,,,,,
,,2001 - 2002,510,255,0.5,,,,,,,,,,,,
,,2002 - 2003,498,376,0.76,,,,,,,,,,,,
,,2003 - 2004,463,292,0.63,,,,,,,,,,,,
,,2004 - 2005,549,276,0.5,,,,,,,,,,,,
,,2005 - 2006,546,127,0.23,,,,,,,,,,,,
,,2006 - 2007,509,173,0.34,,,,,,,,,,,,
,,2007 - 2008,401,250,0.62,,,,,,,,,,,,
,,2008 - 2009,484,237,0.49,,,,,,,,,,,,
,,2009 - 2010,509,371,0.73,,,,,,,,,,,,
,,2010 - 2011,506,265,0.52,,,,,,,,,,,,
,,2011 - 2012,409,385,0.94,,,,,,,,,,,,
,,2012 - 2013,368,397,1.08,,,,,,,,,,,,
,,2013 - 2014,330,258,0.78,,,,,,,,,,,,
,,2014 - 2015,246,124,0.5,,,,,,,,,,,,
,,2015 - 2016,247,119,0.48,,,,,,,,,,,,
,,2016 - 2017,256,181,0.71,,,,,,,,,,,,
,,2017 - 2018,163,17,0.1,,,,,,,,,,,,
,,2018 - 2019,340,250,0.74,,,,,,,,,,,,
,,2019 - 2020,152,115,0.76,,,,,,,,,,,,
,,2020 - 2021,104,66,0.63,,,,,,,,,,,,
,,2021 - 2022,80,49,0.61,,,,,,,,,,,,
,,2022 - 2023,5,4,0.8,,,,,,,,,,,,
,14. Jashpur,2000 - 2001,178,48,0.27,,,,,,,,,,,,
,,2001 - 2002,176,94,0.53,,,,,,,,,,,,
,,2002 - 2003,169,160,0.95,,,,,,,,,,,,
,,2003 - 2004,169,117,0.69,,,,,,,,,,,,
,,2004 - 2005,166,87,0.52,,,,,,,,,,,,
,,2005 - 2006,180,46,0.26,,,,,,,,,,,,
,,2006 - 2007,181,69,0.38,,,,,,,,,,,,
,,2007 - 2008,196,134,0.68,,,,,,,,,,,,
,,2008 - 2009,202,116,0.57,,,,,,,,,,,,
,,2009 - 2010,207,155,0.75,,,,,,,,,,,,
,,2010 - 2011,265,130,0.49,,,,,,,,,,,,
,,2011 - 2012,316,306,0.97,,,,,,,,,,,,
,,2012 - 2013,300,310,1.03,,,,,,,,,,,,
,,2013 - 2014,373,282,0.76,,,,,,,,,,,,
,,2014 - 2015,410,222,0.54,,,,,,,,,,,,
,,2015 - 2016,351,150,0.43,,,,,,,,,,,,
,,2016 - 2017,412,254,0.62,,,,,,,,,,,,
,,2017 - 2018,420,363,0.86,,,,,,,,,,,,
,,2018 - 2019,419,259,0.62,,,,,,,,,,,,
,,2019 - 2020,467,249,0.53,,,,,,,,,,,,
,,2020 - 2021,555,270,0.49,,,,,,,,,,,,
,,2021 - 2022,573,345,0.6,,,,,,,,,,,,
,,2022 - 2023,561,380,0.68,,,,,,,,,,,,
,15. Kabirdham,2000 - 2001,363,74,0.2,,,,,,,,,,,,
,,2001 - 2002,382,228,0.6,,,,,,,,,,,,
,,2002 - 2003,419,438,1.05,,,,,,,,,,,,
,,2003 - 2004,324,243,0.75,,,,,,,,,,,,
,,2004 - 2005,308,168,0.55,,,,,,,,,,,,
,,2005 - 2006,271,73,0.27,,,,,,,,,,,,
,,2006 - 2007,319,131,0.41,,,,,,,,,,,,
,,2007 - 2008,271,219,0.81,,,,,,,,,,,,
,,2008 - 2009,285,154,0.54,,,,,,,,,,,,
,,2009 - 2010,239,199,0.83,,,,,,,,,,,,
,,2010 - 2011,226,124,0.55,,,,,,,,,,,,
,,2011 - 2012,101,106,1.05,,,,,,,,,,,,
,,2012 - 2013,195,235,1.21,,,,,,,,,,,,
,,2013 - 2014,137,120,0.88,,,,,,,,,,,,
,,2014 - 2015,230,159,0.69,,,,,,,,,,,,
,,2015 - 2016,197,83,0.42,,,,,,,,,,,,
,,2016 - 2017,50,38,0.76,,,,,,,,,,,,
,,2017 - 2018,63,105,1.67,,,,,,,,,,,,
,,2018 - 2019,32,24,0.75,,,,,,,,,,,,
,,2019 - 2020,34,20,0.59,,,,,,,,,,,,
,,2020 - 2021,41,21,0.51,,,,,,,,,,,,
,,2021 - 2022,96,65,0.68,,,,,,,,,,,,
,,2022 - 2023,9,6,0.67,,,,,,,,,,,,
,16. Kanker,2000 - 2001,181,41,0.23,,,,,,,,,,,,
,,2001 - 2002,225,123,0.55,,,,,,,,,,,,
,,2002 - 2003,124,75,0.6,,,,,,,,,,,,
,,2003 - 2004,203,154,0.76,,,,,,,,,,,,
,,2004 - 2005,205,106,0.52,,,,,,,,,,,,
,,2005 - 2006,201,48,0.24,,,,,,,,,,,,
,,2006 - 2007,159,53,0.33,,,,,,,,,,,,
,,2007 - 2008,167,108,0.65,,,,,,,,,,,,
,,2008 - 2009,167,67,0.4,,,,,,,,,,,,
,,2009 - 2010,167,94,0.56,,,,,,,,,,,,
,,2010 - 2011,240,109,0.45,,,,,,,,,,,,
,,2011 - 2012,110,78,0.71,,,,,,,,,,,,
,,2012 - 2013,125,95,0.76,,,,,,,,,,,,
,,2013 - 2014,279,122,0.44,,,,,,,,,,,,
,,2014 - 2015,287,102,0.36,,,,,,,,,,,,
,,2015 - 2016,203,58,0.29,,,,,,,,,,,,
,,2016 - 2017,189,104,0.55,,,,,,,,,,,,
,,2017 - 2018,138,1,0.01,,,,,,,,,,,,
,,2018 - 2019,139,62,0.45,,,,,,,,,,,,
,,2019 - 2020,34,17,0.5,,,,,,,,,,,,
,,2020 - 2021,34,13,0.38,,,,,,,,,,,,
,,2021 - 2022,18,8,0.44,,,,,,,,,,,,
,,2022 - 2023,17,9,0.53,,,,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,20,18,0.9,,,,,,,,,,,,
,18. Kondagaon,2011 - 2012,152,109,0.72,,,,,,,,,,,,
,,2012 - 2013,170,159,0.94,,,,,,,,,,,,
,,2013 - 2014,190,120,0.63,,,,,,,,,,,,
,,2014 - 2015,153,65,0.42,,,,,,,,,,,,
,,2015 - 2016,175,77,0.44,,,,,,,,,,,,
,,2016 - 2017,202,128,0.63,,,,,,,,,,,,
,,2017 - 2018,291,54,0.19,,,,,,,,,,,,
,,2018 - 2019,168,111,0.66,,,,,,,,,,,,
,,2019 - 2020,139,90,0.65,,,,,,,,,,,,
,,2020 - 2021,142,72,0.51,,,,,,,,,,,,
,,2021 - 2022,251,149,0.59,,,,,,,,,,,,
,,2022 - 2023,254,169,0.67,,,,,,,,,,,,
,19. Korba,2000 - 2001,199,40,0.2,,,,,,,,,,,,
,,2001 - 2002,215,101,0.47,,,,,,,,,,,,
,,2002 - 2003,207,147,0.71,,,,,,,,,,,,
,,2003 - 2004,224,114,0.51,,,,,,,,,,,,
,,2004 - 2005,247,94,0.38,,,,,,,,,,,,
,,2005 - 2006,247,52,0.21,,,,,,,,,,,,
,,2006 - 2007,235,63,0.27,,,,,,,,,,,,
,,2007 - 2008,234,120,0.51,,,,,,,,,,,,
,,2008 - 2009,194,95,0.49,,,,,,,,,,,,
,,2009 - 2010,200,98,0.49,,,,,,,,,,,,
,,2010 - 2011,130,59,0.45,,,,,,,,,,,,
,,2011 - 2012,124,102,0.82,,,,,,,,,,,,
,,2012 - 2013,176,143,0.81,,,,,,,,,,,,
,,2013 - 2014,184,109,0.59,,,,,,,,,,,,
,,2014 - 2015,161,71,0.44,,,,,,,,,,,,
,,2015 - 2016,150,38,0.25,,,,,,,,,,,,
,,2016 - 2017,110,54,0.49,,,,,,,,,,,,
,,2017 - 2018,178,69,0.39,,,,,,,,,,,,
,,2018 - 2019,177,83,0.47,,,,,,,,,,,,
,,2019 - 2020,80,35,0.44,,,,,,,,,,,,
,,2020 - 2021,61,28,0.46,,,,,,,,,,,,
,,2021 - 2022,45,23,0.51,,,,,,,,,,,,
,,2022 - 2023,20,11,0.55,,,,,,,,,,,,
,20. Korea,2000 - 2001,97,19,0.2,,,,,,,,,,,,
,,2001 - 2002,93,48,0.52,,,,,,,,,,,,
,,2002 - 2003,76,69,0.91,,,,,,,,,,,,
,,2003 - 2004,80,29,0.36,,,,,,,,,,,,
,,2004 - 2005,93,39,0.42,,,,,,,,,,,,
,,2005 - 2006,83,16,0.19,,,,,,,,,,,,
,,2006 - 2007,94,28,0.3,,,,,,,,,,,,
,,2007 - 2008,98,53,0.54,,,,,,,,,,,,
,,2008 - 2009,97,47,0.48,,,,,,,,,,,,
,,2009 - 2010,109,48,0.44,,,,,,,,,,,,
,,2010 - 2011,104,33,0.32,,,,,,,,,,,,
,,2011 - 2012,110,104,0.95,,,,,,,,,,,,
,,2012 - 2013,130,112,0.86,,,,,,,,,,,,
,,2013 - 2014,133,69,0.52,,,,,,,,,,,,
,,2014 - 2015,141,68,0.48,,,,,,,,,,,,
,,2015 - 2016,132,30,0.23,,,,,,,,,,,,
,,2016 - 2017,144,74,0.51,,,,,,,,,,,,
,,2017 - 2018,144,78,0.54,,,,,,,,,,,,
,,2018 - 2019,138,64,0.46,,,,,,,,,,,,
,,2019 - 2020,117,49,0.42,,,,,,,,,,,,
,,2020 - 2021,91,31,0.34,,,,,,,,,,,,
,,2021 - 2022,79,38,0.48,,,,,,,,,,,,
,,2022 - 2023,49,26,0.53,,,,,,,,,,,,
,21. Mahasamund,2000 - 2001,311,111,0.36,,,,,,,,,,,,
,,2001 - 2002,357,209,0.59,,,,,,,,,,,,
,,2002 - 2003,312,271,0.87,,,,,,,,,,,,
,,2003 - 2004,368,244,0.66,,,,,,,,,,,,
,,2004 - 2005,357,198,0.55,,,,,,,,,,,,
,,2005 - 2006,368,95,0.26,,,,,,,,,,,,
,,2006 - 2007,357,146,0.41,,,,,,,,,,,,
,,2007 - 2008,353,284,0.8,,,,,,,,,,,,
,,2008 - 2009,340,201,0.59,,,,,,,,,,,,
,,2009 - 2010,322,244,0.76,,,,,,,,,,,,
,,2010 - 2011,323,155,0.48,,,,,,,,,,,,
,,2011 - 2012,310,300,0.97,,,,,,,,,,,,
,,2012 - 2013,326,394,1.21,,,,,,,,,,,,
,,2013 - 2014,322,258,0.8,,,,,,,,,,,,
,,2014 - 2015,330,193,0.58,,,,,,,,,,,,
,,2015 - 2016,331,144,0.44,,,,,,,,,,,,
,,2016 - 2017,367,234,0.64,,,,,,,,,,,,
,,2017 - 2018,200,37,0.19,,,,,,,,,,,,
,,2018 - 2019,316,210,0.66,,,,,,,,,,,,
,,2019 - 2020,51,31,0.61,,,,,,,,,,,,
,,2020 - 2021,26,14,0.54,,,,,,,,,,,,
,,2021 - 2022,123,73,0.59,,,,,,,,,,,,
,,2022 - 2023,132,89,0.67,,,,,,,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,22,11,0.5,,,,,,,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,28,26,0.93,,,,,,,,,,,,
,24. Mungeli,2011 - 2012,280,207,0.74,,,,,,,,,,,,
,,2012 - 2013,265,280,1.06,,,,,,,,,,,,
,,2013 - 2014,268,178,0.66,,,,,,,,,,,,
,,2014 - 2015,238,119,0.5,,,,,,,,,,,,
,,2015 - 2016,346,176,0.51,,,,,,,,,,,,
,,2016 - 2017,175,131,0.75,,,,,,,,,,,,
,,2017 - 2018,164,263,1.6,,,,,,,,,,,,
,,2018 - 2019,27,19,0.7,,,,,,,,,,,,
,,2019 - 2020,34,23,0.68,,,,,,,,,,,,
,,2020 - 2021,30,17,0.57,,,,,,,,,,,,
,,2021 - 2022,71,45,0.63,,,,,,,,,,,,
,,2022 - 2023,64,47,0.73,,,,,,,,,,,,
,25. Narayanpur,2006 - 2007,21,,0,,,,,,,,,,,,
,,2007 - 2008,23,14,0.61,,,,,,,,,,,,
,,2008 - 2009,8,3,0.38,,,,,,,,,,,,
,,2009 - 2010,20,8,0.4,,,,,,,,,,,,
,,2010 - 2011,15,6,0.4,,,,,,,,,,,,
,,2011 - 2012,17,14,0.82,,,,,,,,,,,,
,,2012 - 2013,10,11,1.1,,,,,,,,,,,,
,,2013 - 2014,12,9,0.75,,,,,,,,,,,,
,,2014 - 2015,17,6,0.35,,,,,,,,,,,,
,,2015 - 2016,5,1,0.2,,,,,,,,,,,,
,,2016 - 2017,9,4,0.44,,,,,,,,,,,,
,,2017 - 2018,25,187,7.48,,,,,,,,,,,,
,,2018 - 2019,23,12,0.52,,,,,,,,,,,,
,,2019 - 2020,7,4,0.57,,,,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,,,,
,26. Raigarh,2000 - 2001,512,122,0.24,,,,,,,,,,,,
,,2001 - 2002,478,252,0.53,,,,,,,,,,,,
,,2002 - 2003,530,461,0.87,,,,,,,,,,,,
,,2003 - 2004,498,324,0.65,,,,,,,,,,,,
,,2004 - 2005,516,271,0.53,,,,,,,,,,,,
,,2005 - 2006,553,149,0.27,,,,,,,,,,,,
,,2006 - 2007,562,218,0.39,,,,,,,,,,,,
