State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,"4,000.00","2,83,300.00",70.83,,,,,,,,,
,,2007 - 2008,"4,600.00","2,92,900.00",63.67,,,,,,,,,
,,2008 - 2009,"4,300.00","3,01,100.00",70.02,,,,,,,,,
,,2009 - 2010,"4,300.00","3,10,400.00",72.19,,,,,,,,,
,,2010 - 2011,"5,200.00","3,58,600.00",68.96,,,,,,,,,
,,2011 - 2012,"5,600.00","3,50,900.00",62.66,,,,,,,,,
,,2012 - 2013,"5,800.00","3,76,700.00",64.95,,,,,,,,,
,,2013 - 2014,"5,371.00","3,68,480.00",68.61,,,,,,,,,
,,2014 - 2015,"4,693.00","3,45,500.00",73.62,,,,,,,,,
,,2015 - 2016,"6,145.00","4,44,591.00",72.35,,,,,,,,,
,,2016 - 2017,"7,915.00","6,12,107.00",77.34,,,,,,,,,
,,2017 - 2018,"7,915.00","5,71,906.00",72.26,,,,,,,,,
,,2018 - 2019,"7,622.00","5,24,455.00",68.81,,,,,,,,,
,,2019 - 2020,"8,405.00","6,45,771.00",76.83,,,,,,,,,
,,2020 - 2021,"9,240.00","6,69,179.00",72.42,,,,,,,,,
,,2021 - 2022,"8,680.00","6,10,707.00",70.36,,,,,,,,,
,,2022 - 2023,"8,695.00","6,29,040.00",72.35,,,,,,,,,
,16. Navsari,2003 - 2004,200,"10,300.00",51.5,,,,,,,,,
,,2004 - 2005,200,"11,100.00",55.5,,,,,,,,,
,,2005 - 2006,200,"13,200.00",66,,,,,,,,,
,,2006 - 2007,200,"15,800.00",79,,,,,,,,,
,,2007 - 2008,200,"17,000.00",85,,,,,,,,,
,,2008 - 2009,300,"20,700.00",69,,,,,,,,,
,,2009 - 2010,300,"17,600.00",58.67,,,,,,,,,
,,2010 - 2011,100,"10,300.00",103,,,,,,,,,
,,2011 - 2012,300,"18,000.00",60,,,,,,,,,
,,2012 - 2013,200,"12,400.00",62,,,,,,,,,
,,2013 - 2014,108,"7,860.00",72.78,,,,,,,,,
,,2014 - 2015,85,"6,268.00",73.74,,,,,,,,,
,,2015 - 2016,116,"8,393.00",72.35,,,,,,,,,
,,2016 - 2017,69,"5,646.00",81.83,,,,,,,,,
,,2017 - 2018,48,"3,443.00",71.73,,,,,,,,,
,,2020 - 2021,867,"62,990.00",72.65,,,,,,,,,
,,2021 - 2022,90,"6,815.00",75.72,,,,,,,,,
,17. Panch mahals,2000 - 2001,100,"4,800.00",48,,,,,,,,,
,,2001 - 2002,100,"4,200.00",42,,,,,,,,,
,,2003 - 2004,300,"18,500.00",61.67,,,,,,,,,
,,2004 - 2005,200,"13,200.00",66,,,,,,,,,
,,2005 - 2006,200,"13,600.00",68,,,,,,,,,
,,2006 - 2007,100,"6,000.00",60,,,,,,,,,
,,2007 - 2008,100,"7,600.00",76,,,,,,,,,
,,2008 - 2009,100,"11,600.00",116,,,,,,,,,
,,2009 - 2010,100,"5,200.00",52,,,,,,,,,
,,2010 - 2011,100,"8,400.00",84,,,,,,,,,
,,2011 - 2012,100,"6,400.00",64,,,,,,,,,
,,2012 - 2013,100,"5,200.00",52,,,,,,,,,
,,2013 - 2014,62,"4,512.00",72.77,,,,,,,,,
,,2018 - 2019,130,"10,053.00",77.33,,,,,,,,,
,,2019 - 2020,203,"15,147.00",74.62,,,,,,,,,
,,2020 - 2021,1,73,73,,,,,,,,,
,18. Patan,2014 - 2015,140,"10,323.00",73.74,,,,,,,,,
,19. Rajkot,2017 - 2018,20,"1,435.00",71.75,,,,,,,,,
,20. Sabar kantha,2011 - 2012,100,"3,600.00",36,,,,,,,,,
,,2012 - 2013,100,"3,600.00",36,,,,,,,,,
,21. Surat,2000 - 2001,"2,200.00","99,700.00",45.32,,,,,,,,,
,,2001 - 2002,"2,900.00","1,87,600.00",64.69,,,,,,,,,
,,2003 - 2004,"2,900.00","2,14,100.00",73.83,,,,,,,,,
,,2004 - 2005,"3,200.00","1,95,000.00",60.94,,,,,,,,,
,,2005 - 2006,"2,200.00","1,59,300.00",72.41,,,,,,,,,
,,2006 - 2007,"2,300.00","1,83,400.00",79.74,,,,,,,,,
,,2007 - 2008,"3,600.00","2,39,800.00",66.61,,,,,,,,,
,,2008 - 2009,"2,900.00","2,24,800.00",77.52,,,,,,,,,
,,2009 - 2010,"2,900.00","2,11,600.00",72.97,,,,,,,,,
,,2010 - 2011,"3,000.00","1,97,200.00",65.73,,,,,,,,,
,,2011 - 2012,"1,700.00","1,10,100.00",64.76,,,,,,,,,
,,2012 - 2013,"1,000.00","79,300.00",79.3,,,,,,,,,
,,2013 - 2014,242,"16,742.00",69.18,,,,,,,,,
,,2014 - 2015,508,"9,634.00",18.96,,,,,,,,,
,,2015 - 2016,887,"64,175.00",72.35,,,,,,,,,
,,2016 - 2017,"1,762.00","1,44,190.00",81.83,,,,,,,,,
,,2017 - 2018,"2,048.00","1,46,911.00",71.73,,,,,,,,,
,,2018 - 2019,"2,187.00","1,69,125.00",77.33,,,,,,,,,
,,2019 - 2020,"2,241.00","1,67,842.00",74.9,,,,,,,,,
,,2020 - 2021,"2,609.00","1,89,553.00",72.65,,,,,,,,,
,,2021 - 2022,"2,595.00","1,84,987.00",71.29,,,,,,,,,
,,2022 - 2023,"2,307.00","1,83,116.00",79.37,,,,,,,,,
,22. Surendranagar,2016 - 2017,260,"21,277.00",81.83,,,,,,,,,
,23. Tapi,2008 - 2009,400,"36,000.00",90,,,,,,,,,
,,2009 - 2010,300,"25,900.00",86.33,,,,,,,,,
,,2010 - 2011,300,"20,000.00",66.67,,,,,,,,,
,,2011 - 2012,200,"11,700.00",58.5,,,,,,,,,
,,2012 - 2013,200,"14,000.00",70,,,,,,,,,
,,2014 - 2015,120,"8,848.00",73.73,,,,,,,,,
,,2020 - 2021,5,363,72.6,,,,,,,,,
,,2021 - 2022,12,909,75.75,,,,,,,,,
,24. Vadodara,2000 - 2001,"4,200.00","3,08,600.00",73.48,,,,,,,,,
,,2001 - 2002,"4,600.00","3,51,100.00",76.33,,,,,,,,,
,,2003 - 2004,"2,600.00","2,01,800.00",77.62,,,,,,,,,
,,2004 - 2005,"3,300.00","2,09,000.00",63.33,,,,,,,,,
,,2005 - 2006,"4,000.00","2,37,700.00",59.43,,,,,,,,,
,,2006 - 2007,"3,600.00","2,28,900.00",63.58,,,,,,,,,
,,2007 - 2008,"4,300.00","2,87,700.00",66.91,,,,,,,,,
,,2008 - 2009,"3,100.00","2,10,600.00",67.94,,,,,,,,,
,,2009 - 2010,"2,300.00","1,71,800.00",74.7,,,,,,,,,
,,2010 - 2011,"1,500.00","97,200.00",64.8,,,,,,,,,
,,2011 - 2012,"2,000.00","1,33,500.00",66.75,,,,,,,,,
,,2012 - 2013,"2,600.00","1,72,500.00",66.35,,,,,,,,,
,,2013 - 2014,"2,727.00","1,76,849.00",64.85,,,,,,,,,
,,2014 - 2015,875,"47,949.00",54.8,,,,,,,,,
,,2015 - 2016,"2,770.00","2,00,410.00",72.35,,,,,,,,,
,,2016 - 2017,"3,165.00","2,91,057.00",91.96,,,,,,,,,
,,2017 - 2018,865,"58,843.00",68.03,,,,,,,,,
,,2018 - 2019,"4,388.00","3,76,986.00",85.91,,,,,,,,,
,,2019 - 2020,"3,382.00","2,56,956.00",75.98,,,,,,,,,
,,2020 - 2021,"2,593.00","1,92,626.00",74.29,,,,,,,,,
,,2021 - 2022,"1,712.00","1,27,015.00",74.19,,,,,,,,,
,,2022 - 2023,395,"31,199.00",78.98,,,,,,,,,
,25. Valsad,2000 - 2001,200,"10,000.00",50,,,,,,,,,
,,2001 - 2002,400,"27,700.00",69.25,,,,,,,,,
,,2003 - 2004,200,"9,900.00",49.5,,,,,,,,,
,,2004 - 2005,100,"3,700.00",37,,,,,,,,,
,,2006 - 2007,200,"13,200.00",66,,,,,,,,,
,,2007 - 2008,200,"10,700.00",53.5,,,,,,,,,
,,2008 - 2009,100,"6,500.00",65,,,,,,,,,
,,2009 - 2010,100,"5,900.00",59,,,,,,,,,
,,2010 - 2011,100,"6,200.00",62,,,,,,,,,
,,2020 - 2021,201,"14,603.00",72.65,,,,,,,,,
,,2021 - 2022,204,"15,447.00",75.72,,,,,,,,,
9. Haryana,1. Faridabad,2002 - 2003,2,0,0,,,,,,,,,
,,2003 - 2004,5,0,0,,,,,,,,,
,2. Jhajjar,2002 - 2003,103,0,0,,,,,,,,,
,3. Kurukshetra,2002 - 2003,2,0,0,,,,,,,,,
,,2003 - 2004,2,0,0,,,,,,,,,
,4. Panipat,2003 - 2004,2,0,0,,,,,,,,,
,5. Sonipat,2002 - 2003,47,0,0,,,,,,,,,
,,2003 - 2004,43,0,0,,,,,,,,,
10. Karnataka,1. Bagalkot,2000 - 2001,872,"14,647.00",16.8,,,,,,,,,
,,2002 - 2003,466,"7,118.00",15.27,,,,,,,,,
,,2003 - 2004,434,"7,423.00",17.1,,,,,,,,,
,,2004 - 2005,191,"7,032.00",36.82,,,,,,,,,
,,2005 - 2006,84,"2,477.00",29.49,,,,,,,,,
,,2006 - 2007,572,"11,420.00",19.97,,,,,,,,,
,,2007 - 2008,862,"13,986.00",16.23,,,,,,,,,
,,2008 - 2009,"1,424.00","32,850.00",23.07,,,,,,,,,
,,2009 - 2010,"1,575.00","17,048.00",10.82,,,,,,,,,
,,2010 - 2011,"1,518.00","16,956.00",11.17,,,,,,,,,
,,2011 - 2012,"1,135.00","14,772.00",13.01,,,,,,,,,
,2. Bangalore rural,2000 - 2001,"2,320.00","31,503.00",13.58,,,,,,,,,
,,2002 - 2003,"2,046.00","25,082.00",12.26,,,,,,,,,
,,2003 - 2004,"1,910.00","21,873.00",11.45,,,,,,,,,
,,2004 - 2005,"3,128.00","53,351.00",17.06,,,,,,,,,
,,2005 - 2006,"3,407.00","48,182.00",14.14,,,,,,,,,
,,2006 - 2007,"3,317.00","2,64,763.00",79.82,,,,,,,,,
,,2007 - 2008,"1,173.00","34,141.00",29.11,,,,,,,,,
,,2008 - 2009,"1,054.00","26,183.00",24.84,,,,,,,,,
,,2009 - 2010,"1,172.00","39,752.00",33.92,,,,,,,,,
,,2010 - 2011,"1,288.00","46,157.00",35.84,,,,,,,,,
,,2011 - 2012,875,"31,914.00",36.47,,,,,,,,,
,3. Belgaum,2000 - 2001,"1,466.00","30,141.00",20.56,,,,,,,,,
,,2002 - 2003,"1,198.00","17,373.00",14.5,,,,,,,,,
,,2003 - 2004,662,"14,299.00",21.6,,,,,,,,,
,,2004 - 2005,828,"19,154.00",23.13,,,,,,,,,
,,2005 - 2006,"1,382.00","49,684.00",35.95,,,,,,,,,
,,2006 - 2007,"1,050.00","47,233.00",44.98,,,,,,,,,
,,2007 - 2008,"1,863.00","89,815.00",48.21,,,,,,,,,
,,2008 - 2009,"1,950.00","76,538.00",39.25,,,,,,,,,
,,2009 - 2010,"2,285.00","97,158.00",42.52,,,,,,,,,
,,2010 - 2011,"2,404.00","1,05,423.00",43.85,,,,,,,,,
,,2011 - 2012,"2,156.00","1,03,046.00",47.79,,,,,,,,,
,4. Bellary,2000 - 2001,"1,780.00","33,816.00",19,,,,,,,,,
,,2002 - 2003,"2,087.00","51,609.00",24.73,,,,,,,,,
,,2003 - 2004,"2,483.00","47,400.00",19.09,,,,,,,,,
,,2004 - 2005,"3,255.00","89,106.00",27.38,,,,,,,,,
,,2005 - 2006,14,607,43.36,,,,,,,,,
,,2006 - 2007,"2,295.00","25,435.00",11.08,,,,,,,,,
,,2007 - 2008,"1,189.00","21,821.00",18.35,,,,,,,,,
,,2008 - 2009,"1,539.00","49,871.00",32.4,,,,,,,,,
,,2009 - 2010,"1,532.00","56,569.00",36.92,,,,,,,,,
,,2010 - 2011,"1,624.00","62,633.00",38.57,,,,,,,,,
,,2011 - 2012,"1,649.00","67,189.00",40.75,,,,,,,,,
,5. Bengaluru urban,2000 - 2001,"1,359.00","24,982.00",18.38,,,,,,,,,
,,2002 - 2003,345,"7,631.00",22.12,,,,,,,,,
,,2003 - 2004,314,"6,121.00",19.49,,,,,,,,,
,,2004 - 2005,530,"23,206.00",43.78,,,,,,,,,
,,2005 - 2006,490,"5,733.00",11.7,,,,,,,,,
,,2006 - 2007,532,"2,808.00",5.28,,,,,,,,,
,,2007 - 2008,415,"15,375.00",37.05,,,,,,,,,
,,2008 - 2009,372,"16,495.00",44.34,,,,,,,,,
,,2009 - 2010,408,"13,127.00",32.17,,,,,,,,,
,,2010 - 2011,255,"8,548.00",33.52,,,,,,,,,
,,2011 - 2012,281,"7,021.00",24.99,,,,,,,,,
,6. Bidar,2000 - 2001,469,"8,622.00",18.38,,,,,,,,,
,,2002 - 2003,249,"2,846.00",11.43,,,,,,,,,
,,2003 - 2004,189,"3,500.00",18.52,,,,,,,,,
,,2004 - 2005,63,"2,573.00",40.84,,,,,,,,,
,,2005 - 2006,207,"2,458.00",11.87,,,,,,,,,
,,2006 - 2007,195,"3,893.00",19.96,,,,,,,,,
,,2007 - 2008,114,"2,016.00",17.68,,,,,,,,,
,,2008 - 2009,147,"5,647.00",38.41,,,,,,,,,
,,2009 - 2010,174,"3,859.00",22.18,,,,,,,,,
,,2010 - 2011,219,"5,144.00",23.49,,,,,,,,,
,,2011 - 2012,92,"2,299.00",24.99,,,,,,,,,
,7. Bijapur,2000 - 2001,"1,542.00","29,889.00",19.38,,,,,,,,,
,,2002 - 2003,"1,512.00","28,318.00",18.73,,,,,,,,,
,,2003 - 2004,"1,868.00","30,768.00",16.47,,,,,,,,,
,,2004 - 2005,520,"10,514.00",20.22,,,,,,,,,
,,2005 - 2006,582,"6,559.00",11.27,,,,,,,,,
,,2006 - 2007,"1,406.00","38,697.00",27.52,,,,,,,,,
,,2007 - 2008,"1,696.00","38,201.00",22.52,,,,,,,,,
,,2008 - 2009,"1,684.00","41,037.00",24.37,,,,,,,,,
,,2009 - 2010,"1,932.00","64,878.00",33.58,,,,,,,,,
,,2010 - 2011,"1,933.00","64,912.00",33.58,,,,,,,,,
,,2011 - 2012,"1,855.00","64,548.00",34.8,,,,,,,,,
,8. Chamarajanagar,2000 - 2001,"1,132.00","24,597.00",21.73,,,,,,,,,
,,2002 - 2003,"1,878.00","38,490.00",20.5,,,,,,,,,
,,2003 - 2004,"3,110.00","37,818.00",12.16,,,,,,,,,
,,2004 - 2005,"1,801.00","26,037.00",14.46,,,,,,,,,
,,2005 - 2006,"3,044.00","45,599.00",14.98,,,,,,,,,
,,2006 - 2007,"2,395.00","27,514.00",11.49,,,,,,,,,
,,2007 - 2008,"7,087.00","1,25,334.00",17.69,,,,,,,,,
,,2008 - 2009,"8,367.00","1,97,277.00",23.58,,,,,,,,,
,,2009 - 2010,"7,976.00","2,67,108.00",33.49,,,,,,,,,
,,2010 - 2011,"8,305.00","2,98,831.00",35.98,,,,,,,,,
,,2011 - 2012,"10,261.00","3,73,090.00",36.36,,,,,,,,,
,9. Chikballapur,2007 - 2008,590,"7,490.00",12.69,,,,,,,,,
,,2008 - 2009,"2,321.00","42,377.00",18.26,,,,,,,,,
,,2009 - 2010,"2,273.00","41,284.00",18.16,,,,,,,,,
,,2010 - 2011,"2,413.00","50,586.00",20.96,,,,,,,,,
,,2011 - 2012,"3,297.00","76,734.00",23.27,,,,,,,,,
,10. Chikmagalur,2000 - 2001,"1,239.00","23,136.00",18.67,,,,,,,,,
,,2002 - 2003,"2,241.00","25,337.00",11.31,,,,,,,,,
,,2003 - 2004,"1,320.00","5,951.00",4.51,,,,,,,,,
,,2004 - 2005,"1,612.00","4,465.00",2.77,,,,,,,,,
,,2005 - 2006,"1,609.00","7,797.00",4.85,,,,,,,,,
,,2006 - 2007,"1,313.00","6,373.00",4.85,,,,,,,,,
,,2007 - 2008,"1,896.00","3,109.00",1.64,,,,,,,,,
,,2008 - 2009,"2,085.00","9,216.00",4.42,,,,,,,,,
,,2009 - 2010,"2,228.00","16,262.00",7.3,,,,,,,,,
,,2010 - 2011,"2,195.00","17,780.00",8.1,,,,,,,,,
,,2011 - 2012,"2,354.00","19,180.00",8.15,,,,,,,,,
,11. Chitradurga,2000 - 2001,824,"9,305.00",11.29,,,,,,,,,
,,2002 - 2003,"3,199.00","49,719.00",15.54,,,,,,,,,
,,2003 - 2004,972,"35,307.00",36.32,,,,,,,,,
,,2004 - 2005,"1,171.00","11,100.00",9.48,,,,,,,,,
,,2005 - 2006,724,"10,489.00",14.49,,,,,,,,,
,,2006 - 2007,"1,329.00","14,090.00",10.6,,,,,,,,,
,,2007 - 2008,"1,501.00","17,539.00",11.68,,,,,,,,,
,,2008 - 2009,"1,874.00","14,585.00",7.78,,,,,,,,,
,,2009 - 2010,"2,228.00","18,515.00",8.31,,,,,,,,,
,,2010 - 2011,"2,248.00","27,118.00",12.06,,,,,,,,,
,,2011 - 2012,"2,144.00","28,245.00",13.17,,,,,,,,,
,12. Dakshin kannad,2000 - 2001,"2,911.00","64,912.00",22.3,,,,,,,,,
,,2002 - 2003,"3,495.00","71,931.00",20.58,,,,,,,,,
,,2003 - 2004,"4,494.00","38,783.00",8.63,,,,,,,,,
,,2004 - 2005,"5,220.00","64,952.00",12.44,,,,,,,,,
,,2005 - 2006,"8,032.00","15,301.00",1.91,,,,,,,,,
,,2006 - 2007,"3,089.00","10,444.00",3.38,,,,,,,,,
,,2007 - 2008,"3,132.00","3,154.00",1.01,,,,,,,,,
,,2008 - 2009,"3,128.00","3,804.00",1.22,,,,,,,,,
,,2009 - 2010,"3,135.00","7,888.00",2.52,,,,,,,,,
,,2010 - 2011,"3,146.00","8,186.00",2.6,,,,,,,,,
,,2011 - 2012,"3,173.00","9,268.00",2.92,,,,,,,,,
,13. Davangere,2000 - 2001,"1,150.00","21,140.00",18.38,,,,,,,,,
,,2002 - 2003,"1,355.00","21,367.00",15.77,,,,,,,,,
,,2003 - 2004,222,"5,529.00",24.91,,,,,,,,,
,,2004 - 2005,477,"5,457.00",11.44,,,,,,,,,
,,2005 - 2006,659,"10,332.00",15.68,,,,,,,,,
,,2006 - 2007,983,"27,379.00",27.85,,,,,,,,,
,,2007 - 2008,"1,452.00","20,560.00",14.16,,,,,,,,,
,,2008 - 2009,"1,796.00","21,678.00",12.07,,,,,,,,,
,,2009 - 2010,"2,145.00","30,663.00",14.3,,,,,,,,,
,,2010 - 2011,"2,406.00","42,812.00",17.79,,,,,,,,,
,,2011 - 2012,"2,961.00","58,225.00",19.66,,,,,,,,,
,14. Dharwad,2000 - 2001,105,"1,930.00",18.38,,,,,,,,,
,,2002 - 2003,113,"1,935.00",17.12,,,,,,,,,
,,2003 - 2004,129,"1,675.00",12.98,,,,,,,,,
,,2004 - 2005,160,"2,008.00",12.55,,,,,,,,,
,,2005 - 2006,253,"3,004.00",11.87,,,,,,,,,
,,2006 - 2007,239,"4,772.00",19.97,,,,,,,,,
,,2007 - 2008,276,"4,881.00",17.68,,,,,,,,,
,,2008 - 2009,326,"12,462.00",38.23,,,,,,,,,
,,2009 - 2010,371,"8,228.00",22.18,,,,,,,,,
,,2010 - 2011,393,"9,230.00",23.49,,,,,,,,,
,,2011 - 2012,254,"6,347.00",24.99,,,,,,,,,
,15. Gadag,2000 - 2001,45,827,18.38,,,,,,,,,
,,2002 - 2003,183,"3,133.00",17.12,,,,,,,,,
,,2003 - 2004,269,"3,494.00",12.99,,,,,,,,,
,,2004 - 2005,254,"3,188.00",12.55,,,,,,,,,
,,2005 - 2006,99,"1,176.00",11.88,,,,,,,,,
,,2006 - 2007,93,"1,857.00",19.97,,,,,,,,,
,,2007 - 2008,163,"2,883.00",17.69,,,,,,,,,
,,2008 - 2009,211,"3,666.00",17.37,,,,,,,,,
,,2009 - 2010,206,"4,569.00",22.18,,,,,,,,,
,,2010 - 2011,247,"5,801.00",23.49,,,,,,,,,
,,2011 - 2012,456,"11,394.00",24.99,,,,,,,,,
,16. Gulbarga,2000 - 2001,"2,725.00","54,176.00",19.88,,,,,,,,,
,,2002 - 2003,"2,126.00","50,652.00",23.83,,,,,,,,,
,,2003 - 2004,948,"10,061.00",10.61,,,,,,,,,
,,2004 - 2005,908,"17,701.00",19.49,,,,,,,,,
,,2005 - 2006,862,"20,523.00",23.81,,,,,,,,,
,,2006 - 2007,"1,131.00","25,622.00",22.65,,,,,,,,,
,,2007 - 2008,"1,114.00","22,293.00",20.01,,,,,,,,,
,,2008 - 2009,"1,146.00","19,734.00",17.22,,,,,,,,,
,,2009 - 2010,"1,886.00","44,740.00",23.72,,,,,,,,,
,,2010 - 2011,"2,326.00","60,127.00",25.85,,,,,,,,,
,,2011 - 2012,"2,539.00","68,891.00",27.13,,,,,,,,,
,17. Hassan,2000 - 2001,"2,012.00","35,055.00",17.42,,,,,,,,,
,,2002 - 2003,"2,444.00","41,169.00",16.84,,,,,,,,,
,,2003 - 2004,"1,469.00","8,367.00",5.7,,,,,,,,,
,,2004 - 2005,"2,728.00","14,649.00",5.37,,,,,,,,,
,,2005 - 2006,"3,211.00","55,509.00",17.29,,,,,,,,,
,,2006 - 2007,"3,135.00","65,954.00",21.04,,,,,,,,,
,,2007 - 2008,"3,313.00","52,143.00",15.74,,,,,,,,,
,,2008 - 2009,"3,403.00","42,211.00",12.4,,,,,,,,,
,,2009 - 2010,"3,630.00","49,295.00",13.58,,,,,,,,,
,,2010 - 2011,"3,630.00","56,555.00",15.58,,,,,,,,,
,,2011 - 2012,"4,160.00","72,039.00",17.32,,,,,,,,,
,18. Haveri,2000 - 2001,571,"10,497.00",18.38,,,,,,,,,
,,2002 - 2003,"1,501.00","38,304.00",25.52,,,,,,,,,
,,2003 - 2004,862,"35,231.00",40.87,,,,,,,,,
,,2004 - 2005,942,"36,550.00",38.8,,,,,,,,,
,,2005 - 2006,"1,199.00","41,846.00",34.9,,,,,,,,,
,,2006 - 2007,"1,201.00","38,731.00",32.25,,,,,,,,,
,,2007 - 2008,"1,246.00","73,996.00",59.39,,,,,,,,,
,,2008 - 2009,"1,016.00","39,199.00",38.58,,,,,,,,,
,,2009 - 2010,"1,089.00","28,219.00",25.91,,,,,,,,,
,,2010 - 2011,"1,516.00","42,166.00",27.81,,,,,,,,,
,,2011 - 2012,"1,413.00","40,820.00",28.89,,,,,,,,,
,19. Kodagu,2000 - 2001,195,"3,585.00",18.38,,,,,,,,,
,,2002 - 2003,613,"8,188.00",13.36,,,,,,,,,
,,2003 - 2004,164,510,3.11,,,,,,,,,
,,2004 - 2005,547,"9,767.00",17.86,,,,,,,,,
,,2005 - 2006,563,"7,440.00",13.21,,,,,,,,,
,,2006 - 2007,499,"2,376.00",4.76,,,,,,,,,
,,2007 - 2008,"1,564.00","8,940.00",5.72,,,,,,,,,
,,2008 - 2009,"1,541.00","9,973.00",6.47,,,,,,,,,
,,2009 - 2010,"1,392.00","4,325.00",3.11,,,,,,,,,
,,2010 - 2011,"1,976.00","10,145.00",5.13,,,,,,,,,
,,2011 - 2012,"1,941.00","13,760.00",7.09,,,,,,,,,
,20. Kolar,2000 - 2001,481,"8,842.00",18.38,,,,,,,,,
,,2002 - 2003,"1,096.00","14,701.00",13.41,,,,,,,,,
,,2003 - 2004,"1,366.00","42,123.00",30.84,,,,,,,,,
,,2004 - 2005,"1,101.00","7,498.00",6.81,,,,,,,,,
,,2005 - 2006,"1,382.00","23,168.00",16.76,,,,,,,,,
,,2006 - 2007,"2,068.00","63,037.00",30.48,,,,,,,,,
,,2007 - 2008,568,"5,824.00",10.25,,,,,,,,,
,,2008 - 2009,518,"16,886.00",32.6,,,,,,,,,
,,2009 - 2010,568,"8,145.00",14.34,,,,,,,,,
,,2010 - 2011,823,"10,525.00",12.79,,,,,,,,,
,,2011 - 2012,750,"10,234.00",13.65,,,,,,,,,
,21. Koppal,2000 - 2001,650,"11,949.00",18.38,,,,,,,,,
,,2002 - 2003,497,"8,510.00",17.12,,,,,,,,,
,,2003 - 2004,363,271,0.75,,,,,,,,,
,,2004 - 2005,"3,657.00","12,445.00",3.4,,,,,,,,,
,,2005 - 2006,376,"4,119.00",10.95,,,,,,,,,
,,2006 - 2007,368,"15,238.00",41.41,,,,,,,,,
,,2007 - 2008,870,"37,339.00",42.92,,,,,,,,,
,,2008 - 2009,"1,281.00","23,577.00",18.41,,,,,,,,,
,,2009 - 2010,"1,183.00","50,410.00",42.61,,,,,,,,,
,,2010 - 2011,"1,279.00","75,163.00",58.77,,,,,,,,,
,,2011 - 2012,"1,425.00","97,498.00",68.42,,,,,,,,,
,22. Mandya,2000 - 2001,"1,556.00","30,034.00",19.3,,,,,,,,,
,,2002 - 2003,"1,463.00","23,642.00",16.16,,,,,,,,,
,,2003 - 2004,752,"9,569.00",12.72,,,,,,,,,
,,2004 - 2005,"1,272.00","15,496.00",12.18,,,,,,,,,
,,2005 - 2006,"2,617.00","52,714.00",20.14,,,,,,,,,
,,2006 - 2007,"2,650.00","53,254.00",20.1,,,,,,,,,
,,2007 - 2008,"1,833.00","58,409.00",31.87,,,,,,,,,
,,2008 - 2009,"1,606.00","24,016.00",14.95,,,,,,,,,
,,2009 - 2010,"1,889.00","47,095.00",24.93,,,,,,,,,
,,2010 - 2011,"1,779.00","51,345.00",28.86,,,,,,,,,
,,2011 - 2012,"2,107.00","62,005.00",29.43,,,,,,,,,
,23. Mysore,2000 - 2001,"1,409.00","30,423.00",21.59,,,,,,,,,
,,2002 - 2003,"1,579.00","32,041.00",20.29,,,,,,,,,
,,2003 - 2004,"2,085.00","27,931.00",13.4,,,,,,,,,
,,2004 - 2005,"1,570.00","34,482.00",21.96,,,,,,,,,
,,2005 - 2006,"2,337.00","44,669.00",19.11,,,,,,,,,
,,2006 - 2007,"2,027.00","44,570.00",21.99,,,,,,,,,
,,2007 - 2008,"2,863.00","67,366.00",23.53,,,,,,,,,
,,2008 - 2009,"3,706.00","60,286.00",16.27,,,,,,,,,
,,2009 - 2010,"4,454.00","1,31,054.00",29.42,,,,,,,,,
,,2010 - 2011,"5,468.00","1,42,523.00",26.06,,,,,,,,,
,,2011 - 2012,"5,610.00","1,54,656.00",27.57,,,,,,,,,
,24. Raichur,2000 - 2001,23,423,18.39,,,,,,,,,
,,2002 - 2003,36,616,17.11,,,,,,,,,
,,2003 - 2004,25,325,13,,,,,,,,,
,,2004 - 2005,22,276,12.55,,,,,,,,,
,,2005 - 2006,8,95,11.88,,,,,,,,,
,,2006 - 2007,8,160,20,,,,,,,,,
,,2007 - 2008,93,"1,645.00",17.69,,,,,,,,,
,,2008 - 2009,59,"1,025.00",17.37,,,,,,,,,
,,2009 - 2010,65,"1,442.00",22.18,,,,,,,,,
,,2010 - 2011,79,"1,855.00",23.48,,,,,,,,,
,,2011 - 2012,71,"1,774.00",24.99,,,,,,,,,
,25. Ramanagara,2007 - 2008,"2,920.00","72,962.00",24.99,,,,,,,,,
,,2008 - 2009,"3,655.00","1,36,649.00",37.39,,,,,,,,,
,,2009 - 2010,"3,376.00","1,00,865.00",29.88,,,,,,,,,
,,2010 - 2011,"2,127.00","64,046.00",30.11,,,,,,,,,
,,2011 - 2012,"2,163.00","71,083.00",32.86,,,,,,,,,
,26. Shimoga,2000 - 2001,"3,463.00","52,825.00",15.25,,,,,,,,,
,,2002 - 2003,"3,044.00","39,788.00",13.07,,,,,,,,,
,,2003 - 2004,602,"2,239.00",3.72,,,,,,,,,
,,2004 - 2005,"3,210.00","19,485.00",6.07,,,,,,,,,
,,2005 - 2006,"4,788.00","28,335.00",5.92,,,,,,,,,
,,2006 - 2007,"4,193.00","26,416.00",6.3,,,,,,,,,
,,2007 - 2008,"5,305.00","65,618.00",12.37,,,,,,,,,
