State,District,Year,Sannhamp,,,,,,,,,,,
,,2016 - 2017,,,,17,34,2,,,,,,
,,2017 - 2018,,,,11,22,2,,,,,,
,,2018 - 2019,,,,5,10,2,,,,,,
,,2019 - 2020,,,,12,24,2,,,,,,
,,2020 - 2021,,,,7,14,2,,,,,,
,,2021 - 2022,,,,5,10,2,,,,,,
,,2022 - 2023,,,,5,10,2,,,,,,
,25. Sawai madhopur,2000 - 2001,27,8,0.3,,,,,,,,,
,,2001 - 2002,31,14,0.45,,,,,,,,,
,,2002 - 2003,14,2,0.14,,,,,,,,,
,,2003 - 2004,7,4,0.57,,,,,,,,,
,,2004 - 2005,27,14,0.52,,,,,,,,,
,,2005 - 2006,42,11,0.26,,,,,,,,,
,,2006 - 2007,43,11,0.26,,,,,,,,,
,,2007 - 2008,24,6,0.25,,,,,,,,,
,,2008 - 2009,153,39,0.25,,,,,,,,,
,,2009 - 2010,29,7,0.24,,,,,,,,,
,,2010 - 2011,80,20,0.25,,,,,,,,,
,,2011 - 2012,112,67,0.6,,,,,,,,,
,,2012 - 2013,106,64,0.6,,,,,,,,,
,,2013 - 2014,222,133,0.6,,,,,,,,,
,,2015 - 2016,,,,186,112,0.6,,,,,,
,,2016 - 2017,,,,215,129,0.6,,,,,,
,,2017 - 2018,,,,153,92,0.6,,,,,,
,,2018 - 2019,,,,11,7,0.64,,,,,,
,,2019 - 2020,,,,27,16,0.59,,,,,,
,,2020 - 2021,,,,15,9,0.6,,,,,,
,,2021 - 2022,,,,4,2,0.5,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,
,26. Sikar,2000 - 2001,8,1,0.13,,,,,,,,,
,,2001 - 2002,4,,0,,,,,,,,,
,,2002 - 2003,1,,0,,,,,,,,,
,,2003 - 2004,6,6,1,,,,,,,,,
,,2004 - 2005,5,1,0.2,,,,,,,,,
,,2005 - 2006,13,3,0.23,,,,,,,,,
,,2006 - 2007,14,5,0.36,,,,,,,,,
,,2007 - 2008,9,5,0.56,,,,,,,,,
,,2008 - 2009,5,3,0.6,,,,,,,,,
,,2009 - 2010,5,1,0.2,,,,,,,,,
,,2010 - 2011,2,,0,,,,,,,,,
,,2012 - 2013,2,2,1,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2015 - 2016,,,,2,,0,,,,,,
,27. Sirohi,2000 - 2001,7,8,1.14,,,,,,,,,
,,2001 - 2002,15,11,0.73,,,,,,,,,
,,2002 - 2003,6,,0,,,,,,,,,
,,2003 - 2004,5,20,4,,,,,,,,,
,,2004 - 2005,19,68,3.58,,,,,,,,,
,,2005 - 2006,7,28,4,,,,,,,,,
,,2006 - 2007,8,28,3.5,,,,,,,,,
,,2007 - 2008,6,2,0.33,,,,,,,,,
,,2008 - 2009,6,15,2.5,,,,,,,,,
,,2009 - 2010,30,65,2.17,,,,,,,,,
,,2010 - 2011,17,54,3.18,,,,,,,,,
,,2013 - 2014,4,,0,,,,,,,,,
,,2020 - 2021,,,,11,0,0,,,,,,
,,2021 - 2022,,,,2,0,0,,,,,,
,28. Tonk,2000 - 2001,8,1,0.13,,,,,,,,,
,,2001 - 2002,7,2,0.29,,,,,,,,,
,,2002 - 2003,14,,0,,,,,,,,,
,,2003 - 2004,18,4,0.22,,,,,,,,,
,,2004 - 2005,7,2,0.29,,,,,,,,,
,,2005 - 2006,5,5,1,,,,,,,,,
,,2006 - 2007,8,,0,,,,,,,,,
,,2007 - 2008,4,1,0.25,,,,,,,,,
,,2009 - 2010,12,,0,,,,,,,,,
,,2010 - 2011,6,2,0.33,,,,,,,,,
,29. Udaipur,2000 - 2001,455,156,0.34,,,,,,,,,
,,2001 - 2002,520,278,0.53,,,,,,,,,
,,2002 - 2003,408,77,0.19,,,,,,,,,
,,2003 - 2004,281,307,1.09,,,,,,,,,
,,2004 - 2005,299,158,0.53,,,,,,,,,
,,2005 - 2006,305,190,0.62,,,,,,,,,
,,2006 - 2007,182,182,1,,,,,,,,,
,,2007 - 2008,160,143,0.89,,,,,,,,,
,,2008 - 2009,145,118,0.81,,,,,,,,,
,,2009 - 2010,129,73,0.57,,,,,,,,,
,,2010 - 2011,60,56,0.93,,,,,,,,,
,,2011 - 2012,93,58,0.62,,,,,,,,,
,,2012 - 2013,25,18,0.72,,,,,,,,,
,,2013 - 2014,56,11,0.2,,,,,,,,,
,,2015 - 2016,,,,20,2,0.1,,,,,,
,,2016 - 2017,,,,64,33,0.52,,,,,,
,,2017 - 2018,,,,23,109,4.74,,,,,,
,,2018 - 2019,,,,55,93,1.69,,,,,,
,,2019 - 2020,,,,54,63,1.17,,,,,,
,,2020 - 2021,,,,29,58,2,,,,,,
,,2021 - 2022,,,,13,26,2,,,,,,
,,2022 - 2023,,,,44,69,1.57,,,,,,
12. Tamil Nadu,1. Coimbatore,2000 - 2001,5,4,0.8,,,,,,,,,
,2. Cuddalore,2000 - 2001,44,32,0.73,,,,,,,,,
,3. Dharmapuri,2000 - 2001,369,269,0.73,,,,,,,,,
,4. Dindigul,2000 - 2001,615,448,0.73,,,,,,,,,
,,2005 - 2006,,,,2,,0,,,,,,
,5. Erode,2000 - 2001,810,590,0.73,,,,,,,,,
,6. Kanchipuram,2000 - 2001,10,7,0.7,,,,,,,,,
,7. Karur,2000 - 2001,6,4,0.67,,,,,,,,,
,8. Namakkal,2000 - 2001,656,478,0.73,,,,,,,,,
,9. Pudukkottai,2000 - 2001,57,42,0.74,,,,,,,,,
,10. Salem,2000 - 2001,"1,847.00","1,346.00",0.73,,,,,,,,,
,,2005 - 2006,,,,1,,0,,,,,,
,11. Thanjavur,2000 - 2001,207,151,0.73,,,,,,,,,
,12. Thiruvallur,2000 - 2001,33,24,0.73,,,,,,,,,
,13. Thiruvarur,2005 - 2006,,,,1,,0,,,,,,
,14. Tiruchirappalli,2000 - 2001,130,95,0.73,,,,,,,,,
,15. Tirunelveli,2000 - 2001,3,2,0.67,,,,,,,,,
,16. Vellore,2005 - 2006,,,,6,,0,,,,,,
,17. Villupuram,2000 - 2001,"4,725.00","3,445.00",0.73,,,,,,,,,
,18. Virudhunagar,2000 - 2001,"1,021.00",744,0.73,,,,,,,,,
13. Uttar Pradesh,1. Agra,2002 - 2003,1,,0,,,,,,,,,
,,2004 - 2005,,,,32,9,0.28,,,,,,
,,2008 - 2009,,,,161,51,0.32,,,,,,
,,2009 - 2010,,,,108,20,0.19,,,,,,
,,2013 - 2014,,,,3,1,0.33,,,,,,
,,2014 - 2015,,,,10,4,0.4,,,,,,
,,2015 - 2016,,,,73,21,0.29,,,,,,
,,2016 - 2017,,,,6,1,0.17,,,,,,
,,2017 - 2018,,,,2,,0,,,,,,
,,2018 - 2019,,,,6,1,0.17,,,,,,
,,2019 - 2020,,,,3,1,0.33,,,,,,
,,2020 - 2021,,,,3,1,0.33,,,,,,
,,2021 - 2022,,,,5,3,0.6,,,,,,
,,2022 - 2023,,,,3,2,0.67,,,,,,
,2. Aligarh,2004 - 2005,,,,4,1,0.25,,,,,,
,,2006 - 2007,,,,4,1,0.25,,,,,,
,3. Allahabad,2003 - 2004,56,17,0.3,,,,,,,,,
,,2004 - 2005,,,,54,15,0.28,,,,,,
,,2005 - 2006,,,,72,25,0.35,,,,,,
,,2006 - 2007,,,,60,17,0.28,,,,,,
,,2007 - 2008,,,,44,9,0.2,,,,,,
,,2008 - 2009,,,,41,13,0.32,,,,,,
,,2009 - 2010,,,,36,6,0.17,,,,,,
,,2010 - 2011,,,,77,25,0.32,,,,,,
,,2011 - 2012,,,,42,12,0.29,,,,,,
,,2012 - 2013,,,,25,9,0.36,,,,,,
,,2013 - 2014,,,,32,9,0.28,,,,,,
,,2014 - 2015,,,,26,10,0.38,,,,,,
,,2015 - 2016,,,,29,8,0.28,,,,,,
,,2017 - 2018,,,,27,5,0.19,,,,,,
,,2018 - 2019,,,,20,4,0.2,,,,,,
,,2019 - 2020,,,,20,6,0.3,,,,,,
,,2020 - 2021,,,,25,7,0.28,,,,,,
,,2021 - 2022,,,,32,19,0.59,,,,,,
,,2022 - 2023,,,,25,15,0.6,,,,,,
,4. Amroha,2003 - 2004,6,2,0.33,,,,,,,,,
,5. Auraiya,2007 - 2008,,,,10,2,0.2,,,,,,
,,2008 - 2009,,,,5,2,0.4,,,,,,
,,2009 - 2010,,,,2,,0,,,,,,
,,2010 - 2011,,,,1,,0,,,,,,
,,2011 - 2012,,,,5,1,0.2,,,,,,
,6. Azamgarh,2002 - 2003,64,20,0.31,,,,,,,,,
,,2003 - 2004,85,26,0.31,,,,,,,,,
,,2004 - 2005,,,,62,17,0.27,,,,,,
,,2005 - 2006,,,,97,33,0.34,,,,,,
,,2006 - 2007,,,,83,23,0.28,,,,,,
,,2007 - 2008,,,,37,7,0.19,,,,,,
,,2008 - 2009,,,,41,13,0.32,,,,,,
,,2009 - 2010,,,,14,3,0.21,,,,,,
,,2010 - 2011,,,,43,14,0.33,,,,,,
,,2011 - 2012,,,,39,11,0.28,,,,,,
,,2012 - 2013,,,,36,13,0.36,,,,,,
,,2013 - 2014,,,,43,12,0.28,,,,,,
,,2014 - 2015,,,,26,10,0.38,,,,,,
,,2015 - 2016,,,,30,9,0.3,,,,,,
,,2016 - 2017,,,,58,14,0.24,,,,,,
,,2017 - 2018,,,,33,6,0.18,,,,,,
,,2018 - 2019,,,,57,11,0.19,,,,,,
,,2019 - 2020,,,,34,10,0.29,,,,,,
,,2020 - 2021,,,,42,11,0.26,,,,,,
,,2021 - 2022,,,,40,23,0.58,,,,,,
,,2022 - 2023,,,,41,24,0.59,,,,,,
,7. Baghpat,2002 - 2003,42,13,0.31,,,,,,,,,
,8. Bahraich,2002 - 2003,7,2,0.29,,,,,,,,,
,,2006 - 2007,,,,3,1,0.33,,,,,,
,,2007 - 2008,,,,10,2,0.2,,,,,,
,,2008 - 2009,,,,17,5,0.29,,,,,,
,,2009 - 2010,,,,13,2,0.15,,,,,,
,,2010 - 2011,,,,2,1,0.5,,,,,,
,,2011 - 2012,,,,1,,0,,,,,,
,,2014 - 2015,,,,6,2,0.33,,,,,,
,9. Banda,2002 - 2003,531,167,0.31,,,,,,,,,
,,2003 - 2004,615,185,0.3,,,,,,,,,
,,2004 - 2005,,,,468,130,0.28,,,,,,
,,2005 - 2006,,,,543,188,0.35,,,,,,
,,2006 - 2007,,,,409,114,0.28,,,,,,
,,2007 - 2008,,,,403,78,0.19,,,,,,
,,2008 - 2009,,,,346,111,0.32,,,,,,
,,2009 - 2010,,,,286,53,0.19,,,,,,
,,2010 - 2011,,,,423,138,0.33,,,,,,
,,2011 - 2012,,,,279,77,0.28,,,,,,
,,2012 - 2013,,,,277,102,0.37,,,,,,
,,2013 - 2014,,,,172,49,0.28,,,,,,
,,2014 - 2015,,,,177,68,0.38,,,,,,
,,2015 - 2016,,,,139,40,0.29,,,,,,
,,2016 - 2017,,,,278,65,0.23,,,,,,
,,2017 - 2018,,,,230,44,0.19,,,,,,
,,2018 - 2019,,,,196,38,0.19,,,,,,
,,2019 - 2020,,,,187,53,0.28,,,,,,
,,2020 - 2021,,,,255,70,0.27,,,,,,
,,2021 - 2022,,,,124,73,0.59,,,,,,
,,2022 - 2023,,,,267,156,0.58,,,,,,
,10. Barabanki,2002 - 2003,3,1,0.33,,,,,,,,,
,,2003 - 2004,4,1,0.25,,,,,,,,,
,11. Bareilly,2003 - 2004,1,,0,,,,,,,,,
,,2004 - 2005,,,,1,,0,,,,,,
,,2005 - 2006,,,,2,1,0.5,,,,,,
,,2007 - 2008,,,,4,1,0.25,,,,,,
,,2009 - 2010,,,,9,2,0.22,,,,,,
,12. Bijnor,2002 - 2003,2,1,0.5,,,,,,,,,
,,2003 - 2004,2,,0,,,,,,,,,
,,2004 - 2005,,,,4,1,0.25,,,,,,
,,2005 - 2006,,,,2,1,0.5,,,,,,
,,2008 - 2009,,,,1,1,1,,,,,,
,13. Budaun,2003 - 2004,1,,0,,,,,,,,,
,,2004 - 2005,,,,2,1,0.5,,,,,,
,,2006 - 2007,,,,3,1,0.33,,,,,,
,,2007 - 2008,,,,4,1,0.25,,,,,,
,,2010 - 2011,,,,2,1,0.5,,,,,,
,,2012 - 2013,,,,6,2,0.33,,,,,,
,,2014 - 2015,,,,1,1,1,,,,,,
,14. Bulandshahr,2002 - 2003,2,1,0.5,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2008 - 2009,,,,9,3,0.33,,,,,,
,,2013 - 2014,,,,8,2,0.25,,,,,,
,,2016 - 2017,,,,2,1,0.5,,,,,,
,,2017 - 2018,,,,8,2,0.25,,,,,,
,,2018 - 2019,,,,4,1,0.25,,,,,,
,,2019 - 2020,,,,5,1,0.2,,,,,,
,,2020 - 2021,,,,1,0,0,,,,,,
,,2021 - 2022,,,,4,2,0.5,,,,,,
,,2022 - 2023,,,,5,3,0.6,,,,,,
,15. Chandauli,2002 - 2003,20,6,0.3,,,,,,,,,
,,2003 - 2004,12,4,0.33,,,,,,,,,
,,2004 - 2005,,,,11,3,0.27,,,,,,
,,2005 - 2006,,,,12,4,0.33,,,,,,
,,2007 - 2008,,,,12,2,0.17,,,,,,
,,2009 - 2010,,,,15,3,0.2,,,,,,
,,2011 - 2012,,,,16,4,0.25,,,,,,
,,2012 - 2013,,,,3,1,0.33,,,,,,
,,2013 - 2014,,,,3,1,0.33,,,,,,
,,2016 - 2017,,,,3,1,0.33,,,,,,
,,2017 - 2018,,,,3,1,0.33,,,,,,
,,2018 - 2019,,,,3,,0,,,,,,
,,2019 - 2020,,,,3,1,0.33,,,,,,
,,2020 - 2021,,,,2,1,0.5,,,,,,
,,2022 - 2023,,,,3,2,0.67,,,,,,
,16. Chitrakoot,2002 - 2003,100,31,0.31,,,,,,,,,
,,2003 - 2004,148,45,0.3,,,,,,,,,
,,2004 - 2005,,,,105,29,0.28,,,,,,
,,2005 - 2006,,,,151,52,0.34,,,,,,
,,2006 - 2007,,,,98,27,0.28,,,,,,
,,2007 - 2008,,,,141,27,0.19,,,,,,
,,2008 - 2009,,,,115,36,0.31,,,,,,
,,2009 - 2010,,,,27,5,0.19,,,,,,
,,2010 - 2011,,,,103,34,0.33,,,,,,
,,2011 - 2012,,,,80,22,0.28,,,,,,
,,2012 - 2013,,,,84,31,0.37,,,,,,
,,2013 - 2014,,,,49,14,0.29,,,,,,
,,2014 - 2015,,,,25,10,0.4,,,,,,
,,2015 - 2016,,,,108,31,0.29,,,,,,
,,2016 - 2017,,,,11,2,0.18,,,,,,
,,2017 - 2018,,,,54,10,0.19,,,,,,
,,2018 - 2019,,,,54,10,0.19,,,,,,
,,2019 - 2020,,,,54,15,0.28,,,,,,
,,2021 - 2022,,,,77,45,0.58,,,,,,
,,2022 - 2023,,,,54,32,0.59,,,,,,
,17. Deoria,2002 - 2003,1,,0,,,,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,,,,
,18. Etah,2002 - 2003,24,8,0.33,,,,,,,,,
,,2003 - 2004,20,6,0.3,,,,,,,,,
,,2004 - 2005,,,,6,2,0.33,,,,,,
,,2005 - 2006,,,,18,6,0.33,,,,,,
,,2006 - 2007,,,,5,2,0.4,,,,,,
,,2007 - 2008,,,,21,4,0.19,,,,,,
,,2008 - 2009,,,,1,1,1,,,,,,
,,2009 - 2010,,,,1,,0,,,,,,
,,2010 - 2011,,,,2,1,0.5,,,,,,
,,2011 - 2012,,,,16,4,0.25,,,,,,
,,2012 - 2013,,,,16,6,0.38,,,,,,
,,2013 - 2014,,,,13,4,0.31,,,,,,
,,2015 - 2016,,,,1,,0,,,,,,
,,2016 - 2017,,,,27,6,0.22,,,,,,
,,2017 - 2018,,,,25,5,0.2,,,,,,
,,2018 - 2019,,,,20,4,0.2,,,,,,
,,2019 - 2020,,,,12,3,0.25,,,,,,
,,2020 - 2021,,,,29,8,0.28,,,,,,
,,2021 - 2022,,,,32,19,0.59,,,,,,
,,2022 - 2023,,,,17,10,0.59,,,,,,
,19. Etawah,2002 - 2003,2,1,0.5,,,,,,,,,
,,2004 - 2005,,,,3,1,0.33,,,,,,
,,2007 - 2008,,,,3,1,0.33,,,,,,
,,2009 - 2010,,,,4,1,0.25,,,,,,
,,2010 - 2011,,,,1,,0,,,,,,
,,2012 - 2013,,,,1,,0,,,,,,
,20. Farrukhabad,2002 - 2003,10,3,0.3,,,,,,,,,
,,2003 - 2004,4,1,0.25,,,,,,,,,
,,2004 - 2005,,,,13,4,0.31,,,,,,
,,2005 - 2006,,,,5,2,0.4,,,,,,
,,2006 - 2007,,,,15,4,0.27,,,,,,
,,2007 - 2008,,,,2,,0,,,,,,
,,2009 - 2010,,,,1,,0,,,,,,
,,2011 - 2012,,,,3,1,0.33,,,,,,
,,2013 - 2014,,,,3,1,0.33,,,,,,
,,2014 - 2015,,,,2,1,0.5,,,,,,
,,2015 - 2016,,,,6,2,0.33,,,,,,
,,2016 - 2017,,,,11,2,0.18,,,,,,
,,2017 - 2018,,,,4,1,0.25,,,,,,
,,2018 - 2019,,,,4,1,0.25,,,,,,
,,2019 - 2020,,,,4,1,0.25,,,,,,
,,2021 - 2022,,,,4,2,0.5,,,,,,
,,2022 - 2023,,,,4,2,0.5,,,,,,
,21. Fatehpur,2002 - 2003,189,59,0.31,,,,,,,,,
,,2003 - 2004,149,45,0.3,,,,,,,,,
,,2004 - 2005,,,,120,33,0.28,,,,,,
,,2005 - 2006,,,,206,71,0.34,,,,,,
,,2006 - 2007,,,,113,31,0.27,,,,,,
,,2007 - 2008,,,,62,12,0.19,,,,,,
,,2008 - 2009,,,,42,13,0.31,,,,,,
,,2009 - 2010,,,,53,10,0.19,,,,,,
,,2010 - 2011,,,,15,5,0.33,,,,,,
,,2011 - 2012,,,,36,10,0.28,,,,,,
,,2012 - 2013,,,,22,8,0.36,,,,,,
,,2013 - 2014,,,,24,7,0.29,,,,,,
,,2014 - 2015,,,,25,10,0.4,,,,,,
,,2015 - 2016,,,,3,1,0.33,,,,,,
,,2016 - 2017,,,,24,6,0.25,,,,,,
,,2017 - 2018,,,,21,4,0.19,,,,,,
,,2019 - 2020,,,,22,6,0.27,,,,,,
,,2020 - 2021,,,,22,6,0.27,,,,,,
,,2022 - 2023,,,,22,13,0.59,,,,,,
,22. Firozabad,2002 - 2003,11,4,0.36,,,,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,,,,
,,2004 - 2005,,,,5,1,0.2,,,,,,
,,2005 - 2006,,,,7,2,0.29,,,,,,
,,2006 - 2007,,,,5,1,0.2,,,,,,
,,2007 - 2008,,,,1,,0,,,,,,
,,2008 - 2009,,,,4,1,0.25,,,,,,
,,2009 - 2010,,,,10,2,0.2,,,,,,
,23. Ghaziabad,2002 - 2003,2,1,0.5,,,,,,,,,
,24. Ghazipur,2002 - 2003,10,3,0.3,,,,,,,,,
,,2003 - 2004,12,4,0.33,,,,,,,,,
,,2004 - 2005,,,,5,1,0.2,,,,,,
,,2005 - 2006,,,,8,3,0.38,,,,,,
,,2006 - 2007,,,,6,2,0.33,,,,,,
,,2007 - 2008,,,,18,4,0.22,,,,,,
,,2008 - 2009,,,,4,1,0.25,,,,,,
,,2009 - 2010,,,,32,6,0.19,,,,,,
,,2010 - 2011,,,,5,2,0.4,,,,,,
,,2011 - 2012,,,,9,3,0.33,,,,,,
,,2012 - 2013,,,,21,8,0.38,,,,,,
,,2013 - 2014,,,,11,3,0.27,,,,,,
,,2014 - 2015,,,,4,1,0.25,,,,,,
,,2016 - 2017,,,,21,5,0.24,,,,,,
,,2017 - 2018,,,,6,1,0.17,,,,,,
,,2018 - 2019,,,,5,1,0.2,,,,,,
,,2019 - 2020,,,,5,1,0.2,,,,,,
,,2020 - 2021,,,,6,2,0.33,,,,,,
,,2022 - 2023,,,,6,4,0.67,,,,,,
,25. Gonda,2002 - 2003,1,,0,,,,,,,,,
,,2007 - 2008,,,,1,,0,,,,,,
,,2009 - 2010,,,,2,1,0.5,,,,,,
,26. Gorakhpur,2004 - 2005,,,,1,,0,,,,,,
,,2006 - 2007,,,,2,1,0.5,,,,,,
,27. Hamirpur,2002 - 2003,396,125,0.32,,,,,,,,,
,,2003 - 2004,553,166,0.3,,,,,,,,,
,,2004 - 2005,,,,453,125,0.28,,,,,,
,,2005 - 2006,,,,571,197,0.35,,,,,,
,,2006 - 2007,,,,604,168,0.28,,,,,,
,,2007 - 2008,,,,319,62,0.19,,,,,,
,,2008 - 2009,,,,186,60,0.32,,,,,,
,,2009 - 2010,,,,46,8,0.17,,,,,,
,,2010 - 2011,,,,335,109,0.33,,,,,,
,,2011 - 2012,,,,322,88,0.27,,,,,,
,,2012 - 2013,,,,683,252,0.37,,,,,,
,,2013 - 2014,,,,478,136,0.28,,,,,,
,,2014 - 2015,,,,435,167,0.38,,,,,,
,,2015 - 2016,,,,373,106,0.28,,,,,,
,,2016 - 2017,,,,725,170,0.23,,,,,,
,,2017 - 2018,,,,334,65,0.19,,,,,,
,,2018 - 2019,,,,220,42,0.19,,,,,,
,,2019 - 2020,,,,300,86,0.29,,,,,,
,,2020 - 2021,,,,128,35,0.27,,,,,,
,,2021 - 2022,,,,641,376,0.59,,,,,,
,,2022 - 2023,,,,286,168,0.59,,,,,,
,28. Hardoi,2003 - 2004,7,2,0.29,,,,,,,,,
,,2004 - 2005,,,,8,2,0.25,,,,,,
,,2005 - 2006,,,,4,1,0.25,,,,,,
,,2008 - 2009,,,,7,2,0.29,,,,,,
,29. Hathras,2003 - 2004,5,2,0.4,,,,,,,,,
,,2005 - 2006,,,,3,1,0.33,,,,,,
,,2015 - 2016,,,,2,1,0.5,,,,,,
,30. Jalaun,2002 - 2003,104,33,0.32,,,,,,,,,
,,2003 - 2004,88,26,0.3,,,,,,,,,
,,2004 - 2005,,,,83,23,0.28,,,,,,
,,2005 - 2006,,,,71,25,0.35,,,,,,
,,2006 - 2007,,,,93,26,0.28,,,,,,
,,2007 - 2008,,,,48,9,0.19,,,,,,
,,2008 - 2009,,,,8,3,0.38,,,,,,
,,2009 - 2010,,,,21,4,0.19,,,,,,
,,2010 - 2011,,,,9,3,0.33,,,,,,
,,2011 - 2012,,,,30,8,0.27,,,,,,
,,2012 - 2013,,,,77,29,0.38,,,,,,
,,2013 - 2014,,,,62,18,0.29,,,,,,
,,2014 - 2015,,,,61,23,0.38,,,,,,
,,2015 - 2016,,,,187,53,0.28,,,,,,
,,2016 - 2017,,,,74,17,0.23,,,,,,
,,2019 - 2020,,,,62,17,0.27,,,,,,
,,2020 - 2021,,,,737,201,0.27,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,
,,2022 - 2023,,,,62,36,0.58,,,,,,
,31. Jaunpur,2002 - 2003,634,200,0.32,,,,,,,,,
,,2003 - 2004,365,110,0.3,,,,,,,,,
,,2004 - 2005,,,,186,52,0.28,,,,,,
,,2005 - 2006,,,,387,134,0.35,,,,,,
,,2006 - 2007,,,,70,20,0.29,,,,,,
,,2007 - 2008,,,,237,46,0.19,,,,,,
,,2008 - 2009,,,,184,59,0.32,,,,,,
,,2009 - 2010,,,,163,30,0.18,,,,,,
,,2010 - 2011,,,,172,56,0.33,,,,,,
,,2011 - 2012,,,,212,58,0.27,,,,,,
,,2012 - 2013,,,,270,99,0.37,,,,,,
,,2013 - 2014,,,,155,44,0.28,,,,,,
,,2014 - 2015,,,,148,57,0.39,,,,,,
,,2015 - 2016,,,,143,40,0.28,,,,,,
,,2016 - 2017,,,,151,35,0.23,,,,,,
,,2017 - 2018,,,,171,33,0.19,,,,,,
,,2018 - 2019,,,,156,30,0.19,,,,,,
,,2019 - 2020,,,,153,44,0.29,,,,,,
,,2020 - 2021,,,,151,41,0.27,,,,,,
,,2021 - 2022,,,,154,90,0.58,,,,,,
,,2022 - 2023,,,,151,88,0.58,,,,,,
,32. Jhansi,2002 - 2003,3,1,0.33,,,,,,,,,
,,2003 - 2004,23,7,0.3,,,,,,,,,
,,2004 - 2005,,,,21,6,0.29,,,,,,
,,2005 - 2006,,,,27,9,0.33,,,,,,
,,2006 - 2007,,,,17,4,0.24,,,,,,
,,2007 - 2008,,,,3,1,0.33,,,,,,
,,2010 - 2011,,,,2,1,0.5,,,,,,
,,2011 - 2012,,,,8,2,0.25,,,,,,
,,2012 - 2013,,,,1,,0,,,,,,
,,2013 - 2014,,,,4,1,0.25,,,,,,
,,2014 - 2015,,,,1,1,1,,,,,,
,,2015 - 2016,,,,6,2,0.33,,,,,,
,,2016 - 2017,,,,2,1,0.5,,,,,,
,,2017 - 2018,,,,19,4,0.21,,,,,,
,,2018 - 2019,,,,2,,0,,,,,,
,,2019 - 2020,,,,2,1,0.5,,,,,,
,,2021 - 2022,,,,2,1,0.5,,,,,,
,,2022 - 2023,,,,2,1,0.5,,,,,,
,33. Kannauj,2002 - 2003,45,14,0.31,,,,,,,,,
,,2003 - 2004,29,9,0.31,,,,,,,,,
,,2004 - 2005,,,,44,12,0.27,,,,,,
,,2005 - 2006,,,,35,12,0.34,,,,,,
,,2006 - 2007,,,,37,10,0.27,,,,,,
,,2008 - 2009,,,,53,17,0.32,,,,,,
,,2009 - 2010,,,,50,9,0.18,,,,,,
,,2010 - 2011,,,,6,2,0.33,,,,,,
,,2011 - 2012,,,,28,8,0.29,,,,,,
,,2012 - 2013,,,,26,10,0.38,,,,,,
,,2013 - 2014,,,,18,5,0.28,,,,,,
,,2014 - 2015,,,,19,7,0.37,,,,,,
,,2015 - 2016,,,,8,2,0.25,,,,,,
,,2016 - 2017,,,,17,4,0.24,,,,,,
,,2017 - 2018,,,,16,3,0.19,,,,,,
,,2018 - 2019,,,,17,3,0.18,,,,,,
,,2019 - 2020,,,,17,5,0.29,,,,,,
,,2020 - 2021,,,,17,5,0.29,,,,,,
,,2021 - 2022,,,,31,18,0.58,,,,,,
,,2022 - 2023,,,,17,10,0.59,,,,,,
,34. Kanpur dehat,2003 - 2004,35,11,0.31,,,,,,,,,
,,2004 - 2005,,,,25,7,0.28,,,,,,
,,2005 - 2006,,,,50,17,0.34,,,,,,
,,2006 - 2007,,,,27,7,0.26,,,,,,
,,2007 - 2008,,,,35,7,0.2,,,,,,
,,2008 - 2009,,,,23,7,0.3,,,,,,
,,2009 - 2010,,,,61,11,0.18,,,,,,
,,2010 - 2011,,,,24,8,0.33,,,,,,
,,2011 - 2012,,,,16,4,0.25,,,,,,
,,2012 - 2013,,,,23,8,0.35,,,,,,
,,2013 - 2014,,,,20,6,0.3,,,,,,
,,2014 - 2015,,,,2,1,0.5,,,,,,
,,2015 - 2016,,,,7,2,0.29,,,,,,
,,2016 - 2017,,,,17,4,0.24,,,,,,
,,2018 - 2019,,,,19,4,0.21,,,,,,
,,2019 - 2020,,,,19,5,0.26,,,,,,
,,2020 - 2021,,,,9,2,0.22,,,,,,
,,2022 - 2023,,,,19,11,0.58,,,,,,
,35. Kanpur nagar,2002 - 2003,62,20,0.32,,,,,,,,,
,,2003 - 2004,50,15,0.3,,,,,,,,,
,,2004 - 2005,,,,40,11,0.28,,,,,,
,,2005 - 2006,,,,62,21,0.34,,,,,,
,,2006 - 2007,,,,2,1,0.5,,,,,,
,,2007 - 2008,,,,47,9,0.19,,,,,,
,,2008 - 2009,,,,70,22,0.31,,,,,,
,,2009 - 2010,,,,26,5,0.19,,,,,,
,,2010 - 2011,,,,11,4,0.36,,,,,,
,,2011 - 2012,,,,6,2,0.33,,,,,,
,,2012 - 2013,,,,17,6,0.35,,,,,,
,,2013 - 2014,,,,34,9,0.26,,,,,,
,,2014 - 2015,,,,9,3,0.33,,,,,,
,,2015 - 2016,,,,10,3,0.3,,,,,,
,,2016 - 2017,,,,20,5,0.25,,,,,,
,,2017 - 2018,,,,18,3,0.17,,,,,,
,,2018 - 2019,,,,16,3,0.19,,,,,,
,,2019 - 2020,,,,16,5,0.31,,,,,,
