State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,,,,,,,,,,76,15.8,0.21,,,,"3,726.00","1,080.50",0.29
,,2007 - 2008,,,,,,,22,6.8,0.31,66,14.8,0.22,,,,"7,272.00","2,428.80",0.33
,,2008 - 2009,,,,,,,4,1.4,0.35,50,15.8,0.32,,,,"3,909.00","1,352.50",0.35
,,2009 - 2010,,,,,,,21,2.7,0.13,75,22.4,0.3,,,,"4,172.00","1,639.60",0.39
,,2010 - 2011,,,,,,,11,1.9,0.17,15,3.7,0.25,,,,"3,478.00","1,318.20",0.38
,,2011 - 2012,,,,,,,4,1.6,0.4,34,8.4,0.25,,,,"3,092.00",958.5,0.31
,,2012 - 2013,,,,,,,,,,14,5,0.36,,,,"3,224.00","1,466.90",0.45
,,2013 - 2014,,,,,,,12,3.1,0.26,10,2.8,0.28,,,,"2,931.00","1,254.50",0.43
,,2014 - 2015,,,,,,,,,,4,1.2,0.3,,,,"2,639.00","1,243.00",0.47
,,2015 - 2016,,,,,,,,,,9,3.1,0.34,,,,"2,410.00","1,048.40",0.44
,,2016 - 2017,,,,,,,295,149,0.51,21,10.5,0.5,,,,"2,417.00","1,114.20",0.46
,,2017 - 2018,,,,,,,785,308.5,0.39,1,0.2,0.2,,,,"1,350.00",531.9,0.39
,,2018 - 2019,,,,,,,14,7.2,0.51,9,3.4,0.38,,,,"1,172.00",522.7,0.45
,,2019 - 2020,,,,,,,24,11.2,0.47,,,,,,,"1,845.00",797,0.43
,,2020 - 2021,,,,,,,15,5.5,0.37,61,32.3,0.53,,,,"1,388.00",606.6,0.44
,,2021 - 2022,,,,,,,8,3.4,0.43,3,1.1,0.37,,,,"1,468.00",641.5,0.44
,,2022 - 2023,,,,,,,104,36.3,0.35,6,2,0.33,,,,"2,369.00","1,032.90",0.44
,10. Gajapati,2000 - 2001,,,,"2,285.00",413.6,0.18,,,,,,,,,,,,
,,2001 - 2002,,,,"2,695.00",536.3,0.2,,,,,,,,,,,,
,,2002 - 2003,,,,"1,720.00",292.4,0.17,,,,,,,,,,,,
,,2003 - 2004,,,,"3,170.00",557.9,0.18,,,,,,,,,,,,
,,2004 - 2005,,,,,,,1,,0,,,,,,,"2,559.00",504.1,0.2
,,2005 - 2006,,,,,,,,,,,,,,,,"2,425.00",400.1,0.16
,,2006 - 2007,,,,,,,,,,,,,,,,"2,474.00",519.5,0.21
,,2007 - 2008,,,,,,,,,,3,0.2,0.07,,,,"2,979.00",601.8,0.2
,,2008 - 2009,,,,,,,,,,5,1.6,0.32,,,,"2,558.00",381.1,0.15
,,2009 - 2010,,,,,,,,,,,,,,,,"2,471.00",434.9,0.18
,,2010 - 2011,,,,,,,38,5.3,0.14,2,0.3,0.15,,,,"1,984.00",341.2,0.17
,,2011 - 2012,,,,,,,5,0.9,0.18,,,,,,,"1,454.00",165.8,0.11
,,2012 - 2013,,,,,,,7,1.6,0.23,,,,,,,"3,225.00",638.6,0.2
,,2013 - 2014,,,,,,,,,,,,,,,,"2,842.00",525.8,0.19
,,2014 - 2015,,,,,,,,,,,,,,,,"2,680.00",514.6,0.19
,,2015 - 2016,,,,,,,,,,,,,,,,"2,273.00",347.8,0.15
,,2016 - 2017,,,,,,,,,,,,,,,,"2,875.00",782,0.27
,,2017 - 2018,,,,,,,,,,,,,,,,"2,762.00",759.6,0.28
,,2018 - 2019,,,,,,,,,,,,,,,,"2,201.00",490.8,0.22
,,2019 - 2020,,,,,,,,,,,,,,,,"1,265.00",336.5,0.27
,,2020 - 2021,,,,,,,,,,,,,,,,"1,393.00",401.2,0.29
,,2021 - 2022,,,,,,,,,,,,,,,,"3,067.00",818.9,0.27
,,2022 - 2023,,,,,,,,,,67,17.7,0.26,,,,"1,764.00",479.8,0.27
,11. Ganjam,2000 - 2001,,,,"5,613.00",989.5,0.18,,,,,,,,,,,,
,,2001 - 2002,,,,"9,511.00","2,250.40",0.24,,,,,,,,,,,,
,,2002 - 2003,,,,"6,789.00","1,207.30",0.18,,,,,,,,,,,,
,,2003 - 2004,,,,"8,991.00","1,890.30",0.21,,,,,,,,,,,,
,,2004 - 2005,,,,,,,17,3.7,0.22,292,39.4,0.13,,,,"6,851.00","1,411.30",0.21
,,2005 - 2006,,,,,,,187,59.5,0.32,413,70.2,0.17,,,,"7,084.00","1,225.50",0.17
,,2006 - 2007,,,,,,,16,5.5,0.34,179,28.3,0.16,,,,"5,552.00","1,082.60",0.19
,,2007 - 2008,,,,,,,6,2.1,0.35,490,78.9,0.16,,,,"7,898.00","1,603.30",0.2
,,2008 - 2009,,,,,,,4,1,0.25,425,80.3,0.19,,,,"9,240.00","2,134.40",0.23
,,2009 - 2010,,,,,,,8,2,0.25,309,70.1,0.23,,,,"6,808.00","1,463.70",0.21
,,2010 - 2011,,,,,,,16,5.4,0.34,185,43.1,0.23,,,,"5,329.00",980.5,0.18
,,2011 - 2012,,,,,,,,,,62,11,0.18,,,,"2,932.00",689,0.23
,,2012 - 2013,,,,,,,,,,133,24.2,0.18,,,,"6,832.00","1,414.20",0.21
,,2013 - 2014,,,,,,,,,,45,5.1,0.11,,,,"4,833.00","1,087.40",0.22
,,2014 - 2015,,,,,,,,,,80,15,0.19,,,,"4,973.00","1,094.10",0.22
,,2015 - 2016,,,,,,,,,,61,14.3,0.23,,,,"3,682.00",795.3,0.22
,,2016 - 2017,,,,,,,5,1.3,0.26,27,24.2,0.9,,,,"8,628.00","2,467.60",0.29
,,2017 - 2018,,,,,,,,,,47,13.2,0.28,,,,"6,660.00","1,551.80",0.23
,,2018 - 2019,,,,,,,,,,96,23.8,0.25,,,,"7,239.00","1,592.60",0.22
,,2019 - 2020,,,,,,,,,,23,6.4,0.28,,,,"5,798.00","1,408.90",0.24
,,2020 - 2021,,,,,,,454,89.9,0.2,4,1.1,0.28,,,,"5,263.00","1,326.30",0.25
,,2021 - 2022,,,,,,,166,32.7,0.2,72,17.4,0.24,,,,"8,676.00","2,012.80",0.23
,,2022 - 2023,,,,,,,131,34.8,0.27,174,32.7,0.19,,,,"11,519.00","2,649.40",0.23
,12. Jagatsinghapur,2000 - 2001,,,,"2,364.00",900.4,0.38,,,,,,,,,,,,
,,2001 - 2002,,,,"4,614.00","1,867.20",0.4,,,,,,,,,,,,
,,2002 - 2003,,,,"2,853.00",905.7,0.32,,,,,,,,,,,,
,,2003 - 2004,,,,"4,363.00","1,240.40",0.28,,,,,,,,,,,,
,,2004 - 2005,,,,,,,228,71.8,0.31,,,,,,,"3,090.00","1,063.00",0.34
,,2005 - 2006,,,,,,,562,205.7,0.37,,,,,,,"1,754.00",421,0.24
,,2006 - 2007,,,,,,,863,320.2,0.37,,,,,,,"2,753.00","1,159.00",0.42
,,2007 - 2008,,,,,,,"1,130.00",315.3,0.28,,,,,,,"2,316.00",926.4,0.4
,,2008 - 2009,,,,,,,840,289,0.34,,,,,,,"1,768.00",818.6,0.46
,,2009 - 2010,,,,,,,764,221.6,0.29,,,,,,,"2,082.00",845.3,0.41
,,2010 - 2011,,,,,,,793,260.1,0.33,,,,,,,"2,770.00",883.6,0.32
,,2011 - 2012,,,,,,,495,188.6,0.38,,,,,,,"2,895.00","1,256.40",0.43
,,2012 - 2013,,,,,,,502,161.1,0.32,,,,,,,"2,463.00","1,064.00",0.43
,,2013 - 2014,,,,,,,311,121.6,0.39,,,,,,,"1,767.00",503.6,0.29
,,2014 - 2015,,,,,,,522,225,0.43,,,,,,,"1,002.00",439.9,0.44
,,2015 - 2016,,,,,,,714,310.6,0.44,,,,,,,"1,172.00",507.5,0.43
,,2016 - 2017,,,,,,,956,386.2,0.4,,,,,,,412,207.6,0.5
,,2017 - 2018,,,,,,,445,178.9,0.4,,,,,,,187,70.5,0.38
,,2018 - 2019,,,,,,,666,208.5,0.31,,,,,,,179,70,0.39
,,2019 - 2020,,,,,,,482,83.4,0.17,,,,,,,183,60.9,0.33
,,2020 - 2021,,,,,,,975,60.5,0.06,,,,,,,178,66.4,0.37
,,2021 - 2022,,,,,,,"1,167.00",249.7,0.21,,,,,,,628,187.8,0.3
,,2022 - 2023,,,,,,,"1,241.00",389.7,0.31,,,,,,,588,223.4,0.38
,13. Jajapur,2000 - 2001,,,,"8,740.00","2,368.60",0.27,,,,,,,,,,,,
,,2001 - 2002,,,,"13,367.00","6,143.00",0.46,,,,,,,,,,,,
,,2002 - 2003,,,,"11,179.00","3,538.90",0.32,,,,,,,,,,,,
,,2003 - 2004,,,,"7,221.00","1,759.00",0.24,,,,,,,,,,,,
,,2004 - 2005,,,,,,,8,2.4,0.3,3,0.5,0.17,,,,"8,008.00","2,170.20",0.27
,,2005 - 2006,,,,,,,22,4.4,0.2,13,3.4,0.26,,,,"6,186.00","1,868.20",0.3
,,2006 - 2007,,,,,,,18,5.6,0.31,15,1.7,0.11,,,,"9,674.00","3,347.20",0.35
,,2007 - 2008,,,,,,,173,54,0.31,16,2.1,0.13,,,,"12,458.00","5,269.70",0.42
,,2008 - 2009,,,,,,,20,7.6,0.38,11,1.4,0.13,,,,"9,485.00","3,253.40",0.34
,,2009 - 2010,,,,,,,21,6.6,0.31,6,2.1,0.35,,,,"8,958.00","3,162.20",0.35
,,2010 - 2011,,,,,,,106,19.4,0.18,,,,,,,"8,614.00","2,601.40",0.3
,,2011 - 2012,,,,,,,23,6.8,0.3,5,0.5,0.1,,,,"13,740.00","3,435.00",0.25
,,2012 - 2013,,,,,,,192,88.3,0.46,6,0.5,0.08,,,,"6,655.00","2,302.60",0.35
,,2013 - 2014,,,,,,,38,13.7,0.36,,,,,,,"3,612.00",552.6,0.15
,,2014 - 2015,,,,,,,24,7.1,0.3,,,,,,,"7,294.00","2,392.40",0.33
,,2015 - 2016,,,,,,,8,1.3,0.16,,,,,,,"3,826.00","1,228.10",0.32
,,2016 - 2017,,,,,,,17,6.9,0.41,,,,,,,"6,755.00","3,485.60",0.52
,,2017 - 2018,,,,,,,4,0.4,0.1,,,,,,,"3,995.00","1,418.20",0.35
,,2018 - 2019,,,,,,,39,9.2,0.24,,,,,,,"5,107.00","1,281.90",0.25
,,2019 - 2020,,,,,,,9,1.7,0.19,,,,,,,"4,263.00","1,185.10",0.28
,,2020 - 2021,,,,,,,61,12.2,0.2,,,,,,,"5,230.00","1,281.40",0.25
,,2021 - 2022,,,,,,,6,0.2,0.03,,,,,,,"6,481.00","1,237.90",0.19
,,2022 - 2023,,,,,,,4,0.4,0.1,,,,,,,"4,976.00","1,054.90",0.21
,14. Jharsuguda,2000 - 2001,,,,23,1.3,0.06,,,,,,,,,,,,
,,2001 - 2002,,,,89,35.4,0.4,,,,,,,,,,,,
,,2002 - 2003,,,,78,9.1,0.12,,,,,,,,,,,,
,,2003 - 2004,,,,59,22.7,0.38,,,,,,,,,,,,
,,2004 - 2005,,,,,,,4,1.8,0.45,30,5.6,0.19,,,,51,15,0.29
,,2005 - 2006,,,,,,,,,,,,,,,,32,11.9,0.37
,,2006 - 2007,,,,,,,,,,51,18.8,0.37,,,,17,6.5,0.38
,,2007 - 2008,,,,,,,,,,11,4.4,0.4,,,,10,2.6,0.26
,,2008 - 2009,,,,,,,,,,1,0.3,0.3,,,,10,3.2,0.32
,,2009 - 2010,,,,,,,,,,15,2.7,0.18,,,,31,13.2,0.43
,,2010 - 2011,,,,,,,,,,19,4.6,0.24,,,,66,16.2,0.25
,,2011 - 2012,,,,,,,,,,13,1.3,0.1,,,,11,3.8,0.35
,,2012 - 2013,,,,,,,,,,32,3.1,0.1,,,,,,
,,2013 - 2014,,,,,,,,,,3,0.4,0.13,,,,,,
,,2014 - 2015,,,,,,,,,,50,9.7,0.19,,,,,,
,,2015 - 2016,,,,,,,,,,5,0.9,0.18,,,,,,
,,2016 - 2017,,,,,,,,,,7,2.9,0.41,,,,2,0.8,0.4
,,2017 - 2018,,,,,,,19,7.7,0.41,73,58.8,0.81,,,,5,2,0.4
,,2018 - 2019,,,,,,,,,,,,,,,,4,1.2,0.3
,,2020 - 2021,,,,,,,4,0.7,0.18,,,,,,,,,
,,2021 - 2022,,,,,,,8,3,0.38,21,4.1,0.2,,,,25,6.8,0.27
,,2022 - 2023,,,,,,,1,0.3,0.3,,,,,,,16,12.9,0.81
,15. Kalahandi,2000 - 2001,,,,"5,062.00",679.3,0.13,,,,,,,,,,,,
,,2001 - 2002,,,,"4,654.00","1,028.40",0.22,,,,,,,,,,,,
,,2002 - 2003,,,,"4,174.00",414.7,0.1,,,,,,,,,,,,
,,2003 - 2004,,,,"4,244.00",992.7,0.23,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,24,4.7,0.2,,,,"4,789.00",814.1,0.17
,,2005 - 2006,,,,,,,,,,17,1.5,0.09,,,,"6,329.00","1,044.30",0.17
,,2006 - 2007,,,,,,,,,,14,1.4,0.1,,,,"4,240.00",691.1,0.16
,,2007 - 2008,,,,,,,12,1.2,0.1,4,0.4,0.1,,,,"5,286.00",972.6,0.18
,,2008 - 2009,,,,,,,21,3.1,0.15,40,4.7,0.12,,,,"4,894.00",763.5,0.16
,,2009 - 2010,,,,,,,8,1.2,0.15,31,6.9,0.22,,,,"4,736.00","1,169.80",0.25
,,2010 - 2011,,,,,,,33,7.8,0.24,126,27.8,0.22,,,,"6,021.00","1,577.50",0.26
,,2011 - 2012,,,,,,,2,0.2,0.1,108,13.1,0.12,,,,"4,611.00",728.5,0.16
,,2012 - 2013,,,,,,,,,,,,,,,,"5,208.00","1,369.70",0.26
,,2013 - 2014,,,,,,,19,3.3,0.17,2,0.7,0.35,,,,"4,267.00","1,531.90",0.36
,,2014 - 2015,,,,,,,22,7.2,0.33,,,,,,,"2,942.00",979.7,0.33
,,2015 - 2016,,,,,,,65,36.5,0.56,,,,,,,"2,120.00",364.6,0.17
,,2016 - 2017,,,,,,,6,2,0.33,308,164.2,0.53,,,,"3,222.00","1,482.10",0.46
,,2017 - 2018,,,,,,,186,70.9,0.38,,,,,,,"3,132.00","1,224.60",0.39
,,2018 - 2019,,,,,,,4,2.4,0.6,,,,,,,"2,418.00",875.3,0.36
,,2019 - 2020,,,,,,,,,,,,,,,,"3,656.00","1,550.10",0.42
,,2020 - 2021,,,,,,,,,,,,,,,,"5,713.00","2,433.70",0.43
,,2021 - 2022,,,,,,,10,3.4,0.34,,,,,,,"4,529.00","1,775.40",0.39
,,2022 - 2023,,,,,,,62,39.7,0.64,,,,,,,"4,519.00","2,521.60",0.56
,16. Kandhamal,2000 - 2001,,,,256,44.6,0.17,,,,,,,,,,,,
,,2001 - 2002,,,,164,39.2,0.24,,,,,,,,,,,,
,,2002 - 2003,,,,107,11.2,0.1,,,,,,,,,,,,
,,2003 - 2004,,,,138,25.5,0.18,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,42,7.3,0.17,,,,94,17.9,0.19
,,2005 - 2006,,,,,,,,,,99,11.1,0.11,,,,138,20.4,0.15
,,2006 - 2007,,,,,,,,,,40,6.2,0.16,,,,207,40.8,0.2
,,2007 - 2008,,,,,,,,,,30,6.7,0.22,,,,232,54.1,0.23
,,2008 - 2009,,,,,,,,,,167,28.9,0.17,,,,226,49,0.22
,,2009 - 2010,,,,,,,,,,25,4.1,0.16,,,,206,47.8,0.23
,,2010 - 2011,,,,,,,,,,117,28.1,0.24,,,,305,50,0.16
,,2011 - 2012,,,,,,,,,,59,8.1,0.14,,,,160,23.2,0.15
,,2012 - 2013,,,,,,,,,,25,3.9,0.16,,,,109,22.8,0.21
,,2013 - 2014,,,,,,,,,,39,3.3,0.08,,,,290,59.7,0.21
,,2014 - 2015,,,,,,,,,,10,2.1,0.21,,,,274,50.4,0.18
,,2015 - 2016,,,,,,,,,,32,4,0.13,,,,48,4.6,0.1
,,2016 - 2017,,,,,,,,,,,,,,,,188,49.6,0.26
,,2017 - 2018,,,,,,,,,,,,,,,,86,22.3,0.26
,,2018 - 2019,,,,,,,,,,15,2.1,0.14,,,,59,16,0.27
,,2019 - 2020,,,,,,,,,,,,,,,,198,77.4,0.39
,,2020 - 2021,,,,,,,,,,,,,,,,280,151.2,0.54
,,2021 - 2022,,,,,,,,,,,,,,,,785,299.1,0.38
,,2022 - 2023,,,,,,,,,,1,0.4,0.4,,,,802,404.2,0.5
,17. Kendrapara,2000 - 2001,,,,"8,262.00","4,020.10",0.49,,,,,,,,,,,,
,,2001 - 2002,,,,"10,048.00","3,687.10",0.37,,,,,,,,,,,,
,,2002 - 2003,,,,"9,942.00","3,181.30",0.32,,,,,,,,,,,,
,,2003 - 2004,,,,"5,789.00","1,636.70",0.28,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,721.00",648.8,0.38,,,,,,,"7,095.00","2,078.80",0.29
,,2005 - 2006,,,,,,,"2,411.00",947.5,0.39,,,,,,,"6,383.00","1,780.90",0.28
,,2006 - 2007,,,,,,,"2,194.00",737.2,0.34,,,,,,,"6,735.00","2,370.70",0.35
,,2007 - 2008,,,,,,,"2,421.00",869.1,0.36,,,,,,,"8,341.00","3,044.50",0.37
,,2008 - 2009,,,,,,,"3,488.00","1,322.00",0.38,,,,,,,"6,006.00","2,246.20",0.37
,,2009 - 2010,,,,,,,"2,454.00",746,0.3,,,,,,,"8,841.00","3,580.60",0.4
,,2010 - 2011,,,,,,,"2,049.00",758.1,0.37,,,,,,,"9,785.00","3,737.90",0.38
,,2011 - 2012,,,,,,,"2,475.00",866.3,0.35,,,,,,,"8,914.00","3,761.70",0.42
,,2012 - 2013,,,,,,,"1,932.00",676.2,0.35,,,,,,,"8,920.00","3,835.60",0.43
,,2013 - 2014,,,,,,,965,398.5,0.41,,,,,,,"5,796.00","1,512.80",0.26
,,2014 - 2015,,,,,,,870,368.9,0.42,,,,,,,"5,567.00","2,521.90",0.45
,,2015 - 2016,,,,,,,896,258,0.29,,,,,,,"6,364.00","3,328.40",0.52
,,2016 - 2017,,,,,,,210,61.3,0.29,,,,,,,"5,572.00","3,281.90",0.59
,,2017 - 2018,,,,,,,754,344.6,0.46,,,,,,,"3,235.00","1,032.00",0.32
,,2018 - 2019,,,,,,,"1,156.00",543.3,0.47,,,,,,,"2,239.00","1,307.60",0.58
,,2019 - 2020,,,,,,,"2,215.00",708.8,0.32,,,,,,,"1,798.00",848.7,0.47
,,2020 - 2021,,,,,,,"2,053.00",314.1,0.15,,,,,,,"3,645.00","1,680.30",0.46
,,2021 - 2022,,,,,,,"1,027.00",354.3,0.34,,,,,,,"8,107.00","3,080.70",0.38
,,2022 - 2023,,,,,,,"1,319.00",473.5,0.36,,,,,,,"2,911.00","1,056.70",0.36
,18. Kendujhar,2000 - 2001,,,,"3,209.00",574.9,0.18,,,,,,,,,,,,
,,2001 - 2002,,,,"2,026.00",400.1,0.2,,,,,,,,,,,,
,,2002 - 2003,,,,"1,766.00",232.1,0.13,,,,,,,,,,,,
,,2003 - 2004,,,,"2,532.00",582,0.23,,,,,,,,,,,,
,,2004 - 2005,,,,,,,10,3.1,0.31,"1,253.00",223,0.18,,,,606,128.5,0.21
,,2005 - 2006,,,,,,,10,7.1,0.71,"1,389.00",220.9,0.16,,,,896,169.3,0.19
,,2006 - 2007,,,,,,,19,7.5,0.39,"1,536.00",284.2,0.19,,,,337,94.4,0.28
,,2007 - 2008,,,,,,,2,1.3,0.65,"1,260.00",260.8,0.21,,,,609,121.2,0.2
,,2008 - 2009,,,,,,,10,3,0.3,"1,356.00",294.3,0.22,,,,210,39.7,0.19
,,2009 - 2010,,,,,,,11,1.2,0.11,"1,256.00",221.1,0.18,,,,365,82.5,0.23
,,2010 - 2011,,,,,,,9,4.4,0.49,"1,112.00",273.6,0.25,,,,701,155.6,0.22
,,2011 - 2012,,,,,,,7,1.7,0.24,"1,057.00",248.4,0.24,,,,289,63.9,0.22
,,2012 - 2013,,,,,,,23,7.3,0.32,596,128.7,0.22,,,,390,97.5,0.25
,,2013 - 2014,,,,,,,,,,597,174.3,0.29,,,,232,56.8,0.24
,,2014 - 2015,,,,,,,,,,708,230.1,0.33,,,,69,20.4,0.3
,,2015 - 2016,,,,,,,21,8.1,0.39,397,100,0.25,,,,149,40.5,0.27
,,2016 - 2017,,,,,,,43,19.4,0.45,"1,186.00",496.9,0.42,,,,486,280.4,0.58
,,2017 - 2018,,,,,,,100,49.7,0.5,603,180.3,0.3,,,,108,42.6,0.39
,,2018 - 2019,,,,,,,87,25.1,0.29,294,94.1,0.32,,,,108,33.5,0.31
,,2019 - 2020,,,,,,,81,44.6,0.55,313,140.9,0.45,,,,25,7.9,0.32
,,2020 - 2021,,,,,,,127,65.5,0.52,211,62.9,0.3,,,,69,24.8,0.36
,,2021 - 2022,,,,,,,111,52.7,0.47,"1,433.00",488.7,0.34,,,,269,84.5,0.31
,,2022 - 2023,,,,,,,91,49.8,0.55,"1,272.00",494.8,0.39,,,,270,103.4,0.38
,19. Khordha,2000 - 2001,,,,"2,629.00",473.1,0.18,,,,,,,,,,,,
,,2001 - 2002,,,,"3,114.00",512,0.16,,,,,,,,,,,,
,,2002 - 2003,,,,"1,358.00",252.8,0.19,,,,,,,,,,,,
,,2003 - 2004,,,,"4,564.00","1,101.00",0.24,,,,,,,,,,,,
,,2004 - 2005,,,,,,,93,32.6,0.35,,,,,,,"2,975.00",800.3,0.27
,,2005 - 2006,,,,,,,52,8.7,0.17,,,,,,,"4,513.00",970.3,0.22
,,2006 - 2007,,,,,,,293,51.3,0.18,,,,,,,"2,466.00",609.1,0.25
,,2007 - 2008,,,,,,,72,15.8,0.22,1,,0,,,,"3,157.00",609.3,0.19
,,2008 - 2009,,,,,,,518,105.2,0.2,,,,,,,"3,275.00",628.8,0.19
,,2009 - 2010,,,,,,,149,26.5,0.18,,,,,,,"2,513.00",525.2,0.21
,,2010 - 2011,,,,,,,351,56.9,0.16,,,,,,,"2,480.00",515.8,0.21
,,2011 - 2012,,,,,,,70,14.4,0.21,,,,,,,696,152.4,0.22
,,2012 - 2013,,,,,,,169,47.3,0.28,,,,,,,796,243.6,0.31
,,2013 - 2014,,,,,,,154,47.7,0.31,,,,,,,"1,346.00",280,0.21
,,2014 - 2015,,,,,,,88,18.7,0.21,,,,,,,"1,935.00",530.2,0.27
,,2015 - 2016,,,,,,,243,57.8,0.24,,,,,,,"1,065.00",316.3,0.3
,,2016 - 2017,,,,,,,906,443,0.49,,,,,,,"1,086.00",404,0.37
,,2017 - 2018,,,,,,,"1,024.00",416.8,0.41,,,,,,,177,48.7,0.28
,,2018 - 2019,,,,,,,291,84.1,0.29,,,,,,,72,16.6,0.23
,,2019 - 2020,,,,,,,494,203.5,0.41,,,,,,,168,39.3,0.23
,,2020 - 2021,,,,,,,850,187.9,0.22,,,,,,,40,10.5,0.26
,,2021 - 2022,,,,,,,"1,179.00",415,0.35,,,,,,,168,46.5,0.28
,,2022 - 2023,,,,,,,"1,029.00",466.1,0.45,,,,,,,43,11.9,0.28
,20. Koraput,2000 - 2001,,,,"1,060.00",208.5,0.2,,,,,,,,,,,,
,,2001 - 2002,,,,"2,345.00",640.1,0.27,,,,,,,,,,,,
,,2002 - 2003,,,,"1,687.00",229.9,0.14,,,,,,,,,,,,
,,2003 - 2004,,,,935,232.8,0.25,,,,,,,,,,,,
,,2004 - 2005,,,,,,,4,0.3,0.08,20,8.2,0.41,,,,"1,069.00",240.5,0.22
,,2005 - 2006,,,,,,,,,,75,16.1,0.21,,,,"1,765.00",423.6,0.24
,,2006 - 2007,,,,,,,,,,186,110.1,0.59,,,,"1,638.00",407.9,0.25
,,2007 - 2008,,,,,,,,,,111,24.1,0.22,,,,"2,241.00",591.6,0.26
,,2008 - 2009,,,,,,,,,,200,83.6,0.42,,,,"1,951.00",476,0.24
,,2009 - 2010,,,,,,,24,5,0.21,1,0.2,0.2,,,,"2,034.00",437.3,0.21
,,2010 - 2011,,,,,,,3,1,0.33,,,,,,,"2,336.00",637.7,0.27
,,2011 - 2012,,,,,,,4,0.5,0.13,3,0.3,0.1,,,,"1,667.00",316.7,0.19
,,2012 - 2013,,,,,,,30,10,0.33,8,1,0.13,,,,"1,887.00",635.9,0.34
,,2013 - 2014,,,,,,,,,,1,0.2,0.2,,,,"2,110.00",732.2,0.35
,,2014 - 2015,,,,,,,4,2.5,0.63,,,,,,,"1,932.00",531.3,0.28
,,2015 - 2016,,,,,,,,,,,,,,,,"1,310.00",349.8,0.27
,,2016 - 2017,,,,,,,47,16.2,0.34,,,,,,,"1,400.00",467.6,0.33
,,2017 - 2018,,,,,,,61,26.1,0.43,,,,,,,"1,550.00",616.9,0.4
,,2018 - 2019,,,,,,,3,1.5,0.5,,,,,,,"2,132.00",671.6,0.32
,,2019 - 2020,,,,,,,5,3.3,0.66,,,,,,,"2,365.00",771,0.33
,,2020 - 2021,,,,,,,,,,,,,,,,"2,898.00",904.2,0.31
,,2021 - 2022,,,,,,,24,9.3,0.39,,,,,,,"2,787.00",989.4,0.36
,,2022 - 2023,,,,,,,,,,,,,,,,"1,448.00",444.5,0.31
,21. Malkangiri,2000 - 2001,,,,504,71.1,0.14,,,,,,,,,,,,
,,2001 - 2002,,,,471,134.2,0.28,,,,,,,,,,,,
,,2002 - 2003,,,,560,73.8,0.13,,,,,,,,,,,,
,,2003 - 2004,,,,787,217.2,0.28,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,,,,819,138.4,0.17
,,2005 - 2006,,,,,,,,,,,,,,,,"1,065.00",303.5,0.28
,,2006 - 2007,,,,,,,,,,,,,,,,"1,278.00",272.2,0.21
,,2007 - 2008,,,,,,,6,0.7,0.12,,,,,,,"1,346.00",328.4,0.24
,,2008 - 2009,,,,,,,,,,,,,,,,"1,358.00",301.5,0.22
,,2009 - 2010,,,,,,,,,,,,,,,,"1,689.00",398.6,0.24
,,2010 - 2011,,,,,,,6,7,1.17,,,,,,,"1,570.00",467.9,0.3
,,2011 - 2012,,,,,,,,,,,,,,,,993,124.1,0.12
,,2012 - 2013,,,,,,,,,,,,,,,,"1,141.00",216.8,0.19
,,2013 - 2014,,,,,,,,,,,,,,,,"1,371.00",324.9,0.24
,,2014 - 2015,,,,,,,,,,,,,,,,"1,485.00",365.3,0.25
,,2015 - 2016,,,,,,,1,0.4,0.4,,,,,,,"1,072.00",209,0.19
,,2016 - 2017,,,,,,,,,,,,,,,,"1,261.00",345.5,0.27
,,2017 - 2018,,,,,,,4,1,0.25,,,,,,,"2,084.00",631.5,0.3
,,2018 - 2019,,,,,,,,,,,,,,,,"2,735.00",689.2,0.25
,,2019 - 2020,,,,,,,40,37.1,0.93,,,,,,,"1,820.00",549.6,0.3
,,2020 - 2021,,,,,,,8,5.2,0.65,,,,,,,"4,734.00","1,585.90",0.34
,,2021 - 2022,,,,,,,7,2.6,0.37,,,,,,,"3,366.00",999.7,0.3
,,2022 - 2023,,,,,,,,,,,,,,,,"4,871.00","2,771.60",0.57
,22. Mayurbhanj,2000 - 2001,,,,"2,193.00",466.9,0.21,,,,,,,,,,,,
,,2001 - 2002,,,,"2,519.00",559.6,0.22,,,,,,,,,,,,
,,2002 - 2003,,,,"1,980.00",347.2,0.18,,,,,,,,,,,,
,,2003 - 2004,,,,"2,686.00",648.7,0.24,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,"2,133.00",550.3,0.26,,,,479,112.6,0.24
,,2005 - 2006,,,,,,,3,0.5,0.17,"1,885.00",427.9,0.23,,,,507,130.8,0.26
