State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2006 - 2007,729,185.2,0.25,,,,,,,,,,,,,,,
,,2007 - 2008,923,203.1,0.22,,,,,,,,,,,,,,,
,,2008 - 2009,318,76,0.24,,,,,,,,,,,,,,,
,,2009 - 2010,442,153.8,0.35,,,,,,,,,,,,,,,
,,2010 - 2011,"1,054.00",331,0.31,,,,,,,,,,,,,,,
,,2011 - 2012,435,139.6,0.32,,,,,,,,,,,,,,,
,,2012 - 2013,232,68.9,0.3,,,,,,,,,,,,,,,
,,2013 - 2014,315,100.5,0.32,,,,,,,,,,,,,,,
,,2014 - 2015,284,92.6,0.33,,,,,,,,,,,,,,,
,,2015 - 2016,187,50.7,0.27,,,,,,,,,,,,,,,
,,2016 - 2017,38,16.2,0.43,,,,,,,,,,,,,,,
,,2017 - 2018,5,1.2,0.24,,,,,,,,,,,,,,,
,,2018 - 2019,39,7.2,0.18,,,,,,,,,,,,,,,
,,2019 - 2020,84,42.9,0.51,,,,,,,,,,,,,,,
,,2020 - 2021,220,59.6,0.27,,,,,,,,,,,,,,,
,,2021 - 2022,144,46.9,0.33,,,,,,,,,,,,,,,
,,2022 - 2023,120,40,0.33,,,,,,,,,,,,,,,
,27. Rayagada,2000 - 2001,,,,,,,"3,925.00",757.9,0.19,,,,,,,,,
,,2001 - 2002,,,,,,,"2,905.00",820.1,0.28,,,,,,,,,
,,2002 - 2003,,,,,,,"2,383.00",472.2,0.2,,,,,,,,,
,,2003 - 2004,,,,,,,"3,771.00","1,059.20",0.28,,,,,,,,,
,,2004 - 2005,301,60.2,0.2,,,,,,,"4,729.00","1,376.10",0.29,,,,,,
,,2005 - 2006,155,38.6,0.25,,,,,,,"5,151.00","1,277.40",0.25,,,,,,
,,2006 - 2007,88,28,0.32,,,,,,,"3,511.00",898.8,0.26,,,,2,0.2,0.1
,,2007 - 2008,263,72.3,0.27,,,,,,,"3,896.00","1,075.30",0.28,,,,,,
,,2008 - 2009,123,34.9,0.28,,,,,,,"3,465.00",658.4,0.19,,,,,,
,,2009 - 2010,541,132.5,0.24,,,,,,,"3,923.00","1,102.40",0.28,,,,,,
,,2010 - 2011,171,55.4,0.32,,,,,,,"4,172.00","1,310.00",0.31,,,,,,
,,2011 - 2012,134,35,0.26,,,,,,,"2,198.00",507.7,0.23,,,,,,
,,2012 - 2013,39,13.1,0.34,,,,,,,"2,263.00",647.2,0.29,,,,,,
,,2013 - 2014,243,109.1,0.45,,,,,,,"2,040.00",630.4,0.31,,,,,,
,,2014 - 2015,594,288.1,0.49,,,,,,,"1,945.00",639.9,0.33,,,,,,
,,2015 - 2016,138,35.9,0.26,,,,,,,"1,661.00",300.6,0.18,,,,,,
,,2016 - 2017,1,0.4,0.4,,,,,,,"2,436.00",779.5,0.32,,,,,,
,,2017 - 2018,42,17.3,0.41,,,,,,,"2,184.00",668.3,0.31,,,,,,
,,2018 - 2019,58,18.4,0.32,,,,,,,"1,771.00",580.9,0.33,,,,,,
,,2019 - 2020,60,19,0.32,,,,,,,"1,277.00",375.4,0.29,,,,,,
,,2020 - 2021,74,23.8,0.32,,,,,,,"1,343.00",424.4,0.32,,,,,,
,,2021 - 2022,119,25.5,0.21,,,,,,,"2,721.00",859.8,0.32,,,,,,
,,2022 - 2023,144,56.2,0.39,,,,,,,"2,027.00",573.6,0.28,,,,,,
,28. Sambalpur,2000 - 2001,,,,,,,"3,639.00",512.7,0.14,,,,,,,,,
,,2001 - 2002,,,,,,,"3,832.00",996.7,0.26,,,,,,,,,
,,2002 - 2003,,,,,,,"3,295.00","1,117.10",0.34,,,,,,,,,
,,2003 - 2004,,,,,,,"1,725.00",382.9,0.22,,,,,,,,,
,,2004 - 2005,31,10.8,0.35,,,,,,,"2,268.00",489.9,0.22,,,,,,
,,2005 - 2006,143,49.6,0.35,,,,,,,"3,566.00","1,119.70",0.31,,,,1,0.1,0.1
,,2006 - 2007,29,9,0.31,,,,,,,"2,881.00",628.1,0.22,,,,,,
,,2007 - 2008,58,21.5,0.37,,,,,,,"1,764.00",395.1,0.22,,,,,,
,,2008 - 2009,42,11.5,0.27,,,,,,,"1,371.00",341.4,0.25,,,,1,0.1,0.1
,,2009 - 2010,35,12.1,0.35,,,,,,,"2,121.00",714.8,0.34,,,,,,
,,2010 - 2011,29,14.4,0.5,,,,,,,"1,497.00",344.3,0.23,,,,,,
,,2011 - 2012,5,2.6,0.52,,,,,,,474,112.8,0.24,,,,1,0.1,0.1
,,2012 - 2013,15,5.9,0.39,,,,,,,511,220.8,0.43,,,,,,
,,2013 - 2014,32,16.5,0.52,,,,,,,480,200.6,0.42,,,,,,
,,2014 - 2015,2,1.1,0.55,,,,,,,341,126.2,0.37,,,,,,
,,2015 - 2016,7,4.4,0.63,,,,,,,687,169.7,0.25,,,,1,0.4,0.4
,,2016 - 2017,2,1.4,0.7,,,,,,,312,125.1,0.4,,,,49,19.1,0.39
,,2017 - 2018,,,,,,,,,,61,25.5,0.42,,,,,,
,,2018 - 2019,,,,,,,,,,360,126,0.35,,,,1,0.1,0.1
,,2019 - 2020,,,,,,,,,,543,173.8,0.32,,,,,,
,,2020 - 2021,,,,,,,,,,890,304.4,0.34,,,,,,
,,2021 - 2022,2,1.2,0.6,,,,,,,"1,215.00",462.9,0.38,,,,,,
,,2022 - 2023,,,,,,,,,,577,211.8,0.37,,,,20,6.1,0.31
,29. Sonepur,2000 - 2001,,,,,,,240,15.4,0.06,,,,,,,,,
,,2001 - 2002,,,,,,,243,23.7,0.1,,,,,,,,,
,,2002 - 2003,,,,,,,76,9.5,0.13,,,,,,,,,
,,2003 - 2004,,,,,,,126,30.9,0.25,,,,,,,,,
,,2004 - 2005,61,18.8,0.31,,,,,,,24,1.8,0.08,,,,18,9.9,0.55
,,2005 - 2006,107,23.6,0.22,,,,,,,90,24.2,0.27,,,,47,12.6,0.27
,,2006 - 2007,84,24.6,0.29,,,,,,,226,30.5,0.13,,,,40,14,0.35
,,2007 - 2008,216,81.9,0.38,,,,,,,47,8.9,0.19,,,,55,23,0.42
,,2008 - 2009,135,42.4,0.31,,,,,,,80,8.2,0.1,,,,15,3.6,0.24
,,2009 - 2010,137,47.1,0.34,,,,,,,180,29.3,0.16,,,,8,2.6,0.33
,,2010 - 2011,30,9.3,0.31,,,,,,,194,22.9,0.12,,,,8,0.9,0.11
,,2011 - 2012,41,10.6,0.26,,,,,,,69,6.6,0.1,,,,132,39.1,0.3
,,2012 - 2013,16,3.4,0.21,,,,,,,122,32.7,0.27,,,,6,2.2,0.37
,,2013 - 2014,23,6.4,0.28,,,,,,,5,1.2,0.24,,,,,,
,,2014 - 2015,17,7,0.41,,,,,,,30,8.5,0.28,,,,33,13,0.39
,,2015 - 2016,49,13,0.27,,,,,,,6,0.7,0.12,,,,,,
,,2016 - 2017,15,2,0.13,,,,,,,,,,,,,,,
,,2017 - 2018,4,1.4,0.35,,,,,,,2,0.6,0.3,,,,,,
,,2018 - 2019,,,,,,,,,,7,1.1,0.16,,,,,,
,,2019 - 2020,,,,,,,,,,58,15.8,0.27,,,,,,
,30. Sundargarh,2000 - 2001,,,,,,,"2,599.00",369.1,0.14,,,,,,,,,
,,2001 - 2002,,,,,,,"3,012.00",568.9,0.19,,,,,,,,,
,,2002 - 2003,,,,,,,"2,117.00",300.2,0.14,,,,,,,,,
,,2003 - 2004,,,,,,,"2,321.00",506.3,0.22,,,,,,,,,
,,2004 - 2005,46,12.8,0.28,,,,,,,"3,311.00",930.4,0.28,,,,55,6.5,0.12
,,2005 - 2006,2,0.3,0.15,,,,,,,"2,227.00",594.6,0.27,,,,44,6.8,0.15
,,2006 - 2007,6,1.9,0.32,,,,,,,"3,665.00","1,062.90",0.29,,,,20,3.8,0.19
,,2007 - 2008,34,12.9,0.38,,,,,,,"2,422.00",738.7,0.3,,,,17,4,0.24
,,2008 - 2009,8,2.2,0.28,,,,,,,"2,161.00",695.8,0.32,,,,4,0.9,0.23
,,2009 - 2010,15,2.9,0.19,,,,,,,"1,883.00",459.5,0.24,,,,51,16.5,0.32
,,2010 - 2011,25,6.2,0.25,,,,,,,"3,179.00",702.6,0.22,,,,38,6.4,0.17
,,2011 - 2012,74,24.4,0.33,,,,,,,"1,708.00",449.2,0.26,,,,9,2,0.22
,,2012 - 2013,1,0.1,0.1,,,,,,,"1,006.00",286.7,0.28,,,,12,2.7,0.23
,,2013 - 2014,,,,,,,,,,"1,105.00",361.3,0.33,,,,72,17.5,0.24
,,2014 - 2015,90,29.3,0.33,,,,,,,"1,682.00",661,0.39,,,,,,
,,2015 - 2016,20,6.7,0.34,,,,,,,"1,214.00",275.6,0.23,,,,1,0.2,0.2
,,2016 - 2017,14,7.1,0.51,,,,,,,"1,414.00",596.7,0.42,,,,4,1.1,0.28
,,2017 - 2018,,,,,,,,,,"1,533.00",685.3,0.45,,,,76,49,0.64
,,2018 - 2019,,,,,,,,,,427,76,0.18,,,,2,0.7,0.35
,,2019 - 2020,41,20.2,0.49,,,,,,,396,91.5,0.23,,,,,,
,,2020 - 2021,1,0.2,0.2,,,,,,,324,118.9,0.37,,,,,,
,,2021 - 2022,5,2,0.4,,,,,,,"1,121.00",324,0.29,,,,339,128.1,0.38
,,2022 - 2023,61,19.6,0.32,,,,,,,"1,293.00",506.9,0.39,,,,78,22.3,0.29
22. Puducherry,1. Karaikal,2004 - 2005,,,,,,,17,1,0.06,,,,,,,,,
,,2005 - 2006,,,,,,,37,10,0.27,,,,,,,,,
,,2006 - 2007,,,,22,6,0.27,,,,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,,,,,,,
,,2008 - 2009,6,1,0.17,,,,,,,,,,,,,,,
,,2009 - 2010,17,4,0.24,,,,,,,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,,,,,,,
,,2011 - 2012,3,1,0.33,,,,,,,,,,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,,,,,,,,,,
,,2016 - 2017,9,1,0.11,,,,,,,,,,,,,,,
,,2017 - 2018,10,2,0.2,,,,,,,,,,,,,,,
,,2018 - 2019,7,1,0.14,,,,,,,,,,,,,,,
,,2019 - 2020,59,8,0.14,,,,,,,,,,,,,,,
,,2020 - 2021,40,5,0.13,,,,,,,,,,,,,,,
,,2021 - 2022,53,7,0.13,,,,,,,,,,,,,,,
,,2022 - 2023,36,14,0.39,,,,,,,,,,,,,,,
,2. Pondicherry,2004 - 2005,,,,,,,125,104,0.83,,,,,,,,,
,,2005 - 2006,,,,,,,94,75,0.8,,,,,,,,,
,,2006 - 2007,,,,112,82,0.73,,,,,,,,,,,,
,,2007 - 2008,95,109,1.15,21,17,0.81,14,11,0.79,,,,,,,,,
,,2008 - 2009,138,152,1.1,25,20,0.8,11,7,0.64,,,,,,,,,
,,2009 - 2010,207,207,1,18,13,0.72,5,3,0.6,,,,,,,,,
,,2010 - 2011,109,88,0.81,15,12,0.8,5,4,0.8,,,,,,,,,
,,2011 - 2012,110,91,0.83,6,4,0.67,3,2,0.67,,,,,,,,,
,,2012 - 2013,100,111,1.11,7,5,0.71,4,3,0.75,,,,,,,,,
,,2013 - 2014,177,146,0.82,4,3,0.75,11,8,0.73,,,,,,,,,
,,2014 - 2015,125,103,0.82,12,9,0.75,3,2,0.67,,,,,,,,,
,,2015 - 2016,100,83,0.83,5,4,0.8,3,2,0.67,,,,,,,,,
,,2016 - 2017,63,69,1.1,1,1,1,3,4,1.33,,,,,,,,,
,,2017 - 2018,78,94,1.21,5,5,1,4,6,1.5,,,,,,,,,
,,2018 - 2019,113,102,0.9,5,4,0.8,2,2,1,,,,,,,,,
,,2019 - 2020,144,144,1,10,10,1,2,2,1,,,,,,,,,
,,2020 - 2021,126,126,1,3,3,1,11,11,1,,,,,,,,,
,,2021 - 2022,467,467,1,7,7,1,9,9,1,,,,,,,,,
,,2022 - 2023,633,633,1,5,5,1,2,2,1,,,,,,,,,
,3. Yanam,2005 - 2006,,,,,,,1,,0,,,,,,,,,
23. Punjab,1. Amritsar,2000 - 2001,,,,,,,"8,700.00","3,400.00",0.39,,,,,,,,,
,,2001 - 2002,,,,,,,"9,000.00","3,500.00",0.39,,,,,,,,,
,,2002 - 2003,,,,,,,"5,200.00","1,500.00",0.29,,,,,,,,,
,,2003 - 2004,,,,,,,"3,800.00","1,300.00",0.34,,,,,,,,,
,,2004 - 2005,,,,,,,"3,400.00","1,600.00",0.47,,,,,,,,,
,,2005 - 2006,,,,,,,"4,600.00","1,600.00",0.35,,,,,,,,,
,,2006 - 2007,,,,,,,"2,100.00",800,0.38,,,,,,,,,
,,2007 - 2008,,,,,,,"1,900.00",600,0.32,,,,,,,,,
,,2008 - 2009,,,,,,,"2,000.00",700,0.35,,,,,,,,,
,,2009 - 2010,,,,,,,"1,600.00",600,0.38,,,,,,,,,
,,2010 - 2011,,,,,,,"1,500.00",500,0.33,,,,,,,,,
,,2011 - 2012,,,,,,,"1,300.00",300,0.23,,,,,,,,,
,,2012 - 2013,,,,,,,"1,200.00",400,0.33,,,,,,,,,
,,2013 - 2014,,,,,,,"1,300.00",300,0.23,,,,,,,,,
,,2014 - 2015,,,,,,,"1,700.00",300,0.18,,,,,,,,,
,,2015 - 2016,,,,,,,"1,400.00",370,0.26,,,,,,,,,
,,2016 - 2017,,,,,,,600,200,0.33,,,,,,,,,
,,2017 - 2018,,,,,,,700,300,0.43,,,,,,,,,
,,2018 - 2019,,,,,,,600,100,0.17,,,,,,,,,
,,2019 - 2020,,,,,,,700,200,0.29,,,,,,,,,
,,2020 - 2021,,,,,,,500,100,0.2,,,,,,,,,
,,2021 - 2022,,,,,,,"1,100.00",300,0.27,,,,,,,,,
,,2022 - 2023,,,,,,,600,200,0.33,,,,,,,,,
,2. Bathinda,2000 - 2001,,,,,,,100,10,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,400,200,0.5,,,,,,,,,
,,2002 - 2003,,,,,,,"1,600.00",400,0.25,,,,,,,,,
,,2003 - 2004,,,,,,,200,100,0.5,,,,,,,,,
,,2004 - 2005,,,,,,,200,100,0.5,,,,,,,,,
,,2005 - 2006,,,,,,,200,100,0.5,,,,,,,,,
,3. Faridkot,2000 - 2001,,,,,,,100,10,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,300,100,0.33,,,,,,,,,
,,2002 - 2003,,,,,,,100,0,0,,,,,,,,,
,,2003 - 2004,,,,,,,100,0,0,,,,,,,,,
,,2004 - 2005,,,,,,,100,0,0,,,,,,,,,
,,2005 - 2006,,,,,,,100,100,1,,,,,,,,,
,4. Fazilka,2015 - 2016,,,,,,,100,30,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,100,,0,,,,,,,,,
,5. Firozepur,2000 - 2001,,,,,,,"2,700.00","1,700.00",0.63,,,,,,,,,
,,2001 - 2002,,,,,,,"2,900.00","1,200.00",0.41,,,,,,,,,
,,2002 - 2003,,,,,,,"2,600.00",700,0.27,,,,,,,,,
,,2003 - 2004,,,,,,,"1,800.00",800,0.44,,,,,,,,,
,,2004 - 2005,,,,,,,"1,700.00",700,0.41,,,,,,,,,
,,2005 - 2006,,,,,,,"1,700.00",700,0.41,,,,,,,,,
,,2006 - 2007,,,,,,,"1,500.00",600,0.4,,,,,,,,,
,,2007 - 2008,,,,,,,"1,500.00",500,0.33,,,,,,,,,
,,2008 - 2009,,,,,,,"1,700.00",500,0.29,,,,,,,,,
,,2009 - 2010,,,,,,,"1,200.00",500,0.42,,,,,,,,,
,,2010 - 2011,,,,,,,800,500,0.63,,,,,,,,,
,,2011 - 2012,,,,,,,"1,300.00",600,0.46,,,,,,,,,
,,2012 - 2013,,,,,,,700,300,0.43,,,,,,,,,
,,2013 - 2014,,,,,,,500,300,0.6,,,,,,,,,
,,2014 - 2015,,,,,,,400,100,0.25,,,,,,,,,
,,2015 - 2016,,,,,,,400,140,0.35,,,,,,,,,
,,2016 - 2017,,,,,,,600,400,0.67,,,,,,,,,
,,2017 - 2018,,,,,,,400,200,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,500,100,0.2,,,,,,,,,
,,2019 - 2020,,,,,,,200,100,0.5,,,,,,,,,
,,2020 - 2021,,,,,,,200,100,0.5,,,,,,,,,
,,2021 - 2022,,,,,,,200,100,0.5,,,,,,,,,
,,2022 - 2023,,,,,,,200,100,0.5,,,,,,,,,
,6. Gurdaspur,2000 - 2001,,,,,,,"2,900.00",700,0.24,,,,,,,,,
,,2001 - 2002,,,,,,,"2,600.00",800,0.31,,,,,,,,,
,,2002 - 2003,,,,,,,"1,800.00",600,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,"1,800.00",500,0.28,,,,,,,,,
,,2004 - 2005,,,,,,,"1,600.00",400,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,"1,400.00",300,0.21,,,,,,,,,
,,2006 - 2007,,,,,,,"1,100.00",300,0.27,,,,,,,,,
,,2007 - 2008,,,,,,,900,200,0.22,,,,,,,,,
,,2008 - 2009,,,,,,,800,200,0.25,,,,,,,,,
,,2009 - 2010,,,,,,,900,300,0.33,,,,,,,,,
,,2010 - 2011,,,,,,,800,300,0.38,,,,,,,,,
,,2011 - 2012,,,,,,,800,100,0.13,,,,,,,,,
,,2012 - 2013,,,,,,,400,100,0.25,,,,,,,,,
,,2013 - 2014,,,,,,,100,,0,,,,,,,,,
,,2015 - 2016,,,,,,,100,40,0.4,,,,,,,,,
,,2016 - 2017,,,,,,,100,,0,,,,,,,,,
,,2017 - 2018,,,,,,,100,,0,,,,,,,,,
,,2018 - 2019,,,,,,,100,,0,,,,,,,,,
,,2019 - 2020,,,,,,,100,,0,,,,,,,,,
,,2020 - 2021,,,,,,,100,0,0,,,,,,,,,
,7. Hoshiarpur,2000 - 2001,,,,,,,800,300,0.38,,,,,,,,,
,,2001 - 2002,,,,,,,700,200,0.29,,,,,,,,,
,,2002 - 2003,,,,,,,800,200,0.25,,,,,,,,,
,,2003 - 2004,,,,,,,700,200,0.29,,,,,,,,,
,,2004 - 2005,,,,,,,700,300,0.43,,,,,,,,,
,,2005 - 2006,,,,,,,700,200,0.29,,,,,,,,,
,,2006 - 2007,,,,,,,800,100,0.13,,,,,,,,,
,,2007 - 2008,,,,,,,700,100,0.14,,,,,,,,,
,,2008 - 2009,,,,,,,500,100,0.2,,,,,,,,,
,,2009 - 2010,,,,,,,500,100,0.2,,,,,,,,,
,,2010 - 2011,,,,,,,600,100,0.17,,,,,,,,,
,,2011 - 2012,,,,,,,500,200,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,600,200,0.33,,,,,,,,,
,,2013 - 2014,,,,,,,600,200,0.33,,,,,,,,,
,,2014 - 2015,,,,,,,300,100,0.33,,,,,,,,,
,,2015 - 2016,,,,,,,400,70,0.18,,,,,,,,,
,,2016 - 2017,,,,,,,200,,0,,,,,,,,,
,,2018 - 2019,,,,,,,300,100,0.33,,,,,,,,,
,,2019 - 2020,,,,,,,300,200,0.67,,,,,,,,,
,,2020 - 2021,,,,,,,300,100,0.33,,,,,,,,,
,,2021 - 2022,,,,,,,300,100,0.33,,,,,,,,,
,,2022 - 2023,,,,,,,400,100,0.25,,,,,,,,,
,8. Jalandhar,2000 - 2001,,,,,,,"1,400.00",600,0.43,,,,,,,,,
,,2001 - 2002,,,,,,,"1,700.00",600,0.35,,,,,,,,,
,,2002 - 2003,,,,,,,600,200,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,700,300,0.43,,,,,,,,,
,,2004 - 2005,,,,,,,700,300,0.43,,,,,,,,,
,,2005 - 2006,,,,,,,800,300,0.38,,,,,,,,,
,,2006 - 2007,,,,,,,600,300,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,600,300,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,600,300,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,500,200,0.4,,,,,,,,,
,,2010 - 2011,,,,,,,400,200,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,200,100,0.5,,,,,,,,,
,,2012 - 2013,,,,,,,300,100,0.33,,,,,,,,,
,,2013 - 2014,,,,,,,300,100,0.33,,,,,,,,,
,,2014 - 2015,,,,,,,200,100,0.5,,,,,,,,,
,,2015 - 2016,,,,,,,100,50,0.5,,,,,,,,,
,,2016 - 2017,,,,,,,100,100,1,,,,,,,,,
,,2017 - 2018,,,,,,,200,,0,,,,,,,,,
,,2018 - 2019,,,,,,,100,100,1,,,,,,,,,
,,2019 - 2020,,,,,,,100,100,1,,,,,,,,,
,,2020 - 2021,,,,,,,200,200,1,,,,,,,,,
,,2021 - 2022,,,,,,,100,100,1,,,,,,,,,
,,2022 - 2023,,,,,,,100,100,1,,,,,,,,,
,9. Kapurthala,2000 - 2001,,,,,,,400,200,0.5,,,,,,,,,
,,2001 - 2002,,,,,,,400,200,0.5,,,,,,,,,
,,2002 - 2003,,,,,,,200,100,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,100,0,0,,,,,,,,,
,,2004 - 2005,,,,,,,200,100,0.5,,,,,,,,,
,,2005 - 2006,,,,,,,200,100,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,100,,0,,,,,,,,,
,,2007 - 2008,,,,,,,100,,0,,,,,,,,,
,,2008 - 2009,,,,,,,100,,0,,,,,,,,,
,,2017 - 2018,,,,,,,100,,0,,,,,,,,,
,10. Ludhiana,2000 - 2001,,,,,,,100,10,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,100,100,1,,,,,,,,,
,11. Mansa,2000 - 2001,,,,,,,100,10,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,300,100,0.33,,,,,,,,,
,,2002 - 2003,,,,,,,"1,200.00",300,0.25,,,,,,,,,
,,2003 - 2004,,,,,,,300,100,0.33,,,,,,,,,
,,2004 - 2005,,,,,,,400,200,0.5,,,,,,,,,
,,2005 - 2006,,,,,,,500,200,0.4,,,,,,,,,
,,2006 - 2007,,,,,,,400,100,0.25,,,,,,,,,
,,2007 - 2008,,,,,,,200,100,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,200,100,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,100,,0,,,,,,,,,
,,2015 - 2016,,,,,,,100,30,0.3,,,,,,,,,
,12. Moga,2000 - 2001,,,,,,,100,10,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,100,100,1,,,,,,,,,
,,2002 - 2003,,,,,,,100,0,0,,,,,,,,,
,,2008 - 2009,,,,,,,100,,0,,,,,,,,,
,13. Muktsar,2000 - 2001,,,,,,,"1,100.00",500,0.45,,,,,,,,,
,,2001 - 2002,,,,,,,"1,500.00",700,0.47,,,,,,,,,
,,2002 - 2003,,,,,,,"2,400.00",700,0.29,,,,,,,,,
,,2003 - 2004,,,,,,,700,200,0.29,,,,,,,,,
,,2004 - 2005,,,,,,,700,300,0.43,,,,,,,,,
,,2005 - 2006,,,,,,,600,200,0.33,,,,,,,,,
,,2006 - 2007,,,,,,,400,100,0.25,,,,,,,,,
,,2007 - 2008,,,,,,,300,200,0.67,,,,,,,,,
,,2008 - 2009,,,,,,,300,100,0.33,,,,,,,,,
,,2009 - 2010,,,,,,,200,100,0.5,,,,,,,,,
,,2010 - 2011,,,,,,,200,100,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,100,100,1,,,,,,,,,
,,2012 - 2013,,,,,,,100,,0,,,,,,,,,
,,2013 - 2014,,,,,,,100,,0,,,,,,,,,
,,2014 - 2015,,,,,,,100,,0,,,,,,,,,
,,2015 - 2016,,,,,,,100,50,0.5,,,,,,,,,
,,2016 - 2017,,,,,,,100,,0,,,,,,,,,
,,2017 - 2018,,,,,,,100,100,1,,,,,,,,,
,14. Nawanshahr,2000 - 2001,,,,,,,100,10,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,100,100,1,,,,,,,,,
,,2002 - 2003,,,,,,,200,100,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,100,0,0,,,,,,,,,
,,2005 - 2006,,,,,,,100,100,1,,,,,,,,,
,15. Pathankot,2012 - 2013,,,,,,,500,200,0.4,,,,,,,,,
,,2013 - 2014,,,,,,,600,300,0.5,,,,,,,,,
,,2014 - 2015,,,,,,,400,200,0.5,,,,,,,,,
,,2015 - 2016,,,,,,,400,160,0.4,,,,,,,,,
,,2016 - 2017,,,,,,,400,100,0.25,,,,,,,,,
,,2017 - 2018,,,,,,,400,200,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,500,100,0.2,,,,,,,,,
,,2019 - 2020,,,,,,,500,200,0.4,,,,,,,,,
,,2020 - 2021,,,,,,,500,100,0.2,,,,,,,,,
,,2021 - 2022,,,,,,,500,100,0.2,,,,,,,,,
,,2022 - 2023,,,,,,,400,100,0.25,,,,,,,,,
,16. Rupnagar,2000 - 2001,,,,,,,600,200,0.33,,,,,,,,,
,,2001 - 2002,,,,,,,400,100,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,400,100,0.25,,,,,,,,,
,,2003 - 2004,,,,,,,300,100,0.33,,,,,,,,,
,,2004 - 2005,,,,,,,400,100,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,400,100,0.25,,,,,,,,,
,,2006 - 2007,,,,,,,300,100,0.33,,,,,,,,,
,,2007 - 2008,,,,,,,300,100,0.33,,,,,,,,,
,,2008 - 2009,,,,,,,200,100,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,200,,0,,,,,,,,,
,,2011 - 2012,,,,,,,100,,0,,,,,,,,,
,,2012 - 2013,,,,,,,200,100,0.5,,,,,,,,,
,,2013 - 2014,,,,,,,100,,0,,,,,,,,,
,,2014 - 2015,,,,,,,100,,0,,,,,,,,,
,,2015 - 2016,,,,,,,100,30,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,200,100,0.5,,,,,,,,,
,,2017 - 2018,,,,,,,200,,0,,,,,,,,,
,,2018 - 2019,,,,,,,200,100,0.5,,,,,,,,,
,,2019 - 2020,,,,,,,100,,0,,,,,,,,,
,,2020 - 2021,,,,,,,100,0,0,,,,,,,,,
,,2021 - 2022,,,,,,,100,100,1,,,,,,,,,
,17. S.a.s nagar,2006 - 2007,,,,,,,100,,0,,,,,,,,,
,,2007 - 2008,,,,,,,100,100,1,,,,,,,,,
,,2008 - 2009,,,,,,,100,,0,,,,,,,,,
,,2009 - 2010,,,,,,,100,,0,,,,,,,,,
,18. Sangrur,2002 - 2003,,,,,,,100,0,0,,,,,,,,,
,19. Tarn taran,2006 - 2007,,,,,,,"2,100.00",800,0.38,,,,,,,,,
,,2007 - 2008,,,,,,,"1,600.00",500,0.31,,,,,,,,,
,,2008 - 2009,,,,,,,"1,700.00",700,0.41,,,,,,,,,
,,2009 - 2010,,,,,,,"1,700.00",800,0.47,,,,,,,,,
,,2010 - 2011,,,,,,,"1,400.00",600,0.43,,,,,,,,,
,,2011 - 2012,,,,,,,500,200,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,"1,400.00",500,0.36,,,,,,,,,
,,2013 - 2014,,,,,,,500,200,0.4,,,,,,,,,
,,2014 - 2015,,,,,,,"1,500.00",600,0.4,,,,,,,,,
,,2015 - 2016,,,,,,,"1,500.00",580,0.39,,,,,,,,,
,,2016 - 2017,,,,,,,600,200,0.33,,,,,,,,,
