State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,"15,800.00","12,700.00",0.8,,,,,,,,,,,,,,,
,,2007 - 2008,"15,800.00","11,500.00",0.73,,,,,,,,,,,,,,,
,,2008 - 2009,"16,000.00","13,100.00",0.82,,,,,,,,,,,,,,,
,,2009 - 2010,"16,100.00","9,900.00",0.61,,,,,,,,,,,,,,,
,,2010 - 2011,"15,800.00","8,000.00",0.51,,,,,,,,,,,,,,,
,,2011 - 2012,"16,000.00","10,400.00",0.65,,,,,,,,,,,,,,,
,,2012 - 2013,"14,100.00","11,100.00",0.79,,,,,,,,,,,,,,,
,,2013 - 2014,"14,100.00","11,400.00",0.81,,,,,,,,,,,,,,,
,,2014 - 2015,"2,500.00","1,700.00",0.68,,,,,,,,,,,,,,,
,,2015 - 2016,300,200,0.67,,,,,,,,,,,,,,,
,,2016 - 2017,"2,100.00","3,600.00",1.71,,,,,,,,,,,,,,,
,,2017 - 2018,"2,600.00","4,000.00",1.54,,,,,,,,,,,,,,,
,,2018 - 2019,"2,685.00","2,379.00",0.89,,,,,,,,,,,,,,,
,,2019 - 2020,"2,118.00","1,522.00",0.72,,,,,,,,,,,,,,,
,,2020 - 2021,"2,126.30","1,847.43",0.87,,,,,,,,,,,,,,,
,,2021 - 2022,"2,302.30","2,335.22",1.01,,,,,,,,,,,,,,,
,,2022 - 2023,"2,302.00","2,364.00",1.03,,,,,,,,,,,,,,,
14. Nagaland,1. Chumoukedima,2022 - 2023,33,32,0.97,,,,,,,,,,,,,,,
,2. Dimapur,2009 - 2010,40,30,0.75,,,,,,,,,,,,,,,
,,2010 - 2011,30,30,1,,,,,,,,,,,,,,,
,,2011 - 2012,30,30,1,,,,,,,,,,,,,,,
,,2012 - 2013,30,30,1,,,,,,,,,,,,,,,
,,2013 - 2014,30,30,1,,,,,,,,,,,,,,,
,,2014 - 2015,30,30,1,,,,,,,,,,,,,,,
,,2015 - 2016,40,50,1.25,,,,,,,,,,,,,,,
,,2016 - 2017,40,50,1.25,,,,,,,,,,,,,,,
,,2017 - 2018,50,50,1,,,,,,,,,,,,,,,
,,2018 - 2019,50,50,1,,,,,,,,,,,,,,,
,,2019 - 2020,50,50,1,,,,,,,,,,,,,,,
,,2020 - 2021,50,50,1,,,,,,,,,,,,,,,
,,2021 - 2022,40,25,0.63,,,,,,,,,,,,,,,
,,2022 - 2023,9,9,1,,,,,,,,,,,,,,,
,3. Kiphire,2009 - 2010,30,20,0.67,,,,,,,,,,,,,,,
,,2010 - 2011,30,30,1,,,,,,,,,,,,,,,
,,2011 - 2012,30,30,1,,,,,,,,,,,,,,,
,,2012 - 2013,30,30,1,,,,,,,,,,,,,,,
,,2013 - 2014,30,30,1,,,,,,,,,,,,,,,
,,2014 - 2015,30,30,1,,,,,,,,,,,,,,,
,,2015 - 2016,30,30,1,,,,,,,,,,,,,,,
,,2016 - 2017,30,30,1,,,,,,,,,,,,,,,
,,2017 - 2018,30,30,1,,,,,,,,,,,,,,,
,,2018 - 2019,30,30,1,,,,,,,,,,,,,,,
,,2019 - 2020,30,30,1,,,,,,,,,,,,,,,
,,2020 - 2021,30,30,1,,,,,,,,,,,,,,,
,,2021 - 2022,30,20,0.67,,,,,,,,,,,,,,,
,,2022 - 2023,31,30,0.97,,,,,,,,,,,,,,,
,4. Longleng,2009 - 2010,20,10,0.5,,,,,,,,,,,,,,,
,,2010 - 2011,20,20,1,,,,,,,,,,,,,,,
,,2011 - 2012,20,20,1,,,,,,,,,,,,,,,
,,2012 - 2013,20,20,1,,,,,,,,,,,,,,,
,,2013 - 2014,20,20,1,,,,,,,,,,,,,,,
,,2014 - 2015,20,20,1,,,,,,,,,,,,,,,
,,2015 - 2016,20,20,1,,,,,,,,,,,,,,,
,,2016 - 2017,20,20,1,,,,,,,,,,,,,,,
,,2017 - 2018,20,20,1,,,,,,,,,,,,,,,
,,2018 - 2019,30,30,1,,,,,,,,,,,,,,,
,,2019 - 2020,30,30,1,,,,,,,,,,,,,,,
,,2020 - 2021,30,30,1,,,,,,,,,,,,,,,
,,2021 - 2022,50,32,0.64,,,,,,,,,,,,,,,
,,2022 - 2023,30,29,0.97,,,,,,,,,,,,,,,
,5. Mokokchung,2009 - 2010,70,50,0.71,,,,,,,,,,,,,,,
,,2010 - 2011,60,50,0.83,,,,,,,,,,,,,,,
,,2011 - 2012,70,60,0.86,,,,,,,,,,,,,,,
,,2012 - 2013,70,60,0.86,,,,,,,,,,,,,,,
,,2013 - 2014,80,70,0.88,,,,,,,,,,,,,,,
,,2014 - 2015,80,70,0.88,,,,,,,,,,,,,,,
,,2015 - 2016,80,70,0.88,,,,,,,,,,,,,,,
,,2016 - 2017,80,70,0.88,,,,,,,,,,,,,,,
,,2017 - 2018,80,80,1,,,,,,,,,,,,,,,
,,2018 - 2019,80,80,1,,,,,,,,,,,,,,,
,,2019 - 2020,80,80,1,,,,,,,,,,,,,,,
,,2020 - 2021,80,80,1,,,,,,,,,,,,,,,
,,2021 - 2022,70,45,0.64,,,,,,,,,,,,,,,
,,2022 - 2023,70,68,0.97,,,,,,,,,,,,,,,
,6. Mon,2009 - 2010,60,40,0.67,,,,,,,,,,,,,,,
,,2010 - 2011,50,50,1,,,,,,,,,,,,,,,
,,2011 - 2012,40,40,1,,,,,,,,,,,,,,,
,,2012 - 2013,40,40,1,,,,,,,,,,,,,,,
,,2013 - 2014,40,40,1,,,,,,,,,,,,,,,
,,2014 - 2015,40,40,1,,,,,,,,,,,,,,,
,,2015 - 2016,40,40,1,,,,,,,,,,,,,,,
,,2016 - 2017,40,40,1,,,,,,,,,,,,,,,
,,2017 - 2018,40,40,1,,,,,,,,,,,,,,,
,,2018 - 2019,40,40,1,,,,,,,,,,,,,,,
,,2019 - 2020,40,40,1,,,,,,,,,,,,,,,
,,2020 - 2021,40,40,1,,,,,,,,,,,,,,,
,,2022 - 2023,40,38,0.95,,,,,,,,,,,,,,,
,7. Noklak,2021 - 2022,40,26,0.65,,,,,,,,,,,,,,,
,,2022 - 2023,33,32,0.97,,,,,,,,,,,,,,,
,8. Nuiland,2022 - 2023,8,8,1,,,,,,,,,,,,,,,
,9. Peren,2021 - 2022,30,19,0.63,,,,,,,,,,,,,,,
,,2022 - 2023,30,29,0.97,,,,,,,,,,,,,,,
,10. Shamator,2022 - 2023,16,16,1,,,,,,,,,,,,,,,
,11. Tuensang,2009 - 2010,80,60,0.75,,,,,,,,,,,,,,,
,,2010 - 2011,70,60,0.86,,,,,,,,,,,,,,,
,,2011 - 2012,80,70,0.88,,,,,,,,,,,,,,,
,,2012 - 2013,80,70,0.88,,,,,,,,,,,,,,,
,,2013 - 2014,80,70,0.88,,,,,,,,,,,,,,,
,,2014 - 2015,80,70,0.88,,,,,,,,,,,,,,,
,,2015 - 2016,80,70,0.88,,,,,,,,,,,,,,,
,,2016 - 2017,80,70,0.88,,,,,,,,,,,,,,,
,,2017 - 2018,80,70,0.88,,,,,,,,,,,,,,,
,,2018 - 2019,80,70,0.88,,,,,,,,,,,,,,,
,,2019 - 2020,80,70,0.88,,,,,,,,,,,,,,,
,,2020 - 2021,80,70,0.88,,,,,,,,,,,,,,,
,,2021 - 2022,80,52,0.65,,,,,,,,,,,,,,,
,,2022 - 2023,47,45,0.96,,,,,,,,,,,,,,,
,12. Wokha,2009 - 2010,50,30,0.6,,,,,,,,,,,,,,,
,,2010 - 2011,40,40,1,,,,,,,,,,,,,,,
,,2011 - 2012,40,40,1,,,,,,,,,,,,,,,
,,2012 - 2013,40,40,1,,,,,,,,,,,,,,,
,,2013 - 2014,40,40,1,,,,,,,,,,,,,,,
,,2014 - 2015,40,40,1,,,,,,,,,,,,,,,
,,2015 - 2016,40,40,1,,,,,,,,,,,,,,,
,,2016 - 2017,40,40,1,,,,,,,,,,,,,,,
,,2017 - 2018,40,40,1,,,,,,,,,,,,,,,
,,2018 - 2019,40,40,1,,,,,,,,,,,,,,,
,,2019 - 2020,40,40,1,,,,,,,,,,,,,,,
,,2020 - 2021,40,40,1,,,,,,,,,,,,,,,
,,2022 - 2023,40,38,0.95,,,,,,,,,,,,,,,
15. Odisha,1. Anugul,2000 - 2001,308,111.5,0.36,,,,,,,,,,,,,,,
,,2001 - 2002,183,60,0.33,,,,,,,,,,,,,,,
,,2002 - 2003,113,35.8,0.32,,,,,,,,,,,,,,,
,,2003 - 2004,72,29.9,0.42,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,6,2.6,0.43,,,,,,,,,
,,2005 - 2006,,,,,,,79,38.2,0.48,,,,,,,,,
,,2006 - 2007,,,,,,,185,87.3,0.47,,,,,,,,,
,,2007 - 2008,,,,,,,20,9.8,0.49,,,,,,,,,
,,2008 - 2009,,,,,,,9,4.6,0.51,,,,,,,,,
,,2009 - 2010,,,,,,,7,3.1,0.44,,,,,,,,,
,,2010 - 2011,,,,,,,4,2.2,0.55,,,,,,,,,
,,2011 - 2012,,,,,,,3,1.7,0.57,,,,,,,,,
,,2012 - 2013,,,,,,,2,1.3,0.65,,,,,,,,,
,,2014 - 2015,,,,,,,1,0.6,0.6,,,,,,,,,
,,2015 - 2016,,,,,,,1,0.7,0.7,,,,,,,,,
,,2016 - 2017,,,,,,,5,3.5,0.7,,,,,,,,,
,,2018 - 2019,,,,,,,1,1.6,1.6,,,,,,,23,4.8,0.21
,,2021 - 2022,,,,,,,4,3.3,0.83,,,,,,,,,
,,2022 - 2023,,,,,,,"1,254.00",900.4,0.72,28,15.3,0.55,,,,,,
,2. Balangir,2000 - 2001,"1,539.00",472.7,0.31,,,,,,,,,,,,,,,
,,2001 - 2002,"1,209.00",470.3,0.39,,,,,,,,,,,,,,,
,,2002 - 2003,"1,704.00",425.4,0.25,,,,,,,,,,,,,,,
,,2003 - 2004,984,375.8,0.38,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,010.00",371.7,0.37,,,,,,,6,3.4,0.57
,,2005 - 2006,,,,,,,845,333.8,0.4,,,,,,,4,2.7,0.68
,,2006 - 2007,,,,,,,930,412,0.44,,,,,,,,,
,,2007 - 2008,,,,,,,"1,028.00",514,0.5,,,,,,,7,4.4,0.63
,,2008 - 2009,,,,,,,"1,347.00",544.2,0.4,,,,,,,,,
,,2009 - 2010,,,,,,,"1,100.00",508.2,0.46,,,,,,,,,
,,2010 - 2011,,,,,,,"1,243.00",530.8,0.43,,,,,,,2,1.1,0.55
,,2011 - 2012,,,,,,,509,135.4,0.27,,,,,,,,,
,,2012 - 2013,,,,,,,366,236.4,0.65,,,,,,,,,
,,2013 - 2014,,,,,,,248,244.5,0.99,,,,,,,,,
,,2016 - 2017,,,,,,,436,123.8,0.28,,,,,,,,,
,,2019 - 2020,,,,,,,,,,,,,,,,54,7.2,0.13
,,2020 - 2021,,,,,,,36,6.7,0.19,,,,,,,,,
,,2021 - 2022,,,,,,,"1,083.00",409.4,0.38,,,,,,,49,14.6,0.3
,,2022 - 2023,,,,,,,454,130.8,0.29,,,,,,,,,
,3. Bargarh,2000 - 2001,26,3.2,0.12,,,,,,,,,,,,,,,
,,2001 - 2002,4,2,0.5,,,,,,,,,,,,,,,
,,2002 - 2003,3,1.4,0.47,,,,,,,,,,,,,,,
,,2003 - 2004,2,0.3,0.15,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,2,1.1,0.55,,,,,,,,,
,,2005 - 2006,,,,,,,,,,,,,,,,1,0.1,0.1
,,2006 - 2007,,,,,,,,,,,,,,,,1,0.3,0.3
,,2007 - 2008,,,,,,,1,0.5,0.5,,,,,,,1,0.1,0.1
,,2008 - 2009,,,,,,,7,2.5,0.36,,,,,,,10,2.1,0.21
,,2009 - 2010,,,,,,,,,,,,,,,,17,5.5,0.32
,,2012 - 2013,,,,,,,1,0.6,0.6,,,,,,,,,
,,2014 - 2015,,,,,,,1,0.8,0.8,,,,,,,,,
,,2016 - 2017,,,,,,,1,0.6,0.6,,,,,,,,,
,,2019 - 2020,,,,,,,,,,,,,,,,27,12,0.44
,,2020 - 2021,,,,,,,,,,2,2.5,1.25,,,,52,44.4,0.85
,,2021 - 2022,,,,,,,,,,3,1.2,0.4,,,,133,27.4,0.21
,,2022 - 2023,,,,,,,13,3.3,0.25,60,22.4,0.37,,,,402,86.4,0.21
,4. Boudh,2000 - 2001,46,8.3,0.18,,,,,,,,,,,,,,,
,,2001 - 2002,11,3.6,0.33,,,,,,,,,,,,,,,
,,2002 - 2003,2,0.6,0.3,,,,,,,,,,,,,,,
,,2003 - 2004,3,1.6,0.53,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,8,5.6,0.7,,,,,,,5,2,0.4
,,2005 - 2006,,,,,,,7,3.6,0.51,3,2.8,0.93,,,,,,
,,2006 - 2007,,,,,,,13,4.9,0.38,1,0.5,0.5,,,,,,
,,2007 - 2008,,,,,,,9,3.5,0.39,,,,,,,,,
,,2008 - 2009,,,,,,,1,0.6,0.6,1,0.5,0.5,,,,1,0.7,0.7
,,2009 - 2010,,,,,,,3,1.5,0.5,,,,,,,,,
,,2010 - 2011,,,,,,,6,2.9,0.48,,,,,,,,,
,,2011 - 2012,,,,,,,1,0.4,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,1,0.3,0.3,,,,,,,,,
,,2013 - 2014,,,,,,,1,0.2,0.2,,,,,,,,,
,,2022 - 2023,,,,,,,,,,1,0.3,0.3,,,,,,
,5. Cuttack,2000 - 2001,185,129.1,0.7,,,,,,,,,,,,,,,
,,2001 - 2002,47,24.6,0.52,,,,,,,,,,,,,,,
,,2002 - 2003,20,9.6,0.48,,,,,,,,,,,,,,,
,,2003 - 2004,26,9.8,0.38,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,29,16.3,0.56,,,,,,,,,
,,2005 - 2006,,,,,,,38,24,0.63,,,,,,,,,
,,2006 - 2007,,,,,,,53,38.6,0.73,,,,,,,,,
,,2007 - 2008,,,,,,,40,31.1,0.78,,,,,,,,,
,,2008 - 2009,,,,,,,42,22.5,0.54,,,,,,,,,
,,2009 - 2010,,,,,,,11,7.8,0.71,,,,,,,,,
,,2010 - 2011,,,,,,,36,26.4,0.73,,,,,,,,,
,,2011 - 2012,,,,,,,43,29.8,0.69,,,,,,,,,
,,2012 - 2013,,,,,,,15,13.4,0.89,,,,,,,,,
,,2021 - 2022,,,,,,,37,26.7,0.72,,,,,,,,,
,6. Deogarh,2000 - 2001,7,2.1,0.3,,,,,,,,,,,,,,,
,,2001 - 2002,18,8,0.44,,,,,,,,,,,,,,,
,,2002 - 2003,1,0.3,0.3,,,,,,,,,,,,,,,
,,2003 - 2004,1,0.2,0.2,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,,,,1,,0
,,2006 - 2007,,,,,,,,,,,,,,,,1,0.5,0.5
,,2007 - 2008,,,,,,,1,0.2,0.2,,,,,,,,,
,,2010 - 2011,,,,,,,1,0.4,0.4,,,,,,,,,
,,2016 - 2017,,,,,,,21,9.9,0.47,,,,,,,,,
,7. Dhenkanal,2000 - 2001,67,20.7,0.31,,,,,,,,,,,,,,,
,,2001 - 2002,25,11.4,0.46,,,,,,,,,,,,,,,
,,2002 - 2003,6,2.5,0.42,,,,,,,,,,,,,,,
,,2003 - 2004,26,13.5,0.52,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,13,5.2,0.4,,,,,,,,,
,,2005 - 2006,,,,,,,5,1.8,0.36,,,,,,,,,
,,2006 - 2007,,,,,,,6,2.9,0.48,,,,,,,,,
,,2007 - 2008,,,,,,,13,8.5,0.65,,,,,,,,,
,,2008 - 2009,,,,,,,21,10.6,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,6,2.6,0.43,,,,,,,,,
,,2010 - 2011,,,,,,,1,0.6,0.6,,,,,,,,,
,,2011 - 2012,,,,,,,2,0.9,0.45,,,,,,,,,
,,2012 - 2013,,,,,,,1,0.8,0.8,,,,,,,,,
,,2013 - 2014,,,,,,,1,0.4,0.4,,,,,,,,,
,,2015 - 2016,,,,,,,2,1.1,0.55,,,,,,,,,
,,2016 - 2017,,,,,,,1,0.6,0.6,,,,,,,,,
,,2020 - 2021,,,,,,,3,1.3,0.43,,,,,,,,,
,,2021 - 2022,,,,,,,7,4.7,0.67,,,,,,,,,
,,2022 - 2023,,,,,,,16,9.6,0.6,28,22.1,0.79,,,,,,
,8. Gajapati,2000 - 2001,"3,888.00","3,343.10",0.86,,,,,,,,,,,,,,,
,,2001 - 2002,"3,879.00","3,291.70",0.85,,,,,,,,,,,,,,,
,,2002 - 2003,"3,280.00","2,495.80",0.76,,,,,,,,,,,,,,,
,,2003 - 2004,"2,418.00","1,719.70",0.71,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"2,912.00","2,425.70",0.83,13,6.4,0.49,,,,4,2.6,0.65
,,2005 - 2006,,,,,,,"2,535.00","1,898.70",0.75,14,8,0.57,,,,54,26.5,0.49
,,2006 - 2007,,,,,,,"2,343.00","1,661.20",0.71,10,5.7,0.57,,,,59,31.2,0.53
,,2007 - 2008,,,,,,,"2,133.00","1,608.30",0.75,43,26.9,0.63,,,,75,37.7,0.5
,,2008 - 2009,,,,,,,"1,524.00","1,106.40",0.73,18,10.8,0.6,,,,81,43.3,0.53
,,2009 - 2010,,,,,,,"1,756.00","1,317.00",0.75,9,4.6,0.51,,,,48,27.6,0.58
,,2010 - 2011,,,,,,,"1,626.00","1,308.90",0.8,39,27.6,0.71,,,,13,9.3,0.72
,,2011 - 2012,,,,,,,"1,320.00","1,145.80",0.87,26,18.3,0.7,,,,31,10.6,0.34
,,2012 - 2013,,,,,,,"1,018.00",798.1,0.78,26,17.8,0.68,,,,2,1.7,0.85
,,2013 - 2014,,,,,,,"1,060.00",813,0.77,7,5.2,0.74,,,,1,0.8,0.8
,,2014 - 2015,,,,,,,864,620.4,0.72,11,6.9,0.63,,,,11,8.1,0.74
,,2015 - 2016,,,,,,,727,592.5,0.81,15,10.5,0.7,,,,64,36.9,0.58
,,2016 - 2017,,,,,,,912,729.6,0.8,2,1.4,0.7,,,,36,29.8,0.83
,,2017 - 2018,,,,,,,627,572.5,0.91,13,11.7,0.9,,,,1,0.7,0.7
,,2018 - 2019,,,,,,,583,453.6,0.78,4,3.3,0.83,,,,16,14.3,0.89
,,2019 - 2020,,,,,,,"1,118.00",935.8,0.84,14,7.4,0.53,,,,24,21.6,0.9
,,2020 - 2021,,,,,,,524,483.1,0.92,5,3.3,0.66,,,,,,
,,2021 - 2022,,,,,,,"1,336.00","1,322.60",0.99,23,22.4,0.97,,,,35,37.8,1.08
,,2022 - 2023,,,,,,,"1,093.00","1,023.00",0.94,44,50.8,1.15,,,,,,
,9. Ganjam,2000 - 2001,"7,409.00","6,433.90",0.87,,,,,,,,,,,,,,,
,,2001 - 2002,"4,501.00","3,945.80",0.88,,,,,,,,,,,,,,,
,,2002 - 2003,"4,625.00","3,670.90",0.79,,,,,,,,,,,,,,,
,,2003 - 2004,"4,882.00","4,166.50",0.85,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"4,281.00","3,651.70",0.85,123,108.4,0.88,,,,42,32.9,0.78
,,2005 - 2006,,,,,,,"5,043.00","4,215.90",0.84,131,116.5,0.89,,,,139,132.2,0.95
,,2006 - 2007,,,,,,,"3,939.00","3,513.60",0.89,107,96.5,0.9,,,,62,59.9,0.97
,,2007 - 2008,,,,,,,"3,750.00","3,510.00",0.94,178,184.2,1.03,,,,49,45.7,0.93
,,2008 - 2009,,,,,,,"3,815.00","3,685.30",0.97,130,115.8,0.89,,,,19,23.5,1.24
,,2009 - 2010,,,,,,,"3,528.00","3,503.30",0.99,71,73.1,1.03,,,,10,12.8,1.28
,,2010 - 2011,,,,,,,"4,258.00","4,219.70",0.99,68,68.1,1,,,,14,18.6,1.33
,,2011 - 2012,,,,,,,"2,816.00","2,466.80",0.88,6,4.7,0.78,,,,,,
,,2012 - 2013,,,,,,,"1,927.00","1,817.20",0.94,13,15.5,1.19,,,,10,12.2,1.22
,,2013 - 2014,,,,,,,"1,761.00","1,354.20",0.77,36,38.5,1.07,,,,6,9,1.5
,,2014 - 2015,,,,,,,"2,041.00","1,894.00",0.93,109,102.2,0.94,,,,,,
,,2015 - 2016,,,,,,,"1,203.00","1,140.40",0.95,136,150.7,1.11,,,,29,42.1,1.45
,,2016 - 2017,,,,,,,"1,015.00","1,006.90",0.99,14,9.9,0.71,,,,11,18,1.64
,,2017 - 2018,,,,,,,242,264.5,1.09,6,5,0.83,,,,17,16.4,0.96
,,2018 - 2019,,,,,,,560,511.8,0.91,5,4.4,0.88,,,,,,
,,2019 - 2020,,,,,,,494,419.4,0.85,1,0.7,0.7,,,,,,
,,2020 - 2021,,,,,,,745,775.5,1.04,190,170.6,0.9,,,,,,
,,2021 - 2022,,,,,,,"1,568.00","1,359.50",0.87,82,84.4,1.03,,,,,,
,,2022 - 2023,,,,,,,"1,276.00","1,272.20",1,137,141.7,1.03,,,,141,155,1.1
,10. Jagatsinghapur,2003 - 2004,1,0.5,0.5,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,1,0.6,0.6,,,,,,
,,2007 - 2008,,,,,,,,,,1,1.1,1.1,,,,,,
,,2008 - 2009,,,,,,,,,,1,1.1,1.1,,,,,,
,,2014 - 2015,,,,,,,,,,,,,,,,1,0.6,0.6
,11. Jharsuguda,2000 - 2001,4,1,0.25,,,,,,,,,,,,,,,
,,2001 - 2002,2,0.5,0.25,,,,,,,,,,,,,,,
,,2002 - 2003,1,,0,,,,,,,,,,,,,,,
,,2003 - 2004,1,0.2,0.2,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,2,0.9,0.45,,,,,,,,,
,,2006 - 2007,,,,,,,1,0.8,0.8,,,,,,,,,
,,2007 - 2008,,,,,,,2,0.8,0.4,,,,,,,,,
,,2008 - 2009,,,,,,,3,1.9,0.63,,,,,,,,,
,,2009 - 2010,,,,,,,1,0.5,0.5,,,,,,,1,0.5,0.5
,,2010 - 2011,,,,,,,2,0.8,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,2,0.9,0.45,,,,,,,,,
,,2017 - 2018,,,,,,,12,2,0.17,1,0.1,0.1,,,,,,
,,2021 - 2022,,,,,,,6,3.1,0.52,,,,,,,,,
,,2022 - 2023,,,,,,,107,75.8,0.71,,,,,,,22,12.9,0.59
,12. Kalahandi,2000 - 2001,"3,105.00","1,322.80",0.43,,,,,,,,,,,,,,,
,,2001 - 2002,"2,519.00","1,027.10",0.41,,,,,,,,,,,,,,,
,,2002 - 2003,"1,987.00",577.3,0.29,,,,,,,,,,,,,,,
,,2003 - 2004,"2,749.00","1,113.40",0.41,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,605,295.8,0.49,14,0.6,0.04,,,,"1,138.00",454.1,0.4
,,2005 - 2006,,,,,,,731,276.3,0.38,,,,,,,"1,577.00",651.3,0.41
,,2006 - 2007,,,,,,,751,316.2,0.42,,,,,,,831,338.2,0.41
,,2007 - 2008,,,,,,,930,401.8,0.43,,,,,,,830,342.8,0.41
,,2008 - 2009,,,,,,,712,329.7,0.46,,,,,,,538,249.1,0.46
,,2009 - 2010,,,,,,,622,293.6,0.47,,,,,,,807,429.3,0.53
,,2010 - 2011,,,,,,,732,420.2,0.57,,,,,,,823,363.8,0.44
,,2011 - 2012,,,,,,,391,176,0.45,,,,,,,816,283.2,0.35
,,2012 - 2013,,,,,,,417,219.8,0.53,,,,,,,825,386.9,0.47
,,2013 - 2014,,,,,,,383,183.8,0.48,,,,,,,766,402.9,0.53
,,2014 - 2015,,,,,,,412,208.9,0.51,,,,,,,564,277.5,0.49
,,2015 - 2016,,,,,,,318,98.3,0.31,,,,,,,696,254.7,0.37
,,2016 - 2017,,,,,,,"1,339.00",664.1,0.5,,,,,,,532,296.3,0.56
,,2017 - 2018,,,,,,,452,259.9,0.58,,,,,,,671,348.2,0.52
,,2018 - 2019,,,,,,,93,29.9,0.32,,,,,,,"1,252.00",743.7,0.59
,,2019 - 2020,,,,,,,14,8.1,0.58,,,,,,,"1,044.00",484.4,0.46
,,2020 - 2021,,,,,,,133,46.8,0.35,,,,,,,"1,576.00","1,123.70",0.71
,,2021 - 2022,,,,,,,67,23.1,0.34,,,,,,,"1,423.00","1,044.50",0.73
,,2022 - 2023,,,,,,,177,98.8,0.56,,,,,,,906,414.9,0.46
,13. Kandhamal,2000 - 2001,275,120.8,0.44,,,,,,,,,,,,,,,
,,2001 - 2002,181,70.2,0.39,,,,,,,,,,,,,,,
,,2002 - 2003,133,46.1,0.35,,,,,,,,,,,,,,,
,,2003 - 2004,79,24.2,0.31,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,77,40.7,0.53,1,2.9,2.9,,,,41,13.3,0.32
,,2005 - 2006,,,,,,,63,27.5,0.44,2,0.7,0.35,,,,32,10.2,0.32
,,2006 - 2007,,,,,,,72,31.5,0.44,,,,,,,61,19.9,0.33
,,2007 - 2008,,,,,,,54,17.6,0.33,,,,,,,30,11.9,0.4
,,2008 - 2009,,,,,,,74,22.9,0.31,,,,,,,15,4.5,0.3
,,2009 - 2010,,,,,,,61,21.7,0.36,1,0.6,0.6,,,,2,0.8,0.4
,,2010 - 2011,,,,,,,17,7.7,0.45,,,,,,,27,7.9,0.29
,,2011 - 2012,,,,,,,19,7.5,0.39,,,,,,,10,4.7,0.47
,,2012 - 2013,,,,,,,18,11,0.61,,,,,,,8,2.8,0.35
,,2013 - 2014,,,,,,,18,11.8,0.66,,,,,,,,,
,,2014 - 2015,,,,,,,13,7.7,0.59,,,,,,,,,
,,2015 - 2016,,,,,,,26,9.7,0.37,,,,,,,2,0.2,0.1
,,2016 - 2017,,,,,,,,,,2,1.1,0.55,,,,11,6.2,0.56
,,2017 - 2018,,,,,,,,,,,,,,,,2,0.5,0.25
,,2018 - 2019,,,,,,,,,,,,,,,,1,0.2,0.2
,,2020 - 2021,,,,,,,,,,,,,,,,26,5.4,0.21
,,2021 - 2022,,,,,,,,,,,,,,,,233,82.7,0.35
,,2022 - 2023,,,,,,,,,,3,1.3,0.43,,,,434,289.9,0.67
,14. Kendrapara,2000 - 2001,2,0.8,0.4,,,,,,,,,,,,,,,
,,2002 - 2003,2,0.8,0.4,,,,,,,,,,,,,,,
,,2022 - 2023,,,,,,,1,0.3,0.3,,,,,,,,,
,15. Kendujhar,2000 - 2001,5,1.4,0.28,,,,,,,,,,,,,,,
,,2001 - 2002,16,15.2,0.95,,,,,,,,,,,,,,,
,,2002 - 2003,31,24.6,0.79,,,,,,,,,,,,,,,
,,2003 - 2004,5,4,0.8,,,,,,,,,,,,,,,
,,2005 - 2006,,,,,,,6,2,0.33,,,,,,,,,
,,2006 - 2007,,,,,,,3,3.1,1.03,,,,,,,,,
,,2016 - 2017,,,,,,,,,,,,,,,,8,2.6,0.33
,,2019 - 2020,,,,,,,2,0.4,0.2,1,0.4,0.4,,,,,,
,,2020 - 2021,,,,,,,,,,,,,,,,12,6.8,0.57
,,2021 - 2022,,,,,,,61,11.5,0.19,,,,,,,58,40.4,0.7
,,2022 - 2023,,,,,,,1,0.3,0.3,29,15.7,0.54,,,,383,278.1,0.73
,16. Khordha,2000 - 2001,497,284.4,0.57,,,,,,,,,,,,,,,
,,2001 - 2002,148,47.5,0.32,,,,,,,,,,,,,,,
