State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,15,6,0.4,,,,,,
,,2002 - 2003,14,6,0.43,,,,,,
,,2003 - 2004,15,6,0.4,,,,,,
,,2004 - 2005,18,7,0.39,,,,,,
,,2005 - 2006,13,5,0.38,,,,,,
,,2006 - 2007,11,5,0.45,,,,,,
,,2007 - 2008,11,5,0.45,,,,,,
,,2008 - 2009,17,6,0.35,,,,,,
,,2009 - 2010,15,6,0.4,,,,,,
,,2010 - 2011,23,9,0.39,,,,,,
,,2011 - 2012,14,6,0.43,,,,,,
,,2012 - 2013,19,9,0.47,,,,,,
,,2013 - 2014,18,9,0.5,,,,,,
,,2014 - 2015,15,8,0.53,,,,,,
,,2015 - 2016,15,8,0.53,,,,,,
,,2016 - 2017,16,9,0.56,,,,,,
,,2017 - 2018,25,13,0.52,,,,,,
,,2018 - 2019,29,15,0.52,,,,,,
,,2019 - 2020,29,16,0.55,,,,,,
,,2020 - 2021,17,10,0.59,,,,,,
,,2021 - 2022,16,9,0.56,,,,,,
,,2022 - 2023,17,9,0.53,,,,,,
,16. Kamrup,2000 - 2001,200,64,0.32,,,,,,
