State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,,,,"5,862.00","9,140.00",1.56,,,,,,,,,,,,
,,2012 - 2013,,,,"5,703.00","10,574.00",1.85,,,,,,,,,,,,
,,2013 - 2014,,,,"5,563.00","12,224.00",2.2,,,,,,,,,,,,
,,2014 - 2015,,,,"5,630.00","10,554.00",1.87,,,,,,,,,,,,
,,2015 - 2016,,,,"5,451.00","8,728.00",1.6,,,,,,,,,,,,
,,2016 - 2017,,,,"5,572.00","13,245.00",2.38,,,,,,,,,,,,
,,2017 - 2018,,,,"5,435.00","13,679.00",2.52,,,,,,,,,,,,
,,2018 - 2019,,,,"5,257.00","11,640.00",2.21,,,,,,,,,,,,
,,2019 - 2020,,,,"5,587.00","16,938.00",3.03,,,,,,,,,,,,
,,2020 - 2021,,,,"5,796.00","16,975.00",2.93,,,,,,,,,,,,
,,2021 - 2022,,,,"5,852.00","15,652.00",2.67,,,,,,,,,,,,
,,2022 - 2023,,,,"8,729.00","25,930.00",2.97,,,,,,,,,,,,
,15. Kabirdham,2000 - 2001,,,,"3,302.00","2,187.00",0.66,,,,,,,,,,,,
,,2001 - 2002,,,,"3,191.00","2,191.00",0.69,,,,,,,,,,,,
,,2002 - 2003,,,,"3,042.00","4,373.00",1.44,,,,,,,,,,,,
,,2003 - 2004,,,,"2,880.00","2,662.00",0.92,,,,,,,,,,,,
,,2004 - 2005,,,,"2,822.00","3,210.00",1.14,,,,,,,,,,,,
,,2005 - 2006,,,,"2,815.00","2,568.00",0.91,,,,,,,,,,,,
,,2006 - 2007,,,,"2,699.00","2,519.00",0.93,,,,,,,,,,,,
,,2007 - 2008,,,,"2,648.00","2,860.00",1.08,,,,,,,,,,,,
,,2008 - 2009,,,,"2,715.00","2,686.00",0.99,,,,,,,,,,,,
,,2009 - 2010,,,,"2,584.00","3,028.00",1.17,,,,,,,,,,,,
,,2010 - 2011,,,,"2,773.00","3,982.00",1.44,,,,,,,,,,,,
,,2011 - 2012,,,,"2,829.00","3,665.00",1.3,,,,,,,,,,,,
,,2012 - 2013,,,,"2,166.00","3,338.00",1.54,,,,,,,,,,,,
,,2013 - 2014,,,,"2,589.00","5,071.00",1.96,,,,,,,,,,,,
,,2014 - 2015,,,,"2,551.00","3,840.00",1.51,,,,,,,,,,,,
,,2015 - 2016,,,,"2,290.00","3,497.00",1.53,,,,,,,,,,,,
,,2016 - 2017,,,,"1,896.00","3,270.00",1.72,,,,,,,,,,,,
,,2017 - 2018,,,,"2,215.00","3,977.00",1.8,,,,,,,,,,,,
,,2018 - 2019,,,,"1,746.00","2,375.00",1.36,,,,,,,,,,,,
,,2019 - 2020,,,,"1,427.00","2,895.00",2.03,,,,,,,,,,,,
,,2020 - 2021,,,,"1,483.00","3,085.00",2.08,,,,,,,,,,,,
,,2021 - 2022,,,,"1,468.00","3,630.00",2.47,,,,,,,,,,,,
,,2022 - 2023,,,,"1,381.00","3,793.00",2.75,,,,,,,,,,,,
,16. Kanker,2000 - 2001,,,,"3,305.00","4,501.00",1.36,,,,,,,,,,,,
,,2001 - 2002,,,,"3,806.00","3,698.00",0.97,,,,,,,,,,,,
,,2002 - 2003,,,,"3,928.00","3,633.00",0.92,,,,,,,,,,,,
,,2003 - 2004,,,,"7,031.00","11,392.00",1.62,,,,,,,,,,,,
,,2004 - 2005,,,,"6,833.00","10,552.00",1.54,,,,,,,,,,,,
,,2005 - 2006,,,,"7,348.00","11,929.00",1.62,,,,,,,,,,,,
,,2006 - 2007,,,,"8,044.00","11,787.00",1.47,,,,,,,,,,,,
,,2007 - 2008,,,,"8,235.00","16,293.00",1.98,,,,,,,,,,,,
,,2008 - 2009,,,,"8,235.00","14,918.00",1.81,,,,,,,,,,,,
,,2009 - 2010,,,,"8,235.00","15,901.00",1.93,,,,,,,,,,,,
,,2010 - 2011,,,,"9,269.00","18,868.00",2.04,,,,,,,,,,,,
,,2011 - 2012,,,,"10,461.00","21,575.00",2.06,,,,,,,,,,,,
,,2012 - 2013,,,,"10,823.00","20,365.00",1.88,,,,,,,,,,,,
,,2013 - 2014,,,,"11,511.00","25,705.00",2.23,,,,,,,,,,,,
,,2014 - 2015,,,,"11,213.00","22,076.00",1.97,,,,,,,,,,,,
,,2015 - 2016,,,,"10,554.00","20,241.00",1.92,,,,,,,,,,,,
,,2016 - 2017,,,,"10,056.00","28,527.00",2.84,,,,,,,,,,,,
,,2017 - 2018,,,,"9,892.00","26,784.00",2.71,,,,,,,,,,,,
,,2018 - 2019,,,,"9,014.00","28,765.00",3.19,,,,,,,,,,,,
,,2019 - 2020,,,,"10,369.00","34,590.00",3.34,,,,,,,,,,,,
,,2020 - 2021,,,,"9,977.00","44,544.00",4.46,,,,,,,,,,,,
,,2021 - 2022,,,,"8,039.00","31,706.00",3.94,,,,,,,,,,,,
,,2022 - 2023,,,,"5,816.00","22,735.00",3.91,,,,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,,,,188,"3,373.00",17.94,,,,,,,,,,,,
,18. Kondagaon,2011 - 2012,,,,"13,005.00","26,823.00",2.06,,,,,,,,,,,,
,,2012 - 2013,,,,"13,100.00","26,408.00",2.02,,,,,,,,,,,,
,,2013 - 2014,,,,"13,586.00","31,831.00",2.34,,,,,,,,,,,,
,,2014 - 2015,,,,"13,934.00","27,892.00",2,,,,,,,,,,,,
,,2015 - 2016,,,,"13,796.00","33,596.00",2.44,,,,,,,,,,,,
,,2016 - 2017,,,,"15,073.00","44,507.00",2.95,,,,,,,,,,,,
,,2017 - 2018,,,,"15,479.00","45,207.00",2.92,,,,,,,,,,,,
,,2018 - 2019,,,,"15,859.00","45,154.00",2.85,,,,,,,,,,,,
,,2019 - 2020,,,,"16,566.00","62,307.00",3.76,,,,,,,,,,,,
,,2020 - 2021,,,,"18,141.00","81,424.00",4.49,,,,,,,,,,,,
,,2021 - 2022,,,,"17,884.00","70,905.00",3.96,,,,,,,,,,,,
,,2022 - 2023,,,,"17,603.00","77,516.00",4.4,,,,,,,,,,,,
,19. Korba,2000 - 2001,,,,"4,902.00","5,181.00",1.06,,,,,,,,,,,,
,,2001 - 2002,,,,"4,942.00","3,540.00",0.72,,,,,,,,,,,,
,,2002 - 2003,,,,"4,839.00","5,928.00",1.23,,,,,,,,,,,,
,,2003 - 2004,,,,"4,902.00","6,070.00",1.24,,,,,,,,,,,,
,,2004 - 2005,,,,"4,865.00","6,413.00",1.32,,,,,,,,,,,,
,,2005 - 2006,,,,"4,801.00","4,794.00",1,,,,,,,,,,,,
,,2006 - 2007,,,,"4,769.00","4,772.00",1,,,,,,,,,,,,
,,2007 - 2008,,,,"4,689.00","6,787.00",1.45,,,,,,,,,,,,
,,2008 - 2009,,,,"4,832.00","5,230.00",1.08,,,,,,,,,,,,
,,2009 - 2010,,,,"4,703.00","6,152.00",1.31,,,,,,,,,,,,
,,2010 - 2011,,,,"4,666.00","6,860.00",1.47,,,,,,,,,,,,
,,2011 - 2012,,,,"4,632.00","6,367.00",1.37,,,,,,,,,,,,
,,2012 - 2013,,,,"4,609.00","8,459.00",1.84,,,,,,,,,,,,
,,2013 - 2014,,,,"4,630.00","7,233.00",1.56,,,,,,,,,,,,
,,2014 - 2015,,,,"4,573.00","7,686.00",1.68,,,,,,,,,,,,
,,2015 - 2016,,,,"4,453.00","5,568.00",1.25,,,,,,,,,,,,
,,2016 - 2017,,,,"4,180.00","8,591.00",2.06,,,,,,,,,,,,
,,2017 - 2018,,,,"4,082.00","8,735.00",2.14,,,,,,,,,,,,
,,2018 - 2019,,,,"3,355.00","6,095.00",1.82,,,,,,,,,,,,
,,2019 - 2020,,,,"3,026.00","6,705.00",2.22,,,,,,,,,,,,
,,2020 - 2021,,,,"2,740.00","6,168.00",2.25,,,,,,,,,,,,
,,2021 - 2022,,,,"2,500.00","5,785.00",2.31,,,,,,,,,,,,
,,2022 - 2023,,,,"2,321.00","5,500.00",2.37,,,,,,,,,,,,
,20. Korea,2000 - 2001,,,,"8,232.00","11,127.00",1.35,,,,,,,,,,,,
,,2001 - 2002,,,,"8,550.00","7,088.00",0.83,,,,,,,,,,,,
,,2002 - 2003,,,,"8,304.00","10,322.00",1.24,,,,,,,,,,,,
,,2003 - 2004,,,,"8,546.00","11,278.00",1.32,,,,,,,,,,,,
,,2004 - 2005,,,,"8,493.00","9,915.00",1.17,,,,,,,,,,,,
,,2005 - 2006,,,,"8,411.00","7,654.00",0.91,,,,,,,,,,,,
,,2006 - 2007,,,,"8,461.00","9,308.00",1.1,,,,,,,,,,,,
,,2007 - 2008,,,,"8,513.00","11,047.00",1.3,,,,,,,,,,,,
,,2008 - 2009,,,,"8,421.00","11,325.00",1.34,,,,,,,,,,,,
,,2009 - 2010,,,,"8,123.00","9,274.00",1.14,,,,,,,,,,,,
,,2010 - 2011,,,,"8,192.00","13,334.00",1.63,,,,,,,,,,,,
,,2011 - 2012,,,,"8,061.00","11,246.00",1.4,,,,,,,,,,,,
,,2012 - 2013,,,,"8,085.00","14,591.00",1.8,,,,,,,,,,,,
,,2013 - 2014,,,,"8,148.00","14,470.00",1.78,,,,,,,,,,,,
,,2014 - 2015,,,,"8,058.00","13,743.00",1.71,,,,,,,,,,,,
,,2015 - 2016,,,,"7,347.00","13,832.00",1.88,,,,,,,,,,,,
,,2016 - 2017,,,,"7,696.00","15,387.00",2,,,,,,,,,,,,
,,2017 - 2018,,,,"7,553.00","18,249.00",2.42,,,,,,,,,,,,
,,2018 - 2019,,,,"7,237.00","13,453.00",1.86,,,,,,,,,,,,
,,2019 - 2020,,,,"6,521.00","15,055.00",2.31,,,,,,,,,,,,
,,2020 - 2021,,,,"5,307.00","11,256.00",2.12,,,,,,,,,,,,
,,2021 - 2022,,,,"4,701.00","12,445.00",2.65,,,,,,,,,,,,
,,2022 - 2023,,,,"2,170.00","6,381.00",2.94,,,,,,,,,,,,
,21. Mahasamund,2000 - 2001,,,,136,149,1.1,,,,,,,,,,,,
,,2001 - 2002,,,,122,93,0.76,,,,,,,,,,,,
,,2002 - 2003,,,,187,309,1.65,,,,,,,,,,,,
,,2003 - 2004,,,,161,101,0.63,,,,,,,,,,,,
,,2004 - 2005,,,,167,167,1,,,,,,,,,,,,
,,2005 - 2006,,,,207,183,0.88,,,,,,,,,,,,
,,2006 - 2007,,,,137,130,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,148,180,1.22,,,,,,,,,,,,
,,2008 - 2009,,,,122,117,0.96,,,,,,,,,,,,
,,2009 - 2010,,,,122,149,1.22,,,,,,,,,,,,
,,2010 - 2011,,,,113,177,1.57,,,,,,,,,,,,
,,2011 - 2012,,,,105,141,1.34,,,,,,,,,,,,
,,2012 - 2013,,,,112,179,1.6,,,,,,,,,,,,
,,2013 - 2014,,,,109,191,1.75,,,,,,,,,,,,
,,2014 - 2015,,,,117,183,1.56,,,,,,,,,,,,
,,2015 - 2016,,,,107,170,1.59,,,,,,,,,,,,
,,2016 - 2017,,,,94,183,1.95,,,,,,,,,,,,
,,2017 - 2018,,,,161,274,1.7,,,,,,,,,,,,
,,2018 - 2019,,,,104,196,1.88,,,,,,,,,,,,
,,2019 - 2020,,,,117,270,2.31,,,,,,,,,,,,
,,2020 - 2021,,,,94,225,2.39,,,,,,,,,,,,
,,2021 - 2022,,,,89,190,2.13,,,,,,,,,,,,
,,2022 - 2023,,,,67,158,2.36,,,,,,,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,,,,"2,205.00","6,483.00",2.94,,,,,,,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,,,,"1,860.00","7,193.00",3.87,,,,,,,,,,,,
,24. Mungeli,2011 - 2012,,,,200,275,1.38,,,,,,,,,,,,
,,2012 - 2013,,,,201,357,1.78,,,,,,,,,,,,
,,2013 - 2014,,,,183,343,1.87,,,,,,,,,,,,
,,2014 - 2015,,,,181,329,1.82,,,,,,,,,,,,
,,2015 - 2016,,,,165,255,1.55,,,,,,,,,,,,
,,2016 - 2017,,,,196,209,1.07,,,,,,,,,,,,
,,2017 - 2018,,,,88,178,2.02,,,,,,,,,,,,
,,2018 - 2019,,,,44,97,2.2,,,,,,,,,,,,
,,2019 - 2020,,,,53,138,2.6,,,,,,,,,,,,
,,2020 - 2021,,,,43,97,2.26,,,,,,,,,,,,
,,2021 - 2022,,,,58,117,2.02,,,,,,,,,,,,
,,2022 - 2023,,,,21,47,2.24,,,,,,,,,,,,
,25. Narayanpur,2006 - 2007,,,,"1,211.00",,0,,,,,,,,,,,,
,,2007 - 2008,,,,"1,004.00","1,788.00",1.78,,,,,,,,,,,,
,,2008 - 2009,,,,"1,006.00","1,613.00",1.6,,,,,,,,,,,,
,,2009 - 2010,,,,957,"1,760.00",1.84,,,,,,,,,,,,
,,2010 - 2011,,,,"3,254.00","6,525.00",2.01,,,,,,,,,,,,
,,2011 - 2012,,,,"1,090.00","2,248.00",2.06,,,,,,,,,,,,
,,2012 - 2013,,,,"1,133.00","2,664.00",2.35,,,,,,,,,,,,
,,2013 - 2014,,,,"1,177.00","2,759.00",2.34,,,,,,,,,,,,
,,2014 - 2015,,,,"1,202.00","2,406.00",2,,,,,,,,,,,,
,,2015 - 2016,,,,"1,065.00","1,617.00",1.52,,,,,,,,,,,,
,,2016 - 2017,,,,"1,051.00","3,481.00",3.31,,,,,,,,,,,,
,,2017 - 2018,,,,"1,175.00","3,347.00",2.85,,,,,,,,,,,,
,,2018 - 2019,,,,"1,019.00","2,737.00",2.69,,,,,,,,,,,,
,,2019 - 2020,,,,955,"3,233.00",3.39,,,,,,,,,,,,
,,2020 - 2021,,,,"1,015.00","3,409.00",3.36,,,,,,,,,,,,
,,2021 - 2022,,,,723,"2,218.00",3.07,,,,,,,,,,,,
,,2022 - 2023,,,,630,"2,077.00",3.3,,,,,,,,,,,,
,26. Raigarh,2000 - 2001,,,,901,"1,059.00",1.18,,,,,,,,,,,,
,,2001 - 2002,,,,915,730,0.8,,,,,,,,,,,,
,,2002 - 2003,,,,996,"1,384.00",1.39,,,,,,,,,,,,
,,2003 - 2004,,,,984,"1,267.00",1.29,,,,,,,,,,,,
,,2004 - 2005,,,,980,"1,331.00",1.36,,,,,,,,,,,,
,,2005 - 2006,,,,"1,017.00","1,387.00",1.36,,,,,,,,,,,,
,,2006 - 2007,,,,"1,015.00","1,416.00",1.4,,,,,,,,,,,,
,,2007 - 2008,,,,"1,021.00","1,677.00",1.64,,,,,,,,,,,,
,,2008 - 2009,,,,"1,008.00","1,515.00",1.5,,,,,,,,,,,,
,,2009 - 2010,,,,967,"1,234.00",1.28,,,,,,,,,,,,
,,2010 - 2011,,,,970,"1,764.00",1.82,,,,,,,,,,,,
,,2011 - 2012,,,,984,"1,534.00",1.56,,,,,,,,,,,,
,,2012 - 2013,,,,632,"1,274.00",2.02,,,,,,,,,,,,
,,2013 - 2014,,,,990,"2,105.00",2.13,,,,,,,,,,,,
,,2014 - 2015,,,,924,"1,907.00",2.06,,,,,,,,,,,,
,,2015 - 2016,,,,"1,054.00","2,213.00",2.1,,,,,,,,,,,,
,,2016 - 2017,,,,887,"2,189.00",2.47,,,,,,,,,,,,
,,2017 - 2018,,,,856,"2,129.00",2.49,,,,,,,,,,,,
,,2018 - 2019,,,,855,"2,035.00",2.38,,,,,,,,,,,,
,,2019 - 2020,,,,"1,131.00","3,178.00",2.81,,,,,,,,,,,,
,,2020 - 2021,,,,"1,419.00","4,959.00",3.49,,,,,,,,,,,,
,,2021 - 2022,,,,"1,396.00","4,374.00",3.13,,,,,,,,,,,,
,,2022 - 2023,,,,"1,404.00","5,104.00",3.64,,,,,,,,,,,,
,27. Raipur,2000 - 2001,,,,585,556,0.95,,,,,,,,,,,,
,,2001 - 2002,,,,611,352,0.58,,,,,,,,,,,,
,,2002 - 2003,,,,676,764,1.13,,,,,,,,,,,,
,,2003 - 2004,,,,"1,670.00","1,582.00",0.95,,,,,,,,,,,,
,,2004 - 2005,,,,780,825,1.06,,,,,,,,,,,,
,,2005 - 2006,,,,"2,113.00","1,864.00",0.88,,,,,,,,,,,,
,,2006 - 2007,,,,"2,253.00","2,195.00",0.97,,,,,,,,,,,,
,,2007 - 2008,,,,"2,189.00","2,468.00",1.13,,,,,,,,,,,,
,,2008 - 2009,,,,960,"1,028.00",1.07,,,,,,,,,,,,
,,2009 - 2010,,,,840,"1,046.00",1.25,,,,,,,,,,,,
,,2010 - 2011,,,,787,"1,002.00",1.27,,,,,,,,,,,,
,,2011 - 2012,,,,89,97,1.09,,,,,,,,,,,,
,,2012 - 2013,,,,190,306,1.61,,,,,,,,,,,,
,,2013 - 2014,,,,218,411,1.89,,,,,,,,,,,,
,,2014 - 2015,,,,574,975,1.7,,,,,,,,,,,,
,,2015 - 2016,,,,436,651,1.49,,,,,,,,,,,,
,,2016 - 2017,,,,380,698,1.84,,,,,,,,,,,,
,,2017 - 2018,,,,402,771,1.92,,,,,,,,,,,,
,,2018 - 2019,,,,559,"1,241.00",2.22,,,,,,,,,,,,
,,2019 - 2020,,,,422,"1,141.00",2.7,,,,,,,,,,,,
,,2020 - 2021,,,,315,"1,175.00",3.73,,,,,,,,,,,,
,,2021 - 2022,,,,408,"1,345.00",3.3,,,,,,,,,,,,
,,2022 - 2023,,,,349,"1,279.00",3.66,,,,,,,,,,,,
,28. Rajnandgaon,2000 - 2001,,,,"1,315.00","1,320.00",1,,,,,,,,,,,,
,,2001 - 2002,,,,"1,308.00",884,0.68,,,,,,,,,,,,
,,2002 - 2003,,,,"1,284.00","1,408.00",1.1,,,,,,,,,,,,
,,2003 - 2004,,,,"1,071.00","1,168.00",1.09,,,,,,,,,,,,
,,2004 - 2005,,,,"1,042.00","1,319.00",1.27,,,,,,,,,,,,
,,2005 - 2006,,,,"3,002.00","2,958.00",0.99,,,,,,,,,,,,
,,2006 - 2007,,,,"1,150.00","1,267.00",1.1,,,,,,,,,,,,
,,2007 - 2008,,,,"1,110.00","1,415.00",1.27,,,,,,,,,,,,
,,2008 - 2009,,,,"1,205.00","1,168.00",0.97,,,,,,,,,,,,
,,2009 - 2010,,,,"1,122.00",999,0.89,,,,,,,,,,,,
,,2010 - 2011,,,,"1,336.00","1,920.00",1.44,,,,,,,,,,,,
,,2011 - 2012,,,,"1,321.00","1,712.00",1.3,,,,,,,,,,,,
,,2012 - 2013,,,,"1,330.00","2,050.00",1.54,,,,,,,,,,,,
,,2013 - 2014,,,,"1,338.00","2,096.00",1.57,,,,,,,,,,,,
,,2014 - 2015,,,,"1,426.00","2,147.00",1.51,,,,,,,,,,,,
,,2015 - 2016,,,,"7,854.00","11,435.00",1.46,,,,,,,,,,,,
,,2016 - 2017,,,,"6,201.00","12,984.00",2.09,,,,,,,,,,,,
,,2017 - 2018,,,,"6,893.00","13,955.00",2.02,,,,,,,,,,,,
,,2018 - 2019,,,,"5,806.00","11,722.00",2.02,,,,,,,,,,,,
,,2019 - 2020,,,,"3,342.00","7,641.00",2.29,,,,,,,,,,,,
,,2020 - 2021,,,,"2,654.00","10,488.00",3.95,,,,,,,,,,,,
,,2021 - 2022,,,,961,"3,355.00",3.49,,,,,,,,,,,,
,,2022 - 2023,,,,195,765,3.92,,,,,,,,,,,,
,29. Sakti,2022 - 2023,,,,109,381,3.5,,,,,,,,,,,,
,30. Sarangarh bilaigarh,2022 - 2023,,,,69,181,2.62,,,,,,,,,,,,
,31. Sukma,2011 - 2012,,,,"2,532.00","5,222.00",2.06,,,,,,,,,,,,
,,2012 - 2013,,,,"2,606.00","4,990.00",1.91,,,,,,,,,,,,
,,2013 - 2014,,,,"2,640.00","6,765.00",2.56,,,,,,,,,,,,
,,2014 - 2015,,,,"2,899.00","6,278.00",2.17,,,,,,,,,,,,
,,2015 - 2016,,,,"3,052.00","6,656.00",2.18,,,,,,,,,,,,
,,2016 - 2017,,,,"2,885.00","8,171.00",2.83,,,,,,,,,,,,
,,2017 - 2018,,,,"2,732.00","8,056.00",2.95,,,,,,,,,,,,
,,2018 - 2019,,,,"2,546.00","7,424.00",2.92,,,,,,,,,,,,
,,2019 - 2020,,,,"1,551.00","5,866.00",3.78,,,,,,,,,,,,
,,2020 - 2021,,,,"1,360.00","5,687.00",4.18,,,,,,,,,,,,
,,2021 - 2022,,,,"1,364.00","4,897.00",3.59,,,,,,,,,,,,
,,2022 - 2023,,,,"1,273.00","4,774.00",3.75,,,,,,,,,,,,
,32. Surajpur,2011 - 2012,,,,"10,266.00","14,321.00",1.39,,,,,,,,,,,,
,,2012 - 2013,,,,"10,391.00","18,147.00",1.75,,,,,,,,,,,,
,,2013 - 2014,,,,"11,661.00","22,187.00",1.9,,,,,,,,,,,,
,,2014 - 2015,,,,"10,489.00","18,783.00",1.79,,,,,,,,,,,,
,,2015 - 2016,,,,"10,405.00","20,778.00",2,,,,,,,,,,,,
,,2016 - 2017,,,,"10,696.00","20,255.00",1.89,,,,,,,,,,,,
,,2017 - 2018,,,,"10,229.00","24,200.00",2.37,,,,,,,,,,,,
,,2018 - 2019,,,,"9,723.00","24,855.00",2.56,,,,,,,,,,,,
,,2019 - 2020,,,,"10,499.00","33,662.00",3.21,,,,,,,,,,,,
,,2020 - 2021,,,,"13,041.00","27,475.00",2.11,,,,,,,,,,,,
,,2021 - 2022,,,,"11,191.00","33,318.00",2.98,,,,,,,,,,,,
,,2022 - 2023,,,,"10,237.00","31,972.00",3.12,,,,,,,,,,,,
,33. Surguja,2000 - 2001,,,,"37,317.00","50,437.00",1.35,,,,,,,,,,,,
,,2001 - 2002,,,,"37,070.00","21,275.00",0.57,,,,,,,,,,,,
,,2002 - 2003,,,,"37,543.00","46,668.00",1.24,,,,,,,,,,,,
,,2003 - 2004,,,,"37,051.00","48,897.00",1.32,,,,,,,,,,,,
,,2004 - 2005,,,,"37,078.00","49,598.00",1.34,,,,,,,,,,,,
,,2005 - 2006,,,,"36,905.00","33,583.00",0.91,,,,,,,,,,,,
,,2006 - 2007,,,,"36,721.00","45,056.00",1.23,,,,,,,,,,,,
,,2007 - 2008,,,,"36,798.00","54,958.00",1.49,,,,,,,,,,,,
,,2008 - 2009,,,,"36,132.00","48,598.00",1.35,,,,,,,,,,,,
,,2009 - 2010,,,,"35,793.00","40,865.00",1.14,,,,,,,,,,,,
,,2010 - 2011,,,,"36,184.00","63,804.00",1.76,,,,,,,,,,,,
,,2011 - 2012,,,,"8,787.00","12,258.00",1.4,,,,,,,,,,,,
,,2012 - 2013,,,,"9,209.00","18,598.00",2.02,,,,,,,,,,,,
,,2013 - 2014,,,,"9,438.00","19,156.00",2.03,,,,,,,,,,,,
,,2014 - 2015,,,,"9,312.00","16,677.00",1.79,,,,,,,,,,,,
,,2015 - 2016,,,,"9,425.00","19,154.00",2.03,,,,,,,,,,,,
,,2016 - 2017,,,,"9,470.00","20,538.00",2.17,,,,,,,,,,,,
,,2017 - 2018,,,,"9,025.00","19,323.00",2.14,,,,,,,,,,,,
,,2018 - 2019,,,,"8,406.00","19,700.00",2.34,,,,,,,,,,,,
,,2019 - 2020,,,,"10,367.00","28,716.00",2.77,,,,,,,,,,,,
,,2020 - 2021,,,,"14,363.00","46,339.00",3.23,,,,,,,,,,,,
,,2021 - 2022,,,,"12,031.00","34,289.00",2.85,,,,,,,,,,,,
,,2022 - 2023,,,,"12,299.00","36,534.00",2.97,,,,,,,,,,,,
8. Dadra and Nagar Haveli,1. Dadra and Nagar Haveli,2000 - 2001,20,20,1,,,,,,,,,,,,,,,
,,2001 - 2002,19,20,1.05,,,,,,,,,,,,,,,
,,2002 - 2003,,,,57,60,1.05,,,,,,,,,,,,
,,2003 - 2004,,,,100,105,1.05,,,,,,,,,,,,
,,2004 - 2005,,,,100,110,1.1,,,,,,,,,,,,
,,2005 - 2006,,,,100,110,1.1,,,,,,,,,,,,
,,2006 - 2007,,,,150,125,0.83,,,,,,,,,,,,
,,2010 - 2011,,,,100,100,1,,,,,,,,,,,,
,,2011 - 2012,,,,75,75,1,,,,,,,35,35,1,,,
,,2012 - 2013,,,,75,75,1,,,,,,,35,35,1,,,
,,2013 - 2014,,,,75,75,1,,,,,,,35,35,1,,,
,,2014 - 2015,,,,75,75,1,,,,,,,35,35,1,,,
,,2015 - 2016,,,,71,71,1,,,,,,,32,28,0.88,,,
,,2016 - 2017,,,,4,4,1,,,,,,,,,,,,
,,2017 - 2018,,,,83,89,1.07,,,,,,,25,30,1.2,,,
,,2018 - 2019,,,,4,4,1,,,,,,,,,,,,
,,2019 - 2020,,,,4,4,1,,,,,,,,,,,,
9. Delhi,1. Delhi_total,2008 - 2009,,,,54,99,1.83,,,,,,,,,,,,
,,2009 - 2010,,,,48,"1,054.00",21.96,,,,,,,,,,,,
,,2010 - 2011,,,,40,878,21.95,,,,,,,,,,,,
,,2011 - 2012,,,,38,843,22.18,,,,,,,,,,,,
,,2012 - 2013,,,,37,828,22.38,,,,,,,,,,,,
,,2013 - 2014,,,,37,828,22.38,,,,,,,,,,,,
,,2014 - 2015,,,,35,783,22.37,,,,,,,,,,,,
,,2015 - 2016,,,,34,174,5.12,,,,,,,,,,,,
,,2016 - 2017,,,,34,174,5.12,,,,,,,,,,,,
,,2017 - 2018,,,,36,174,4.83,,,,,,,,,,,,
,,2018 - 2019,,,,20,102,5.1,,,,,,,,,,,,
,,2019 - 2020,,,,20,102,5.1,,,,,,,,,,,,
10. Gujarat,1. Ahmadabad,2000 - 2001,,,,500,400,0.8,,,,,,,,,,,,
,,2001 - 2002,,,,"1,500.00","3,100.00",2.07,,,,,,,,,,,,
,,2002 - 2003,,,,"2,700.00","4,600.00",1.7,,,,,,,,,,,,
,,2003 - 2004,,,,700,"1,200.00",1.71,,,,,,,,,,,,
,,2005 - 2006,,,,200,300,1.5,,,,,,,,,,,,
,,2009 - 2010,,,,300,300,1,,,,,,,,,,,,
,,2010 - 2011,,,,100,200,2,,,,,,,,,,,,
,,2016 - 2017,,,,30,50,1.67,80,169,2.11,,,,,,,,,
,,2017 - 2018,"1,001.00","2,278.00",2.28,,,,45,95,2.11,,,,,,,,,
,,2019 - 2020,,,,5,7,1.4,,,,,,,,,,,,
,2. Amreli,2000 - 2001,,,,"5,000.00","3,800.00",0.76,,,,,,,,,,,,
,,2001 - 2002,,,,"3,500.00","6,900.00",1.97,,,,,,,,,,,,
,,2002 - 2003,,,,"1,800.00","3,000.00",1.67,,,,,,,,,,,,
,,2003 - 2004,,,,"2,200.00","3,700.00",1.68,,,,,,,,,,,,
,,2004 - 2005,,,,800,800,1,,,,,,,,,,,,
,,2005 - 2006,,,,"1,100.00","1,700.00",1.55,,,,,,,,,,,,
,,2006 - 2007,,,,"1,900.00",600,0.32,,,,,,,,,,,,
,,2007 - 2008,,,,900,"1,200.00",1.33,,,,,,,,,,,,
,,2008 - 2009,,,,600,900,1.5,,,,,,,,,,,,
,,2009 - 2010,,,,"1,200.00","1,200.00",1,,,,,,,,,,,,
,,2010 - 2011,800,"1,500.00",1.88,"1,600.00","2,600.00",1.63,,,,,,,,,,,,
,,2012 - 2013,,,,300,600,2,,,,,,,,,,,,
,,2014 - 2015,,,,,,,150,204,1.36,,,,,,,,,
,,2016 - 2017,,,,,,,258,524,2.03,,,,,,,,,
,,2018 - 2019,,,,106,188,1.77,15,,0,,,,,,,,,
,,2019 - 2020,,,,75,112,1.49,20,46,2.3,,,,,,,,,
