State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,,,,113,216,1.91,,,,,,
,11. Ballia,2001 - 2002,1,2,2,,,,,,,,,
,,2002 - 2003,2,3,1.5,,,,,,,,,
,,2003 - 2004,2,3,1.5,,,,,,,,,
,,2004 - 2005,,,,3,5,1.67,,,,,,
,,2005 - 2006,,,,2,9,4.5,,,,,,
,,2006 - 2007,,,,3,10,3.33,,,,,,
,,2007 - 2008,,,,1,3,3,,,,,,
,,2009 - 2010,,,,1,3,3,,,,,,
,12. Balrampur,2000 - 2001,1,2,2,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2003 - 2004,2,4,2,,,,,,,,,
,13. Barabanki,2000 - 2001,10,17,1.7,,,,,,,,,
,,2001 - 2002,14,25,1.79,,,,,,,,,
,,2003 - 2004,3,5,1.67,,,,,,,,,
,,2004 - 2005,,,,1,2,2,,,,,,
,,2005 - 2006,,,,3,13,4.33,,,,,,
,,2006 - 2007,,,,1,3,3,,,,,,
,,2009 - 2010,,,,3,10,3.33,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,,2013 - 2014,,,,5,14,2.8,,,,,,
,,2014 - 2015,,,,6,17,2.83,,,,,,
,,2015 - 2016,,,,6,7,1.17,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,14. Bareilly,2000 - 2001,22,38,1.73,,,,,,,,,
,,2001 - 2002,16,29,1.81,,,,,,,,,
,,2002 - 2003,30,55,1.83,,,,,,,,,
,,2003 - 2004,17,31,1.82,,,,,,,,,
,,2004 - 2005,,,,38,66,1.74,,,,,,
,,2005 - 2006,,,,13,58,4.46,,,,,,
,,2006 - 2007,,,,18,61,3.39,,,,,,
,,2007 - 2008,,,,14,43,3.07,,,,,,
,,2009 - 2010,,,,11,36,3.27,,,,,,
,,2010 - 2011,,,,31,97,3.13,,,,,,
,,2011 - 2012,,,,124,349,2.81,,,,,,
,,2012 - 2013,,,,62,175,2.82,,,,,,
,,2013 - 2014,,,,40,116,2.9,,,,,,
,,2014 - 2015,,,,41,116,2.83,,,,,,
,,2015 - 2016,,,,116,129,1.11,,,,,,
,,2016 - 2017,,,,55,73,1.33,,,,,,
,,2017 - 2018,,,,36,39,1.08,,,,,,
,,2018 - 2019,,,,42,46,1.1,,,,,,
,,2019 - 2020,,,,39,42,1.08,,,,,,
,,2020 - 2021,,,,46,50,1.09,,,,,,
,,2021 - 2022,,,,39,69,1.77,,,,,,
,,2022 - 2023,,,,45,86,1.91,,,,,,
,15. Bijnor,2001 - 2002,1,2,2,,,,,,,,,
,,2009 - 2010,,,,1,3,3,,,,,,
,,2010 - 2011,,,,1,3,3,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,16. Budaun,2000 - 2001,150,262,1.75,,,,,,,,,
,,2001 - 2002,124,222,1.79,,,,,,,,,
,,2002 - 2003,104,189,1.82,,,,,,,,,
,,2003 - 2004,69,125,1.81,,,,,,,,,
,,2004 - 2005,,,,175,304,1.74,,,,,,
,,2005 - 2006,,,,52,232,4.46,,,,,,
,,2006 - 2007,,,,148,503,3.4,,,,,,
,,2007 - 2008,,,,104,319,3.07,,,,,,
,,2009 - 2010,,,,62,205,3.31,,,,,,
,,2010 - 2011,,,,79,248,3.14,,,,,,
,,2011 - 2012,,,,318,896,2.82,,,,,,
,,2012 - 2013,,,,303,858,2.83,,,,,,
,,2013 - 2014,,,,168,486,2.89,,,,,,
,,2014 - 2015,,,,137,389,2.84,,,,,,
,,2015 - 2016,,,,219,243,1.11,,,,,,
,,2016 - 2017,,,,306,404,1.32,,,,,,
,,2017 - 2018,,,,156,169,1.08,,,,,,
,,2018 - 2019,,,,250,271,1.08,,,,,,
,,2019 - 2020,,,,256,277,1.08,,,,,,
,,2020 - 2021,,,,250,271,1.08,,,,,,
,,2021 - 2022,,,,250,441,1.76,,,,,,
,,2022 - 2023,,,,306,585,1.91,,,,,,
,17. Bulandshahr,2000 - 2001,1,2,2,,,,,,,,,
,,2001 - 2002,2,3,1.5,,,,,,,,,
,,2010 - 2011,,,,10,32,3.2,,,,,,
,,2012 - 2013,,,,9,26,2.89,,,,,,
,,2013 - 2014,,,,34,98,2.88,,,,,,
,,2014 - 2015,,,,14,40,2.86,,,,,,
,,2015 - 2016,,,,17,19,1.12,,,,,,
,,2016 - 2017,,,,17,22,1.29,,,,,,
,,2017 - 2018,,,,112,143,1.28,,,,,,
,,2018 - 2019,,,,15,20,1.33,,,,,,
,,2019 - 2020,,,,7,10,1.43,,,,,,
,,2020 - 2021,,,,18,25,1.39,,,,,,
,18. Chandauli,2003 - 2004,1,2,2,,,,,,,,,
,,2005 - 2006,,,,1,4,4,,,,,,
,,2009 - 2010,,,,4,13,3.25,,,,,,
,19. Deoria,2001 - 2002,3,5,1.67,,,,,,,,,
,,2002 - 2003,5,9,1.8,,,,,,,,,
,,2003 - 2004,11,20,1.82,,,,,,,,,
,,2004 - 2005,,,,10,17,1.7,,,,,,
,,2005 - 2006,,,,6,27,4.5,,,,,,
,,2006 - 2007,,,,16,54,3.38,,,,,,
,,2007 - 2008,,,,1,3,3,,,,,,
,,2009 - 2010,,,,4,13,3.25,,,,,,
,,2010 - 2011,,,,1,3,3,,,,,,
,,2011 - 2012,,,,2,6,3,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2014 - 2015,,,,2,6,3,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,,2017 - 2018,,,,1,2,2,,,,,,
,,2018 - 2019,,,,2,3,1.5,,,,,,
,,2019 - 2020,,,,1,2,2,,,,,,
,,2020 - 2021,,,,1,2,2,,,,,,
,,2022 - 2023,,,,1,2,2,,,,,,
,20. Etah,2000 - 2001,10,17,1.7,,,,,,,,,
,,2001 - 2002,9,16,1.78,,,,,,,,,
,,2002 - 2003,5,9,1.8,,,,,,,,,
,,2003 - 2004,9,16,1.78,,,,,,,,,
,,2004 - 2005,,,,4,7,1.75,,,,,,
,,2005 - 2006,,,,10,45,4.5,,,,,,
,,2006 - 2007,,,,4,14,3.5,,,,,,
,21. Etawah,2003 - 2004,1,2,2,,,,,,,,,
,,2005 - 2006,,,,1,4,4,,,,,,
,,2007 - 2008,,,,1,3,3,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2014 - 2015,,,,1,3,3,,,,,,
,22. Faizabad,2016 - 2017,,,,1,1,1,,,,,,
,,2017 - 2018,,,,1,1,1,,,,,,
,,2019 - 2020,,,,2,3,1.5,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,,2021 - 2022,,,,1,2,2,,,,,,
,23. Farrukhabad,2000 - 2001,1,2,2,,,,,,,,,
,,2001 - 2002,1,2,2,,,,,,,,,
,,2004 - 2005,,,,2,4,2,,,,,,
,,2006 - 2007,,,,2,7,3.5,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,24. Fatehpur,2000 - 2001,9,16,1.78,,,,,,,,,
,,2001 - 2002,8,14,1.75,,,,,,,,,
,,2002 - 2003,10,18,1.8,,,,,,,,,
,,2003 - 2004,6,11,1.83,,,,,,,,,
,,2004 - 2005,,,,11,19,1.73,,,,,,
,,2005 - 2006,,,,7,31,4.43,,,,,,
,,2006 - 2007,,,,11,37,3.36,,,,,,
,,2007 - 2008,,,,12,37,3.08,,,,,,
,,2009 - 2010,,,,32,106,3.31,,,,,,
,,2010 - 2011,,,,31,97,3.13,,,,,,
,,2011 - 2012,,,,34,96,2.82,,,,,,
,,2012 - 2013,,,,62,175,2.82,,,,,,
,,2013 - 2014,,,,68,197,2.9,,,,,,
,,2014 - 2015,,,,54,153,2.83,,,,,,
,,2015 - 2016,,,,55,61,1.11,,,,,,
,,2016 - 2017,,,,72,95,1.32,,,,,,
,,2017 - 2018,,,,75,96,1.28,,,,,,
,,2018 - 2019,,,,62,84,1.35,,,,,,
,,2019 - 2020,,,,78,110,1.41,,,,,,
,,2020 - 2021,,,,65,91,1.4,,,,,,
,,2021 - 2022,,,,90,159,1.77,,,,,,
,,2022 - 2023,,,,103,197,1.91,,,,,,
,25. Firozabad,2001 - 2002,1,2,2,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2004 - 2005,,,,3,5,1.67,,,,,,
,,2006 - 2007,,,,3,10,3.33,,,,,,
,,2007 - 2008,,,,2,6,3,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2015 - 2016,,,,1,1,1,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,,2017 - 2018,,,,1,1,1,,,,,,
,26. Ghaziabad,2001 - 2002,1,2,2,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,27. Ghazipur,2001 - 2002,3,5,1.67,,,,,,,,,
,,2003 - 2004,2,3,1.5,,,,,,,,,
,,2004 - 2005,,,,1,2,2,,,,,,
,,2005 - 2006,,,,2,9,4.5,,,,,,
,,2006 - 2007,,,,1,3,3,,,,,,
,,2007 - 2008,,,,2,6,3,,,,,,
,,2009 - 2010,,,,3,10,3.33,,,,,,
,,2010 - 2011,,,,1,3,3,,,,,,
,,2011 - 2012,,,,2,6,3,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,,2014 - 2015,,,,1,3,3,,,,,,
,28. Gonda,2002 - 2003,1,2,2,,,,,,,,,
,,2009 - 2010,,,,2,7,3.5,,,,,,
,29. Gorakhpur,2000 - 2001,2,4,2,,,,,,,,,
,,2001 - 2002,2,4,2,,,,,,,,,
,,2007 - 2008,,,,1,3,3,,,,,,
,,2010 - 2011,,,,1,3,3,,,,,,
,,2012 - 2013,,,,4,11,2.75,,,,,,
,30. Hamirpur,2013 - 2014,,,,2,6,3,,,,,,
,31. Hapur,2013 - 2014,,,,7,20,2.86,,,,,,
,,2014 - 2015,,,,7,20,2.86,,,,,,
,,2015 - 2016,,,,4,5,1.25,,,,,,
,,2018 - 2019,,,,9,12,1.33,,,,,,
,,2020 - 2021,,,,9,13,1.44,,,,,,
,,2021 - 2022,,,,11,19,1.73,,,,,,
,,2022 - 2023,,,,13,25,1.92,,,,,,
,32. Hardoi,2000 - 2001,8,14,1.75,,,,,,,,,
,,2001 - 2002,4,7,1.75,,,,,,,,,
,,2003 - 2004,1,2,2,,,,,,,,,
,,2005 - 2006,,,,1,4,4,,,,,,
,,2007 - 2008,,,,1,3,3,,,,,,
,,2011 - 2012,,,,2,6,3,,,,,,
,,2012 - 2013,,,,8,22,2.75,,,,,,
,,2013 - 2014,,,,16,46,2.88,,,,,,
,,2014 - 2015,,,,5,14,2.8,,,,,,
,,2017 - 2018,,,,17,19,1.12,,,,,,
,,2022 - 2023,,,,17,33,1.94,,,,,,
,33. Hathras,2004 - 2005,,,,1,2,2,,,,,,
,,2012 - 2013,,,,3,8,2.67,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2014 - 2015,,,,1,3,3,,,,,,
,,2021 - 2022,,,,1,2,2,,,,,,
,34. Jalaun,2012 - 2013,,,,2,6,3,,,,,,
,,2013 - 2014,,,,2,6,3,,,,,,
,,2015 - 2016,,,,2,2,1,,,,,,
,,2017 - 2018,,,,3,4,1.33,,,,,,
,35. Jaunpur,2001 - 2002,4,7,1.75,,,,,,,,,
,,2003 - 2004,1,2,2,,,,,,,,,
,36. Jhansi,2000 - 2001,4,7,1.75,,,,,,,,,
,,2001 - 2002,3,5,1.67,,,,,,,,,
,,2010 - 2011,,,,3,9,3,,,,,,
,,2011 - 2012,,,,1,3,3,,,,,,
,,2012 - 2013,,,,27,76,2.81,,,,,,
,,2013 - 2014,,,,26,75,2.88,,,,,,
,,2014 - 2015,,,,9,26,2.89,,,,,,
,,2015 - 2016,,,,26,29,1.12,,,,,,
,,2016 - 2017,,,,17,22,1.29,,,,,,
,37. Kannauj,2001 - 2002,1,2,2,,,,,,,,,
,,2002 - 2003,4,7,1.75,,,,,,,,,
,,2003 - 2004,1,2,2,,,,,,,,,
,,2005 - 2006,,,,2,9,4.5,,,,,,
,,2007 - 2008,,,,5,15,3,,,,,,
,,2009 - 2010,,,,3,10,3.33,,,,,,
,,2011 - 2012,,,,4,11,2.75,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2015 - 2016,,,,7,8,1.14,,,,,,
,38. Kanpur dehat,2003 - 2004,4,7,1.75,,,,,,,,,
,,2004 - 2005,,,,3,5,1.67,,,,,,
,,2005 - 2006,,,,4,18,4.5,,,,,,
,,2006 - 2007,,,,3,10,3.33,,,,,,
,,2007 - 2008,,,,9,28,3.11,,,,,,
,,2009 - 2010,,,,3,10,3.33,,,,,,
,,2011 - 2012,,,,2,5,2.5,,,,,,
,39. Kanpur nagar,2000 - 2001,5,8,1.6,,,,,,,,,
,,2001 - 2002,5,9,1.8,,,,,,,,,
,,2002 - 2003,8,14,1.75,,,,,,,,,
,,2003 - 2004,3,5,1.67,,,,,,,,,
,,2005 - 2006,,,,4,18,4.5,,,,,,
,,2007 - 2008,,,,2,6,3,,,,,,
,,2009 - 2010,,,,2,7,3.5,,,,,,
,,2010 - 2011,,,,5,16,3.2,,,,,,
,,2011 - 2012,,,,7,20,2.86,,,,,,
,,2012 - 2013,,,,12,34,2.83,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2014 - 2015,,,,1,3,3,,,,,,
,,2015 - 2016,,,,1,1,1,,,,,,
,40. Kasganj,2010 - 2011,,,,13,41,3.15,,,,,,
,,2011 - 2012,,,,7,20,2.86,,,,,,
,,2012 - 2013,,,,7,20,2.86,,,,,,
,,2013 - 2014,,,,2,6,3,,,,,,
,,2014 - 2015,,,,1,3,3,,,,,,
,,2015 - 2016,,,,2,2,1,,,,,,
,,2016 - 2017,,,,8,11,1.38,,,,,,
,,2017 - 2018,,,,11,14,1.27,,,,,,
,,2018 - 2019,,,,19,26,1.37,,,,,,
,,2019 - 2020,,,,72,101,1.4,,,,,,
,,2021 - 2022,,,,19,34,1.79,,,,,,
,41. Kaushambi,2000 - 2001,9,16,1.78,,,,,,,,,
,,2001 - 2002,1,2,2,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2003 - 2004,2,4,2,,,,,,,,,
,,2004 - 2005,,,,1,2,2,,,,,,
,,2005 - 2006,,,,2,9,4.5,,,,,,
,,2006 - 2007,,,,1,3,3,,,,,,
,,2007 - 2008,,,,5,15,3,,,,,,
,,2009 - 2010,,,,5,16,3.2,,,,,,
,,2010 - 2011,,,,6,19,3.17,,,,,,
,,2011 - 2012,,,,26,73,2.81,,,,,,
,,2012 - 2013,,,,24,68,2.83,,,,,,
,,2013 - 2014,,,,24,69,2.88,,,,,,
,,2014 - 2015,,,,19,54,2.84,,,,,,
,,2015 - 2016,,,,1,1,1,,,,,,
,,2016 - 2017,,,,15,20,1.33,,,,,,
,,2017 - 2018,,,,73,94,1.29,,,,,,
,,2018 - 2019,,,,38,51,1.34,,,,,,
,,2019 - 2020,,,,36,51,1.42,,,,,,
,,2020 - 2021,,,,24,34,1.42,,,,,,
,,2021 - 2022,,,,26,46,1.77,,,,,,
,,2022 - 2023,,,,25,48,1.92,,,,,,
,42. Kheri,2000 - 2001,70,122,1.74,,,,,,,,,
,,2001 - 2002,75,134,1.79,,,,,,,,,
,,2002 - 2003,33,60,1.82,,,,,,,,,
,,2003 - 2004,26,47,1.81,,,,,,,,,
,,2004 - 2005,,,,40,70,1.75,,,,,,
,,2005 - 2006,,,,36,161,4.47,,,,,,
,,2006 - 2007,,,,51,174,3.41,,,,,,
,,2007 - 2008,,,,46,141,3.07,,,,,,
,,2009 - 2010,,,,64,212,3.31,,,,,,
,,2010 - 2011,,,,77,242,3.14,,,,,,
,,2011 - 2012,,,,128,361,2.82,,,,,,
,,2012 - 2013,,,,93,263,2.83,,,,,,
,,2013 - 2014,,,,111,321,2.89,,,,,,
,,2014 - 2015,,,,107,304,2.84,,,,,,
,,2015 - 2016,,,,32,36,1.13,,,,,,
,,2016 - 2017,,,,22,29,1.32,,,,,,
,,2017 - 2018,,,,90,100,1.11,,,,,,
,,2018 - 2019,,,,77,86,1.12,,,,,,
,,2019 - 2020,,,,84,94,1.12,,,,,,
,,2020 - 2021,,,,92,103,1.12,,,,,,
,,2021 - 2022,,,,92,162,1.76,,,,,,
,,2022 - 2023,,,,114,218,1.91,,,,,,
,43. Kushi nagar,2000 - 2001,272,474,1.74,,,,,,,,,
,,2001 - 2002,495,886,1.79,,,,,,,,,
,,2002 - 2003,478,868,1.82,,,,,,,,,
,,2003 - 2004,383,693,1.81,,,,,,,,,
,,2004 - 2005,,,,802,"1,394.00",1.74,,,,,,
,,2005 - 2006,,,,379,"1,689.00",4.46,,,,,,
,,2006 - 2007,,,,873,"2,969.00",3.4,,,,,,
,,2007 - 2008,,,,840,"2,579.00",3.07,,,,,,
,,2009 - 2010,,,,791,"2,614.00",3.3,,,,,,
,,2010 - 2011,,,,703,"2,209.00",3.14,,,,,,
,,2011 - 2012,,,,756,"2,129.00",2.82,,,,,,
,,2012 - 2013,,,,714,"2,021.00",2.83,,,,,,
,,2013 - 2014,,,,709,"2,052.00",2.89,,,,,,
,,2014 - 2015,,,,729,"2,068.00",2.84,,,,,,
,,2015 - 2016,,,,34,38,1.12,,,,,,
,,2016 - 2017,,,,250,330,1.32,,,,,,
,,2017 - 2018,,,,255,415,1.63,,,,,,
,,2018 - 2019,,,,485,790,1.63,,,,,,
,,2019 - 2020,,,,933,"1,519.00",1.63,,,,,,
,,2020 - 2021,,,,805,"1,310.00",1.63,,,,,,
,,2021 - 2022,,,,568,"1,002.00",1.76,,,,,,
,,2022 - 2023,,,,637,"1,217.00",1.91,,,,,,
,44. Lalitpur,2001 - 2002,1,2,2,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2003 - 2004,2,4,2,,,,,,,,,
,,2004 - 2005,,,,6,10,1.67,,,,,,
,,2006 - 2007,,,,6,20,3.33,,,,,,
,,2007 - 2008,,,,1,3,3,,,,,,
,,2009 - 2010,,,,10,33,3.3,,,,,,
,,2010 - 2011,,,,1,3,3,,,,,,
,,2011 - 2012,,,,8,22,2.75,,,,,,
,,2012 - 2013,,,,3,8,2.67,,,,,,
,,2013 - 2014,,,,12,35,2.92,,,,,,
,,2014 - 2015,,,,12,34,2.83,,,,,,
,,2015 - 2016,,,,3,3,1,,,,,,
,,2018 - 2019,,,,4,5,1.25,,,,,,
,45. Lucknow,2001 - 2002,3,5,1.67,,,,,,,,,
,,2009 - 2010,,,,1,3,3,,,,,,
,,2010 - 2011,,,,2,6,3,,,,,,
,,2011 - 2012,,,,1,3,3,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,,2017 - 2018,,,,3,3,1,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,46. Maharajganj,2000 - 2001,20,35,1.75,,,,,,,,,
,,2001 - 2002,19,34,1.79,,,,,,,,,
,,2002 - 2003,17,31,1.82,,,,,,,,,
,,2003 - 2004,21,38,1.81,,,,,,,,,
,,2004 - 2005,,,,36,63,1.75,,,,,,
,,2005 - 2006,,,,21,94,4.48,,,,,,
,,2006 - 2007,,,,41,140,3.41,,,,,,
,,2007 - 2008,,,,44,135,3.07,,,,,,
,,2009 - 2010,,,,1,3,3,,,,,,
,,2010 - 2011,,,,3,10,3.33,,,,,,
,,2011 - 2012,,,,5,14,2.8,,,,,,
,,2012 - 2013,,,,3,9,3,,,,,,
,,2013 - 2014,,,,3,9,3,,,,,,
,,2014 - 2015,,,,3,8,2.67,,,,,,
,,2016 - 2017,,,,2,3,1.5,,,,,,
,,2017 - 2018,,,,1,2,2,,,,,,
,,2018 - 2019,,,,7,11,1.57,,,,,,
,,2020 - 2021,,,,3,5,1.67,,,,,,
,,2022 - 2023,,,,1,2,2,,,,,,
,47. Mahoba,2012 - 2013,,,,2,6,3,,,,,,
,48. Mainpuri,2000 - 2001,1,2,2,,,,,,,,,
,,2007 - 2008,,,,2,6,3,,,,,,
,,2012 - 2013,,,,62,176,2.84,,,,,,
,,2015 - 2016,,,,11,12,1.09,,,,,,
,,2016 - 2017,,,,2,3,1.5,,,,,,
,,2018 - 2019,,,,2,3,1.5,,,,,,
,,2019 - 2020,,,,2,3,1.5,,,,,,
,49. Mau,2002 - 2003,1,2,2,,,,,,,,,
,,2009 - 2010,,,,3,10,3.33,,,,,,
,50. Meerut,2000 - 2001,7,12,1.71,,,,,,,,,
,,2001 - 2002,1,2,2,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2003 - 2004,1,2,2,,,,,,,,,
,,2004 - 2005,,,,2,3,1.5,,,,,,
,,2006 - 2007,,,,2,7,3.5,,,,,,
,,2009 - 2010,,,,2,7,3.5,,,,,,
,,2010 - 2011,,,,2,6,3,,,,,,
,,2012 - 2013,,,,16,45,2.81,,,,,,
,,2013 - 2014,,,,10,29,2.9,,,,,,
,,2014 - 2015,,,,11,31,2.82,,,,,,
,,2015 - 2016,,,,11,12,1.09,,,,,,
,,2017 - 2018,,,,7,9,1.29,,,,,,
,,2019 - 2020,,,,7,10,1.43,,,,,,
,,2020 - 2021,,,,7,10,1.43,,,,,,
,51. Mirzapur,2000 - 2001,1,2,2,,,,,,,,,
,,2001 - 2002,1,2,2,,,,,,,,,
,,2002 - 2003,1,2,2,,,,,,,,,
,,2004 - 2005,,,,11,19,1.73,,,,,,
,,2006 - 2007,,,,11,37,3.36,,,,,,
,,2009 - 2010,,,,3,10,3.33,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,52. Moradabad,2000 - 2001,11,19,1.73,,,,,,,,,
,,2001 - 2002,4,7,1.75,,,,,,,,,
,,2002 - 2003,5,9,1.8,,,,,,,,,
,,2003 - 2004,6,11,1.83,,,,,,,,,
,,2004 - 2005,,,,9,16,1.78,,,,,,
,,2005 - 2006,,,,4,18,4.5,,,,,,
,,2006 - 2007,,,,3,10,3.33,,,,,,
,,2007 - 2008,,,,6,18,3,,,,,,
,,2009 - 2010,,,,16,53,3.31,,,,,,
,,2011 - 2012,,,,24,68,2.83,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,,2021 - 2022,,,,20,35,1.75,,,,,,
,53. Muzaffarnagar,2001 - 2002,13,26,2,,,,,,,,,
,,2002 - 2003,7,13,1.86,,,,,,,,,
,,2003 - 2004,10,18,1.8,,,,,,,,,
,,2004 - 2005,,,,4,7,1.75,,,,,,
,,2005 - 2006,,,,8,36,4.5,,,,,,
,,2006 - 2007,,,,4,13,3.25,,,,,,
,,2007 - 2008,,,,4,12,3,,,,,,
,,2009 - 2010,,,,6,20,3.33,,,,,,
,,2011 - 2012,,,,21,59,2.81,,,,,,
,,2012 - 2013,,,,19,54,2.84,,,,,,
,,2013 - 2014,,,,37,107,2.89,,,,,,
,,2014 - 2015,,,,29,82,2.83,,,,,,
,,2015 - 2016,,,,35,39,1.11,,,,,,
,,2016 - 2017,,,,34,45,1.32,,,,,,
,,2017 - 2018,,,,36,46,1.28,,,,,,
,,2018 - 2019,,,,65,88,1.35,,,,,,
,,2020 - 2021,,,,28,39,1.39,,,,,,
,,2021 - 2022,,,,43,76,1.77,,,,,,
,54. Pilibhit,2001 - 2002,6,11,1.83,,,,,,,,,
,,2002 - 2003,4,7,1.75,,,,,,,,,
,,2003 - 2004,10,18,1.8,,,,,,,,,
,,2004 - 2005,,,,4,7,1.75,,,,,,
,,2005 - 2006,,,,22,98,4.45,,,,,,
,,2006 - 2007,,,,4,14,3.5,,,,,,
,,2007 - 2008,,,,2,6,3,,,,,,
,,2009 - 2010,,,,7,23,3.29,,,,,,
,,2010 - 2011,,,,10,32,3.2,,,,,,
,,2011 - 2012,,,,33,93,2.82,,,,,,
,,2012 - 2013,,,,2,6,3,,,,,,
,,2013 - 2014,,,,95,275,2.89,,,,,,
,,2014 - 2015,,,,95,270,2.84,,,,,,
,,2015 - 2016,,,,3,3,1,,,,,,
,,2016 - 2017,,,,81,107,1.32,,,,,,
,,2017 - 2018,,,,98,106,1.08,,,,,,
,,2018 - 2019,,,,51,55,1.08,,,,,,
,,2019 - 2020,,,,98,106,1.08,,,,,,
,,2020 - 2021,,,,98,106,1.08,,,,,,
,,2022 - 2023,,,,108,206,1.91,,,,,,
,55. Pratapgarh,2000 - 2001,2,3,1.5,,,,,,,,,
,,2001 - 2002,1,2,2,,,,,,,,,
,56. Rae bareli,2000 - 2001,5,9,1.8,,,,,,,,,
,,2001 - 2002,23,41,1.78,,,,,,,,,
,,2002 - 2003,4,7,1.75,,,,,,,,,
,,2003 - 2004,7,13,1.86,,,,,,,,,
,,2004 - 2005,,,,40,70,1.75,,,,,,
,,2005 - 2006,,,,6,27,4.5,,,,,,
,,2006 - 2007,,,,42,143,3.4,,,,,,
,,2007 - 2008,,,,35,107,3.06,,,,,,
,,2009 - 2010,,,,16,53,3.31,,,,,,
,,2010 - 2011,,,,6,19,3.17,,,,,,
,,2011 - 2012,,,,15,42,2.8,,,,,,
,,2012 - 2013,,,,19,54,2.84,,,,,,
,,2013 - 2014,,,,14,41,2.93,,,,,,
,,2014 - 2015,,,,36,102,2.83,,,,,,
,,2015 - 2016,,,,28,31,1.11,,,,,,
,,2016 - 2017,,,,14,18,1.29,,,,,,
,,2017 - 2018,,,,15,17,1.13,,,,,,
,,2018 - 2019,,,,14,15,1.07,,,,,,
,,2019 - 2020,,,,14,15,1.07,,,,,,
,,2020 - 2021,,,,6,7,1.17,,,,,,
,,2021 - 2022,,,,13,23,1.77,,,,,,
,,2022 - 2023,,,,16,31,1.94,,,,,,
,57. Rampur,2000 - 2001,29,51,1.76,,,,,,,,,
,,2001 - 2002,35,63,1.8,,,,,,,,,
,,2002 - 2003,42,76,1.81,,,,,,,,,
,,2003 - 2004,46,83,1.8,,,,,,,,,
,,2004 - 2005,,,,44,76,1.73,,,,,,
,,2005 - 2006,,,,53,236,4.45,,,,,,
,,2006 - 2007,,,,44,150,3.41,,,,,,
,,2007 - 2008,,,,38,117,3.08,,,,,,
,,2013 - 2014,,,,11,32,2.91,,,,,,
,,2014 - 2015,,,,18,51,2.83,,,,,,
,,2021 - 2022,,,,23,41,1.78,,,,,,
,58. Saharanpur,2000 - 2001,1,2,2,,,,,,,,,
,,2001 - 2002,17,29,1.71,,,,,,,,,
,,2002 - 2003,3,5,1.67,,,,,,,,,
,,2003 - 2004,3,5,1.67,,,,,,,,,
,,2004 - 2005,,,,5,9,1.8,,,,,,
,,2005 - 2006,,,,5,22,4.4,,,,,,
,,2006 - 2007,,,,4,14,3.5,,,,,,
,,2007 - 2008,,,,4,13,3.25,,,,,,
,,2009 - 2010,,,,9,30,3.33,,,,,,
,,2010 - 2011,,,,5,16,3.2,,,,,,
,,2011 - 2012,,,,32,90,2.81,,,,,,
,,2012 - 2013,,,,15,42,2.8,,,,,,
,,2013 - 2014,,,,49,142,2.9,,,,,,
,,2014 - 2015,,,,14,40,2.86,,,,,,
,,2015 - 2016,,,,44,49,1.11,,,,,,
,,2016 - 2017,,,,14,18,1.29,,,,,,
,,2017 - 2018,,,,13,17,1.31,,,,,,
,,2018 - 2019,,,,18,24,1.33,,,,,,
,,2019 - 2020,,,,17,24,1.41,,,,,,
,,2020 - 2021,,,,19,27,1.42,,,,,,
