State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,127,98,0.77,,,,,,,,,,,,
,,2016 - 2017,"1,072.00",829,0.77,,,,,,,,,,,,
,,2017 - 2018,122,93,0.76,,,,,,,,,,,,
,,2018 - 2019,126,96,0.76,,,,,,,,,,,,
,,2019 - 2020,121,92,0.76,,,,,,,,,,,,
,,2020 - 2021,162,123,0.76,,,,,,,,,,,,
,,2021 - 2022,168,128,0.76,,,,,,,,,,,,
,,2022 - 2023,170,129,0.76,,,,,,,,,,,,
,31. Saran,2000 - 2001,"1,620.00",929,0.57,,,,,,,,,,,,
,,2001 - 2002,"1,267.00",991,0.78,,,,,,,,,,,,
,,2002 - 2003,"1,126.00",869,0.77,,,,,,,,,,,,
,,2003 - 2004,616,479,0.78,,,,,,,,,,,,
,,2004 - 2005,758,617,0.81,,,,,,,,,,,,
,,2005 - 2006,"1,017.00",754,0.74,,,,,,,,,,,,
,,2007 - 2008,415,315,0.76,,,,,,,,,,,,
,,2008 - 2009,493,378,0.77,,,,,,,,,,,,
,,2009 - 2010,163,125,0.77,,,,,,,,,,,,
,,2010 - 2011,143,110,0.77,,,,,,,,,,,,
,,2011 - 2012,208,159,0.76,,,,,,,,,,,,
,,2012 - 2013,236,181,0.77,,,,,,,,,,,,
,,2013 - 2014,136,103,0.76,,,,,,,,,,,,
,,2014 - 2015,236,178,0.75,,,,,,,,,,,,
,,2015 - 2016,96,73,0.76,,,,,,,,,,,,
,,2016 - 2017,25,19,0.76,,,,,,,,,,,,
,,2017 - 2018,103,78,0.76,,,,,,,,,,,,
,,2018 - 2019,60,45,0.75,,,,,,,,,,,,
,,2019 - 2020,87,66,0.76,,,,,,,,,,,,
,,2020 - 2021,59,44,0.75,,,,,,,,,,,,
,,2021 - 2022,85,64,0.75,,,,,,,,,,,,
,32. Sheikhpura,2003 - 2004,8,6,0.75,,,,,,,,,,,,
,,2004 - 2005,3,2,0.67,,,,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,,,,
,33. Sheohar,2000 - 2001,9,5,0.56,,,,,,,,,,,,
,,2001 - 2002,9,7,0.78,,,,,,,,,,,,
,,2002 - 2003,10,8,0.8,,,,,,,,,,,,
,,2003 - 2004,11,9,0.82,,,,,,,,,,,,
,,2004 - 2005,10,8,0.8,,,,,,,,,,,,
,,2009 - 2010,9,7,0.78,,,,,,,,,,,,
,,2010 - 2011,71,54,0.76,,,,,,,,,,,,
,,2011 - 2012,78,58,0.74,,,,,,,,,,,,
,,2012 - 2013,63,48,0.76,,,,,,,,,,,,
,,2013 - 2014,59,44,0.75,,,,,,,,,,,,
,,2014 - 2015,51,38,0.75,,,,,,,,,,,,
,,2015 - 2016,47,35,0.74,,,,,,,,,,,,
,,2016 - 2017,56,42,0.75,,,,,,,,,,,,
,,2017 - 2018,49,37,0.76,,,,,,,,,,,,
,,2020 - 2021,12,9,0.75,,,,,,,,,,,,
,34. Sitamarhi,2000 - 2001,3,2,0.67,,,,,,,,,,,,
,,2001 - 2002,105,82,0.78,,,,,,,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,,,,
,,2004 - 2005,8,6,0.75,,,,,,,,,,,,
,,2005 - 2006,2,2,1,,,,,,,,,,,,
,,2007 - 2008,"3,073.00","2,216.00",0.72,,,,,,,,,,,,
,,2008 - 2009,"3,075.00","2,278.00",0.74,,,,,,,,,,,,
,35. Siwan,2000 - 2001,"1,064.00",664,0.62,,,,,,,,,,,,
,,2001 - 2002,"1,299.00",987,0.76,,,,,,,,,,,,
,,2002 - 2003,"1,032.00",779,0.75,,,,,,,,,,,,
,,2003 - 2004,983,738,0.75,,,,,,,,,,,,
,,2004 - 2005,566,430,0.76,,,,,,,,,,,,
,,2005 - 2006,740,549,0.74,,,,,,,,,,,,
,,2007 - 2008,595,441,0.74,,,,,,,,,,,,
,,2008 - 2009,721,543,0.75,,,,,,,,,,,,
,,2009 - 2010,623,475,0.76,,,,,,,,,,,,
,,2010 - 2011,91,69,0.76,,,,,,,,,,,,
,,2011 - 2012,237,180,0.76,,,,,,,,,,,,
,,2012 - 2013,181,137,0.76,,,,,,,,,,,,
,,2013 - 2014,199,150,0.75,,,,,,,,,,,,
,,2014 - 2015,191,145,0.76,,,,,,,,,,,,
,,2015 - 2016,187,142,0.76,,,,,,,,,,,,
,,2016 - 2017,176,133,0.76,,,,,,,,,,,,
,,2017 - 2018,160,121,0.76,,,,,,,,,,,,
,,2018 - 2019,159,120,0.75,,,,,,,,,,,,
,,2019 - 2020,159,120,0.75,,,,,,,,,,,,
,,2020 - 2021,159,120,0.75,,,,,,,,,,,,
,,2021 - 2022,159,120,0.75,,,,,,,,,,,,
,36. Supaul,2000 - 2001,181,113,0.62,,,,,,,,,,,,
,,2001 - 2002,534,404,0.76,,,,,,,,,,,,
,,2002 - 2003,373,276,0.74,,,,,,,,,,,,
,,2003 - 2004,351,260,0.74,,,,,,,,,,,,
,,2004 - 2005,23,17,0.74,,,,,,,,,,,,
,,2011 - 2012,33,25,0.76,,,,,,,,,,,,
,,2012 - 2013,33,25,0.76,,,,,,,,,,,,
,,2013 - 2014,20,15,0.75,,,,,,,,,,,,
,,2015 - 2016,20,15,0.75,,,,,,,,,,,,
,,2016 - 2017,13,10,0.77,,,,,,,,,,,,
,,2017 - 2018,105,80,0.76,,,,,,,,,,,,
,,2018 - 2019,97,74,0.76,,,,,,,,,,,,
,,2019 - 2020,90,69,0.77,,,,,,,,,,,,
,,2020 - 2021,82,62,0.76,,,,,,,,,,,,
,37. Vaishali,2000 - 2001,"1,980.00","1,045.00",0.53,,,,,,,,,,,,
,,2001 - 2002,790,586,0.74,,,,,,,,,,,,
,,2002 - 2003,532,411,0.77,,,,,,,,,,,,
,,2003 - 2004,615,481,0.78,,,,,,,,,,,,
,,2004 - 2005,607,474,0.78,,,,,,,,,,,,
,,2005 - 2006,515,403,0.78,,,,,,,,,,,,
,,2007 - 2008,470,368,0.78,,,,,,,,,,,,
,,2008 - 2009,460,361,0.78,,,,,,,,,,,,
,,2009 - 2010,345,271,0.79,,,,,,,,,,,,
,,2010 - 2011,118,93,0.79,,,,,,,,,,,,
,,2011 - 2012,309,243,0.79,,,,,,,,,,,,
,,2012 - 2013,309,243,0.79,,,,,,,,,,,,
,,2013 - 2014,151,119,0.79,,,,,,,,,,,,
,,2014 - 2015,148,117,0.79,,,,,,,,,,,,
,,2016 - 2017,100,78,0.78,,,,,,,,,,,,
5. Chhattisgarh,1. Balod,2011 - 2012,"1,448.00",203,0.14,,,,,,,,,,,,
,,2012 - 2013,"1,333.00",318,0.24,,,,,,,,,,,,
,,2013 - 2014,"1,251.00",239,0.19,,,,,,,,,,,,
,,2014 - 2015,"1,225.00",270,0.22,,,,,,,,,,,,
,,2015 - 2016,846,121,0.14,,,,,,,,,,,,
,,2016 - 2017,724,226,0.31,,,,,,,,,,,,
,,2017 - 2018,304,52,0.17,,,,,,,,,,,,
,,2018 - 2019,162,50,0.31,,,,,,,,,,,,
,,2019 - 2020,84,26,0.31,,,,,,,,,,,,
,,2020 - 2021,90,30,0.33,,,,,,,,,,,,
,,2021 - 2022,279,118,0.42,,,,,,,,,,,,
,,2022 - 2023,316,126,0.4,,,,,,,,,,,,
,2. Baloda bazar,2011 - 2012,409,49,0.12,,,,,,,,,,,,
,,2012 - 2013,380,60,0.16,,,,,,,,,,,,
,,2013 - 2014,353,57,0.16,,,,,,,,,,,,
,,2014 - 2015,322,58,0.18,,,,,,,,,,,,
,,2015 - 2016,273,41,0.15,,,,,,,,,,,,
,,2016 - 2017,"5,561.00","1,714.00",0.31,,,,,,,,,,,,
,,2017 - 2018,37,6,0.16,,,,,,,,,,,,
,,2018 - 2019,28,5,0.18,,,,,,,,,,,,
,,2019 - 2020,107,18,0.17,,,,,,,,,,,,
,,2020 - 2021,79,14,0.18,,,,,,,,,,,,
,,2021 - 2022,103,23,0.22,,,,,,,,,,,,
,,2022 - 2023,30,8,0.27,,,,,,,,,,,,
,3. Balrampur,2011 - 2012,"14,219.00","3,719.00",0.26,,,,,,,,,,,,
,,2012 - 2013,"11,645.00","3,019.00",0.26,,,,,,,,,,,,
,,2013 - 2014,"10,596.00","2,484.00",0.23,,,,,,,,,,,,
,,2014 - 2015,"10,256.00","3,021.00",0.29,,,,,,,,,,,,
,,2015 - 2016,"9,593.00","1,945.00",0.2,,,,,,,,,,,,
,,2016 - 2017,"10,433.00","2,943.00",0.28,,,,,,,,,,,,
,,2017 - 2018,"3,174.00","1,551.00",0.49,,,,,,,,,,,,
,,2018 - 2019,"5,019.00","1,638.00",0.33,,,,,,,,,,,,
,,2019 - 2020,"7,384.00","1,511.00",0.2,,,,,,,,,,,,
,,2020 - 2021,"5,483.00","1,234.00",0.23,,,,,,,,,,,,
,,2021 - 2022,"4,772.00","1,134.00",0.24,,,,,,,,,,,,
,,2022 - 2023,"1,045.00",355,0.34,,,,,,,,,,,,
,4. Bastar,2000 - 2001,"25,970.00","3,873.00",0.15,,,,,,,,,,,,
,,2001 - 2002,"25,936.00","6,084.00",0.23,,,,,,,,,,,,
,,2002 - 2003,"24,408.00","3,381.00",0.14,,,,,,,,,,,,
,,2003 - 2004,"23,776.00","5,710.00",0.24,,,,,,,,,,,,
,,2004 - 2005,"22,284.00","6,151.00",0.28,,,,,,,,,,,,
,,2005 - 2006,"26,521.00","5,173.00",0.2,,,,,,,,,,,,
,,2006 - 2007,"17,341.00","3,958.00",0.23,,,,,,,,,,,,
,,2007 - 2008,"15,792.00","3,910.00",0.25,,,,,,,,,,,,
,,2008 - 2009,"17,100.00","3,382.00",0.2,,,,,,,,,,,,
,,2009 - 2010,"14,590.00","2,404.00",0.16,,,,,,,,,,,,
,,2010 - 2011,"13,965.00","2,630.00",0.19,,,,,,,,,,,,
,,2011 - 2012,"12,213.00","2,477.00",0.2,,,,,,,,,,,,
,,2012 - 2013,"11,702.00","2,631.00",0.22,,,,,,,,,,,,
,,2013 - 2014,"11,669.00","2,172.00",0.19,,,,,,,,,,,,
,,2014 - 2015,"11,075.00","2,344.00",0.21,,,,,,,,,,,,
,,2015 - 2016,"10,494.00","1,067.00",0.1,,,,,,,,,,,,
,,2016 - 2017,"10,133.00","3,168.00",0.31,,,,,,,,,,,,
,,2017 - 2018,"10,074.00","2,414.00",0.24,,,,,,,,,,,,
,,2018 - 2019,"9,586.00","3,311.00",0.35,,,,,,,,,,,,
,,2019 - 2020,"8,171.00","2,449.00",0.3,,,,,,,,,,,,
,,2020 - 2021,"8,557.00","7,782.00",0.91,,,,,,,,,,,,
,,2021 - 2022,"8,208.00","6,831.00",0.83,,,,,,,,,,,,
,,2022 - 2023,"8,482.00","7,498.00",0.88,,,,,,,,,,,,
,5. Bemetara,2011 - 2012,868,116,0.13,,,,,,,,,,,,
,,2012 - 2013,902,183,0.2,,,,,,,,,,,,
,,2013 - 2014,617,140,0.23,,,,,,,,,,,,
,,2014 - 2015,747,161,0.22,,,,,,,,,,,,
,,2015 - 2016,526,105,0.2,,,,,,,,,,,,
,,2016 - 2017,58,17,0.29,,,,,,,,,,,,
,,2017 - 2018,8,23,2.88,,,,,,,,,,,,
,,2018 - 2019,53,21,0.4,,,,,,,,,,,,
,,2019 - 2020,193,59,0.31,,,,,,,,,,,,
,,2020 - 2021,698,261,0.37,,,,,,,,,,,,
,,2021 - 2022,"5,330.00","1,849.00",0.35,,,,,,,,,,,,
,,2022 - 2023,"3,675.00","1,507.00",0.41,,,,,,,,,,,,
,6. Bijapur,2006 - 2007,"1,272.00",11,0.01,,,,,,,,,,,,
,,2007 - 2008,"1,425.00",362,0.25,,,,,,,,,,,,
,,2008 - 2009,"1,005.00",187,0.19,,,,,,,,,,,,
,,2009 - 2010,746,96,0.13,,,,,,,,,,,,
,,2010 - 2011,660,155,0.23,,,,,,,,,,,,
,,2011 - 2012,549,133,0.24,,,,,,,,,,,,
,,2012 - 2013,446,114,0.26,,,,,,,,,,,,
,,2013 - 2014,336,76,0.23,,,,,,,,,,,,
,,2014 - 2015,282,70,0.25,,,,,,,,,,,,
,,2015 - 2016,273,68,0.25,,,,,,,,,,,,
,,2016 - 2017,252,81,0.32,,,,,,,,,,,,
,,2017 - 2018,164,28,0.17,,,,,,,,,,,,
,,2018 - 2019,107,32,0.3,,,,,,,,,,,,
,,2019 - 2020,80,24,0.3,,,,,,,,,,,,
,,2020 - 2021,44,18,0.41,,,,,,,,,,,,
,,2021 - 2022,36,16,0.44,,,,,,,,,,,,
,,2022 - 2023,36,10,0.28,,,,,,,,,,,,
,7. Bilaspur,2000 - 2001,"8,261.00","1,361.00",0.16,,,,,,,,,,,,
,,2001 - 2002,"8,036.00","2,321.00",0.29,,,,,,,,,,,,
,,2002 - 2003,"7,283.00","1,224.00",0.17,,,,,,,,,,,,
,,2003 - 2004,"7,093.00","2,206.00",0.31,,,,,,,,,,,,
,,2004 - 2005,"6,416.00","1,641.00",0.26,,,,,,,,,,,,
,,2005 - 2006,"6,171.00","1,392.00",0.23,,,,,,,,,,,,
,,2006 - 2007,"5,226.00","1,344.00",0.26,,,,,,,,,,,,
,,2007 - 2008,"4,842.00","1,526.00",0.32,,,,,,,,,,,,
,,2008 - 2009,"4,279.00","1,099.00",0.26,,,,,,,,,,,,
,,2009 - 2010,"3,919.00","1,164.00",0.3,,,,,,,,,,,,
,,2010 - 2011,"3,396.00",948,0.28,,,,,,,,,,,,
,,2011 - 2012,"2,482.00",716,0.29,,,,,,,,,,,,
,,2012 - 2013,"1,969.00",630,0.32,,,,,,,,,,,,
,,2013 - 2014,"1,957.00",654,0.33,,,,,,,,,,,,
,,2014 - 2015,"1,980.00",734,0.37,,,,,,,,,,,,
,,2015 - 2016,"1,419.00",467,0.33,,,,,,,,,,,,
,,2016 - 2017,"1,075.00",572,0.53,,,,,,,,,,,,
,,2017 - 2018,"1,035.00",388,0.37,,,,,,,,,,,,
,,2018 - 2019,641,387,0.6,,,,,,,,,,,,
,,2019 - 2020,30,14,0.47,,,,,,,,,,,,
,,2020 - 2021,10,5,0.5,,,,,,,,,,,,
,,2021 - 2022,18,13,0.72,,,,,,,,,,,,
,,2022 - 2023,23,16,0.7,,,,,,,,,,,,
,8. Dantewada,2000 - 2001,"59,890.00","8,230.00",0.14,,,,,,,,,,,,
,,2001 - 2002,"57,635.00","11,692.00",0.2,,,,,,,,,,,,
,,2002 - 2003,"54,055.00","6,638.00",0.12,,,,,,,,,,,,
,,2003 - 2004,"53,487.00","12,287.00",0.23,,,,,,,,,,,,
,,2004 - 2005,"52,852.00","8,836.00",0.17,,,,,,,,,,,,
,,2005 - 2006,"52,533.00","6,711.00",0.13,,,,,,,,,,,,
,,2006 - 2007,"44,059.00","6,654.00",0.15,,,,,,,,,,,,
,,2007 - 2008,"44,955.00","11,532.00",0.26,,,,,,,,,,,,
,,2008 - 2009,"44,226.00","6,173.00",0.14,,,,,,,,,,,,
,,2009 - 2010,"43,551.00","4,644.00",0.11,,,,,,,,,,,,
,,2010 - 2011,"42,971.00","9,144.00",0.21,,,,,,,,,,,,
,,2011 - 2012,"26,441.00","5,767.00",0.22,,,,,,,,,,,,
,,2012 - 2013,"25,259.00","5,617.00",0.22,,,,,,,,,,,,
,,2013 - 2014,"24,213.00","4,685.00",0.19,,,,,,,,,,,,
,,2014 - 2015,"23,662.00","3,593.00",0.15,,,,,,,,,,,,
,,2015 - 2016,"21,666.00","2,129.00",0.1,,,,,,,,,,,,
,,2016 - 2017,"20,579.00","4,044.00",0.2,,,,,,,,,,,,
,,2017 - 2018,"19,652.00","3,333.00",0.17,,,,,,,,,,,,
,,2018 - 2019,"19,473.00","5,718.00",0.29,,,,,,,,,,,,
,,2019 - 2020,"14,733.00","3,985.00",0.27,,,,,,,,,,,,
,,2020 - 2021,"13,249.00","3,907.00",0.29,,,,,,,,,,,,
,,2021 - 2022,"13,237.00","4,349.00",0.33,,,,,,,,,,,,
,,2022 - 2023,"10,921.00","3,255.00",0.3,,,,,,,,,,,,
,9. Dhamtari,2000 - 2001,366,13,0.04,,,,,,,,,,,,
,,2001 - 2002,374,57,0.15,,,,,,,,,,,,
,,2002 - 2003,168,11,0.07,,,,,,,,,,,,
,,2003 - 2004,156,29,0.19,,,,,,,,,,,,
,,2004 - 2005,107,99,0.93,,,,,,,,,,,,
,,2005 - 2006,345,85,0.25,,,,,,,,,,,,
,,2006 - 2007,81,12,0.15,,,,,,,,,,,,
,,2007 - 2008,82,13,0.16,,,,,,,,,,,,
,,2008 - 2009,88,11,0.13,,,,,,,,,,,,
,,2009 - 2010,75,9,0.12,,,,,,,,,,,,
,,2010 - 2011,68,11,0.16,,,,,,,,,,,,
,,2011 - 2012,56,7,0.13,,,,,,,,,,,,
,,2012 - 2013,33,5,0.15,,,,,,,,,,,,
,,2013 - 2014,27,4,0.15,,,,,,,,,,,,
,,2014 - 2015,58,9,0.16,,,,,,,,,,,,
,,2015 - 2016,24,3,0.13,,,,,,,,,,,,
,,2016 - 2017,51,10,0.2,,,,,,,,,,,,
,,2017 - 2018,6,1,0.17,,,,,,,,,,,,
,,2018 - 2019,13,3,0.23,,,,,,,,,,,,
,,2019 - 2020,4,1,0.25,,,,,,,,,,,,
,,2020 - 2021,1,0,0,,,,,,,,,,,,
,,2021 - 2022,10,14,1.4,,,,,,,,,,,,
,,2022 - 2023,10,4,0.4,,,,,,,,,,,,
,10. Durg,2000 - 2001,"15,903.00","1,337.00",0.08,,,,,,,,,,,,
,,2001 - 2002,"15,523.00","3,280.00",0.21,,,,,,,,,,,,
,,2002 - 2003,"13,879.00","1,719.00",0.12,,,,,,,,,,,,
,,2003 - 2004,"13,727.00","3,289.00",0.24,,,,,,,,,,,,
,,2004 - 2005,"12,540.00","2,341.00",0.19,,,,,,,,,,,,
,,2005 - 2006,"7,505.00","1,283.00",0.17,,,,,,,,,,,,
,,2006 - 2007,"7,134.00","1,301.00",0.18,,,,,,,,,,,,
,,2007 - 2008,"4,950.00","1,209.00",0.24,,,,,,,,,,,,
,,2008 - 2009,"4,099.00",605,0.15,,,,,,,,,,,,
,,2009 - 2010,"3,340.00",485,0.15,,,,,,,,,,,,
,,2010 - 2011,"2,547.00",493,0.19,,,,,,,,,,,,
,,2011 - 2012,84,11,0.13,,,,,,,,,,,,
,,2012 - 2013,43,8,0.19,,,,,,,,,,,,
,,2013 - 2014,58,7,0.12,,,,,,,,,,,,
,,2014 - 2015,31,6,0.19,,,,,,,,,,,,
,,2015 - 2016,91,13,0.14,,,,,,,,,,,,
,,2016 - 2017,160,26,0.16,,,,,,,,,,,,
,,2017 - 2018,854,182,0.21,,,,,,,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,,,,,,,
,,2019 - 2020,765,2,0,,,,,,,,,,,,
,,2020 - 2021,9,5,0.56,,,,,,,,,,,,
,,2021 - 2022,35,20,0.57,,,,,,,,,,,,
,,2022 - 2023,191,121,0.63,,,,,,,,,,,,
,11. Gariyaband,2011 - 2012,"3,511.00",525,0.15,,,,,,,,,,,,
,,2012 - 2013,"1,722.00",442,0.26,,,,,,,,,,,,
,,2013 - 2014,460,67,0.15,,,,,,,,,,,,
,,2014 - 2015,391,59,0.15,,,,,,,,,,,,
,,2015 - 2016,345,50,0.14,,,,,,,,,,,,
,,2016 - 2017,198,41,0.21,,,,,,,,,,,,
,,2017 - 2018,130,18,0.14,,,,,,,,,,,,
,,2018 - 2019,130,32,0.25,,,,,,,,,,,,
,,2019 - 2020,149,35,0.23,,,,,,,,,,,,
,,2020 - 2021,29,10,0.34,,,,,,,,,,,,
,,2021 - 2022,76,29,0.38,,,,,,,,,,,,
,,2022 - 2023,142,53,0.37,,,,,,,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,651,253,0.39,,,,,,,,,,,,
,,2020 - 2021,433,246,0.57,,,,,,,,,,,,
,,2021 - 2022,512,367,0.72,,,,,,,,,,,,
,,2022 - 2023,493,349,0.71,,,,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,67,14,0.21,,,,,,,,,,,,
,,2001 - 2002,48,14,0.29,,,,,,,,,,,,
,,2002 - 2003,32,8,0.25,,,,,,,,,,,,
,,2003 - 2004,41,15,0.37,,,,,,,,,,,,
,,2004 - 2005,30,8,0.27,,,,,,,,,,,,
,,2005 - 2006,30,7,0.23,,,,,,,,,,,,
,,2006 - 2007,27,7,0.26,,,,,,,,,,,,
,,2007 - 2008,25,9,0.36,,,,,,,,,,,,
,,2008 - 2009,18,5,0.28,,,,,,,,,,,,
,,2009 - 2010,13,4,0.31,,,,,,,,,,,,
,,2010 - 2011,21,6,0.29,,,,,,,,,,,,
,,2011 - 2012,16,5,0.31,,,,,,,,,,,,
,,2012 - 2013,9,3,0.33,,,,,,,,,,,,
,,2013 - 2014,12,4,0.33,,,,,,,,,,,,
,,2014 - 2015,11,2,0.18,,,,,,,,,,,,
,,2015 - 2016,"8,231.00","1,488.00",0.18,,,,,,,,,,,,
,,2016 - 2017,28,5,0.18,,,,,,,,,,,,
,,2017 - 2018,158,16,0.1,,,,,,,,,,,,
,14. Jashpur,2000 - 2001,"9,315.00","1,877.00",0.2,,,,,,,,,,,,
,,2001 - 2002,"9,517.00","2,699.00",0.28,,,,,,,,,,,,
,,2002 - 2003,"8,380.00","1,959.00",0.23,,,,,,,,,,,,
,,2003 - 2004,"7,510.00","2,338.00",0.31,,,,,,,,,,,,
,,2004 - 2005,"6,541.00","1,859.00",0.28,,,,,,,,,,,,
,,2005 - 2006,"6,845.00","1,391.00",0.2,,,,,,,,,,,,
,,2006 - 2007,"4,480.00","1,422.00",0.32,,,,,,,,,,,,
,,2007 - 2008,"5,180.00","1,572.00",0.3,,,,,,,,,,,,
,,2008 - 2009,"4,959.00","1,267.00",0.26,,,,,,,,,,,,
,,2009 - 2010,"4,420.00",770,0.17,,,,,,,,,,,,
,,2010 - 2011,"3,609.00",942,0.26,,,,,,,,,,,,
,,2011 - 2012,"3,176.00",809,0.25,,,,,,,,,,,,
,,2012 - 2013,"3,085.00",839,0.27,,,,,,,,,,,,
,,2013 - 2014,"3,461.00",930,0.27,,,,,,,,,,,,
,,2014 - 2015,"3,325.00",952,0.29,,,,,,,,,,,,
,,2015 - 2016,"3,113.00",733,0.24,,,,,,,,,,,,
,,2016 - 2017,"3,037.00","1,112.00",0.37,,,,,,,,,,,,
,,2017 - 2018,"1,820.00",820,0.45,,,,,,,,,,,,
,,2018 - 2019,"2,758.00","1,123.00",0.41,,,,,,,,,,,,
,,2019 - 2020,"2,618.00",955,0.36,,,,,,,,,,,,
,,2020 - 2021,"2,637.00",899,0.34,,,,,,,,,,,,
,,2021 - 2022,"2,513.00",659,0.26,,,,,,,,,,,,
,,2022 - 2023,"3,795.00","1,463.00",0.39,,,,,,,,,,,,
,15. Kabirdham,2000 - 2001,"31,604.00","4,254.00",0.13,,,,,,,,,,,,
,,2001 - 2002,"32,324.00","9,039.00",0.28,,,,,,,,,,,,
,,2002 - 2003,"30,542.00","5,443.00",0.18,,,,,,,,,,,,
,,2003 - 2004,"28,637.00","7,772.00",0.27,,,,,,,,,,,,
,,2004 - 2005,"25,088.00","6,100.00",0.24,,,,,,,,,,,,
,,2005 - 2006,"22,439.00","4,378.00",0.2,,,,,,,,,,,,
,,2006 - 2007,"19,011.00","5,374.00",0.28,,,,,,,,,,,,
,,2007 - 2008,"16,813.00","4,456.00",0.27,,,,,,,,,,,,
,,2008 - 2009,"17,065.00","3,673.00",0.22,,,,,,,,,,,,
,,2009 - 2010,"15,627.00","2,883.00",0.18,,,,,,,,,,,,
,,2010 - 2011,"14,783.00","2,515.00",0.17,,,,,,,,,,,,
,,2011 - 2012,"13,539.00","2,299.00",0.17,,,,,,,,,,,,
,,2012 - 2013,"12,605.00","2,932.00",0.23,,,,,,,,,,,,
,,2013 - 2014,"10,727.00","2,648.00",0.25,,,,,,,,,,,,
,,2014 - 2015,"8,662.00","2,379.00",0.27,,,,,,,,,,,,
,,2015 - 2016,"6,858.00","1,477.00",0.22,,,,,,,,,,,,
,,2016 - 2017,"6,186.00","2,454.00",0.4,,,,,,,,,,,,
,,2017 - 2018,"6,046.00","1,804.00",0.3,,,,,,,,,,,,
,,2018 - 2019,"5,555.00","1,788.00",0.32,,,,,,,,,,,,
,,2019 - 2020,"4,400.00","1,498.00",0.34,,,,,,,,,,,,
,,2020 - 2021,"4,556.00","1,640.00",0.36,,,,,,,,,,,,
,,2021 - 2022,"8,319.00","4,286.00",0.52,,,,,,,,,,,,
,,2022 - 2023,"6,652.00","3,184.00",0.48,,,,,,,,,,,,
,16. Kanker,2000 - 2001,"24,445.00","3,252.00",0.13,,,,,,,,,,,,
,,2001 - 2002,"22,747.00","5,519.00",0.24,,,,,,,,,,,,
,,2002 - 2003,"20,020.00","1,615.00",0.08,,,,,,,,,,,,
,,2003 - 2004,"20,372.00","5,155.00",0.25,,,,,,,,,,,,
,,2004 - 2005,"19,341.00","3,994.00",0.21,,,,,,,,,,,,
,,2005 - 2006,"20,439.00","3,641.00",0.18,,,,,,,,,,,,
,,2006 - 2007,"18,088.00","1,971.00",0.11,,,,,,,,,,,,
,,2007 - 2008,"18,150.00","4,564.00",0.25,,,,,,,,,,,,
,,2008 - 2009,"18,105.00","3,361.00",0.19,,,,,,,,,,,,
,,2009 - 2010,"18,148.00","5,157.00",0.28,,,,,,,,,,,,
,,2010 - 2011,"15,445.00","5,038.00",0.33,,,,,,,,,,,,
,,2011 - 2012,"15,001.00","1,883.00",0.13,,,,,,,,,,,,
,,2012 - 2013,"14,034.00","2,709.00",0.19,,,,,,,,,,,,
,,2013 - 2014,"12,855.00","2,803.00",0.22,,,,,,,,,,,,
,,2014 - 2015,"12,431.00","4,114.00",0.33,,,,,,,,,,,,
,,2015 - 2016,"10,982.00","1,739.00",0.16,,,,,,,,,,,,
,,2016 - 2017,"9,711.00","4,969.00",0.51,,,,,,,,,,,,
,,2017 - 2018,"8,518.00","1,530.00",0.18,,,,,,,,,,,,
,,2018 - 2019,"6,134.00","2,905.00",0.47,,,,,,,,,,,,
,,2019 - 2020,"3,728.00","1,588.00",0.43,,,,,,,,,,,,
,,2020 - 2021,"2,468.00","1,134.00",0.46,,,,,,,,,,,,
,,2021 - 2022,"3,091.00","1,967.00",0.64,,,,,,,,,,,,
,,2022 - 2023,"3,164.00","1,743.00",0.55,,,,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,"1,462.00","1,195.00",0.82,,,,,,,,,,,,
,18. Kondagaon,2011 - 2012,"1,229.00",247,0.2,,,,,,,,,,,,
,,2012 - 2013,"1,213.00",219,0.18,,,,,,,,,,,,
,,2013 - 2014,953,174,0.18,,,,,,,,,,,,
,,2014 - 2015,840,172,0.2,,,,,,,,,,,,
,,2015 - 2016,784,74,0.09,,,,,,,,,,,,
,,2016 - 2017,852,258,0.3,,,,,,,,,,,,
,,2017 - 2018,785,173,0.22,,,,,,,,,,,,
,,2018 - 2019,698,234,0.34,,,,,,,,,,,,
,,2019 - 2020,"1,164.00",337,0.29,,,,,,,,,,,,
,,2020 - 2021,"1,171.00","1,030.00",0.88,,,,,,,,,,,,
,,2021 - 2022,"1,031.00","1,539.00",1.49,,,,,,,,,,,,
