State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,"2,745.00","3,294.00",1.2,,,,,,,,,
,,2022 - 2023,"9,291.00","12,980.00",1.4,,,,,,,,,
,61. Rae bareli,2000 - 2001,"6,989.00","5,159.00",0.74,,,,,,,,,
,,2001 - 2002,"7,921.00","5,766.00",0.73,,,,,,,,,
,,2002 - 2003,"7,326.00","5,755.00",0.79,,,,,,,,,
,,2003 - 2004,"6,923.00","5,133.00",0.74,,,,,,,,,
,,2004 - 2005,"10,147.00","9,287.00",0.92,,,,,,,,,
,,2005 - 2006,"7,357.00","4,847.00",0.66,,,,,,,,,
,,2006 - 2007,"10,176.00","7,397.00",0.73,,,,,,,,,
,,2007 - 2008,"8,422.00","10,402.00",1.24,,,,,,,,,
,,2008 - 2009,"8,533.00","7,896.00",0.93,,,,,,,,,
,,2009 - 2010,"8,125.00","5,990.00",0.74,,,,,,,,,
,,2010 - 2011,"6,521.00","4,858.00",0.74,,,,,,,,,
,,2011 - 2012,"6,686.00","5,631.00",0.84,,,,,,,,,
,,2012 - 2013,"6,570.00","6,761.00",1.03,,,,,,,,,
,,2013 - 2014,"7,102.00","5,412.00",0.76,,,,,,,,,
,,2014 - 2015,"7,698.00","4,582.00",0.6,,,,,,,,,
,,2015 - 2016,"7,071.00","2,657.00",0.38,,,,,,,,,
,,2016 - 2017,"6,937.00","4,568.00",0.66,,,,,,,,,
,,2017 - 2018,"6,723.00","5,063.00",0.75,,,,,,,,,
,,2018 - 2019,"6,787.00","4,212.00",0.62,,,,,,,,,
,,2019 - 2020,"8,351.00","6,232.00",0.75,,,,,,,,,
,,2020 - 2021,"6,759.00","3,601.00",0.53,,,,,,,,,
,,2021 - 2022,"7,792.00","5,283.00",0.68,,,,,,,,,
,,2022 - 2023,"8,971.00","7,284.00",0.81,,,,,,,,,
,62. Rampur,2000 - 2001,"4,204.00","3,881.00",0.92,,,,,,,,,
,,2001 - 2002,"3,909.00","4,849.00",1.24,,,,,,,,,
,,2002 - 2003,"2,926.00","2,149.00",0.73,,,,,,,,,
,,2003 - 2004,"2,961.00","3,268.00",1.1,,,,,,,,,
,,2004 - 2005,"3,643.00","4,616.00",1.27,,,,,,,,,
,,2005 - 2006,"1,888.00","2,246.00",1.19,,,,,,,,,
,,2006 - 2007,"3,375.00","3,272.00",0.97,,,,,,,,,
,,2007 - 2008,"4,416.00","4,198.00",0.95,,,,,,,,,
,,2008 - 2009,"4,824.00","5,019.00",1.04,,,,,,,,,
,,2009 - 2010,"4,125.00","4,426.00",1.07,,,,,,,,,
,,2010 - 2011,"3,366.00","3,788.00",1.13,,,,,,,,,
,,2011 - 2012,"4,332.00","5,259.00",1.21,,,,,,,,,
,,2012 - 2013,"4,320.00","4,856.00",1.12,,,,,,,,,
,,2013 - 2014,"3,497.00","3,959.00",1.13,,,,,,,,,
,,2014 - 2015,"3,577.00","2,431.00",0.68,,,,,,,,,
,,2015 - 2016,"3,222.00","2,716.00",0.84,,,,,,,,,
,,2016 - 2017,"4,036.00","5,557.00",1.38,,,,,,,,,
,,2017 - 2018,"3,765.00","3,823.00",1.02,,,,,,,,,
,,2018 - 2019,"4,422.00","5,070.00",1.15,,,,,,,,,
,,2019 - 2020,"3,905.00","4,658.00",1.19,,,,,,,,,
,,2020 - 2021,"5,282.00","7,613.00",1.44,,,,,,,,,
,,2021 - 2022,"5,121.00","7,169.00",1.4,,,,,,,,,
,,2022 - 2023,"4,896.00","7,001.00",1.43,,,,,,,,,
,63. Saharanpur,2000 - 2001,946,945,1,,,,,,,,,
,,2001 - 2002,958,963,1.01,,,,,,,,,
,,2002 - 2003,877,785,0.9,,,,,,,,,
,,2003 - 2004,957,950,0.99,,,,,,,,,
,,2004 - 2005,"1,599.00","1,587.00",0.99,,,,,,,,,
,,2005 - 2006,980,"1,130.00",1.15,,,,,,,,,
,,2006 - 2007,"1,507.00","1,548.00",1.03,,,,,,,,,
,,2007 - 2008,"1,343.00","1,555.00",1.16,,,,,,,,,
,,2008 - 2009,"1,061.00","1,195.00",1.13,,,,,,,,,
,,2009 - 2010,"1,139.00","1,268.00",1.11,,,,,,,,,
,,2010 - 2011,"1,272.00","1,520.00",1.19,,,,,,,,,
,,2011 - 2012,"1,182.00","1,204.00",1.02,,,,,,,,,
,,2012 - 2013,"1,178.00","1,312.00",1.11,,,,,,,,,
,,2013 - 2014,876,795,0.91,,,,,,,,,
,,2014 - 2015,"1,103.00",659,0.6,,,,,,,,,
,,2015 - 2016,"1,205.00","1,182.00",0.98,,,,,,,,,
,,2016 - 2017,980,"1,146.00",1.17,,,,,,,,,
,,2017 - 2018,963,"1,395.00",1.45,,,,,,,,,
,,2018 - 2019,917,"1,337.00",1.46,,,,,,,,,
,,2019 - 2020,857,"1,207.00",1.41,,,,,,,,,
,,2020 - 2021,983,"1,517.00",1.54,,,,,,,,,
,,2021 - 2022,"1,128.00","1,402.00",1.24,,,,,,,,,
,,2022 - 2023,"1,124.00","1,812.00",1.61,,,,,,,,,
,64. Sambhal,2012 - 2013,"13,619.00","20,129.00",1.48,,,,,,,,,
,,2013 - 2014,"11,640.00","15,589.00",1.34,,,,,,,,,
,,2014 - 2015,"10,575.00","10,217.00",0.97,,,,,,,,,
,,2015 - 2016,"11,856.00","15,053.00",1.27,,,,,,,,,
,,2016 - 2017,"11,839.00","16,289.00",1.38,,,,,,,,,
,,2017 - 2018,"10,912.00","16,436.00",1.51,,,,,,,,,
,,2018 - 2019,"13,412.00","19,659.00",1.47,,,,,,,,,
,,2019 - 2020,"13,412.00","21,457.00",1.6,,,,,,,,,
,,2020 - 2021,"14,444.00","23,718.00",1.64,,,,,,,,,
,,2021 - 2022,"16,236.00","21,496.00",1.32,,,,,,,,,
,,2022 - 2023,"10,864.00","17,448.00",1.61,,,,,,,,,
,65. Sant kabeer nagar,2000 - 2001,"1,859.00","2,002.00",1.08,,,,,,,,,
,,2001 - 2002,"2,242.00","1,807.00",0.81,,,,,,,,,
,,2002 - 2003,"1,990.00","1,229.00",0.62,,,,,,,,,
,,2003 - 2004,"2,161.00","1,320.00",0.61,,,,,,,,,
,,2004 - 2005,"2,225.00","2,212.00",0.99,,,,,,,,,
,,2005 - 2006,"1,941.00","2,251.00",1.16,,,,,,,,,
,,2006 - 2007,"2,144.00","2,211.00",1.03,,,,,,,,,
,,2007 - 2008,"2,316.00","2,680.00",1.16,,,,,,,,,
,,2008 - 2009,"2,312.00","2,615.00",1.13,,,,,,,,,
,,2009 - 2010,"2,071.00","2,311.00",1.12,,,,,,,,,
,,2010 - 2011,"2,261.00","2,704.00",1.2,,,,,,,,,
,,2011 - 2012,"2,237.00","2,548.00",1.14,,,,,,,,,
,,2012 - 2013,"2,187.00","2,758.00",1.26,,,,,,,,,
,,2013 - 2014,"2,895.00","2,941.00",1.02,,,,,,,,,
,,2014 - 2015,"2,167.00","1,690.00",0.78,,,,,,,,,
,,2015 - 2016,"2,401.00","2,456.00",1.02,,,,,,,,,
,,2016 - 2017,"4,107.00","4,485.00",1.09,,,,,,,,,
,,2017 - 2018,"2,523.00","2,773.00",1.1,,,,,,,,,
,,2018 - 2019,"3,522.00","3,966.00",1.13,,,,,,,,,
,,2019 - 2020,"2,472.00","2,050.00",0.83,,,,,,,,,
,,2020 - 2021,"2,489.00","2,587.00",1.04,,,,,,,,,
,,2021 - 2022,"3,010.00","4,112.00",1.37,,,,,,,,,
,,2022 - 2023,"3,190.00","4,775.00",1.5,,,,,,,,,
,66. Sant ravidas nagar,2000 - 2001,170,48,0.28,,,,,,,,,
,,2001 - 2002,165,81,0.49,,,,,,,,,
,,2002 - 2003,99,46,0.46,,,,,,,,,
,,2003 - 2004,92,46,0.5,,,,,,,,,
,,2004 - 2005,112,59,0.53,,,,,,,,,
,,2005 - 2006,110,50,0.45,,,,,,,,,
,,2006 - 2007,288,153,0.53,,,,,,,,,
,,2007 - 2008,124,56,0.45,,,,,,,,,
,,2008 - 2009,107,60,0.56,,,,,,,,,
,,2009 - 2010,126,74,0.59,,,,,,,,,
,,2010 - 2011,150,86,0.57,,,,,,,,,
,,2011 - 2012,154,81,0.53,,,,,,,,,
,,2012 - 2013,154,81,0.53,,,,,,,,,
,,2013 - 2014,147,96,0.65,,,,,,,,,
,,2014 - 2015,148,73,0.49,,,,,,,,,
,,2015 - 2016,190,84,0.44,,,,,,,,,
,,2016 - 2017,354,235,0.66,,,,,,,,,
,,2017 - 2018,131,86,0.66,,,,,,,,,
,,2018 - 2019,139,99,0.71,,,,,,,,,
,,2019 - 2020,176,125,0.71,,,,,,,,,
,,2020 - 2021,133,130,0.98,,,,,,,,,
,,2021 - 2022,173,150,0.87,,,,,,,,,
,,2022 - 2023,376,472,1.26,,,,,,,,,
,67. Shahjahanpur,2000 - 2001,"9,644.00","7,605.00",0.79,,,,,,,,,
,,2001 - 2002,"10,208.00","8,608.00",0.84,,,,,,,,,
,,2002 - 2003,"9,899.00","7,455.00",0.75,,,,,,,,,
,,2003 - 2004,"7,248.00","4,936.00",0.68,,,,,,,,,
,,2004 - 2005,"6,987.00","4,697.00",0.67,,,,,,,,,
,,2005 - 2006,"7,677.00","7,351.00",0.96,,,,,,,,,
,,2006 - 2007,"6,987.00","6,517.00",0.93,,,,,,,,,
,,2007 - 2008,"6,043.00","5,718.00",0.95,,,,,,,,,
,,2008 - 2009,"14,219.00","9,994.00",0.7,,,,,,,,,
,,2009 - 2010,"14,506.00","12,329.00",0.85,,,,,,,,,
,,2010 - 2011,"14,651.00","12,497.00",0.85,,,,,,,,,
,,2011 - 2012,"16,058.00","13,482.00",0.84,,,,,,,,,
,,2012 - 2013,"15,926.00","15,364.00",0.96,,,,,,,,,
,,2013 - 2014,"12,506.00","9,692.00",0.77,,,,,,,,,
,,2014 - 2015,"14,791.00","8,370.00",0.57,,,,,,,,,
,,2015 - 2016,"8,213.00","7,125.00",0.87,,,,,,,,,
,,2016 - 2017,"14,140.00","11,713.00",0.83,,,,,,,,,
,,2017 - 2018,"14,441.00","17,734.00",1.23,,,,,,,,,
,,2018 - 2019,"14,642.00","26,336.00",1.8,,,,,,,,,
,,2019 - 2020,"13,083.00","16,284.00",1.24,,,,,,,,,
,,2020 - 2021,"16,773.00","26,380.00",1.57,,,,,,,,,
,,2021 - 2022,"18,782.00","18,763.00",1,,,,,,,,,
,,2022 - 2023,"13,461.00","20,986.00",1.56,,,,,,,,,
,68. Shamli,2012 - 2013,829,924,1.11,,,,,,,,,
,,2013 - 2014,"1,223.00","1,110.00",0.91,,,,,,,,,
,,2014 - 2015,940,562,0.6,,,,,,,,,
,,2015 - 2016,"1,341.00","1,315.00",0.98,,,,,,,,,
,,2016 - 2017,951,938,0.99,,,,,,,,,
,,2017 - 2018,"1,303.00","2,104.00",1.61,,,,,,,,,
,,2018 - 2019,933,"1,647.00",1.77,,,,,,,,,
,,2019 - 2020,"2,375.00","3,955.00",1.67,,,,,,,,,
,,2020 - 2021,"1,572.00","2,796.00",1.78,,,,,,,,,
,,2021 - 2022,"1,814.00","2,988.00",1.65,,,,,,,,,
,,2022 - 2023,"2,234.00","3,981.00",1.78,,,,,,,,,
,69. Shravasti,2000 - 2001,"6,638.00","4,026.00",0.61,,,,,,,,,
,,2001 - 2002,"2,991.00","1,974.00",0.66,,,,,,,,,
,,2002 - 2003,"2,952.00","1,768.00",0.6,,,,,,,,,
,,2003 - 2004,"2,916.00","1,820.00",0.62,,,,,,,,,
,,2004 - 2005,"2,716.00","1,745.00",0.64,,,,,,,,,
,,2005 - 2006,"2,326.00","1,803.00",0.78,,,,,,,,,
,,2006 - 2007,"3,570.00","3,209.00",0.9,,,,,,,,,
,,2007 - 2008,"2,427.00","1,825.00",0.75,,,,,,,,,
,,2008 - 2009,"2,004.00","1,431.00",0.71,,,,,,,,,
,,2009 - 2010,"2,062.00","1,523.00",0.74,,,,,,,,,
,,2010 - 2011,"2,600.00","1,617.00",0.62,,,,,,,,,
,,2011 - 2012,"2,651.00",909,0.34,,,,,,,,,
,,2012 - 2013,"2,778.00","1,608.00",0.58,,,,,,,,,
,,2013 - 2014,"2,919.00","2,105.00",0.72,,,,,,,,,
,,2014 - 2015,"2,464.00","1,400.00",0.57,,,,,,,,,
,,2015 - 2016,"2,672.00","1,918.00",0.72,,,,,,,,,
,,2016 - 2017,"2,877.00","2,094.00",0.73,,,,,,,,,
,,2017 - 2018,"3,505.00","2,362.00",0.67,,,,,,,,,
,,2018 - 2019,"4,909.00","3,368.00",0.69,,,,,,,,,
,,2019 - 2020,"2,835.00","1,888.00",0.67,,,,,,,,,
,,2020 - 2021,"2,769.00","1,825.00",0.66,,,,,,,,,
,,2021 - 2022,"3,501.00","1,884.00",0.54,,,,,,,,,
,,2022 - 2023,"3,248.00","2,777.00",0.85,,,,,,,,,
,70. Siddharth nagar,2000 - 2001,"6,650.00","7,162.00",1.08,,,,,,,,,
,,2001 - 2002,"7,302.00","5,885.00",0.81,,,,,,,,,
,,2002 - 2003,"6,273.00","3,870.00",0.62,,,,,,,,,
,,2003 - 2004,"4,510.00","2,539.00",0.56,,,,,,,,,
,,2004 - 2005,"4,653.00","4,625.00",0.99,,,,,,,,,
,,2005 - 2006,"3,229.00","3,746.00",1.16,,,,,,,,,
,,2006 - 2007,"4,748.00","4,895.00",1.03,,,,,,,,,
,,2007 - 2008,"4,672.00","5,405.00",1.16,,,,,,,,,
,,2008 - 2009,"3,834.00","4,336.00",1.13,,,,,,,,,
,,2009 - 2010,"3,359.00","3,749.00",1.12,,,,,,,,,
,,2010 - 2011,"3,434.00","4,107.00",1.2,,,,,,,,,
,,2011 - 2012,"3,276.00","3,731.00",1.14,,,,,,,,,
,,2012 - 2013,"2,998.00","3,780.00",1.26,,,,,,,,,
,,2013 - 2014,"3,240.00","3,292.00",1.02,,,,,,,,,
,,2014 - 2015,"3,230.00","2,520.00",0.78,,,,,,,,,
,,2015 - 2016,"2,323.00","2,376.00",1.02,,,,,,,,,
,,2016 - 2017,"3,212.00","3,507.00",1.09,,,,,,,,,
,,2017 - 2018,"3,247.00","3,568.00",1.1,,,,,,,,,
,,2018 - 2019,"3,112.00","3,504.00",1.13,,,,,,,,,
,,2019 - 2020,"3,250.00","2,694.00",0.83,,,,,,,,,
,,2020 - 2021,"3,227.00","3,356.00",1.04,,,,,,,,,
,,2021 - 2022,"3,878.00","5,297.00",1.37,,,,,,,,,
,,2022 - 2023,"3,362.00","5,033.00",1.5,,,,,,,,,
,71. Sitapur,2000 - 2001,"13,713.00","8,262.00",0.6,,,,,,,,,
,,2001 - 2002,"16,345.00","10,729.00",0.66,,,,,,,,,
,,2002 - 2003,"14,579.00","8,875.00",0.61,,,,,,,,,
,,2003 - 2004,"14,991.00","9,444.00",0.63,,,,,,,,,
,,2004 - 2005,"14,662.00","9,560.00",0.65,,,,,,,,,
,,2005 - 2006,"8,314.00","5,820.00",0.7,,,,,,,,,
,,2006 - 2007,"14,662.00","13,090.00",0.89,,,,,,,,,
,,2007 - 2008,"24,942.00","22,701.00",0.91,,,,,,,,,
,,2008 - 2009,"20,912.00","16,438.00",0.79,,,,,,,,,
,,2009 - 2010,"16,233.00","13,328.00",0.82,,,,,,,,,
,,2010 - 2011,"19,830.00","18,839.00",0.95,,,,,,,,,
,,2011 - 2012,"24,432.00","17,622.00",0.72,,,,,,,,,
,,2012 - 2013,"26,840.00","23,776.00",0.89,,,,,,,,,
,,2013 - 2014,"23,466.00","16,488.00",0.7,,,,,,,,,
,,2014 - 2015,"25,374.00","15,874.00",0.63,,,,,,,,,
,,2015 - 2016,"24,189.00","20,059.00",0.83,,,,,,,,,
,,2016 - 2017,"27,742.00","24,974.00",0.9,,,,,,,,,
,,2017 - 2018,"26,634.00","25,242.00",0.95,,,,,,,,,
,,2018 - 2019,"28,359.00","23,924.00",0.84,,,,,,,,,
,,2019 - 2020,"28,274.00","22,925.00",0.81,,,,,,,,,
,,2020 - 2021,"27,572.00","27,077.00",0.98,,,,,,,,,
,,2021 - 2022,"35,596.00","33,959.00",0.95,,,,,,,,,
,,2022 - 2023,"31,860.00","37,436.00",1.18,,,,,,,,,
,72. Sonbhadra,2000 - 2001,"4,124.00","1,173.00",0.28,,,,,,,,,
,,2001 - 2002,"4,062.00","1,218.00",0.3,,,,,,,,,
,,2002 - 2003,"3,901.00","1,469.00",0.38,,,,,,,,,
,,2003 - 2004,"3,720.00","1,398.00",0.38,,,,,,,,,
,,2004 - 2005,"2,891.00","1,016.00",0.35,,,,,,,,,
,,2005 - 2006,"3,557.00","1,621.00",0.46,,,,,,,,,
,,2006 - 2007,"3,402.00","1,802.00",0.53,,,,,,,,,
,,2007 - 2008,"2,275.00","1,020.00",0.45,,,,,,,,,
,,2008 - 2009,"2,715.00","1,510.00",0.56,,,,,,,,,
,,2009 - 2010,"2,901.00","1,714.00",0.59,,,,,,,,,
,,2010 - 2011,"3,095.00","1,817.00",0.59,,,,,,,,,
,,2011 - 2012,"3,237.00","1,372.00",0.42,,,,,,,,,
,,2012 - 2013,"3,596.00","1,809.00",0.5,,,,,,,,,
,,2013 - 2014,"3,610.00","2,108.00",0.58,,,,,,,,,
,,2014 - 2015,"4,003.00","1,549.00",0.39,,,,,,,,,
,,2015 - 2016,"4,013.00","1,589.00",0.4,,,,,,,,,
,,2016 - 2017,"3,797.00","2,312.00",0.61,,,,,,,,,
,,2017 - 2018,"2,920.00","1,758.00",0.6,,,,,,,,,
,,2018 - 2019,"3,164.00","1,898.00",0.6,,,,,,,,,
,,2019 - 2020,"3,328.00","2,157.00",0.65,,,,,,,,,
,,2020 - 2021,"3,209.00","3,424.00",1.07,,,,,,,,,
,,2021 - 2022,"4,237.00","3,453.00",0.81,,,,,,,,,
,,2022 - 2023,"5,551.00","7,127.00",1.28,,,,,,,,,
,73. Sultanpur,2000 - 2001,"3,337.00","2,223.00",0.67,,,,,,,,,
,,2001 - 2002,"3,727.00","3,239.00",0.87,,,,,,,,,
,,2002 - 2003,"3,772.00","3,086.00",0.82,,,,,,,,,
,,2003 - 2004,"3,879.00","2,984.00",0.77,,,,,,,,,
,,2004 - 2005,"3,819.00","3,082.00",0.81,,,,,,,,,
,,2005 - 2006,"4,977.00","5,753.00",1.16,,,,,,,,,
,,2006 - 2007,"4,038.00","5,103.00",1.26,,,,,,,,,
,,2007 - 2008,"3,971.00","4,598.00",1.16,,,,,,,,,
,,2008 - 2009,"3,956.00","2,706.00",0.68,,,,,,,,,
,,2009 - 2010,"3,756.00","2,926.00",0.78,,,,,,,,,
,,2010 - 2011,"2,764.00","2,877.00",1.04,,,,,,,,,
,,2011 - 2012,"2,682.00","1,791.00",0.67,,,,,,,,,
,,2012 - 2013,"2,746.00","2,033.00",0.74,,,,,,,,,
,,2013 - 2014,"2,906.00","1,373.00",0.47,,,,,,,,,
,,2014 - 2015,"2,722.00","1,301.00",0.48,,,,,,,,,
,,2015 - 2016,"2,830.00","2,137.00",0.76,,,,,,,,,
,,2016 - 2017,"2,735.00","1,960.00",0.72,,,,,,,,,
,,2017 - 2018,"2,875.00","2,356.00",0.82,,,,,,,,,
,,2018 - 2019,"3,256.00","2,768.00",0.85,,,,,,,,,
,,2019 - 2020,"2,864.00","1,864.00",0.65,,,,,,,,,
,,2020 - 2021,"2,783.00","2,104.00",0.76,,,,,,,,,
,,2021 - 2022,"3,313.00","2,465.00",0.74,,,,,,,,,
,,2022 - 2023,"3,189.00","3,419.00",1.07,,,,,,,,,
,74. Unnao,2000 - 2001,"10,434.00","10,055.00",0.96,,,,,,,,,
,,2001 - 2002,"12,769.00","11,826.00",0.93,,,,,,,,,
,,2002 - 2003,"12,392.00","8,622.00",0.7,,,,,,,,,
,,2003 - 2004,"12,698.00","8,692.00",0.68,,,,,,,,,
,,2004 - 2005,"13,729.00","10,426.00",0.76,,,,,,,,,
,,2005 - 2006,"13,534.00","12,911.00",0.95,,,,,,,,,
,,2006 - 2007,"12,779.00","8,926.00",0.7,,,,,,,,,
,,2007 - 2008,"13,698.00","12,775.00",0.93,,,,,,,,,
,,2008 - 2009,"15,934.00","14,904.00",0.94,,,,,,,,,
,,2009 - 2010,"14,466.00","15,051.00",1.04,,,,,,,,,
,,2010 - 2011,"13,430.00","12,064.00",0.9,,,,,,,,,
,,2011 - 2012,"14,459.00","13,862.00",0.96,,,,,,,,,
,,2012 - 2013,"12,989.00","13,830.00",1.06,,,,,,,,,
,,2013 - 2014,"15,792.00","12,800.00",0.81,,,,,,,,,
,,2014 - 2015,"15,484.00","8,566.00",0.55,,,,,,,,,
,,2015 - 2016,"15,079.00","11,692.00",0.78,,,,,,,,,
,,2016 - 2017,"16,044.00","14,867.00",0.93,,,,,,,,,
,,2017 - 2018,"17,256.00","18,937.00",1.1,,,,,,,,,
,,2018 - 2019,"16,930.00","20,258.00",1.2,,,,,,,,,
,,2019 - 2020,"16,156.00","18,026.00",1.12,,,,,,,,,
,,2020 - 2021,"16,234.00","19,102.00",1.18,,,,,,,,,
,,2021 - 2022,"18,477.00","15,410.00",0.83,,,,,,,,,
,,2022 - 2023,"34,960.00","34,366.00",0.98,,,,,,,,,
,75. Varanasi,2000 - 2001,689,689,1,,,,,,,,,
,,2001 - 2002,476,483,1.01,,,,,,,,,
,,2002 - 2003,517,463,0.9,,,,,,,,,
,,2003 - 2004,516,514,1,,,,,,,,,
,,2004 - 2005,591,587,0.99,,,,,,,,,
,,2005 - 2006,543,628,1.16,,,,,,,,,
,,2006 - 2007,560,576,1.03,,,,,,,,,
,,2007 - 2008,623,721,1.16,,,,,,,,,
,,2008 - 2009,659,743,1.13,,,,,,,,,
,,2009 - 2010,780,870,1.12,,,,,,,,,
,,2010 - 2011,760,909,1.2,,,,,,,,,
,,2011 - 2012,763,"1,047.00",1.37,,,,,,,,,
,,2012 - 2013,742,936,1.26,,,,,,,,,
,,2013 - 2014,751,762,1.01,,,,,,,,,
,,2014 - 2015,705,547,0.78,,,,,,,,,
,,2015 - 2016,704,282,0.4,,,,,,,,,
,,2016 - 2017,720,"1,397.00",1.94,,,,,,,,,
,,2017 - 2018,665,769,1.16,,,,,,,,,
,,2018 - 2019,"1,157.00",573,0.5,,,,,,,,,
,,2019 - 2020,728,243,0.33,,,,,,,,,
,,2020 - 2021,721,656,0.91,,,,,,,,,
,,2021 - 2022,891,759,0.85,,,,,,,,,
,,2022 - 2023,"1,233.00","1,846.00",1.5,,,,,,,,,
33. Uttarakhand,1. Almora,2000 - 2001,330,132,0.4,,,,,,,,,
,,2001 - 2002,300,120,0.4,,,,,,,,,
,,2002 - 2003,390,148,0.38,,,,,,,,,
,,2003 - 2004,489,240,0.49,,,,,,,,,
,,2004 - 2005,483,193,0.4,,,,,,,,,
,,2005 - 2006,434,239,0.55,,,,,,,,,
,,2006 - 2007,436,109,0.25,,,,,,,,,
,,2007 - 2008,767,307,0.4,,,,,,,,,
,,2008 - 2009,426,96,0.23,,,,,,,,,
,,2009 - 2010,762,459,0.6,,,,,,,,,
,,2010 - 2011,503,342,0.68,,,,,,,,,
,,2011 - 2012,480,346,0.72,,,,,,,,,
,,2012 - 2013,651,330,0.51,,,,,,,,,
,,2013 - 2014,561,432,0.77,,,,,,,,,
,,2014 - 2015,685,374,0.55,,,,,,,,,
,,2015 - 2016,490,206,0.42,,,,,,,,,
,,2016 - 2017,712,287,0.4,,,,,,,,,
,,2017 - 2018,"1,312.00","1,115.00",0.85,,,,,,,,,
,,2018 - 2019,"1,099.00",853,0.78,,,,,,,,,
,,2019 - 2020,"1,467.00","1,424.00",0.97,,,,,,,,,
,,2020 - 2021,"1,026.00",793,0.77,,,,,,,,,
,,2021 - 2022,"1,349.00","1,249.00",0.93,,,,,,,,,
,,2022 - 2023,"1,964.00","1,358.00",0.69,,,,,,,,,
,2. Bageshwar,2000 - 2001,162,81,0.5,,,,,,,,,
,,2001 - 2002,80,42,0.53,,,,,,,,,
,,2002 - 2003,99,48,0.48,,,,,,,,,
,,2003 - 2004,183,101,0.55,,,,,,,,,
,,2004 - 2005,61,31,0.51,,,,,,,,,
,,2005 - 2006,145,73,0.5,,,,,,,,,
,,2006 - 2007,363,91,0.25,,,,,,,,,
,,2007 - 2008,180,77,0.43,,,,,,,,,
,,2008 - 2009,127,32,0.25,,,,,,,,,
,,2009 - 2010,96,50,0.52,,,,,,,,,
,,2010 - 2011,62,20,0.32,,,,,,,,,
,,2011 - 2012,78,26,0.33,,,,,,,,,
,,2012 - 2013,134,44,0.33,,,,,,,,,
,,2013 - 2014,134,45,0.34,,,,,,,,,
,,2014 - 2015,176,76,0.43,,,,,,,,,
,,2015 - 2016,151,33,0.22,,,,,,,,,
,,2016 - 2017,93,22,0.24,,,,,,,,,
,,2017 - 2018,39,23,0.59,,,,,,,,,
,,2018 - 2019,23,13,0.57,,,,,,,,,
,,2019 - 2020,26,10,0.38,,,,,,,,,
,,2020 - 2021,43,26,0.6,,,,,,,,,
,,2021 - 2022,143,84,0.59,,,,,,,,,
,,2022 - 2023,292,236,0.81,,,,,,,,,
,3. Chamoli,2000 - 2001,550,248,0.45,,,,,,,,,
,,2001 - 2002,553,254,0.46,,,,,,,,,
,,2002 - 2003,502,201,0.4,,,,,,,,,
,,2003 - 2004,590,348,0.59,,,,,,,,,
,,2004 - 2005,532,239,0.45,,,,,,,,,
,,2005 - 2006,524,183,0.35,,,,,,,,,
,,2006 - 2007,497,273,0.55,,,,,,,,,
,,2007 - 2008,528,264,0.5,,,,,,,,,
,,2008 - 2009,504,202,0.4,,,,,,,,,
,,2009 - 2010,479,193,0.4,,,,,,,,,
,,2010 - 2011,668,309,0.46,,,,,,,,,
,,2011 - 2012,575,273,0.47,,,,,,,,,
,,2012 - 2013,422,198,0.47,,,,,,,,,
,,2013 - 2014,407,193,0.47,,,,,,,,,
,,2014 - 2015,557,324,0.58,,,,,,,,,
,,2015 - 2016,543,518,0.95,,,,,,,,,
,,2016 - 2017,531,453,0.85,,,,,,,,,
,,2017 - 2018,390,140,0.36,,,,,,,,,
,,2018 - 2019,533,431,0.81,,,,,,,,,
,,2019 - 2020,505,395,0.78,,,,,,,,,
,,2020 - 2021,530,296,0.56,,,,,,,,,
,,2021 - 2022,634,290,0.46,,,,,,,,,
,,2022 - 2023,653,457,0.7,,,,,,,,,
,4. Champawat,2000 - 2001,573,287,0.5,,,,,,,,,
,,2001 - 2002,376,188,0.5,,,,,,,,,
,,2002 - 2003,399,188,0.47,,,,,,,,,
,,2003 - 2004,510,337,0.66,,,,,,,,,
,,2004 - 2005,516,310,0.6,,,,,,,,,
,,2005 - 2006,494,272,0.55,,,,,,,,,
,,2006 - 2007,863,224,0.26,,,,,,,,,
,,2007 - 2008,378,151,0.4,,,,,,,,,
,,2008 - 2009,529,130,0.25,,,,,,,,,
,,2009 - 2010,436,253,0.58,,,,,,,,,
,,2010 - 2011,484,413,0.85,,,,,,,,,
,,2011 - 2012,800,671,0.84,,,,,,,,,
,,2012 - 2013,730,692,0.95,,,,,,,,,
,,2013 - 2014,523,540,1.03,,,,,,,,,
,,2014 - 2015,583,458,0.79,,,,,,,,,
,,2015 - 2016,554,374,0.68,,,,,,,,,
,,2016 - 2017,638,657,1.03,,,,,,,,,
,,2017 - 2018,623,652,1.05,,,,,,,,,
,,2018 - 2019,689,723,1.05,,,,,,,,,
,,2019 - 2020,800,876,1.1,,,,,,,,,
,,2020 - 2021,652,377,0.58,,,,,,,,,
,,2021 - 2022,628,364,0.58,,,,,,,,,
,,2022 - 2023,719,651,0.91,,,,,,,,,
