State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,"15,455.00","13,195.00",0.85,,,,,,,,,
,,2006 - 2007,"22,842.00","24,311.00",1.06,,,,,,,,,
,,2007 - 2008,"25,945.00","28,356.00",1.09,,,,,,,,,
,,2008 - 2009,"28,935.00","33,129.00",1.14,,,,,,,,,
,,2009 - 2010,"28,707.00","32,346.00",1.13,,,,,,,,,
,,2010 - 2011,"32,684.00","41,602.00",1.27,,,,,,,,,
,,2011 - 2012,"35,556.00","31,547.00",0.89,,,,,,,,,
,,2012 - 2013,"35,271.00","47,529.00",1.35,,,,,,,,,
,,2013 - 2014,"36,042.00","44,215.00",1.23,,,,,,,,,
,,2014 - 2015,"34,771.00","14,064.00",0.4,,,,,,,,,
,,2015 - 2016,"33,419.00","17,417.00",0.52,,,,,,,,,
,,2016 - 2017,"29,085.00","25,089.00",0.86,,,,,,,,,
,,2017 - 2018,"27,694.00","8,934.00",0.32,,,,,,,,,
,,2018 - 2019,"21,445.00","11,327.00",0.53,,,,,,,,,
,,2019 - 2020,"17,968.00","20,951.00",1.17,,,,,,,,,
,,2020 - 2021,"16,285.00","12,165.00",0.75,,,,,,,,,
,,2021 - 2022,"7,754.00","6,713.00",0.87,,,,,,,,,
,,2022 - 2023,"7,136.00","7,101.00",1,,,,,,,,,
,16. Kanker,2000 - 2001,84,55,0.65,,,,,,,,,
,,2001 - 2002,19,22,1.16,,,,,,,,,
,,2002 - 2003,10,2,0.2,,,,,,,,,
,,2003 - 2004,8,11,1.38,,,,,,,,,
,,2004 - 2005,4,6,1.5,,,,,,,,,
,,2005 - 2006,6,8,1.33,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2017 - 2018,21,8,0.38,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,5,5,1,,,,,,,,,
,,2020 - 2021,13,14,1.08,,,,,,,,,
,,2021 - 2022,22,15,0.68,,,,,,,,,
,,2022 - 2023,15,12,0.8,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,"12,087.00","11,892.00",0.98,,,,,,,,,
,18. Kondagaon,2011 - 2012,4,4,1,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,19. Korba,2000 - 2001,2,1,0.5,,,,,,,,,
,,2001 - 2002,1,1,1,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,
,,2005 - 2006,3,2,0.67,,,,,,,,,
,,2006 - 2007,3,2,0.67,,,,,,,,,
,,2007 - 2008,3,4,1.33,,,,,,,,,
,,2008 - 2009,3,4,1.33,,,,,,,,,
,,2009 - 2010,2,,0,,,,,,,,,
,,2010 - 2011,3,2,0.67,,,,,,,,,
,,2011 - 2012,4,3,0.75,,,,,,,,,
,,2012 - 2013,2,2,1,,,,,,,,,
,,2013 - 2014,2,2,1,,,,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,20. Korea,2000 - 2001,5,3,0.6,,,,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,,,,
,,2002 - 2003,30,13,0.43,,,,,,,,,
,,2003 - 2004,4,2,0.5,,,,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,,,,
,,2006 - 2007,3,2,0.67,,,,,,,,,
,,2007 - 2008,8,6,0.75,,,,,,,,,
,,2008 - 2009,3,3,1,,,,,,,,,
,,2009 - 2010,3,3,1,,,,,,,,,
,,2010 - 2011,3,,0,,,,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,,,,
,,2015 - 2016,4,1,0.25,,,,,,,,,
,,2016 - 2017,4,3,0.75,,,,,,,,,
,,2017 - 2018,3,1,0.33,,,,,,,,,
,,2018 - 2019,3,2,0.67,,,,,,,,,
,,2019 - 2020,5,4,0.8,,,,,,,,,
,21. Mahasamund,2000 - 2001,11,7,0.64,,,,,,,,,
,,2001 - 2002,15,18,1.2,,,,,,,,,
,,2002 - 2003,17,14,0.82,,,,,,,,,
,,2004 - 2005,14,17,1.21,,,,,,,,,
,,2005 - 2006,15,17,1.13,,,,,,,,,
,,2006 - 2007,15,18,1.2,,,,,,,,,
,,2007 - 2008,17,24,1.41,,,,,,,,,
,,2008 - 2009,8,13,1.63,,,,,,,,,
,,2011 - 2012,4,4,1,,,,,,,,,
,,2012 - 2013,2,4,2,,,,,,,,,
,,2013 - 2014,4,4,1,,,,,,,,,
,,2014 - 2015,2,3,1.5,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2021 - 2022,2,4,2,,,,,,,,,
,,2022 - 2023,2,3,1.5,,,,,,,,,
,22. Mungeli,2011 - 2012,"4,989.00","4,885.00",0.98,,,,,,,,,
,,2012 - 2013,"5,386.00","9,344.00",1.73,,,,,,,,,
,,2013 - 2014,"4,400.00","5,497.00",1.25,,,,,,,,,
,,2014 - 2015,"6,186.00","5,344.00",0.86,,,,,,,,,
,,2015 - 2016,"6,416.00","3,920.00",0.61,,,,,,,,,
,,2016 - 2017,"5,564.00","6,902.00",1.24,,,,,,,,,
,,2017 - 2018,"5,837.00","2,551.00",0.44,,,,,,,,,
,,2018 - 2019,"4,406.00","3,956.00",0.9,,,,,,,,,
,,2019 - 2020,"2,660.00","3,896.00",1.46,,,,,,,,,
,,2020 - 2021,"2,264.00","2,143.00",0.95,,,,,,,,,
,,2021 - 2022,489,421,0.86,,,,,,,,,
,,2022 - 2023,304,351,1.15,,,,,,,,,
,23. Narayanpur,2006 - 2007,1,,0,,,,,,,,,
,24. Raigarh,2000 - 2001,186,69,0.37,,,,,,,,,
,,2002 - 2003,78,41,0.53,,,,,,,,,
,,2003 - 2004,52,46,0.88,,,,,,,,,
,,2004 - 2005,33,24,0.73,,,,,,,,,
,,2006 - 2007,13,14,1.08,,,,,,,,,
,,2007 - 2008,11,13,1.18,,,,,,,,,
,,2008 - 2009,6,7,1.17,,,,,,,,,
,,2009 - 2010,8,8,1,,,,,,,,,
,,2010 - 2011,13,16,1.23,,,,,,,,,
,,2011 - 2012,5,3,0.6,,,,,,,,,
,,2012 - 2013,2,2,1,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2014 - 2015,3,3,1,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,3,2,0.67,,,,,,,,,
,,2017 - 2018,5,3,0.6,,,,,,,,,
,25. Raipur,2000 - 2001,733,453,0.62,,,,,,,,,
,,2001 - 2002,756,860,1.14,,,,,,,,,
,,2002 - 2003,728,509,0.7,,,,,,,,,
,,2003 - 2004,799,855,1.07,,,,,,,,,
,,2004 - 2005,794,"1,005.00",1.27,,,,,,,,,
,,2005 - 2006,728,870,1.2,,,,,,,,,
,,2006 - 2007,744,937,1.26,,,,,,,,,
,,2007 - 2008,700,"1,030.00",1.47,,,,,,,,,
,,2008 - 2009,521,695,1.33,,,,,,,,,
,,2009 - 2010,455,525,1.15,,,,,,,,,
,,2010 - 2011,450,704,1.56,,,,,,,,,
,,2011 - 2012,264,239,0.91,,,,,,,,,
,,2012 - 2013,230,443,1.93,,,,,,,,,
,,2013 - 2014,143,233,1.63,,,,,,,,,
,,2014 - 2015,159,178,1.12,,,,,,,,,
,,2015 - 2016,135,115,0.85,,,,,,,,,
,,2016 - 2017,123,167,1.36,,,,,,,,,
,,2017 - 2018,150,84,0.56,,,,,,,,,
,,2018 - 2019,59,64,1.08,,,,,,,,,
,,2019 - 2020,67,117,1.75,,,,,,,,,
,,2020 - 2021,79,87,1.1,,,,,,,,,
,,2021 - 2022,62,63,1.02,,,,,,,,,
,,2022 - 2023,50,68,1.36,,,,,,,,,
,26. Rajnandgaon,2000 - 2001,"6,485.00","3,817.00",0.59,,,,,,,,,
,,2001 - 2002,"3,135.00","2,616.00",0.83,,,,,,,,,
,,2002 - 2003,"6,397.00","3,664.00",0.57,,,,,,,,,
,,2003 - 2004,"6,941.00","6,302.00",0.91,,,,,,,,,
,,2004 - 2005,"8,143.00","7,936.00",0.97,,,,,,,,,
,,2005 - 2006,"11,326.00","11,604.00",1.02,,,,,,,,,
,,2006 - 2007,"13,348.00","13,708.00",1.03,,,,,,,,,
,,2007 - 2008,"16,240.00","21,434.00",1.32,,,,,,,,,
,,2008 - 2009,"19,073.00","17,833.00",0.93,,,,,,,,,
,,2009 - 2010,"20,145.00","15,849.00",0.79,,,,,,,,,
,,2010 - 2011,"21,001.00","24,888.00",1.19,,,,,,,,,
,,2011 - 2012,"22,148.00","18,296.00",0.83,,,,,,,,,
,,2012 - 2013,"23,248.00","29,166.00",1.25,,,,,,,,,
,,2013 - 2014,"24,206.00","27,646.00",1.14,,,,,,,,,
,,2014 - 2015,"23,275.00","8,765.00",0.38,,,,,,,,,
,,2015 - 2016,"35,269.00","15,173.00",0.43,,,,,,,,,
,,2016 - 2017,"25,581.00","19,741.00",0.77,,,,,,,,,
,,2017 - 2018,"24,644.00","10,813.00",0.44,,,,,,,,,
,,2018 - 2019,"24,258.00","20,710.00",0.85,,,,,,,,,
,,2019 - 2020,"26,322.00","33,070.00",1.26,,,,,,,,,
,,2020 - 2021,"23,674.00","19,075.00",0.81,,,,,,,,,
,,2021 - 2022,"18,063.00","12,874.00",0.71,,,,,,,,,
,,2022 - 2023,"2,643.00","2,600.00",0.98,,,,,,,,,
,27. Sukma,2012 - 2013,1,2,2,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,28. Surajpur,2011 - 2012,18,12,0.67,,,,,,,,,
,,2012 - 2013,15,15,1,,,,,,,,,
,,2013 - 2014,15,12,0.8,,,,,,,,,
,,2014 - 2015,11,5,0.45,,,,,,,,,
,,2015 - 2016,14,6,0.43,,,,,,,,,
,,2016 - 2017,11,8,0.73,,,,,,,,,
,,2017 - 2018,7,2,0.29,,,,,,,,,
,,2018 - 2019,5,4,0.8,,,,,,,,,
,29. Surguja,2000 - 2001,63,32,0.51,,,,,,,,,
,,2001 - 2002,54,38,0.7,,,,,,,,,
,,2002 - 2003,39,19,0.49,,,,,,,,,
,,2003 - 2004,38,33,0.87,,,,,,,,,
,,2004 - 2005,42,31,0.74,,,,,,,,,
,,2005 - 2006,61,53,0.87,,,,,,,,,
,,2006 - 2007,60,55,0.92,,,,,,,,,
,,2007 - 2008,54,56,1.04,,,,,,,,,
,,2008 - 2009,79,73,0.92,,,,,,,,,
,,2009 - 2010,91,47,0.52,,,,,,,,,
,,2010 - 2011,47,24,0.51,,,,,,,,,
,,2011 - 2012,9,7,0.78,,,,,,,,,
,,2012 - 2013,8,9,1.13,,,,,,,,,
,,2013 - 2014,9,8,0.89,,,,,,,,,
,,2014 - 2015,6,4,0.67,,,,,,,,,
,,2015 - 2016,6,3,0.5,,,,,,,,,
,,2017 - 2018,4,1,0.25,,,,,,,,,
,,2018 - 2019,5,4,0.8,,,,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,,,,
5. Gujarat,1. Ahmadabad,2015 - 2016,10,8,0.8,,,,,,,,,
,,2017 - 2018,2,2,1,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,
,,2022 - 2023,524,881,1.68,,,,,,,,,
,2. Amreli,2015 - 2016,357,275,0.77,,,,,,,,,
,,2018 - 2019,3,2,0.67,,,,,,,,,
,,2020 - 2021,659,895,1.36,,,,,,,,,
,,2021 - 2022,"10,914.00","17,797.00",1.63,,,,,,,,,
,,2022 - 2023,"7,190.00","14,054.00",1.95,,,,,,,,,
,3. Anand,2015 - 2016,2,2,1,,,,,,,,,
,,2016 - 2017,10,7,0.7,,,,,,,,,
,,2017 - 2018,34,24,0.71,,,,,,,,,
,,2018 - 2019,10,18,1.8,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2021 - 2022,37,60,1.62,,,,,,,,,
,,2022 - 2023,17,29,1.71,,,,,,,,,
,4. Aravalli,2014 - 2015,"9,130.00","7,289.00",0.8,,,,,,,,,
,,2015 - 2016,"10,297.00","8,220.00",0.8,,,,,,,,,
,,2016 - 2017,"15,646.00","16,898.00",1.08,,,,,,,,,
,,2017 - 2018,"16,727.00","20,741.00",1.24,,,,,,,,,
,,2018 - 2019,"17,153.00","1,45,438.00",8.48,,,,,,,,,
,,2019 - 2020,"14,389.00","19,750.00",1.37,,,,,,,,,
,,2020 - 2021,"26,651.00","37,690.00",1.41,,,,,,,,,
,,2021 - 2022,"30,621.00","53,563.00",1.75,,,,,,,,,
,,2022 - 2023,"33,266.00","59,018.00",1.77,,,,,,,,,
,5. Banas kantha,2021 - 2022,98,160,1.63,,,,,,,,,
,,2022 - 2023,38,64,1.68,,,,,,,,,
,6. Bharuch,2010 - 2011,"8,100.00","6,700.00",0.83,,,,,,,,,
,,2017 - 2018,"5,515.00","6,894.00",1.25,,,,,,,,,
,,2018 - 2019,"4,885.00","3,908.00",0.8,,,,,,,,,
,,2019 - 2020,"5,258.00","7,338.00",1.4,,,,,,,,,
,,2020 - 2021,"6,841.00","7,322.00",1.07,,,,,,,,,
,,2021 - 2022,"6,089.00","7,703.00",1.27,,,,,,,,,
,,2022 - 2023,"4,880.00","6,054.00",1.24,,,,,,,,,
,7. Bhavnagar,2021 - 2022,9,15,1.67,,,,,,,,,
,,2022 - 2023,604,"1,016.00",1.68,,,,,,,,,
,8. Botad,2020 - 2021,28,38,1.36,,,,,,,,,
,,2021 - 2022,46,75,1.63,,,,,,,,,
,,2022 - 2023,309,520,1.68,,,,,,,,,
,9. Chhotaudepur,2014 - 2015,282,240,0.85,,,,,,,,,
,,2015 - 2016,"5,725.00","4,806.00",0.84,,,,,,,,,
,,2016 - 2017,"9,720.00","8,068.00",0.83,,,,,,,,,
,,2017 - 2018,"12,110.00","10,233.00",0.85,,,,,,,,,
,,2018 - 2019,"10,148.00","17,329.00",1.71,,,,,,,,,
,,2019 - 2020,"11,131.00","19,507.00",1.75,,,,,,,,,
,,2020 - 2021,"10,821.00","16,956.00",1.57,,,,,,,,,
,,2021 - 2022,"14,865.00","25,476.00",1.71,,,,,,,,,
,,2022 - 2023,"15,693.00","21,934.00",1.4,,,,,,,,,
,10. Dang,2010 - 2011,"3,200.00","2,600.00",0.81,,,,,,,,,
,,2012 - 2013,500,200,0.4,,,,,,,,,
,,2015 - 2016,"2,277.00",940,0.41,,,,,,,,,
,,2016 - 2017,"1,829.00","1,097.00",0.6,,,,,,,,,
,,2017 - 2018,"2,944.00","2,061.00",0.7,,,,,,,,,
,,2018 - 2019,"2,710.00","3,344.00",1.23,,,,,,,,,
,,2019 - 2020,"1,395.00",888,0.64,,,,,,,,,
,,2020 - 2021,"1,051.00","1,425.00",1.36,,,,,,,,,
,,2021 - 2022,964,"1,119.00",1.16,,,,,,,,,
,,2022 - 2023,"1,016.00","1,093.00",1.08,,,,,,,,,
,11. Devbhumi dwarka,2016 - 2017,169,296,1.75,,,,,,,,,
,,2021 - 2022,12,20,1.67,,,,,,,,,
,,2022 - 2023,187,315,1.68,,,,,,,,,
,12. Dohad,2010 - 2011,"34,500.00","27,500.00",0.8,,,,,,,,,
,,2011 - 2012,"29,300.00","22,700.00",0.77,,,,,,,,,
,,2012 - 2013,"32,600.00","25,700.00",0.79,,,,,,,,,
,,2013 - 2014,"35,075.00","27,604.00",0.79,,,,,,,,,
,,2014 - 2015,"30,638.00","23,992.00",0.78,,,,,,,,,
,,2015 - 2016,"35,077.00","27,552.00",0.79,,,,,,,,,
,,2016 - 2017,"41,046.00","31,195.00",0.76,,,,,,,,,
,,2017 - 2018,"56,894.00","43,808.00",0.77,,,,,,,,,
,,2018 - 2019,"35,959.00","72,206.00",2.01,,,,,,,,,
,,2019 - 2020,"28,759.00","28,459.00",0.99,,,,,,,,,
,,2020 - 2021,"28,479.00","31,173.00",1.09,,,,,,,,,
,,2021 - 2022,"23,940.00","26,129.00",1.09,,,,,,,,,
,,2022 - 2023,"22,721.00","24,964.00",1.1,,,,,,,,,
,13. Gandhinagar,2016 - 2017,50,44,0.88,,,,,,,,,
,,2020 - 2021,76,103,1.36,,,,,,,,,
,,2021 - 2022,119,194,1.63,,,,,,,,,
,,2022 - 2023,158,266,1.68,,,,,,,,,
,14. Gir somnath,2020 - 2021,2,3,1.5,,,,,,,,,
,,2021 - 2022,"25,855.00","41,549.00",1.61,,,,,,,,,
,,2022 - 2023,"22,030.00","42,024.00",1.91,,,,,,,,,
,15. Jamnagar,2010 - 2011,100,100,1,,,,,,,,,
,,2014 - 2015,48,18,0.38,,,,,,,,,
,,2015 - 2016,315,117,0.37,,,,,,,,,
,,2018 - 2019,4,5,1.25,,,,,,,,,
,,2021 - 2022,752,"1,226.00",1.63,,,,,,,,,
,,2022 - 2023,"2,449.00","4,119.00",1.68,,,,,,,,,
,16. Junagadh,2010 - 2011,100,100,1,,,,,,,,,
,,2013 - 2014,40,30,0.75,,,,,,,,,
,,2014 - 2015,130,97,0.75,,,,,,,,,
,,2015 - 2016,235,176,0.75,,,,,,,,,
,,2018 - 2019,"5,457.00","4,065.00",0.74,,,,,,,,,
,,2019 - 2020,"2,700.00","3,560.00",1.32,,,,,,,,,
,,2020 - 2021,"19,360.00","28,946.00",1.5,,,,,,,,,
,,2021 - 2022,"50,695.00","94,029.00",1.85,,,,,,,,,
,,2022 - 2023,"48,425.00","94,588.00",1.95,,,,,,,,,
,17. Kachchh,2016 - 2017,5,4,0.8,,,,,,,,,
,,2017 - 2018,50,44,0.88,,,,,,,,,
,,2021 - 2022,20,33,1.65,,,,,,,,,
,18. Kheda,2010 - 2011,500,400,0.8,,,,,,,,,
,,2013 - 2014,594,463,0.78,,,,,,,,,
,,2014 - 2015,5,4,0.8,,,,,,,,,
,,2015 - 2016,234,182,0.78,,,,,,,,,
,,2016 - 2017,80,57,0.71,,,,,,,,,
,,2017 - 2018,925,684,0.74,,,,,,,,,
,,2018 - 2019,853,"1,365.00",1.6,,,,,,,,,
,,2019 - 2020,548,722,1.32,,,,,,,,,
,,2020 - 2021,593,864,1.46,,,,,,,,,
,,2021 - 2022,746,"1,036.00",1.39,,,,,,,,,
,,2022 - 2023,857,"1,232.00",1.44,,,,,,,,,
,19. Mahesana,2010 - 2011,100,100,1,,,,,,,,,
,,2020 - 2021,25,34,1.36,,,,,,,,,
,,2021 - 2022,32,52,1.63,,,,,,,,,
,,2022 - 2023,213,358,1.68,,,,,,,,,
,20. Mahisagar,2014 - 2015,"1,406.00","1,077.00",0.77,,,,,,,,,
,,2015 - 2016,"1,544.00","1,297.00",0.84,,,,,,,,,
,,2016 - 2017,"1,041.00","1,239.00",1.19,,,,,,,,,
,,2017 - 2018,"2,143.00","3,236.00",1.51,,,,,,,,,
,,2018 - 2019,"2,341.00","3,406.00",1.45,,,,,,,,,
,,2019 - 2020,"1,812.00","2,043.00",1.13,,,,,,,,,
,,2020 - 2021,"2,189.00","1,132.00",0.52,,,,,,,,,
,,2021 - 2022,"1,239.00","1,761.00",1.42,,,,,,,,,
,,2022 - 2023,"1,450.00","1,630.00",1.12,,,,,,,,,
,21. Morbi,2014 - 2015,210,157,0.75,,,,,,,,,
,,2015 - 2016,"2,431.00","1,821.00",0.75,,,,,,,,,
,,2016 - 2017,"5,151.00","7,727.00",1.5,,,,,,,,,
,,2017 - 2018,"3,994.00","6,031.00",1.51,,,,,,,,,
,,2018 - 2019,"5,967.00","4,475.00",0.75,,,,,,,,,
,,2019 - 2020,"3,469.00","6,774.00",1.95,,,,,,,,,
,,2020 - 2021,"5,285.00","4,858.00",0.92,,,,,,,,,
,,2021 - 2022,170,277,1.63,,,,,,,,,
,,2022 - 2023,"3,250.00","5,466.00",1.68,,,,,,,,,
,22. Narmada,2010 - 2011,"6,400.00","5,200.00",0.81,,,,,,,,,
,,2013 - 2014,"5,432.00","4,394.00",0.81,,,,,,,,,
,,2014 - 2015,"4,127.00","3,339.00",0.81,,,,,,,,,
,,2015 - 2016,"2,721.00","2,201.00",0.81,,,,,,,,,
,,2016 - 2017,"3,267.00","2,764.00",0.85,,,,,,,,,
,,2017 - 2018,"3,410.00","3,008.00",0.88,,,,,,,,,
,,2018 - 2019,"2,672.00","3,646.00",1.36,,,,,,,,,
,,2019 - 2020,"1,833.00","2,636.00",1.44,,,,,,,,,
,,2020 - 2021,"1,729.00","2,514.00",1.45,,,,,,,,,
,,2021 - 2022,"1,703.00","2,571.00",1.51,,,,,,,,,
,,2022 - 2023,"1,372.00","2,056.00",1.5,,,,,,,,,
,23. Panch mahals,2010 - 2011,800,600,0.75,,,,,,,,,
,,2011 - 2012,500,300,0.6,,,,,,,,,
,,2012 - 2013,300,300,1,,,,,,,,,
,,2013 - 2014,892,673,0.75,,,,,,,,,
,,2014 - 2015,991,746,0.75,,,,,,,,,
,,2015 - 2016,897,746,0.83,,,,,,,,,
,,2016 - 2017,"2,507.00","3,008.00",1.2,,,,,,,,,
,,2017 - 2018,"2,809.00","4,214.00",1.5,,,,,,,,,
,,2018 - 2019,"2,684.00","4,820.00",1.8,,,,,,,,,
,,2019 - 2020,"2,120.00","2,795.00",1.32,,,,,,,,,
,,2020 - 2021,"2,418.00","3,153.00",1.3,,,,,,,,,
,,2021 - 2022,"2,544.00","4,148.00",1.63,,,,,,,,,
,,2022 - 2023,"1,667.00","1,845.00",1.11,,,,,,,,,
,24. Patan,2016 - 2017,21,19,0.9,,,,,,,,,
,,2021 - 2022,18,29,1.61,,,,,,,,,
,25. Porbandar,2021 - 2022,550,897,1.63,,,,,,,,,
,,2022 - 2023,300,505,1.68,,,,,,,,,
,26. Rajkot,2014 - 2015,142,53,0.37,,,,,,,,,
,,2015 - 2016,480,179,0.37,,,,,,,,,
,,2016 - 2017,"3,045.00","1,617.00",0.53,,,,,,,,,
,,2017 - 2018,360,247,0.69,,,,,,,,,
,,2018 - 2019,453,215,0.47,,,,,,,,,
,,2019 - 2020,559,612,1.09,,,,,,,,,
,,2020 - 2021,"2,389.00","3,243.00",1.36,,,,,,,,,
,,2021 - 2022,"11,304.00","20,234.00",1.79,,,,,,,,,
,,2022 - 2023,"12,764.00","27,897.00",2.19,,,,,,,,,
,27. Sabar kantha,2010 - 2011,"5,500.00","4,400.00",0.8,,,,,,,,,
,,2011 - 2012,500,400,0.8,,,,,,,,,
,,2012 - 2013,"5,200.00","4,200.00",0.81,,,,,,,,,
,,2013 - 2014,"4,980.00","3,967.00",0.8,,,,,,,,,
,,2014 - 2015,"1,043.00",833,0.8,,,,,,,,,
,,2018 - 2019,"6,439.00","6,439.00",1,,,,,,,,,
,,2019 - 2020,"6,296.00","8,301.00",1.32,,,,,,,,,
,,2020 - 2021,"14,187.00","25,381.00",1.79,,,,,,,,,
,,2021 - 2022,"14,289.00","26,396.00",1.85,,,,,,,,,
,,2022 - 2023,"14,056.00","24,484.00",1.74,,,,,,,,,
,28. Surat,2010 - 2011,"9,600.00","8,200.00",0.85,,,,,,,,,
,,2012 - 2013,"1,600.00",700,0.44,,,,,,,,,
,,2013 - 2014,"2,135.00","1,687.00",0.79,,,,,,,,,
,,2014 - 2015,"4,997.00","3,179.00",0.64,,,,,,,,,
,,2015 - 2016,"6,316.00","3,896.00",0.62,,,,,,,,,
,,2016 - 2017,"10,273.00","8,989.00",0.88,,,,,,,,,
,,2017 - 2018,"13,211.00","11,824.00",0.9,,,,,,,,,
,,2018 - 2019,"12,412.00","16,614.00",1.34,,,,,,,,,
,,2019 - 2020,"7,089.00","9,842.00",1.39,,,,,,,,,
,,2020 - 2021,"9,011.00","10,940.00",1.21,,,,,,,,,
,,2021 - 2022,"8,971.00","11,493.00",1.28,,,,,,,,,
,,2022 - 2023,"8,901.00","11,676.00",1.31,,,,,,,,,
,29. Surendranagar,2020 - 2021,108,147,1.36,,,,,,,,,
,,2021 - 2022,197,321,1.63,,,,,,,,,
,,2022 - 2023,977,"1,643.00",1.68,,,,,,,,,
,30. Tapi,2010 - 2011,"5,000.00","4,200.00",0.84,,,,,,,,,
,,2011 - 2012,"3,800.00","3,000.00",0.79,,,,,,,,,
,,2012 - 2013,"2,900.00","2,400.00",0.83,,,,,,,,,
,,2013 - 2014,"4,012.00","3,279.00",0.82,,,,,,,,,
,,2014 - 2015,"2,214.00","1,786.00",0.81,,,,,,,,,
,,2015 - 2016,"7,031.00","5,716.00",0.81,,,,,,,,,
,,2016 - 2017,"12,164.00","12,772.00",1.05,,,,,,,,,
,,2017 - 2018,"14,479.00","16,651.00",1.15,,,,,,,,,
,,2018 - 2019,"14,341.00","18,353.00",1.28,,,,,,,,,
,,2019 - 2020,"6,935.00","10,730.00",1.55,,,,,,,,,
,,2020 - 2021,"7,603.00","11,692.00",1.54,,,,,,,,,
,,2021 - 2022,"7,732.00","13,821.00",1.79,,,,,,,,,
,,2022 - 2023,"8,090.00","11,603.00",1.43,,,,,,,,,
,31. Vadodara,2010 - 2011,"10,100.00","8,000.00",0.79,,,,,,,,,
,,2011 - 2012,"8,000.00","7,000.00",0.88,,,,,,,,,
,,2012 - 2013,"3,400.00","2,900.00",0.85,,,,,,,,,
,,2013 - 2014,"6,794.00","5,650.00",0.83,,,,,,,,,
,,2014 - 2015,"2,684.00","2,285.00",0.85,,,,,,,,,
,,2015 - 2016,"4,405.00","3,698.00",0.84,,,,,,,,,
,,2016 - 2017,"14,198.00","10,180.00",0.72,,,,,,,,,
,,2017 - 2018,"10,408.00","7,650.00",0.74,,,,,,,,,
,,2018 - 2019,"11,158.00","18,347.00",1.64,,,,,,,,,
,,2019 - 2020,"6,330.00","8,703.00",1.37,,,,,,,,,
,,2020 - 2021,"9,663.00","13,980.00",1.45,,,,,,,,,
,,2021 - 2022,"9,941.00","13,857.00",1.39,,,,,,,,,
,,2022 - 2023,"8,094.00","11,201.00",1.38,,,,,,,,,
6. Haryana,1. Ambala,2010 - 2011,2,,0,,,,,,,,,
,2. Hisar,2021 - 2022,2,1.2,0.6,,,,,,,,,
,3. Jhajjar,2011 - 2012,3,,0,,,,,,,,,
7. Himachal Pradesh,1. Bilaspur,2000 - 2001,21,26,1.24,,,,,,,,,
,,2001 - 2002,11,13,1.18,,,,,,,,,
,,2002 - 2003,17,28,1.65,,,,,,,,,
,,2006 - 2007,7,12,1.71,,,,,,,,,
,,2008 - 2009,15,21,1.4,,,,,,,,,
,,2009 - 2010,9,6,0.67,,,,,,,,,
,,2010 - 2011,9,14,1.56,,,,,,,,,
,,2011 - 2012,9,14,1.56,,,,,,,,,
,,2012 - 2013,9,14,1.56,,,,,,,,,
,,2013 - 2014,9,13,1.44,,,,,,,,,
,,2014 - 2015,119,13,0.11,,,,,,,,,
,,2015 - 2016,8,13,1.63,,,,,,,,,
,,2016 - 2017,8,13,1.63,,,,,,,,,
,,2017 - 2018,8,13,1.63,,,,,,,,,
,,2018 - 2019,12,19,1.58,,,,,,,,,
,,2019 - 2020,12,20,1.67,,,,,,,,,
,,2020 - 2021,23,18,0.78,,,,,,,,,
,2. Chamba,2002 - 2003,1,0,0,,,,,,,,,
,,2018 - 2019,2,3,1.5,,,,,,,,,
,,2019 - 2020,2,3,1.5,,,,,,,,,
,3. Hamirpur,2001 - 2002,1,1,1,,,,,,,,,
,4. Kangra,2000 - 2001,67,57,0.85,,,,,,,,,
,,2001 - 2002,61,100,1.64,,,,,,,,,
