State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,4. North garo hills,2017 - 2018,43,154,3.58,,,,,,
,,2018 - 2019,43,154,3.58,,,,,,
,,2019 - 2020,43,154,3.58,,,,,,
,,2020 - 2021,43,154,3.58,,,,,,
,5. South garo hills,2004 - 2005,14,75,5.36,,,,,,
,,2017 - 2018,64,607,9.48,,,,,,
,,2018 - 2019,65,617,9.49,,,,,,
,,2019 - 2020,66,627,9.5,,,,,,
,,2020 - 2021,67,637,9.51,,,,,,
,6. South west garo hills,2017 - 2018,41,119,2.9,,,,,,
,,2018 - 2019,42,122,2.9,,,,,,
,,2019 - 2020,43,125,2.91,,,,,,
,,2020 - 2021,44,128,2.91,,,,,,
,7. South west khasi hills,2017 - 2018,7,20,2.86,,,,,,
,,2018 - 2019,7,20,2.86,,,,,,
,,2019 - 2020,7,20,2.86,,,,,,
,,2020 - 2021,7,20,2.86,,,,,,
,8. West garo hills,2004 - 2005,17,120,7.06,,,,,,
,,2017 - 2018,204,614,3.01,,,,,,
,,2018 - 2019,205,619,3.02,,,,,,
,,2019 - 2020,206,623,3.02,,,,,,
,,2020 - 2021,207,627,3.03,,,,,,
,9. West jaintia hills,2017 - 2018,30,81,2.7,,,,,,
,,2018 - 2019,30,81,2.7,,,,,,
,,2019 - 2020,30,81,2.7,,,,,,
,,2020 - 2021,30,81,2.7,,,,,,
,10. West khasi hills,2017 - 2018,33,130,3.94,,,,,,
,,2018 - 2019,34,134,3.94,,,,,,
,,2019 - 2020,35,138,3.94,,,,,,
,,2020 - 2021,36,142,3.94,,,,,,
10. Odisha,1. Anugul,2000 - 2001,"1,300.00",640,0.49,,,,,,
,,2001 - 2002,"1,340.00",550,0.41,,,,,,
,,2002 - 2003,"1,500.00",620,0.41,,,,,,
,,2003 - 2004,"1,400.00",580,0.41,,,,,,
,,2004 - 2005,"1,563.00",648,0.41,,,,,,
,,2019 - 2020,,,,,,,"3,400.00","2,620.00",0.77
,2. Balangir,2000 - 2001,230,110,0.48,,,,,,
,,2001 - 2002,210,10,0.05,,,,,,
,,2002 - 2003,250,120,0.48,,,,,,
,,2003 - 2004,250,120,0.48,,,,,,
,,2004 - 2005,292,142,0.49,,,,,,
,,2019 - 2020,,,,,,,"1,000.00",780,0.78
,3. Baleshwar,2000 - 2001,"1,500.00",740,0.49,,,,,,
,,2001 - 2002,"1,480.00",730,0.49,,,,,,
,,2002 - 2003,"1,180.00",580,0.49,,,,,,
,,2003 - 2004,"1,250.00",610,0.49,,,,,,
,,2004 - 2005,"1,169.00",572,0.49,,,,,,
,,2019 - 2020,,,,,,,"1,200.00",700,0.58
,4. Bargarh,2000 - 2001,300,150,0.5,,,,,,
,,2001 - 2002,340,170,0.5,,,,,,
,,2002 - 2003,340,170,0.5,,,,,,
,,2003 - 2004,510,250,0.49,,,,,,
,,2004 - 2005,532,264,0.5,,,,,,
,,2019 - 2020,,,,,,,800,500,0.63
,5. Bhadrak,2000 - 2001,240,120,0.5,,,,,,
,,2001 - 2002,260,130,0.5,,,,,,
,,2002 - 2003,230,110,0.48,,,,,,
,,2003 - 2004,480,230,0.48,,,,,,
,,2004 - 2005,361,176,0.49,,,,,,
,,2019 - 2020,,,,,,,360,190,0.53
,6. Boudh,2000 - 2001,180,90,0.5,,,,,,
,,2001 - 2002,310,150,0.48,,,,,,
,,2002 - 2003,590,290,0.49,,,,,,
,,2003 - 2004,770,380,0.49,,,,,,
,,2004 - 2005,583,287,0.49,,,,,,
,,2019 - 2020,,,,,,,550,270,0.49
,7. Cuttack,2000 - 2001,920,450,0.49,,,,,,
,,2001 - 2002,590,290,0.49,,,,,,
,,2002 - 2003,"1,110.00",540,0.49,,,,,,
,,2003 - 2004,"1,310.00",640,0.49,,,,,,
,,2004 - 2005,"1,307.00",639,0.49,,,,,,
,,2019 - 2020,,,,,,,850,510,0.6
,8. Deogarh,2000 - 2001,110,50,0.45,,,,,,
,,2001 - 2002,120,60,0.5,,,,,,
,,2002 - 2003,300,150,0.5,,,,,,
,,2003 - 2004,410,200,0.49,,,,,,
,,2004 - 2005,258,126,0.49,,,,,,
,,2019 - 2020,,,,,,,400,260,0.65
,9. Dhenkanal,2000 - 2001,500,250,0.5,,,,,,
,,2001 - 2002,510,240,0.47,,,,,,
,,2002 - 2003,650,310,0.48,,,,,,
,,2003 - 2004,540,260,0.48,,,,,,
,,2004 - 2005,708,340,0.48,,,,,,
,,2019 - 2020,,,,,,,"1,200.00",800,0.67
,10. Gajapati,2000 - 2001,30,10,0.33,,,,,,
,,2001 - 2002,60,30,0.5,,,,,,
,,2002 - 2003,30,10,0.33,,,,,,
,,2003 - 2004,40,20,0.5,,,,,,
,,2004 - 2005,92,46,0.5,,,,,,
,,2019 - 2020,,,,,,,210,50,0.24
,11. Ganjam,2000 - 2001,270,130,0.48,,,,,,
,,2001 - 2002,280,140,0.5,,,,,,
,,2002 - 2003,300,150,0.5,,,,,,
,,2003 - 2004,310,150,0.48,,,,,,
,,2004 - 2005,410,202,0.49,,,,,,
,,2019 - 2020,,,,,,,480,200,0.42
,12. Jagatsinghapur,2000 - 2001,170,80,0.47,,,,,,
,,2001 - 2002,180,90,0.5,,,,,,
,,2002 - 2003,"1,640.00",810,0.49,,,,,,
,,2003 - 2004,580,290,0.5,,,,,,
,,2004 - 2005,571,282,0.49,,,,,,
,,2019 - 2020,,,,,,,260,200,0.77
,13. Jajapur,2000 - 2001,"1,330.00",650,0.49,,,,,,
,,2001 - 2002,910,450,0.49,,,,,,
,,2002 - 2003,"1,100.00",540,0.49,,,,,,
,,2003 - 2004,"1,120.00",550,0.49,,,,,,
,,2004 - 2005,"1,188.00",582,0.49,,,,,,
,,2019 - 2020,,,,,,,700,500,0.71
,14. Jharsuguda,2000 - 2001,80,40,0.5,,,,,,
,,2001 - 2002,70,30,0.43,,,,,,
,,2002 - 2003,50,20,0.4,,,,,,
,,2003 - 2004,220,110,0.5,,,,,,
,,2004 - 2005,160,77,0.48,,,,,,
,,2019 - 2020,,,,,,,120,80,0.67
,15. Kalahandi,2000 - 2001,"1,040.00",510,0.49,,,,,,
,,2001 - 2002,980,480,0.49,,,,,,
,,2002 - 2003,"1,040.00",500,0.48,,,,,,
,,2003 - 2004,830,400,0.48,,,,,,
,,2004 - 2005,771,375,0.49,,,,,,
,,2019 - 2020,,,,,,,780,500,0.64
,16. Kandhamal,2000 - 2001,40,20,0.5,,,,,,
,,2001 - 2002,60,30,0.5,,,,,,
,,2002 - 2003,280,130,0.46,,,,,,
,,2003 - 2004,310,150,0.48,,,,,,
,,2004 - 2005,284,136,0.48,,,,,,
,,2019 - 2020,,,,,,,700,490,0.7
,17. Kendrapara,2000 - 2001,"1,680.00",820,0.49,,,,,,
,,2001 - 2002,970,460,0.47,,,,,,
,,2002 - 2003,"2,180.00","1,070.00",0.49,,,,,,
,,2003 - 2004,"2,010.00",980,0.49,,,,,,
,,2004 - 2005,"1,832.00",987,0.54,,,,,,
,,2019 - 2020,,,,,,,500,270,0.54
,18. Kendujhar,2001 - 2002,260,80,0.31,,,,,,
,,2002 - 2003,"1,530.00",600,0.39,,,,,,
,,2003 - 2004,"1,810.00",710,0.39,,,,,,
,,2004 - 2005,"1,676.00",655,0.39,,,,,,
,,2019 - 2020,,,,,,,460,230,0.5
,19. Khordha,2000 - 2001,320,160,0.5,,,,,,
,,2001 - 2002,290,140,0.48,,,,,,
,,2002 - 2003,400,200,0.5,,,,,,
,,2003 - 2004,340,170,0.5,,,,,,
,,2004 - 2005,410,200,0.49,,,,,,
,,2019 - 2020,,,,,,,420,240,0.57
,20. Koraput,2000 - 2001,280,140,0.5,,,,,,
,,2001 - 2002,570,280,0.49,,,,,,
,,2002 - 2003,480,230,0.48,,,,,,
,,2003 - 2004,500,240,0.48,,,,,,
,,2004 - 2005,493,238,0.48,,,,,,
,,2019 - 2020,,,,,,,"1,440.00","1,200.00",0.83
,21. Malkangiri,2001 - 2002,90,40,0.44,,,,,,
,,2002 - 2003,60,30,0.5,,,,,,
,,2003 - 2004,60,30,0.5,,,,,,
,,2004 - 2005,79,38,0.48,,,,,,
,,2019 - 2020,,,,,,,230,140,0.61
,22. Mayurbhanj,2000 - 2001,"1,040.00",510,0.49,,,,,,
,,2001 - 2002,"1,060.00",510,0.48,,,,,,
,,2002 - 2003,970,480,0.49,,,,,,
,,2003 - 2004,990,490,0.49,,,,,,
,,2004 - 2005,"1,087.00",532,0.49,,,,,,
,,2019 - 2020,,,,,,,630,360,0.57
,23. Nabarangpur,2000 - 2001,240,120,0.5,,,,,,
,,2001 - 2002,230,110,0.48,,,,,,
,,2002 - 2003,250,120,0.48,,,,,,
,,2003 - 2004,210,100,0.48,,,,,,
,,2004 - 2005,276,134,0.49,,,,,,
,,2019 - 2020,,,,,,,200,120,0.6
,24. Nayagarh,2000 - 2001,130,60,0.46,,,,,,
,,2001 - 2002,140,70,0.5,,,,,,
,,2002 - 2003,220,100,0.45,,,,,,
,,2003 - 2004,220,100,0.45,,,,,,
,,2004 - 2005,261,118,0.45,,,,,,
,,2019 - 2020,,,,,,,400,260,0.65
,25. Nuapada,2000 - 2001,190,90,0.47,,,,,,
,,2001 - 2002,160,80,0.5,,,,,,
,,2002 - 2003,650,320,0.49,,,,,,
,,2003 - 2004,550,270,0.49,,,,,,
,,2004 - 2005,489,240,0.49,,,,,,
,,2019 - 2020,,,,,,,420,240,0.57
,26. Puri,2000 - 2001,190,90,0.47,,,,,,
,,2001 - 2002,210,10,0.05,,,,,,
,,2002 - 2003,300,140,0.47,,,,,,
,,2003 - 2004,270,130,0.48,,,,,,
,,2004 - 2005,409,195,0.48,,,,,,
,,2019 - 2020,,,,,,,500,320,0.64
,27. Rayagada,2001 - 2002,120,60,0.5,,,,,,
,,2002 - 2003,100,50,0.5,,,,,,
,,2003 - 2004,100,50,0.5,,,,,,
,,2004 - 2005,122,57,0.47,,,,,,
,,2019 - 2020,,,,,,,400,270,0.68
,28. Sambalpur,2000 - 2001,450,220,0.49,,,,,,
,,2001 - 2002,360,180,0.5,,,,,,
,,2002 - 2003,450,220,0.49,,,,,,
,,2003 - 2004,930,460,0.49,,,,,,
,,2004 - 2005,985,481,0.49,,,,,,
,,2019 - 2020,,,,,,,500,370,0.74
,29. Sonepur,2000 - 2001,240,120,0.5,,,,,,
,,2001 - 2002,360,180,0.5,,,,,,
,,2002 - 2003,320,160,0.5,,,,,,
,,2003 - 2004,330,160,0.48,,,,,,
,,2004 - 2005,303,150,0.5,,,,,,
,,2019 - 2020,,,,,,,510,260,0.51
,30. Sundargarh,2000 - 2001,370,180,0.49,,,,,,
,,2001 - 2002,390,190,0.49,,,,,,
,,2002 - 2003,380,180,0.47,,,,,,
,,2003 - 2004,360,170,0.47,,,,,,
,,2004 - 2005,389,188,0.48,,,,,,
,,2019 - 2020,,,,,,,360,210,0.58
11. Puducherry,1. Yanam,2000 - 2001,1,1,1,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,
,,2002 - 2003,5,4,0.8,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,
,,2007 - 2008,,,,,,,4,2,0.5
,,2008 - 2009,,,,,,,2,1,0.5
,,2009 - 2010,,,,,,,6,3,0.5
,,2012 - 2013,,,,,,,1,1,1
,,2014 - 2015,,,,,,,1,1,1
12. Rajasthan,1. Ajmer,2000 - 2001,198,189,0.95,,,,,,
,,2001 - 2002,201,126,0.63,,,,,,
,,2002 - 2003,31,25,0.81,,,,,,
,,2003 - 2004,99,123,1.24,,,,,,
,,2004 - 2005,89,102,1.15,,,,,,
,,2005 - 2006,65,68,1.05,,,,,,
,,2006 - 2007,46,54,1.17,,,,,,
,,2007 - 2008,81,63,0.78,,,,,,
,,2008 - 2009,115,128,1.11,,,,,,
,,2009 - 2010,98,37,0.38,,,,,,
,,2010 - 2011,153,169,1.1,,,,,,
,,2011 - 2012,227,280,1.23,,,,,,
,,2012 - 2013,119,140,1.18,,,,,,
,,2013 - 2014,145,93,0.64,,,,,,
,,2014 - 2015,140,112,0.8,,,,,,
,,2015 - 2016,151,161,1.07,,,,,,
,,2016 - 2017,95,108,1.14,,,,,,
,,2017 - 2018,79,105,1.33,,,,,,
,,2018 - 2019,207,58,0.28,,,,,,
,,2019 - 2020,183,39,0.21,,,,,,
,,2020 - 2021,186,277,1.49,,,,,,
,,2021 - 2022,138,86,0.62,,,,,,
,,2022 - 2023,92,126,1.37,,,,,,
,2. Alwar,2000 - 2001,86,68,0.79,,,,,,
,,2001 - 2002,114,31,0.27,,,,,,
,,2002 - 2003,59,41,0.69,,,,,,
,,2003 - 2004,261,324,1.24,,,,,,
,,2004 - 2005,48,55,1.15,,,,,,
,,2005 - 2006,29,30,1.03,,,,,,
,,2006 - 2007,37,44,1.19,,,,,,
,,2007 - 2008,61,47,0.77,,,,,,
,,2008 - 2009,27,30,1.11,,,,,,
,,2009 - 2010,27,33,1.22,,,,,,
,,2010 - 2011,74,82,1.11,,,,,,
,,2011 - 2012,102,125,1.23,,,,,,
,,2012 - 2013,126,148,1.17,,,,,,
,,2013 - 2014,23,15,0.65,,,,,,
,,2014 - 2015,26,21,0.81,,,,,,
,,2015 - 2016,22,23,1.05,,,,,,
,,2016 - 2017,20,23,1.15,,,,,,
,,2017 - 2018,9,12,1.33,,,,,,
,,2018 - 2019,11,14,1.27,,,,,,
,,2020 - 2021,11,16,1.45,,,,,,
,3. Banswara,2003 - 2004,3,4,1.33,,,,,,
,,2004 - 2005,1,1,1,,,,,,
,,2005 - 2006,6,6,1,,,,,,
,,2006 - 2007,3,4,1.33,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,4. Baran,2000 - 2001,"61,900.00","87,937.00",1.42,,,,,,
,,2001 - 2002,"80,943.00","1,21,869.00",1.51,,,,,,
,,2002 - 2003,"45,544.00","51,684.00",1.13,,,,,,
,,2003 - 2004,"84,147.00","1,31,438.00",1.56,,,,,,
,,2004 - 2005,"45,449.00","57,766.00",1.27,,,,,,
,,2005 - 2006,"49,831.00","57,804.00",1.16,,,,,,
,,2006 - 2007,"42,961.00","54,045.00",1.26,,,,,,
,,2007 - 2008,"82,808.00","81,152.00",0.98,,,,,,
,,2008 - 2009,"90,683.00","1,10,647.00",1.22,,,,,,
,,2009 - 2010,"77,423.00","1,00,236.00",1.29,,,,,,
,,2010 - 2011,"59,979.00","86,179.00",1.44,,,,,,
,,2011 - 2012,"85,432.00","1,15,321.00",1.35,,,,,,
,,2012 - 2013,"45,890.00","66,071.00",1.44,,,,,,
,,2013 - 2014,"52,713.00","30,254.00",0.57,,,,,,
,,2014 - 2015,"64,815.00","60,824.00",0.94,,,,,,
,,2015 - 2016,"44,953.00","63,645.00",1.42,,,,,,
,,2016 - 2017,"39,372.00","61,678.00",1.57,,,,,,
,,2017 - 2018,"18,552.00","32,571.00",1.76,,,,,,
,,2018 - 2019,"10,488.00","18,545.00",1.77,,,,,,
,,2019 - 2020,"9,400.00","16,217.00",1.73,,,,,,
,,2020 - 2021,"24,554.00","40,227.00",1.64,,,,,,
,,2021 - 2022,"4,855.00","8,173.00",1.68,,,,,,
,,2022 - 2023,"11,487.00","18,033.00",1.57,,,,,,
,5. Barmer,2000 - 2001,4,3,0.75,,,,,,
,,2001 - 2002,1,1,1,,,,,,
,,2002 - 2003,2,2,1,,,,,,
,,2003 - 2004,1,1,1,,,,,,
,,2007 - 2008,1,1,1,,,,,,
,,2008 - 2009,1,1,1,,,,,,
,,2009 - 2010,1,1,1,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,
,,2015 - 2016,2,2,1,,,,,,
,,2016 - 2017,3,4,1.33,,,,,,
,,2017 - 2018,3,4,1.33,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,3,4,1.33,,,,,,
,,2020 - 2021,7,10,1.43,,,,,,
,,2021 - 2022,10,15,1.5,,,,,,
,,2022 - 2023,4,5,1.25,,,,,,
,6. Bharatpur,2000 - 2001,5,7,1.4,,,,,,
,,2001 - 2002,1,1,1,,,,,,
,,2002 - 2003,1,1,1,,,,,,
,,2004 - 2005,1,1,1,,,,,,
,,2007 - 2008,13,10,0.77,,,,,,
,,2008 - 2009,12,14,1.17,,,,,,
,,2009 - 2010,21,25,1.19,,,,,,
,,2010 - 2011,13,14,1.08,,,,,,
,,2011 - 2012,17,21,1.24,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,3,2,0.67,,,,,,
,,2014 - 2015,13,10,0.77,,,,,,
,,2015 - 2016,10,11,1.1,,,,,,
,,2016 - 2017,10,11,1.1,,,,,,
,,2017 - 2018,7,9,1.29,,,,,,
,,2018 - 2019,7,9,1.29,,,,,,
,,2019 - 2020,2,3,1.5,,,,,,
,7. Bhilwara,2000 - 2001,20,9,0.45,,,,,,
,,2001 - 2002,25,9,0.36,,,,,,
,,2002 - 2003,7,4,0.57,,,,,,
,,2003 - 2004,43,53,1.23,,,,,,
,,2004 - 2005,228,261,1.14,,,,,,
,,2005 - 2006,4,4,1,,,,,,
,,2006 - 2007,3,4,1.33,,,,,,
,,2007 - 2008,16,12,0.75,,,,,,
,,2008 - 2009,18,20,1.11,,,,,,
,,2009 - 2010,4,5,1.25,,,,,,
,,2010 - 2011,8,9,1.13,,,,,,
,,2011 - 2012,18,22,1.22,,,,,,
,,2012 - 2013,3,4,1.33,,,,,,
,,2013 - 2014,15,10,0.67,,,,,,
,,2014 - 2015,19,15,0.79,,,,,,
,,2015 - 2016,161,172,1.07,,,,,,
,,2016 - 2017,50,57,1.14,,,,,,
,,2017 - 2018,33,44,1.33,,,,,,
,,2018 - 2019,16,21,1.31,,,,,,
,,2019 - 2020,13,19,1.46,,,,,,
,,2020 - 2021,10,15,1.5,,,,,,
,,2021 - 2022,13,19,1.46,,,,,,
,,2022 - 2023,80,109,1.36,,,,,,
,8. Bikaner,2000 - 2001,6,12,2,,,,,,
,,2001 - 2002,18,9,0.5,,,,,,
,,2002 - 2003,6,3,0.5,,,,,,
,,2003 - 2004,33,41,1.24,,,,,,
,,2004 - 2005,39,45,1.15,,,,,,
,,2005 - 2006,31,32,1.03,,,,,,
,,2006 - 2007,36,43,1.19,,,,,,
,,2007 - 2008,11,8,0.73,,,,,,
,,2008 - 2009,23,26,1.13,,,,,,
,,2009 - 2010,19,23,1.21,,,,,,
,,2010 - 2011,21,23,1.1,,,,,,
,,2011 - 2012,58,72,1.24,,,,,,
,,2012 - 2013,40,47,1.18,,,,,,
,,2013 - 2014,31,20,0.65,,,,,,
,,2014 - 2015,115,92,0.8,,,,,,
,,2015 - 2016,452,483,1.07,,,,,,
,,2016 - 2017,550,626,1.14,,,,,,
,,2017 - 2018,325,433,1.33,,,,,,
,,2018 - 2019,184,239,1.3,,,,,,
,,2019 - 2020,164,244,1.49,,,,,,
,,2020 - 2021,335,499,1.49,,,,,,
,,2021 - 2022,62,92,1.48,,,,,,
,,2022 - 2023,91,125,1.37,,,,,,
,9. Bundi,2000 - 2001,"2,925.00","2,322.00",0.79,,,,,,
,,2001 - 2002,"5,751.00","5,641.00",0.98,,,,,,
,,2002 - 2003,"5,182.00","4,630.00",0.89,,,,,,
,,2003 - 2004,"9,154.00","10,335.00",1.13,,,,,,
,,2004 - 2005,"1,165.00","1,408.00",1.21,,,,,,
,,2005 - 2006,"4,962.00","6,242.00",1.26,,,,,,
,,2006 - 2007,"1,390.00","1,549.00",1.11,,,,,,
,,2007 - 2008,"1,407.00","1,147.00",0.82,,,,,,
,,2008 - 2009,"4,267.00","3,536.00",0.83,,,,,,
,,2009 - 2010,"3,271.00","3,641.00",1.11,,,,,,
,,2010 - 2011,"2,223.00","2,253.00",1.01,,,,,,
,,2011 - 2012,"3,337.00","3,042.00",0.91,,,,,,
,,2012 - 2013,"1,244.00","1,316.00",1.06,,,,,,
,,2013 - 2014,843,688,0.82,,,,,,
,,2014 - 2015,"3,404.00",276,0.08,,,,,,
,,2015 - 2016,"4,821.00","5,195.00",1.08,,,,,,
,,2016 - 2017,"2,820.00","3,817.00",1.35,,,,,,
,,2017 - 2018,"1,730.00","2,702.00",1.56,,,,,,
,,2018 - 2019,784,"1,070.00",1.36,,,,,,
,,2019 - 2020,230,325,1.41,,,,,,
,,2020 - 2021,"2,077.00","3,334.00",1.61,,,,,,
,,2021 - 2022,157,205,1.31,,,,,,
,,2022 - 2023,917,"1,311.00",1.43,,,,,,
,10. Chittorgarh,2000 - 2001,699,759,1.09,,,,,,
,,2001 - 2002,"2,128.00","2,109.00",0.99,,,,,,
,,2002 - 2003,919,"1,020.00",1.11,,,,,,
,,2003 - 2004,"2,223.00",987,0.44,,,,,,
,,2004 - 2005,"1,551.00","1,199.00",0.77,,,,,,
,,2005 - 2006,"1,173.00","1,051.00",0.9,,,,,,
,,2006 - 2007,"1,959.00","2,606.00",1.33,,,,,,
,,2007 - 2008,"2,451.00","2,238.00",0.91,,,,,,
,,2008 - 2009,"3,203.00","3,184.00",0.99,,,,,,
,,2009 - 2010,"2,172.00","1,262.00",0.58,,,,,,
,,2010 - 2011,"3,156.00","2,054.00",0.65,,,,,,
,,2011 - 2012,"2,388.00","2,715.00",1.14,,,,,,
,,2012 - 2013,"1,853.00","1,089.00",0.59,,,,,,
,,2013 - 2014,"3,619.00","2,610.00",0.72,,,,,,
,,2014 - 2015,"4,317.00","1,938.00",0.45,,,,,,
,,2015 - 2016,"4,771.00","5,213.00",1.09,,,,,,
,,2016 - 2017,"3,775.00","3,735.00",0.99,,,,,,
,,2017 - 2018,"2,535.00","2,648.00",1.04,,,,,,
,,2018 - 2019,"1,598.00","1,987.00",1.24,,,,,,
,,2019 - 2020,"2,120.00","3,627.00",1.71,,,,,,
,,2020 - 2021,"3,075.00","4,471.00",1.45,,,,,,
,,2021 - 2022,"2,752.00","4,807.00",1.75,,,,,,
,,2022 - 2023,"4,371.00","5,716.00",1.31,,,,,,
,11. Churu,2000 - 2001,4,14,3.5,,,,,,
,,2001 - 2002,11,17,1.55,,,,,,
,,2002 - 2003,3,2,0.67,,,,,,
,,2003 - 2004,6,7,1.17,,,,,,
,,2004 - 2005,3,3,1,,,,,,
,,2005 - 2006,8,8,1,,,,,,
,,2006 - 2007,2,2,1,,,,,,
,,2007 - 2008,5,4,0.8,,,,,,
,,2008 - 2009,5,6,1.2,,,,,,
,,2009 - 2010,22,27,1.23,,,,,,
,,2010 - 2011,17,19,1.12,,,,,,
,,2011 - 2012,62,76,1.23,,,,,,
,,2012 - 2013,23,27,1.17,,,,,,
,,2013 - 2014,21,13,0.62,,,,,,
,,2014 - 2015,20,16,0.8,,,,,,
,,2015 - 2016,109,116,1.06,,,,,,
,,2016 - 2017,137,156,1.14,,,,,,
,,2017 - 2018,125,166,1.33,,,,,,
,,2018 - 2019,86,112,1.3,,,,,,
,,2019 - 2020,27,40,1.48,,,,,,
,,2020 - 2021,75,112,1.49,,,,,,
,,2021 - 2022,27,40,1.48,,,,,,
,,2022 - 2023,30,41,1.37,,,,,,
,12. Dausa,2000 - 2001,7,7,1,,,,,,
,,2001 - 2002,14,15,1.07,,,,,,
,,2002 - 2003,6,6,1,,,,,,
,,2003 - 2004,17,21,1.24,,,,,,
,,2004 - 2005,2,2,1,,,,,,
,,2005 - 2006,1,1,1,,,,,,
,,2006 - 2007,2,2,1,,,,,,
,,2007 - 2008,5,4,0.8,,,,,,
,,2008 - 2009,2,2,1,,,,,,
,,2009 - 2010,1,1,1,,,,,,
,,2010 - 2011,3,3,1,,,,,,
,,2011 - 2012,4,5,1.25,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,2,2,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,
,13. Dholpur,2001 - 2002,2,,0,,,,,,
,,2002 - 2003,5,5,1,,,,,,
,,2003 - 2004,6,7,1.17,,,,,,
,,2004 - 2005,3,3,1,,,,,,
,,2005 - 2006,3,3,1,,,,,,
,,2006 - 2007,5,6,1.2,,,,,,
,,2007 - 2008,4,3,0.75,,,,,,
,,2008 - 2009,4,5,1.25,,,,,,
,,2009 - 2010,1,1,1,,,,,,
,,2011 - 2012,1,1,1,,,,,,
,,2013 - 2014,3,2,0.67,,,,,,
,,2014 - 2015,2,2,1,,,,,,
,,2015 - 2016,8,9,1.13,,,,,,
,,2017 - 2018,4,5,1.25,,,,,,
,,2020 - 2021,3,5,1.67,,,,,,
,,2022 - 2023,2,3,1.5,,,,,,
,14. Dungarpur,2000 - 2001,3,,0,,,,,,
,,2001 - 2002,1,4,4,,,,,,
,,2003 - 2004,3,4,1.33,,,,,,
,,2004 - 2005,2,2,1,,,,,,
,,2005 - 2006,2,2,1,,,,,,
,,2006 - 2007,1,1,1,,,,,,
,,2007 - 2008,1,1,1,,,,,,
,,2009 - 2010,2,2,1,,,,,,
,,2010 - 2011,2,2,1,,,,,,
,,2011 - 2012,1,1,1,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2016 - 2017,3,4,1.33,,,,,,
,,2018 - 2019,2,3,1.5,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,
,15. Ganganagar,2000 - 2001,4,2,0.5,,,,,,
,,2001 - 2002,14,7,0.5,,,,,,
,,2002 - 2003,7,4,0.57,,,,,,
,,2003 - 2004,11,14,1.27,,,,,,
,,2004 - 2005,6,7,1.17,,,,,,
,,2005 - 2006,24,25,1.04,,,,,,
,,2006 - 2007,4,5,1.25,,,,,,
,,2007 - 2008,7,5,0.71,,,,,,
,,2008 - 2009,12,13,1.08,,,,,,
,,2009 - 2010,6,4,0.67,,,,,,
,,2010 - 2011,6,7,1.17,,,,,,
,,2011 - 2012,14,17,1.21,,,,,,
,,2012 - 2013,2,2,1,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2015 - 2016,23,25,1.09,,,,,,
,,2016 - 2017,24,27,1.13,,,,,,
,,2017 - 2018,13,17,1.31,,,,,,
,,2020 - 2021,21,31,1.48,,,,,,
,,2021 - 2022,3,4,1.33,,,,,,
,16. Hanumangarh,2004 - 2005,1,1,1,,,,,,
,,2005 - 2006,3,3,1,,,,,,
,,2008 - 2009,2,2,1,,,,,,
,,2015 - 2016,4,4,1,,,,,,
,,2020 - 2021,1,2,2,,,,,,
,17. Jaipur,2000 - 2001,110,33,0.3,,,,,,
,,2001 - 2002,99,73,0.74,,,,,,
,,2002 - 2003,55,34,0.62,,,,,,
,,2003 - 2004,102,127,1.25,,,,,,
,,2004 - 2005,94,108,1.15,,,,,,
,,2005 - 2006,64,67,1.05,,,,,,
,,2006 - 2007,54,64,1.19,,,,,,
,,2007 - 2008,51,40,0.78,,,,,,
,,2008 - 2009,48,54,1.13,,,,,,
,,2009 - 2010,65,104,1.6,,,,,,
,,2010 - 2011,49,54,1.1,,,,,,
,,2011 - 2012,39,48,1.23,,,,,,
,,2012 - 2013,48,57,1.19,,,,,,
,,2013 - 2014,55,35,0.64,,,,,,
,,2014 - 2015,55,44,0.8,,,,,,
,,2015 - 2016,2,2,1,,,,,,
,,2016 - 2017,5,6,1.2,,,,,,
,,2017 - 2018,57,76,1.33,,,,,,
,,2018 - 2019,50,65,1.3,,,,,,
,,2019 - 2020,49,73,1.49,,,,,,
,,2020 - 2021,13,19,1.46,,,,,,
,,2021 - 2022,19,28,1.47,,,,,,
,,2022 - 2023,18,25,1.39,,,,,,
,18. Jaisalmer,2000 - 2001,1,,0,,,,,,
,,2001 - 2002,4,,0,,,,,,
