State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,,,,,,,21,42,2,,,
,,2019 - 2020,,,,,,,15,30,2,,,
,,2020 - 2021,,,,,,,16,32,2,,,
,,2021 - 2022,,,,,,,4,8,2,,,
,20. Sawai madhopur,2000 - 2001,,,,,,,16,16,1,,,
,,2001 - 2002,,,,,,,25,25,1,,,
,,2002 - 2003,,,,,,,40,40,1,,,
,,2003 - 2004,,,,,,,25,,0,,,
,,2004 - 2005,,,,,,,29,4,0.14,,,
,,2005 - 2006,,,,,,,8,4,0.5,,,
,,2006 - 2007,,,,,,,5,3,0.6,,,
,,2007 - 2008,,,,,,,5,3,0.6,,,
,,2008 - 2009,,,,,,,1,1,1,,,
,,2019 - 2020,,,,,,,1,,0,,,
,,2021 - 2022,,,,,,,1,0,0,,,
,21. Sikar,2000 - 2001,,,,,,,23,23,1,,,
,,2001 - 2002,,,,,,,30,49,1.63,,,
,,2002 - 2003,,,,,,,20,20,1,,,
,,2003 - 2004,,,,,,,19,,0,,,
,,2004 - 2005,,,,,,,15,13,0.87,,,
,,2005 - 2006,,,,,,,13,13,1,,,
,,2006 - 2007,,,,,,,7,14,2,,,
,,2007 - 2008,,,,,,,4,2,0.5,,,
,,2008 - 2009,,,,,,,2,2,1,,,
,,2012 - 2013,,,,,,,1,4,4,,,
,,2013 - 2014,,,,,,,2,8,4,,,
,,2014 - 2015,,,,,,,1,4,4,,,
,,2015 - 2016,,,,,,,1,4,4,,,
,,2018 - 2019,,,,,,,1,4,4,,,
,22. Sirohi,2000 - 2001,,,,,,,15,45,3,,,
,,2001 - 2002,,,,,,,28,84,3,,,
,,2002 - 2003,,,,,,,14,42,3,,,
,,2003 - 2004,,,,,,,17,,0,,,
,,2004 - 2005,,,,,,,72,42,0.58,,,
,,2005 - 2006,,,,,,,14,42,3,,,
,,2006 - 2007,,,,,,,61,183,3,,,
,,2007 - 2008,,,,,,,24,72,3,,,
,,2008 - 2009,,,,,,,29,73,2.52,,,
,,2009 - 2010,,,,,,,26,65,2.5,,,
,,2011 - 2012,,,,,,,4,4,1,,,
,,2012 - 2013,,,,,,,3,3,1,,,
,,2014 - 2015,,,,,,,5,4,0.8,,,
,,2015 - 2016,,,,,,,18,20,1.11,,,
,,2016 - 2017,,,,,,,2,2,1,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,9,5,0.56,,,
,,2021 - 2022,,,,,,,4,2,0.5,,,
,,2022 - 2023,,,,,,,9,5,0.56,,,
,23. Tonk,2016 - 2017,,,,,,,3,,0,,,
,,2017 - 2018,,,,,,,2,15,7.5,,,
,,2019 - 2020,,,,,,,1,,0,,,
,24. Udaipur,2000 - 2001,,,,,,,6,1,0.17,,,
,,2001 - 2002,,,,,,,8,5,0.63,,,
,,2002 - 2003,,,,,,,10,2,0.2,,,
,,2003 - 2004,,,,,,,8,,0,,,
,,2004 - 2005,,,,,,,2,5,2.5,,,
,,2005 - 2006,,,,,,,7,5,0.71,,,
,,2006 - 2007,,,,,,,2,,0,,,
,,2017 - 2018,,,,,,,2,,0,,,
18. Tamil Nadu,1. Ariyalur,2017 - 2018,,,,,,,198,302,1.53,,,
,2. Coimbatore,2000 - 2001,,,,,,,601,"1,040.00",1.73,,,
,,2005 - 2006,,,,,,,327,489,1.5,,,
,,2006 - 2007,,,,,,,348,520,1.49,,,
,,2007 - 2008,,,,,,,531,794,1.5,,,
,,2008 - 2009,,,,,,,132,676,5.12,,,
,,2009 - 2010,,,,,,,235,351,1.49,,,
,,2011 - 2012,,,,,,,86,232,2.7,,,
,,2013 - 2014,,,,,,,100,159,1.59,,,
,,2014 - 2015,,,,,,,152,245,1.61,,,
,,2015 - 2016,,,,,,,54,88,1.63,,,
,,2016 - 2017,,,,,,,63,93,1.48,,,
,,2018 - 2019,,,,,,,97,153,1.58,,,
,,2019 - 2020,,,,,,,72,113,1.57,,,
,,2020 - 2021,,,,,,,19,29,1.53,,,
,,2021 - 2022,,,,,,,17,26,1.53,,,
,,2022 - 2023,,,,,,,18,27,1.5,,,
,3. Cuddalore,2007 - 2008,,,,,,,5,7,1.4,,,
,,2008 - 2009,,,,,,,4,6,1.5,,,
,,2009 - 2010,,,,,,,2,3,1.5,,,
,,2017 - 2018,,,,,,,"1,073.00","1,504.00",1.4,,,
,,2022 - 2023,,,,,,,214,326,1.52,,,
,4. Dharmapuri,2000 - 2001,,,,,,,29,39,1.34,,,
,,2002 - 2003,,,,,,,625,933,1.49,,,
,,2005 - 2006,,,,,,,24,26,1.08,,,
,,2006 - 2007,,,,,,,26,28,1.08,,,
,,2007 - 2008,,,,,,,31,34,1.1,,,
,,2008 - 2009,,,,,,,34,37,1.09,,,
,,2009 - 2010,,,,,,,37,37,1,,,
,,2011 - 2012,,,,,,,22,19,0.86,,,
,,2013 - 2014,,,,,,,30,35,1.17,,,
,,2014 - 2015,,,,,,,41,49,1.2,,,
,,2015 - 2016,,,,,,,10,12,1.2,,,
,,2017 - 2018,,,,,,,"2,080.00","3,174.00",1.53,,,
,,2018 - 2019,,,,,,,2,3,1.5,,,
,,2020 - 2021,,,,,,,28,43,1.54,,,
,,2021 - 2022,,,,,,,22,32,1.45,,,
,,2022 - 2023,,,,,,,17,26,1.53,,,
,5. Dindigul,2000 - 2001,,,,,,,650,903,1.39,,,
,,2002 - 2003,,,,,,,"1,853.00","2,711.00",1.46,,,
,,2005 - 2006,,,,,,,"1,362.00","1,967.00",1.44,,,
,,2006 - 2007,,,,,,,"1,125.00","1,634.00",1.45,,,
,,2007 - 2008,,,,,,,"1,093.00","1,587.00",1.45,,,
,,2008 - 2009,,,,,,,"1,197.00","1,733.00",1.45,,,
,,2009 - 2010,,,,,,,"1,911.00","2,771.00",1.45,,,
,,2011 - 2012,,,,,,,"1,002.00","2,287.00",2.28,,,
,,2013 - 2014,,,,,,,869,"1,317.00",1.52,,,
,,2014 - 2015,,,,,,,"1,444.00","2,136.00",1.48,,,
,,2015 - 2016,,,,,,,959,"1,424.00",1.48,,,
,,2016 - 2017,,,,,,,551,822,1.49,,,
,,2017 - 2018,,,,,,,4,6,1.5,,,
,,2018 - 2019,,,,,,,725,"1,087.00",1.5,,,
,,2019 - 2020,,,,,,,470,703,1.5,,,
,,2020 - 2021,,,,,,,586,894,1.53,,,
,,2021 - 2022,,,,,,,472,712,1.51,,,
,,2022 - 2023,,,,,,,449,685,1.53,,,
,6. Erode,2000 - 2001,,,,,,,"3,914.00","6,187.00",1.58,,,
,,2002 - 2003,,,,,,,6,8,1.33,,,
,,2005 - 2006,,,,,,,"2,789.00","4,423.00",1.59,,,
,,2006 - 2007,,,,,,,"2,962.00","4,698.00",1.59,,,
,,2007 - 2008,,,,,,,"3,537.00","5,610.00",1.59,,,
,,2008 - 2009,,,,,,,"2,980.00","4,726.00",1.59,,,
,,2009 - 2010,,,,,,,"3,574.00","5,668.00",1.59,,,
,,2011 - 2012,,,,,,,"1,329.00","4,676.00",3.52,,,
,,2013 - 2014,,,,,,,"2,005.00","3,152.00",1.57,,,
,,2014 - 2015,,,,,,,"2,986.00","4,685.00",1.57,,,
,,2015 - 2016,,,,,,,"1,897.00","2,971.00",1.57,,,
,,2016 - 2017,,,,,,,940,"1,455.00",1.55,,,
,,2017 - 2018,,,,,,,7,11,1.57,,,
,,2018 - 2019,,,,,,,961,"1,503.00",1.56,,,
,,2019 - 2020,,,,,,,699,"1,092.00",1.56,,,
,,2020 - 2021,,,,,,,884,"1,348.00",1.52,,,
,,2021 - 2022,,,,,,,726,"1,127.00",1.55,,,
,,2022 - 2023,,,,,,,"1,146.00","1,748.00",1.53,,,
,7. Kanchipuram,2011 - 2012,,,,,,,3,5,1.67,,,
,8. Karur,2000 - 2001,,,,,,,1,2,2,,,
,,2005 - 2006,,,,,,,2,3,1.5,,,
,,2007 - 2008,,,,,,,1,1,1,,,
,,2009 - 2010,,,,,,,1,1,1,,,
,,2013 - 2014,,,,,,,1,,0,,,
,,2018 - 2019,,,,,,,7,2,0.29,,,
,,2019 - 2020,,,,,,,2,1,0.5,,,
,,2020 - 2021,,,,,,,3,5,1.67,,,
,,2021 - 2022,,,,,,,2,2,1,,,
,9. Krishnagiri,2002 - 2003,,,,,,,"5,066.00","8,028.00",1.58,,,
,,2011 - 2012,,,,,,,1,8,8,,,
,10. Madurai,2011 - 2012,,,,,,,1,,0,,,
,,2017 - 2018,,,,,,,128,195,1.52,,,
,11. Nagapattinam,2000 - 2001,,,,,,,280,500,1.79,,,
,,2002 - 2003,,,,,,,228,378,1.66,,,
,,2005 - 2006,,,,,,,343,568,1.66,,,
,,2006 - 2007,,,,,,,326,540,1.66,,,
,,2007 - 2008,,,,,,,400,663,1.66,,,
,,2008 - 2009,,,,,,,403,668,1.66,,,
,,2009 - 2010,,,,,,,376,691,1.84,,,
,,2011 - 2012,,,,,,,204,501,2.46,,,
,,2013 - 2014,,,,,,,128,237,1.85,,,
,,2014 - 2015,,,,,,,165,313,1.9,,,
,,2015 - 2016,,,,,,,120,229,1.91,,,
,,2016 - 2017,,,,,,,93,166,1.78,,,
,,2018 - 2019,,,,,,,116,216,1.86,,,
,,2019 - 2020,,,,,,,80,149,1.86,,,
,,2020 - 2021,,,,,,,77,117,1.52,,,
,,2021 - 2022,,,,,,,87,153,1.76,,,
,,2022 - 2023,,,,,,,78,119,1.53,,,
,12. Namakkal,2002 - 2003,,,,,,,7,8,1.14,,,
,,2009 - 2010,,,,,,,3,3,1,,,
,,2018 - 2019,,,,,,,1,1,1,,,
,,2021 - 2022,,,,,,,6,6,1,,,
,,2022 - 2023,,,,,,,1,2,2,,,
,13. Perambalur,2021 - 2022,,,,,,,3,3,1,,,
,14. Ramanathapuram,2017 - 2018,,,,,,,146,223,1.53,,,
,15. Salem,2000 - 2001,,,,,,,272,313,1.15,,,
,,2005 - 2006,,,,,,,158,166,1.05,,,
,,2006 - 2007,,,,,,,175,184,1.05,,,
,,2007 - 2008,,,,,,,219,230,1.05,,,
,,2008 - 2009,,,,,,,218,229,1.05,,,
,,2009 - 2010,,,,,,,331,348,1.05,,,
,,2011 - 2012,,,,,,,108,112,1.04,,,
,,2013 - 2014,,,,,,,242,254,1.05,,,
,,2014 - 2015,,,,,,,351,369,1.05,,,
,,2015 - 2016,,,,,,,87,91,1.05,,,
,,2016 - 2017,,,,,,,50,49,0.98,,,
,,2018 - 2019,,,,,,,83,86,1.04,,,
,,2019 - 2020,,,,,,,290,298,1.03,,,
,,2020 - 2021,,,,,,,102,156,1.53,,,
,,2021 - 2022,,,,,,,121,138,1.14,,,
,,2022 - 2023,,,,,,,47,72,1.53,,,
,16. Sivaganga,2017 - 2018,,,,,,,2,3,1.5,,,
,17. The nilgiris,2000 - 2001,,,,,,,76,118,1.55,,,
,,2017 - 2018,,,,,,,4,6,1.5,,,
,18. Theni,2000 - 2001,,,,,,,7,11,1.57,,,
,,2002 - 2003,,,,,,,68,150,2.21,,,
,,2005 - 2006,,,,,,,29,64,2.21,,,
,,2006 - 2007,,,,,,,21,46,2.19,,,
,,2007 - 2008,,,,,,,21,46,2.19,,,
,,2008 - 2009,,,,,,,13,29,2.23,,,
,,2009 - 2010,,,,,,,10,22,2.2,,,
,,2011 - 2012,,,,,,,3,9,3,,,
,,2013 - 2014,,,,,,,5,11,2.2,,,
,,2014 - 2015,,,,,,,16,35,2.19,,,
,,2015 - 2016,,,,,,,4,9,2.25,,,
,,2016 - 2017,,,,,,,1,2,2,,,
,,2018 - 2019,,,,,,,3,6,2,,,
,,2019 - 2020,,,,,,,1,2,2,,,
,,2020 - 2021,,,,,,,2,3,1.5,,,
,,2021 - 2022,,,,,,,3,5,1.67,,,
,19. Thiruvallur,2002 - 2003,,,,,,,18,25,1.39,,,
,20. Thoothukudi,2017 - 2018,,,,,,,1,2,2,,,
,21. Tiruchirappalli,2020 - 2021,,,,,,,1,2,2,,,
,22. Tirunelveli,2002 - 2003,,,,,,,15,18,1.2,,,
,,2005 - 2006,,,,,,,15,18,1.2,,,
,,2006 - 2007,,,,,,,5,6,1.2,,,
,,2007 - 2008,,,,,,,3,4,1.33,,,
,,2008 - 2009,,,,,,,2,2,1,,,
,,2009 - 2010,,,,,,,8,10,1.25,,,
,,2017 - 2018,,,,,,,145,284,1.96,,,
,23. Tiruppur,2008 - 2009,,,,,,,320,,0,,,
,,2009 - 2010,,,,,,,453,690,1.52,,,
,,2011 - 2012,,,,,,,82,279,3.4,,,
,,2013 - 2014,,,,,,,278,437,1.57,,,
,,2014 - 2015,,,,,,,303,476,1.57,,,
,,2015 - 2016,,,,,,,189,299,1.58,,,
,,2016 - 2017,,,,,,,101,157,1.55,,,
,,2018 - 2019,,,,,,,115,180,1.57,,,
,,2019 - 2020,,,,,,,43,67,1.56,,,
,,2020 - 2021,,,,,,,69,105,1.52,,,
,,2021 - 2022,,,,,,,85,132,1.55,,,
,,2022 - 2023,,,,,,,124,189,1.52,,,
,24. Tiruvannamalai,2000 - 2001,,,,,,,96,112,1.17,,,
,,2002 - 2003,,,,,,,211,225,1.07,,,
,,2005 - 2006,,,,,,,53,68,1.28,,,
,,2006 - 2007,,,,,,,53,68,1.28,,,
,,2007 - 2008,,,,,,,61,78,1.28,,,
,,2008 - 2009,,,,,,,75,107,1.43,,,
,,2009 - 2010,,,,,,,108,143,1.32,,,
,,2011 - 2012,,,,,,,27,77,2.85,,,
,,2013 - 2014,,,,,,,62,86,1.39,,,
,,2014 - 2015,,,,,,,15,21,1.4,,,
,,2015 - 2016,,,,,,,26,36,1.38,,,
,25. Vellore,2002 - 2003,,,,,,,116,146,1.26,,,
,,2007 - 2008,,,,,,,1,2,2,,,
,,2009 - 2010,,,,,,,2,3,1.5,,,
,,2013 - 2014,,,,,,,4,2,0.5,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,1,2,2,,,
,26. Villupuram,2008 - 2009,,,,,,,1,1,1,,,
,,2013 - 2014,,,,,,,1,1,1,,,
,,2014 - 2015,,,,,,,5,5,1,,,
,,2015 - 2016,,,,,,,2,2,1,,,
,,2018 - 2019,,,,,,,1,1,1,,,
19. Telangana,1. Adilabad,2000 - 2001,,,,,,,134,72,0.54,,,
,,2001 - 2002,,,,,,,69,169,2.45,,,
,,2002 - 2003,,,,,,,35,120,3.43,,,
,,2003 - 2004,,,,,,,39,84,2.15,,,
,,2004 - 2005,,,,,,,2,3,1.5,,,
,,2005 - 2006,,,,,,,72,135,1.88,,,
,,2006 - 2007,,,,,,,235,732,3.11,,,
,,2009 - 2010,,,,,,,12,28,2.33,,,
,,2010 - 2011,,,,,,,2,7,3.5,,,
,,2011 - 2012,,,,,,,11,44,4,,,
,,2014 - 2015,,,,21,50,2.38,,,,,,
,,2015 - 2016,2,9,4.5,33,78,2.36,,,,,,
,,2016 - 2017,,,,51,137,2.69,,,,,,
,,2017 - 2018,,,,23,66,2.87,,,,,,
,,2018 - 2019,,,,75,202,2.69,,,,,,
,,2019 - 2020,12,36,3,25,74,2.96,,,,,,
,,2020 - 2021,1,3,3,3,12,4,,,,,,
,,2021 - 2022,,,,4,12,3,,,,,,
,2. Bhadradri,2016 - 2017,1,3,3,"1,106.00","3,433.00",3.1,,,,,,
,,2017 - 2018,1,3,3,815,"2,535.00",3.11,,,,,,
,,2018 - 2019,,,,694,"2,320.00",3.34,,,,,,
,,2019 - 2020,,,,551,"1,692.00",3.07,,,,,,
,,2020 - 2021,,,,186,427,2.3,,,,,,
,,2021 - 2022,1,3,3,358,824,2.3,,,,,,
,,2022 - 2023,,,,495,938,1.89,,,,,,
,3. Jangoan,2016 - 2017,196,526,2.68,89,411,4.62,,,,,,
,,2017 - 2018,171,488,2.85,,,,,,,,,
,,2018 - 2019,128,669,5.23,22,115,5.23,,,,,,
,,2019 - 2020,395,"1,181.00",2.99,49,148,3.02,,,,,,
,,2020 - 2021,82,296,3.61,197,292,1.48,,,,,,
,,2021 - 2022,126,382,3.03,212,643,3.03,,,,,,
,,2022 - 2023,1,2,2,299,"1,160.00",3.88,,,,,,
,4. Jayashankar,2016 - 2017,56,259,4.63,22,102,4.64,,,,,,
,,2017 - 2018,,,,2,9,4.5,,,,,,
,,2021 - 2022,1,3,3,3,6,2,,,,,,
,5. Jogulamba,2016 - 2017,"2,154.00","5,777.00",2.68,"1,588.00","4,259.00",2.68,,,,,,
,,2017 - 2018,472,"1,348.00",2.86,"1,506.00","4,300.00",2.86,,,,,,
,,2018 - 2019,"1,020.00","2,744.00",2.69,"1,179.00","3,172.00",2.69,,,,,,
,,2019 - 2020,755,"2,374.00",3.14,844,"2,655.00",3.15,,,,,,
,,2020 - 2021,174,221,1.27,634,803,1.27,,,,,,
,,2021 - 2022,384,553,1.44,"1,255.00","1,807.00",1.44,,,,,,
,,2022 - 2023,42,94,2.24,"1,434.00","4,362.00",3.04,,,,,,
,6. Kamareddy,2016 - 2017,,,,102,471,4.62,,,,,,
,,2017 - 2018,,,,74,333,4.5,,,,,,
,,2018 - 2019,,,,74,387,5.23,,,,,,
,,2019 - 2020,,,,7,21,3,,,,,,
,,2020 - 2021,,,,15,55,3.67,,,,,,
,,2021 - 2022,1,3,3,52,158,3.04,,,,,,
,,2022 - 2023,4,9,2.25,105,235,2.24,,,,,,
,7. Karimnagar,2000 - 2001,,,,,,,"1,568.00","1,813.00",1.16,,,
,,2001 - 2002,,,,,,,985,"2,375.00",2.41,,,
,,2002 - 2003,,,,,,,321,"1,081.00",3.37,,,
,,2003 - 2004,,,,,,,278,503,1.81,,,
,,2004 - 2005,,,,,,,970,"1,426.00",1.47,,,
,,2005 - 2006,,,,,,,601,"1,184.00",1.97,,,
,,2006 - 2007,,,,,,,573,903,1.58,,,
,,2008 - 2009,,,,,,,324,690,2.13,,,
,,2009 - 2010,,,,,,,673,"1,275.00",1.89,,,
,,2010 - 2011,,,,,,,362,543,1.5,,,
,,2011 - 2012,,,,,,,163,261,1.6,,,
,,2013 - 2014,,,,8,35,4.38,,,,,,
,,2014 - 2015,,,,8,31,3.88,,,,,,
,,2015 - 2016,5,23,4.6,38,173,4.55,,,,,,
,,2016 - 2017,,,,60,277,4.62,,,,,,
,,2017 - 2018,,,,49,221,4.51,,,,,,
,,2018 - 2019,2,10,5,66,345,5.23,,,,,,
,,2019 - 2020,149,442,2.97,,,,,,,,,
,,2020 - 2021,17,63,3.71,42,153,3.64,,,,,,
,,2021 - 2022,35,106,3.03,112,340,3.04,,,,,,
,,2022 - 2023,,,,123,275,2.24,,,,,,
,8. Khammam,2000 - 2001,,,,,,,"2,741.00","5,316.00",1.94,,,
,,2001 - 2002,,,,,,,"4,781.00","14,615.00",3.06,,,
,,2002 - 2003,,,,,,,"3,945.00","10,966.00",2.78,,,
,,2003 - 2004,,,,,,,"4,413.00","10,632.00",2.41,,,
,,2004 - 2005,,,,,,,"4,546.00","7,142.00",1.57,,,
,,2005 - 2006,,,,,,,"4,899.00","11,445.00",2.34,,,
,,2006 - 2007,,,,,,,"5,099.00","12,211.00",2.39,,,
,,2007 - 2008,,,,,,,"5,000.00","15,000.00",3,,,
,,2008 - 2009,,,,,,,"5,449.00","15,461.00",2.84,,,
,,2009 - 2010,,,,,,,"5,327.00","13,463.00",2.53,,,
,,2010 - 2011,,,,,,,"4,488.00","11,338.00",2.53,,,
,,2011 - 2012,,,,,,,"4,875.00","14,322.00",2.94,,,
,,2012 - 2013,,,,,,,"2,000.00","7,000.00",3.5,,,
,,2013 - 2014,,,,"1,986.00","4,502.00",2.27,,,,,,
,,2014 - 2015,,,,"2,256.00","6,035.00",2.68,,,,,,
,,2015 - 2016,,,,"2,235.00","6,266.00",2.8,,,,,,
,,2016 - 2017,,,,11,51,4.64,,,,,,
,,2017 - 2018,,,,4,18,4.5,,,,,,
,,2018 - 2019,,,,6,31,5.17,,,,,,
,,2020 - 2021,,,,11,39,3.55,,,,,,
,,2021 - 2022,7,21,3,26,79,3.04,,,,,,
,,2022 - 2023,2,4,2,9,20,2.22,,,,,,
,9. Mahabubabad,2016 - 2017,,,,98,263,2.68,,,,,,
,,2017 - 2018,,,,205,923,4.5,,,,,,
,,2018 - 2019,,,,155,810,5.23,,,,,,
,,2019 - 2020,,,,8,24,3,,,,,,
,,2020 - 2021,,,,58,211,3.64,,,,,,
,,2021 - 2022,,,,115,349,3.03,,,,,,
,,2022 - 2023,5,6,1.2,81,90,1.11,,,,,,
,10. Mahbubnagar,2000 - 2001,,,,,,,"3,870.00","5,449.00",1.41,,,
,,2001 - 2002,,,,,,,"3,431.00","2,494.00",0.73,,,
,,2002 - 2003,,,,,,,"1,649.00","2,459.00",1.49,,,
,,2003 - 2004,,,,,,,"3,677.00","5,593.00",1.52,,,
,,2004 - 2005,,,,,,,813,673,0.83,,,
,,2005 - 2006,,,,,,,"2,120.00","1,973.00",0.93,,,
,,2006 - 2007,,,,,,,"1,602.00","4,732.00",2.95,,,
,,2007 - 2008,,,,,,,"2,000.00","2,000.00",1,,,
,,2008 - 2009,,,,,,,"2,723.00","8,706.00",3.2,,,
,,2009 - 2010,,,,,,,"5,389.00","10,245.00",1.9,,,
,,2010 - 2011,,,,,,,"2,597.00","6,229.00",2.4,,,
,,2011 - 2012,,,,,,,"1,828.00","2,734.00",1.5,,,
,,2012 - 2013,,,,,,,"2,000.00","4,000.00",2,,,
,,2013 - 2014,"1,778.00","2,226.00",1.25,879,"1,101.00",1.25,,,,,,
,,2014 - 2015,"1,178.00","2,305.00",1.96,"1,154.00","2,258.00",1.96,,,,,,
,,2015 - 2016,"1,187.00","2,816.00",2.37,"1,177.00","2,792.00",2.37,,,,,,
,11. Medak,2002 - 2003,,,,,,,15,34,2.27,,,
,,2003 - 2004,,,,,,,13,28,2.15,,,
,,2004 - 2005,,,,,,,13,20,1.54,,,
,,2005 - 2006,,,,,,,20,38,1.9,,,
,,2006 - 2007,,,,,,,28,87,3.11,,,
,,2008 - 2009,,,,,,,37,130,3.51,,,
,,2009 - 2010,,,,,,,79,150,1.9,,,
,,2010 - 2011,,,,,,,52,135,2.6,,,
,,2011 - 2012,,,,,,,12,18,1.5,,,
,,2013 - 2014,,,,37,46,1.24,,,,,,
,,2014 - 2015,,,,22,43,1.95,,,,,,
,,2015 - 2016,,,,23,105,4.57,,,,,,
,12. Mulugu,2018 - 2019,,,,2,10,5,,,,,,
,,2019 - 2020,,,,1,3,3,,,,,,
,,2020 - 2021,,,,1,4,4,,,,,,
,13. Nalgonda,2000 - 2001,,,,,,,36,,0,,,
,,2001 - 2002,,,,,,,19,47,2.47,,,
,,2002 - 2003,,,,,,,22,110,5,,,
,,2003 - 2004,,,,,,,53,115,2.17,,,
,,2004 - 2005,,,,,,,115,157,1.37,,,
,,2005 - 2006,,,,,,,76,150,1.97,,,
,,2006 - 2007,,,,,,,87,137,1.57,,,
,,2008 - 2009,,,,,,,79,246,3.11,,,
,,2009 - 2010,,,,,,,25,54,2.16,,,
,,2010 - 2011,,,,,,,74,242,3.27,,,
,,2011 - 2012,,,,,,,114,454,3.98,,,
,,2013 - 2014,30,130,4.33,51,221,4.33,,,,,,
,,2014 - 2015,26,101,3.88,75,291,3.88,,,,,,
,,2015 - 2016,12,55,4.58,11,50,4.55,,,,,,
,,2020 - 2021,9,32,3.56,,,,,,,,,
,14. Nirmal,2016 - 2017,,,,23,106,4.61,,,,,,
,,2017 - 2018,,,,5,23,4.6,,,,,,
,,2018 - 2019,,,,2,10,5,,,,,,
,,2019 - 2020,,,,4,12,3,,,,,,
,,2021 - 2022,1,4,4,,,,,,,,,
,,2022 - 2023,,,,9,27,3,,,,,,
,15. Nizamabad,2000 - 2001,,,,,,,527,327,0.62,,,
,,2001 - 2002,,,,,,,492,930,1.89,,,
,,2002 - 2003,,,,,,,366,"1,194.00",3.26,,,
,,2003 - 2004,,,,,,,393,849,2.16,,,
,,2004 - 2005,,,,,,,28,44,1.57,,,
,,2005 - 2006,,,,,,,21,39,1.86,,,
,,2006 - 2007,,,,,,,232,723,3.12,,,
,,2008 - 2009,,,,,,,204,719,3.52,,,
,,2009 - 2010,,,,,,,486,"1,411.00",2.9,,,
,,2010 - 2011,,,,,,,554,"1,419.00",2.56,,,
,,2011 - 2012,,,,,,,"1,236.00","4,922.00",3.98,,,
,,2013 - 2014,,,,878,"3,813.00",4.34,,,,,,
,,2014 - 2015,,,,945,"3,664.00",3.88,,,,,,
,,2015 - 2016,250,596,2.38,637,"1,511.00",2.37,,,,,,
,,2016 - 2017,192,515,2.68,839,"2,250.00",2.68,,,,,,
,,2017 - 2018,,,,777,"2,218.00",2.85,,,,,,
,,2018 - 2019,,,,584,"1,571.00",2.69,,,,,,
,,2019 - 2020,,,,106,333,3.14,,,,,,
,,2020 - 2021,,,,28,36,1.29,,,,,,
,,2021 - 2022,2,7,3.5,457,"1,648.00",3.61,,,,,,
,,2022 - 2023,4,9,2.25,494,"1,654.00",3.35,,,,,,
,16. Rajanna,2021 - 2022,,,,2,6,3,,,,,,
,17. Sangareddy,2016 - 2017,,,,4,18,4.5,,,,,,
,,2021 - 2022,,,,9,27,3,,,,,,
,,2022 - 2023,,,,5,11,2.2,,,,,,
,18. Siddipet,2021 - 2022,,,,5,10,2,,,,,,
,,2022 - 2023,,,,5,15,3,,,,,,
,19. Suryapet,2016 - 2017,,,,12,55,4.58,,,,,,
,,2021 - 2022,,,,4,12,3,,,,,,
,,2022 - 2023,,,,1,2,2,,,,,,
,20. Wanaparthy,2018 - 2019,,,,29,151,5.21,,,,,,
,,2019 - 2020,2,6,3,,,,,,,,,
,21. Warangal,2000 - 2001,,,,,,,278,455,1.64,,,
,,2001 - 2002,,,,,,,"1,122.00","2,759.00",2.46,,,
,,2002 - 2003,,,,,,,731,"3,840.00",5.25,,,
,,2003 - 2004,,,,,,,840,995,1.18,,,
,,2004 - 2005,,,,,,,"1,203.00","1,531.00",1.27,,,
,,2005 - 2006,,,,,,,981,"1,932.00",1.97,,,
,,2006 - 2007,,,,,,,"1,502.00","3,956.00",2.63,,,
,,2007 - 2008,,,,,,,"1,000.00",,0,,,
,,2008 - 2009,,,,,,,"2,393.00","8,001.00",3.34,,,
,,2009 - 2010,,,,,,,965,"1,828.00",1.89,,,
,,2010 - 2011,,,,,,,650,978,1.5,,,
,,2011 - 2012,,,,,,,733,"2,554.00",3.48,,,
,,2013 - 2014,410,"1,533.00",3.74,,,,,,,,,
,,2014 - 2015,330,"1,060.00",3.21,70,137,1.96,,,,,,
,,2015 - 2016,56,203,3.63,125,480,3.84,,,,,,
,,2018 - 2019,,,,3,8,2.67,,,,,,
,,2019 - 2020,1,3,3,,,,,,,,,
,,2020 - 2021,,,,2,9,4.5,,,,,,
,,2021 - 2022,,,,4,12,3,,,,,,
,,2022 - 2023,,,,2,4,2,,,,,,
,22. Warangal urban,2019 - 2020,2,6,3,,,,,,,,,
,,2020 - 2021,,,,6,20,3.33,,,,,,
,,2021 - 2022,3,9,3,24,73,3.04,,,,,,
,,2022 - 2023,6,13,2.17,11,25,2.27,,,,,,
,23. Yadadri,2017 - 2018,7,32,4.57,,,,,,,,,
,,2019 - 2020,42,125,2.98,,,,,,,,,
,,2020 - 2021,14,52,3.71,,,,,,,,,
,,2021 - 2022,1,3,3,,,,,,,,,
,,2022 - 2023,,,,4,9,2.25,,,,,,
20. Uttar Pradesh,1. Aligarh,2002 - 2003,,,,,,,3,19,6.33,,,
,,2003 - 2004,,,,,,,2,8,4,,,
,,2004 - 2005,,,,,,,7,35,5,,,
