State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,,,,,,,2,2,1,,,
,3. Biswanath,2020 - 2021,,,,,,,2,1,0.5,,,
,,2021 - 2022,,,,,,,9,4,0.44,,,
,4. Bongaigaon,2000 - 2001,,,,,,,45,23,0.51,,,
,,2001 - 2002,,,,,,,45,24,0.53,,,
,,2002 - 2003,,,,,,,49,26,0.53,,,
,,2003 - 2004,,,,,,,49,26,0.53,,,
,,2004 - 2005,,,,,,,41,23,0.56,,,
,,2005 - 2006,,,,,,,18,9,0.5,,,
,,2006 - 2007,,,,,,,23,11,0.48,,,
,,2007 - 2008,,,,,,,25,12,0.48,,,
,,2008 - 2009,,,,,,,23,11,0.48,,,
,,2009 - 2010,,,,,,,21,11,0.52,,,
,,2010 - 2011,,,,,,,15,8,0.53,,,
,,2011 - 2012,,,,,,,7,4,0.57,,,
,,2012 - 2013,,,,,,,4,2,0.5,,,
,,2015 - 2016,,,,,,,1,1,1,,,
,5. Cachar,2000 - 2001,,,,,,,9,6,0.67,,,
,,2001 - 2002,,,,,,,9,9,1,,,
,,2002 - 2003,,,,,,,9,6,0.67,,,
,,2003 - 2004,,,,,,,9,6,0.67,,,
,,2004 - 2005,,,,,,,10,7,0.7,,,
,,2005 - 2006,,,,,,,10,6,0.6,,,
,,2006 - 2007,,,,,,,10,7,0.7,,,
,,2007 - 2008,,,,,,,10,7,0.7,,,
,,2008 - 2009,,,,,,,7,5,0.71,,,
,,2009 - 2010,,,,,,,7,5,0.71,,,
,,2010 - 2011,,,,,,,6,4,0.67,,,
,,2011 - 2012,,,,,,,6,3,0.5,,,
,,2012 - 2013,,,,,,,7,4,0.57,,,
,,2013 - 2014,,,,,,,10,6,0.6,,,
,,2014 - 2015,,,,,,,7,4,0.57,,,
,,2015 - 2016,,,,,,,9,6,0.67,,,
,,2016 - 2017,,,,,,,8,5,0.63,,,
,,2017 - 2018,,,,,,,7,5,0.71,,,
,,2018 - 2019,,,,,,,7,5,0.71,,,
,,2019 - 2020,,,,,,,6,4,0.67,,,
,,2020 - 2021,,,,,,,6,4,0.67,,,
,,2021 - 2022,,,,,,,7,5,0.71,,,
,,2022 - 2023,,,,,,,7,3,0.43,,,
,6. Chirang,2005 - 2006,,,,,,,37,19,0.51,,,
,,2006 - 2007,,,,,,,38,19,0.5,,,
,,2007 - 2008,,,,,,,37,18,0.49,,,
,,2008 - 2009,,,,,,,38,20,0.53,,,
,,2009 - 2010,,,,,,,38,19,0.5,,,
,,2010 - 2011,,,,,,,50,26,0.52,,,
,,2011 - 2012,,,,,,,74,38,0.51,,,
,,2012 - 2013,,,,,,,77,39,0.51,,,
,,2013 - 2014,,,,,,,79,40,0.51,,,
,,2014 - 2015,,,,,,,99,51,0.52,,,
,,2015 - 2016,,,,,,,80,37,0.46,,,
,,2016 - 2017,,,,,,,80,39,0.49,,,
,,2017 - 2018,,,,,,,54,27,0.5,,,
,,2018 - 2019,,,,,,,54,27,0.5,,,
,,2019 - 2020,,,,,,,37,22,0.59,,,
,,2020 - 2021,,,,,,,27,16,0.59,,,
,,2021 - 2022,,,,,,,30,14,0.47,,,
,,2022 - 2023,,,,,,,9,7,0.78,,,
,7. Darrang,2000 - 2001,,,,,,,46,28,0.61,,,
,,2001 - 2002,,,,,,,35,21,0.6,,,
,,2002 - 2003,,,,,,,13,8,0.62,,,
,,2003 - 2004,,,,,,,14,8,0.57,,,
,,2004 - 2005,,,,,,,7,5,0.71,,,
,,2005 - 2006,,,,,,,5,3,0.6,,,
,,2007 - 2008,,,,,,,1,1,1,,,
