State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,3,103,34.33,,,,,,
,,2020 - 2021,1,13,13,3,98,32.67,,,,,,
,,2021 - 2022,,,,12,281,23.42,,,,,,
,,2022 - 2023,,,,1,26,26,,,,,,
,23. Rajanna,2016 - 2017,,,,58,"1,905.00",32.84,,,,,,
,,2017 - 2018,,,,72,"2,618.00",36.36,,,,,,
,,2018 - 2019,6,78,13,46,"1,341.00",29.15,,,,,,
,,2019 - 2020,1,22,22,8,274,34.25,,,,,,
,,2020 - 2021,1,13,13,16,520,32.5,,,,,,
,,2021 - 2022,2,32,16,26,609,23.42,,,,,,
,,2022 - 2023,,,,4,102,25.5,,,,,,
,24. Rangareddi,2000 - 2001,434,"4,859.00",11.2,"2,276.00","42,623.00",18.73,,,,,,
,,2001 - 2002,331,"3,613.00",10.92,"2,317.00","60,017.00",25.9,,,,,,
,,2002 - 2003,352,"2,703.00",7.68,"2,066.00","39,248.00",19,,,,,,
,,2003 - 2004,361,"3,853.00",10.67,"1,863.00","43,531.00",23.37,,,,,,
,,2004 - 2005,671,"6,780.00",10.1,"2,195.00","51,703.00",23.55,,,,,,
,,2005 - 2006,361,"4,663.00",12.92,"2,363.00","45,275.00",19.16,,,,,,
,,2006 - 2007,232,"3,493.00",15.06,"2,163.00","59,831.00",27.66,,,,,,
,,2007 - 2008,,,,"2,000.00","36,000.00",18,,,,,,
,,2008 - 2009,296,"4,255.00",14.38,"1,780.00","46,944.00",26.37,,,,,,
,,2009 - 2010,278,"4,834.00",17.39,"1,819.00","52,616.00",28.93,,,,,,
,,2010 - 2011,230,"3,820.00",16.61,"2,568.00","57,844.00",22.52,,,,,,
,,2011 - 2012,385,"4,328.00",11.24,"1,921.00","42,544.00",22.15,,,,,,
,,2012 - 2013,,,,"2,000.00","61,000.00",30.5,,,,,,
,,2013 - 2014,409,"7,691.00",18.8,"2,015.00","43,858.00",21.77,,,,,,
,,2014 - 2015,240,"2,740.00",11.42,"1,579.00","42,614.00",26.99,,,,,,
,,2015 - 2016,241,"2,115.00",8.78,"2,194.00","59,363.00",27.06,,,,,,
,,2016 - 2017,116,"2,394.00",20.64,433,"8,114.00",18.74,,,,,,
,,2017 - 2018,102,"1,868.00",18.31,358,"7,035.00",19.65,,,,,,
,,2018 - 2019,109,"1,426.00",13.08,236,"4,642.00",19.67,,,,,,
,,2019 - 2020,11,245,22.27,149,"2,478.00",16.63,,,,,,
,,2020 - 2021,26,345,13.27,99,"2,304.00",23.27,,,,,,
,,2021 - 2022,61,981,16.08,222,"5,203.00",23.44,,,,,,
,,2022 - 2023,12,128,10.67,96,"2,452.00",25.54,,,,,,
,25. Sangareddy,2016 - 2017,547,"8,256.00",15.09,"1,999.00","1,02,591.00",51.32,,,,,,
,,2017 - 2018,137,"2,224.00",16.23,"1,538.00","72,040.00",46.84,,,,,,
,,2018 - 2019,160,"1,231.00",7.69,"1,347.00","51,675.00",38.36,,,,,,
,,2019 - 2020,40,290,7.25,694,"15,200.00",21.9,,,,,,
,,2020 - 2021,64,849,13.27,631,"16,722.00",26.5,,,,,,
,,2021 - 2022,126,"2,026.00",16.08,"1,213.00","27,582.00",22.74,,,,,,
,,2022 - 2023,20,197,9.85,"1,059.00","24,124.00",22.78,,,,,,
,26. Siddipet,2016 - 2017,27,408,15.11,515,"7,117.00",13.82,,,,,,
,,2017 - 2018,57,"1,044.00",18.32,329,"3,557.00",10.81,,,,,,
,,2018 - 2019,40,523,13.08,306,"3,700.00",12.09,,,,,,
,,2019 - 2020,1,22,22,145,"2,783.00",19.19,,,,,,
,,2020 - 2021,4,53,13.25,66,"1,637.00",24.8,,,,,,
,,2021 - 2022,4,64,16,78,"1,828.00",23.44,,,,,,
,,2022 - 2023,,,,9,230,25.56,,,,,,
,27. Suryapet,2019 - 2020,9,201,22.33,,,,,,,,,
,,2020 - 2021,,,,2,65,32.5,,,,,,
,,2021 - 2022,1,16,16,3,70,23.33,,,,,,
,,2022 - 2023,1,11,11,,,,,,,,,
,28. Vikarabad,2016 - 2017,34,702,20.65,"1,099.00","43,513.00",39.59,,,,,,
,,2017 - 2018,42,769,18.31,"1,754.00","75,959.00",43.31,,,,,,
,,2018 - 2019,49,641,13.08,"1,115.00","33,846.00",30.36,,,,,,
,,2019 - 2020,120,"2,678.00",22.32,"1,047.00","53,156.00",50.77,,,,,,
,,2020 - 2021,116,"1,540.00",13.28,"1,142.00","50,023.00",43.8,,,,,,
,,2021 - 2022,205,"1,779.00",8.68,"1,545.00","32,774.00",21.21,,,,,,
,,2022 - 2023,45,638,14.18,"1,471.00","39,733.00",27.01,,,,,,
,29. Wanaparthy,2016 - 2017,730,"10,901.00",14.93,21,690,32.86,,,,,,
,,2017 - 2018,556,"10,007.00",18,159,"5,782.00",36.36,,,,,,
,,2018 - 2019,609,"8,422.00",13.83,29,845,29.14,,,,,,
,,2019 - 2020,317,"10,048.00",31.7,226,"7,741.00",34.25,,,,,,
,,2020 - 2021,660,"10,324.00",15.64,235,"7,639.00",32.51,,,,,,
,,2021 - 2022,859,"21,283.00",24.78,42,984,23.43,,,,,,
,,2022 - 2023,717,"11,202.00",15.62,22,562,25.55,,,,,,
,30. Warangal,2000 - 2001,5,56,11.2,276,"6,939.00",25.14,,,,,,
,,2001 - 2002,,,,191,"4,990.00",26.13,,,,,,
,,2002 - 2003,,,,213,"5,322.00",24.99,,,,,,
,,2003 - 2004,7,75,10.71,168,"4,656.00",27.71,,,,,,
,,2004 - 2005,6,61,10.17,219,"4,891.00",22.33,,,,,,
,,2005 - 2006,51,659,12.92,306,"6,088.00",19.9,,,,,,
,,2006 - 2007,26,391,15.04,332,"8,250.00",24.85,,,,,,
,,2008 - 2009,46,661,14.37,216,"4,871.00",22.55,,,,,,
,,2009 - 2010,15,261,17.4,450,"10,921.00",24.27,,,,,,
,,2010 - 2011,31,515,16.61,272,"5,216.00",19.18,,,,,,
,,2011 - 2012,,,,257,"7,017.00",27.3,,,,,,
,,2013 - 2014,4,75,18.75,192,"6,401.00",33.34,,,,,,
,,2014 - 2015,,,,173,"4,725.00",27.31,,,,,,
,,2015 - 2016,6,85,14.17,301,"9,074.00",30.15,,,,,,
,,2016 - 2017,4,60,15,138,"4,532.00",32.84,,,,,,
,,2017 - 2018,,,,256,"9,310.00",36.37,,,,,,
,,2018 - 2019,,,,301,"8,774.00",29.15,,,,,,
,,2019 - 2020,4,89,22.25,148,"5,069.00",34.25,,,,,,
,,2020 - 2021,2,27,13.5,139,"4,519.00",32.51,,,,,,
,,2021 - 2022,3,48,16,86,"2,015.00",23.43,,,,,,
,,2022 - 2023,,,,42,"1,073.00",25.55,,,,,,
,31. Warangal urban,2016 - 2017,,,,102,"3,350.00",32.84,,,,,,
,,2017 - 2018,8,147,18.38,212,"7,710.00",36.37,,,,,,
,,2018 - 2019,13,170,13.08,194,"5,655.00",29.15,,,,,,
,,2019 - 2020,,,,126,"4,316.00",34.25,,,,,,
,,2020 - 2021,9,119,13.22,97,"3,153.00",32.51,,,,,,
,,2021 - 2022,16,257,16.06,79,"1,851.00",23.43,,,,,,
,,2022 - 2023,2,21,10.5,24,613,25.54,,,,,,
,32. Yadadri,2016 - 2017,,,,2,66,33,,,,,,
,,2017 - 2018,,,,1,36,36,,,,,,
,,2019 - 2020,,,,3,103,34.33,,,,,,
,,2020 - 2021,,,,4,130,32.5,,,,,,
,,2021 - 2022,,,,47,"1,101.00",23.43,,,,,,
,,2022 - 2023,,,,2,51,25.5,,,,,,
24. Uttar Pradesh,1. Agra,2002 - 2003,,,,38,392,10.32,,,,25,279,11.16
,,2003 - 2004,,,,45,646,14.36,,,,24,237,9.88
,,2004 - 2005,,,,,,,61,702,11.51,,,
,,2005 - 2006,,,,,,,146,"1,873.00",12.83,,,
,,2006 - 2007,,,,21,403,19.19,,,,45,524,11.64
,,2007 - 2008,,,,53,741,13.98,,,,27,444,16.44
,,2008 - 2009,,,,71,832,11.72,,,,,,
,,2009 - 2010,,,,92,"1,580.00",17.17,,,,25,350,14
,,2010 - 2011,,,,58,"1,068.00",18.41,,,,,,
,,2011 - 2012,,,,87,"1,990.00",22.87,,,,65,759,11.68
,,2012 - 2013,,,,72,"1,656.00",23,,,,57,541,9.49
,,2013 - 2014,,,,28,570,20.36,,,,96,"1,164.00",12.13
,,2014 - 2015,,,,97,"1,484.00",15.3,,,,79,"1,276.00",16.15
,,2015 - 2016,,,,104,"1,224.00",11.77,,,,64,933,14.58
,,2016 - 2017,,,,15,209,13.93,,,,67,778,11.61
,,2017 - 2018,,,,35,511,14.6,,,,54,977,18.09
,,2018 - 2019,,,,94,"1,455.00",15.48,,,,67,"1,143.00",17.06
,,2019 - 2020,,,,81,"1,155.00",14.26,,,,49,"1,002.00",20.45
,,2020 - 2021,,,,116,"1,739.00",14.99,,,,170,"2,863.00",16.84
,,2021 - 2022,,,,59,957,16.22,,,,70,"1,122.00",16.03
,,2022 - 2023,,,,125,"1,931.00",15.45,,,,14,232,16.57
,2. Aligarh,2002 - 2003,,,,57,588,10.32,,,,46,514,11.17
,,2003 - 2004,,,,48,689,14.35,,,,77,760,9.87
,,2004 - 2005,,,,,,,97,"1,111.00",11.45,,,
,,2005 - 2006,,,,,,,268,"3,445.00",12.85,,,
,,2006 - 2007,,,,59,"1,132.00",19.19,,,,83,967,11.65
,,2007 - 2008,,,,39,545,13.97,,,,32,526,16.44
,,2008 - 2009,,,,93,"1,090.00",11.72,,,,,,
,,2009 - 2010,,,,49,841,17.16,,,,54,750,13.89
,,2010 - 2011,,,,26,479,18.42,,,,,,
,,2011 - 2012,,,,52,"1,190.00",22.88,,,,82,888,10.83
,,2012 - 2013,,,,31,713,23,,,,32,348,10.88
,,2013 - 2014,,,,31,631,20.35,,,,57,767,13.46
,,2014 - 2015,,,,47,719,15.3,,,,82,"1,240.00",15.12
,,2015 - 2016,,,,115,"1,353.00",11.77,,,,151,"2,050.00",13.58
,,2016 - 2017,,,,44,613,13.93,,,,98,"1,326.00",13.53
,,2017 - 2018,,,,56,818,14.61,,,,47,676,14.38
,,2018 - 2019,,,,143,"2,214.00",15.48,,,,79,930,11.77
,,2019 - 2020,,,,93,"1,326.00",14.26,,,,74,"1,211.00",16.36
,,2020 - 2021,,,,47,705,15,,,,74,"1,215.00",16.42
,,2021 - 2022,,,,54,876,16.22,,,,69,"1,106.00",16.03
,,2022 - 2023,,,,89,"1,375.00",15.45,,,,311,"5,205.00",16.74
,3. Allahabad,2003 - 2004,,,,281,"4,033.00",14.35,,,,72,710,9.86
,,2004 - 2005,,,,,,,301,"3,202.00",10.64,,,
,,2005 - 2006,,,,,,,191,"2,451.00",12.83,,,
,,2006 - 2007,,,,253,"4,853.00",19.18,,,,79,920,11.65
,,2007 - 2008,,,,282,"3,941.00",13.98,,,,120,"1,620.00",13.5
,,2008 - 2009,,,,329,"3,857.00",11.72,,,,,,
,,2009 - 2010,,,,303,"5,671.00",18.72,,,,59,820,13.9
,,2010 - 2011,,,,208,"3,829.00",18.41,,,,,,
,,2011 - 2012,,,,393,"8,990.00",22.88,,,,71,769,10.83
,,2012 - 2013,,,,351,"8,074.00",23,,,,76,827,10.88
,,2013 - 2014,,,,351,"7,139.00",20.34,,,,106,"1,426.00",13.45
,,2014 - 2015,,,,324,"4,957.00",15.3,,,,101,"1,527.00",15.12
,,2015 - 2016,,,,400,"4,706.00",11.77,,,,115,"1,561.00",13.57
,,2016 - 2017,,,,350,"4,875.00",13.93,,,,67,906,13.52
,,2017 - 2018,,,,376,"5,894.00",15.68,,,,102,"1,467.00",14.38
,,2018 - 2019,,,,477,"5,966.00",12.51,,,,89,"1,048.00",11.78
,,2019 - 2020,,,,336,"6,156.00",18.32,,,,188,"3,078.00",16.37
,,2020 - 2021,,,,340,"6,202.00",18.24,,,,111,"1,823.00",16.42
,,2021 - 2022,,,,430,"8,153.00",18.96,,,,130,"2,083.00",16.02
,,2022 - 2023,,,,379,"7,051.00",18.6,,,,87,"1,408.00",16.18
,4. Ambedkar nagar,2002 - 2003,,,,23,237,10.3,,,,86,961,11.17
,,2003 - 2004,,,,21,302,14.38,,,,91,927,10.19
,,2004 - 2005,,,,,,,113,"1,339.00",11.85,,,
,,2005 - 2006,,,,,,,124,"1,600.00",12.9,,,
,,2006 - 2007,,,,23,441,19.17,,,,81,943,11.64
,,2007 - 2008,,,,31,433,13.97,,,,81,"1,551.00",19.15
,,2008 - 2009,,,,52,609,11.71,,,,,,
,,2009 - 2010,,,,45,773,17.18,,,,122,"1,714.00",14.05
,,2010 - 2011,,,,65,"1,197.00",18.42,,,,,,
,,2011 - 2012,,,,58,"1,327.00",22.88,,,,145,904,6.23
,,2012 - 2013,,,,65,"1,495.00",23,,,,136,"1,117.00",8.21
,,2013 - 2014,,,,97,"1,973.00",20.34,,,,156,"1,939.00",12.43
,,2014 - 2015,,,,103,"1,576.00",15.3,,,,122,"1,063.00",8.71
,,2015 - 2016,,,,105,"1,235.00",11.76,,,,126,"1,621.00",12.87
,,2016 - 2017,,,,89,"1,240.00",13.93,,,,162,"2,082.00",12.85
,,2017 - 2018,,,,64,935,14.61,,,,163,"2,062.00",12.65
,,2018 - 2019,,,,83,"1,285.00",15.48,,,,131,950,7.25
,,2019 - 2020,,,,142,"2,025.00",14.26,,,,141,"1,699.00",12.05
,,2020 - 2021,,,,131,"1,964.00",14.99,,,,172,"2,367.00",13.76
,,2021 - 2022,,,,87,"1,411.00",16.22,,,,179,"2,799.00",15.64
,,2022 - 2023,,,,257,"3,969.00",15.44,,,,197,"3,470.00",17.61
,5. Amethi,2011 - 2012,,,,153,"3,500.00",22.88,,,,603,"3,758.00",6.23
,,2012 - 2013,,,,165,"3,796.00",23.01,,,,531,"4,361.00",8.21
,,2013 - 2014,,,,155,"3,153.00",20.34,,,,476,"5,917.00",12.43
,,2014 - 2015,,,,177,"2,708.00",15.3,,,,435,"3,791.00",8.71
,,2015 - 2016,,,,139,"1,636.00",11.77,,,,418,"5,377.00",12.86
,,2016 - 2017,,,,59,822,13.93,,,,477,"6,130.00",12.85
,,2017 - 2018,,,,123,"1,797.00",14.61,,,,462,"5,846.00",12.65
,,2018 - 2019,,,,88,"1,362.00",15.48,,,,448,"3,249.00",7.25
,,2019 - 2020,,,,149,"2,124.00",14.26,,,,452,"5,447.00",12.05
,,2020 - 2021,,,,131,"1,965.00",15,,,,520,"7,157.00",13.76
,,2021 - 2022,,,,129,"2,093.00",16.22,,,,556,"8,693.00",15.63
,,2022 - 2023,,,,643,"9,931.00",15.44,,,,306,"5,812.00",18.99
,6. Amroha,2002 - 2003,,,,9,93,10.33,,,,21,235,11.19
,,2003 - 2004,,,,26,373,14.35,,,,5,49,9.8
,,2004 - 2005,,,,,,,3,35,11.67,,,
,,2005 - 2006,,,,,,,28,359,12.82,,,
,,2006 - 2007,,,,2,38,19,,,,4,47,11.75
,,2007 - 2008,,,,5,70,14,,,,,,
,,2008 - 2009,,,,3,35,11.67,,,,,,
,,2009 - 2010,,,,59,"1,013.00",17.17,,,,1,14,14
,,2010 - 2011,,,,4,74,18.5,,,,,,
,,2011 - 2012,,,,8,183,22.88,,,,,,
,,2012 - 2013,,,,10,230,23,,,,,,
,,2013 - 2014,,,,20,407,20.35,,,,,,
,,2014 - 2015,,,,22,337,15.32,,,,1,15,15
,,2015 - 2016,,,,8,94,11.75,,,,,,
,,2016 - 2017,,,,22,306,13.91,,,,,,
,,2017 - 2018,,,,20,292,14.6,,,,,,
,,2018 - 2019,,,,482,"7,461.00",15.48,,,,,,
,,2019 - 2020,,,,17,242,14.24,,,,,,
,,2020 - 2021,,,,18,270,15,,,,3,49,16.33
,,2022 - 2023,,,,22,340,15.45,,,,,,
,7. Auraiya,2002 - 2003,,,,33,341,10.33,,,,50,559,11.18
,,2003 - 2004,,,,24,345,14.38,,,,85,866,10.19
,,2004 - 2005,,,,,,,90,"1,062.00",11.8,,,
,,2005 - 2006,,,,,,,151,"1,944.00",12.87,,,
,,2006 - 2007,,,,19,364,19.16,,,,54,629,11.65
,,2007 - 2008,,,,46,643,13.98,,,,113,"1,282.00",11.35
,,2008 - 2009,,,,50,586,11.72,,,,,,
,,2009 - 2010,,,,37,635,17.16,,,,49,723,14.76
,,2010 - 2011,,,,23,423,18.39,,,,,,
,,2011 - 2012,,,,40,915,22.88,,,,63,714,11.33
,,2012 - 2013,,,,27,621,23,,,,51,581,11.39
,,2013 - 2014,,,,100,"2,034.00",20.34,,,,40,512,12.8
,,2014 - 2015,,,,25,382,15.28,,,,10,143,14.3
,,2015 - 2016,,,,7,82,11.71,,,,105,"1,757.00",16.73
,,2016 - 2017,,,,26,362,13.92,,,,30,453,15.1
,,2017 - 2018,,,,35,526,15.03,,,,15,169,11.27
,,2018 - 2019,,,,34,526,15.47,,,,32,338,10.56
,,2019 - 2020,,,,15,167,11.13,,,,35,525,15
,,2020 - 2021,,,,23,293,12.74,,,,24,345,14.38
,,2021 - 2022,,,,24,389,16.21,,,,42,663,15.79
,,2022 - 2023,,,,142,"2,288.00",16.11,,,,74,"1,150.00",15.54
,8. Azamgarh,2002 - 2003,,,,67,691,10.31,,,,583,"6,518.00",11.18
,,2003 - 2004,,,,90,"1,292.00",14.36,,,,651,"6,629.00",10.18
,,2004 - 2005,,,,,,,615,"7,429.00",12.08,,,
,,2005 - 2006,,,,,,,807,"10,422.00",12.91,,,
,,2006 - 2007,,,,82,"1,573.00",19.18,,,,625,"7,278.00",11.64
,,2007 - 2008,,,,114,"1,593.00",13.97,,,,625,"5,214.00",8.34
,,2008 - 2009,,,,99,"1,160.00",11.72,,,,,,
,,2009 - 2010,,,,119,"2,044.00",17.18,,,,689,"5,291.00",7.68
,,2010 - 2011,,,,86,"1,583.00",18.41,,,,,,
,,2011 - 2012,,,,82,"1,876.00",22.88,,,,546,"4,417.00",8.09
,,2012 - 2013,,,,66,"1,518.00",23,,,,587,"5,568.00",9.49
,,2013 - 2014,,,,79,"1,607.00",20.34,,,,614,"8,262.00",13.46
,,2014 - 2015,,,,51,780,15.29,,,,554,"10,615.00",19.16
,,2015 - 2016,,,,43,506,11.77,,,,617,"11,401.00",18.48
,,2016 - 2017,,,,121,"1,685.00",13.93,,,,623,"7,951.00",12.76
,,2017 - 2018,,,,146,"2,133.00",14.61,,,,622,"8,947.00",14.38
,,2018 - 2019,,,,74,455,6.15,,,,618,"5,520.00",8.93
,,2019 - 2020,,,,64,913,14.27,,,,605,"9,122.00",15.08
,,2020 - 2021,,,,64,959,14.98,,,,640,"9,409.00",14.7
,,2021 - 2022,,,,60,973,16.22,,,,723,"11,151.00",15.42
,,2022 - 2023,,,,705,"10,889.00",15.45,,,,278,"4,248.00",15.28
,9. Baghpat,2002 - 2003,,,,52,536,10.31,,,,57,637,11.18
,,2003 - 2004,,,,75,"1,076.00",14.35,,,,42,415,9.88
,,2004 - 2005,,,,,,,57,657,11.53,,,
,,2005 - 2006,,,,,,,124,"1,590.00",12.82,,,
,,2006 - 2007,,,,19,364,19.16,,,,36,419,11.64
,,2007 - 2008,,,,84,"1,173.00",13.96,,,,52,702,13.5
,,2008 - 2009,,,,56,657,11.73,,,,,,
,,2009 - 2010,,,,15,258,17.2,,,,106,"1,473.00",13.9
,,2010 - 2011,,,,24,442,18.42,,,,,,
,,2011 - 2012,,,,49,"1,121.00",22.88,,,,71,769,10.83
,,2012 - 2013,,,,35,805,23,,,,40,435,10.88
,,2013 - 2014,,,,27,549,20.33,,,,36,459,12.75
,,2014 - 2015,,,,15,229,15.27,,,,67,"1,013.00",15.12
,,2015 - 2016,,,,70,823,11.76,,,,24,326,13.58
,,2016 - 2017,,,,14,195,13.93,,,,29,392,13.52
,,2017 - 2018,,,,131,"1,914.00",14.61,,,,50,719,14.38
,,2018 - 2019,,,,204,"3,158.00",15.48,,,,43,506,11.77
,,2019 - 2020,,,,7,100,14.29,,,,,,
,,2020 - 2021,,,,10,150,15,,,,36,591,16.42
,,2021 - 2022,,,,14,227,16.21,,,,79,"1,266.00",16.03
,,2022 - 2023,,,,65,"1,004.00",15.45,,,,18,301,16.72
,10. Bahraich,2002 - 2003,,,,63,650,10.32,,,,281,"3,142.00",11.18
,,2003 - 2004,,,,66,947,14.35,,,,338,"3,336.00",9.87
,,2004 - 2005,,,,,,,477,"5,752.00",12.06,,,
,,2005 - 2006,,,,,,,540,"6,975.00",12.92,,,
,,2006 - 2007,,,,65,"1,247.00",19.18,,,,349,"4,064.00",11.64
,,2007 - 2008,,,,47,657,13.98,,,,707,"13,538.00",19.15
,,2008 - 2009,,,,43,504,11.72,,,,,,
,,2009 - 2010,,,,66,"1,134.00",17.18,,,,760,"11,682.00",15.37
,,2010 - 2011,,,,94,"1,730.00",18.4,,,,,,
,,2011 - 2012,,,,68,"1,555.00",22.87,,,,682,"6,249.00",9.16
,,2012 - 2013,,,,56,"1,288.00",23,,,,690,"8,069.00",11.69
,,2013 - 2014,,,,129,"2,624.00",20.34,,,,579,"7,791.00",13.46
,,2014 - 2015,,,,34,520,15.29,,,,548,"10,390.00",18.96
,,2015 - 2016,,,,25,294,11.76,,,,277,"4,157.00",15.01
,,2016 - 2017,,,,44,613,13.93,,,,559,"9,780.00",17.5
,,2017 - 2018,,,,65,949,14.6,,,,722,"11,875.00",16.45
,,2018 - 2019,,,,81,"1,254.00",15.48,,,,914,"9,764.00",10.68
,,2019 - 2020,,,,87,"1,241.00",14.26,,,,972,"21,499.00",22.12
,,2020 - 2021,,,,66,989,14.98,,,,579,"13,791.00",23.82
,,2021 - 2022,,,,63,"1,022.00",16.22,,,,726,"11,289.00",15.55
,,2022 - 2023,,,,715,"11,043.00",15.44,,,,178,"3,943.00",22.15
,11. Ballia,2002 - 2003,,,,464,"4,789.00",10.32,,,,298,"3,332.00",11.18
,,2003 - 2004,,,,358,"5,138.00",14.35,,,,191,"1,945.00",10.18
,,2004 - 2005,,,,,,,596,"6,601.00",11.08,,,
,,2005 - 2006,,,,,,,657,"8,428.00",12.83,,,
,,2006 - 2007,,,,368,"7,059.00",19.18,,,,292,"3,400.00",11.64
,,2007 - 2008,,,,405,"5,659.00",13.97,,,,693,"5,782.00",8.34
,,2008 - 2009,,,,406,"4,759.00",11.72,,,,,,
,,2009 - 2010,,,,353,"6,062.00",17.17,,,,327,"2,511.00",7.68
,,2010 - 2011,,,,447,"8,228.00",18.41,,,,,,
,,2011 - 2012,,,,507,"11,597.00",22.87,,,,328,"2,653.00",8.09
,,2012 - 2013,,,,825,"18,978.00",23,,,,320,"3,036.00",9.49
,,2013 - 2014,,,,602,"12,244.00",20.34,,,,306,"4,118.00",13.46
,,2014 - 2015,,,,231,"3,534.00",15.3,,,,281,"5,183.00",18.44
,,2015 - 2016,,,,275,"3,235.00",11.76,,,,298,"1,983.00",6.65
,,2016 - 2017,,,,508,"7,075.00",13.93,,,,340,"2,220.00",6.53
,,2017 - 2018,,,,843,"12,314.00",14.61,,,,,,
,,2018 - 2019,,,,796,"4,897.00",6.15,,,,391,"2,611.00",6.68
,,2019 - 2020,,,,543,"7,743.00",14.26,,,,315,"4,064.00",12.9
,,2020 - 2021,,,,533,"7,992.00",14.99,,,,357,"2,635.00",7.38
,,2021 - 2022,,,,540,"8,761.00",16.22,,,,415,"6,401.00",15.42
,,2022 - 2023,,,,923,"14,256.00",15.45,,,,273,"4,171.00",15.28
,12. Balrampur,2002 - 2003,,,,34,351,10.32,,,,63,704,11.17
,,2003 - 2004,,,,28,402,14.36,,,,79,779,9.86
,,2004 - 2005,,,,,,,154,"1,810.00",11.75,,,
,,2005 - 2006,,,,,,,113,"1,457.00",12.89,,,
,,2006 - 2007,,,,43,825,19.19,,,,114,"1,328.00",11.65
,,2007 - 2008,,,,42,587,13.98,,,,105,"2,011.00",19.15
,,2008 - 2009,,,,5,58,11.6,,,,,,
,,2009 - 2010,,,,43,739,17.19,,,,246,"3,781.00",15.37
,,2010 - 2011,,,,37,681,18.41,,,,,,
,,2011 - 2012,,,,56,"1,281.00",22.88,,,,126,"1,155.00",9.17
,,2012 - 2013,,,,53,"1,219.00",23,,,,132,"1,544.00",11.7
,,2013 - 2014,,,,87,"1,769.00",20.33,,,,90,"1,211.00",13.46
,,2014 - 2015,,,,64,979,15.3,,,,126,"2,389.00",18.96
,,2015 - 2016,,,,,,,,,,109,"1,636.00",15.01
,,2016 - 2017,,,,52,724,13.92,,,,122,"2,134.00",17.49
,,2017 - 2018,,,,58,847,14.6,,,,134,"2,204.00",16.45
,,2018 - 2019,,,,104,"1,610.00",15.48,,,,138,"1,474.00",10.68
,,2019 - 2020,,,,39,556,14.26,,,,8,177,22.13
,,2020 - 2021,,,,58,870,15,,,,129,"3,072.00",23.81
,,2021 - 2022,,,,54,876,16.22,,,,163,"2,534.00",15.55
,,2022 - 2023,,,,181,"2,796.00",15.45,,,,27,598,22.15
,13. Banda,2002 - 2003,,,,186,"1,920.00",10.32,,,,21,235,11.19
,,2003 - 2004,,,,199,"2,856.00",14.35,,,,13,128,9.85
,,2004 - 2005,,,,,,,197,"2,047.00",10.39,,,
,,2005 - 2006,,,,,,,264,"3,372.00",12.77,,,
,,2006 - 2007,,,,109,"2,091.00",19.18,,,,44,512,11.64
,,2007 - 2008,,,,245,"3,423.00",13.97,,,,10,135,13.5
,,2008 - 2009,,,,155,"1,817.00",11.72,,,,,,
,,2009 - 2010,,,,297,"5,101.00",17.18,,,,4,55,13.75
,,2010 - 2011,,,,252,"4,639.00",18.41,,,,,,
,,2011 - 2012,,,,295,"6,748.00",22.87,,,,16,173,10.81
,,2012 - 2013,,,,185,"4,256.00",23.01,,,,16,174,10.88
,,2013 - 2014,,,,202,"4,108.00",20.34,,,,2,27,13.5
,,2014 - 2015,,,,191,"2,922.00",15.3,,,,21,318,15.14
,,2015 - 2016,,,,302,"3,553.00",11.76,,,,142,"1,928.00",13.58
,,2016 - 2017,,,,390,"5,432.00",13.93,,,,6,81,13.5
,,2017 - 2018,,,,309,"4,514.00",14.61,,,,13,187,14.38
,,2018 - 2019,,,,230,"3,560.00",15.48,,,,7,82,11.71
,,2019 - 2020,,,,226,"3,223.00",14.26,,,,1,16,16
,,2020 - 2021,,,,301,"4,513.00",14.99,,,,9,148,16.44
,,2021 - 2022,,,,225,"3,650.00",16.22,,,,11,176,16
,,2022 - 2023,,,,209,"3,228.00",15.44,,,,,,
,14. Barabanki,2002 - 2003,,,,96,991,10.32,,,,300,"3,354.00",11.18
,,2003 - 2004,,,,115,"1,651.00",14.36,,,,334,"3,401.00",10.18
,,2004 - 2005,,,,,,,411,"4,892.00",11.9,,,
,,2005 - 2006,,,,,,,"1,146.00","14,702.00",12.83,,,
,,2006 - 2007,,,,73,"1,400.00",19.18,,,,296,"3,447.00",11.65
,,2007 - 2008,,,,124,"1,732.00",13.97,,,,296,"5,668.00",19.15
,,2008 - 2009,,,,84,985,11.73,,,,,,
,,2009 - 2010,,,,56,962,17.18,,,,347,"4,876.00",14.05
,,2010 - 2011,,,,72,"1,325.00",18.4,,,,,,
,,2011 - 2012,,,,86,"1,967.00",22.87,,,,224,"1,396.00",6.23
,,2012 - 2013,,,,106,"2,438.00",23,,,,328,"2,694.00",8.21
,,2013 - 2014,,,,68,"1,383.00",20.34,,,,326,"4,311.00",13.22
,,2014 - 2015,,,,43,658,15.3,,,,131,"1,155.00",8.82
,,2015 - 2016,,,,101,"1,188.00",11.76,,,,147,"1,137.00",7.73
