State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,,,,,,,460,"5,060.00",11,,,,,,
,,2009 - 2010,,,,,,,448,"4,928.00",11,,,,,,
,,2010 - 2011,,,,,,,450,"4,050.00",9,,,,,,
,,2011 - 2012,,,,,,,477,"4,521.00",9.48,,,,,,
,,2012 - 2013,,,,,,,455,"4,550.00",10,,,,,,
,,2013 - 2014,,,,,,,455,"4,550.00",10,,,,,,
,,2014 - 2015,,,,,,,464,"4,629.00",9.98,,,,,,
,,2015 - 2016,,,,,,,504,"4,569.00",9.07,,,,,,
,,2016 - 2017,,,,,,,510,"4,289.00",8.41,,,,,,
,,2017 - 2018,,,,,,,510,"4,289.00",8.41,,,,,,
,,2018 - 2019,,,,,,,514,"4,321.00",8.41,,,,,,
,,2019 - 2020,,,,,,,515,"4,329.00",8.41,,,,,,
,,2020 - 2021,,,,,,,517,"4,336.00",8.39,,,,,,
,,2021 - 2022,,,,,,,532,"4,631.00",8.7,,,,,,
,,2022 - 2023,,,,,,,542,"4,721.00",8.71,,,,,,
,21. Tirap,2000 - 2001,,,,,,,52,280,5.38,,,,,,
,,2001 - 2002,,,,,,,50,300,6,,,,,,
,,2002 - 2003,,,,,,,52,307,5.9,,,,,,
,,2003 - 2004,,,,,,,55,325,5.91,,,,,,
,,2004 - 2005,,,,,,,350,301,0.86,,,,,,
,,2005 - 2006,,,,,,,55,327,5.95,,,,,,
,,2006 - 2007,,,,,,,55,326,5.93,,,,,,
,,2007 - 2008,,,,,,,55,208,3.78,,,,,,
,,2008 - 2009,,,,,,,42,214,5.1,,,,,,
,,2009 - 2010,,,,,,,30,122,4.07,,,,,,
,,2010 - 2011,,,,,,,35,144,4.11,,,,,,
,,2011 - 2012,,,,,,,38,161,4.24,,,,,,
,,2012 - 2013,,,,,,,40,100,2.5,,,,,,
,,2013 - 2014,,,,,,,22,59,2.68,,,,,,
,,2014 - 2015,,,,,,,43,165,3.84,,,,,,
,,2015 - 2016,,,,,,,169,"1,255.00",7.43,,,,,,
,,2016 - 2017,,,,,,,169,"1,255.00",7.43,,,,,,
,,2017 - 2018,,,,,,,174,"1,307.00",7.51,,,,,,
,,2018 - 2019,,,,,,,178,"1,339.00",7.52,,,,,,
,,2019 - 2020,,,,,,,179,"1,347.00",7.53,,,,,,
,,2020 - 2021,,,,,,,179,"1,353.00",7.56,,,,,,
,,2021 - 2022,,,,,,,182,"1,365.00",7.5,,,,,,
,,2022 - 2023,,,,,,,187,"1,403.00",7.5,,,,,,
,22. Upper siang,2000 - 2001,,,,,,,5,40,8,,,,,,
,,2001 - 2002,,,,,,,50,250,5,,,,,,
,,2002 - 2003,,,,,,,55,260,4.73,,,,,,
,,2003 - 2004,,,,,,,55,260,4.73,,,,,,
,,2004 - 2005,,,,,,,26,144,5.54,,,,,,
,,2005 - 2006,,,,,,,75,375,5,,,,,,
,,2006 - 2007,,,,,,,80,400,5,,,,,,
,,2007 - 2008,,,,,,,85,425,5,,,,,,
,,2008 - 2009,,,,,,,90,550,6.11,,,,,,
,,2009 - 2010,,,,,,,120,960,8,,,,,,
,,2010 - 2011,,,,,,,120,960,8,,,,,,
,,2011 - 2012,,,,,,,127,"1,072.00",8.44,,,,,,
,,2012 - 2013,,,,,,,125,"1,063.00",8.5,,,,,,
,,2013 - 2014,,,,,,,140,"1,204.00",8.6,,,,,,
,,2014 - 2015,,,,,,,149,"1,283.00",8.61,,,,,,
,,2015 - 2016,,,,,,,189,"1,459.00",7.72,,,,,,
,,2016 - 2017,,,,,,,189,"1,459.00",7.72,,,,,,
,,2017 - 2018,,,,,,,194,"1,511.00",7.79,,,,,,
,,2018 - 2019,,,,,,,198,"1,543.00",7.79,,,,,,
,,2019 - 2020,,,,,,,199,"1,551.00",7.79,,,,,,
,,2020 - 2021,,,,,,,199,"1,557.00",7.82,,,,,,
,,2021 - 2022,,,,,,,205,"1,599.00",7.8,,,,,,
,,2022 - 2023,,,,,,,213,"1,662.00",7.8,,,,,,
,23. Upper subansiri,2000 - 2001,,,,,,,185,"1,578.00",8.53,,,,,,
,,2001 - 2002,,,,,,,800,"6,000.00",7.5,,,,,,
,,2002 - 2003,,,,,,,180,"1,503.00",8.35,,,,,,
,,2003 - 2004,,,,,,,185,"1,508.00",8.15,,,,,,
,,2004 - 2005,,,,,,,259,"1,583.00",6.11,,,,,,
,,2005 - 2006,,,,,,,190,"1,240.00",6.53,,,,,,
,,2006 - 2007,,,,,,,187,"2,240.00",11.98,,,,,,
,,2007 - 2008,,,,,,,101,"1,420.00",14.06,,,,,,
,,2008 - 2009,,,,,,,189,"1,283.00",6.79,,,,,,
,,2009 - 2010,,,,,,,215,"1,460.00",6.79,,,,,,
,,2010 - 2011,,,,,,,198,"1,749.00",8.83,,,,,,
,,2011 - 2012,,,,,,,210,"1,952.00",9.3,,,,,,
,,2012 - 2013,,,,,,,220,"2,081.00",9.46,,,,,,
,,2013 - 2014,,,,,,,225,"2,346.00",10.43,,,,,,
,,2014 - 2015,,,,,,,234,"2,425.00",10.36,,,,,,
,,2015 - 2016,,,,,,,274,"2,495.00",9.11,,,,,,
,,2016 - 2017,,,,,,,274,"2,215.00",8.08,,,,,,
,,2017 - 2018,,,,,,,279,"2,267.00",8.13,,,,,,
,,2018 - 2019,,,,,,,239,"1,935.00",8.1,,,,,,
,,2019 - 2020,,,,,,,240,"1,944.00",8.1,,,,,,
,,2020 - 2021,,,,,,,240,"1,951.00",8.13,,,,,,
,,2021 - 2022,,,,,,,247,"2,000.00",8.1,,,,,,
,,2022 - 2023,,,,,,,251,"2,033.00",8.1,,,,,,
,24. West kameng,2000 - 2001,,,,,,,390,"3,510.00",9,,,,,,
,,2001 - 2002,,,,,,,390,"3,510.00",9,,,,,,
,,2002 - 2003,,,,,,,390,"3,510.00",9,,,,,,
,,2003 - 2004,,,,,,,395,"3,555.00",9,,,,,,
,,2004 - 2005,,,,,,,372,"2,902.00",7.8,,,,,,
,,2005 - 2006,,,,,,,341,"2,899.00",8.5,,,,,,
,,2006 - 2007,,,,,,,259,"2,021.00",7.8,,,,,,
,,2007 - 2008,,,,,,,343,"1,544.00",4.5,,,,,,
,,2008 - 2009,,,,,,,390,"1,958.00",5.02,,,,,,
,,2009 - 2010,,,,,,,402,"3,256.00",8.1,,,,,,
,,2010 - 2011,,,,,,,403,"3,260.00",8.09,,,,,,
,,2011 - 2012,,,,,,,428,"3,639.00",8.5,,,,,,
,,2012 - 2013,,,,,,,403,"3,260.00",8.09,,,,,,
,,2013 - 2014,,,,,,,404,"3,265.00",8.08,,,,,,
,,2014 - 2015,,,,,,,420,"3,344.00",7.96,,,,,,
,,2015 - 2016,,,,,,,460,"3,398.00",7.39,,,,,,
,,2016 - 2017,,,,,,,460,"3,398.00",7.39,,,,,,
,,2017 - 2018,,,,,,,465,"3,450.00",7.42,,,,,,
,,2018 - 2019,,,,,,,470,"3,482.00",7.41,,,,,,
,,2019 - 2020,,,,,,,471,"3,490.00",7.41,,,,,,
,,2020 - 2021,,,,,,,473,"3,497.00",7.39,,,,,,
,,2021 - 2022,,,,,,,483,"3,711.00",7.68,,,,,,
,,2022 - 2023,,,,,,,492,"3,781.00",7.68,,,,,,
,25. West siang,2000 - 2001,,,,,,,240,"1,335.00",5.56,,,,,,
,,2001 - 2002,,,,,,,240,"1,375.00",5.73,,,,,,
,,2002 - 2003,,,,,,,254,"1,546.00",6.09,,,,,,
,,2003 - 2004,,,,,,,254,"1,546.00",6.09,,,,,,
,,2004 - 2005,,,,,,,350,"1,750.00",5,,,,,,
,,2005 - 2006,,,,,,,259,"1,543.00",5.96,,,,,,
,,2006 - 2007,,,,,,,294,"1,801.00",6.13,,,,,,
,,2007 - 2008,,,,,,,310,"2,015.00",6.5,,,,,,
,,2008 - 2009,,,,,,,332,"2,100.00",6.33,,,,,,
,,2009 - 2010,,,,,,,345,"2,195.00",6.36,,,,,,
,,2010 - 2011,,,,,,,363,"2,317.00",6.38,,,,,,
,,2011 - 2012,,,,,,,385,"2,589.00",6.72,,,,,,
,,2012 - 2013,,,,,,,395,"2,621.00",6.64,,,,,,
,,2013 - 2014,,,,,,,405,"2,695.00",6.65,,,,,,
,,2014 - 2015,,,,,,,414,"2,774.00",6.7,,,,,,
,,2015 - 2016,,,,,,,350,"2,410.00",6.89,,,,,,
,,2016 - 2017,,,,,,,350,"2,410.00",6.89,,,,,,
,,2017 - 2018,,,,,,,355,"2,462.00",6.94,,,,,,
,,2018 - 2019,,,,,,,150,"1,042.00",6.95,,,,,,
,,2019 - 2020,,,,,,,79,551,6.97,,,,,,
,,2020 - 2021,,,,,,,79,557,7.05,,,,,,
,,2021 - 2022,,,,,,,80,634,7.93,,,,,,
,,2022 - 2023,,,,,,,90,714,7.93,,,,,,
3. Assam,1. Baksa,2005 - 2006,,,,,,,"3,501.00","17,666.00",5.05,,,,,,
,,2006 - 2007,,,,,,,"4,763.00","30,926.00",6.49,,,,,,
,,2007 - 2008,,,,,,,"4,535.00","34,763.00",7.67,,,,,,
,,2008 - 2009,,,,,,,"5,049.00","31,571.00",6.25,,,,,,
,,2009 - 2010,,,,,,,"4,782.00","28,022.00",5.86,,,,,,
,,2010 - 2011,,,,,,,"3,750.00","25,359.00",6.76,,,,,,
,,2011 - 2012,,,,,,,"3,237.00","18,544.00",5.73,,,,,,
,,2012 - 2013,,,,,,,"4,200.00","32,759.00",7.8,,,,,,
,,2013 - 2014,,,,,,,"4,205.00","19,430.00",4.62,,,,,,
,,2014 - 2015,,,,,,,"4,250.00","23,506.00",5.53,,,,,,
,,2015 - 2016,,,,,,,"4,270.00","23,238.00",5.44,,,,,,
,,2016 - 2017,,,,,,,"5,480.00","28,515.00",5.2,,,,,,
,,2017 - 2018,,,,,,,"4,919.00","26,556.00",5.4,,,,,,
,,2018 - 2019,,,,,,,"5,108.00","32,728.00",6.41,,,,,,
,,2019 - 2020,,,,,,,"5,120.00","30,374.00",5.93,,,,,,
,,2020 - 2021,,,,,,,"5,150.00","37,243.00",7.23,,,,,,
,,2021 - 2022,,,,,,,"5,232.00","35,216.00",6.73,,,,,,
,,2022 - 2023,,,,,,,"5,171.00","52,236.00",10.1,,,,,,
,2. Barpeta,2000 - 2001,,,,,,,"10,675.00","1,13,940.00",10.67,,,,,,
,,2001 - 2002,,,,,,,"10,805.00","94,244.00",8.72,,,,,,
,,2002 - 2003,,,,,,,"8,750.00","73,993.00",8.46,,,,,,
,,2003 - 2004,,,,,,,"9,520.00","83,065.00",8.73,,,,,,
,,2004 - 2005,,,,,,,"8,640.00","76,249.00",8.83,,,,,,
,,2005 - 2006,,,,,,,"5,192.00","21,463.00",4.13,,,,,,
,,2006 - 2007,,,,,,,"7,256.00","37,566.00",5.18,,,,,,
,,2007 - 2008,,,,,,,"6,715.00","63,012.00",9.38,,,,,,
,,2008 - 2009,,,,,,,"6,689.00","54,260.00",8.11,,,,,,
,,2009 - 2010,,,,,,,"6,127.00","40,179.00",6.56,,,,,,
,,2010 - 2011,,,,,,,"7,381.00","67,994.00",9.21,,,,,,
,,2011 - 2012,,,,,,,"8,049.00","63,643.00",7.91,,,,,,
,,2012 - 2013,,,,,,,"7,885.00","84,080.00",10.66,,,,,,
,,2013 - 2014,,,,,,,"8,117.00","65,353.00",8.05,,,,,,
,,2014 - 2015,,,,,,,"8,358.00","80,924.00",9.68,,,,,,
,,2015 - 2016,,,,,,,"7,466.00","61,782.00",8.28,,,,,,
,,2016 - 2017,,,,,,,"8,255.00","78,483.00",9.51,,,,,,
,,2017 - 2018,,,,,,,"8,238.00","82,956.00",10.07,,,,,,
,,2018 - 2019,,,,,,,"8,054.00","79,593.00",9.88,,,,,,
,,2019 - 2020,,,,,,,"8,294.00","71,810.00",8.66,,,,,,
,,2020 - 2021,,,,,,,"8,004.00","72,078.00",9.01,,,,,,
,,2021 - 2022,,,,,,,"7,798.00","62,538.00",8.02,,,,,,
,,2022 - 2023,,,,,,,"7,923.00","98,260.00",12.4,,,,,,
,3. Biswanath,2020 - 2021,,,,,,,"3,157.00","23,330.00",7.39,,,,,,
,,2021 - 2022,,,,,,,"3,196.00","18,809.00",5.89,,,,,,
,,2022 - 2023,,,,,,,"3,247.00","28,983.00",8.93,,,,,,
,4. Bongaigaon,2000 - 2001,,,,,,,"2,985.00","31,317.00",10.49,,,,,,
,,2001 - 2002,,,,,,,"3,093.00","35,886.00",11.6,,,,,,
,,2002 - 2003,,,,,,,"3,337.00","41,324.00",12.38,,,,,,
,,2003 - 2004,,,,,,,"3,322.00","21,423.00",6.45,,,,,,
,,2004 - 2005,,,,,,,"3,440.00","33,405.00",9.71,,,,,,
,,2005 - 2006,,,,,,,"2,052.00","13,244.00",6.45,,,,,,
,,2006 - 2007,,,,,,,"1,813.00","15,067.00",8.31,,,,,,
,,2007 - 2008,,,,,,,"2,215.00","16,888.00",7.62,,,,,,
,,2008 - 2009,,,,,,,"2,302.00","14,971.00",6.5,,,,,,
,,2009 - 2010,,,,,,,"2,351.00","19,690.00",8.38,,,,,,
,,2010 - 2011,,,,,,,"2,414.00","23,453.00",9.72,,,,,,
,,2011 - 2012,,,,,,,"2,705.00","22,665.00",8.38,,,,,,
,,2012 - 2013,,,,,,,"2,821.00","20,780.00",7.37,,,,,,
,,2013 - 2014,,,,,,,"2,609.00","18,830.00",7.22,,,,,,
,,2014 - 2015,,,,,,,"2,602.00","21,320.00",8.19,,,,,,
,,2015 - 2016,,,,,,,"2,726.00","18,123.00",6.65,,,,,,
,,2016 - 2017,,,,,,,"2,991.00","24,232.00",8.1,,,,,,
,,2017 - 2018,,,,,,,"2,998.00","24,181.00",8.07,,,,,,
,,2018 - 2019,,,,,,,"2,924.00","22,350.00",7.64,,,,,,
,,2019 - 2020,,,,,,,"2,868.00","23,490.00",8.19,,,,,,
,,2020 - 2021,,,,,,,"2,860.00","18,805.00",6.58,,,,,,
,,2021 - 2022,,,,,,,"3,056.00","19,108.00",6.25,,,,,,
,,2022 - 2023,,,,,,,"3,055.00","30,146.00",9.87,,,,,,
,5. Cachar,2000 - 2001,,,,,,,"1,654.00","7,962.00",4.81,,,,,,
,,2001 - 2002,,,,,,,"1,680.00","6,868.00",4.09,,,,,,
,,2002 - 2003,,,,,,,"1,696.00","8,558.00",5.05,,,,,,
,,2003 - 2004,,,,,,,"1,715.00","7,714.00",4.5,,,,,,
,,2004 - 2005,,,,,,,"1,888.00","10,408.00",5.51,,,,,,
,,2005 - 2006,,,,,,,"1,893.00","9,261.00",4.89,,,,,,
,,2006 - 2007,,,,,,,"1,912.00","8,359.00",4.37,,,,,,
,,2007 - 2008,,,,,,,"1,986.00","7,675.00",3.86,,,,,,
,,2008 - 2009,,,,,,,"2,063.00","12,080.00",5.86,,,,,,
,,2009 - 2010,,,,,,,"2,155.00","15,290.00",7.1,,,,,,
,,2010 - 2011,,,,,,,"2,052.00","15,340.00",7.48,,,,,,
,,2011 - 2012,,,,,,,"2,063.00","8,381.00",4.06,,,,,,
,,2012 - 2013,,,,,,,"2,009.00","9,072.00",4.52,,,,,,
,,2013 - 2014,,,,,,,"2,046.00","8,094.00",3.96,,,,,,
,,2014 - 2015,,,,,,,"2,102.00","14,825.00",7.05,,,,,,
,,2015 - 2016,,,,,,,"2,148.00","9,683.00",4.51,,,,,,
,,2016 - 2017,,,,,,,"2,358.00","13,560.00",5.75,,,,,,
,,2017 - 2018,,,,,,,"2,434.00","12,891.00",5.3,,,,,,
,,2018 - 2019,,,,,,,"2,375.00","14,093.00",5.93,,,,,,
,,2019 - 2020,,,,,,,"2,537.00","14,540.00",5.73,,,,,,
,,2020 - 2021,,,,,,,"2,755.00","20,981.00",7.62,,,,,,
,,2021 - 2022,,,,,,,"2,593.00","13,711.00",5.29,,,,,,
,,2022 - 2023,,,,,,,"2,277.00","14,474.00",6.36,,,,,,
,6. Charaideo,2020 - 2021,,,,,,,123,904,7.35,,,,,,
,,2021 - 2022,,,,,,,140,"1,456.00",10.4,,,,,,
,,2022 - 2023,,,,,,,197,"1,860.00",9.44,,,,,,
,7. Chirang,2005 - 2006,,,,,,,"1,789.00","11,299.00",6.32,,,,,,
,,2006 - 2007,,,,,,,"2,214.00","14,376.00",6.49,,,,,,
,,2007 - 2008,,,,,,,"1,804.00","16,412.00",9.1,,,,,,
,,2008 - 2009,,,,,,,"1,950.00","15,520.00",7.96,,,,,,
,,2009 - 2010,,,,,,,"2,080.00","18,110.00",8.71,,,,,,
,,2010 - 2011,,,,,,,"2,287.00","17,200.00",7.52,,,,,,
,,2011 - 2012,,,,,,,"2,384.00","18,118.00",7.6,,,,,,
,,2012 - 2013,,,,,,,"2,854.00","21,810.00",7.64,,,,,,
,,2013 - 2014,,,,,,,"2,801.00","22,907.00",8.18,,,,,,
,,2014 - 2015,,,,,,,"3,536.00","32,583.00",9.21,,,,,,
,,2015 - 2016,,,,,,,"3,290.00","24,282.00",7.38,,,,,,
,,2016 - 2017,,,,,,,"3,279.00","26,148.00",7.97,,,,,,
,,2017 - 2018,,,,,,,"3,333.00","23,653.00",7.1,,,,,,
,,2018 - 2019,,,,,,,"3,300.00","24,667.00",7.47,,,,,,
,,2019 - 2020,,,,,,,"3,615.00","31,216.00",8.64,,,,,,
,,2020 - 2021,,,,,,,"3,730.00","27,016.00",7.24,,,,,,
,,2021 - 2022,,,,,,,"3,970.00","38,487.00",9.69,,,,,,
,,2022 - 2023,,,,,,,"3,544.00","45,490.00",12.84,,,,,,
,8. Darrang,2000 - 2001,,,,,,,"8,100.00","56,533.00",6.98,,,,,,
,,2001 - 2002,,,,,,,"8,769.00","60,969.00",6.95,,,,,,
,,2002 - 2003,,,,,,,"8,500.00","52,357.00",6.16,,,,,,
,,2003 - 2004,,,,,,,"9,586.00","59,982.00",6.26,,,,,,
,,2004 - 2005,,,,,,,"9,781.00","96,457.00",9.86,,,,,,
,,2005 - 2006,,,,,,,"1,710.00","9,441.00",5.52,,,,,,
,,2006 - 2007,,,,,,,"2,740.00","24,408.00",8.91,,,,,,
,,2007 - 2008,,,,,,,"3,150.00","14,090.00",4.47,,,,,,
,,2008 - 2009,,,,,,,"5,257.00","27,741.00",5.28,,,,,,
,,2009 - 2010,,,,,,,"5,094.00","37,981.00",7.46,,,,,,
,,2010 - 2011,,,,,,,"4,989.00","37,961.00",7.61,,,,,,
,,2011 - 2012,,,,,,,"4,586.00","40,533.00",8.84,,,,,,
,,2012 - 2013,,,,,,,"5,280.00","34,040.00",6.45,,,,,,
,,2013 - 2014,,,,,,,"5,245.00","42,977.00",8.19,,,,,,
,,2014 - 2015,,,,,,,"5,331.00","48,437.00",9.09,,,,,,
,,2015 - 2016,,,,,,,"5,269.00","25,781.00",4.89,,,,,,
,,2016 - 2017,,,,,,,"5,195.00","46,360.00",8.92,,,,,,
,,2017 - 2018,,,,,,,"5,265.00","41,446.00",7.87,,,,,,
,,2018 - 2019,,,,,,,"5,131.00","50,479.00",9.84,,,,,,
,,2019 - 2020,,,,,,,"5,070.00","50,021.00",9.87,,,,,,
,,2020 - 2021,,,,,,,"5,088.00","35,362.00",6.95,,,,,,
,,2021 - 2022,,,,,,,"5,102.00","40,995.00",8.04,,,,,,
,,2022 - 2023,,,,,,,"5,384.00","48,989.00",9.1,,,,,,
,9. Dhemaji,2000 - 2001,,,,,,,"2,670.00","12,867.00",4.82,,,,,,
,,2001 - 2002,,,,,,,"2,740.00","11,257.00",4.11,,,,,,
,,2002 - 2003,,,,,,,"2,985.00","13,030.00",4.37,,,,,,
,,2003 - 2004,,,,,,,"4,355.00","20,651.00",4.74,,,,,,
,,2004 - 2005,,,,,,,"4,210.00","17,713.00",4.21,,,,,,
,,2005 - 2006,,,,,,,"3,883.00","16,295.00",4.2,,,,,,
,,2006 - 2007,,,,,,,"4,340.00","21,018.00",4.84,,,,,,
,,2007 - 2008,,,,,,,"4,400.00","23,857.00",5.42,,,,,,
,,2008 - 2009,,,,,,,"4,510.00","16,810.00",3.73,,,,,,
,,2009 - 2010,,,,,,,"4,360.00","24,972.00",5.73,,,,,,
,,2010 - 2011,,,,,,,"6,374.00","42,146.00",6.61,,,,,,
,,2011 - 2012,,,,,,,"5,820.00","24,816.00",4.26,,,,,,
,,2012 - 2013,,,,,,,"5,430.00","27,502.00",5.06,,,,,,
,,2013 - 2014,,,,,,,"5,895.00","24,037.00",4.08,,,,,,
,,2014 - 2015,,,,,,,"7,585.00","32,482.00",4.28,,,,,,
,,2015 - 2016,,,,,,,"6,070.00","43,137.00",7.11,,,,,,
,,2016 - 2017,,,,,,,"5,510.00","25,785.00",4.68,,,,,,
,,2017 - 2018,,,,,,,"5,009.00","24,009.00",4.79,,,,,,
,,2018 - 2019,,,,,,,"4,953.00","21,502.00",4.34,,,,,,
,,2019 - 2020,,,,,,,"4,938.00","27,068.00",5.48,,,,,,
,,2020 - 2021,,,,,,,"4,935.00","34,431.00",6.98,,,,,,
,,2021 - 2022,,,,,,,"4,925.00","20,912.00",4.25,,,,,,
,,2022 - 2023,,,,,,,"4,915.00","25,112.00",5.11,,,,,,
,10. Dhubri,2000 - 2001,,,,,,,"5,920.00","58,100.00",9.81,,,,,,
,,2001 - 2002,,,,,,,"5,685.00","54,617.00",9.61,,,,,,
,,2002 - 2003,,,,,,,"5,410.00","48,386.00",8.94,,,,,,
,,2003 - 2004,,,,,,,"5,140.00","45,250.00",8.8,,,,,,
,,2004 - 2005,,,,,,,"4,866.00","44,198.00",9.08,,,,,,
,,2005 - 2006,,,,,,,"3,786.00","11,329.00",2.99,,,,,,
,,2006 - 2007,,,,,,,"4,058.00","42,324.00",10.43,,,,,,
,,2007 - 2008,,,,,,,"3,862.00","30,755.00",7.96,,,,,,
,,2008 - 2009,,,,,,,"4,179.00","38,972.00",9.33,,,,,,
,,2009 - 2010,,,,,,,"4,133.00","29,199.00",7.06,,,,,,
,,2010 - 2011,,,,,,,"3,865.00","32,299.00",8.36,,,,,,
,,2011 - 2012,,,,,,,"3,945.00","33,514.00",8.5,,,,,,
,,2012 - 2013,,,,,,,"3,670.00","31,082.00",8.47,,,,,,
,,2013 - 2014,,,,,,,"3,799.00","39,333.00",10.35,,,,,,
,,2014 - 2015,,,,,,,"3,805.00","47,139.00",12.39,,,,,,
,,2015 - 2016,,,,,,,"4,192.00","49,381.00",11.78,,,,,,
,,2016 - 2017,,,,,,,"3,852.00","43,872.00",11.39,,,,,,
,,2017 - 2018,,,,,,,"3,950.00","41,736.00",10.57,,,,,,
,,2018 - 2019,,,,,,,"4,038.00","36,199.00",8.96,,,,,,
,,2019 - 2020,,,,,,,"4,053.00","37,114.00",9.16,,,,,,
,,2020 - 2021,,,,,,,"2,365.00","27,768.00",11.74,,,,,,
,,2021 - 2022,,,,,,,"2,365.00","23,860.00",10.09,,,,,,
,,2022 - 2023,,,,,,,"3,494.00","47,630.00",13.63,,,,,,
,11. Dibrugarh,2000 - 2001,,,,,,,"2,470.00","13,195.00",5.34,,,,,,
,,2001 - 2002,,,,,,,"2,567.00","19,211.00",7.48,,,,,,
,,2002 - 2003,,,,,,,"2,570.00","17,309.00",6.74,,,,,,
,,2003 - 2004,,,,,,,"2,500.00","13,055.00",5.22,,,,,,
,,2004 - 2005,,,,,,,"2,500.00","15,383.00",6.15,,,,,,
,,2005 - 2006,,,,,,,680,"4,119.00",6.06,,,,,,
,,2006 - 2007,,,,,,,588,"4,263.00",7.25,,,,,,
,,2007 - 2008,,,,,,,618,"2,615.00",4.23,,,,,,
,,2008 - 2009,,,,,,,609,"4,010.00",6.58,,,,,,
,,2009 - 2010,,,,,,,719,"5,222.00",7.26,,,,,,
,,2010 - 2011,,,,,,,917,"7,093.00",7.74,,,,,,
,,2011 - 2012,,,,,,,"1,107.00","7,725.00",6.98,,,,,,
,,2012 - 2013,,,,,,,"1,150.00","8,539.00",7.43,,,,,,
,,2013 - 2014,,,,,,,"1,217.00","8,699.00",7.15,,,,,,
,,2014 - 2015,,,,,,,"1,273.00","9,546.00",7.5,,,,,,
,,2015 - 2016,,,,,,,"1,159.00","7,748.00",6.69,,,,,,
,,2016 - 2017,,,,,,,"1,232.00","9,003.00",7.31,,,,,,
,,2017 - 2018,,,,,,,"1,190.00","8,341.00",7.01,,,,,,
,,2018 - 2019,,,,,,,"1,163.00","8,717.00",7.5,,,,,,
,,2019 - 2020,,,,,,,"1,080.00","7,797.00",7.22,,,,,,
,,2020 - 2021,,,,,,,"1,081.00","7,949.00",7.35,,,,,,
,,2021 - 2022,,,,,,,"1,098.00","7,931.00",7.22,,,,,,
,,2022 - 2023,,,,,,,"1,081.00","10,541.00",9.75,,,,,,
,12. Dima hasao,2000 - 2001,,,,,,,210,"1,733.00",8.25,,,,,,
,,2001 - 2002,,,,,,,230,"1,783.00",7.75,,,,,,
,,2002 - 2003,,,,,,,250,"1,954.00",7.82,,,,,,
,,2003 - 2004,,,,,,,260,"1,813.00",6.97,,,,,,
,,2004 - 2005,,,,,,,255,"2,055.00",8.06,,,,,,
,,2005 - 2006,,,,,,,250,"1,270.00",5.08,,,,,,
,,2006 - 2007,,,,,,,260,"1,688.00",6.49,,,,,,
,,2007 - 2008,,,,,,,262,"1,815.00",6.93,,,,,,
,,2008 - 2009,,,,,,,259,"1,706.00",6.59,,,,,,
,,2009 - 2010,,,,,,,"4,270.00","31,013.00",7.26,,,,,,
,,2010 - 2011,,,,,,,"4,414.00","34,142.00",7.73,,,,,,
,,2011 - 2012,,,,,,,"4,300.00","30,005.00",6.98,,,,,,
,,2012 - 2013,,,,,,,"1,797.00","13,343.00",7.43,,,,,,
,,2013 - 2014,,,,,,,"1,929.00","13,788.00",7.15,,,,,,
,,2014 - 2015,,,,,,,"1,870.00","14,023.00",7.5,,,,,,
,,2015 - 2016,,,,,,,"1,916.00","12,808.00",6.68,,,,,,
,,2016 - 2017,,,,,,,"1,905.00","13,922.00",7.31,,,,,,
,,2017 - 2018,,,,,,,"1,916.00","13,429.00",7.01,,,,,,
,,2018 - 2019,,,,,,,"2,138.00","16,024.00",7.49,,,,,,
,,2019 - 2020,,,,,,,"2,138.00","15,434.00",7.22,,,,,,
,,2020 - 2021,,,,,,,"2,050.00","15,074.00",7.35,,,,,,
,,2021 - 2022,,,,,,,"1,017.00","7,346.00",7.22,,,,,,
,,2022 - 2023,,,,,,,"1,017.00","9,917.00",9.75,,,,,,
,13. Goalpara,2000 - 2001,,,,,,,950,"6,980.00",7.35,,,,,,
,,2001 - 2002,,,,,,,950,"6,453.00",6.79,,,,,,
,,2002 - 2003,,,,,,,870,"7,011.00",8.06,,,,,,
,,2003 - 2004,,,,,,,875,"7,610.00",8.7,,,,,,
,,2004 - 2005,,,,,,,875,"5,267.00",6.02,,,,,,
,,2005 - 2006,,,,,,,880,"5,424.00",6.16,,,,,,
,,2006 - 2007,,,,,,,900,"6,137.00",6.82,,,,,,
,,2007 - 2008,,,,,,,930,"7,017.00",7.55,,,,,,
,,2008 - 2009,,,,,,,970,"8,159.00",8.41,,,,,,
,,2009 - 2010,,,,,,,"1,250.00","9,083.00",7.27,,,,,,
,,2010 - 2011,,,,,,,"1,265.00","17,609.00",13.92,,,,,,
,,2011 - 2012,,,,,,,"1,265.00","10,422.00",8.24,,,,,,
,,2012 - 2013,,,,,,,"1,320.00","11,625.00",8.81,,,,,,
,,2013 - 2014,,,,,,,"1,604.00","16,141.00",10.06,,,,,,
