State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,"5,606.00","5,219.00",0.93,,,,,,,,,
,,2021 - 2022,"5,570.00","5,069.00",0.91,,,,,,,,,
,,2022 - 2023,"6,407.00","5,343.00",0.83,,,,,,,,,
,57. Moradabad,2000 - 2001,"2,951.00","2,812.00",0.95,,,,,,,,,
,,2001 - 2002,"4,026.00","3,997.00",0.99,,,,,,,,,
,,2002 - 2003,"3,201.00","3,172.00",0.99,,,,,,,,,
,,2003 - 2004,"3,567.00","2,996.00",0.84,,,,,,,,,
,,2006 - 2007,"4,852.00","3,421.00",0.71,,,,,,,,,
,,2007 - 2008,"1,160.00",673,0.58,,,,,,,,,
,,2008 - 2009,"1,590.00","1,242.00",0.78,,,,,,,,,
,,2009 - 2010,"1,115.00",896,0.8,,,,,,,,,
,,2010 - 2011,"1,131.00",793,0.7,,,,,,,,,
,,2011 - 2012,967,"1,177.00",1.22,,,,,,,,,
,,2012 - 2013,524,473,0.9,,,,,,,,,
,,2013 - 2014,577,911,1.58,,,,,,,,,
,,2014 - 2015,750,364,0.49,,,,,,,,,
,,2015 - 2016,"1,150.00",855,0.74,,,,,,,,,
,,2016 - 2017,546,437,0.8,,,,,,,,,
,,2017 - 2018,584,388,0.66,,,,,,,,,
,,2018 - 2019,481,385,0.8,,,,,,,,,
,,2019 - 2020,527,580,1.1,,,,,,,,,
,,2020 - 2021,688,715,1.04,,,,,,,,,
,,2021 - 2022,700,531,0.76,,,,,,,,,
,,2022 - 2023,805,487,0.6,,,,,,,,,
,58. Muzaffarnagar,2000 - 2001,"1,034.00",840,0.81,,,,,,,,,
,,2001 - 2002,968,506,0.52,,,,,,,,,
,,2002 - 2003,782,340,0.43,,,,,,,,,
,,2003 - 2004,675,296,0.44,,,,,,,,,
,,2006 - 2007,569,240,0.42,,,,,,,,,
,,2007 - 2008,523,175,0.33,,,,,,,,,
,,2008 - 2009,530,193,0.36,,,,,,,,,
,,2009 - 2010,491,382,0.78,,,,,,,,,
,,2010 - 2011,529,268,0.51,,,,,,,,,
,,2011 - 2012,337,156,0.46,,,,,,,,,
,,2012 - 2013,247,237,0.96,,,,,,,,,
,,2013 - 2014,267,213,0.8,,,,,,,,,
,,2014 - 2015,269,214,0.8,,,,,,,,,
,,2015 - 2016,311,337,1.08,,,,,,,,,
,,2016 - 2017,285,197,0.69,,,,,,,,,
,,2017 - 2018,235,242,1.03,,,,,,,,,
,,2018 - 2019,185,137,0.74,,,,,,,,,
,,2019 - 2020,296,145,0.49,,,,,,,,,
,,2020 - 2021,194,420,2.16,,,,,,,,,
,,2021 - 2022,401,275,0.69,,,,,,,,,
,,2022 - 2023,463,581,1.25,,,,,,,,,
,59. Pilibhit,2000 - 2001,"6,163.00","5,445.00",0.88,,,,,,,,,
,,2001 - 2002,"5,505.00","3,496.00",0.64,,,,,,,,,
,,2002 - 2003,"5,548.00","3,573.00",0.64,,,,,,,,,
,,2003 - 2004,"5,027.00","3,368.00",0.67,,,,,,,,,
,,2006 - 2007,"2,886.00","1,509.00",0.52,,,,,,,,,
,,2007 - 2008,"3,267.00","3,318.00",1.02,,,,,,,,,
,,2008 - 2009,"2,558.00","2,328.00",0.91,,,,,,,,,
,,2009 - 2010,"3,449.00","2,912.00",0.84,,,,,,,,,
,,2010 - 2011,"3,403.00","2,893.00",0.85,,,,,,,,,
,,2011 - 2012,"2,363.00","2,292.00",0.97,,,,,,,,,
,,2012 - 2013,"2,092.00","2,110.00",1.01,,,,,,,,,
,,2013 - 2014,"1,701.00","1,650.00",0.97,,,,,,,,,
,,2014 - 2015,"2,281.00","2,060.00",0.9,,,,,,,,,
,,2015 - 2016,"1,854.00","1,590.00",0.86,,,,,,,,,
,,2016 - 2017,"2,358.00","2,806.00",1.19,,,,,,,,,
,,2017 - 2018,"1,549.00","1,732.00",1.12,,,,,,,,,
,,2018 - 2019,"1,722.00","1,751.00",1.02,,,,,,,,,
,,2019 - 2020,288,280,0.97,,,,,,,,,
,,2020 - 2021,"1,962.00","1,997.00",1.02,,,,,,,,,
,,2021 - 2022,"2,159.00","2,388.00",1.11,,,,,,,,,
,,2022 - 2023,"2,485.00","2,289.00",0.92,,,,,,,,,
,60. Pratapgarh,2000 - 2001,18,8,0.44,,,,,,,,,
,,2001 - 2002,22,15,0.68,,,,,,,,,
,,2002 - 2003,16,16,1,,,,,,,,,
,,2003 - 2004,17,17,1,,,,,,,,,
,,2006 - 2007,16,11,0.69,,,,,,,,,
,,2007 - 2008,19,16,0.84,,,,,,,,,
,,2008 - 2009,88,70,0.8,,,,,,,,,
,,2009 - 2010,122,93,0.76,,,,,,,,,
,,2010 - 2011,96,28,0.29,,,,,,,,,
,,2011 - 2012,125,103,0.82,,,,,,,,,
,,2012 - 2013,64,55,0.86,,,,,,,,,
,,2013 - 2014,33,18,0.55,,,,,,,,,
,,2014 - 2015,15,2,0.13,,,,,,,,,
,,2015 - 2016,154,56,0.36,,,,,,,,,
,,2016 - 2017,242,205,0.85,,,,,,,,,
,,2017 - 2018,44,39,0.89,,,,,,,,,
,,2018 - 2019,43,51,1.19,,,,,,,,,
,,2019 - 2020,45,34,0.76,,,,,,,,,
,,2020 - 2021,45,58,1.29,,,,,,,,,
,,2021 - 2022,51,64,1.25,,,,,,,,,
,,2022 - 2023,58,69,1.19,,,,,,,,,
,61. Rae bareli,2000 - 2001,134,144,1.07,,,,,,,,,
,,2001 - 2002,163,113,0.69,,,,,,,,,
,,2002 - 2003,182,146,0.8,,,,,,,,,
,,2003 - 2004,269,216,0.8,,,,,,,,,
,,2006 - 2007,297,217,0.73,,,,,,,,,
,,2007 - 2008,211,173,0.82,,,,,,,,,
,,2008 - 2009,265,220,0.83,,,,,,,,,
,,2009 - 2010,337,276,0.82,,,,,,,,,
,,2010 - 2011,101,88,0.87,,,,,,,,,
,,2011 - 2012,91,76,0.84,,,,,,,,,
,,2012 - 2013,61,50,0.82,,,,,,,,,
,,2013 - 2014,38,27,0.71,,,,,,,,,
,,2014 - 2015,60,34,0.57,,,,,,,,,
,,2015 - 2016,50,39,0.78,,,,,,,,,
,,2016 - 2017,50,36,0.72,,,,,,,,,
,,2017 - 2018,73,68,0.93,,,,,,,,,
,,2018 - 2019,28,25,0.89,,,,,,,,,
,,2019 - 2020,103,84,0.82,,,,,,,,,
,,2020 - 2021,42,38,0.9,,,,,,,,,
,,2021 - 2022,263,232,0.88,,,,,,,,,
,,2022 - 2023,302,306,1.01,,,,,,,,,
,62. Rampur,2000 - 2001,"3,022.00","2,880.00",0.95,,,,,,,,,
,,2001 - 2002,"4,072.00","5,371.00",1.32,,,,,,,,,
,,2002 - 2003,"3,021.00","4,015.00",1.33,,,,,,,,,
,,2003 - 2004,"2,256.00","2,418.00",1.07,,,,,,,,,
,,2006 - 2007,"2,618.00","1,846.00",0.71,,,,,,,,,
,,2007 - 2008,"1,227.00",712,0.58,,,,,,,,,
,,2008 - 2009,"1,432.00","1,118.00",0.78,,,,,,,,,
,,2009 - 2010,"1,247.00","1,001.00",0.8,,,,,,,,,
,,2010 - 2011,"1,207.00",846,0.7,,,,,,,,,
,,2011 - 2012,"2,120.00","2,580.00",1.22,,,,,,,,,
,,2012 - 2013,878,792,0.9,,,,,,,,,
,,2013 - 2014,"1,714.00","2,705.00",1.58,,,,,,,,,
,,2014 - 2015,522,253,0.48,,,,,,,,,
,,2015 - 2016,754,771,1.02,,,,,,,,,
,,2016 - 2017,"1,489.00","1,750.00",1.18,,,,,,,,,
,,2017 - 2018,"1,025.00",691,0.67,,,,,,,,,
,,2018 - 2019,"1,725.00","1,173.00",0.68,,,,,,,,,
,,2019 - 2020,"1,079.00","1,005.00",0.93,,,,,,,,,
,,2020 - 2021,"1,324.00","1,076.00",0.81,,,,,,,,,
,,2021 - 2022,"1,145.00",868,0.76,,,,,,,,,
,,2022 - 2023,"1,345.00",814,0.61,,,,,,,,,
,63. Saharanpur,2000 - 2001,"4,137.00","3,359.00",0.81,,,,,,,,,
,,2001 - 2002,"3,175.00","1,661.00",0.52,,,,,,,,,
,,2002 - 2003,"3,029.00","1,318.00",0.44,,,,,,,,,
,,2003 - 2004,"3,066.00","1,343.00",0.44,,,,,,,,,
,,2006 - 2007,"2,877.00","1,214.00",0.42,,,,,,,,,
,,2007 - 2008,"2,830.00",942,0.33,,,,,,,,,
,,2008 - 2009,"3,516.00","1,280.00",0.36,,,,,,,,,
,,2009 - 2010,"2,201.00","1,712.00",0.78,,,,,,,,,
,,2010 - 2011,"2,339.00","1,186.00",0.51,,,,,,,,,
,,2011 - 2012,"1,924.00",891,0.46,,,,,,,,,
,,2012 - 2013,"1,589.00","1,522.00",0.96,,,,,,,,,
,,2013 - 2014,"2,167.00","1,729.00",0.8,,,,,,,,,
,,2014 - 2015,"1,674.00","1,331.00",0.8,,,,,,,,,
,,2015 - 2016,"1,883.00","2,043.00",1.08,,,,,,,,,
,,2016 - 2017,"2,271.00","1,567.00",0.69,,,,,,,,,
,,2017 - 2018,"1,993.00","2,051.00",1.03,,,,,,,,,
,,2018 - 2019,"1,603.00","1,185.00",0.74,,,,,,,,,
,,2019 - 2020,629,307,0.49,,,,,,,,,
,,2020 - 2021,"1,933.00","4,181.00",2.16,,,,,,,,,
,,2021 - 2022,"2,223.00","1,527.00",0.69,,,,,,,,,
,,2022 - 2023,"2,560.00","3,210.00",1.25,,,,,,,,,
,64. Sambhal,2012 - 2013,811,732,0.9,,,,,,,,,
,,2013 - 2014,940,"1,483.00",1.58,,,,,,,,,
,,2014 - 2015,970,470,0.48,,,,,,,,,
,,2015 - 2016,"1,069.00",794,0.74,,,,,,,,,
,,2016 - 2017,832,667,0.8,,,,,,,,,
,,2017 - 2018,974,647,0.66,,,,,,,,,
,,2018 - 2019,999,800,0.8,,,,,,,,,
,,2019 - 2020,959,"1,055.00",1.1,,,,,,,,,
,,2020 - 2021,"1,002.00","1,041.00",1.04,,,,,,,,,
,,2021 - 2022,"1,199.00",909,0.76,,,,,,,,,
,,2022 - 2023,"1,378.00",834,0.61,,,,,,,,,
,65. Sant kabeer nagar,2000 - 2001,"1,467.00","1,383.00",0.94,,,,,,,,,
,,2001 - 2002,"1,349.00","1,078.00",0.8,,,,,,,,,
,,2002 - 2003,"1,327.00","1,013.00",0.76,,,,,,,,,
,,2003 - 2004,"1,313.00",966,0.74,,,,,,,,,
,,2006 - 2007,"1,351.00",952,0.7,,,,,,,,,
,,2007 - 2008,"1,255.00",910,0.73,,,,,,,,,
,,2008 - 2009,"1,217.00","1,075.00",0.88,,,,,,,,,
,,2009 - 2010,"1,284.00","1,031.00",0.8,,,,,,,,,
,,2010 - 2011,"1,225.00",859,0.7,,,,,,,,,
,,2011 - 2012,"1,121.00",987,0.88,,,,,,,,,
,,2012 - 2013,"1,095.00",974,0.89,,,,,,,,,
,,2013 - 2014,"1,139.00",787,0.69,,,,,,,,,
,,2014 - 2015,"1,365.00",733,0.54,,,,,,,,,
,,2015 - 2016,864,613,0.71,,,,,,,,,
,,2016 - 2017,"1,172.00","1,130.00",0.96,,,,,,,,,
,,2017 - 2018,"1,225.00","1,261.00",1.03,,,,,,,,,
,,2018 - 2019,"1,129.00","1,158.00",1.03,,,,,,,,,
,,2019 - 2020,"1,099.00","1,075.00",0.98,,,,,,,,,
,,2020 - 2021,"1,169.00","1,185.00",1.01,,,,,,,,,
,,2021 - 2022,"1,335.00","1,260.00",0.94,,,,,,,,,
,,2022 - 2023,686,652,0.95,,,,,,,,,
,66. Sant ravidas nagar,2000 - 2001,13,10,0.77,,,,,,,,,
,,2001 - 2002,5,11,2.2,,,,,,,,,
,,2002 - 2003,6,9,1.5,,,,,,,,,
,,2003 - 2004,6,7,1.17,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,5,3,0.6,,,,,,,,,
,,2011 - 2012,4,3,0.75,,,,,,,,,
,,2013 - 2014,5,3,0.6,,,,,,,,,
,,2015 - 2016,9,14,1.56,,,,,,,,,
,,2016 - 2017,5,6,1.2,,,,,,,,,
,,2022 - 2023,27,26,0.96,,,,,,,,,
,67. Shahjahanpur,2000 - 2001,"9,477.00","8,373.00",0.88,,,,,,,,,
,,2001 - 2002,"10,280.00","8,769.00",0.85,,,,,,,,,
,,2002 - 2003,"9,555.00","7,988.00",0.84,,,,,,,,,
,,2003 - 2004,"7,847.00","6,725.00",0.86,,,,,,,,,
,,2006 - 2007,"8,187.00","7,745.00",0.95,,,,,,,,,
,,2007 - 2008,"6,497.00","6,458.00",0.99,,,,,,,,,
,,2008 - 2009,"26,393.00","22,540.00",0.85,,,,,,,,,
,,2009 - 2010,"22,962.00","19,242.00",0.84,,,,,,,,,
,,2010 - 2011,"22,547.00","16,843.00",0.75,,,,,,,,,
,,2011 - 2012,"22,340.00","18,676.00",0.84,,,,,,,,,
,,2012 - 2013,"30,344.00","29,403.00",0.97,,,,,,,,,
,,2013 - 2014,"18,705.00","15,843.00",0.85,,,,,,,,,
,,2014 - 2015,"21,772.00","20,509.00",0.94,,,,,,,,,
,,2015 - 2016,"6,203.00","4,758.00",0.77,,,,,,,,,
,,2016 - 2017,"23,760.00","26,706.00",1.12,,,,,,,,,
,,2017 - 2018,"19,543.00","19,504.00",1,,,,,,,,,
,,2018 - 2019,"20,140.00","29,284.00",1.45,,,,,,,,,
,,2019 - 2020,"21,123.00","21,905.00",1.04,,,,,,,,,
,,2020 - 2021,"22,972.00","27,383.00",1.19,,,,,,,,,
,,2021 - 2022,"24,355.00","31,540.00",1.3,,,,,,,,,
,,2022 - 2023,"27,997.00","31,273.00",1.12,,,,,,,,,
,68. Shamli,2012 - 2013,81,77,0.95,,,,,,,,,
,,2013 - 2014,62,50,0.81,,,,,,,,,
,,2014 - 2015,65,51,0.78,,,,,,,,,
,,2015 - 2016,29,32,1.1,,,,,,,,,
,,2016 - 2017,89,61,0.69,,,,,,,,,
,,2017 - 2018,38,39,1.03,,,,,,,,,
,,2018 - 2019,61,45,0.74,,,,,,,,,
,,2019 - 2020,86,42,0.49,,,,,,,,,
,,2020 - 2021,86,186,2.16,,,,,,,,,
,,2021 - 2022,95,65,0.68,,,,,,,,,
,,2022 - 2023,109,137,1.26,,,,,,,,,
,69. Shravasti,2000 - 2001,"26,556.00","18,536.00",0.7,,,,,,,,,
,,2001 - 2002,"26,361.00","17,056.00",0.65,,,,,,,,,
,,2002 - 2003,"23,512.00","20,220.00",0.86,,,,,,,,,
,,2003 - 2004,"23,422.00","19,628.00",0.84,,,,,,,,,
,,2006 - 2007,"22,809.00","12,408.00",0.54,,,,,,,,,
,,2007 - 2008,"21,784.00","12,330.00",0.57,,,,,,,,,
,,2008 - 2009,"21,656.00","14,856.00",0.69,,,,,,,,,
,,2009 - 2010,"20,658.00","15,927.00",0.77,,,,,,,,,
,,2010 - 2011,"20,782.00","14,859.00",0.71,,,,,,,,,
,,2011 - 2012,"20,798.00","13,685.00",0.66,,,,,,,,,
,,2012 - 2013,"17,108.00","12,591.00",0.74,,,,,,,,,
,,2013 - 2014,"19,977.00","18,019.00",0.9,,,,,,,,,
,,2014 - 2015,"19,467.00","10,999.00",0.57,,,,,,,,,
,,2015 - 2016,"16,805.00","11,881.00",0.71,,,,,,,,,
,,2016 - 2017,"14,410.00","10,952.00",0.76,,,,,,,,,
,,2017 - 2018,"17,589.00","13,878.00",0.79,,,,,,,,,
,,2018 - 2019,"17,716.00","14,137.00",0.8,,,,,,,,,
,,2019 - 2020,"21,084.00","13,873.00",0.66,,,,,,,,,
,,2020 - 2021,"20,454.00","13,602.00",0.67,,,,,,,,,
,,2021 - 2022,"22,499.00","15,074.00",0.67,,,,,,,,,
,,2022 - 2023,"25,875.00","16,482.00",0.64,,,,,,,,,
,70. Siddharth nagar,2000 - 2001,"3,945.00","3,720.00",0.94,,,,,,,,,
,,2001 - 2002,"5,079.00","4,058.00",0.8,,,,,,,,,
,,2002 - 2003,"6,557.00","5,003.00",0.76,,,,,,,,,
,,2003 - 2004,"4,785.00","3,661.00",0.77,,,,,,,,,
,,2006 - 2007,"4,726.00","3,332.00",0.71,,,,,,,,,
,,2007 - 2008,"3,741.00","2,712.00",0.72,,,,,,,,,
,,2008 - 2009,"4,662.00","4,116.00",0.88,,,,,,,,,
,,2009 - 2010,"3,518.00","2,825.00",0.8,,,,,,,,,
,,2010 - 2011,"3,108.00","2,179.00",0.7,,,,,,,,,
,,2011 - 2012,"3,698.00","3,258.00",0.88,,,,,,,,,
,,2012 - 2013,"3,049.00","2,714.00",0.89,,,,,,,,,
,,2013 - 2014,"3,318.00","2,293.00",0.69,,,,,,,,,
,,2014 - 2015,"3,070.00","1,648.00",0.54,,,,,,,,,
,,2015 - 2016,"3,873.00","2,750.00",0.71,,,,,,,,,
,,2016 - 2017,"3,448.00","3,324.00",0.96,,,,,,,,,
,,2017 - 2018,"4,120.00","4,239.00",1.03,,,,,,,,,
,,2018 - 2019,"2,967.00","3,044.00",1.03,,,,,,,,,
,,2019 - 2020,"3,367.00","3,293.00",0.98,,,,,,,,,
,,2020 - 2021,"3,899.00","3,954.00",1.01,,,,,,,,,
,,2021 - 2022,"3,808.00","3,595.00",0.94,,,,,,,,,
,,2022 - 2023,"4,378.00","4,159.00",0.95,,,,,,,,,
,71. Sitapur,2000 - 2001,"25,062.00","17,995.00",0.72,,,,,,,,,
,,2001 - 2002,"28,842.00","20,161.00",0.7,,,,,,,,,
,,2002 - 2003,"26,349.00","20,552.00",0.78,,,,,,,,,
,,2003 - 2004,"31,766.00","25,413.00",0.8,,,,,,,,,
,,2006 - 2007,"39,459.00","27,108.00",0.69,,,,,,,,,
,,2007 - 2008,"20,022.00","13,675.00",0.68,,,,,,,,,
,,2008 - 2009,"22,503.00","17,102.00",0.76,,,,,,,,,
,,2009 - 2010,"22,924.00","17,445.00",0.76,,,,,,,,,
,,2010 - 2011,"25,657.00","20,782.00",0.81,,,,,,,,,
,,2011 - 2012,"20,228.00","16,081.00",0.79,,,,,,,,,
,,2012 - 2013,"19,285.00","15,004.00",0.78,,,,,,,,,
,,2013 - 2014,"18,223.00","10,879.00",0.6,,,,,,,,,
,,2014 - 2015,"15,046.00","8,260.00",0.55,,,,,,,,,
,,2015 - 2016,"16,795.00","10,984.00",0.65,,,,,,,,,
,,2016 - 2017,"18,806.00","14,029.00",0.75,,,,,,,,,
,,2017 - 2018,"16,727.00","11,943.00",0.71,,,,,,,,,
,,2018 - 2019,"18,646.00","13,891.00",0.74,,,,,,,,,
,,2019 - 2020,"13,866.00","10,108.00",0.73,,,,,,,,,
,,2020 - 2021,"18,485.00","15,121.00",0.82,,,,,,,,,
,,2021 - 2022,"21,826.00","16,260.00",0.74,,,,,,,,,
,,2022 - 2023,"25,091.00","24,313.00",0.97,,,,,,,,,
,72. Sonbhadra,2000 - 2001,"8,808.00","6,808.00",0.77,,,,,,,,,
,,2001 - 2002,"10,898.00","7,204.00",0.66,,,,,,,,,
,,2002 - 2003,"11,202.00","7,349.00",0.66,,,,,,,,,
,,2003 - 2004,"11,420.00","8,748.00",0.77,,,,,,,,,
,,2006 - 2007,"9,161.00","5,323.00",0.58,,,,,,,,,
,,2007 - 2008,"5,955.00","4,532.00",0.76,,,,,,,,,
,,2008 - 2009,"10,026.00","6,587.00",0.66,,,,,,,,,
,,2009 - 2010,"8,059.00","6,641.00",0.82,,,,,,,,,
,,2010 - 2011,"11,638.00","6,215.00",0.53,,,,,,,,,
,,2011 - 2012,"14,120.00","11,705.00",0.83,,,,,,,,,
,,2012 - 2013,"9,468.00","7,991.00",0.84,,,,,,,,,
,,2013 - 2014,"9,788.00","6,969.00",0.71,,,,,,,,,
,,2014 - 2015,"8,739.00","5,095.00",0.58,,,,,,,,,
,,2015 - 2016,"9,649.00","5,394.00",0.56,,,,,,,,,
,,2016 - 2017,"8,664.00","7,312.00",0.84,,,,,,,,,
,,2017 - 2018,"10,128.00","8,639.00",0.85,,,,,,,,,
,,2018 - 2019,"10,238.00","7,443.00",0.73,,,,,,,,,
,,2019 - 2020,"8,879.00","6,482.00",0.73,,,,,,,,,
,,2020 - 2021,"10,063.00","7,648.00",0.76,,,,,,,,,
,,2021 - 2022,"10,896.00","9,283.00",0.85,,,,,,,,,
,,2022 - 2023,"12,530.00","13,207.00",1.05,,,,,,,,,
,73. Sultanpur,2000 - 2001,"4,035.00","3,570.00",0.88,,,,,,,,,
,,2001 - 2002,"4,673.00","5,271.00",1.13,,,,,,,,,
,,2002 - 2003,"5,312.00","5,013.00",0.94,,,,,,,,,
,,2003 - 2004,"5,504.00","4,557.00",0.83,,,,,,,,,
,,2006 - 2007,"5,829.00","4,989.00",0.86,,,,,,,,,
,,2007 - 2008,"6,152.00","7,007.00",1.14,,,,,,,,,
,,2008 - 2009,"6,194.00","5,996.00",0.97,,,,,,,,,
,,2009 - 2010,"5,582.00","5,158.00",0.92,,,,,,,,,
,,2010 - 2011,"4,124.00","3,592.00",0.87,,,,,,,,,
,,2011 - 2012,"5,022.00","5,343.00",1.06,,,,,,,,,
,,2012 - 2013,"5,014.00","3,249.00",0.65,,,,,,,,,
,,2013 - 2014,"6,574.00","2,380.00",0.36,,,,,,,,,
,,2014 - 2015,"4,994.00","2,427.00",0.49,,,,,,,,,
,,2015 - 2016,"5,750.00","3,010.00",0.52,,,,,,,,,
,,2016 - 2017,"4,707.00","5,550.00",1.18,,,,,,,,,
,,2017 - 2018,"4,967.00","5,280.00",1.06,,,,,,,,,
,,2018 - 2019,"4,816.00","5,668.00",1.18,,,,,,,,,
,,2019 - 2020,"5,545.00","5,068.00",0.91,,,,,,,,,
,,2020 - 2021,"5,150.00","4,280.00",0.83,,,,,,,,,
,,2021 - 2022,"6,084.00","4,885.00",0.8,,,,,,,,,
,,2022 - 2023,"5,094.00","5,761.00",1.13,,,,,,,,,
,74. Unnao,2000 - 2001,"1,120.00","1,201.00",1.07,,,,,,,,,
,,2001 - 2002,"1,154.00",796,0.69,,,,,,,,,
,,2002 - 2003,"1,104.00",884,0.8,,,,,,,,,
,,2003 - 2004,"1,417.00","1,137.00",0.8,,,,,,,,,
,,2006 - 2007,"1,096.00",802,0.73,,,,,,,,,
,,2007 - 2008,"1,054.00",865,0.82,,,,,,,,,
,,2008 - 2009,979,813,0.83,,,,,,,,,
,,2009 - 2010,"1,073.00",878,0.82,,,,,,,,,
,,2010 - 2011,687,595,0.87,,,,,,,,,
,,2011 - 2012,782,653,0.84,,,,,,,,,
,,2012 - 2013,692,571,0.83,,,,,,,,,
,,2013 - 2014,554,390,0.7,,,,,,,,,
,,2014 - 2015,795,445,0.56,,,,,,,,,
,,2015 - 2016,714,559,0.78,,,,,,,,,
,,2016 - 2017,583,416,0.71,,,,,,,,,
,,2017 - 2018,876,555,0.63,,,,,,,,,
,,2018 - 2019,820,523,0.64,,,,,,,,,
,,2019 - 2020,675,549,0.81,,,,,,,,,
,,2020 - 2021,646,591,0.91,,,,,,,,,
,,2021 - 2022,838,740,0.88,,,,,,,,,
,,2022 - 2023,963,975,1.01,,,,,,,,,
,75. Varanasi,2000 - 2001,281,149,0.53,,,,,,,,,
,,2001 - 2002,207,146,0.71,,,,,,,,,
,,2002 - 2003,245,154,0.63,,,,,,,,,
,,2003 - 2004,281,218,0.78,,,,,,,,,
,,2006 - 2007,172,133,0.77,,,,,,,,,
,,2007 - 2008,148,134,0.91,,,,,,,,,
,,2008 - 2009,208,207,1,,,,,,,,,
,,2009 - 2010,209,196,0.94,,,,,,,,,
,,2010 - 2011,203,158,0.78,,,,,,,,,
,,2011 - 2012,195,204,1.05,,,,,,,,,
,,2012 - 2013,201,168,0.84,,,,,,,,,
,,2013 - 2014,184,135,0.73,,,,,,,,,
,,2014 - 2015,178,102,0.57,,,,,,,,,
,,2015 - 2016,187,155,0.83,,,,,,,,,
,,2016 - 2017,197,177,0.9,,,,,,,,,
,,2017 - 2018,197,120,0.61,,,,,,,,,
,,2018 - 2019,"1,360.00","1,657.00",1.22,,,,,,,,,
,,2019 - 2020,175,106,0.61,,,,,,,,,
,,2020 - 2021,189,234,1.24,,,,,,,,,
,,2021 - 2022,210,261,1.24,,,,,,,,,
,,2022 - 2023,452,702,1.55,,,,,,,,,
24. Uttarakhand,1. Almora,2000 - 2001,"1,083.00",552,0.51,,,,,,,,,
,,2001 - 2002,"1,743.00",882,0.51,,,,,,,,,
,,2002 - 2003,"1,265.00",595,0.47,,,,,,,,,
,,2003 - 2004,354,221,0.62,,,,,,,,,
,,2004 - 2005,118,71,0.6,,,,,,,,,
,,2005 - 2006,"1,278.00",575,0.45,,,,,,,,,
,,2006 - 2007,954,353,0.37,,,,,,,,,
,,2007 - 2008,"1,321.00",528,0.4,,,,,,,,,
,,2008 - 2009,"1,055.00",285,0.27,,,,,,,,,
,,2009 - 2010,911,507,0.56,,,,,,,,,
,,2010 - 2011,908,386,0.43,,,,,,,,,
,,2011 - 2012,855,837,0.98,,,,,,,,,
,,2012 - 2013,797,195,0.24,,,,,,,,,
,,2013 - 2014,681,582,0.85,,,,,,,,,
,,2014 - 2015,929,693,0.75,,,,,,,,,
,,2015 - 2016,824,488,0.59,,,,,,,,,
,,2016 - 2017,919,703,0.76,,,,,,,,,
,,2017 - 2018,"1,154.00",410,0.36,,,,,,,,,
,,2018 - 2019,934,858,0.92,,,,,,,,,
,,2019 - 2020,"1,129.00",873,0.77,,,,,,,,,
,,2020 - 2021,"1,200.00",816,0.68,,,,,,,,,
,,2021 - 2022,"1,029.00",923,0.9,,,,,,,,,
,,2022 - 2023,"1,278.00",966,0.76,,,,,,,,,
,2. Bageshwar,2000 - 2001,"1,079.00",593,0.55,,,,,,,,,
,,2001 - 2002,968,523,0.54,,,,,,,,,
,,2002 - 2003,986,444,0.45,,,,,,,,,
,,2003 - 2004,"1,571.00",829,0.53,,,,,,,,,
,,2004 - 2005,"1,193.00",716,0.6,,,,,,,,,
,,2005 - 2006,"1,040.00",530,0.51,,,,,,,,,
,,2006 - 2007,"1,264.00",569,0.45,,,,,,,,,
,,2007 - 2008,"1,040.00",442,0.43,,,,,,,,,
,,2008 - 2009,"1,036.00",285,0.28,,,,,,,,,
,,2009 - 2010,"1,356.00",919,0.68,,,,,,,,,
,,2010 - 2011,"1,401.00",965,0.69,,,,,,,,,
,,2011 - 2012,"1,437.00","1,130.00",0.79,,,,,,,,,
,,2012 - 2013,"1,211.00",766,0.63,,,,,,,,,
,,2013 - 2014,"1,113.00",730,0.66,,,,,,,,,
,,2014 - 2015,"1,091.00",687,0.63,,,,,,,,,
,,2015 - 2016,"1,432.00",581,0.41,,,,,,,,,
,,2016 - 2017,"1,401.00","1,023.00",0.73,,,,,,,,,
,,2017 - 2018,"1,345.00",858,0.64,,,,,,,,,
,,2018 - 2019,"1,423.00","1,460.00",1.03,,,,,,,,,
,,2019 - 2020,"1,358.00","1,090.00",0.8,,,,,,,,,
,,2020 - 2021,"1,284.00",873,0.68,,,,,,,,,
,,2021 - 2022,"1,018.00",920,0.9,,,,,,,,,
,,2022 - 2023,"2,051.00","1,374.00",0.67,,,,,,,,,
,3. Chamoli,2000 - 2001,67,27,0.4,,,,,,,,,
,,2001 - 2002,35,14,0.4,,,,,,,,,
,,2002 - 2003,49,15,0.31,,,,,,,,,
,,2003 - 2004,74,43,0.58,,,,,,,,,
,,2004 - 2005,45,27,0.6,,,,,,,,,
,,2005 - 2006,52,27,0.52,,,,,,,,,
