State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,339,"30,937.00",91.26,,,,,,,,,,,,,,,
,,2008 - 2009,131,"12,305.00",93.93,,,,,,,,,,,,,,,
,,2009 - 2010,112,"9,968.00",89,,,,,,,,,,,,,,,
,,2010 - 2011,235,"20,981.00",89.28,,,,,,,,,,,,,,,
,,2011 - 2012,410,"39,186.00",95.58,,,,,,,,,,,,,,,
,,2013 - 2014,281,"26,505.00",94.32,,,,,,,,,,,,,,,
,,2014 - 2015,30,"2,456.00",81.87,,,,,,,,,,,,,,,
,,2015 - 2016,77,"6,359.00",82.58,,,,,,,,,,,,,,,
,,2016 - 2017,95,"9,500.00",100,,,,,,,,,,,,,,,
,,2017 - 2018,86,"8,981.00",104.43,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,173,"16,435.00",95,,,,,,,,,
,,2019 - 2020,,,,,,,172,"17,151.00",99.72,,,,,,,,,
,,2020 - 2021,,,,,,,62,"6,074.00",97.97,,,,,,,,,
,,2021 - 2022,,,,,,,26,"2,238.00",86.08,,,,,,,,,
,,2022 - 2023,,,,,,,32,"3,178.00",99.31,,,,,,,,,
,4. Annamayya,2022 - 2023,,,,,,,115,"11,368.00",98.85,,,,,,,,,
,5. Bapatla,2022 - 2023,,,,,,,119,"9,401.00",79,,,,,,,,,
,6. Chittoor,2000 - 2001,"40,539.00","36,97,441.00",91.21,,,,,,,,,,,,,,,
,,2001 - 2002,"38,789.00","33,37,250.00",86.04,,,,,,,,,,,,,,,
,,2002 - 2003,"39,436.00","26,84,685.00",68.08,,,,,,,,,,,,,,,
,,2003 - 2004,"26,845.00","18,81,888.00",70.1,,,,,,,,,,,,,,,
,,2004 - 2005,"21,928.00","18,65,393.00",85.07,,,,,,,,,,,,,,,
,,2005 - 2006,"22,453.00","19,72,429.00",87.85,,,,,,,,,,,,,,,
,,2006 - 2007,"37,965.00","34,96,956.00",92.11,,,,,,,,,,,,,,,
,,2007 - 2008,"30,000.00","28,19,000.00",93.97,,,,,,,,,,,,,,,
,,2008 - 2009,"26,916.00","22,63,880.00",84.11,,,,,,,,,,,,,,,
,,2009 - 2010,"27,193.00","22,61,081.00",83.15,,,,,,,,,,,,,,,
,,2010 - 2011,"27,719.00","23,11,342.00",83.38,,,,,,,,,,,,,,,
,,2011 - 2012,"28,405.00","25,77,106.00",90.73,,,,,,,,,,,,,,,
,,2012 - 2013,"28,000.00","24,92,000.00",89,,,,,,,,,,,,,,,
,,2013 - 2014,"28,152.00","25,62,925.00",91.04,,,,,,,,,,,,,,,
,,2014 - 2015,"26,147.00","20,66,986.00",79.05,,,,,,,,,,,,,,,
,,2015 - 2016,"20,831.00","16,82,300.00",80.76,,,,,,,,,,,,,,,
,,2016 - 2017,"18,214.00","15,99,699.00",87.83,,,,,,,,,,,,,,,
,,2017 - 2018,"18,177.00","17,37,420.00",95.58,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,"17,169.00","14,96,011.00",87.13,,,,,,,,,
,,2019 - 2020,,,,,,,"14,615.00","13,61,660.00",93.17,,,,,,,,,
,,2020 - 2021,,,,,,,"11,464.00","10,44,989.00",91.15,,,,,,,,,
,,2021 - 2022,,,,,,,"10,547.00","10,19,661.00",96.68,,,,,,,,,
,,2022 - 2023,,,,,,,"7,822.00","7,34,222.00",93.87,,,,,,,,,
,7. East godavari,2000 - 2001,"14,772.00","13,13,615.00",88.93,,,,,,,,,,,,,,,
,,2001 - 2002,"14,255.00","12,82,665.00",89.98,,,,,,,,,,,,,,,
,,2002 - 2003,"15,425.00","12,69,570.00",82.31,,,,,,,,,,,,,,,
,,2003 - 2004,"16,285.00","13,97,774.00",85.83,,,,,,,,,,,,,,,
,,2004 - 2005,"15,965.00","13,56,801.00",84.99,,,,,,,,,,,,,,,
,,2005 - 2006,"18,422.00","14,65,857.00",79.57,,,,,,,,,,,,,,,
,,2006 - 2007,"18,911.00","16,83,779.00",89.04,,,,,,,,,,,,,,,
,,2007 - 2008,"17,000.00","14,88,000.00",87.53,,,,,,,,,,,,,,,
,,2008 - 2009,"13,592.00","11,59,182.00",85.28,,,,,,,,,,,,,,,
,,2009 - 2010,"10,879.00","10,17,609.00",93.54,,,,,,,,,,,,,,,
,,2010 - 2011,"13,051.00","10,86,471.00",83.25,,,,,,,,,,,,,,,
,,2011 - 2012,"12,618.00","10,69,560.00",84.76,,,,,,,,,,,,,,,
,,2012 - 2013,"14,000.00","11,11,000.00",79.36,,,,,,,,,,,,,,,
,,2013 - 2014,"13,857.00","11,65,341.00",84.1,,,,,,,,,,,,,,,
,,2014 - 2015,"12,405.00","10,56,420.00",85.16,,,,,,,,,,,,,,,
,,2015 - 2016,"11,647.00","10,37,710.00",89.1,,,,,,,,,,,,,,,
,,2016 - 2017,"10,515.00","9,43,395.00",89.72,,,,,,,,,,,,,,,
,,2017 - 2018,"10,320.00","9,12,540.00",88.42,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,"9,854.00","8,89,636.00",90.28,,,,,,,,,
,,2019 - 2020,,,,,,,"8,134.00","7,25,240.00",89.16,,,,,,,,,
,,2020 - 2021,,,,,,,"1,722.00","1,32,108.00",76.72,,,,,,,,,
,,2021 - 2022,,,,,,,922,"71,829.00",77.91,,,,,,,,,
,,2022 - 2023,,,,,,,"1,077.00","95,217.00",88.41,,,,,,,,,
,8. Eluru,2022 - 2023,,,,,,,"1,438.00","1,38,074.00",96.02,,,,,,,,,
,9. Guntur,2000 - 2001,"1,696.00","1,35,426.00",79.85,,,,,,,,,,,,,,,
,,2001 - 2002,"1,700.00","1,39,080.00",81.81,,,,,,,,,,,,,,,
,,2002 - 2003,"1,738.00","1,14,932.00",66.13,,,,,,,,,,,,,,,
,,2003 - 2004,"1,547.00","1,10,569.00",71.47,,,,,,,,,,,,,,,
,,2004 - 2005,"1,972.00","1,50,690.00",76.41,,,,,,,,,,,,,,,
,,2005 - 2006,"1,953.00","1,38,788.00",71.06,,,,,,,,,,,,,,,
,,2006 - 2007,"1,721.00","1,35,923.00",78.98,,,,,,,,,,,,,,,
,,2007 - 2008,"2,000.00","1,17,000.00",58.5,,,,,,,,,,,,,,,
,,2008 - 2009,762,"57,402.00",75.33,,,,,,,,,,,,,,,
,,2009 - 2010,409,"41,203.00",100.74,,,,,,,,,,,,,,,
,,2010 - 2011,908,"77,430.00",85.28,,,,,,,,,,,,,,,
,,2011 - 2012,967,"1,00,572.00",104,,,,,,,,,,,,,,,
,,2013 - 2014,420,"43,200.00",102.86,,,,,,,,,,,,,,,
,,2014 - 2015,470,"46,102.00",98.09,,,,,,,,,,,,,,,
,,2015 - 2016,332,"34,260.00",103.19,,,,,,,,,,,,,,,
,,2016 - 2017,267,"28,341.00",106.15,,,,,,,,,,,,,,,
,,2017 - 2018,226,"24,090.00",106.59,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,221,"21,167.00",95.78,,,,,,,,,
,,2019 - 2020,,,,,,,120,"11,006.00",91.72,,,,,,,,,
,,2020 - 2021,,,,,,,158,"14,450.00",91.46,,,,,,,,,
,,2021 - 2022,,,,,,,153,"14,576.00",95.27,,,,,,,,,
,,2022 - 2023,,,,,,,82,"5,848.00",71.32,,,,,,,,,
,10. Kadapa,2000 - 2001,356,"32,880.00",92.36,,,,,,,,,,,,,,,
,,2001 - 2002,674,"62,755.00",93.11,,,,,,,,,,,,,,,
,,2002 - 2003,"1,063.00","78,516.00",73.86,,,,,,,,,,,,,,,
,,2003 - 2004,555,"40,233.00",72.49,,,,,,,,,,,,,,,
,,2004 - 2005,377,"33,563.00",89.03,,,,,,,,,,,,,,,
,,2005 - 2006,922,"88,323.00",95.8,,,,,,,,,,,,,,,
,,2006 - 2007,"2,056.00","2,01,081.00",97.8,,,,,,,,,,,,,,,
,,2007 - 2008,"1,000.00","82,000.00",82,,,,,,,,,,,,,,,
,,2008 - 2009,68,"5,100.00",75,,,,,,,,,,,,,,,
,,2009 - 2010,140,"12,268.00",87.63,,,,,,,,,,,,,,,
,,2010 - 2011,835,"75,413.00",90.31,,,,,,,,,,,,,,,
,,2011 - 2012,735,"59,825.00",81.39,,,,,,,,,,,,,,,
,,2013 - 2014,550,"35,420.00",64.4,,,,,,,,,,,,,,,
,,2014 - 2015,373,"30,621.00",82.09,,,,,,,,,,,,,,,
,,2015 - 2016,261,"19,485.00",74.66,,,,,,,,,,,,,,,
,,2016 - 2017,245,"19,005.00",77.57,,,,,,,,,,,,,,,
,,2017 - 2018,276,"26,851.00",97.29,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,402,"26,318.00",65.47,,,,,,,,,
,,2019 - 2020,,,,,,,182,"12,922.00",71,,,,,,,,,
,,2020 - 2021,,,,,,,70,"5,351.00",76.44,,,,,,,,,
,,2021 - 2022,,,,,,,125,"8,650.00",69.2,,,,,,,,,
,,2022 - 2023,,,,,,,87,"8,304.00",95.45,,,,,,,,,
,11. Kakinada,2022 - 2023,,,,,,,678,"60,375.00",89.05,,,,,,,,,
,12. Krishna,2000 - 2001,"12,658.00","13,82,481.00",109.22,,,,,,,,,,,,,,,
,,2001 - 2002,"10,690.00","11,12,198.00",104.04,,,,,,,,,,,,,,,
,,2002 - 2003,"15,203.00","15,35,260.00",100.98,,,,,,,,,,,,,,,
,,2003 - 2004,"17,524.00","13,22,046.00",75.44,,,,,,,,,,,,,,,
,,2004 - 2005,"18,699.00","18,84,261.00",100.77,,,,,,,,,,,,,,,
,,2005 - 2006,"21,680.00","18,10,150.00",83.49,,,,,,,,,,,,,,,
,,2006 - 2007,"21,424.00","19,58,089.00",91.4,,,,,,,,,,,,,,,
,,2007 - 2008,"16,000.00","16,55,000.00",103.44,,,,,,,,,,,,,,,
,,2008 - 2009,"11,255.00","10,73,337.00",95.37,,,,,,,,,,,,,,,
,,2009 - 2010,"9,494.00","8,29,393.00",87.36,,,,,,,,,,,,,,,
,,2010 - 2011,"16,144.00","15,27,716.00",94.63,,,,,,,,,,,,,,,
,,2011 - 2012,"16,024.00","16,21,860.00",101.21,,,,,,,,,,,,,,,
,,2012 - 2013,"16,000.00","13,74,000.00",85.88,,,,,,,,,,,,,,,
,,2013 - 2014,"16,123.00","14,47,765.00",89.8,,,,,,,,,,,,,,,
,,2014 - 2015,"16,719.00","14,00,898.00",83.79,,,,,,,,,,,,,,,
,,2015 - 2016,"14,555.00","14,91,656.00",102.48,,,,,,,,,,,,,,,
,,2016 - 2017,"10,983.00","9,93,610.00",90.47,,,,,,,,,,,,,,,
,,2017 - 2018,"10,258.00","9,45,664.00",92.19,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,"13,133.00","13,04,989.00",99.37,,,,,,,,,
,,2019 - 2020,,,,,,,"8,996.00","8,34,188.00",92.73,,,,,,,,,
,,2020 - 2021,,,,,,,"4,457.00","4,03,344.00",90.5,,,,,,,,,
,,2021 - 2022,,,,,,,"4,381.00","4,41,636.00",100.81,,,,,,,,,
,,2022 - 2023,,,,,,,"3,255.00","3,53,334.00",108.55,,,,,,,,,
,13. Kurnool,2000 - 2001,47,"3,379.00",71.89,,,,,,,,,,,,,,,
,,2001 - 2002,48,"4,175.00",86.98,,,,,,,,,,,,,,,
,,2002 - 2003,80,"5,906.00",73.83,,,,,,,,,,,,,,,
,,2003 - 2004,435,"31,537.00",72.5,,,,,,,,,,,,,,,
,,2004 - 2005,393,"34,395.00",87.52,,,,,,,,,,,,,,,
,,2005 - 2006,"1,817.00","1,75,635.00",96.66,,,,,,,,,,,,,,,
,,2006 - 2007,"2,246.00","2,10,675.00",93.8,,,,,,,,,,,,,,,
,,2007 - 2008,"2,000.00","1,43,000.00",71.5,,,,,,,,,,,,,,,
,,2008 - 2009,"1,055.00","94,785.00",89.84,,,,,,,,,,,,,,,
,,2009 - 2010,"1,406.00","1,16,158.00",82.62,,,,,,,,,,,,,,,
,,2010 - 2011,"1,738.00","1,68,912.00",97.19,,,,,,,,,,,,,,,
,,2011 - 2012,985,"1,00,261.00",101.79,,,,,,,,,,,,,,,
,,2012 - 2013,"2,000.00","1,38,000.00",69,,,,,,,,,,,,,,,
,,2013 - 2014,751,"80,420.00",107.08,,,,,,,,,,,,,,,
,,2014 - 2015,714,"83,391.00",116.79,,,,,,,,,,,,,,,
,,2015 - 2016,960,"95,616.00",99.6,,,,,,,,,,,,,,,
,,2016 - 2017,406,"42,708.00",105.19,,,,,,,,,,,,,,,
,,2017 - 2018,453,"59,259.00",130.81,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,695,"62,800.00",90.36,,,,,,,,,
,,2019 - 2020,,,,,,,345,"29,835.00",86.48,,,,,,,,,
,,2020 - 2021,,,,,,,186,"20,397.00",109.66,,,,,,,,,
,,2021 - 2022,,,,,,,128,"14,304.00",111.75,,,,,,,,,
,,2022 - 2023,,,,,,,160,"15,373.00",96.08,,,,,,,,,
,14. Nandyal,2022 - 2023,,,,,,,18,"1,745.00",96.94,,,,,,,,,
,15. Ntr,2022 - 2023,,,,,,,641,"46,169.00",72.03,,,,,,,,,
,16. Palnadu,2022 - 2023,,,,,,,45,"3,075.00",68.33,,,,,,,,,
,17. Parvathipuram manyam,2022 - 2023,,,,,,,"1,066.00","79,776.00",74.84,,,,,,,,,
,18. Prakasam,2000 - 2001,272,"21,836.00",80.28,,,,,,,,,,,,,,,
,,2001 - 2002,287,"23,462.00",81.75,,,,,,,,,,,,,,,
,,2002 - 2003,376,"24,440.00",65,,,,,,,,,,,,,,,
,,2003 - 2004,289,"20,521.00",71.01,,,,,,,,,,,,,,,
,,2004 - 2005,144,"10,717.00",74.42,,,,,,,,,,,,,,,
,,2005 - 2006,89,"6,404.00",71.96,,,,,,,,,,,,,,,
,,2006 - 2007,124,"9,854.00",79.47,,,,,,,,,,,,,,,
,,2008 - 2009,251,"20,080.00",80,,,,,,,,,,,,,,,
,,2009 - 2010,144,"10,656.00",74,,,,,,,,,,,,,,,
,,2010 - 2011,331,"27,142.00",82,,,,,,,,,,,,,,,
,,2011 - 2012,423,"34,263.00",81,,,,,,,,,,,,,,,
,,2012 - 2013,"1,000.00","51,000.00",51,,,,,,,,,,,,,,,
,,2013 - 2014,673,"53,132.00",78.95,,,,,,,,,,,,,,,
,,2014 - 2015,900,"64,800.00",72,,,,,,,,,,,,,,,
,,2015 - 2016,628,"49,946.00",79.53,,,,,,,,,,,,,,,
,,2016 - 2017,444,"34,632.00",78,,,,,,,,,,,,,,,
,,2017 - 2018,233,"16,567.00",71.1,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,75,"6,150.00",82,,,,,,,,,
,,2019 - 2020,,,,,,,223,"16,861.00",75.61,,,,,,,,,
,,2020 - 2021,,,,,,,167,"12,485.00",74.76,,,,,,,,,
,,2021 - 2022,,,,,,,179,"13,733.00",76.72,,,,,,,,,
,,2022 - 2023,,,,,,,81,"5,319.00",65.67,,,,,,,,,
,19. Spsr nellore,2000 - 2001,"7,872.00","6,33,231.00",80.44,,,,,,,,,,,,,,,
,,2001 - 2002,"9,842.00","8,69,265.00",88.32,,,,,,,,,,,,,,,
,,2002 - 2003,"6,986.00","7,27,885.00",104.19,,,,,,,,,,,,,,,
,,2003 - 2004,"5,694.00","5,47,216.00",96.1,,,,,,,,,,,,,,,
,,2004 - 2005,"5,521.00","5,21,917.00",94.53,,,,,,,,,,,,,,,
,,2005 - 2006,"7,790.00","7,32,019.00",93.97,,,,,,,,,,,,,,,
,,2006 - 2007,"10,395.00","11,89,593.00",114.44,,,,,,,,,,,,,,,
,,2007 - 2008,"10,000.00","9,46,000.00",94.6,,,,,,,,,,,,,,,
,,2008 - 2009,"7,825.00","6,87,108.00",87.81,,,,,,,,,,,,,,,
,,2009 - 2010,"4,832.00","4,86,932.00",100.77,,,,,,,,,,,,,,,
,,2010 - 2011,"7,172.00","6,58,905.00",91.87,,,,,,,,,,,,,,,
,,2011 - 2012,"9,061.00","9,76,456.00",107.76,,,,,,,,,,,,,,,
,,2012 - 2013,"10,000.00","9,73,000.00",97.3,,,,,,,,,,,,,,,
,,2013 - 2014,"7,835.00","8,17,711.00",104.37,,,,,,,,,,,,,,,
,,2014 - 2015,"4,002.00","3,93,918.00",98.43,,,,,,,,,,,,,,,
,,2015 - 2016,"1,896.00","1,95,847.00",103.29,,,,,,,,,,,,,,,
,,2016 - 2017,"1,184.00","1,14,425.00",96.64,,,,,,,,,,,,,,,
,,2017 - 2018,962,"99,086.00",103,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,738,"62,670.00",84.92,,,,,,,,,
,,2019 - 2020,,,,,,,350,"29,592.00",84.55,,,,,,,,,
,,2020 - 2021,,,,,,,22,682,31,,,,,,,,,
,,2021 - 2022,,,,,,,7,553,79,,,,,,,,,
,20. Sri sathya sai,2022 - 2023,,,,,,,21,"1,946.00",92.67,,,,,,,,,
,21. Srikakulam,2000 - 2001,"2,733.00","2,07,156.00",75.8,,,,,,,,,,,,,,,
,,2001 - 2002,"6,631.00","5,40,035.00",81.44,,,,,,,,,,,,,,,
,,2002 - 2003,"3,150.00","2,07,251.00",65.79,,,,,,,,,,,,,,,
,,2003 - 2004,"6,835.00","4,87,281.00",71.29,,,,,,,,,,,,,,,
,,2004 - 2005,"9,065.00","6,90,146.00",76.13,,,,,,,,,,,,,,,
,,2005 - 2006,"11,004.00","8,01,883.00",72.87,,,,,,,,,,,,,,,
,,2006 - 2007,"12,171.00","9,26,116.00",76.09,,,,,,,,,,,,,,,
,,2007 - 2008,"11,000.00","7,78,000.00",70.73,,,,,,,,,,,,,,,
,,2008 - 2009,"7,139.00","5,48,044.00",76.77,,,,,,,,,,,,,,,
,,2009 - 2010,"4,028.00","2,87,640.00",71.41,,,,,,,,,,,,,,,
,,2010 - 2011,"3,176.00","1,80,905.00",56.96,,,,,,,,,,,,,,,
,,2011 - 2012,"7,862.00","5,48,950.00",69.82,,,,,,,,,,,,,,,
,,2012 - 2013,"7,000.00","4,92,000.00",70.29,,,,,,,,,,,,,,,
,,2013 - 2014,"5,682.00","3,95,814.00",69.66,,,,,,,,,,,,,,,
,,2014 - 2015,"6,378.00","4,35,708.00",68.31,,,,,,,,,,,,,,,
,,2015 - 2016,"6,117.00","4,73,532.00",77.41,,,,,,,,,,,,,,,
,,2016 - 2017,"5,645.00","4,44,538.00",78.75,,,,,,,,,,,,,,,
,,2017 - 2018,"5,336.00","4,48,802.00",84.11,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,"6,007.00","4,53,349.00",75.47,,,,,,,,,
,,2019 - 2020,,,,,,,"5,650.00","4,29,400.00",76,,,,,,,,,
,,2020 - 2021,,,,,,,"3,943.00","2,84,147.00",72.06,,,,,,,,,
,,2021 - 2022,,,,,,,"3,586.00","2,51,020.00",70,,,,,,,,,
,,2022 - 2023,,,,,,,945,"85,260.00",90.22,,,,,,,,,
,22. Tirupati,2022 - 2023,,,,,,,"2,119.00","1,91,730.00",90.48,,,,,,,,,
,23. Visakhapatanam,2000 - 2001,"42,621.00","25,89,914.00",60.77,,,,,,,,,,,,,,,
,,2001 - 2002,"36,135.00","21,67,594.00",59.99,,,,,,,,,,,,,,,
,,2002 - 2003,"44,085.00","15,88,904.00",36.04,,,,,,,,,,,,,,,
,,2003 - 2004,"38,962.00","19,84,023.00",50.92,,,,,,,,,,,,,,,
,,2004 - 2005,"41,522.00","21,19,283.00",51.04,,,,,,,,,,,,,,,
,,2005 - 2006,"41,535.00","20,43,854.00",49.21,,,,,,,,,,,,,,,
,,2006 - 2007,"42,589.00","24,91,286.00",58.5,,,,,,,,,,,,,,,
,,2007 - 2008,"41,000.00","25,54,000.00",62.29,,,,,,,,,,,,,,,
,,2008 - 2009,"38,998.00","22,01,279.00",56.45,,,,,,,,,,,,,,,
,,2009 - 2010,"40,038.00","18,45,668.00",46.1,,,,,,,,,,,,,,,
,,2010 - 2011,"38,819.00","22,21,674.00",57.23,,,,,,,,,,,,,,,
,,2011 - 2012,"37,862.00","21,52,876.00",56.86,,,,,,,,,,,,,,,
,,2012 - 2013,"38,000.00","20,72,000.00",54.53,,,,,,,,,,,,,,,
,,2013 - 2014,"37,603.00","21,03,656.00",55.94,,,,,,,,,,,,,,,
,,2014 - 2015,"37,535.00","18,14,054.00",48.33,,,,,,,,,,,,,,,
,,2015 - 2016,"35,885.00","20,11,535.00",56.06,,,,,,,,,,,,,,,
,,2016 - 2017,"32,364.00","19,08,343.00",58.96,,,,,,,,,,,,,,,
,,2017 - 2018,"32,153.00","18,47,660.00",57.46,,,,,,,,,,,,,,,
