State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,554,284,0.51,,,,,,
,,2009 - 2010,428,207,0.48,,,,,,
,,2010 - 2011,440,215,0.49,,,,,,
,,2011 - 2012,395,206,0.52,,,,,,
,,2012 - 2013,439,231,0.53,,,,,,
,,2013 - 2014,210,115,0.55,,,,,,
,,2014 - 2015,206,130,0.63,,,,,,
,,2015 - 2016,192,93,0.48,,,,,,
,,2016 - 2017,164,78,0.48,,,,,,
,,2017 - 2018,187,90,0.48,,,,,,
,,2018 - 2019,196,94,0.48,,,,,,
,,2019 - 2020,196,80,0.41,,,,,,
,,2020 - 2021,193,79,0.41,,,,,,
,,2021 - 2022,138,57,0.41,,,,,,
,,2022 - 2023,127,30,0.24,,,,,,
,25. Nagaon,2000 - 2001,695,313,0.45,,,,,,
,,2001 - 2002,685,306,0.45,,,,,,
,,2002 - 2003,654,293,0.45,,,,,,
,,2003 - 2004,466,209,0.45,,,,,,
,,2004 - 2005,460,206,0.45,,,,,,
,,2005 - 2006,525,236,0.45,,,,,,
,,2006 - 2007,489,219,0.45,,,,,,
,,2007 - 2008,501,225,0.45,,,,,,
,,2008 - 2009,481,215,0.45,,,,,,
,,2009 - 2010,331,148,0.45,,,,,,
,,2010 - 2011,568,255,0.45,,,,,,
,,2011 - 2012,599,298,0.5,,,,,,
,,2012 - 2013,471,253,0.54,,,,,,
,,2013 - 2014,589,356,0.6,,,,,,
,,2014 - 2015,511,321,0.63,,,,,,
,,2015 - 2016,378,335,0.89,,,,,,
,,2016 - 2017,258,201,0.78,,,,,,
,,2017 - 2018,382,229,0.6,,,,,,
,,2018 - 2019,218,102,0.47,,,,,,
,,2019 - 2020,217,104,0.48,,,,,,
,,2020 - 2021,185,90,0.49,,,,,,
