State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,"10,500.00","4,700.00",0.45,,,,,,
,,2018 - 2019,"1,519.00",588,0.39,,,,,,
,,2019 - 2020,"2,763.00","1,538.00",0.56,,,,,,
,,2020 - 2021,"2,461.00","2,165.00",0.88,,,,,,
,,2021 - 2022,"1,751.00",714,0.41,,,,,,
,,2022 - 2023,"2,448.00","1,420.00",0.58,,,,,,
,48. Singrauli,2008 - 2009,"7,400.00","2,250.00",0.3,,,,,,
,,2009 - 2010,,,,,,,"7,110.00","3,092.00",0.43
,,2010 - 2011,"6,697.00","2,488.00",0.37,,,,,,
,,2011 - 2012,"6,740.00","2,640.00",0.39,,,,,,
,,2012 - 2013,"6,365.00","11,119.00",1.75,,,,,,
,,2013 - 2014,"6,031.00","7,097.00",1.18,,,,,,
,,2014 - 2015,"3,000.00","4,000.00",1.33,,,,,,
,,2015 - 2016,"4,000.00","2,000.00",0.5,,,,,,
,,2016 - 2017,"7,000.00","3,000.00",0.43,,,,,,
,,2017 - 2018,"6,680.00","3,160.00",0.47,,,,,,
,,2018 - 2019,"1,669.00","2,113.00",1.27,,,,,,
,,2019 - 2020,"2,743.00","4,616.00",1.68,,,,,,
,,2020 - 2021,"2,509.00","2,259.00",0.9,,,,,,
,,2021 - 2022,"1,881.00","1,435.00",0.76,,,,,,
,,2022 - 2023,"2,737.00","1,943.00",0.71,,,,,,
,49. Tikamgarh,2000 - 2001,"1,754.00",745,0.42,,,,,,
,,2001 - 2002,"1,088.00",513,0.47,,,,,,
,,2002 - 2003,711,257,0.36,,,,,,
,,2003 - 2004,381,173,0.45,,,,,,
,,2004 - 2005,452,174,0.38,,,,,,
,,2005 - 2006,416,163,0.39,,,,,,
,,2006 - 2007,290,102,0.35,,,,,,
,,2007 - 2008,144,39,0.27,,,,,,
,,2008 - 2009,204,93,0.46,,,,,,
,,2009 - 2010,,,,,,,247,119,0.48
,,2010 - 2011,161,37,0.23,,,,,,
,,2011 - 2012,114,63,0.55,,,,,,
,,2012 - 2013,101,36,0.36,,,,,,
,,2013 - 2014,37,11,0.3,,,,,,
,,2017 - 2018,700,240,0.34,,,,,,
,,2018 - 2019,19,10,0.53,,,,,,
,,2019 - 2020,5,5,1,,,,,,
,,2020 - 2021,8,4,0.5,,,,,,
,,2021 - 2022,8,4,0.5,,,,,,
,,2022 - 2023,6,4,0.67,,,,,,
,50. Ujjain,2000 - 2001,127,45,0.35,,,,,,
,,2001 - 2002,"1,033.00",428,0.41,,,,,,
,,2002 - 2003,305,126,0.41,,,,,,
,,2003 - 2004,"1,097.00",819,0.75,,,,,,
,,2004 - 2005,"1,102.00",870,0.79,,,,,,
,,2005 - 2006,124,67,0.54,,,,,,
,,2006 - 2007,175,135,0.77,,,,,,
,,2007 - 2008,136,87,0.64,,,,,,
,,2008 - 2009,75,52,0.69,,,,,,
,,2009 - 2010,,,,,,,238,180,0.76
,,2010 - 2011,261,155,0.59,,,,,,
,,2011 - 2012,198,202,1.02,,,,,,
,,2012 - 2013,50,35,0.7,,,,,,
,,2013 - 2014,50,34,0.68,,,,,,
,,2017 - 2018,340,260,0.76,,,,,,
,,2018 - 2019,129,92,0.71,,,,,,
,,2019 - 2020,52,63,1.21,,,,,,
,,2020 - 2021,51,41,0.8,,,,,,
,,2021 - 2022,56,0,0,,,,,,
,,2022 - 2023,254,201,0.79,,,,,,
,51. Umaria,2000 - 2001,"3,166.00",612,0.19,,,,,,
,,2001 - 2002,"3,602.00","1,036.00",0.29,,,,,,
,,2002 - 2003,"3,648.00",865,0.24,,,,,,
,,2003 - 2004,"3,853.00","1,056.00",0.27,,,,,,
,,2004 - 2005,"3,949.00","1,337.00",0.34,,,,,,
,,2005 - 2006,"3,718.00","1,247.00",0.34,,,,,,
,,2006 - 2007,"3,660.00","1,257.00",0.34,,,,,,
,,2007 - 2008,"3,325.00",906,0.27,,,,,,
,,2008 - 2009,"3,228.00","1,076.00",0.33,,,,,,
,,2009 - 2010,,,,,,,"3,464.00","1,390.00",0.4
,,2010 - 2011,"3,055.00",790,0.26,,,,,,
,,2011 - 2012,"3,060.00","1,213.00",0.4,,,,,,
,,2012 - 2013,"3,051.00","1,193.00",0.39,,,,,,
,,2013 - 2014,"3,009.00","1,522.00",0.51,,,,,,
,,2014 - 2015,"5,000.00","4,000.00",0.8,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"7,000.00","4,000.00",0.57,,,,,,
,,2017 - 2018,"2,900.00","1,780.00",0.61,,,,,,
,,2018 - 2019,928,659,0.71,,,,,,
,,2019 - 2020,"1,294.00","1,009.00",0.78,,,,,,
,,2020 - 2021,"1,677.00","1,090.00",0.65,,,,,,
,,2021 - 2022,"1,783.00","1,068.00",0.6,,,,,,
,,2022 - 2023,"2,124.00","1,272.00",0.6,,,,,,
,52. Vidisha,2000 - 2001,819,563,0.69,,,,,,
,,2001 - 2002,539,401,0.74,,,,,,
,,2002 - 2003,"1,350.00","1,010.00",0.75,,,,,,
,,2003 - 2004,451,345,0.76,,,,,,
,,2004 - 2005,369,326,0.88,,,,,,
,,2005 - 2006,329,208,0.63,,,,,,
,,2006 - 2007,169,163,0.96,,,,,,
,,2007 - 2008,97,69,0.71,,,,,,
,,2008 - 2009,106,99,0.93,,,,,,
,,2009 - 2010,,,,,,,88,89,1.01
,,2010 - 2011,55,40,0.73,,,,,,
,,2011 - 2012,18,21,1.17,,,,,,
,,2012 - 2013,5,5,1,,,,,,
,,2013 - 2014,113,78,0.69,,,,,,
,,2017 - 2018,20,20,1,,,,,,
,,2018 - 2019,27,29,1.07,,,,,,
,,2019 - 2020,20,21,1.05,,,,,,
,,2020 - 2021,10,11,1.1,,,,,,
,,2021 - 2022,12,13,1.08,,,,,,
,,2022 - 2023,89,93,1.04,,,,,,
11. Maharashtra,1. Ahilyanagar,2000 - 2001,"1,200.00",300,0.25,,,,,,
,,2001 - 2002,"1,300.00",300,0.23,,,,,,
,,2002 - 2003,"1,000.00",200,0.2,,,,,,
,,2003 - 2004,800,200,0.25,,,,,,
,,2004 - 2005,"1,100.00",200,0.18,,,,,,
,,2005 - 2006,"1,200.00",400,0.33,,,,,,
,,2006 - 2007,"1,000.00",300,0.3,,,,,,
,,2007 - 2008,"1,100.00",300,0.27,,,,,,
,,2008 - 2009,600,100,0.17,,,,,,
,,2009 - 2010,600,100,0.17,,,,,,
,,2010 - 2011,500,100,0.2,,,,,,
,,2011 - 2012,300,100,0.33,,,,,,
,,2012 - 2013,400,40,0.1,,,,,,
,,2013 - 2014,200,100,0.5,,,,,,
,,2014 - 2015,200,,0,,,,,,
,,2017 - 2018,50,17,0.34,,,,,,
,,2019 - 2020,22,5,0.23,,,,,,
,,2020 - 2021,46.42,27.85,0.6,,,,,,
,,2021 - 2022,52.02,49.03,0.94,,,,,,
,,2022 - 2023,39.11,14.76,0.38,,,,,,
,2. Amravati,2005 - 2006,"2,600.00",700,0.27,,,,,,
,3. Beed,2000 - 2001,"6,000.00","1,500.00",0.25,,,,,,
,,2001 - 2002,"6,100.00","1,500.00",0.25,,,,,,
,,2002 - 2003,"4,600.00","1,200.00",0.26,,,,,,
,,2003 - 2004,"4,800.00",800,0.17,,,,,,
,,2004 - 2005,"4,500.00",700,0.16,,,,,,
,,2005 - 2006,"4,300.00","1,400.00",0.33,,,,,,
,,2006 - 2007,"4,300.00","1,300.00",0.3,,,,,,
,,2007 - 2008,"3,800.00","1,100.00",0.29,,,,,,
,,2008 - 2009,"2,400.00",500,0.21,,,,,,
,,2009 - 2010,"1,400.00",300,0.21,,,,,,
,,2010 - 2011,"1,400.00",300,0.21,,,,,,
,,2011 - 2012,800,200,0.25,,,,,,
,,2012 - 2013,700,100,0.14,,,,,,
,,2013 - 2014,800,250,0.31,,,,,,
,,2014 - 2015,700,100,0.14,,,,,,
,,2015 - 2016,700,50,0.07,,,,,,
,,2016 - 2017,760,390,0.51,,,,,,
,,2017 - 2018,"1,140.00",380,0.33,,,,,,
,,2018 - 2019,5,2,0.4,,,,,,
,,2019 - 2020,129,40,0.31,,,,,,
,,2020 - 2021,129,77.4,0.6,,,,,,
,,2021 - 2022,129,121.58,0.94,,,,,,
,,2022 - 2023,35,13.19,0.38,,,,,,
,4. Bhandara,2000 - 2001,"4,800.00","1,100.00",0.23,,,,,,
,,2001 - 2002,"5,100.00",900,0.18,,,,,,
,,2002 - 2003,"3,200.00",500,0.16,,,,,,
,,2003 - 2004,"3,200.00",900,0.28,,,,,,
,,2004 - 2005,"1,600.00",200,0.13,,,,,,
,,2005 - 2006,"3,700.00","1,100.00",0.3,,,,,,
,,2006 - 2007,"3,800.00","1,000.00",0.26,,,,,,
,,2007 - 2008,"5,000.00","1,500.00",0.3,,,,,,
,,2008 - 2009,"2,700.00",800,0.3,,,,,,
,,2009 - 2010,"3,700.00","1,100.00",0.3,,,,,,
,,2010 - 2011,"4,000.00","1,400.00",0.35,,,,,,
,,2011 - 2012,"3,300.00",700,0.21,,,,,,
,,2012 - 2013,"4,000.00","1,500.00",0.38,,,,,,
,,2013 - 2014,"4,800.00","1,200.00",0.25,,,,,,
,,2014 - 2015,"6,000.00","1,400.00",0.23,,,,,,
,,2015 - 2016,"6,600.00","2,300.00",0.35,,,,,,
,,2016 - 2017,"4,400.00",700,0.16,,,,,,
,,2017 - 2018,"3,600.00","1,000.00",0.28,,,,,,
,,2018 - 2019,"2,763.00","1,500.00",0.54,,,,,,
,,2019 - 2020,39,12,0.31,,,,,,
,,2020 - 2021,"1,318.49",363.31,0.28,,,,,,
,,2021 - 2022,"1,022.67",419.4,0.41,,,,,,
,,2022 - 2023,901.52,337.98,0.37,,,,,,
,5. Buldhana,2015 - 2016,15,4,0.27,,,,,,
,6. Chandrapur,2000 - 2001,"16,400.00","2,900.00",0.18,,,,,,
,,2001 - 2002,"16,700.00","4,000.00",0.24,,,,,,
,,2002 - 2003,"12,400.00","2,700.00",0.22,,,,,,
,,2003 - 2004,"28,400.00","6,900.00",0.24,,,,,,
,,2004 - 2005,"20,800.00","3,500.00",0.17,,,,,,
,,2005 - 2006,"23,600.00","7,800.00",0.33,,,,,,
,,2006 - 2007,"28,100.00","6,900.00",0.25,,,,,,
,,2007 - 2008,"28,800.00","8,900.00",0.31,,,,,,
,,2008 - 2009,"13,200.00","3,000.00",0.23,,,,,,
,,2009 - 2010,"10,500.00","3,100.00",0.3,,,,,,
,,2010 - 2011,"10,600.00","3,200.00",0.3,,,,,,
,,2011 - 2012,"7,100.00","2,200.00",0.31,,,,,,
,,2012 - 2013,"6,300.00","2,500.00",0.4,,,,,,
,,2014 - 2015,"3,400.00","1,100.00",0.32,,,,,,
,,2015 - 2016,"2,000.00",400,0.2,,,,,,
,,2016 - 2017,900,200,0.22,,,,,,
,,2017 - 2018,400,100,0.25,,,,,,
,,2018 - 2019,429,100,0.23,,,,,,
,,2019 - 2020,"1,252.00",502,0.4,,,,,,
,,2020 - 2021,445.85,111.04,0.25,,,,,,
,,2021 - 2022,"1,075.46",532.57,0.5,,,,,,
,,2022 - 2023,"1,039.97",738.07,0.71,,,,,,
,7. Chhatrapati Sambhajinagar,2000 - 2001,"4,600.00","1,200.00",0.26,,,,,,
,,2001 - 2002,"4,600.00",900,0.2,,,,,,
,,2002 - 2003,"1,600.00",300,0.19,,,,,,
,,2003 - 2004,"1,800.00",600,0.33,,,,,,
,,2004 - 2005,"2,000.00",400,0.2,,,,,,
,,2005 - 2006,"1,600.00",300,0.19,,,,,,
,,2006 - 2007,"2,500.00",600,0.24,,,,,,
,,2007 - 2008,"1,700.00",500,0.29,,,,,,
,,2008 - 2009,"1,100.00",100,0.09,,,,,,
,,2009 - 2010,800,100,0.13,,,,,,
,,2010 - 2011,400,100,0.25,,,,,,
,,2011 - 2012,100,,0,,,,,,
,,2016 - 2017,2,0.2,0.1,,,,,,
,,2018 - 2019,13,5,0.38,,,,,,
,,2022 - 2023,18.2,6.89,0.38,,,,,,
,8. Dharashiv,2000 - 2001,"10,700.00","3,000.00",0.28,,,,,,
,,2001 - 2002,"11,900.00","5,900.00",0.5,,,,,,
,,2002 - 2003,"12,700.00","3,000.00",0.24,,,,,,
,,2003 - 2004,"6,600.00","1,400.00",0.21,,,,,,
,,2004 - 2005,"6,900.00","3,100.00",0.45,,,,,,
,,2005 - 2006,"4,900.00","1,500.00",0.31,,,,,,
,,2006 - 2007,"5,600.00","1,600.00",0.29,,,,,,
,,2007 - 2008,"6,600.00","2,000.00",0.3,,,,,,
,,2008 - 2009,"6,800.00","1,300.00",0.19,,,,,,
,,2009 - 2010,"6,100.00","1,400.00",0.23,,,,,,
,,2010 - 2011,"6,500.00","1,300.00",0.2,,,,,,
,,2011 - 2012,"4,600.00","1,100.00",0.24,,,,,,
,,2012 - 2013,"3,900.00",700,0.18,,,,,,
,,2013 - 2014,"4,200.00","1,000.00",0.24,,,,,,
,,2014 - 2015,"4,900.00","1,100.00",0.22,,,,,,
,,2015 - 2016,"1,900.00",300,0.16,,,,,,
,,2016 - 2017,"3,400.00","1,100.00",0.32,,,,,,
,,2017 - 2018,"1,703.00",600,0.35,,,,,,
,,2018 - 2019,724,300,0.41,,,,,,
,,2019 - 2020,792,389,0.49,,,,,,
,,2020 - 2021,852.59,511.56,0.6,,,,,,
,,2021 - 2022,764.97,522.48,0.68,,,,,,
,,2022 - 2023,386.14,180.13,0.47,,,,,,
,9. Dhule,2015 - 2016,5,0.4,0.08,,,,,,
,10. Gadchiroli,2000 - 2001,"2,400.00",600,0.25,,,,,,
,,2001 - 2002,100,100,1,,,,,,
,,2002 - 2003,"1,500.00",300,0.2,,,,,,
,,2003 - 2004,"2,300.00",300,0.13,,,,,,
,,2004 - 2005,"1,700.00",100,0.06,,,,,,
,,2005 - 2006,"3,100.00",600,0.19,,,,,,
,,2006 - 2007,"3,000.00",500,0.17,,,,,,
,,2007 - 2008,"2,600.00",800,0.31,,,,,,
,,2008 - 2009,700,100,0.14,,,,,,
,,2009 - 2010,"1,800.00",600,0.33,,,,,,
,,2010 - 2011,"2,800.00",600,0.21,,,,,,
,,2011 - 2012,"2,100.00",600,0.29,,,,,,
,,2012 - 2013,"2,000.00",700,0.35,,,,,,
,,2014 - 2015,"1,800.00",500,0.28,,,,,,
,,2015 - 2016,"1,400.00",300,0.21,,,,,,
,,2016 - 2017,"1,400.00",300,0.21,,,,,,
,,2017 - 2018,"1,300.00",300,0.23,,,,,,
,,2018 - 2019,"1,078.00",300,0.28,,,,,,
,,2019 - 2020,404,266,0.66,,,,,,
,,2020 - 2021,867.48,191.8,0.22,,,,,,
,,2021 - 2022,671.64,180.94,0.27,,,,,,
,,2022 - 2023,833.89,190.54,0.23,,,,,,
,11. Gondia,2000 - 2001,"5,900.00",900,0.15,,,,,,
,,2001 - 2002,"6,200.00",900,0.15,,,,,,
,,2002 - 2003,"5,500.00",800,0.15,,,,,,
,,2003 - 2004,"5,900.00",900,0.15,,,,,,
,,2004 - 2005,"3,800.00",300,0.08,,,,,,
,,2005 - 2006,"11,500.00","2,000.00",0.17,,,,,,
,,2006 - 2007,"11,100.00","1,500.00",0.14,,,,,,
,,2007 - 2008,"11,300.00","1,700.00",0.15,,,,,,
,,2008 - 2009,"6,300.00",900,0.14,,,,,,
,,2009 - 2010,"6,600.00","1,200.00",0.18,,,,,,
,,2010 - 2011,"7,900.00","1,800.00",0.23,,,,,,
,,2011 - 2012,"8,600.00","1,500.00",0.17,,,,,,
,,2012 - 2013,"7,700.00","1,400.00",0.18,,,,,,
,,2014 - 2015,"6,100.00","1,000.00",0.16,,,,,,
,,2015 - 2016,"2,900.00",500,0.17,,,,,,
,,2016 - 2017,"2,600.00",500,0.19,,,,,,
,,2017 - 2018,"1,900.00",700,0.37,,,,,,
,,2018 - 2019,"1,688.00",400,0.24,,,,,,
,,2019 - 2020,"1,330.00",347,0.26,,,,,,
,,2020 - 2021,"2,283.07",453.43,0.2,,,,,,
,,2021 - 2022,"2,065.34",420.3,0.2,,,,,,
,,2022 - 2023,"1,550.03",116.56,0.08,,,,,,
,12. Hingoli,2000 - 2001,"1,300.00",400,0.31,,,,,,
,,2001 - 2002,"1,400.00",700,0.5,,,,,,
,,2002 - 2003,"1,500.00",400,0.27,,,,,,
,,2003 - 2004,700,100,0.14,,,,,,
,,2004 - 2005,700,300,0.43,,,,,,
,,2005 - 2006,800,200,0.25,,,,,,
,,2006 - 2007,700,200,0.29,,,,,,
,,2007 - 2008,500,200,0.4,,,,,,
,,2008 - 2009,400,100,0.25,,,,,,
,,2009 - 2010,400,100,0.25,,,,,,
,,2010 - 2011,500,100,0.2,,,,,,
,,2011 - 2012,300,100,0.33,,,,,,
,13. Jalgaon,2016 - 2017,40,20.4,0.51,,,,,,
,14. Jalna,2000 - 2001,"2,400.00",600,0.25,,,,,,
,,2001 - 2002,"1,700.00",400,0.24,,,,,,
,,2002 - 2003,"1,800.00",400,0.22,,,,,,
,,2003 - 2004,"2,200.00",500,0.23,,,,,,
,,2004 - 2005,"2,300.00",500,0.22,,,,,,
,,2005 - 2006,"2,000.00",600,0.3,,,,,,
,,2006 - 2007,"2,100.00",600,0.29,,,,,,
,,2007 - 2008,"1,600.00",500,0.31,,,,,,
,,2008 - 2009,"1,200.00",200,0.17,,,,,,
,,2009 - 2010,600,100,0.17,,,,,,
,,2010 - 2011,600,250,0.42,,,,,,
,,2011 - 2012,100,,0,,,,,,
,,2016 - 2017,10,3,0.3,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,
,,2020 - 2021,34,20.4,0.6,,,,,,
,15. Latur,2000 - 2001,"3,000.00",900,0.3,,,,,,
,,2001 - 2002,"3,000.00","1,500.00",0.5,,,,,,
,,2002 - 2003,"2,500.00",600,0.24,,,,,,
,,2003 - 2004,"1,300.00",300,0.23,,,,,,
,,2004 - 2005,400,200,0.5,,,,,,
,,2005 - 2006,400,100,0.25,,,,,,
,,2006 - 2007,400,100,0.25,,,,,,
,,2007 - 2008,300,100,0.33,,,,,,
,,2008 - 2009,500,100,0.2,,,,,,
,,2009 - 2010,400,100,0.25,,,,,,
,,2010 - 2011,900,200,0.22,,,,,,
,,2011 - 2012,900,200,0.22,,,,,,
,,2012 - 2013,"1,100.00",300,0.27,,,,,,
,,2013 - 2014,"1,000.00",300,0.3,,,,,,
,,2014 - 2015,500,,0,,,,,,
,,2015 - 2016,500,100,0.2,,,,,,
,,2016 - 2017,600,100,0.17,,,,,,
,,2017 - 2018,316,100,0.32,,,,,,
,,2018 - 2019,174,70,0.4,,,,,,
,,2019 - 2020,244,73,0.3,,,,,,
,,2020 - 2021,303.92,182.35,0.6,,,,,,
,,2021 - 2022,325.16,222.08,0.68,,,,,,
,,2022 - 2023,271.36,126.59,0.47,,,,,,
,16. Mumbai suburban,2019 - 2020,"1,046.00",232,0.22,,,,,,
,17. Nagpur,2000 - 2001,"6,800.00","1,700.00",0.25,,,,,,
,,2001 - 2002,"6,800.00","2,300.00",0.34,,,,,,
,,2002 - 2003,"2,100.00",500,0.24,,,,,,
,,2003 - 2004,"2,400.00","1,000.00",0.42,,,,,,
,,2004 - 2005,"1,700.00",500,0.29,,,,,,
,,2005 - 2006,"2,400.00",800,0.33,,,,,,
,,2006 - 2007,"2,200.00",400,0.18,,,,,,
,,2007 - 2008,"2,100.00",800,0.38,,,,,,
,,2008 - 2009,900,300,0.33,,,,,,
,,2009 - 2010,"1,100.00",100,0.09,,,,,,
,,2010 - 2011,"1,200.00",500,0.42,,,,,,
,,2011 - 2012,"1,300.00",700,0.54,,,,,,
,,2012 - 2013,800,300,0.38,,,,,,
,,2013 - 2014,500,200,0.4,,,,,,
,,2014 - 2015,100,100,1,,,,,,
,,2015 - 2016,100,20,0.2,,,,,,
,,2017 - 2018,12,,0,,,,,,
,,2018 - 2019,2,,0,,,,,,
,,2020 - 2021,8.84,3.32,0.38,,,,,,
,,2021 - 2022,8.84,4.42,0.5,,,,,,
,,2022 - 2023,120,74.11,0.62,,,,,,
,18. Nanded,2000 - 2001,400,100,0.25,,,,,,
,,2001 - 2002,500,100,0.2,,,,,,
,,2002 - 2003,400,100,0.25,,,,,,
,,2003 - 2004,400,100,0.25,,,,,,
,,2004 - 2005,400,200,0.5,,,,,,
,,2005 - 2006,400,100,0.25,,,,,,
,,2006 - 2007,400,100,0.25,,,,,,
,,2007 - 2008,300,100,0.33,,,,,,
,,2008 - 2009,100,100,1,,,,,,
,,2009 - 2010,100,,0,,,,,,
,,2015 - 2016,10,1,0.1,,,,,,
,,2016 - 2017,8,3,0.38,,,,,,
,,2017 - 2018,5,2,0.4,,,,,,
,,2018 - 2019,12,5,0.42,,,,,,
,,2019 - 2020,2,,0,,,,,,
,19. Nashik,2015 - 2016,2,0.1,0.05,,,,,,
,,2016 - 2017,3,1.5,0.5,,,,,,
,20. Parbhani,2000 - 2001,"1,000.00",300,0.3,,,,,,
,,2001 - 2002,"1,100.00",500,0.45,,,,,,
,,2002 - 2003,"1,400.00",300,0.21,,,,,,
,,2003 - 2004,"1,400.00",300,0.21,,,,,,
,,2004 - 2005,"1,500.00",700,0.47,,,,,,
,,2005 - 2006,"1,500.00",400,0.27,,,,,,
,,2006 - 2007,"1,700.00",500,0.29,,,,,,
,,2007 - 2008,"1,400.00",400,0.29,,,,,,
,,2008 - 2009,"1,000.00",200,0.2,,,,,,
,,2009 - 2010,"1,400.00",300,0.21,,,,,,
,,2010 - 2011,"1,400.00",300,0.21,,,,,,
,,2011 - 2012,"1,200.00",300,0.25,,,,,,
,,2012 - 2013,200,40,0.2,,,,,,
,,2013 - 2014,400,100,0.25,,,,,,
,,2015 - 2016,20,3,0.15,,,,,,
,,2016 - 2017,40,10,0.25,,,,,,
,,2017 - 2018,85,30,0.35,,,,,,
,,2018 - 2019,126,50,0.4,,,,,,
,,2019 - 2020,26,6,0.23,,,,,,
,,2020 - 2021,26,15.6,0.6,,,,,,
,,2021 - 2022,29.47,20.13,0.68,,,,,,
,,2022 - 2023,36.2,16.89,0.47,,,,,,
,21. Pune,2000 - 2001,200,100,0.5,,,,,,
,,2001 - 2002,200,100,0.5,,,,,,
,,2002 - 2003,100,100,1,,,,,,
,,2003 - 2004,400,100,0.25,,,,,,
,,2004 - 2005,200,100,0.5,,,,,,
,,2005 - 2006,100,100,1,,,,,,
,,2006 - 2007,200,100,0.5,,,,,,
,,2007 - 2008,100,100,1,,,,,,
,,2019 - 2020,2,,0,,,,,,
,22. Sangli,2016 - 2017,10,6,0.6,,,,,,
,,2019 - 2020,12,6,0.5,,,,,,
,,2020 - 2021,15,9,0.6,,,,,,
,23. Satara,2000 - 2001,400,100,0.25,,,,,,
,,2004 - 2005,100,0,0,,,,,,
,,2005 - 2006,200,100,0.5,,,,,,
,,2006 - 2007,100,100,1,,,,,,
,,2007 - 2008,100,100,1,,,,,,
,,2009 - 2010,100,,0,,,,,,
,,2010 - 2011,100,26,0.26,,,,,,
,,2011 - 2012,100,20,0.2,,,,,,
,24. Solapur,2000 - 2001,"1,100.00",300,0.27,,,,,,
,,2001 - 2002,"1,000.00",200,0.2,,,,,,
,,2002 - 2003,600,100,0.17,,,,,,
,,2003 - 2004,300,100,0.33,,,,,,
,,2004 - 2005,400,100,0.25,,,,,,
,,2005 - 2006,400,100,0.25,,,,,,
,,2006 - 2007,500,100,0.2,,,,,,
,,2007 - 2008,400,100,0.25,,,,,,
,,2008 - 2009,300,100,0.33,,,,,,
,,2009 - 2010,400,100,0.25,,,,,,
,,2010 - 2011,400,110,0.28,,,,,,
,,2011 - 2012,200,40,0.2,,,,,,
,,2012 - 2013,100,10,0.1,,,,,,
,,2013 - 2014,200,100,0.5,,,,,,
,,2014 - 2015,200,,0,,,,,,
,,2015 - 2016,100,10,0.1,,,,,,
,,2016 - 2017,30,20,0.67,,,,,,
,,2017 - 2018,80,28,0.35,,,,,,
,,2019 - 2020,183,53,0.29,,,,,,
,,2020 - 2021,216.2,129.72,0.6,,,,,,
,,2021 - 2022,191.39,180.39,0.94,,,,,,
,,2022 - 2023,24.94,9.41,0.38,,,,,,
,25. Wardha,2000 - 2001,600,200,0.33,,,,,,
,,2001 - 2002,400,100,0.25,,,,,,
,,2002 - 2003,300,100,0.33,,,,,,
,,2003 - 2004,200,100,0.5,,,,,,
,,2004 - 2005,100,100,1,,,,,,
,,2005 - 2006,100,100,1,,,,,,
,,2006 - 2007,100,100,1,,,,,,
,,2007 - 2008,100,100,1,,,,,,
,,2009 - 2010,100,,0,,,,,,
,,2010 - 2011,100,28,0.28,,,,,,
,,2021 - 2022,95.6,30.75,0.32,,,,,,
,,2022 - 2023,83,27.21,0.33,,,,,,
,26. Washim,2022 - 2023,81,37.79,0.47,,,,,,
,27. Yavatmal,2000 - 2001,700,100,0.14,,,,,,
,,2001 - 2002,600,100,0.17,,,,,,
,,2002 - 2003,400,100,0.25,,,,,,
,,2003 - 2004,300,100,0.33,,,,,,
,,2004 - 2005,100,0,0,,,,,,
,,2005 - 2006,200,100,0.5,,,,,,
,,2020 - 2021,16.7,10.02,0.6,,,,,,
,,2021 - 2022,16.7,5.37,0.32,,,,,,
12. Meghalaya,1. South west garo hills,2013 - 2014,13,7,0.54,,,,,,
,,2014 - 2015,13,7,0.54,,,,,,
,,2015 - 2016,13,8,0.62,,,,,,
,,2016 - 2017,13,8,0.62,,,,,,
,,2017 - 2018,13,8,0.62,,,,,,
,,2018 - 2019,13,8,0.62,,,,,,
,,2019 - 2020,13,8,0.62,,,,,,
,,2020 - 2021,13,8,0.62,,,,,,
,,2022 - 2023,13,8,0.62,,,,,,
,2. West garo hills,2000 - 2001,54,24,0.44,,,,,,
,,2004 - 2005,75,35,0.47,,,,,,
,,2005 - 2006,78,37,0.47,,,,,,
,,2006 - 2007,82,39,0.48,,,,,,
,,2007 - 2008,82,39,0.48,,,,,,
,,2008 - 2009,90,43,0.48,,,,,,
,,2009 - 2010,77,36,0.47,,,,,,
,,2010 - 2011,82,39,0.48,,,,,,
,,2011 - 2012,85,41,0.48,,,,,,
,,2012 - 2013,88,46,0.52,,,,,,
,,2013 - 2014,76,41,0.54,,,,,,
,,2014 - 2015,77,43,0.56,,,,,,
,,2015 - 2016,78,45,0.58,,,,,,
,,2016 - 2017,79,46,0.58,,,,,,
,,2017 - 2018,80,47,0.59,,,,,,
,,2018 - 2019,81,48,0.59,,,,,,
,,2019 - 2020,82,49,0.6,,,,,,
,,2020 - 2021,82,49,0.6,,,,,,
,,2022 - 2023,82,49,0.6,,,,,,
13. Nagaland,1. Chumoukedima,2022 - 2023,382,311,0.81,,,,,,
,2. Dimapur,2000 - 2001,"1,650.00",740,0.45,,,,,,
,,2001 - 2002,"8,000.00","5,000.00",0.63,,,,,,
,,2002 - 2003,"1,980.00","1,930.00",0.97,,,,,,
,,2003 - 2004,"2,910.00","2,070.00",0.71,,,,,,
,,2004 - 2005,"1,500.00","3,310.00",2.21,,,,,,
,,2005 - 2006,"2,110.00","3,190.00",1.51,,,,,,
,,2006 - 2007,"2,210.00","1,650.00",0.75,,,,,,
,,2007 - 2008,"1,900.00","1,860.00",0.98,,,,,,
,,2008 - 2009,"1,000.00",800,0.8,,,,,,
,,2009 - 2010,"1,700.00","1,190.00",0.7,,,,,,
,,2010 - 2011,"1,080.00",870,0.81,,,,,,
,,2011 - 2012,"1,100.00",900,0.82,,,,,,
,,2012 - 2013,"1,100.00",900,0.82,,,,,,
,,2014 - 2015,"1,110.00",910,0.82,,,,,,
,,2015 - 2016,"1,120.00",920,0.82,,,,,,
