State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2004 - 2005,,,,,,,,,,10,20,2
,,2007 - 2008,,,,,,,,,,30,48,1.6
,,2008 - 2009,,,,,,,,,,15,28,1.87
,,2010 - 2011,,,,,,,,,,21,45,2.14
,,2012 - 2013,,,,,,,,,,16,12,0.75
,,2013 - 2014,,,,,,,,,,17,27,1.59
,,2014 - 2015,,,,,,,,,,12,20,1.67
,,2015 - 2016,,,,,,,,,,21,34,1.62
,,2016 - 2017,,,,,,,,,,17,20,1.18
,,2019 - 2020,,,,,,,,,,17,23,1.35
,10. Ballia,2001 - 2002,,,,6,12,2,,,,,,
,,2002 - 2003,,,,3,5,1.67,,,,,,
,,2003 - 2004,,,,6,10,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,2,4,2
,,2005 - 2006,,,,,,,,,,7,9,1.29
,,2006 - 2007,,,,,,,,,,2,3,1.5
,,2007 - 2008,,,,,,,,,,11,18,1.64
,,2008 - 2009,,,,,,,,,,33,61,1.85
,,2009 - 2010,,,,,,,,,,56,123,2.2
,,2010 - 2011,,,,,,,,,,32,68,2.13
,,2011 - 2012,,,,,,,,,,25,43,1.72
,,2012 - 2013,,,,,,,,,,37,29,0.78
,,2013 - 2014,,,,,,,,,,25,40,1.6
,,2014 - 2015,,,,,,,,,,60,103,1.72
,,2015 - 2016,,,,,,,,,,73,117,1.6
,,2016 - 2017,,,,,,,,,,54,63,1.17
,,2018 - 2019,,,,,,,,,,25,34,1.36
,,2019 - 2020,,,,,,,,,,7,10,1.43
,,2020 - 2021,,,,,,,,,,25,34,1.36
,,2021 - 2022,,,,,,,,,,25,34,1.36
,,2022 - 2023,,,,,,,,,,6,8,1.33
,11. Balrampur,2013 - 2014,,,,,,,,,,31,50,1.61
,,2014 - 2015,,,,,,,,,,19,33,1.74
,,2015 - 2016,,,,,,,,,,19,30,1.58
,,2016 - 2017,,,,,,,,,,31,36,1.16
,,2019 - 2020,,,,,,,,,,31,43,1.39
,,2022 - 2023,,,,,,,,,,25,34,1.36
,12. Banda,2003 - 2004,,,,19,32,1.68,,,,,,
,,2009 - 2010,,,,,,,,,,1,2,2
,,2012 - 2013,,,,,,,,,,7,5,0.71
,,2013 - 2014,,,,,,,,,,2,3,1.5
,,2019 - 2020,,,,,,,,,,2,3,1.5
,13. Barabanki,2001 - 2002,,,,7,8,1.14,,,,,,
,,2002 - 2003,,,,1,1,1,,,,,,
,,2003 - 2004,,,,2,3,1.5,,,,,,
,,2004 - 2005,,,,,,,,,,14,27,1.93
,,2005 - 2006,,,,,,,,,,2,3,1.5
,,2006 - 2007,,,,,,,,,,1,1,1
,,2007 - 2008,,,,,,,,,,44,71,1.61
,,2008 - 2009,,,,,,,,,,2,4,2
,,2010 - 2011,,,,,,,,,,7,15,2.14
,,2011 - 2012,,,,,,,,,,7,12,1.71
,,2013 - 2014,,,,,,,,,,6,10,1.67
,,2014 - 2015,,,,,,,,,,30,51,1.7
,,2015 - 2016,,,,,,,,,,4,6,1.5
,,2016 - 2017,,,,,,,,,,9,11,1.22
,,2018 - 2019,,,,,,,,,,6,8,1.33
,,2021 - 2022,,,,,,,,,,7,9,1.29
,14. Bareilly,2001 - 2002,,,,150,289,1.93,,,,,,
,,2002 - 2003,,,,256,368,1.44,,,,,,
,,2003 - 2004,,,,525,889,1.69,,,,,,
,,2004 - 2005,,,,,,,,,,305,599,1.96
,,2005 - 2006,,,,,,,,,,546,661,1.21
,,2006 - 2007,,,,,,,,,,351,532,1.52
,,2007 - 2008,,,,,,,,,,95,267,2.81
,,2008 - 2009,,,,,,,,,,170,317,1.86
,,2009 - 2010,,,,,,,,,,142,313,2.2
,,2010 - 2011,,,,,,,,,,72,153,2.13
,,2011 - 2012,,,,,,,,,,85,145,1.71
,,2012 - 2013,,,,,,,,,,85,66,0.78
,,2013 - 2014,,,,,,,,,,46,74,1.61
,,2014 - 2015,,,,,,,,,,1,2,2
,,2015 - 2016,,,,,,,,,,12,19,1.58
,,2016 - 2017,,,,,,,,,,18,21,1.17
,,2017 - 2018,,,,,,,,,,17,25,1.47
,,2019 - 2020,,,,,,,,,,1,1,1
,,2020 - 2021,,,,,,,,,,17,23,1.35
,,2021 - 2022,,,,,,,,,,17,23,1.35
,15. Basti,2004 - 2005,,,,,,,,,,1,2,2
,,2007 - 2008,,,,,,,,,,33,54,1.64
,,2008 - 2009,,,,,,,,,,33,61,1.85
,,2009 - 2010,,,,,,,,,,35,77,2.2
,,2010 - 2011,,,,,,,,,,3,6,2
,,2011 - 2012,,,,,,,,,,33,56,1.7
,,2012 - 2013,,,,,,,,,,35,27,0.77
,,2015 - 2016,,,,,,,,,,26,42,1.62
,,2022 - 2023,,,,,,,,,,13,18,1.38
,16. Bijnor,2001 - 2002,,,,1,1,1,,,,,,
,,2002 - 2003,,,,6,6,1,,,,,,
,,2003 - 2004,,,,7,12,1.71,,,,,,
,,2004 - 2005,,,,,,,,,,14,25,1.79
,,2005 - 2006,,,,,,,,,,8,12,1.5
,,2008 - 2009,,,,,,,,,,1,2,2
,,2009 - 2010,,,,,,,,,,1,1,1
,,2020 - 2021,,,,,,,,,,54,74,1.37
,17. Budaun,2001 - 2002,,,,42,81,1.93,,,,,,
,,2002 - 2003,,,,33,47,1.42,,,,,,
,,2003 - 2004,,,,121,205,1.69,,,,,,
,,2004 - 2005,,,,,,,,,,129,254,1.97
,,2005 - 2006,,,,,,,,,,355,430,1.21
,,2006 - 2007,,,,,,,,,,127,193,1.52
,,2007 - 2008,,,,,,,,,,7,20,2.86
,,2009 - 2010,,,,,,,,,,11,24,2.18
,,2010 - 2011,,,,,,,,,,2,4,2
,,2012 - 2013,,,,,,,,,,2,2,1
,,2013 - 2014,,,,,,,,,,25,40,1.6
,,2015 - 2016,,,,,,,,,,4,6,1.5
,,2016 - 2017,,,,,,,,,,38,45,1.18
,,2017 - 2018,,,,,,,,,,38,55,1.45
,,2018 - 2019,,,,,,,,,,38,52,1.37
,,2020 - 2021,,,,,,,,,,38,52,1.37
,,2021 - 2022,,,,,,,,,,38,51,1.34
,,2022 - 2023,,,,,,,,,,557,760,1.36
,18. Bulandshahr,2001 - 2002,,,,13,25,1.92,,,,,,
,,2002 - 2003,,,,57,82,1.44,,,,,,
,,2003 - 2004,,,,63,105,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,87,171,1.97
,,2005 - 2006,,,,,,,,,,176,225,1.28
,,2006 - 2007,,,,,,,,,,47,71,1.51
,,2007 - 2008,,,,,,,,,,20,33,1.65
,,2008 - 2009,,,,,,,,,,65,121,1.86
,,2009 - 2010,,,,,,,,,,3,7,2.33
,,2010 - 2011,,,,,,,,,,19,41,2.16
,,2011 - 2012,,,,,,,,,,8,14,1.75
,,2012 - 2013,,,,,,,,,,23,18,0.78
,,2013 - 2014,,,,,,,,,,2,3,1.5
,,2018 - 2019,,,,,,,,,,3,4,1.33
,,2019 - 2020,,,,,,,,,,2,3,1.5
,,2020 - 2021,,,,,,,,,,2,3,1.5
,,2021 - 2022,,,,,,,,,,2,3,1.5
,,2022 - 2023,,,,,,,,,,2,3,1.5
,19. Chandauli,2003 - 2004,,,,1,2,2,,,,,,
,,2004 - 2005,,,,,,,,,,2,4,2
,,2006 - 2007,,,,,,,,,,1,1,1
,,2012 - 2013,,,,,,,,,,6,5,0.83
,,2020 - 2021,,,,,,,,,,3,4,1.33
,,2021 - 2022,,,,,,,,,,2,3,1.5
,20. Chitrakoot,2004 - 2005,,,,,,,,,,1,2,2
,,2006 - 2007,,,,,,,,,,1,1,1
,21. Deoria,2001 - 2002,,,,3,6,2,,,,,,
,,2002 - 2003,,,,1,1,1,,,,,,
,,2003 - 2004,,,,2,3,1.5,,,,,,
,22. Etah,2001 - 2002,,,,154,176,1.14,,,,,,
,,2002 - 2003,,,,114,164,1.44,,,,,,
,,2003 - 2004,,,,804,"1,362.00",1.69,,,,,,
,,2004 - 2005,,,,,,,,,,336,660,1.96
,,2005 - 2006,,,,,,,,,,952,"1,152.00",1.21
,,2006 - 2007,,,,,,,,,,161,241,1.5
,,2007 - 2008,,,,,,,,,,311,876,2.82
,,2008 - 2009,,,,,,,,,,223,395,1.77
,,2009 - 2010,,,,,,,,,,133,292,2.2
,,2010 - 2011,,,,,,,,,,95,145,1.53
,,2011 - 2012,,,,,,,,,,23,39,1.7
,,2012 - 2013,,,,,,,,,,216,169,0.78
,23. Etawah,2001 - 2002,,,,31,73,2.35,,,,,,
,,2002 - 2003,,,,7,13,1.86,,,,,,
,,2004 - 2005,,,,,,,,,,9,18,2
,,2005 - 2006,,,,,,,,,,1,1,1
,,2006 - 2007,,,,,,,,,,4,5,1.25
,,2008 - 2009,,,,,,,,,,18,33,1.83
,,2009 - 2010,,,,,,,,,,9,20,2.22
,,2010 - 2011,,,,,,,,,,14,31,2.21
,,2011 - 2012,,,,,,,,,,1,2,2
,,2013 - 2014,,,,,,,,,,9,14,1.56
,,2014 - 2015,,,,,,,,,,17,28,1.65
,,2015 - 2016,,,,,,,,,,24,38,1.58
,,2016 - 2017,,,,,,,,,,4,5,1.25
,,2017 - 2018,,,,,,,,,,9,13,1.44
,,2018 - 2019,,,,,,,,,,6,8,1.33
,,2019 - 2020,,,,,,,,,,13,18,1.38
,,2020 - 2021,,,,,,,,,,9,12,1.33
,,2021 - 2022,,,,,,,,,,3,4,1.33
,24. Faizabad,2001 - 2002,,,,5,6,1.2,,,,,,
,,2002 - 2003,,,,5,5,1,,,,,,
,,2003 - 2004,,,,6,10,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,7,14,2
,,2005 - 2006,,,,,,,,,,5,6,1.2
,,2007 - 2008,,,,,,,,,,6,10,1.67
,,2008 - 2009,,,,,,,,,,5,9,1.8
,,2011 - 2012,,,,,,,,,,56,95,1.7
,,2012 - 2013,,,,,,,,,,19,15,0.79
,,2015 - 2016,,,,,,,,,,43,69,1.6
,,2020 - 2021,,,,,,,,,,5,7,1.4
,,2022 - 2023,,,,,,,,,,10,15,1.5
,25. Farrukhabad,2001 - 2002,,,,943,"1,994.00",2.11,,,,,,
,,2002 - 2003,,,,958,"1,848.00",1.93,,,,,,
,,2003 - 2004,,,,"1,307.00","2,164.00",1.66,,,,,,
,,2004 - 2005,,,,,,,,,,"2,661.00","5,199.00",1.95
,,2005 - 2006,,,,,,,,,,"1,391.00","1,895.00",1.36
,,2006 - 2007,,,,,,,,,,"2,248.00","3,592.00",1.6
,,2007 - 2008,,,,,,,,,,"2,679.00","4,463.00",1.67
,,2008 - 2009,,,,,,,,,,"2,152.00","3,482.00",1.62
,,2009 - 2010,,,,,,,,,,"2,572.00","7,490.00",2.91
,,2010 - 2011,,,,,,,,,,"1,459.00","3,793.00",2.6
,,2011 - 2012,,,,,,,,,,"1,459.00","2,489.00",1.71
,,2012 - 2013,,,,,,,,,,701,543,0.77
,,2013 - 2014,,,,,,,,,,10,16,1.6
,,2016 - 2017,,,,,,,,,,41,48,1.17
,,2017 - 2018,,,,,,,,,,139,200,1.44
,,2018 - 2019,,,,,,,,,,108,147,1.36
,,2019 - 2020,,,,,,,,,,103,143,1.39
,,2020 - 2021,,,,,,,,,,144,198,1.38
,,2021 - 2022,,,,,,,,,,126,173,1.37
,,2022 - 2023,,,,,,,,,,96,131,1.36
,26. Fatehpur,2001 - 2002,,,,45,87,1.93,,,,,,
,,2002 - 2003,,,,11,16,1.45,,,,,,
,,2003 - 2004,,,,5,8,1.6,,,,,,
,,2004 - 2005,,,,,,,,,,10,20,2
,,2005 - 2006,,,,,,,,,,24,30,1.25
,,2006 - 2007,,,,,,,,,,6,9,1.5
,,2007 - 2008,,,,,,,,,,30,49,1.63
,,2008 - 2009,,,,,,,,,,7,13,1.86
,,2009 - 2010,,,,,,,,,,22,48,2.18
,,2011 - 2012,,,,,,,,,,2,3,1.5
,,2012 - 2013,,,,,,,,,,3,2,0.67
,,2013 - 2014,,,,,,,,,,3,5,1.67
,,2014 - 2015,,,,,,,,,,37,63,1.7
,,2016 - 2017,,,,,,,,,,2,2,1
,,2017 - 2018,,,,,,,,,,2,3,1.5
,,2019 - 2020,,,,,,,,,,3,4,1.33
,,2020 - 2021,,,,,,,,,,1,1,1
,27. Firozabad,2001 - 2002,,,,33,38,1.15,,,,,,
,,2002 - 2003,,,,5,7,1.4,,,,,,
,,2003 - 2004,,,,23,39,1.7,,,,,,
,,2004 - 2005,,,,,,,,,,138,271,1.96
,,2005 - 2006,,,,,,,,,,136,164,1.21
,,2006 - 2007,,,,,,,,,,137,205,1.5
,,2007 - 2008,,,,,,,,,,85,239,2.81
,,2008 - 2009,,,,,,,,,,86,152,1.77
,,2009 - 2010,,,,,,,,,,124,272,2.19
,,2010 - 2011,,,,,,,,,,85,181,2.13
,,2011 - 2012,,,,,,,,,,39,67,1.72
,,2012 - 2013,,,,,,,,,,96,75,0.78
,,2013 - 2014,,,,,,,,,,258,413,1.6
,,2014 - 2015,,,,,,,,,,314,537,1.71
,,2015 - 2016,,,,,,,,,,292,469,1.61
,,2016 - 2017,,,,,,,,,,258,304,1.18
,,2017 - 2018,,,,,,,,,,303,437,1.44
,,2020 - 2021,,,,,,,,,,258,354,1.37
,,2021 - 2022,,,,,,,,,,259,348,1.34
,,2022 - 2023,,,,,,,,,,142,194,1.37
,28. Gautam buddha nagar,2001 - 2002,,,,17,33,1.94,,,,,,
,,2002 - 2003,,,,14,20,1.43,,,,,,
,,2003 - 2004,,,,6,10,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,10,19,1.9
,,2008 - 2009,,,,,,,,,,7,13,1.86
,29. Ghaziabad,2001 - 2002,,,,2,4,2,,,,,,
,,2002 - 2003,,,,11,16,1.45,,,,,,
,,2003 - 2004,,,,1,2,2,,,,,,
,,2004 - 2005,,,,,,,,,,3,6,2
,,2006 - 2007,,,,,,,,,,3,4,1.33
,,2009 - 2010,,,,,,,,,,2,4,2
,,2010 - 2011,,,,,,,,,,1,2,2
,30. Ghazipur,2001 - 2002,,,,11,21,1.91,,,,,,
,,2002 - 2003,,,,9,13,1.44,,,,,,
,,2003 - 2004,,,,10,16,1.6,,,,,,
,,2004 - 2005,,,,,,,,,,7,14,2
,,2005 - 2006,,,,,,,,,,15,19,1.27
,,2006 - 2007,,,,,,,,,,16,24,1.5
,,2007 - 2008,,,,,,,,,,15,24,1.6
,,2008 - 2009,,,,,,,,,,9,17,1.89
,,2009 - 2010,,,,,,,,,,5,11,2.2
,,2010 - 2011,,,,,,,,,,25,53,2.12
,,2011 - 2012,,,,,,,,,,23,39,1.7
,,2012 - 2013,,,,,,,,,,23,18,0.78
,,2013 - 2014,,,,,,,,,,23,37,1.61
,,2014 - 2015,,,,,,,,,,30,52,1.73
,,2015 - 2016,,,,,,,,,,23,37,1.61
,,2016 - 2017,,,,,,,,,,14,17,1.21
,,2017 - 2018,,,,,,,,,,27,39,1.44
,,2018 - 2019,,,,,,,,,,16,22,1.38
,,2019 - 2020,,,,,,,,,,40,55,1.38
,,2020 - 2021,,,,,,,,,,26,36,1.38
,,2021 - 2022,,,,,,,,,,24,32,1.33
,,2022 - 2023,,,,,,,,,,7,10,1.43
,31. Gonda,2002 - 2003,,,,1,2,2,,,,,,
,,2003 - 2004,,,,8,13,1.63,,,,,,
,,2004 - 2005,,,,,,,,,,1,2,2
,,2005 - 2006,,,,,,,,,,2,3,1.5
,,2007 - 2008,,,,,,,,,,9,15,1.67
,,2014 - 2015,,,,,,,,,,9,15,1.67
,,2021 - 2022,,,,,,,,,,2,3,1.5
,,2022 - 2023,,,,,,,,,,1,1,1
,32. Gorakhpur,2001 - 2002,,,,117,225,1.92,,,,,,
,,2002 - 2003,,,,26,38,1.46,,,,,,
,,2003 - 2004,,,,86,144,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,1,2,2
,,2005 - 2006,,,,,,,,,,41,52,1.27
,,2007 - 2008,,,,,,,,,,3,5,1.67
,,2009 - 2010,,,,,,,,,,13,29,2.23
,,2013 - 2014,,,,,,,,,,66,106,1.61
,,2015 - 2016,,,,,,,,,,276,444,1.61
,,2016 - 2017,,,,,,,,,,66,78,1.18
,,2019 - 2020,,,,,,,,,,66,91,1.38
,,2022 - 2023,,,,,,,,,,22,30,1.36
,33. Hamirpur,2001 - 2002,,,,4,8,2,,,,,,
,,2003 - 2004,,,,15,25,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,1,2,2
,,2015 - 2016,,,,,,,,,,1,2,2
,,2016 - 2017,,,,,,,,,,2,2,1
,,2019 - 2020,,,,,,,,,,2,3,1.5
,34. Hardoi,2001 - 2002,,,,129,249,1.93,,,,,,
,,2002 - 2003,,,,78,112,1.44,,,,,,
,,2003 - 2004,,,,365,609,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,924,"1,816.00",1.97
,,2005 - 2006,,,,,,,,,,465,563,1.21
,,2006 - 2007,,,,,,,,,,966,"1,466.00",1.52
,,2007 - 2008,,,,,,,,,,605,"1,704.00",2.82
,,2008 - 2009,,,,,,,,,,279,555,1.99
,,2009 - 2010,,,,,,,,,,228,524,2.3
,,2010 - 2011,,,,,,,,,,282,595,2.11
,,2011 - 2012,,,,,,,,,,70,120,1.71
,,2012 - 2013,,,,,,,,,,133,104,0.78
,,2013 - 2014,,,,,,,,,,483,773,1.6
,,2015 - 2016,,,,,,,,,,76,123,1.62
,,2016 - 2017,,,,,,,,,,918,"1,077.00",1.17
,,2017 - 2018,,,,,,,,,,493,713,1.45
,,2018 - 2019,,,,,,,,,,544,743,1.37
,,2019 - 2020,,,,,,,,,,416,575,1.38
,,2020 - 2021,,,,,,,,,,624,856,1.37
,,2021 - 2022,,,,,,,,,,828,"1,111.00",1.34
,,2022 - 2023,,,,,,,,,,1,1,1
,35. Hathras,2001 - 2002,,,,51,58,1.14,,,,,,
,,2002 - 2003,,,,24,34,1.42,,,,,,
,,2003 - 2004,,,,132,224,1.7,,,,,,
,,2004 - 2005,,,,,,,,,,380,747,1.97
,,2005 - 2006,,,,,,,,,,108,131,1.21
,,2006 - 2007,,,,,,,,,,373,558,1.5
,,2007 - 2008,,,,,,,,,,54,152,2.81
,,2008 - 2009,,,,,,,,,,33,58,1.76
,,2009 - 2010,,,,,,,,,,31,68,2.19
,,2010 - 2011,,,,,,,,,,12,18,1.5
,,2011 - 2012,,,,,,,,,,16,28,1.75
,,2012 - 2013,,,,,,,,,,16,12,0.75
,,2014 - 2015,,,,,,,,,,3,5,1.67
,,2016 - 2017,,,,,,,,,,9,11,1.22
,,2019 - 2020,,,,,,,,,,9,12,1.33
,,2020 - 2021,,,,,,,,,,27,37,1.37
,,2021 - 2022,,,,,,,,,,9,12,1.33
,36. Jalaun,2001 - 2002,,,,14,27,1.93,,,,,,
,,2002 - 2003,,,,1,1,1,,,,,,
,,2003 - 2004,,,,8,13,1.63,,,,,,
,,2004 - 2005,,,,,,,,,,4,8,2
,,2008 - 2009,,,,,,,,,,1,2,2
,,2009 - 2010,,,,,,,,,,1,2,2
,,2014 - 2015,,,,,,,,,,2,3,1.5
,37. Jaunpur,2001 - 2002,,,,53,103,1.94,,,,,,
,,2002 - 2003,,,,31,44,1.42,,,,,,
,,2003 - 2004,,,,3,5,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,5,10,2
,,2006 - 2007,,,,,,,,,,24,36,1.5
,,2007 - 2008,,,,,,,,,,1,2,2
,,2008 - 2009,,,,,,,,,,11,20,1.82
,,2009 - 2010,,,,,,,,,,19,42,2.21
,,2010 - 2011,,,,,,,,,,12,26,2.17
,,2011 - 2012,,,,,,,,,,9,16,1.78
,,2013 - 2014,,,,,,,,,,18,29,1.61
,,2014 - 2015,,,,,,,,,,13,22,1.69
,,2015 - 2016,,,,,,,,,,22,35,1.59
,,2016 - 2017,,,,,,,,,,70,82,1.17
,,2017 - 2018,,,,,,,,,,5,7,1.4
,,2018 - 2019,,,,,,,,,,7,10,1.43
,,2019 - 2020,,,,,,,,,,16,22,1.38
,,2020 - 2021,,,,,,,,,,5,7,1.4
,,2021 - 2022,,,,,,,,,,6,8,1.33
,,2022 - 2023,,,,,,,,,,1,1,1
,38. Jhansi,2004 - 2005,,,,,,,,,,12,23,1.92
,,2009 - 2010,,,,,,,,,,9,20,2.22
,,2010 - 2011,,,,,,,,,,22,47,2.14
,,2013 - 2014,,,,,,,,,,93,149,1.6
,,2014 - 2015,,,,,,,,,,148,253,1.71
,,2015 - 2016,,,,,,,,,,74,119,1.61
,,2016 - 2017,,,,,,,,,,93,109,1.17
,,2019 - 2020,,,,,,,,,,97,134,1.38
,39. Kannauj,2001 - 2002,,,,507,649,1.28,,,,,,
,,2002 - 2003,,,,"2,734.00","3,497.00",1.28,,,,,,
,,2003 - 2004,,,,"3,848.00","6,372.00",1.66,,,,,,
,,2004 - 2005,,,,,,,,,,"4,131.00","8,469.00",2.05
,,2005 - 2006,,,,,,,,,,"4,300.00","5,229.00",1.22
,,2006 - 2007,,,,,,,,,,"5,118.00","6,980.00",1.36
,,2007 - 2008,,,,,,,,,,"3,684.00","4,413.00",1.2
,,2008 - 2009,,,,,,,,,,"3,083.00","4,051.00",1.31
,,2009 - 2010,,,,,,,,,,"1,429.00","2,071.00",1.45
,,2010 - 2011,,,,,,,,,,672,919,1.37
,,2011 - 2012,,,,,,,,,,553,943,1.71
,,2013 - 2014,,,,,,,,,,"1,205.00","1,933.00",1.6
,,2014 - 2015,,,,,,,,,,926,"1,496.00",1.62
,,2015 - 2016,,,,,,,,,,404,650,1.61
,,2016 - 2017,,,,,,,,,,"1,100.00","1,295.00",1.18
,,2017 - 2018,,,,,,,,,,758,"1,093.00",1.44
,,2019 - 2020,,,,,,,,,,"2,121.00","2,931.00",1.38
,,2020 - 2021,,,,,,,,,,"2,121.00","2,910.00",1.37
,,2021 - 2022,,,,,,,,,,"2,121.00","2,846.00",1.34
,,2022 - 2023,,,,,,,,,,16,22,1.38
,40. Kanpur dehat,2003 - 2004,,,,16,27,1.69,,,,,,
,,2004 - 2005,,,,,,,,,,31,61,1.97
,,2005 - 2006,,,,,,,,,,18,25,1.39
,,2006 - 2007,,,,,,,,,,157,214,1.36
,,2007 - 2008,,,,,,,,,,36,42,1.17
,,2008 - 2009,,,,,,,,,,58,106,1.83
,,2009 - 2010,,,,,,,,,,21,47,2.24
,,2011 - 2012,,,,,,,,,,29,50,1.72
,,2012 - 2013,,,,,,,,,,105,82,0.78
,,2013 - 2014,,,,,,,,,,38,61,1.61
,,2015 - 2016,,,,,,,,,,23,37,1.61
,,2016 - 2017,,,,,,,,,,28,33,1.18
,,2017 - 2018,,,,,,,,,,22,32,1.45
,,2020 - 2021,,,,,,,,,,31,43,1.39
,,2021 - 2022,,,,,,,,,,28,38,1.36
,41. Kanpur nagar,2001 - 2002,,,,"1,271.00","3,751.00",2.95,,,,,,
,,2002 - 2003,,,,966,"1,864.00",1.93,,,,,,
,,2003 - 2004,,,,"1,721.00","2,850.00",1.66,,,,,,
,,2004 - 2005,,,,,,,,,,"1,697.00","3,316.00",1.95
,,2005 - 2006,,,,,,,,,,"1,718.00","2,280.00",1.33
,,2006 - 2007,,,,,,,,,,518,"1,086.00",2.1
,,2007 - 2008,,,,,,,,,,"2,644.00","1,391.00",0.53
,,2008 - 2009,,,,,,,,,,"1,161.00","4,334.00",3.73
,,2009 - 2010,,,,,,,,,,884,"1,554.00",1.76
,,2010 - 2011,,,,,,,,,,181,318,1.76
,,2011 - 2012,,,,,,,,,,303,517,1.71
,,2012 - 2013,,,,,,,,,,329,255,0.78
,,2013 - 2014,,,,,,,,,,210,337,1.6
,,2014 - 2015,,,,,,,,,,148,239,1.61
,,2015 - 2016,,,,,,,,,,136,219,1.61
,,2016 - 2017,,,,,,,,,,64,75,1.17
,,2018 - 2019,,,,,,,,,,128,175,1.37
,,2020 - 2021,,,,,,,,,,102,140,1.37
,,2021 - 2022,,,,,,,,,,102,137,1.34
,42. Kasganj,2009 - 2010,,,,,,,,,,104,229,2.2
,,2010 - 2011,,,,,,,,,,30,46,1.53
,,2011 - 2012,,,,,,,,,,7,12,1.71
,,2012 - 2013,,,,,,,,,,25,20,0.8
,,2013 - 2014,,,,,,,,,,4,6,1.5
,,2014 - 2015,,,,,,,,,,1,1,1
,,2017 - 2018,,,,,,,,,,7,10,1.43
,,2019 - 2020,,,,,,,,,,9,12,1.33
,,2021 - 2022,,,,,,,,,,7,9,1.29
,,2022 - 2023,,,,,,,,,,31,42,1.35
,43. Kaushambi,2002 - 2003,,,,1,1,1,,,,,,
,,2003 - 2004,,,,1,2,2,,,,,,
,,2004 - 2005,,,,,,,,,,1,2,2
,,2005 - 2006,,,,,,,,,,2,3,1.5
,,2006 - 2007,,,,,,,,,,1,1,1
,,2007 - 2008,,,,,,,,,,2,3,1.5
,,2008 - 2009,,,,,,,,,,5,9,1.8
,,2009 - 2010,,,,,,,,,,4,9,2.25
,,2010 - 2011,,,,,,,,,,4,9,2.25
,,2011 - 2012,,,,,,,,,,4,7,1.75
,,2012 - 2013,,,,,,,,,,7,6,0.86
,,2015 - 2016,,,,,,,,,,1,2,2
,,2016 - 2017,,,,,,,,,,5,6,1.2
,,2018 - 2019,,,,,,,,,,6,8,1.33
,,2021 - 2022,,,,,,,,,,5,7,1.4
,44. Kheri,2001 - 2002,,,,11,21,1.91,,,,,,
,,2003 - 2004,,,,4,7,1.75,,,,,,
,,2004 - 2005,,,,,,,,,,166,326,1.96
,,2005 - 2006,,,,,,,,,,4,5,1.25
,,2006 - 2007,,,,,,,,,,6,9,1.5
,,2008 - 2009,,,,,,,,,,3,6,2
,,2012 - 2013,,,,,,,,,,1,1,1
,,2014 - 2015,,,,,,,,,,142,297,2.09
,,2015 - 2016,,,,,,,,,,4,6,1.5
,,2022 - 2023,,,,,,,,,,69,94,1.36
,45. Kushi nagar,2002 - 2003,,,,3,4,1.33,,,,,,
,,2003 - 2004,,,,3,5,1.67,,,,,,
,,2007 - 2008,,,,,,,,,,48,77,1.6
,,2010 - 2011,,,,,,,,,,1,2,2
,,2012 - 2013,,,,,,,,,,1,1,1
,,2013 - 2014,,,,,,,,,,1,1,1
,,2014 - 2015,,,,,,,,,,1,2,2
,,2016 - 2017,,,,,,,,,,2,2,1
,,2019 - 2020,,,,,,,,,,2,3,1.5
,46. Lalitpur,2001 - 2002,,,,40,77,1.93,,,,,,
,,2002 - 2003,,,,8,12,1.5,,,,,,
,,2003 - 2004,,,,9,15,1.67,,,,,,
,,2004 - 2005,,,,,,,,,,6,12,2
,,2005 - 2006,,,,,,,,,,3,4,1.33
,,2013 - 2014,,,,,,,,,,161,258,1.6
,,2014 - 2015,,,,,,,,,,5,9,1.8
,,2015 - 2016,,,,,,,,,,116,187,1.61
,,2016 - 2017,,,,,,,,,,49,58,1.18
,,2017 - 2018,,,,,,,,,,3,4,1.33
,,2019 - 2020,,,,,,,,,,52,72,1.38
,,2020 - 2021,,,,,,,,,,3,4,1.33
,,2021 - 2022,,,,,,,,,,3,4,1.33
,47. Lucknow,2001 - 2002,,,,6,11,1.83,,,,,,
,,2002 - 2003,,,,2,3,1.5,,,,,,
,,2003 - 2004,,,,7,12,1.71,,,,,,
,,2004 - 2005,,,,,,,,,,27,53,1.96
,,2005 - 2006,,,,,,,,,,1,1,1
,,2006 - 2007,,,,,,,,,,1,2,2
,,2015 - 2016,,,,,,,,,,1,2,2
,48. Maharajganj,2001 - 2002,,,,19,37,1.95,,,,,,
,,2002 - 2003,,,,4,6,1.5,,,,,,
