State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,"2,912.00","3,302.00",1.13,,,,,,,,,
,,2015 - 2016,"2,836.00","3,213.00",1.13,,,,,,,,,
,,2016 - 2017,"2,548.00","2,892.00",1.14,,,,,,,,,
,,2017 - 2018,"3,299.00","3,741.00",1.13,,,,,,,,,
,,2018 - 2019,"2,651.00","3,006.00",1.13,,,,,,,,,
,,2019 - 2020,"2,721.00","3,086.00",1.13,,,,,,,,,
,,2020 - 2021,"3,264.00","3,701.00",1.13,,,,,,,,,
,,2021 - 2022,"1,788.00","2,038.00",1.14,,,,,,,,,
,,2022 - 2023,"1,859.00","2,119.00",1.14,,,,,,,,,
,8. Darbhanga,2002 - 2003,49,51,1.04,,,,,,,,,
,9. Gaya,2003 - 2004,55,57,1.04,,,,,,,,,
,,2005 - 2006,6,6,1,,,,,,,,,
,,2006 - 2007,32,34,1.06,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,,2011 - 2012,2,2,1,,,,,,,,,
,,2012 - 2013,18,21,1.17,,,,,,,,,
,,2014 - 2015,14,16,1.14,,,,,,,,,
,10. Gopalganj,2000 - 2001,27,13,0.48,,,,,,,,,
,,2001 - 2002,5,4,0.8,,,,,,,,,
,,2002 - 2003,5,4,0.8,,,,,,,,,
,,2003 - 2004,76,79,1.04,,,,,,,,,
,,2004 - 2005,100,108,1.08,,,,,,,,,
,,2006 - 2007,28,30,1.07,,,,,,,,,
,,2007 - 2008,97,107,1.1,,,,,,,,,
,,2008 - 2009,94,113,1.2,,,,,,,,,
,,2009 - 2010,96,107,1.11,,,,,,,,,
,,2010 - 2011,14,16,1.14,,,,,,,,,
,,2011 - 2012,11,12,1.09,,,,,,,,,
,,2012 - 2013,40,46,1.15,,,,,,,,,
