State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,"10,438.00","19,352.00",1.85,,,,,,,,,
,,2022 - 2023,"12,613.00","16,359.00",1.3,,,,,,,,,
,46. Kheri,2000 - 2001,228,179,0.79,,,,,,,,,
,,2001 - 2002,410,340,0.83,,,,,,,,,
,,2002 - 2003,396,289,0.73,,,,,,,,,
,,2003 - 2004,434,345,0.79,,,,,,,,,
,,2004 - 2005,353,370,1.05,,,,,,,,,
,,2005 - 2006,466,376,0.81,,,,,,,,,
,,2006 - 2007,336,494,1.47,,,,,,,,,
,,2007 - 2008,855,746,0.87,,,,,,,,,
,,2008 - 2009,346,363,1.05,,,,,,,,,
,,2009 - 2010,311,253,0.81,,,,,,,,,
,,2010 - 2011,115,135,1.17,,,,,,,,,
,,2011 - 2012,493,535,1.09,,,,,,,,,
,,2012 - 2013,527,453,0.86,,,,,,,,,
,,2013 - 2014,548,440,0.8,,,,,,,,,
,,2014 - 2015,284,305,1.07,,,,,,,,,
,,2015 - 2016,276,322,1.17,,,,,,,,,
,,2016 - 2017,561,799,1.42,,,,,,,,,
,,2017 - 2018,640,722,1.13,,,,,,,,,
,,2018 - 2019,429,388,0.9,,,,,,,,,
,,2019 - 2020,751,"1,199.00",1.6,,,,,,,,,
,,2020 - 2021,476,618,1.3,,,,,,,,,
,,2021 - 2022,442,564,1.28,,,,,,,,,
,,2022 - 2023,421,576,1.37,,,,,,,,,
,47. Kushi nagar,2000 - 2001,196,329,1.68,,,,,,,,,
,,2001 - 2002,154,217,1.41,,,,,,,,,
,,2002 - 2003,128,192,1.5,,,,,,,,,
,,2003 - 2004,104,154,1.48,,,,,,,,,
,,2004 - 2005,94,163,1.73,,,,,,,,,
,,2005 - 2006,98,154,1.57,,,,,,,,,
,,2006 - 2007,103,166,1.61,,,,,,,,,
,,2007 - 2008,108,168,1.56,,,,,,,,,
,,2008 - 2009,125,216,1.73,,,,,,,,,
,,2009 - 2010,95,162,1.71,,,,,,,,,
,,2010 - 2011,45,77,1.71,,,,,,,,,
,,2011 - 2012,70,143,2.04,,,,,,,,,
,,2012 - 2013,91,189,2.08,,,,,,,,,
,,2013 - 2014,68,141,2.07,,,,,,,,,
,,2014 - 2015,92,176,1.91,,,,,,,,,
,,2015 - 2016,69,125,1.81,,,,,,,,,
,,2016 - 2017,234,429,1.83,,,,,,,,,
,,2017 - 2018,103,199,1.93,,,,,,,,,
,,2018 - 2019,335,742,2.21,,,,,,,,,
,,2019 - 2020,181,397,2.19,,,,,,,,,
,,2020 - 2021,147,360,2.45,,,,,,,,,
,,2021 - 2022,107,231,2.16,,,,,,,,,
,,2022 - 2023,112,242,2.16,,,,,,,,,
,48. Lalitpur,2001 - 2002,168,148,0.88,,,,,,,,,
,,2002 - 2003,1,1,1,,,,,,,,,
,,2003 - 2004,1,0,0,,,,,,,,,
,49. Lucknow,2000 - 2001,"1,572.00","1,232.00",0.78,,,,,,,,,
,,2001 - 2002,"1,555.00","1,288.00",0.83,,,,,,,,,
,,2002 - 2003,"1,435.00","1,046.00",0.73,,,,,,,,,
,,2003 - 2004,"1,708.00","1,359.00",0.8,,,,,,,,,
,,2004 - 2005,"1,806.00","1,893.00",1.05,,,,,,,,,
,,2005 - 2006,"1,317.00","1,063.00",0.81,,,,,,,,,
,,2006 - 2007,939,"1,379.00",1.47,,,,,,,,,
,,2007 - 2008,578,"1,377.00",2.38,,,,,,,,,
,,2008 - 2009,751,789,1.05,,,,,,,,,
,,2009 - 2010,"1,300.00","1,059.00",0.81,,,,,,,,,
,,2010 - 2011,853,"1,000.00",1.17,,,,,,,,,
,,2011 - 2012,907,983,1.08,,,,,,,,,
,,2012 - 2013,814,699,0.86,,,,,,,,,
,,2013 - 2014,787,632,0.8,,,,,,,,,
,,2014 - 2015,628,674,1.07,,,,,,,,,
,,2015 - 2016,546,638,1.17,,,,,,,,,
,,2016 - 2017,872,"1,241.00",1.42,,,,,,,,,
,,2017 - 2018,798,900,1.13,,,,,,,,,
,,2018 - 2019,709,641,0.9,,,,,,,,,
,,2019 - 2020,913,"1,458.00",1.6,,,,,,,,,
,,2020 - 2021,748,"1,818.00",2.43,,,,,,,,,
,,2021 - 2022,797,"1,112.00",1.4,,,,,,,,,
,,2022 - 2023,759,"1,050.00",1.38,,,,,,,,,
,50. Maharajganj,2000 - 2001,2,3,1.5,,,,,,,,,
,,2001 - 2002,2,3,1.5,,,,,,,,,
,,2002 - 2003,3,5,1.67,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2005 - 2006,2,3,1.5,,,,,,,,,
,,2006 - 2007,21,34,1.62,,,,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,,,,
,,2008 - 2009,1,2,2,,,,,,,,,
,,2009 - 2010,1,2,2,,,,,,,,,
,,2011 - 2012,273,556,2.04,,,,,,,,,
,51. Mahoba,2000 - 2001,4,3,0.75,,,,,,,,,
,,2001 - 2002,1,1,1,,,,,,,,,
,,2002 - 2003,1,0,0,,,,,,,,,
,,2003 - 2004,3,3,1,,,,,,,,,
,,2004 - 2005,23,26,1.13,,,,,,,,,
,,2006 - 2007,34,29,0.85,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,
,,2008 - 2009,3,4,1.33,,,,,,,,,
,,2009 - 2010,38,26,0.68,,,,,,,,,
,,2010 - 2011,12,7,0.58,,,,,,,,,
,,2012 - 2013,2,3,1.5,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2018 - 2019,124,60,0.48,,,,,,,,,
,,2019 - 2020,28,52,1.86,,,,,,,,,
,,2020 - 2021,28,63,2.25,,,,,,,,,
,,2021 - 2022,3,5,1.67,,,,,,,,,
,,2022 - 2023,4,6,1.5,,,,,,,,,
,52. Mainpuri,2000 - 2001,"17,087.00","26,848.00",1.57,,,,,,,,,
,,2001 - 2002,"13,307.00","19,228.00",1.44,,,,,,,,,
,,2002 - 2003,"21,270.00","26,704.00",1.26,,,,,,,,,
,,2003 - 2004,"11,023.00","10,564.00",0.96,,,,,,,,,
,,2004 - 2005,"7,909.00","14,594.00",1.85,,,,,,,,,
,,2005 - 2006,"10,339.00","16,947.00",1.64,,,,,,,,,
,,2006 - 2007,"6,475.00","12,536.00",1.94,,,,,,,,,
,,2007 - 2008,"14,056.00","24,581.00",1.75,,,,,,,,,
,,2008 - 2009,"12,808.00","24,668.00",1.93,,,,,,,,,
,,2009 - 2010,"10,899.00","19,654.00",1.8,,,,,,,,,
,,2010 - 2011,"20,651.00","38,045.00",1.84,,,,,,,,,
,,2011 - 2012,"14,567.00","33,755.00",2.32,,,,,,,,,
,,2012 - 2013,"17,867.00","42,410.00",2.37,,,,,,,,,
,,2013 - 2014,"18,327.00","41,819.00",2.28,,,,,,,,,
,,2014 - 2015,"21,434.00","51,063.00",2.38,,,,,,,,,
,,2015 - 2016,"17,966.00","45,124.00",2.51,,,,,,,,,
,,2016 - 2017,"18,211.00","48,449.00",2.66,,,,,,,,,
,,2017 - 2018,"18,473.00","47,377.00",2.56,,,,,,,,,
,,2018 - 2019,"18,100.00","47,376.00",2.62,,,,,,,,,
,,2019 - 2020,"18,698.00","56,580.00",3.03,,,,,,,,,
,,2020 - 2021,"18,114.00","50,466.00",2.79,,,,,,,,,
,,2021 - 2022,"18,338.00","44,451.00",2.42,,,,,,,,,
,,2022 - 2023,"17,967.00","42,043.00",2.34,,,,,,,,,
,53. Mathura,2000 - 2001,"62,258.00","82,184.00",1.32,,,,,,,,,
,,2001 - 2002,"55,253.00","47,249.00",0.86,,,,,,,,,
,,2002 - 2003,"42,930.00","44,875.00",1.05,,,,,,,,,
,,2003 - 2004,"49,633.00","60,820.00",1.23,,,,,,,,,
,,2004 - 2005,"43,620.00","59,471.00",1.36,,,,,,,,,
,,2005 - 2006,"44,429.00","59,561.00",1.34,,,,,,,,,
,,2006 - 2007,"43,620.00","40,488.00",0.93,,,,,,,,,
,,2007 - 2008,"38,500.00","52,706.00",1.37,,,,,,,,,
,,2008 - 2009,"40,426.00","55,828.00",1.38,,,,,,,,,
,,2009 - 2010,"33,077.00","34,929.00",1.06,,,,,,,,,
,,2010 - 2011,"42,720.00","53,058.00",1.24,,,,,,,,,
,,2011 - 2012,"41,639.00","56,587.00",1.36,,,,,,,,,
,,2012 - 2013,"38,866.00","52,430.00",1.35,,,,,,,,,
,,2013 - 2014,"43,279.00","66,650.00",1.54,,,,,,,,,
,,2014 - 2015,"39,390.00","51,443.00",1.31,,,,,,,,,
,,2015 - 2016,"43,472.00","63,672.00",1.46,,,,,,,,,
,,2016 - 2017,"42,307.00","59,441.00",1.4,,,,,,,,,
,,2017 - 2018,"37,588.00","64,576.00",1.72,,,,,,,,,
,,2018 - 2019,"41,657.00","82,398.00",1.98,,,,,,,,,
,,2019 - 2020,"41,016.00","93,968.00",2.29,,,,,,,,,
,,2020 - 2021,"43,853.00","1,15,772.00",2.64,,,,,,,,,
,,2021 - 2022,"43,570.00","1,03,261.00",2.37,,,,,,,,,
,,2022 - 2023,"41,503.00","90,228.00",2.17,,,,,,,,,
,54. Mau,2000 - 2001,229,180,0.79,,,,,,,,,
,,2001 - 2002,170,202,1.19,,,,,,,,,
,,2002 - 2003,142,190,1.34,,,,,,,,,
,,2003 - 2004,136,183,1.35,,,,,,,,,
,,2004 - 2005,77,125,1.62,,,,,,,,,
,,2005 - 2006,164,248,1.51,,,,,,,,,
,,2006 - 2007,309,478,1.55,,,,,,,,,
,,2007 - 2008,55,86,1.56,,,,,,,,,
,,2008 - 2009,48,80,1.67,,,,,,,,,
,,2009 - 2010,370,628,1.7,,,,,,,,,
,,2010 - 2011,100,97,0.97,,,,,,,,,
,,2011 - 2012,80,118,1.48,,,,,,,,,
,,2012 - 2013,87,168,1.93,,,,,,,,,
,,2013 - 2014,40,51,1.28,,,,,,,,,
,,2014 - 2015,67,133,1.99,,,,,,,,,
,,2015 - 2016,9,16,1.78,,,,,,,,,
,,2016 - 2017,52,99,1.9,,,,,,,,,
,,2017 - 2018,48,93,1.94,,,,,,,,,
,,2018 - 2019,22,46,2.09,,,,,,,,,
,,2019 - 2020,48,104,2.17,,,,,,,,,
,,2020 - 2021,42,106,2.52,,,,,,,,,
,,2021 - 2022,48,103,2.15,,,,,,,,,
,,2022 - 2023,"1,907.00","4,119.00",2.16,,,,,,,,,
,55. Meerut,2000 - 2001,76,97,1.28,,,,,,,,,
,,2001 - 2002,74,74,1,,,,,,,,,
,,2002 - 2003,40,51,1.28,,,,,,,,,
,,2003 - 2004,58,83,1.43,,,,,,,,,
,,2004 - 2005,73,108,1.48,,,,,,,,,
,,2005 - 2006,51,73,1.43,,,,,,,,,
,,2006 - 2007,52,64,1.23,,,,,,,,,
,,2007 - 2008,37,56,1.51,,,,,,,,,
,,2008 - 2009,16,29,1.81,,,,,,,,,
,,2009 - 2010,126,242,1.92,,,,,,,,,
,,2010 - 2011,20,36,1.8,,,,,,,,,
,,2011 - 2012,7,13,1.86,,,,,,,,,
,,2012 - 2013,30,70,2.33,,,,,,,,,
,,2013 - 2014,46,62,1.35,,,,,,,,,
,,2014 - 2015,27,55,2.04,,,,,,,,,
,,2015 - 2016,49,98,2,,,,,,,,,
,,2016 - 2017,24,28,1.17,,,,,,,,,
,,2017 - 2018,18,35,1.94,,,,,,,,,
,,2018 - 2019,70,85,1.21,,,,,,,,,
,,2020 - 2021,24,45,1.88,,,,,,,,,
,,2021 - 2022,24,42,1.75,,,,,,,,,
,,2022 - 2023,29,46,1.59,,,,,,,,,
,56. Mirzapur,2000 - 2001,"11,200.00","14,950.00",1.33,,,,,,,,,
,,2001 - 2002,"10,892.00","12,660.00",1.16,,,,,,,,,
,,2002 - 2003,"8,962.00","9,176.00",1.02,,,,,,,,,
,,2003 - 2004,"10,476.00","12,794.00",1.22,,,,,,,,,
,,2004 - 2005,"10,781.00","9,478.00",0.88,,,,,,,,,
,,2005 - 2006,"11,578.00","14,049.00",1.21,,,,,,,,,
,,2006 - 2007,"12,909.00","12,135.00",0.94,,,,,,,,,
,,2007 - 2008,"9,845.00","9,501.00",0.97,,,,,,,,,
,,2008 - 2009,"9,520.00","9,330.00",0.98,,,,,,,,,
,,2009 - 2010,"9,249.00","11,661.00",1.26,,,,,,,,,
,,2010 - 2011,"10,446.00","14,564.00",1.39,,,,,,,,,
,,2011 - 2012,"8,687.00","15,700.00",1.81,,,,,,,,,
,,2012 - 2013,"9,573.00","13,046.00",1.36,,,,,,,,,
,,2013 - 2014,"13,855.00","16,730.00",1.21,,,,,,,,,
,,2014 - 2015,"8,430.00","10,942.00",1.3,,,,,,,,,
,,2015 - 2016,"9,272.00","9,851.00",1.06,,,,,,,,,
,,2016 - 2017,"9,543.00","11,887.00",1.25,,,,,,,,,
,,2017 - 2018,"9,880.00","11,648.00",1.18,,,,,,,,,
,,2018 - 2019,"9,708.00","14,695.00",1.51,,,,,,,,,
,,2019 - 2020,"9,414.00","12,654.00",1.34,,,,,,,,,
,,2020 - 2021,"9,409.00","12,267.00",1.3,,,,,,,,,
,,2021 - 2022,"10,032.00","11,637.00",1.16,,,,,,,,,
,,2022 - 2023,"13,987.00","19,358.00",1.38,,,,,,,,,
,57. Moradabad,2000 - 2001,"36,389.00","43,824.00",1.2,,,,,,,,,
,,2001 - 2002,"34,917.00","36,342.00",1.04,,,,,,,,,
,,2002 - 2003,"35,917.00","34,904.00",0.97,,,,,,,,,
,,2003 - 2004,"43,206.00","56,157.00",1.3,,,,,,,,,
,,2004 - 2005,"39,054.00","34,899.00",0.89,,,,,,,,,
,,2005 - 2006,"41,323.00","40,207.00",0.97,,,,,,,,,
,,2006 - 2007,"35,686.00","34,899.00",0.98,,,,,,,,,
,,2007 - 2008,"31,231.00","38,317.00",1.23,,,,,,,,,
,,2008 - 2009,"28,531.00","30,632.00",1.07,,,,,,,,,
,,2009 - 2010,"42,149.00","53,201.00",1.26,,,,,,,,,
,,2010 - 2011,"40,968.00","46,207.00",1.13,,,,,,,,,
,,2011 - 2012,"28,798.00","33,579.00",1.17,,,,,,,,,
,,2012 - 2013,"3,336.00","3,486.00",1.04,,,,,,,,,
,,2013 - 2014,"3,105.00","4,102.00",1.32,,,,,,,,,
,,2014 - 2015,"4,475.00","6,207.00",1.39,,,,,,,,,
,,2015 - 2016,"3,157.00","5,818.00",1.84,,,,,,,,,
,,2016 - 2017,"2,938.00","3,793.00",1.29,,,,,,,,,
,,2017 - 2018,"2,519.00","3,799.00",1.51,,,,,,,,,
,,2018 - 2019,"2,609.00","1,946.00",0.75,,,,,,,,,
,,2019 - 2020,"3,666.00","6,027.00",1.64,,,,,,,,,
,,2020 - 2021,"3,390.00","6,356.00",1.87,,,,,,,,,
,,2021 - 2022,"3,085.00","5,815.00",1.88,,,,,,,,,
,,2022 - 2023,"3,183.00","5,322.00",1.67,,,,,,,,,
,58. Muzaffarnagar,2000 - 2001,27,40,1.48,,,,,,,,,
,,2001 - 2002,13,15,1.15,,,,,,,,,
,,2002 - 2003,4,5,1.25,,,,,,,,,
,,2015 - 2016,2,4,2,,,,,,,,,
,59. Pilibhit,2000 - 2001,39,56,1.44,,,,,,,,,
,,2001 - 2002,8,3,0.38,,,,,,,,,
,,2002 - 2003,22,27,1.23,,,,,,,,,
,,2003 - 2004,5,40,8,,,,,,,,,
,,2004 - 2005,10,14,1.4,,,,,,,,,
,,2005 - 2006,2,3,1.5,,,,,,,,,
,,2006 - 2007,13,18,1.38,,,,,,,,,
,,2007 - 2008,13,19,1.46,,,,,,,,,
,,2009 - 2010,1,2,2,,,,,,,,,
,,2011 - 2012,36,60,1.67,,,,,,,,,
,60. Pratapgarh,2000 - 2001,"13,950.00","14,426.00",1.03,,,,,,,,,
,,2001 - 2002,"14,037.00","16,306.00",1.16,,,,,,,,,
,,2002 - 2003,"15,006.00","14,088.00",0.94,,,,,,,,,
,,2003 - 2004,"13,441.00","16,505.00",1.23,,,,,,,,,
,,2004 - 2005,"11,594.00","11,284.00",0.97,,,,,,,,,
,,2005 - 2006,"14,590.00","14,015.00",0.96,,,,,,,,,
,,2006 - 2007,"11,298.00","9,962.00",0.88,,,,,,,,,
,,2007 - 2008,"12,931.00","9,332.00",0.72,,,,,,,,,
,,2008 - 2009,"10,680.00","8,804.00",0.82,,,,,,,,,
,,2009 - 2010,"12,710.00","8,012.00",0.63,,,,,,,,,
,,2010 - 2011,"10,859.00","8,230.00",0.76,,,,,,,,,
,,2011 - 2012,"10,687.00","7,900.00",0.74,,,,,,,,,
,,2012 - 2013,"10,954.00","8,418.00",0.77,,,,,,,,,
,,2013 - 2014,"10,816.00","8,848.00",0.82,,,,,,,,,
,,2014 - 2015,"9,860.00","7,733.00",0.78,,,,,,,,,
,,2015 - 2016,"9,279.00","6,676.00",0.72,,,,,,,,,
,,2016 - 2017,"10,281.00","8,539.00",0.83,,,,,,,,,
,,2017 - 2018,"9,439.00","7,396.00",0.78,,,,,,,,,
,,2018 - 2019,"10,266.00","14,377.00",1.4,,,,,,,,,
,,2019 - 2020,"11,475.00","14,069.00",1.23,,,,,,,,,
,,2020 - 2021,"11,788.00","13,013.00",1.1,,,,,,,,,
,,2021 - 2022,"10,989.00","21,209.00",1.93,,,,,,,,,
,,2022 - 2023,"11,339.00","14,571.00",1.29,,,,,,,,,
,61. Rae bareli,2000 - 2001,"2,681.00","2,101.00",0.78,,,,,,,,,
,,2001 - 2002,"1,408.00","1,166.00",0.83,,,,,,,,,
,,2002 - 2003,"1,353.00",923,0.68,,,,,,,,,
,,2003 - 2004,"2,007.00","1,596.00",0.8,,,,,,,,,
,,2004 - 2005,"1,406.00","1,474.00",1.05,,,,,,,,,
,,2005 - 2006,"3,531.00","2,849.00",0.81,,,,,,,,,
,,2006 - 2007,"1,530.00","2,247.00",1.47,,,,,,,,,
,,2007 - 2008,"1,931.00","1,685.00",0.87,,,,,,,,,
,,2008 - 2009,"1,272.00","1,335.00",1.05,,,,,,,,,
,,2009 - 2010,"1,528.00","1,244.00",0.81,,,,,,,,,
,,2010 - 2011,771,904,1.17,,,,,,,,,
,,2011 - 2012,802,869,1.08,,,,,,,,,
,,2012 - 2013,518,445,0.86,,,,,,,,,
,,2013 - 2014,668,537,0.8,,,,,,,,,
,,2014 - 2015,622,667,1.07,,,,,,,,,
,,2015 - 2016,533,622,1.17,,,,,,,,,
,,2016 - 2017,692,985,1.42,,,,,,,,,
,,2017 - 2018,715,807,1.13,,,,,,,,,
,,2018 - 2019,877,794,0.91,,,,,,,,,
,,2019 - 2020,586,936,1.6,,,,,,,,,
,,2020 - 2021,722,955,1.32,,,,,,,,,
,,2021 - 2022,780,996,1.28,,,,,,,,,
,,2022 - 2023,743,"1,069.00",1.44,,,,,,,,,
,62. Rampur,2000 - 2001,"3,939.00","3,550.00",0.9,,,,,,,,,
,,2001 - 2002,"3,830.00","5,118.00",1.34,,,,,,,,,
,,2002 - 2003,"3,450.00","2,733.00",0.79,,,,,,,,,
,,2003 - 2004,"3,478.00","3,541.00",1.02,,,,,,,,,
,,2004 - 2005,"3,298.00","3,309.00",1,,,,,,,,,
,,2005 - 2006,"3,401.00","3,595.00",1.06,,,,,,,,,
,,2006 - 2007,"3,298.00","4,850.00",1.47,,,,,,,,,
,,2007 - 2008,"2,694.00","4,925.00",1.83,,,,,,,,,
,,2008 - 2009,"2,459.00","3,500.00",1.42,,,,,,,,,
,,2009 - 2010,"2,394.00","2,746.00",1.15,,,,,,,,,
,,2010 - 2011,"1,559.00",926,0.59,,,,,,,,,
,,2011 - 2012,"2,617.00","2,805.00",1.07,,,,,,,,,
,,2012 - 2013,"5,984.00","2,663.00",0.45,,,,,,,,,
,,2013 - 2014,"2,352.00","1,409.00",0.6,,,,,,,,,
,,2014 - 2015,"2,031.00","1,995.00",0.98,,,,,,,,,
,,2015 - 2016,"1,626.00","1,777.00",1.09,,,,,,,,,
,,2016 - 2017,"2,367.00","2,960.00",1.25,,,,,,,,,
,,2017 - 2018,"2,691.00","2,680.00",1,,,,,,,,,
,,2018 - 2019,"3,294.00","3,812.00",1.16,,,,,,,,,
,,2019 - 2020,"4,398.00","7,362.00",1.67,,,,,,,,,
,,2020 - 2021,"3,476.00","3,393.00",0.98,,,,,,,,,
,,2021 - 2022,"2,756.00","3,456.00",1.25,,,,,,,,,
,,2022 - 2023,"2,850.00","3,292.00",1.16,,,,,,,,,
,63. Saharanpur,2000 - 2001,76,112,1.47,,,,,,,,,
,,2001 - 2002,52,59,1.13,,,,,,,,,
,,2002 - 2003,39,50,1.28,,,,,,,,,
,,2003 - 2004,3,4,1.33,,,,,,,,,
,,2004 - 2005,6,9,1.5,,,,,,,,,
,,2005 - 2006,22,32,1.45,,,,,,,,,
,,2007 - 2008,28,44,1.57,,,,,,,,,
,,2011 - 2012,27,50,1.85,,,,,,,,,
,,2012 - 2013,3,6,2,,,,,,,,,
,,2013 - 2014,2,4,2,,,,,,,,,
,,2014 - 2015,3,6,2,,,,,,,,,
,,2016 - 2017,2,4,2,,,,,,,,,
,,2019 - 2020,2,4,2,,,,,,,,,
,,2020 - 2021,2,5,2.5,,,,,,,,,
,,2021 - 2022,2,4,2,,,,,,,,,
,,2022 - 2023,2,4,2,,,,,,,,,
,64. Sambhal,2012 - 2013,"70,841.00","88,622.00",1.25,,,,,,,,,
,,2013 - 2014,"72,566.00","1,00,564.00",1.39,,,,,,,,,
,,2014 - 2015,"74,352.00","1,11,751.00",1.5,,,,,,,,,
,,2015 - 2016,"71,790.00","1,03,449.00",1.44,,,,,,,,,
,,2016 - 2017,"66,841.00","1,02,185.00",1.53,,,,,,,,,
,,2017 - 2018,"72,913.00","1,01,568.00",1.39,,,,,,,,,
,,2018 - 2019,"78,770.00","1,21,463.00",1.54,,,,,,,,,
,,2019 - 2020,"71,900.00","1,00,155.00",1.39,,,,,,,,,
,,2020 - 2021,"69,841.00","1,41,624.00",2.03,,,,,,,,,
,,2021 - 2022,"75,087.00","1,39,286.00",1.85,,,,,,,,,
,,2022 - 2023,"77,466.00","1,35,488.00",1.75,,,,,,,,,
,65. Sant kabeer nagar,2000 - 2001,37,69,1.86,,,,,,,,,
,,2001 - 2002,24,42,1.75,,,,,,,,,
,,2002 - 2003,27,46,1.7,,,,,,,,,
,,2003 - 2004,17,29,1.71,,,,,,,,,
,,2004 - 2005,23,43,1.87,,,,,,,,,
,,2006 - 2007,20,33,1.65,,,,,,,,,
,,2007 - 2008,547,853,1.56,,,,,,,,,
,,2009 - 2010,27,50,1.85,,,,,,,,,
,,2010 - 2011,42,79,1.88,,,,,,,,,
,,2011 - 2012,14,29,2.07,,,,,,,,,
,,2012 - 2013,10,24,2.4,,,,,,,,,
,,2013 - 2014,11,21,1.91,,,,,,,,,
,,2014 - 2015,22,42,1.91,,,,,,,,,
,,2015 - 2016,4,7,1.75,,,,,,,,,
,,2016 - 2017,13,22,1.69,,,,,,,,,
,,2017 - 2018,2,4,2,,,,,,,,,
,,2018 - 2019,45,94,2.09,,,,,,,,,
,,2019 - 2020,13,30,2.31,,,,,,,,,
,,2020 - 2021,11,30,2.73,,,,,,,,,
,,2021 - 2022,14,30,2.14,,,,,,,,,
,,2022 - 2023,85,183,2.15,,,,,,,,,
,66. Sant ravidas nagar,2000 - 2001,"9,309.00","9,945.00",1.07,,,,,,,,,
,,2001 - 2002,"8,931.00","13,915.00",1.56,,,,,,,,,
,,2002 - 2003,"8,657.00","15,037.00",1.74,,,,,,,,,
,,2003 - 2004,"8,188.00","8,318.00",1.02,,,,,,,,,
,,2004 - 2005,"9,037.00","9,220.00",1.02,,,,,,,,,
,,2005 - 2006,"8,086.00","8,024.00",0.99,,,,,,,,,
,,2006 - 2007,"6,508.00","5,929.00",0.91,,,,,,,,,
,,2007 - 2008,"9,012.00","7,541.00",0.84,,,,,,,,,
,,2008 - 2009,"6,589.00","5,773.00",0.88,,,,,,,,,
,,2009 - 2010,"7,930.00","8,947.00",1.13,,,,,,,,,
,,2010 - 2011,"9,397.00","10,278.00",1.09,,,,,,,,,
,,2011 - 2012,"8,552.00","15,456.00",1.81,,,,,,,,,
,,2012 - 2013,"8,719.00","10,510.00",1.21,,,,,,,,,
,,2013 - 2014,"9,004.00","12,088.00",1.34,,,,,,,,,
,,2014 - 2015,"9,694.00","11,383.00",1.17,,,,,,,,,
,,2015 - 2016,"9,030.00","10,104.00",1.12,,,,,,,,,
,,2016 - 2017,"8,751.00","9,890.00",1.13,,,,,,,,,
,,2017 - 2018,"8,610.00","11,650.00",1.35,,,,,,,,,
,,2018 - 2019,"8,563.00","6,455.00",0.75,,,,,,,,,
,,2019 - 2020,"8,383.00","9,108.00",1.09,,,,,,,,,
,,2020 - 2021,"8,486.00","8,800.00",1.04,,,,,,,,,
,,2021 - 2022,"8,667.00","7,922.00",0.91,,,,,,,,,
,,2022 - 2023,"8,950.00","11,411.00",1.27,,,,,,,,,
,67. Shahjahanpur,2000 - 2001,"4,617.00","6,650.00",1.44,,,,,,,,,
,,2001 - 2002,"3,553.00","1,172.00",0.33,,,,,,,,,
,,2002 - 2003,"5,165.00","3,849.00",0.75,,,,,,,,,
,,2003 - 2004,"6,171.00","7,226.00",1.17,,,,,,,,,
,,2004 - 2005,"5,265.00","4,851.00",0.92,,,,,,,,,
,,2005 - 2006,"3,310.00","2,828.00",0.85,,,,,,,,,
,,2006 - 2007,"4,666.00","5,291.00",1.13,,,,,,,,,
,,2007 - 2008,"4,063.00","4,735.00",1.17,,,,,,,,,
,,2008 - 2009,"2,807.00","3,674.00",1.31,,,,,,,,,
,,2009 - 2010,"4,722.00","6,181.00",1.31,,,,,,,,,
,,2010 - 2011,"4,131.00",481,0.12,,,,,,,,,
,,2011 - 2012,"5,753.00","7,151.00",1.24,,,,,,,,,
,,2012 - 2013,"3,581.00","3,432.00",0.96,,,,,,,,,
,,2013 - 2014,"3,199.00","4,005.00",1.25,,,,,,,,,
,,2014 - 2015,"4,166.00","6,795.00",1.63,,,,,,,,,
,,2015 - 2016,"2,926.00","4,497.00",1.54,,,,,,,,,
,,2016 - 2017,"3,569.00","5,061.00",1.42,,,,,,,,,
,,2017 - 2018,"3,383.00","5,264.00",1.56,,,,,,,,,
,,2018 - 2019,"3,845.00","5,710.00",1.49,,,,,,,,,
,,2019 - 2020,"3,614.00","6,050.00",1.67,,,,,,,,,
,,2020 - 2021,"4,379.00","11,810.00",2.7,,,,,,,,,
,,2021 - 2022,"3,747.00","7,288.00",1.95,,,,,,,,,
,,2022 - 2023,"4,114.00","5,694.00",1.38,,,,,,,,,
,68. Shravasti,2000 - 2001,28,48,1.71,,,,,,,,,
,,2001 - 2002,111,178,1.6,,,,,,,,,
,,2002 - 2003,61,94,1.54,,,,,,,,,
,,2003 - 2004,5,7,1.4,,,,,,,,,
,,2004 - 2005,2,4,2,,,,,,,,,
,,2006 - 2007,2,4,2,,,,,,,,,
,,2013 - 2014,2,4,2,,,,,,,,,
,,2014 - 2015,3,6,2,,,,,,,,,
,,2015 - 2016,1,2,2,,,,,,,,,
,,2016 - 2017,2,4,2,,,,,,,,,
,,2017 - 2018,10,19,1.9,,,,,,,,,
,,2019 - 2020,2,4,2,,,,,,,,,
,,2020 - 2021,7,17,2.43,,,,,,,,,
,,2022 - 2023,40,86,2.15,,,,,,,,,
,69. Siddharth nagar,2000 - 2001,12,22,1.83,,,,,,,,,
,,2001 - 2002,12,21,1.75,,,,,,,,,
,,2002 - 2003,51,86,1.69,,,,,,,,,
,,2003 - 2004,84,144,1.71,,,,,,,,,
