State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,"2,833.00","21,248.00",7.5,,,,,,,,,
,,2009 - 2010,"2,855.00","21,413.00",7.5,,,,,,,,,
,,2010 - 2011,"2,880.00","21,600.00",7.5,,,,,,,,,
,,2011 - 2012,"2,966.00","22,305.00",7.52,,,,,,,,,
,,2012 - 2013,"2,960.00","23,680.00",8,,,,,,,,,
,,2013 - 2014,"2,980.00","23,840.00",8,,,,,,,,,
,,2014 - 2015,"3,067.00","24,130.00",7.87,,,,,,,,,
,,2015 - 2016,"2,937.00","23,174.00",7.89,,,,,,,,,
,,2016 - 2017,"2,951.00","23,174.00",7.85,,,,,,,,,
,,2017 - 2018,"2,955.00","22,836.00",7.73,,,,,,,,,
,,2018 - 2019,"2,955.00","22,842.00",7.73,,,,,,,,,
,,2019 - 2020,"2,956.00","22,684.00",7.67,,,,,,,,,
,,2020 - 2021,"2,956.00","22,689.00",7.68,,,,,,,,,
,,2021 - 2022,"3,020.00","23,312.00",7.72,,,,,,,,,
,,2022 - 2023,"3,036.00","23,450.00",7.72,,,,,,,,,
,13. Lower siang,2018 - 2019,422,"3,106.00",7.36,,,,,,,,,
,,2019 - 2020,381,"2,724.00",7.15,,,,,,,,,
,,2020 - 2021,381,"2,729.00",7.16,,,,,,,,,
,,2021 - 2022,399,"2,896.00",7.26,,,,,,,,,
,,2022 - 2023,406,"2,948.00",7.26,,,,,,,,,
,14. Lower subansiri,2000 - 2001,65,357,5.49,,,,,,,,,
,,2001 - 2002,75,530,7.07,,,,,,,,,
,,2002 - 2003,56,386,6.89,,,,,,,,,
,,2003 - 2004,65,450,6.92,,,,,,,,,
,,2004 - 2005,66,309,4.68,,,,,,,,,
,,2005 - 2006,76,484,6.37,,,,,,,,,
,,2006 - 2007,78,494,6.33,,,,,,,,,
,,2007 - 2008,100,600,6,,,,,,,,,
,,2008 - 2009,105,630,6,,,,,,,,,
,,2009 - 2010,109,656,6.02,,,,,,,,,
,,2010 - 2011,188,"1,062.00",5.65,,,,,,,,,
,,2011 - 2012,194,"1,096.00",5.65,,,,,,,,,
,,2012 - 2013,194,"1,096.00",5.65,,,,,,,,,
,,2013 - 2014,192,"1,084.00",5.65,,,,,,,,,
,,2014 - 2015,279,"1,372.00",4.92,,,,,,,,,
,,2015 - 2016,259,"1,416.00",5.47,,,,,,,,,
,,2016 - 2017,259,"1,436.00",5.54,,,,,,,,,
,,2017 - 2018,263,"1,436.00",5.46,,,,,,,,,
,,2018 - 2019,176,968,5.5,,,,,,,,,
,,2019 - 2020,177,968,5.47,,,,,,,,,
,,2020 - 2021,178,973,5.47,,,,,,,,,
,,2021 - 2022,190,"1,077.00",5.67,,,,,,,,,
,,2022 - 2023,198,"1,123.00",5.67,,,,,,,,,
,15. Namsai,2015 - 2016,761,"6,387.00",8.39,,,,,,,,,
,,2016 - 2017,775,"6,387.00",8.24,,,,,,,,,
,,2017 - 2018,784,"6,065.00",7.74,,,,,,,,,
,,2018 - 2019,784,"6,071.00",7.74,,,,,,,,,
,,2019 - 2020,785,"5,992.00",7.63,,,,,,,,,
,,2020 - 2021,785,"5,997.00",7.64,,,,,,,,,
,,2021 - 2022,801,"6,159.00",7.69,,,,,,,,,
,,2022 - 2023,815,"6,269.00",7.69,,,,,,,,,
,16. Pakke kessang,2019 - 2020,42,192,4.57,,,,,,,,,
,,2020 - 2021,43,197,4.58,,,,,,,,,
,,2021 - 2022,44,216,4.91,,,,,,,,,
,,2022 - 2023,48,236,4.92,,,,,,,,,
,17. Papum pare,2000 - 2001,50,350,7,,,,,,,,,
,,2001 - 2002,55,385,7,,,,,,,,,
,,2002 - 2003,65,395,6.08,,,,,,,,,
,,2003 - 2004,57,452,7.93,,,,,,,,,
,,2004 - 2005,635,"5,588.00",8.8,,,,,,,,,
,,2005 - 2006,100,726,7.26,,,,,,,,,
,,2006 - 2007,105,750,7.14,,,,,,,,,
,,2007 - 2008,90,626,6.96,,,,,,,,,
,,2008 - 2009,85,610,7.18,,,,,,,,,
,,2009 - 2010,100,"1,030.00",10.3,,,,,,,,,
,,2010 - 2011,104,"1,066.00",10.25,,,,,,,,,
,,2011 - 2012,187,"1,100.00",5.88,,,,,,,,,
,,2012 - 2013,112,"1,109.00",9.9,,,,,,,,,
,,2013 - 2014,145,"1,392.00",9.6,,,,,,,,,
,,2014 - 2015,232,"1,682.00",7.25,,,,,,,,,
