State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,183,230,1.26,,,,,,,,,
,31. Surguja,2000 - 2001,317,391,1.23,,,,,,,,,
,,2001 - 2002,422,512,1.21,,,,,,,,,
,,2002 - 2003,398,452,1.14,,,,,,,,,
,,2003 - 2004,426,509,1.19,,,,,,,,,
,,2004 - 2005,419,460,1.1,,,,,,,,,
,,2005 - 2006,560,540,0.96,,,,,,,,,
,,2006 - 2007,684,844,1.23,,,,,,,,,
,,2007 - 2008,733,876,1.2,,,,,,,,,
,,2008 - 2009,831,"1,041.00",1.25,,,,,,,,,
,,2009 - 2010,804,651,0.81,,,,,,,,,
,,2010 - 2011,867,"1,170.00",1.35,,,,,,,,,
,,2011 - 2012,259,300,1.16,,,,,,,,,
,,2012 - 2013,262,287,1.1,,,,,,,,,
,,2013 - 2014,274,328,1.2,,,,,,,,,
,,2014 - 2015,269,322,1.2,,,,,,,,,
,,2015 - 2016,288,285,0.99,,,,,,,,,
,,2016 - 2017,279,319,1.14,,,,,,,,,
,,2017 - 2018,292,375,1.28,,,,,,,,,
,,2018 - 2019,314,409,1.3,,,,,,,,,
,,2019 - 2020,245,349,1.42,,,,,,,,,
,,2020 - 2021,259,500,1.93,,,,,,,,,
,,2021 - 2022,310,599,1.93,,,,,,,,,
,,2022 - 2023,289,533,1.84,,,,,,,,,
7. Haryana,1. Ambala,2011 - 2012,,,,,,,3,,0,,,
,,2012 - 2013,,,,,,,3,,0,,,
,,2013 - 2014,105,"1,560.00",14.86,,,,,,,,,
,,2014 - 2015,62,650,10.48,,,,,,,,,
,,2015 - 2016,52,650,12.5,,,,,,,,,
,2. Hisar,2021 - 2022,,,,,,,2,0,0,,,
,3. Jind,2021 - 2022,,,,,,,10,0,0,,,
,4. Kaithal,2012 - 2013,,,,,,,2,,0,,,
,5. Panchkula,2000 - 2001,,,,,,,63,,0,,,
,,2010 - 2011,,,,,,,61,100,1.64,,,
,,2011 - 2012,,,,,,,57,100,1.75,,,
,,2012 - 2013,,,,,,,62,,0,,,
,,2013 - 2014,320,"4,451.00",13.91,,,,,,,,,
,,2014 - 2015,80,"1,230.00",15.38,,,,,,,,,
,,2015 - 2016,90,"1,380.00",15.33,,,,,,,,,
,,2016 - 2017,80,"1,490.00",18.63,,,,,,,,,
,,2017 - 2018,425,"3,188.00",7.5,,,,,,,,,
,,2018 - 2019,82,655,7.99,,,,,,,,,
,,2019 - 2020,70,573,8.19,,,,,,,,,
,,2021 - 2022,,,,,,,69,0,0,,,
,6. Sonipat,2015 - 2016,5,70,14,,,,,,,,,
,,2016 - 2017,6,75,12.5,,,,,,,,,
,,2017 - 2018,10,80,8,,,,,,,,,
,,2018 - 2019,10,65,6.5,,,,,,,,,
,,2019 - 2020,4,50,12.5,,,,,,,,,
,7. Yamunanagar,2000 - 2001,,,,,,,2,,0,,,
,,2011 - 2012,,,,,,,4,,0,,,
,,2013 - 2014,200,"2,950.00",14.75,,,,,,,,,
,,2014 - 2015,143,"2,280.00",15.94,,,,,,,,,
,,2015 - 2016,142,"2,204.00",15.52,,,,,,,,,
,,2016 - 2017,22,312,14.18,,,,,,,,,
,,2017 - 2018,157,"1,200.00",7.64,,,,,,,,,
8. Himachal Pradesh,1. Bilaspur,2001 - 2002,,,,,,,164,"1,573.00",9.59,,,
,,2002 - 2003,,,,,,,84,486,5.79,,,
,,2003 - 2004,,,,,,,110,689,6.26,,,
,,2004 - 2005,,,,,,,117,980,8.38,,,
,,2005 - 2006,,,,,,,131,"1,166.00",8.9,,,
,,2006 - 2007,,,,,,,100,328,3.28,,,
,,2007 - 2008,,,,,,,103,"1,012.00",9.83,,,
,,2009 - 2010,,,,,,,120,445,3.71,,,
,,2011 - 2012,,,,,,,99,309.48,3.13,,,
,,2012 - 2013,,,,,,,167,"1,270.54",7.61,,,
,,2014 - 2015,,,,,,,132,"1,004.26",7.61,,,
,,2015 - 2016,,,,,,,116,882.53,7.61,,,
,,2018 - 2019,,,,,,,90,333,3.7,,,
,,2019 - 2020,,,,,,,90,361,4.01,,,
,,2020 - 2021,,,,,,,52,563,10.83,,,
,,2021 - 2022,,,,,,,113,"1,224.00",10.83,,,
,2. Chamba,2001 - 2002,,,,,,,3,33,11,,,
,,2002 - 2003,,,,,,,2,14,7,,,
,,2003 - 2004,,,,,,,1,7,7,,,
,,2004 - 2005,,,,,,,1,7,7,,,
,,2005 - 2006,,,,,,,1,7,7,,,
,,2006 - 2007,,,,,,,3,5,1.67,,,
,,2007 - 2008,,,,,,,4,32,8,,,
,,2009 - 2010,,,,,,,5,17,3.4,,,
,,2011 - 2012,,,,,,,2,4.58,2.29,,,
,,2012 - 2013,,,,,,,4,28.05,7.01,,,
,,2014 - 2015,,,,,,,2,14.02,7.01,,,
,,2015 - 2016,,,,,,,4,28.05,7.01,,,
,,2018 - 2019,,,,,,,4,13,3.25,,,
,,2019 - 2020,,,,,,,4,15,3.75,,,
,3. Hamirpur,2001 - 2002,,,,,,,7,78,11.14,,,
,,2002 - 2003,,,,,,,8,56,7,,,
,,2005 - 2006,,,,,,,2,15,7.5,,,
,,2006 - 2007,,,,,,,10,16,1.6,,,
,,2007 - 2008,,,,,,,3,34,11.33,,,
,,2009 - 2010,,,,,,,7,28,4,,,
,,2011 - 2012,,,,,,,9,11.16,1.24,,,
,,2012 - 2013,,,,,,,4,28.05,7.01,,,
,,2014 - 2015,,,,,,,72,504.86,7.01,,,
,,2015 - 2016,,,,,,,8,56.1,7.01,,,
,,2018 - 2019,,,,,,,8,32,4,,,
,,2019 - 2020,,,,,,,8,30,3.75,,,
,,2020 - 2021,,,,,,,10,86,8.6,,,
,,2021 - 2022,,,,,,,9,78,8.67,,,
,4. Kangra,2001 - 2002,,,,,,,18,200,11.11,,,
,,2002 - 2003,,,,,,,23,160,6.96,,,
,,2003 - 2004,,,,,,,30,215,7.17,,,
,,2004 - 2005,,,,,,,28,200,7.14,,,
,,2005 - 2006,,,,,,,28,208,7.43,,,
,,2006 - 2007,,,,,,,25,45,1.8,,,
,,2007 - 2008,,,,,,,16,180,11.25,,,
,,2009 - 2010,,,,,,,20,85,4.25,,,
,,2011 - 2012,,,,,,,28,59.05,2.11,,,
,,2012 - 2013,,,,,,,27,189.32,7.01,,,
,,2014 - 2015,,,,,,,38,266.46,7.01,,,
,,2015 - 2016,,,,,,,21,147.25,7.01,,,
,,2018 - 2019,,,,,,,21,89,4.24,,,
,,2019 - 2020,,,,,,,21,86,4.1,,,
,,2020 - 2021,,,,,,,58,491,8.47,,,
,,2021 - 2022,,,,,,,57,481,8.44,,,
,5. Kullu,2009 - 2010,,,,,,,2,7,3.5,,,
,,2014 - 2015,,,,,,,1,,0,,,
,,2015 - 2016,,,,,,,1,2.29,2.29,,,
,,2018 - 2019,,,,,,,1,4,4,,,
,,2019 - 2020,,,,,,,84,336,4,,,
,6. Lahul and spiti,2018 - 2019,,,,,,,2,5,2.5,,,
,7. Mandi,2001 - 2002,,,,,,,78,867,11.12,,,
,,2002 - 2003,,,,,,,89,618,6.94,,,
,,2003 - 2004,,,,,,,83,595,7.17,,,
,,2004 - 2005,,,,,,,86,613,7.13,,,
,,2005 - 2006,,,,,,,80,595,7.44,,,
,,2006 - 2007,,,,,,,118,78,0.66,,,
,,2007 - 2008,,,,,,,33,371,11.24,,,
,,2009 - 2010,,,,,,,105,425,4.05,,,
,,2011 - 2012,,,,,,,113,26.13,0.23,,,
,,2012 - 2013,,,,,,,115,806.38,7.01,,,
,,2014 - 2015,,,,,,,96,673.15,7.01,,,
,,2015 - 2016,,,,,,,100,701.2,7.01,,,
,,2020 - 2021,,,,,,,100,706,7.06,,,
,,2021 - 2022,,,,,,,94,664,7.06,,,
,8. Shimla,2001 - 2002,,,,,,,267,"2,976.00",11.15,,,
,,2002 - 2003,,,,,,,270,"1,267.00",4.69,,,
,,2003 - 2004,,,,,,,187,882,4.72,,,
,,2004 - 2005,,,,,,,209,"1,531.00",7.33,,,
,,2005 - 2006,,,,,,,187,"1,122.00",6,,,
,,2006 - 2007,,,,,,,202,508,2.51,,,
,,2007 - 2008,,,,,,,214,"1,729.00",8.08,,,
,,2009 - 2010,,,,,,,63,182,2.89,,,
,,2011 - 2012,,,,,,,203,509.06,2.51,,,
,,2012 - 2013,,,,,,,214,"2,117.74",9.9,,,
,,2014 - 2015,,,,,,,99,979.7,9.9,,,
,,2015 - 2016,,,,,,,57,564.07,9.9,,,
,,2018 - 2019,,,,,,,100,289,2.89,,,
,,2019 - 2020,,,,,,,65,188,2.89,,,
,,2020 - 2021,,,,,,,101,775,7.67,,,
,,2021 - 2022,,,,,,,84,645,7.68,,,
,9. Sirmaur,2001 - 2002,,,,,,,"1,458.00","16,442.00",11.28,,,
,,2002 - 2003,,,,,,,"1,446.00","10,067.00",6.96,,,
,,2003 - 2004,,,,,,,"1,187.00","9,170.00",7.73,,,
,,2004 - 2005,,,,,,,"1,194.00","8,469.00",7.09,,,
,,2005 - 2006,,,,,,,"1,349.00","10,197.00",7.56,,,
,,2006 - 2007,,,,,,,"1,511.00","2,708.00",1.79,,,
,,2007 - 2008,,,,,,,"1,494.00","19,131.00",12.81,,,
,,2009 - 2010,,,,,,,"1,855.00","9,158.00",4.94,,,
,,2011 - 2012,,,,,,,"1,293.00","2,373.69",1.84,,,
,,2012 - 2013,,,,,,,"1,513.00","9,893.51",6.54,,,
,,2014 - 2015,,,,,,,"1,434.00","9,376.93",6.54,,,
,,2015 - 2016,,,,,,,"1,687.00","11,031.30",6.54,,,
,,2018 - 2019,,,,,,,57,281,4.93,,,
,,2019 - 2020,,,,,,,"1,782.00","8,803.00",4.94,,,
,,2020 - 2021,,,,,,,"1,964.00","10,690.00",5.44,,,
,,2021 - 2022,,,,,,,"1,900.00","9,921.00",5.22,,,
,10. Solan,2001 - 2002,,,,,,,612,"6,821.00",11.15,,,
,,2002 - 2003,,,,,,,532,"4,376.00",8.23,,,
,,2003 - 2004,,,,,,,444,"3,086.00",6.95,,,
,,2004 - 2005,,,,,,,408,"2,767.00",6.78,,,
,,2005 - 2006,,,,,,,398,"2,881.00",7.24,,,
,,2006 - 2007,,,,,,,401,450,1.12,,,
,,2007 - 2008,,,,,,,403,"3,015.00",7.48,,,
,,2009 - 2010,,,,,,,308,"1,259.00",4.09,,,
,,2011 - 2012,,,,,,,356,443.49,1.25,,,
,,2012 - 2013,,,,,,,361,"2,531.33",7.01,,,
,,2014 - 2015,,,,,,,268,"1,879.22",7.01,,,
,,2015 - 2016,,,,,,,280,"1,963.36",7.01,,,
,,2018 - 2019,,,,,,,"1,687.00","6,882.00",4.08,,,
,,2019 - 2020,,,,,,,206,840,4.08,,,
,,2020 - 2021,,,,,,,280,"1,930.00",6.89,,,
,,2021 - 2022,,,,,,,334,"2,233.00",6.69,,,
,11. Una,2001 - 2002,,,,,,,2,22,11,,,
,,2002 - 2003,,,,,,,1,7,7,,,
,,2003 - 2004,,,,,,,2,14,7,,,
,,2005 - 2006,,,,,,,3,22,7.33,,,
,,2006 - 2007,,,,,,,26,56,2.15,,,
,,2007 - 2008,,,,,,,3,34,11.33,,,
,,2009 - 2010,,,,,,,3,12,4,,,
,,2012 - 2013,,,,,,,1,7.01,7.01,,,
,,2014 - 2015,,,,,,,2,14.02,7.01,,,
,,2015 - 2016,,,,,,,2,14.02,7.01,,,
,,2018 - 2019,,,,,,,253,"1,012.00",4,,,
,,2019 - 2020,,,,,,,4,16,4,,,
,,2020 - 2021,,,,,,,6,50,8.33,,,
,,2021 - 2022,,,,,,,9,76,8.44,,,
9. Jammu and Kashmir,1. Jammu,2007 - 2008,,,,,,,4,4.8,1.2,,,
,,2010 - 2011,,,,2,1.8,0.9,,,,,,
,,2011 - 2012,,,,3,2.7,0.9,,,,,,
,,2012 - 2013,,,,3,2.7,0.9,,,,,,
,,2013 - 2014,,,,3,2.7,0.9,,,,,,
,,2016 - 2017,,,,,,,7,14.8,2.11,,,
,,2017 - 2018,,,,,,,6,12.7,2.12,,,
,,2018 - 2019,,,,,,,2,4.2,2.1,,,
,2. Kathua,2000 - 2001,,,,,,,3,5,1.67,,,
,,2006 - 2007,,,,,,,4,6.8,1.7,,,
,,2007 - 2008,,,,,,,4,6.8,1.7,,,
,,2009 - 2010,,,,,,,13,22.1,1.7,,,
,,2010 - 2011,,,,,,,5,8.5,1.7,,,
,,2011 - 2012,,,,,,,10,17,1.7,,,
,,2012 - 2013,,,,,,,8,13.6,1.7,,,
,,2014 - 2015,,,,,,,8,13.6,1.7,,,
,,2015 - 2016,,,,,,,5,8.5,1.7,,,
,,2016 - 2017,,,,,,,5,8.5,1.7,,,
,,2017 - 2018,,,,,,,5,8.6,1.72,,,
,,2018 - 2019,,,,,,,8,13.8,1.73,,,
,,2019 - 2020,,,,,,,8,13.8,1.73,,,
,,2020 - 2021,,,,,,,10,17.3,1.73,,,
,3. Poonch,2012 - 2013,,,,,,,1,1.2,1.2,,,
,4. Rajauri,2005 - 2006,,,,,,,1,1.5,1.5,,,
,5. Reasi,2007 - 2008,,,,,,,8,9.2,1.15,,,
,,2009 - 2010,,,,,,,8,9.3,1.16,,,
,,2010 - 2011,,,,,,,7,8.1,1.16,,,
,,2011 - 2012,,,,,,,6,7,1.17,,,
,,2012 - 2013,,,,,,,4,4.7,1.18,,,
,,2014 - 2015,,,,,,,4,4.7,1.18,,,
,,2015 - 2016,,,,,,,4,10.6,2.65,,,
,6. Samba,2017 - 2018,,,,,,,3,6.4,2.13,,,
,7. Udhampur,2000 - 2001,,,,,,,37,43,1.16,,,
,,2005 - 2006,,,,,,,37,42.6,1.15,,,
,,2007 - 2008,,,,,,,59,67.9,1.15,,,
,,2009 - 2010,,,,,,,16,18.9,1.18,,,
,,2010 - 2011,,,,,,,13,15.4,1.18,,,
,,2011 - 2012,,,,,,,16,19,1.19,,,
,,2012 - 2013,,,,,,,13,15.4,1.18,,,
,,2014 - 2015,,,,,,,9,10.6,1.18,,,
,,2016 - 2017,,,,,,,11,23.3,2.12,,,
,,2017 - 2018,,,,,,,11,23.3,2.12,,,
,,2018 - 2019,,,,,,,17,36,2.12,,,
,,2019 - 2020,,,,,,,11,23.3,2.12,,,
,,2020 - 2021,,,,,,,23,48.7,2.12,,,
10. Karnataka,1. Bagalkot,2014 - 2015,134,"3,892.00",29.04,,,,,,,,,
,,2015 - 2016,54,"2,016.00",37.33,,,,,,,,,
,,2016 - 2017,22,556,25.27,,,,,,,,,
,,2017 - 2018,8,207,25.88,,,,,,,,,
,,2018 - 2019,6,92.3,15.38,,,,,,,,,
,,2019 - 2020,4,41.8,10.45,,,,,,,,,
,,2020 - 2021,82,958.8,11.69,,,,,,,,,
,,2021 - 2022,18,221.5,12.31,,,,,,,,,
,,2022 - 2023,18,144.1,8.01,,,,,,,,,
,2. Bangalore rural,2000 - 2001,,,,,,,37,432,11.68,,,
,,2001 - 2002,,,,,,,59,689,11.68,,,
,,2002 - 2003,,,,,,,30,350,11.67,,,
,,2003 - 2004,,,,,,,46,537,11.67,,,
,,2004 - 2005,,,,,,,51,595,11.67,,,
,,2005 - 2006,70,817,11.67,,,,,,,,,
,,2006 - 2007,85,992,11.67,,,,,,,,,
,,2007 - 2008,67,"1,375.00",20.52,,,,,,,,,
,,2008 - 2009,57,"1,816.00",31.86,,,,,,,,,
,,2009 - 2010,69,"2,173.00",31.49,,,,,,,,,
,,2010 - 2011,71,256.9,3.62,,,,,,,,,
,,2011 - 2012,54,171.8,3.18,,,,,,,,,
,,2012 - 2013,34,"1,083.00",31.85,,,,,,,,,
,,2013 - 2014,9,249,27.67,,,,,,,,,
,,2014 - 2015,11,320,29.09,,,,,,,,,
,,2015 - 2016,42,"1,568.00",37.33,,,,,,,,,
,,2016 - 2017,41,"1,037.00",25.29,,,,,,,,,
,,2017 - 2018,41,"1,059.00",25.83,,,,,,,,,
,,2018 - 2019,111,"1,708.30",15.39,,,,,,,,,
,,2019 - 2020,179,"1,872.20",10.46,,,,,,,,,
,,2020 - 2021,535,"6,255.80",11.69,,,,,,,,,
,,2021 - 2022,356,"4,160.30",11.69,,,,,,,,,
,,2022 - 2023,221,"1,665.53",7.54,,,,,,,,,
,3. Belgaum,2007 - 2008,10,205,20.5,,,,,,,,,
,,2008 - 2009,5,159,31.8,,,,,,,,,
,,2010 - 2011,43,155.6,3.62,,,,,,,,,
,,2012 - 2013,6,191,31.83,,,,,,,,,
,,2013 - 2014,12,332,27.67,,,,,,,,,
,,2014 - 2015,22,639,29.05,,,,,,,,,
,,2016 - 2017,2,51,25.5,,,,,,,,,
,,2017 - 2018,5,129,25.8,,,,,,,,,
,,2018 - 2019,2,30.8,15.4,,,,,,,,,
,,2019 - 2020,7,73.2,10.46,,,,,,,,,
,,2020 - 2021,46,537.9,11.69,,,,,,,,,
,,2021 - 2022,16,196.9,12.31,,,,,,,,,
,,2022 - 2023,5,74,14.8,,,,,,,,,
,4. Bellary,2001 - 2002,,,,,,,1,13,13,,,
,,2003 - 2004,,,,,,,1,13,13,,,
,,2004 - 2005,,,,,,,1,13,13,,,
,,2005 - 2006,1,13,13,,,,,,,,,
,,2006 - 2007,1,13,13,,,,,,,,,
,,2007 - 2008,1,21,21,,,,,,,,,
,,2008 - 2009,1,32,32,,,,,,,,,
,,2009 - 2010,1,31,31,,,,,,,,,
,,2010 - 2011,1,3.6,3.6,,,,,,,,,
,,2015 - 2016,1,37,37,,,,,,,,,
,,2017 - 2018,1,26,26,,,,,,,,,
,,2018 - 2019,4,61.6,15.4,,,,,,,,,
,,2019 - 2020,12,125.5,10.46,,,,,,,,,
,,2020 - 2021,32,374.2,11.69,,,,,,,,,
,,2021 - 2022,15,184.6,12.31,,,,,,,,,
,5. Bengaluru urban,2000 - 2001,,,,,,,4,47,11.75,,,
,,2012 - 2013,5,159,31.8,,,,,,,,,
,,2013 - 2014,4,111,27.75,,,,,,,,,
,,2014 - 2015,11,320,29.09,,,,,,,,,
,,2015 - 2016,14,523,37.36,,,,,,,,,
,,2016 - 2017,4,101,25.25,,,,,,,,,
,,2017 - 2018,6,155,25.83,,,,,,,,,
,,2018 - 2019,11,169.3,15.39,,,,,,,,,
,,2019 - 2020,48,502,10.46,,,,,,,,,
,,2020 - 2021,83,970.5,11.69,,,,,,,,,
,,2021 - 2022,41,516.8,12.6,,,,,,,,,
,,2022 - 2023,22,347.8,15.81,,,,,,,,,
,6. Bidar,2000 - 2001,,,,,,,"1,108.00","14,084.00",12.71,,,
,,2001 - 2002,,,,,,,"1,038.00","13,195.00",12.71,,,
,,2002 - 2003,,,,,,,"1,047.00","13,309.00",12.71,,,
,,2003 - 2004,,,,,,,788,"10,017.00",12.71,,,
,,2004 - 2005,,,,,,,711,"9,038.00",12.71,,,
,,2005 - 2006,967,"12,292.00",12.71,,,,,,,,,
,,2006 - 2007,"1,355.00","17,224.00",12.71,,,,,,,,,
,,2007 - 2008,817,"16,767.00",20.52,,,,,,,,,
,,2008 - 2009,"1,179.00","37,561.00",31.86,,,,,,,,,
,,2009 - 2010,"1,375.00","43,301.00",31.49,,,,,,,,,
,,2010 - 2011,"1,219.00","4,410.90",3.62,,,,,,,,,
,,2011 - 2012,"1,382.00","4,397.30",3.18,,,,,,,,,
,,2012 - 2013,"1,285.00","40,938.00",31.86,,,,,,,,,
,,2013 - 2014,775,"12,683.00",16.37,,,,,,,,,
,,2014 - 2015,902,"14,279.00",15.83,,,,,,,,,
,,2015 - 2016,779,"12,509.00",16.06,,,,,,,,,
,,2016 - 2017,"1,690.00","30,819.00",18.24,,,,,,,,,
,,2017 - 2018,510,"13,173.00",25.83,,,,,,,,,
,,2018 - 2019,"1,731.00","26,641.00",15.39,,,,,,,,,
,,2019 - 2020,"1,360.00","18,907.50",13.9,,,,,,,,,
,,2020 - 2021,"2,616.00","36,493.20",13.95,,,,,,,,,
,,2021 - 2022,"1,769.00","24,758.40",14,,,,,,,,,
,,2022 - 2023,538,"6,187.23",11.5,,,,,,,,,
,7. Bijapur,2018 - 2019,6,92.3,15.38,,,,,,,,,
,,2019 - 2020,13,136,10.46,,,,,,,,,
,,2020 - 2021,131,"1,531.80",11.69,,,,,,,,,
,,2021 - 2022,73,910.5,12.47,,,,,,,,,
,,2022 - 2023,26,64.01,2.46,,,,,,,,,
,8. Chamarajanagar,2005 - 2006,2,26,13,,,,,,,,,
,,2006 - 2007,6,78,13,,,,,,,,,
,,2007 - 2008,1,21,21,,,,,,,,,
,,2008 - 2009,37,"1,179.00",31.86,,,,,,,,,
,,2009 - 2010,58,"1,827.00",31.5,,,,,,,,,
,,2010 - 2011,43,155.6,3.62,,,,,,,,,
,,2011 - 2012,55,175,3.18,,,,,,,,,
,,2012 - 2013,85,"2,708.00",31.86,,,,,,,,,
,,2013 - 2014,30,829,27.63,,,,,,,,,
,,2014 - 2015,34,988,29.06,,,,,,,,,
,,2015 - 2016,85,"3,173.00",37.33,,,,,,,,,
,,2016 - 2017,95,"2,402.00",25.28,,,,,,,,,
,,2017 - 2018,174,"4,494.00",25.83,,,,,,,,,
,,2018 - 2019,104,"1,600.60",15.39,,,,,,,,,
,,2019 - 2020,96,"1,004.10",10.46,,,,,,,,,
,,2020 - 2021,342,"3,999.00",11.69,,,,,,,,,
,,2021 - 2022,292,"3,666.60",12.56,,,,,,,,,
,,2022 - 2023,240,"2,401.01",10,,,,,,,,,
,9. Chikballapur,2010 - 2011,7,25.3,3.61,,,,,,,,,
,,2011 - 2012,16,50.9,3.18,,,,,,,,,
,,2012 - 2013,15,478,31.87,,,,,,,,,
,,2013 - 2014,13,359,27.62,,,,,,,,,
,,2014 - 2015,10,290,29,,,,,,,,,
,,2015 - 2016,17,635,37.35,,,,,,,,,
,,2016 - 2017,10,253,25.3,,,,,,,,,
,,2017 - 2018,37,956,25.84,,,,,,,,,
,,2018 - 2019,16,246.2,15.39,,,,,,,,,
,,2019 - 2020,36,376.5,10.46,,,,,,,,,
,,2020 - 2021,222,"2,595.80",11.69,,,,,,,,,
,,2021 - 2022,132,"1,661.00",12.58,,,,,,,,,
,,2022 - 2023,53,504.86,9.53,,,,,,,,,
,10. Chikmagalur,2000 - 2001,,,,,,,522,"6,382.00",12.23,,,
,,2001 - 2002,,,,,,,316,"3,864.00",12.23,,,
,,2002 - 2003,,,,,,,120,"1,467.00",12.23,,,
,,2003 - 2004,,,,,,,160,"1,956.00",12.23,,,
,,2004 - 2005,,,,,,,928,"11,346.00",12.23,,,
,,2005 - 2006,"1,330.00","16,261.00",12.23,,,,,,,,,
,,2006 - 2007,800,"9,781.00",12.23,,,,,,,,,
,,2007 - 2008,638,"13,093.00",20.52,,,,,,,,,
,,2008 - 2009,268,"8,538.00",31.86,,,,,,,,,
,,2009 - 2010,353,"11,117.00",31.49,,,,,,,,,
,,2010 - 2011,432,"1,481.90",3.43,,,,,,,,,
,,2011 - 2012,611,"1,852.20",3.03,,,,,,,,,
,,2012 - 2013,458,"13,884.00",30.31,,,,,,,,,
,,2013 - 2014,484,"15,424.00",31.87,,,,,,,,,
,,2014 - 2015,705,"20,478.00",29.05,,,,,,,,,
,,2015 - 2016,741,"27,664.00",37.33,,,,,,,,,
,,2016 - 2017,613,"15,499.00",25.28,,,,,,,,,
,,2017 - 2018,653,"16,291.00",24.95,,,,,,,,,
,,2018 - 2019,442,"7,243.70",16.39,,,,,,,,,
,,2019 - 2020,635,"6,746.70",10.62,,,,,,,,,
,,2020 - 2021,"1,557.00","18,206.00",11.69,,,,,,,,,
,,2021 - 2022,"1,421.00","14,087.50",9.91,,,,,,,,,
,,2022 - 2023,762,"8,295.30",10.89,,,,,,,,,
,11. Chitradurga,2000 - 2001,,,,,,,12,158,13.17,,,
,,2016 - 2017,2,51,25.5,,,,,,,,,
,,2017 - 2018,1,26,26,,,,,,,,,
,,2018 - 2019,9,138.5,15.39,,,,,,,,,
,,2019 - 2020,32,334.7,10.46,,,,,,,,,
,,2020 - 2021,32,374.2,11.69,,,,,,,,,
,,2021 - 2022,34,430.6,12.66,,,,,,,,,
,,2022 - 2023,13,118.1,9.08,,,,,,,,,
,12. Dakshin kannad,2000 - 2001,,,,,,,346,"4,073.00",11.77,,,
,,2001 - 2002,,,,,,,325,"3,826.00",11.77,,,
,,2002 - 2003,,,,,,,311,"3,661.00",11.77,,,
,,2003 - 2004,,,,,,,301,"3,543.00",11.77,,,
,,2004 - 2005,,,,,,,292,"3,437.00",11.77,,,
,,2005 - 2006,288,"3,390.00",11.77,,,,,,,,,
,,2006 - 2007,314,"3,696.00",11.77,,,,,,,,,
,,2007 - 2008,315,"6,465.00",20.52,,,,,,,,,
,,2008 - 2009,301,"9,589.00",31.86,,,,,,,,,
,,2009 - 2010,323,"10,172.00",31.49,,,,,,,,,
,,2010 - 2011,315,"1,139.80",3.62,,,,,,,,,
,,2011 - 2012,306,973.6,3.18,,,,,,,,,
,,2012 - 2013,294,"9,366.00",31.86,,,,,,,,,
,,2013 - 2014,283,"9,641.00",34.07,,,,,,,,,
,,2014 - 2015,266,"7,726.00",29.05,,,,,,,,,
,,2015 - 2016,234,"8,736.00",37.33,,,,,,,,,
,,2016 - 2017,195,"4,930.00",25.28,,,,,,,,,
,,2017 - 2018,94,"2,428.00",25.83,,,,,,,,,
,,2018 - 2019,1,15.4,15.4,,,,,,,,,
,,2020 - 2021,4,46.8,11.7,,,,,,,,,
,,2021 - 2022,1,12.3,12.3,,,,,,,,,
,13. Davangere,2001 - 2002,,,,,,,5,66,13.2,,,
,,2002 - 2003,,,,,,,9,118,13.11,,,
,,2003 - 2004,,,,,,,4,53,13.25,,,
,,2004 - 2005,,,,,,,1,13,13,,,
,,2005 - 2006,9,118,13.11,,,,,,,,,
,,2006 - 2007,4,53,13.25,,,,,,,,,
,,2007 - 2008,6,123,20.5,,,,,,,,,
,,2008 - 2009,2,64,32,,,,,,,,,
,,2009 - 2010,1,31,31,,,,,,,,,
,,2010 - 2011,5,18.1,3.62,,,,,,,,,
,,2011 - 2012,4,12.7,3.18,,,,,,,,,
,,2013 - 2014,4,111,27.75,,,,,,,,,
,,2014 - 2015,6,174,29,,,,,,,,,
,,2015 - 2016,179,"6,683.00",37.34,,,,,,,,,
,,2016 - 2017,7,177,25.29,,,,,,,,,
,,2017 - 2018,174,"4,494.00",25.83,,,,,,,,,
,,2018 - 2019,54,831.1,15.39,,,,,,,,,
,,2019 - 2020,81,847.2,10.46,,,,,,,,,
,,2020 - 2021,252,"2,946.60",11.69,,,,,,,,,
,,2021 - 2022,278,"3,494.30",12.57,,,,,,,,,
,,2022 - 2023,186,"2,374.10",12.76,,,,,,,,,
,14. Dharwad,2014 - 2015,5,145,29,,,,,,,,,
,,2015 - 2016,1,37,37,,,,,,,,,
,,2018 - 2019,6,92.3,15.38,,,,,,,,,
,,2019 - 2020,6,62.8,10.47,,,,,,,,,
,,2020 - 2021,63,736.7,11.69,,,,,,,,,
,,2021 - 2022,41,516.8,12.6,,,,,,,,,
,,2022 - 2023,4,35.01,8.75,,,,,,,,,
,15. Gadag,2001 - 2002,,,,,,,6,79,13.17,,,
,,2004 - 2005,,,,,,,6,79,13.17,,,
,,2014 - 2015,2,58,29,,,,,,,,,
,,2015 - 2016,2,75,37.5,,,,,,,,,
,,2016 - 2017,2,51,25.5,,,,,,,,,
,,2018 - 2019,3,46.2,15.4,,,,,,,,,
,,2019 - 2020,19,198.7,10.46,,,,,,,,,
,,2020 - 2021,11,128.6,11.69,,,,,,,,,
,,2021 - 2022,16,196.9,12.31,,,,,,,,,
