State,District,Year,Tapioca,,,,,,,,
,,2009 - 2010,16,551,34.44,,,,,,
,,2011 - 2012,92,"3,465.00",37.66,,,,,,
,,2013 - 2014,133,"3,980.00",29.92,,,,,,
,,2014 - 2015,58,"1,881.00",32.43,,,,,,
,,2015 - 2016,29,796,27.45,,,,,,
,,2016 - 2017,22,578,26.27,,,,,,
,,2017 - 2018,1,34,34,,,,,,
,,2019 - 2020,21,793,37.76,,,,,,
,,2021 - 2022,0.3,6,20,,,,,,
,10. Kanniyakumari,2000 - 2001,"8,179.00","2,10,694.00",25.76,,,,,,
,,2002 - 2003,"7,405.00","2,11,442.00",28.55,,,,,,
,,2003 - 2004,"8,681.00","1,91,188.00",22.02,,,,,,
,,2004 - 2005,"7,378.00","2,13,132.00",28.89,,,,,,
,,2005 - 2006,"7,693.00","2,61,914.00",34.05,,,,,,
,,2006 - 2007,"7,868.00","2,73,407.00",34.75,,,,,,
,,2007 - 2008,"7,614.00","3,18,557.00",41.84,,,,,,
,,2008 - 2009,"6,965.00","1,77,691.00",25.51,,,,,,
,,2009 - 2010,"6,202.00","1,89,581.00",30.57,,,,,,
,,2011 - 2012,"2,712.00","1,15,400.00",42.55,,,,,,
,,2013 - 2014,"1,038.00","36,303.00",34.97,,,,,,
,,2014 - 2015,"1,172.00","37,189.00",31.73,,,,,,
,,2015 - 2016,"1,598.00","90,738.00",56.78,,,,,,
,,2016 - 2017,"1,403.00","44,520.00",31.73,,,,,,
,,2017 - 2018,"1,339.00","29,123.00",21.75,,,,,,
,,2018 - 2019,816,"22,307.00",27.34,,,,,,
,,2019 - 2020,912,"35,561.00",38.99,,,,,,
,,2020 - 2021,"1,438.00","61,151.00",42.53,,,,,,
,,2021 - 2022,"1,253.00","40,231.00",32.11,,,,,,
,,2022 - 2023,919,"31,372.00",34.14,,,,,,
,11. Karur,2000 - 2001,447,"17,219.00",38.52,,,,,,
,,2002 - 2003,680,"21,480.00",31.59,,,,,,
,,2003 - 2004,"1,384.00","46,629.00",33.69,,,,,,
,,2004 - 2005,"1,752.00","72,301.00",41.27,,,,,,
,,2005 - 2006,"2,191.00","83,720.00",38.21,,,,,,
,,2006 - 2007,"2,606.00","1,05,179.00",40.36,,,,,,
,,2007 - 2008,"2,839.00","1,19,814.00",42.2,,,,,,
,,2008 - 2009,"2,516.00","91,761.00",36.47,,,,,,
,,2009 - 2010,"3,022.00","1,05,024.00",34.75,,,,,,
,,2011 - 2012,"2,362.00","1,00,938.00",42.73,,,,,,
,,2013 - 2014,"1,113.00","33,328.00",29.94,,,,,,
,,2014 - 2015,"1,252.00","53,367.00",42.63,,,,,,
,,2015 - 2016,"1,318.00","56,400.00",42.79,,,,,,
,,2016 - 2017,"1,108.00","16,949.00",15.3,,,,,,
,,2017 - 2018,"1,193.00","32,161.00",26.96,,,,,,
,,2018 - 2019,"1,301.00","75,646.00",58.14,,,,,,
,,2019 - 2020,"1,099.00","55,695.00",50.68,,,,,,
,,2020 - 2021,"1,208.00","43,430.00",35.95,,,,,,
,,2021 - 2022,"1,662.00","37,200.00",22.38,,,,,,
,,2022 - 2023,"1,450.00","32,942.00",22.72,,,,,,
,12. Krishnagiri,2003 - 2004,434,"8,826.00",20.34,,,,,,
,,2004 - 2005,943,"46,884.00",49.72,,,,,,
,,2005 - 2006,"1,186.00","45,318.00",38.21,,,,,,
,,2006 - 2007,"1,949.00","78,662.00",40.36,,,,,,
,,2007 - 2008,"1,558.00","32,305.00",20.73,,,,,,
,,2008 - 2009,"1,439.00","52,482.00",36.47,,,,,,
,,2009 - 2010,"1,293.00","44,567.00",34.47,,,,,,
,,2011 - 2012,"1,321.00","49,753.00",37.66,,,,,,
,,2013 - 2014,429,"9,089.00",21.19,,,,,,
,,2014 - 2015,384,"26,016.00",67.75,,,,,,
,,2015 - 2016,341,"12,099.00",35.48,,,,,,
,,2016 - 2017,47,"1,058.00",22.51,,,,,,
,,2017 - 2018,189,"5,341.00",28.26,,,,,,
,,2018 - 2019,72,"2,513.00",34.9,,,,,,
,,2019 - 2020,233,"8,791.00",37.73,,,,,,
,,2020 - 2021,546,"23,232.00",42.55,,,,,,
,,2021 - 2022,498,"16,001.00",32.13,,,,,,
,,2022 - 2023,186,"6,947.00",37.35,,,,,,
,13. Madurai,2000 - 2001,73,"2,590.00",35.48,,,,,,
,,2002 - 2003,98,"3,096.00",31.59,,,,,,
,,2003 - 2004,123,"4,144.00",33.69,,,,,,
,,2004 - 2005,65,"2,682.00",41.26,,,,,,
,,2005 - 2006,52,"1,987.00",38.21,,,,,,
,,2006 - 2007,36,"1,453.00",40.36,,,,,,
,,2007 - 2008,39,"1,646.00",42.21,,,,,,
,,2008 - 2009,73,"2,662.00",36.47,,,,,,
,,2009 - 2010,68,"2,344.00",34.47,,,,,,
,,2011 - 2012,105,"3,955.00",37.67,,,,,,
,,2013 - 2014,73,"2,184.00",29.92,,,,,,
,,2014 - 2015,52,"1,687.00",32.44,,,,,,
,,2015 - 2016,59,"1,619.00",27.44,,,,,,
,,2016 - 2017,67,"1,765.00",26.34,,,,,,
,,2017 - 2018,25,855,34.2,,,,,,
,,2018 - 2019,25,865,34.6,,,,,,
,,2019 - 2020,21,779,37.1,,,,,,
,,2020 - 2021,34,"1,465.00",43.09,,,,,,
,,2021 - 2022,55,"1,780.00",32.36,,,,,,
,,2022 - 2023,38,"1,427.00",37.55,,,,,,
,14. Mayiladuthurai,2020 - 2021,105,"4,461.00",42.49,,,,,,
,,2021 - 2022,98,"3,138.00",32.02,,,,,,
,,2022 - 2023,83,"3,117.00",37.55,,,,,,
,15. Nagapattinam,2000 - 2001,145,"5,145.00",35.48,,,,,,
,,2002 - 2003,160,"5,055.00",31.59,,,,,,
,,2003 - 2004,159,"5,357.00",33.69,,,,,,
,,2004 - 2005,163,"6,727.00",41.27,,,,,,
,,2005 - 2006,214,"8,177.00",38.21,,,,,,
,,2006 - 2007,181,"7,305.00",40.36,,,,,,
,,2007 - 2008,158,"6,668.00",42.2,,,,,,
,,2008 - 2009,129,"4,705.00",36.47,,,,,,
,,2009 - 2010,126,"4,343.00",34.47,,,,,,
,,2011 - 2012,193,"7,269.00",37.66,,,,,,
,,2013 - 2014,96,"2,873.00",29.93,,,,,,
,,2014 - 2015,120,"3,893.00",32.44,,,,,,
,,2015 - 2016,66,"1,811.00",27.44,,,,,,
,,2016 - 2017,77,"2,018.00",26.21,,,,,,
,,2017 - 2018,62,"2,156.00",34.77,,,,,,
,,2018 - 2019,59,"2,062.00",34.95,,,,,,
,,2019 - 2020,46,"1,732.00",37.65,,,,,,
,16. Namakkal,2000 - 2001,"25,900.00","10,29,137.00",39.74,,,,,,
,,2002 - 2003,"6,827.00","3,12,351.00",45.75,,,,,,
,,2003 - 2004,"17,511.00","7,98,839.00",45.62,,,,,,
,,2004 - 2005,"18,068.00","8,27,090.00",45.78,,,,,,
,,2005 - 2006,"22,325.00","10,76,497.00",48.22,,,,,,
,,2006 - 2007,"25,520.00","12,36,457.00",48.45,,,,,,
,,2007 - 2008,"28,445.00","12,10,020.00",42.54,,,,,,
,,2008 - 2009,"28,312.00","12,37,518.00",43.71,,,,,,
,,2009 - 2010,"26,856.00","10,07,100.00",37.5,,,,,,
,,2011 - 2012,"27,037.00","9,81,818.00",36.31,,,,,,
,,2013 - 2014,"16,872.00","5,86,088.00",34.74,,,,,,
,,2014 - 2015,"17,685.00","4,86,393.00",27.5,,,,,,
,,2015 - 2016,"15,990.00","4,61,471.00",28.86,,,,,,
,,2016 - 2017,"16,667.00","4,20,188.00",25.21,,,,,,
,,2017 - 2018,"16,024.00","4,82,182.00",30.09,,,,,,
,,2018 - 2019,"16,158.00","5,73,928.00",35.52,,,,,,
,,2019 - 2020,"19,236.00","6,17,794.00",32.12,,,,,,
,,2020 - 2021,"19,166.00","8,86,113.00",46.23,,,,,,
,,2021 - 2022,"20,141.00","5,65,579.00",28.08,,,,,,
,,2022 - 2023,"17,755.00","6,56,937.00",37,,,,,,
,17. Perambalur,2000 - 2001,"1,954.00","75,654.00",38.72,,,,,,
,,2002 - 2003,"2,578.00","1,20,981.00",46.93,,,,,,
,,2003 - 2004,"3,048.00","1,02,691.00",33.69,,,,,,
,,2004 - 2005,"4,500.00","2,44,916.00",54.43,,,,,,
,,2005 - 2006,"4,082.00","1,60,325.00",39.28,,,,,,
,,2006 - 2007,"2,573.00","1,07,892.00",41.93,,,,,,
,,2007 - 2008,"2,466.00","1,56,923.00",63.63,,,,,,
,,2008 - 2009,"1,129.00","60,716.00",53.78,,,,,,
,,2009 - 2010,923,"48,570.00",52.62,,,,,,
,,2011 - 2012,"1,691.00","63,688.00",37.66,,,,,,
,,2013 - 2014,"1,369.00","89,958.00",65.71,,,,,,
,,2014 - 2015,"2,067.00","1,24,123.00",60.05,,,,,,
,,2015 - 2016,"2,327.00","62,780.00",26.98,,,,,,
,,2016 - 2017,"1,659.00","43,415.00",26.17,,,,,,
,,2017 - 2018,"1,886.00","90,607.00",48.04,,,,,,
,,2018 - 2019,"1,738.00","46,357.00",26.67,,,,,,
,,2019 - 2020,"1,631.00","47,057.00",28.85,,,,,,
,,2020 - 2021,"1,945.00","56,167.00",28.88,,,,,,
,,2021 - 2022,"2,085.00","50,677.00",24.31,,,,,,
,,2022 - 2023,"1,986.00","75,722.00",38.13,,,,,,
,18. Pudukkottai,2000 - 2001,14,497,35.5,,,,,,
,,2002 - 2003,16,505,31.56,,,,,,
,,2003 - 2004,17,573,33.71,,,,,,
,,2004 - 2005,21,867,41.29,,,,,,
,,2005 - 2006,21,802,38.19,,,,,,
,,2006 - 2007,91,"3,673.00",40.36,,,,,,
,,2007 - 2008,34,"1,435.00",42.21,,,,,,
,,2008 - 2009,36,"1,313.00",36.47,,,,,,
,,2009 - 2010,46,"1,586.00",34.48,,,,,,
,,2011 - 2012,50,"1,883.00",37.66,,,,,,
,,2013 - 2014,57,"1,706.00",29.93,,,,,,
,,2014 - 2015,127,"4,120.00",32.44,,,,,,
,,2015 - 2016,152,"4,172.00",27.45,,,,,,
,,2016 - 2017,216,"5,688.00",26.33,,,,,,
,,2017 - 2018,273,"9,342.00",34.22,,,,,,
,,2018 - 2019,495,"17,214.00",34.78,,,,,,
,,2019 - 2020,689,"26,038.00",37.79,,,,,,
,,2020 - 2021,786,"33,433.00",42.54,,,,,,
,,2021 - 2022,787,"25,295.00",32.14,,,,,,
,,2022 - 2023,586,"22,006.00",37.55,,,,,,
,19. Ramanathapuram,2013 - 2014,19,569,29.95,,,,,,
,,2015 - 2016,9,247,27.44,,,,,,
,,2016 - 2017,7,177,25.29,,,,,,
,,2017 - 2018,1,34,34,,,,,,
,20. Ranipet,2020 - 2021,2,68,34,,,,,,
,,2021 - 2022,1,43,43,,,,,,
,,2022 - 2023,4,150,37.5,,,,,,
,21. Salem,2000 - 2001,"28,970.00","10,28,087.00",35.49,,,,,,
,,2002 - 2003,"11,828.00","3,26,310.00",27.59,,,,,,
,,2003 - 2004,"23,852.00","8,04,827.00",33.74,,,,,,
,,2004 - 2005,"19,873.00","7,57,232.00",38.1,,,,,,
,,2005 - 2006,"27,007.00","9,08,741.00",33.65,,,,,,
,,2006 - 2007,"29,096.00","10,80,501.00",37.14,,,,,,
,,2007 - 2008,"30,370.00","11,78,658.00",38.81,,,,,,
,,2008 - 2009,"25,891.00","8,39,930.00",32.44,,,,,,
,,2009 - 2010,"23,057.00","7,49,227.00",32.49,,,,,,
,,2011 - 2012,"17,084.00","8,65,062.00",50.64,,,,,,
,,2013 - 2014,"14,419.00","3,17,727.00",22.04,,,,,,
,,2014 - 2015,"15,143.00","4,27,563.00",28.24,,,,,,
,,2015 - 2016,"12,843.00","4,24,243.00",33.03,,,,,,
,,2016 - 2017,"8,496.00","2,06,300.00",24.28,,,,,,
,,2017 - 2018,"11,468.00","3,93,104.00",34.28,,,,,,
,,2018 - 2019,"9,440.00","2,82,822.00",29.96,,,,,,
,,2019 - 2020,"9,990.00","4,54,831.00",45.53,,,,,,
,,2020 - 2021,"11,489.00","5,07,757.00",44.2,,,,,,
,,2021 - 2022,"11,446.00","4,03,502.00",35.25,,,,,,
,,2022 - 2023,"13,117.00","5,38,936.00",41.09,,,,,,
,22. Sivaganga,2003 - 2004,14,472,33.71,,,,,,
,,2004 - 2005,26,"1,073.00",41.27,,,,,,
,,2005 - 2006,10,382,38.2,,,,,,
,,2006 - 2007,3,121,40.33,,,,,,
,,2007 - 2008,3,127,42.33,,,,,,
,,2008 - 2009,3,109,36.33,,,,,,
,,2013 - 2014,5,150,30,,,,,,
,,2014 - 2015,4,130,32.5,,,,,,
,,2015 - 2016,21,576,27.43,,,,,,
,,2016 - 2017,17,448,26.35,,,,,,
,,2017 - 2018,27,924,34.22,,,,,,
,,2018 - 2019,12,417,34.75,,,,,,
,,2019 - 2020,28,"1,063.00",37.96,,,,,,
,,2020 - 2021,45,"1,929.00",42.87,,,,,,
,,2021 - 2022,63,"2,023.00",32.11,,,,,,
,,2022 - 2023,86,"3,230.00",37.56,,,,,,
,23. Thanjavur,2000 - 2001,156,"5,536.00",35.49,,,,,,
,,2002 - 2003,40,"1,264.00",31.6,,,,,,
,,2003 - 2004,53,"1,785.00",33.68,,,,,,
,,2004 - 2005,113,"4,663.00",41.27,,,,,,
,,2005 - 2006,199,"7,604.00",38.21,,,,,,
,,2006 - 2007,272,"10,978.00",40.36,,,,,,
,,2007 - 2008,225,"9,496.00",42.2,,,,,,
,,2008 - 2009,315,"11,488.00",36.47,,,,,,
,,2009 - 2010,266,"9,169.00",34.47,,,,,,
,,2011 - 2012,174,"6,553.00",37.66,,,,,,
,,2013 - 2014,124,"3,710.00",29.92,,,,,,
,,2014 - 2015,238,"7,720.00",32.44,,,,,,
,,2015 - 2016,247,"6,779.00",27.45,,,,,,
,,2016 - 2017,406,"10,700.00",26.35,,,,,,
,,2017 - 2018,449,"15,398.00",34.29,,,,,,
,,2018 - 2019,608,"15,021.00",24.71,,,,,,
,,2019 - 2020,629,"30,997.00",49.28,,,,,,
,,2020 - 2021,820,"34,904.00",42.57,,,,,,
,,2021 - 2022,659,"21,163.00",32.11,,,,,,
,,2022 - 2023,597,"22,419.00",37.55,,,,,,
,24. The nilgiris,2000 - 2001,91,"3,229.00",35.48,,,,,,
,,2002 - 2003,102,"3,222.00",31.59,,,,,,
,,2003 - 2004,70,"2,358.00",33.69,,,,,,
,,2004 - 2005,68,"2,806.00",41.26,,,,,,
,,2005 - 2006,58,"2,216.00",38.21,,,,,,
,,2006 - 2007,72,"2,906.00",40.36,,,,,,
,,2007 - 2008,65,"2,745.00",42.23,,,,,,
,,2008 - 2009,71,"2,589.00",36.46,,,,,,
,,2009 - 2010,83,"2,861.00",34.47,,,,,,
,,2011 - 2012,55,"2,075.00",37.73,,,,,,
,,2013 - 2014,57,"1,706.00",29.93,,,,,,
,,2014 - 2015,74,"2,400.00",32.43,,,,,,
,,2015 - 2016,71,"1,949.00",27.45,,,,,,
,,2016 - 2017,59,"1,566.00",26.54,,,,,,
,,2017 - 2018,37,"1,266.00",34.22,,,,,,
,,2018 - 2019,40,"1,376.00",34.4,,,,,,
,,2019 - 2020,30,"1,150.00",38.33,,,,,,
,,2020 - 2021,38,"1,626.00",42.79,,,,,,
,,2021 - 2022,28,907,32.39,,,,,,
,,2022 - 2023,36,"1,352.00",37.56,,,,,,
,25. Theni,2000 - 2001,132,"4,684.00",35.48,,,,,,
,,2002 - 2003,28,885,31.61,,,,,,
,,2003 - 2004,8,270,33.75,,,,,,
,,2004 - 2005,9,371,41.22,,,,,,
,,2005 - 2006,17,650,38.24,,,,,,
,,2006 - 2007,28,"1,130.00",40.36,,,,,,
,,2007 - 2008,60,"2,532.00",42.2,,,,,,
,,2008 - 2009,115,"4,194.00",36.47,,,,,,
,,2009 - 2010,284,"9,789.00",34.47,,,,,,
,,2011 - 2012,"1,049.00","39,508.00",37.66,,,,,,
,,2013 - 2014,899,"54,123.00",60.2,,,,,,
,,2014 - 2015,708,"30,356.00",42.88,,,,,,
,,2015 - 2016,513,"17,531.00",34.17,,,,,,
,,2016 - 2017,257,"8,877.00",34.54,,,,,,
,,2017 - 2018,203,"7,514.00",37.01,,,,,,
,,2018 - 2019,167,"4,878.00",29.21,,,,,,
,,2019 - 2020,24,"1,015.00",42.29,,,,,,
,,2020 - 2021,125,"5,335.00",42.68,,,,,,
,,2021 - 2022,117,"3,746.00",32.02,,,,,,
,,2022 - 2023,101,"3,793.00",37.55,,,,,,
,26. Thenkasi,2020 - 2021,76,"3,228.00",42.47,,,,,,
,,2021 - 2022,63,"2,027.00",32.17,,,,,,
,,2022 - 2023,64,"2,403.00",37.55,,,,,,
,27. Thiruvallur,2000 - 2001,90,"3,194.00",35.49,,,,,,
,,2002 - 2003,128,"4,043.00",31.59,,,,,,
,,2003 - 2004,28,943,33.68,,,,,,
,,2004 - 2005,124,"5,117.00",41.27,,,,,,
,,2005 - 2006,67,"2,560.00",38.21,,,,,,
,,2006 - 2007,70,"2,825.00",40.36,,,,,,
,,2007 - 2008,25,"1,055.00",42.2,,,,,,
,,2008 - 2009,44,"1,605.00",36.48,,,,,,
,,2009 - 2010,102,"3,516.00",34.47,,,,,,
,,2011 - 2012,85,"3,201.00",37.66,,,,,,
,,2013 - 2014,48,"1,436.00",29.92,,,,,,
,,2014 - 2015,67,"2,173.00",32.43,,,,,,
,,2015 - 2016,205,"5,626.00",27.44,,,,,,
,,2016 - 2017,125,"3,284.00",26.27,,,,,,
,,2017 - 2018,6,205,34.17,,,,,,
,,2018 - 2019,55,"1,913.00",34.78,,,,,,
,,2019 - 2020,120,"4,525.00",37.71,,,,,,
,,2020 - 2021,41,"1,741.00",42.46,,,,,,
,,2021 - 2022,195,"6,261.00",32.11,,,,,,
,,2022 - 2023,25,939,37.56,,,,,,
,28. Thiruvarur,2000 - 2001,49,"1,739.00",35.49,,,,,,
,,2002 - 2003,24,758,31.58,,,,,,
,,2003 - 2004,136,"4,582.00",33.69,,,,,,
,,2004 - 2005,67,"2,765.00",41.27,,,,,,
,,2005 - 2006,140,"5,350.00",38.21,,,,,,
,,2006 - 2007,42,"1,695.00",40.36,,,,,,
,,2007 - 2008,207,"8,736.00",42.2,,,,,,
,,2008 - 2009,227,"8,279.00",36.47,,,,,,
,,2009 - 2010,212,"7,307.00",34.47,,,,,,
,,2011 - 2012,125,"4,708.00",37.66,,,,,,
,,2013 - 2014,152,"4,548.00",29.92,,,,,,
,,2014 - 2015,57,"1,849.00",32.44,,,,,,
,,2015 - 2016,66,"1,811.00",27.44,,,,,,
,,2016 - 2017,102,"2,686.00",26.33,,,,,,
,,2017 - 2018,80,"2,737.00",34.21,,,,,,
,,2018 - 2019,195,"6,779.00",34.76,,,,,,
,,2019 - 2020,135,"5,100.00",37.78,,,,,,
,,2020 - 2021,168,"7,148.00",42.55,,,,,,
,,2021 - 2022,176,"5,656.00",32.14,,,,,,
,,2022 - 2023,175,"6,572.00",37.55,,,,,,
,29. Thoothukudi,2000 - 2001,13,461,35.46,,,,,,
,,2002 - 2003,4,126,31.5,,,,,,
,,2003 - 2004,5,168,33.6,,,,,,
,,2004 - 2005,2,83,41.5,,,,,,
,,2005 - 2006,10,382,38.2,,,,,,
,,2006 - 2007,10,404,40.4,,,,,,
,,2007 - 2008,11,464,42.18,,,,,,
,,2008 - 2009,6,219,36.5,,,,,,
,,2009 - 2010,8,276,34.5,,,,,,
,,2011 - 2012,23,866,37.65,,,,,,
,,2013 - 2014,18,539,29.94,,,,,,
,,2014 - 2015,2,65,32.5,,,,,,
,,2015 - 2016,6,165,27.5,,,,,,
,,2016 - 2017,10,275,27.5,,,,,,
,,2017 - 2018,17,582,34.24,,,,,,
,,2018 - 2019,9,315,35,,,,,,
,,2019 - 2020,10,375,37.5,,,,,,
,,2020 - 2021,3,116,38.67,,,,,,
,,2021 - 2022,3,103,34.33,,,,,,
,30. Tiruchirappalli,2000 - 2001,"6,243.00","2,65,215.00",42.48,,,,,,
,,2002 - 2003,"5,510.00","2,61,040.00",47.38,,,,,,
,,2003 - 2004,"5,418.00","2,27,965.00",42.08,,,,,,
,,2004 - 2005,"6,013.00","2,86,721.00",47.68,,,,,,
,,2005 - 2006,"5,771.00","2,31,603.00",40.13,,,,,,
,,2006 - 2007,"6,544.00","3,14,401.00",48.04,,,,,,
,,2007 - 2008,"7,493.00","3,94,577.00",52.66,,,,,,
,,2008 - 2009,"5,340.00","3,11,576.00",58.35,,,,,,
,,2009 - 2010,"5,232.00","2,85,835.00",54.63,,,,,,
,,2011 - 2012,"5,976.00","3,22,363.00",53.94,,,,,,
,,2013 - 2014,"4,573.00","1,79,833.00",39.32,,,,,,
,,2014 - 2015,"5,979.00","2,56,125.00",42.84,,,,,,
,,2015 - 2016,"3,847.00","1,46,378.00",38.05,,,,,,
,,2016 - 2017,"5,008.00","2,11,026.00",42.14,,,,,,
,,2017 - 2018,"5,307.00","2,17,230.00",40.93,,,,,,
,,2018 - 2019,"4,431.00","2,12,290.00",47.91,,,,,,
,,2019 - 2020,"4,133.00","2,21,865.00",53.68,,,,,,
,,2020 - 2021,"4,257.00","1,76,354.00",41.43,,,,,,
,,2021 - 2022,"4,162.00","1,52,456.00",36.63,,,,,,
,,2022 - 2023,"4,142.00","1,66,685.00",40.24,,,,,,
,31. Tirunelveli,2000 - 2001,149,"5,287.00",35.48,,,,,,
,,2002 - 2003,170,"5,370.00",31.59,,,,,,
,,2003 - 2004,131,"4,414.00",33.69,,,,,,
,,2004 - 2005,150,"6,190.00",41.27,,,,,,
,,2005 - 2006,141,"5,388.00",38.21,,,,,,
,,2006 - 2007,153,"6,175.00",40.36,,,,,,
,,2007 - 2008,146,"6,162.00",42.21,,,,,,
,,2008 - 2009,172,"6,273.00",36.47,,,,,,
,,2009 - 2010,171,"5,894.00",34.47,,,,,,
,,2011 - 2012,210,"7,908.00",37.66,,,,,,
,,2013 - 2014,115,"3,441.00",29.92,,,,,,
,,2014 - 2015,312,"10,121.00",32.44,,,,,,
,,2015 - 2016,279,"7,657.00",27.44,,,,,,
,,2016 - 2017,250,"6,583.00",26.33,,,,,,
,,2017 - 2018,166,"5,680.00",34.22,,,,,,
,,2018 - 2019,82,"2,859.00",34.87,,,,,,
,,2019 - 2020,113,"4,268.00",37.77,,,,,,
,,2020 - 2021,32,"1,367.00",42.72,,,,,,
,,2021 - 2022,21,676,32.19,,,,,,
,,2022 - 2023,17,638,37.53,,,,,,
,32. Tirupathur,2020 - 2021,100,"4,253.00",42.53,,,,,,
,,2021 - 2022,101,"3,265.00",32.33,,,,,,
,,2022 - 2023,36,"1,352.00",37.56,,,,,,
,33. Tiruppur,2008 - 2009,"1,294.00",,0,,,,,,
,,2009 - 2010,"1,522.00","45,741.00",30.05,,,,,,
,,2011 - 2012,878,"25,823.00",29.41,,,,,,
,,2013 - 2014,229,"6,524.00",28.49,,,,,,
,,2014 - 2015,356,"9,076.00",25.49,,,,,,
,,2015 - 2016,451,"14,949.00",33.15,,,,,,
,,2016 - 2017,345,"5,136.00",14.89,,,,,,
,,2017 - 2018,467,"16,184.00",34.66,,,,,,
,,2018 - 2019,486,"22,833.00",46.98,,,,,,
,,2019 - 2020,918,"42,552.00",46.35,,,,,,
,,2020 - 2021,902,"42,758.00",47.4,,,,,,
,,2021 - 2022,940,"46,213.00",49.16,,,,,,
,,2022 - 2023,797,"29,930.00",37.55,,,,,,
,34. Tiruvannamalai,2000 - 2001,308,"10,930.00",35.49,,,,,,
,,2002 - 2003,605,"19,112.00",31.59,,,,,,
,,2003 - 2004,"1,617.00","54,479.00",33.69,,,,,,
,,2004 - 2005,"2,345.00","96,773.00",41.27,,,,,,
,,2005 - 2006,"3,415.00","1,37,852.00",40.37,,,,,,
,,2006 - 2007,"4,267.00","1,79,866.00",42.15,,,,,,
,,2007 - 2008,"3,650.00","1,54,041.00",42.2,,,,,,
,,2008 - 2009,"2,264.00","78,044.00",34.47,,,,,,
,,2009 - 2010,"1,989.00","93,336.00",46.93,,,,,,
,,2011 - 2012,"2,361.00","88,922.00",37.66,,,,,,
,,2013 - 2014,"2,404.00","89,320.00",37.15,,,,,,
,,2014 - 2015,"2,455.00","1,80,168.00",73.39,,,,,,
,,2015 - 2016,"2,348.00","77,028.00",32.81,,,,,,
,,2016 - 2017,"1,532.00","48,332.00",31.55,,,,,,
,,2017 - 2018,"1,653.00","61,335.00",37.11,,,,,,
,,2018 - 2019,"1,892.00","54,399.00",28.75,,,,,,
,,2019 - 2020,"1,767.00","1,18,616.00",67.13,,,,,,
,,2020 - 2021,"3,366.00","2,11,146.00",62.73,,,,,,
,,2021 - 2022,"4,943.00","1,68,538.00",34.1,,,,,,
,,2022 - 2023,"3,605.00","1,31,695.00",36.53,,,,,,
,35. Vellore,2000 - 2001,9,319,35.44,,,,,,
,,2002 - 2003,98,"3,096.00",31.59,,,,,,
,,2003 - 2004,121,"4,077.00",33.69,,,,,,
,,2004 - 2005,58,"2,394.00",41.28,,,,,,
,,2005 - 2006,114,"4,356.00",38.21,,,,,,
,,2006 - 2007,291,"11,745.00",40.36,,,,,,
,,2007 - 2008,459,"19,371.00",42.2,,,,,,
,,2008 - 2009,331,"12,072.00",36.47,,,,,,
,,2009 - 2010,375,"12,926.00",34.47,,,,,,
,,2011 - 2012,579,"21,807.00",37.66,,,,,,
,,2013 - 2014,213,"6,373.00",29.92,,,,,,
,,2014 - 2015,284,"8,888.00",31.3,,,,,,
,,2015 - 2016,240,"8,388.00",34.95,,,,,,
,,2016 - 2017,378,"10,384.00",27.47,,,,,,
,,2017 - 2018,117,"4,004.00",34.22,,,,,,
,,2018 - 2019,57,"1,977.00",34.68,,,,,,
,,2019 - 2020,168,"6,330.00",37.68,,,,,,
,,2020 - 2021,10,425,42.5,,,,,,
,,2021 - 2022,13,416,32,,,,,,
,,2022 - 2023,9,338,37.56,,,,,,
,36. Villupuram,2000 - 2001,"6,483.00","2,01,269.00",31.05,,,,,,
,,2002 - 2003,"7,517.00","2,35,465.00",31.32,,,,,,
,,2003 - 2004,"6,268.00","2,70,869.00",43.21,,,,,,
,,2004 - 2005,"15,071.00","4,26,149.00",28.28,,,,,,
,,2005 - 2006,"15,141.00","4,25,722.00",28.12,,,,,,
,,2006 - 2007,"14,219.00","4,50,263.00",31.67,,,,,,
,,2007 - 2008,"13,798.00","5,08,878.00",36.88,,,,,,
,,2008 - 2009,"11,376.00","3,36,149.00",29.55,,,,,,
,,2009 - 2010,"11,013.00","3,43,699.00",31.21,,,,,,
,,2011 - 2012,"12,264.00","2,64,335.00",21.55,,,,,,
,,2013 - 2014,"12,705.00","3,28,328.00",25.84,,,,,,
,,2014 - 2015,"14,237.00","4,76,800.00",33.49,,,,,,
,,2015 - 2016,"14,484.00","2,91,824.00",20.15,,,,,,
,,2016 - 2017,"12,538.00","1,99,733.00",15.93,,,,,,
,,2017 - 2018,"13,315.00","4,71,445.00",35.41,,,,,,
,,2018 - 2019,"16,211.00","6,54,852.00",40.4,,,,,,
,,2019 - 2020,"9,321.00","3,67,653.00",39.44,,,,,,
,,2020 - 2021,"1,311.00","42,568.00",32.47,,,,,,
,,2021 - 2022,"1,267.00","48,623.00",38.38,,,,,,
,,2022 - 2023,"1,195.00","28,941.00",24.22,,,,,,
,37. Virudhunagar,2002 - 2003,23,727,31.61,,,,,,
,,2003 - 2004,30,"1,011.00",33.7,,,,,,
,,2004 - 2005,9,371,41.22,,,,,,
,,2005 - 2006,7,267,38.14,,,,,,
,,2006 - 2007,29,"1,171.00",40.38,,,,,,
,,2007 - 2008,20,844,42.2,,,,,,
,,2008 - 2009,38,"1,386.00",36.47,,,,,,
,,2009 - 2010,9,310,34.44,,,,,,
,,2011 - 2012,14,528,37.71,,,,,,
,,2013 - 2014,4,120,30,,,,,,
