State,District,Year,Sweet potato,,,,,,,,
,,2015 - 2016,104,527,5.07,,,,,,
,,2016 - 2017,106,565,5.33,,,,,,
,,2017 - 2018,117,624,5.33,,,,,,
,,2018 - 2019,109,761,6.98,,,,,,
,,2019 - 2020,111,731,6.59,,,,,,
,,2020 - 2021,102,673,6.6,,,,,,
,,2021 - 2022,102,673,6.6,,,,,,
,,2022 - 2023,102,685,6.72,,,,,,
,13. Goalpara,2000 - 2001,425,"1,391.00",3.27,,,,,,
,,2001 - 2002,265,868,3.28,,,,,,
,,2002 - 2003,265,861,3.25,,,,,,
,,2003 - 2004,270,882,3.27,,,,,,
,,2004 - 2005,350,"1,142.00",3.26,,,,,,
,,2005 - 2006,340,"1,108.00",3.26,,,,,,
,,2006 - 2007,350,"1,142.00",3.26,,,,,,
,,2007 - 2008,355,"1,158.00",3.26,,,,,,
,,2008 - 2009,380,"1,240.00",3.26,,,,,,
,,2009 - 2010,410,"1,338.00",3.26,,,,,,
,,2010 - 2011,450,"1,468.00",3.26,,,,,,
,,2011 - 2012,450,"2,546.00",5.66,,,,,,
,,2012 - 2013,468,"2,746.00",5.87,,,,,,
,,2013 - 2014,446,"2,617.00",5.87,,,,,,
,,2014 - 2015,500,"2,935.00",5.87,,,,,,
,,2015 - 2016,230,"1,351.00",5.87,,,,,,
,,2016 - 2017,237,"1,412.00",5.96,,,,,,
,,2017 - 2018,175,"1,044.00",5.97,,,,,,
,,2018 - 2019,169,"1,336.00",7.91,,,,,,
,,2019 - 2020,168,"1,341.00",7.98,,,,,,
,,2020 - 2021,173,"1,382.00",7.99,,,,,,
,,2021 - 2022,182,"1,431.00",7.86,,,,,,
,,2022 - 2023,176,"1,387.00",7.88,,,,,,
,14. Golaghat,2000 - 2001,108,270,2.5,,,,,,
,,2001 - 2002,109,273,2.5,,,,,,
,,2002 - 2003,109,273,2.5,,,,,,
,,2003 - 2004,115,288,2.5,,,,,,
,,2004 - 2005,113,283,2.5,,,,,,
,,2005 - 2006,110,276,2.51,,,,,,
,,2006 - 2007,105,263,2.5,,,,,,
,,2007 - 2008,93,233,2.51,,,,,,
,,2008 - 2009,135,337,2.5,,,,,,
,,2009 - 2010,89,224,2.52,,,,,,
,,2010 - 2011,76,190,2.5,,,,,,
,,2011 - 2012,92,308,3.35,,,,,,
,,2012 - 2013,100,346,3.46,,,,,,
,,2013 - 2014,98,339,3.46,,,,,,
,,2014 - 2015,99,343,3.46,,,,,,
,,2015 - 2016,98,340,3.47,,,,,,
,,2016 - 2017,100,365,3.65,,,,,,
,,2017 - 2018,98,360,3.67,,,,,,
,,2018 - 2019,96,500,5.21,,,,,,
,,2019 - 2020,96,512,5.33,,,,,,
,,2020 - 2021,88,469,5.33,,,,,,
,,2021 - 2022,106,566,5.34,,,,,,
,,2022 - 2023,84,454,5.4,,,,,,
,15. Hailakandi,2000 - 2001,5,19,3.8,,,,,,
,,2001 - 2002,80,247,3.09,,,,,,
,,2002 - 2003,80,247,3.09,,,,,,
,,2003 - 2004,70,235,3.36,,,,,,
,,2004 - 2005,80,254,3.18,,,,,,
,,2005 - 2006,60,192,3.2,,,,,,
,,2006 - 2007,65,211,3.25,,,,,,
,,2007 - 2008,50,160,3.2,,,,,,
,,2008 - 2009,40,129,3.23,,,,,,
,,2009 - 2010,52,168,3.23,,,,,,
,,2010 - 2011,50,161,3.22,,,,,,
,,2011 - 2012,45,151,3.36,,,,,,
,,2012 - 2013,50,182,3.64,,,,,,
,,2013 - 2014,45,163,3.62,,,,,,
,,2014 - 2015,40,146,3.65,,,,,,
,,2015 - 2016,35,128,3.66,,,,,,
,,2016 - 2017,40,96,2.4,,,,,,
,,2017 - 2018,35,85,2.43,,,,,,
,,2018 - 2019,32,274,8.56,,,,,,
,,2019 - 2020,36,312,8.67,,,,,,
,,2020 - 2021,31,269,8.68,,,,,,
,,2021 - 2022,28,215,7.68,,,,,,
,,2022 - 2023,26,228,8.77,,,,,,
,16. Hojai,2020 - 2021,22,213,9.68,,,,,,
,,2021 - 2022,25,242,9.68,,,,,,
,,2022 - 2023,25,245,9.8,,,,,,
,17. Jorhat,2000 - 2001,67,194,2.9,,,,,,
,,2001 - 2002,79,228,2.89,,,,,,
,,2002 - 2003,77,221,2.87,,,,,,
,,2003 - 2004,75,214,2.85,,,,,,
,,2004 - 2005,65,187,2.88,,,,,,
,,2005 - 2006,53,151,2.85,,,,,,
,,2006 - 2007,36,102,2.83,,,,,,
,,2007 - 2008,42,118,2.81,,,,,,
,,2008 - 2009,55,155,2.82,,,,,,
,,2009 - 2010,67,190,2.84,,,,,,
,,2010 - 2011,63,179,2.84,,,,,,
,,2011 - 2012,74,244,3.3,,,,,,
,,2012 - 2013,70,238,3.4,,,,,,
,,2013 - 2014,63,214,3.4,,,,,,
,,2014 - 2015,58,197,3.4,,,,,,
,,2015 - 2016,68,233,3.43,,,,,,
,,2016 - 2017,68,252,3.71,,,,,,
,,2017 - 2018,66,360,5.45,,,,,,
,,2018 - 2019,66,340,5.15,,,,,,
,,2019 - 2020,66,349,5.29,,,,,,
,,2020 - 2021,40,211,5.28,,,,,,
,,2021 - 2022,40,212,5.3,,,,,,
,,2022 - 2023,38,201,5.29,,,,,,
,18. Kamrup,2000 - 2001,617,"1,536.00",2.49,,,,,,
,,2001 - 2002,624,"1,552.00",2.49,,,,,,
,,2002 - 2003,608,"1,513.00",2.49,,,,,,
,,2003 - 2004,592,"1,471.00",2.48,,,,,,
,,2004 - 2005,423,"1,050.00",2.48,,,,,,
,,2005 - 2006,292,720,2.47,,,,,,
,,2006 - 2007,657,"1,635.00",2.49,,,,,,
,,2007 - 2008,160,396,2.48,,,,,,
,,2008 - 2009,185,456,2.46,,,,,,
,,2009 - 2010,164,409,2.49,,,,,,
,,2010 - 2011,159,396,2.49,,,,,,
,,2011 - 2012,165,425,2.58,,,,,,
,,2012 - 2013,177,681,3.85,,,,,,
,,2013 - 2014,171,658,3.85,,,,,,
,,2014 - 2015,176,679,3.86,,,,,,
,,2015 - 2016,175,676,3.86,,,,,,
,,2016 - 2017,175,701,4.01,,,,,,
,,2017 - 2018,180,724,4.02,,,,,,
,,2018 - 2019,176,796,4.52,,,,,,
,,2019 - 2020,177,819,4.63,,,,,,
,,2020 - 2021,403,"1,865.00",4.63,,,,,,
,,2021 - 2022,262,"1,213.00",4.63,,,,,,
,,2022 - 2023,225,"1,045.00",4.64,,,,,,
,19. Kamrup metro,2005 - 2006,17,43,2.53,,,,,,
,,2006 - 2007,10,25,2.5,,,,,,
,,2007 - 2008,28,69,2.46,,,,,,
,,2008 - 2009,16,40,2.5,,,,,,
,,2009 - 2010,24,60,2.5,,,,,,
,,2010 - 2011,24,60,2.5,,,,,,
,,2011 - 2012,24,64,2.67,,,,,,
,,2012 - 2013,25,89,3.56,,,,,,
,,2013 - 2014,26,93,3.58,,,,,,
,,2014 - 2015,28,100,3.57,,,,,,
,,2015 - 2016,27,97,3.59,,,,,,
,,2016 - 2017,24,89,3.71,,,,,,
,,2017 - 2018,26,97,3.73,,,,,,
,,2018 - 2019,15,73,4.87,,,,,,
,,2019 - 2020,22,110,5,,,,,,
,,2020 - 2021,17,85,5,,,,,,
,,2021 - 2022,32,161,5.03,,,,,,
,,2022 - 2023,23,124,5.39,,,,,,
,20. Karbi anglong,2000 - 2001,246,775,3.15,,,,,,
,,2001 - 2002,248,782,3.15,,,,,,
,,2002 - 2003,256,809,3.16,,,,,,
,,2003 - 2004,258,809,3.14,,,,,,
,,2004 - 2005,269,878,3.26,,,,,,
,,2005 - 2006,239,764,3.2,,,,,,
,,2006 - 2007,373,"1,199.00",3.21,,,,,,
,,2007 - 2008,373,"1,196.00",3.21,,,,,,
,,2008 - 2009,311,988,3.18,,,,,,
,,2009 - 2010,305,972,3.19,,,,,,
,,2010 - 2011,265,846,3.19,,,,,,
,,2011 - 2012,309,"1,044.00",3.38,,,,,,
,,2012 - 2013,314,"1,094.00",3.48,,,,,,
,,2013 - 2014,296,"1,032.00",3.49,,,,,,
,,2014 - 2015,306,"1,708.00",5.58,,,,,,
,,2015 - 2016,303,"1,694.00",5.59,,,,,,
,,2016 - 2017,390,"2,212.00",5.67,,,,,,
,,2017 - 2018,387,"2,198.00",5.68,,,,,,
,,2018 - 2019,398,"2,170.00",5.45,,,,,,
,,2019 - 2020,416,"2,306.00",5.54,,,,,,
,,2020 - 2021,295,"1,636.00",5.55,,,,,,
,,2021 - 2022,270,"1,497.00",5.54,,,,,,
,,2022 - 2023,336,"1,896.00",5.64,,,,,,
,21. Karimganj,2000 - 2001,65,247,3.8,,,,,,
,,2001 - 2002,66,251,3.8,,,,,,
,,2002 - 2003,75,285,3.8,,,,,,
,,2003 - 2004,100,380,3.8,,,,,,
,,2004 - 2005,125,475,3.8,,,,,,
,,2005 - 2006,120,456,3.8,,,,,,
,,2006 - 2007,130,494,3.8,,,,,,
,,2007 - 2008,130,494,3.8,,,,,,
,,2008 - 2009,143,601,4.2,,,,,,
,,2009 - 2010,157,618,3.94,,,,,,
,,2010 - 2011,167,665,3.98,,,,,,
,,2011 - 2012,137,582,4.25,,,,,,
,,2012 - 2013,138,627,4.54,,,,,,
,,2013 - 2014,136,618,4.54,,,,,,
,,2014 - 2015,121,552,4.56,,,,,,
,,2015 - 2016,109,498,4.57,,,,,,
,,2016 - 2017,110,521,4.74,,,,,,
,,2017 - 2018,102,484,4.75,,,,,,
,,2018 - 2019,110,876,7.96,,,,,,
,,2019 - 2020,105,327,3.11,,,,,,
,,2020 - 2021,100,807,8.07,,,,,,
,,2021 - 2022,110,887,8.06,,,,,,
,,2022 - 2023,107,876,8.19,,,,,,
,22. Kokrajhar,2000 - 2001,393,"1,463.00",3.72,,,,,,
,,2001 - 2002,350,"1,333.00",3.81,,,,,,
,,2002 - 2003,357,"1,356.00",3.8,,,,,,
,,2003 - 2004,363,"1,377.00",3.79,,,,,,
,,2004 - 2005,361,"1,373.00",3.8,,,,,,
,,2005 - 2006,539,"2,035.00",3.78,,,,,,
,,2006 - 2007,540,"2,034.00",3.77,,,,,,
,,2007 - 2008,453,"1,707.00",3.77,,,,,,
,,2008 - 2009,371,"1,399.00",3.77,,,,,,
,,2009 - 2010,418,"1,556.00",3.72,,,,,,
,,2010 - 2011,485,"1,835.00",3.78,,,,,,
,,2011 - 2012,473,"1,795.00",3.79,,,,,,
,,2012 - 2013,475,"1,889.00",3.98,,,,,,
,,2013 - 2014,344,"1,367.00",3.97,,,,,,
,,2014 - 2015,329,"1,310.00",3.98,,,,,,
,,2015 - 2016,308,"1,226.00",3.98,,,,,,
,,2016 - 2017,295,"1,192.00",4.04,,,,,,
,,2017 - 2018,244,990,4.06,,,,,,
,,2018 - 2019,240,"1,073.00",4.47,,,,,,
,,2019 - 2020,237,"1,080.00",4.56,,,,,,
,,2020 - 2021,120,645,5.38,,,,,,
,,2021 - 2022,65,350,5.38,,,,,,
,,2022 - 2023,121,657,5.43,,,,,,
,23. Lakhimpur,2000 - 2001,360,"1,116.00",3.1,,,,,,
,,2001 - 2002,367,"1,138.00",3.1,,,,,,
,,2002 - 2003,362,"1,123.00",3.1,,,,,,
,,2003 - 2004,368,"1,141.00",3.1,,,,,,
,,2004 - 2005,368,"1,141.00",3.1,,,,,,
,,2005 - 2006,74,230,3.11,,,,,,
,,2006 - 2007,174,540,3.1,,,,,,
,,2007 - 2008,210,652,3.1,,,,,,
,,2008 - 2009,117,363,3.1,,,,,,
,,2009 - 2010,93,289,3.11,,,,,,
,,2010 - 2011,125,388,3.1,,,,,,
,,2011 - 2012,245,798,3.26,,,,,,
,,2012 - 2013,245,887,3.62,,,,,,
,,2013 - 2014,178,645,3.62,,,,,,
,,2014 - 2015,230,835,3.63,,,,,,
,,2015 - 2016,225,819,3.64,,,,,,
,,2016 - 2017,140,536,3.83,,,,,,
,,2017 - 2018,147,566,3.85,,,,,,
,,2018 - 2019,148,665,4.49,,,,,,
,,2019 - 2020,145,668,4.61,,,,,,
,,2020 - 2021,142,655,4.61,,,,,,
,,2021 - 2022,133,613,4.61,,,,,,
,,2022 - 2023,138,644,4.67,,,,,,
,24. Majuli,2020 - 2021,25,135,5.4,,,,,,
,,2021 - 2022,25,160,6.4,,,,,,
,,2022 - 2023,25,141,5.64,,,,,,
,25. Marigaon,2000 - 2001,300,960,3.2,,,,,,
,,2001 - 2002,250,800,3.2,,,,,,
,,2002 - 2003,250,800,3.2,,,,,,
,,2003 - 2004,250,813,3.25,,,,,,
,,2004 - 2005,250,804,3.22,,,,,,
,,2005 - 2006,230,741,3.22,,,,,,
,,2006 - 2007,227,733,3.23,,,,,,
,,2007 - 2008,200,645,3.23,,,,,,
,,2008 - 2009,227,732,3.22,,,,,,
,,2009 - 2010,193,620,3.21,,,,,,
,,2010 - 2011,190,612,3.22,,,,,,
,,2011 - 2012,205,666,3.25,,,,,,
,,2012 - 2013,211,707,3.35,,,,,,
,,2013 - 2014,183,613,3.35,,,,,,
,,2014 - 2015,179,604,3.37,,,,,,
,,2015 - 2016,174,589,3.39,,,,,,
,,2016 - 2017,146,512,3.51,,,,,,
,,2017 - 2018,166,586,3.53,,,,,,
,,2018 - 2019,139,600,4.32,,,,,,
,,2019 - 2020,141,624,4.43,,,,,,
,,2020 - 2021,140,620,4.43,,,,,,
,,2021 - 2022,105,465,4.43,,,,,,
,,2022 - 2023,67,300,4.48,,,,,,
,26. Nagaon,2000 - 2001,503,"1,609.00",3.2,,,,,,
,,2001 - 2002,501,"1,603.00",3.2,,,,,,
,,2002 - 2003,466,"1,487.00",3.19,,,,,,
,,2003 - 2004,431,"1,377.00",3.19,,,,,,
,,2004 - 2005,449,"1,432.00",3.19,,,,,,
,,2005 - 2006,327,"1,028.00",3.14,,,,,,
,,2006 - 2007,305,963,3.16,,,,,,
,,2007 - 2008,458,"1,460.00",3.19,,,,,,
,,2008 - 2009,411,"1,311.00",3.19,,,,,,
,,2009 - 2010,374,"1,183.00",3.16,,,,,,
,,2010 - 2011,251,801,3.19,,,,,,
,,2011 - 2012,434,"1,370.00",3.16,,,,,,
,,2012 - 2013,433,"1,414.00",3.27,,,,,,
,,2013 - 2014,465,"5,352.00",11.51,,,,,,
,,2014 - 2015,502,"5,783.00",11.52,,,,,,
,,2015 - 2016,439,"5,063.00",11.53,,,,,,
,,2016 - 2017,352,"4,081.00",11.59,,,,,,
,,2017 - 2018,431,"5,051.00",11.72,,,,,,
,,2018 - 2019,259,"2,500.00",9.65,,,,,,
,,2019 - 2020,244,"2,364.00",9.69,,,,,,
,,2020 - 2021,225,"2,180.00",9.69,,,,,,
,,2021 - 2022,234,"2,268.00",9.69,,,,,,
,,2022 - 2023,316,"3,081.00",9.75,,,,,,
,27. Nalbari,2000 - 2001,120,676,5.63,,,,,,
,,2001 - 2002,120,676,5.63,,,,,,
,,2002 - 2003,110,619,5.63,,,,,,
,,2003 - 2004,110,619,5.63,,,,,,
,,2004 - 2005,112,631,5.63,,,,,,
,,2005 - 2006,64,360,5.63,,,,,,
,,2006 - 2007,80,450,5.63,,,,,,
,,2007 - 2008,80,450,5.63,,,,,,
,,2008 - 2009,50,282,5.64,,,,,,
,,2009 - 2010,80,450,5.63,,,,,,
,,2010 - 2011,80,450,5.63,,,,,,
,,2011 - 2012,81,467,5.77,,,,,,
,,2012 - 2013,80,541,6.76,,,,,,
,,2013 - 2014,100,677,6.77,,,,,,
,,2014 - 2015,78,528,6.77,,,,,,
,,2015 - 2016,78,973,12.47,,,,,,
,,2016 - 2017,78,987,12.65,,,,,,
,,2017 - 2018,78,989,12.68,,,,,,
,,2018 - 2019,78,563,7.22,,,,,,
,,2019 - 2020,75,550,7.33,,,,,,
,,2020 - 2021,73,536,7.34,,,,,,
,,2021 - 2022,45,330,7.33,,,,,,
,,2022 - 2023,40,296,7.4,,,,,,
,28. Sivasagar,2000 - 2001,153,575,3.76,,,,,,
,,2001 - 2002,162,609,3.76,,,,,,
,,2002 - 2003,163,610,3.74,,,,,,
,,2003 - 2004,145,542,3.74,,,,,,
,,2004 - 2005,137,513,3.74,,,,,,
,,2005 - 2006,130,487,3.75,,,,,,
,,2006 - 2007,98,373,3.81,,,,,,
,,2007 - 2008,130,459,3.53,,,,,,
,,2008 - 2009,80,296,3.7,,,,,,
,,2009 - 2010,74,277,3.74,,,,,,
,,2010 - 2011,99,362,3.66,,,,,,
,,2011 - 2012,110,423,3.85,,,,,,
,,2012 - 2013,90,437,4.86,,,,,,
,,2013 - 2014,88,427,4.85,,,,,,
,,2014 - 2015,91,442,4.86,,,,,,
,,2015 - 2016,94,458,4.87,,,,,,
,,2016 - 2017,96,489,5.09,,,,,,
,,2017 - 2018,97,333,3.43,,,,,,
,,2018 - 2019,72,322,4.47,,,,,,
,,2019 - 2020,80,366,4.58,,,,,,
,,2020 - 2021,40,184,4.6,,,,,,
,,2021 - 2022,40,184,4.6,,,,,,
,,2022 - 2023,33,158,4.79,,,,,,
,29. Sonitpur,2000 - 2001,538,"1,829.00",3.4,,,,,,
,,2001 - 2002,560,"1,899.00",3.39,,,,,,
,,2002 - 2003,560,"1,899.00",3.39,,,,,,
,,2003 - 2004,561,"1,902.00",3.39,,,,,,
,,2004 - 2005,545,"1,844.00",3.38,,,,,,
,,2005 - 2006,530,"1,795.00",3.39,,,,,,
,,2006 - 2007,521,"1,765.00",3.39,,,,,,
,,2007 - 2008,479,"1,635.00",3.41,,,,,,
,,2008 - 2009,455,"1,557.00",3.42,,,,,,
,,2009 - 2010,452,"1,548.00",3.42,,,,,,
,,2010 - 2011,440,"1,503.00",3.42,,,,,,
,,2011 - 2012,385,"1,981.00",5.15,,,,,,
,,2012 - 2013,228,"1,222.00",5.36,,,,,,
,,2013 - 2014,218,"2,616.00",12,,,,,,
,,2014 - 2015,361,"4,338.00",12.02,,,,,,
,,2015 - 2016,381,"4,583.00",12.03,,,,,,
,,2016 - 2017,341,"4,118.00",12.08,,,,,,
,,2017 - 2018,355,"4,069.00",11.46,,,,,,
,,2018 - 2019,356,"3,275.00",9.2,,,,,,
,,2019 - 2020,319,"2,948.00",9.24,,,,,,
,,2020 - 2021,245,"1,454.00",5.93,,,,,,
,,2021 - 2022,270,"1,602.00",5.93,,,,,,
,,2022 - 2023,305,"1,817.00",5.96,,,,,,
,30. South salmara mancachar,2020 - 2021,735,"3,682.00",5.01,,,,,,
,,2021 - 2022,735,"3,682.00",5.01,,,,,,
,,2022 - 2023,150,753,5.02,,,,,,
,31. Tinsukia,2000 - 2001,158,522,3.3,,,,,,
,,2001 - 2002,164,541,3.3,,,,,,
,,2002 - 2003,156,515,3.3,,,,,,
,,2003 - 2004,156,515,3.3,,,,,,
,,2004 - 2005,157,518,3.3,,,,,,
,,2005 - 2006,160,529,3.31,,,,,,
,,2006 - 2007,160,529,3.31,,,,,,
,,2007 - 2008,163,539,3.31,,,,,,
,,2008 - 2009,150,509,3.39,,,,,,
,,2009 - 2010,163,549,3.37,,,,,,
,,2010 - 2011,83,285,3.43,,,,,,
,,2011 - 2012,87,207,2.38,,,,,,
,,2012 - 2013,88,298,3.39,,,,,,
,,2013 - 2014,94,318,3.38,,,,,,
,,2014 - 2015,99,336,3.39,,,,,,
,,2015 - 2016,104,352,3.38,,,,,,
,,2016 - 2017,105,373,3.55,,,,,,
,,2017 - 2018,102,364,3.57,,,,,,
,,2018 - 2019,103,460,4.47,,,,,,
,,2019 - 2020,109,515,4.72,,,,,,
,,2020 - 2021,113,520,4.6,,,,,,
,,2021 - 2022,142,653,4.6,,,,,,
,,2022 - 2023,135,630,4.67,,,,,,
,32. Udalguri,2005 - 2006,260,653,2.51,,,,,,
,,2006 - 2007,325,813,2.5,,,,,,
,,2007 - 2008,255,638,2.5,,,,,,
,,2008 - 2009,154,385,2.5,,,,,,
,,2009 - 2010,236,590,2.5,,,,,,
,,2010 - 2011,218,545,2.5,,,,,,
,,2011 - 2012,203,"1,683.00",8.29,,,,,,
,,2012 - 2013,231,"1,939.00",8.39,,,,,,
,,2013 - 2014,207,"1,738.00",8.4,,,,,,
,,2014 - 2015,207,"1,756.00",8.48,,,,,,
,,2015 - 2016,129,"1,095.00",8.49,,,,,,
,,2016 - 2017,132,"1,140.00",8.64,,,,,,
,,2017 - 2018,156,"1,349.00",8.65,,,,,,
,,2018 - 2019,139,617,4.44,,,,,,
,,2019 - 2020,134,901,6.72,,,,,,
,,2020 - 2021,144,969,6.73,,,,,,
,,2021 - 2022,359,"2,416.00",6.73,,,,,,
,,2022 - 2023,348,"2,354.00",6.76,,,,,,
,33. West karbi anglong,2020 - 2021,112,621,5.54,,,,,,
,,2021 - 2022,110,610,5.55,,,,,,
,,2022 - 2023,103,582,5.65,,,,,,
4. Bihar,1. Araria,2000 - 2001,182,"2,068.00",11.36,,,,,,
,,2001 - 2002,632,"7,118.00",11.26,,,,,,
,,2002 - 2003,642,"7,932.00",12.36,,,,,,
,,2003 - 2004,845,"12,261.00",14.51,,,,,,
,,2004 - 2005,706,"8,503.00",12.04,,,,,,
,,2005 - 2006,665,"10,416.00",15.66,,,,,,
,,2007 - 2008,693,"8,832.00",12.74,,,,,,
,,2008 - 2009,,,,416,"6,119.00",14.71,300,"4,071.00",13.57
,2. Arwal,2003 - 2004,10,81,8.1,,,,,,
,,2004 - 2005,5,41,8.2,,,,,,
,,2005 - 2006,3,45,15,,,,,,
,,2007 - 2008,1,13,13,,,,,,
,,2008 - 2009,,,,,,,1,14,14
,3. Aurangabad,2000 - 2001,9,108,12,,,,,,
,,2001 - 2002,11,129,11.73,,,,,,
,,2002 - 2003,51,591,11.59,,,,,,
,,2003 - 2004,1,8,8,,,,,,
,,2004 - 2005,4,38,9.5,,,,,,
,,2005 - 2006,4,60,15,,,,,,
,,2007 - 2008,3,39,13,,,,,,
,,2008 - 2009,,,,3,44,14.67,,,
,4. Banka,2002 - 2003,10,147,14.7,,,,,,
,,2004 - 2005,10,159,15.9,,,,,,
,5. Begusarai,2000 - 2001,100,"1,208.00",12.08,,,,,,
,,2001 - 2002,52,626,12.04,,,,,,
,,2002 - 2003,49,721,14.71,,,,,,
,,2003 - 2004,72,"1,004.00",13.94,,,,,,
,,2004 - 2005,95,"1,471.00",15.48,,,,,,
,,2005 - 2006,236,"3,706.00",15.7,,,,,,
,,2007 - 2008,41,546,13.32,,,,,,
,6. Bhagalpur,2000 - 2001,42,507,12.07,,,,,,
,,2001 - 2002,45,505,11.22,,,,,,
,,2002 - 2003,22,324,14.73,,,,,,
,,2003 - 2004,39,539,13.82,,,,,,
,,2004 - 2005,32,507,15.84,,,,,,
,,2005 - 2006,31,463,14.94,,,,,,
,,2007 - 2008,32,426,13.31,,,,,,
,,2008 - 2009,,,,1,15,15,27,366,13.56
,7. Bhojpur,2005 - 2006,13,195,15,,,,,,
,,2007 - 2008,10,148,14.8,,,,,,
,,2008 - 2009,,,,1,15,15,44,640,14.55
,8. Buxar,2000 - 2001,7,85,12.14,,,,,,
,,2001 - 2002,12,124,10.33,,,,,,
,9. Darbhanga,2000 - 2001,206,"2,598.00",12.61,,,,,,
,,2001 - 2002,209,"1,542.00",7.38,,,,,,
,,2002 - 2003,38,386,10.16,,,,,,
,,2003 - 2004,81,"1,115.00",13.77,,,,,,
,,2004 - 2005,68,"1,081.00",15.9,,,,,,
,,2005 - 2006,57,926,16.25,,,,,,
,,2007 - 2008,8,105,13.13,,,,,,
,,2008 - 2009,,,,8,39,4.88,,,
,10. Gaya,2000 - 2001,13,158,12.15,,,,,,
,,2002 - 2003,7,74,10.57,,,,,,
,,2003 - 2004,11,94,8.55,,,,,,
,,2004 - 2005,8,82,10.25,,,,,,
,,2005 - 2006,14,223,15.93,,,,,,
,,2007 - 2008,1,13,13,,,,,,
,,2008 - 2009,,,,,,,1,14,14
,11. Gopalganj,2000 - 2001,132,708,5.36,,,,,,
,,2001 - 2002,104,"1,369.00",13.16,,,,,,
,,2002 - 2003,149,"1,478.00",9.92,,,,,,
,,2003 - 2004,106,"1,512.00",14.26,,,,,,
,,2004 - 2005,134,"1,359.00",10.14,,,,,,
,,2005 - 2006,20,303,15.15,,,,,,
,,2007 - 2008,12,160,13.33,,,,,,
,12. Jehanabad,2000 - 2001,1,12,12,,,,,,
,,2001 - 2002,2,18,9,,,,,,
,,2002 - 2003,11,128,11.64,,,,,,
,,2003 - 2004,10,116,11.6,,,,,,
,,2004 - 2005,1,14,14,,,,,,
,,2008 - 2009,,,,2,29,14.5,,,
,13. Katihar,2000 - 2001,94,"1,360.00",14.47,,,,,,
,,2001 - 2002,92,"1,032.00",11.22,,,,,,
,,2002 - 2003,122,"1,607.00",13.17,,,,,,
,,2003 - 2004,84,"1,244.00",14.81,,,,,,
,,2004 - 2005,44,537,12.2,,,,,,
,,2005 - 2006,53,786,14.83,,,,,,
,,2007 - 2008,26,342,13.15,,,,,,
,,2008 - 2009,,,,16,235,14.69,18,244,13.56
,14. Khagaria,2000 - 2001,18,217,12.06,,,,,,
,,2001 - 2002,6,80,13.33,,,,,,
,,2002 - 2003,5,70,14,,,,,,
,,2004 - 2005,1,14,14,,,,,,
,,2005 - 2006,46,750,16.3,,,,,,
,,2007 - 2008,15,197,13.13,,,,,,
,,2008 - 2009,,,,15,221,14.73,3,41,13.67
,15. Kishanganj,2000 - 2001,49,904,18.45,,,,,,
,,2001 - 2002,91,"1,020.00",11.21,,,,,,
,,2002 - 2003,3,37,12.33,,,,,,
,,2003 - 2004,125,"1,828.00",14.62,,,,,,
,,2004 - 2005,39,469,12.03,,,,,,
,,2005 - 2006,29,439,15.14,,,,,,
,,2007 - 2008,42,559,13.31,,,,,,
,,2008 - 2009,,,,13,191,14.69,72,977,13.57
,16. Madhepura,2000 - 2001,317,"1,886.00",5.95,,,,,,
,,2001 - 2002,254,"1,877.00",7.39,,,,,,
,,2002 - 2003,273,"2,200.00",8.06,,,,,,
,,2003 - 2004,16,210,13.13,,,,,,
,,2004 - 2005,95,863,9.08,,,,,,
,,2005 - 2006,100,"1,537.00",15.37,,,,,,
,,2007 - 2008,82,"1,087.00",13.26,,,,,,
,,2008 - 2009,,,,,,,3,41,13.67
,17. Madhubani,2000 - 2001,424,"7,540.00",17.78,,,,,,
,,2001 - 2002,297,"3,712.00",12.5,,,,,,
,,2002 - 2003,564,"7,574.00",13.43,,,,,,
,,2003 - 2004,344,"4,838.00",14.06,,,,,,
,,2004 - 2005,427,"7,454.00",17.46,,,,,,
,,2005 - 2006,572,"10,799.00",18.88,,,,,,
,,2007 - 2008,310,"5,221.00",16.84,,,,,,
,,2008 - 2009,,,,194,"4,473.00",23.06,109,"2,007.00",18.41
,18. Munger,2000 - 2001,33,402,12.18,,,,,,
,,2001 - 2002,55,736,13.38,,,,,,
,,2002 - 2003,69,"1,016.00",14.72,,,,,,
,,2003 - 2004,261,"3,531.00",13.53,,,,,,
,,2004 - 2005,349,"5,139.00",14.72,,,,,,
,,2005 - 2006,75,"1,119.00",14.92,,,,,,
,,2007 - 2008,219,"2,917.00",13.32,,,,,,
,,2008 - 2009,,,,,,,255,"3,460.00",13.57
,19. Muzaffarpur,2000 - 2001,319,"3,857.00",12.09,,,,,,
,,2001 - 2002,202,"2,264.00",11.21,,,,,,
,,2002 - 2003,395,"5,110.00",12.94,,,,,,
,,2003 - 2004,349,"4,661.00",13.36,,,,,,
,,2004 - 2005,326,"4,651.00",14.27,,,,,,
,,2005 - 2006,315,"4,997.00",15.86,,,,,,
,,2007 - 2008,70,917,13.1,,,,,,
,,2008 - 2009,,,,84,"1,011.00",12.04,65,787,12.11
,20. Nawada,2000 - 2001,3,36,12,,,,,,
,,2001 - 2002,9,115,12.78,,,,,,
,,2002 - 2003,20,291,14.55,,,,,,
,,2003 - 2004,20,162,8.1,,,,,,
,,2004 - 2005,8,65,8.13,,,,,,
