state,district,year,urad_kharif_yield_tonne_per_hectare
,,2019 - 2020,0.6
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.75
,Koderma,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.7
,,2018 - 2019,0.8
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Latehar,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Lohardaga,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.4
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.83
,,2021 - 2022,0.6
,,2022 - 2023,0.5
,Pakur,2016 - 2017,
,,2017 - 2018,0.77
,,2018 - 2019,0.32
,,2019 - 2020,0.77
,,2020 - 2021,0.77
,,2021 - 2022,0.77
,Palamu,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.8
,,2018 - 2019,0.43
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.86
,,2022 - 2023,0.78
,Ramgarh,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,0.68
,,2022 - 2023,0.66
,Ranchi,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.85
,,2018 - 2019,0.86
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Sahebganj,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.03
,,2018 - 2019,1.15
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,0.88
,Saraikela kharsawan,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.1
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Simdega,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,0.98
,,2020 - 2021,0.98
,,2021 - 2022,1.05
,,2022 - 2023,1.0
,West singhbhum,2016 - 2017,
,,2017 - 2018,0.85
,,2018 - 2019,0.88
,,2019 - 2020,0.84
,,2020 - 2021,0.87
,,2021 - 2022,0.86
,,2022 - 2023,0.88
Karnataka,Bagalkot,2005 - 2006,0.17
,,2007 - 2008,0.35
,,2008 - 2009,0.26
,,2009 - 2010,0.08
,,2010 - 2011,0.25
,,2011 - 2012,0.38
,,2014 - 2015,0.28
,,2015 - 2016,0.25
,,2016 - 2017,0.26
,,2017 - 2018,0.09
,,2018 - 2019,0.51
,,2019 - 2020,0.45
,,2020 - 2021,0.33
,,2021 - 2022,0.31
,,2022 - 2023,0.26
,Bangalore rural,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.16
,,2003 - 2004,0.25
,,2004 - 2005,0.12
,,2005 - 2006,0.21
,,2006 - 2007,0.13
,,2007 - 2008,0.5
,,2008 - 2009,0.28
,,2009 - 2010,0.17
,,2010 - 2011,0.36
,,2011 - 2012,0.38
,,2012 - 2013,0.5
,,2013 - 2014,0.4
,,2014 - 2015,0.33
,,2015 - 2016,0.3
,,2016 - 2017,0.5
,,2018 - 2019,0.45
,,2019 - 2020,0.45
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Belgaum,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.11
,,2003 - 2004,0.22
,,2004 - 2005,0.21
,,2005 - 2006,0.26
,,2006 - 2007,0.17
,,2007 - 2008,0.43
,,2008 - 2009,0.23
,,2009 - 2010,0.18
,,2010 - 2011,0.32
,,2011 - 2012,0.23
,,2012 - 2013,0.26
,,2013 - 2014,0.27
,,2014 - 2015,0.22
,,2015 - 2016,0.13
,,2016 - 2017,0.34
,,2017 - 2018,0.37
,,2018 - 2019,0.55
,,2019 - 2020,0.47
,,2020 - 2021,0.52
,,2021 - 2022,0.49
,,2022 - 2023,0.4
,Bellary,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.14
,,2003 - 2004,0.27
,,2004 - 2005,0.13
,,2005 - 2006,0.19
,,2006 - 2007,0.13
,,2007 - 2008,0.43
,,2008 - 2009,0.23
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,0.28
,,2015 - 2016,0.25
,,2016 - 2017,0.49
,,2017 - 2018,0.5
,,2018 - 2019,0.46
,,2019 - 2020,0.46
,,2020 - 2021,0.57
,,2021 - 2022,0.5
,,2022 - 2023,0.46
,Bengaluru urban,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.15
,,2003 - 2004,0.24
,,2004 - 2005,0.12
,,2005 - 2006,0.19
,,2006 - 2007,0.13
,,2007 - 2008,0.42
,,2008 - 2009,0.27
,,2009 - 2010,0.09
,,2010 - 2011,0.37
,,2011 - 2012,0.38
,,2012 - 2013,0.46
,,2013 - 2014,0.5
,,2014 - 2015,0.29
,,2015 - 2016,0.29
,,2016 - 2017,0.4
,,2017 - 2018,0.5
,,2018 - 2019,0.43
,,2019 - 2020,0.48
,,2020 - 2021,0.57
,,2021 - 2022,0.5
,,2022 - 2023,0.45
,Bidar,2000 - 2001,0.33
,,2001 - 2002,0.41
,,2002 - 2003,0.12
,,2003 - 2004,0.23
,,2004 - 2005,0.07
,,2005 - 2006,0.11
,,2006 - 2007,0.07
,,2007 - 2008,0.45
,,2008 - 2009,0.11
,,2009 - 2010,0.01
,,2010 - 2011,0.32
,,2011 - 2012,0.33
,,2012 - 2013,0.64
,,2013 - 2014,0.49
,,2014 - 2015,0.22
,,2015 - 2016,0.09
,,2016 - 2017,0.6
,,2017 - 2018,0.67
,,2018 - 2019,0.47
,,2019 - 2020,0.5
,,2020 - 2021,0.69
,,2021 - 2022,0.54
,,2022 - 2023,0.56
,Bijapur,2007 - 2008,0.43
,,2008 - 2009,0.29
,,2009 - 2010,0.08
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2013 - 2014,0.48
,,2014 - 2015,0.28
,,2015 - 2016,0.2
,,2016 - 2017,0.19
,,2017 - 2018,0.09
,,2018 - 2019,0.16
,,2019 - 2020,0.15
,,2020 - 2021,0.29
,,2021 - 2022,0.3
,,2022 - 2023,0.38
,Chamarajanagar,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.16
,,2003 - 2004,0.03
,,2004 - 2005,0.21
,,2005 - 2006,0.29
,,2006 - 2007,0.23
,,2007 - 2008,0.28
,,2008 - 2009,0.38
,,2009 - 2010,0.65
,,2010 - 2011,0.54
,,2011 - 2012,0.54
,,2012 - 2013,0.18
,,2013 - 2014,0.42
,,2014 - 2015,0.31
,,2015 - 2016,0.2
,,2016 - 2017,0.11
,,2017 - 2018,0.2
,,2018 - 2019,0.29
,,2019 - 2020,0.13
,,2020 - 2021,0.37
,,2021 - 2022,0.18
,,2022 - 2023,0.14
,Chikballapur,2018 - 2019,0.43
,,2019 - 2020,0.46
,,2020 - 2021,0.58
,,2021 - 2022,0.5
,,2022 - 2023,0.47
,Chikmagalur,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.14
,,2003 - 2004,0.25
,,2004 - 2005,0.12
,,2005 - 2006,0.08
,,2006 - 2007,0.19
,,2007 - 2008,0.25
,,2008 - 2009,0.06
,,2009 - 2010,0.26
,,2010 - 2011,0.25
,,2011 - 2012,0.16
,,2012 - 2013,0.11
,,2013 - 2014,0.3
,,2014 - 2015,0.16
,,2015 - 2016,0.43
,,2016 - 2017,0.23
,,2017 - 2018,0.16
,,2018 - 2019,0.24
,,2019 - 2020,0.2
,,2020 - 2021,0.29
,,2021 - 2022,0.31
,,2022 - 2023,0.22
,Chitradurga,2000 - 2001,0.38
,,2001 - 2002,0.38
,,2002 - 2003,0.13
,,2003 - 2004,0.25
,,2004 - 2005,0.11
,,2005 - 2006,0.2
,,2006 - 2007,0.14
,,2007 - 2008,0.43
,,2008 - 2009,0.27
,,2009 - 2010,0.09
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2012 - 2013,0.4
,,2013 - 2014,0.47
,,2016 - 2017,0.0
,,2017 - 2018,0.4
,,2018 - 2019,0.48
,,2019 - 2020,0.5
,,2020 - 2021,0.6
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Dakshin kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.0
,,2020 - 2021,
,Davangere,2000 - 2001,0.38
,,2001 - 2002,0.37
,,2002 - 2003,0.13
,,2003 - 2004,0.25
,,2004 - 2005,0.13
,,2005 - 2006,0.22
,,2006 - 2007,0.13
,,2007 - 2008,0.5
,,2008 - 2009,0.28
,,2009 - 2010,0.08
,,2010 - 2011,0.38
,,2011 - 2012,0.39
,,2012 - 2013,0.47
,,2013 - 2014,0.48
,,2014 - 2015,0.29
,,2015 - 2016,0.33
,,2016 - 2017,0.49
,,2017 - 2018,0.49
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.44
,,2022 - 2023,0.4
,Dharwad,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.14
,,2003 - 2004,0.03
,,2004 - 2005,0.21
,,2005 - 2006,0.14
,,2006 - 2007,0.3
,,2007 - 2008,0.24
,,2008 - 2009,0.38
,,2009 - 2010,0.38
,,2010 - 2011,0.4
,,2011 - 2012,0.46
,,2012 - 2013,0.26
,,2013 - 2014,0.34
,,2014 - 2015,0.25
,,2015 - 2016,0.2
,,2016 - 2017,0.48
,,2017 - 2018,0.16
,,2018 - 2019,0.43
,,2019 - 2020,0.45
,,2020 - 2021,0.43
,,2021 - 2022,0.53
,,2022 - 2023,0.42
,Gadag,2000 - 2001,0.38
,,2001 - 2002,0.25
,,2002 - 2003,0.1
,,2004 - 2005,0.11
,,2005 - 2006,0.2
,,2006 - 2007,0.13
,,2007 - 2008,0.43
,,2008 - 2009,0.28
,,2009 - 2010,0.09
,,2010 - 2011,0.36
,,2011 - 2012,0.38
,,2012 - 2013,0.33
,,2013 - 2014,0.47
,,2014 - 2015,0.29
,,2015 - 2016,0.33
,,2016 - 2017,0.49
,,2017 - 2018,0.49
,,2018 - 2019,0.48
,,2019 - 2020,0.47
,,2020 - 2021,0.58
,,2021 - 2022,0.5
,,2022 - 2023,0.46
,Gulbarga,2000 - 2001,0.51
,,2001 - 2002,0.3
,,2002 - 2003,0.17
,,2003 - 2004,0.29
,,2004 - 2005,0.15
,,2005 - 2006,0.31
,,2006 - 2007,0.18
,,2007 - 2008,0.45
,,2008 - 2009,0.44
,,2009 - 2010,0.03
,,2010 - 2011,0.37
,,2011 - 2012,0.37
,,2012 - 2013,0.53
,,2013 - 2014,0.54
,,2014 - 2015,0.35
,,2015 - 2016,0.32
,,2016 - 2017,0.6
,,2017 - 2018,0.63
,,2018 - 2019,0.49
,,2019 - 2020,0.57
,,2020 - 2021,0.72
,,2021 - 2022,0.57
,,2022 - 2023,0.61
,Hassan,2000 - 2001,0.51
,,2001 - 2002,0.07
,,2002 - 2003,0.14
,,2003 - 2004,0.25
,,2004 - 2005,0.11
,,2005 - 2006,0.2
,,2006 - 2007,0.14
,,2007 - 2008,0.43
,,2008 - 2009,0.27
,,2009 - 2010,0.08
,,2010 - 2011,0.36
,,2011 - 2012,0.15
,,2012 - 2013,0.05
,,2013 - 2014,0.08
,,2014 - 2015,0.19
,,2015 - 2016,0.28
,,2016 - 2017,0.17
,,2017 - 2018,0.06
,,2018 - 2019,0.37
,,2019 - 2020,0.26
,,2020 - 2021,0.27
,,2021 - 2022,0.2
,,2022 - 2023,0.23
,Haveri,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.11
,,2003 - 2004,0.25
,,2004 - 2005,0.12
,,2005 - 2006,0.18
,,2006 - 2007,0.19
,,2007 - 2008,0.33
,,2008 - 2009,0.26
,,2009 - 2010,0.2
,,2010 - 2011,0.32
,,2011 - 2012,0.53
,,2012 - 2013,0.13
,,2013 - 2014,0.54
,,2014 - 2015,0.38
,,2015 - 2016,0.33
,,2016 - 2017,0.3
,,2017 - 2018,0.33
,,2018 - 2019,0.64
,,2019 - 2020,0.46
,,2020 - 2021,0.28
,,2021 - 2022,0.5
,,2022 - 2023,0.47
,Kodagu,2018 - 2019,0.4
,Kolar,2001 - 2002,0.37
,,2004 - 2005,0.13
,,2005 - 2006,0.19
,,2006 - 2007,0.13
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.59
,,2021 - 2022,0.49
,,2022 - 2023,0.45
,Koppal,2000 - 2001,0.38
,,2001 - 2002,0.33
,,2002 - 2003,0.14
,,2003 - 2004,0.26
,,2004 - 2005,
,,2006 - 2007,0.25
,,2007 - 2008,1.0
,,2008 - 2009,0.25
,,2009 - 2010,0.1
,,2010 - 2011,0.33
,,2011 - 2012,0.38
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.62
,,2021 - 2022,0.5
,,2022 - 2023,0.46
,Mandya,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.14
,,2003 - 2004,0.25
,,2004 - 2005,0.12
,,2005 - 2006,0.2
,,2006 - 2007,0.14
,,2007 - 2008,0.43
,,2008 - 2009,0.27
,,2009 - 2010,0.08
,,2010 - 2011,0.36
,,2011 - 2012,0.37
,,2012 - 2013,0.48
,,2013 - 2014,0.48
,,2014 - 2015,0.28
,,2015 - 2016,0.25
,,2016 - 2017,0.49
,,2017 - 2018,0.48
,,2018 - 2019,0.48
,,2019 - 2020,0.47
,,2020 - 2021,0.59
,,2021 - 2022,0.49
,,2022 - 2023,0.46
,Mysore,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.16
,,2003 - 2004,0.22
,,2004 - 2005,0.18
,,2005 - 2006,0.25
,,2006 - 2007,0.27
,,2007 - 2008,0.23
,,2008 - 2009,0.41
,,2009 - 2010,0.39
,,2010 - 2011,0.48
,,2011 - 2012,0.5
,,2012 - 2013,0.13
,,2013 - 2014,0.4
,,2014 - 2015,0.3
,,2015 - 2016,0.4
,,2016 - 2017,0.26
,,2017 - 2018,0.21
,,2018 - 2019,0.53
,,2019 - 2020,0.24
,,2020 - 2021,0.4
,,2021 - 2022,0.29
,,2022 - 2023,0.26
,Raichur,2000 - 2001,0.39
,,2001 - 2002,0.38
,,2002 - 2003,0.15
,,2004 - 2005,0.12
,,2005 - 2006,0.0
,,2006 - 2007,0.12
,,2007 - 2008,0.45
,,2008 - 2009,0.3
,,2009 - 2010,0.1
,,2010 - 2011,0.36
,,2011 - 2012,0.35
,,2015 - 2016,
,,2018 - 2019,0.0
,,2019 - 2020,0.5
,,2020 - 2021,0.63
,,2021 - 2022,0.5
,,2022 - 2023,0.47
,Ramanagara,2007 - 2008,0.44
,,2008 - 2009,0.27
,,2009 - 2010,0.08
,,2010 - 2011,0.38
,,2011 - 2012,0.36
,,2012 - 2013,0.5
,,2013 - 2014,0.48
,,2014 - 2015,0.3
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.49
,,2022 - 2023,0.44
,Shimoga,2000 - 2001,0.38
,,2001 - 2002,0.37
,,2002 - 2003,0.15
,,2003 - 2004,0.25
,,2004 - 2005,0.12
,,2005 - 2006,0.2
,,2006 - 2007,0.14
,,2007 - 2008,0.42
,,2008 - 2009,0.26
,,2009 - 2010,0.07
,,2010 - 2011,0.35
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,
,,2014 - 2015,0.27
,,2015 - 2016,0.2
,,2016 - 2017,0.5
,,2017 - 2018,
,,2018 - 2019,0.5
,,2019 - 2020,0.33
,,2020 - 2021,0.57
,,2021 - 2022,0.33
,,2022 - 2023,0.5
,Tumkur,2000 - 2001,0.39
,,2001 - 2002,0.37
,,2002 - 2003,0.14
,,2003 - 2004,0.25
,,2004 - 2005,0.12
,,2005 - 2006,0.2
,,2006 - 2007,0.14
,,2007 - 2008,0.43
,,2008 - 2009,0.27
,,2009 - 2010,0.08
,,2010 - 2011,0.36
,,2011 - 2012,0.37
,,2012 - 2013,0.02
,,2013 - 2014,0.05
,,2014 - 2015,0.29
,,2015 - 2016,0.54
,,2016 - 2017,0.48
,,2017 - 2018,0.26
,,2018 - 2019,0.29
,,2019 - 2020,0.28
,,2020 - 2021,0.34
,,2021 - 2022,0.12
,,2022 - 2023,0.25
,Udupi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.11
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.44
,,2019 - 2020,0.0
,,2020 - 2021,1.0
,,2021 - 2022,
,,2022 - 2023,
,Uttar kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.49
,,2022 - 2023,
,Vijayanagar,2022 - 2023,0.45
,Yadgir,2010 - 2011,0.44
,,2011 - 2012,0.49
,,2012 - 2013,0.38
,,2013 - 2014,0.48
,,2014 - 2015,0.35
,,2015 - 2016,0.19
,,2016 - 2017,0.37
,,2017 - 2018,0.95
,,2018 - 2019,0.5
,,2019 - 2020,0.48
,,2020 - 2021,0.71
,,2021 - 2022,0.57
,,2022 - 2023,0.62
Kerala,Kannur,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kasaragod,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kollam,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kottayam,2013 - 2014,
,Malappuram,2012 - 2013,
,,2013 - 2014,
,Palakkad,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Thiruvananthapuram,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Thrissur,2013 - 2014,
Madhya Pradesh,Agar malwa,2013 - 2014,0.36
,,2014 - 2015,0.33
,,2015 - 2016,0.57
,,2016 - 2017,0.8
,,2017 - 2018,0.75
,,2018 - 2019,0.35
,,2019 - 2020,0.35
,,2020 - 2021,0.32
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Alirajpur,2008 - 2009,0.48
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.33
,,2012 - 2013,0.57
,,2013 - 2014,0.35
,,2014 - 2015,0.41
,,2015 - 2016,0.62
,,2016 - 2017,0.83
,,2017 - 2018,0.31
,,2018 - 2019,0.35
,,2019 - 2020,0.47
,,2020 - 2021,0.18
,,2021 - 2022,0.51
,,2022 - 2023,0.51
,Anuppur,2003 - 2004,0.27
,,2004 - 2005,0.38
,,2005 - 2006,0.39
,,2006 - 2007,0.39
,,2007 - 2008,0.31
,,2008 - 2009,0.37
,,2009 - 2010,0.23
,,2010 - 2011,0.22
,,2011 - 2012,0.23
,,2012 - 2013,0.61
,,2013 - 2014,0.57
,,2014 - 2015,0.63
,,2015 - 2016,0.5
,,2016 - 2017,0.63
,,2017 - 2018,0.69
,,2018 - 2019,0.44
,,2019 - 2020,0.49
,,2020 - 2021,0.47
,,2021 - 2022,0.63
,,2022 - 2023,0.63
,Ashoknagar,2003 - 2004,0.45
,,2004 - 2005,0.49
,,2005 - 2006,0.49
,,2006 - 2007,0.53
,,2007 - 2008,0.53
,,2008 - 2009,0.5
,,2009 - 2010,0.54
,,2010 - 2011,0.42
,,2011 - 2012,0.39
,,2012 - 2013,0.3
,,2013 - 2014,0.29
,,2014 - 2015,0.51
,,2015 - 2016,0.69
,,2016 - 2017,0.61
,,2017 - 2018,0.65
,,2018 - 2019,0.42
,,2019 - 2020,0.42
,,2020 - 2021,0.39
,,2021 - 2022,0.46
,,2022 - 2023,0.46
,Balaghat,2003 - 2004,0.3
,,2004 - 2005,0.3
,,2005 - 2006,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,0.3
,,2010 - 2011,0.36
,,2011 - 2012,0.22
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.75
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,0.67
,,2018 - 2019,0.53
,,2019 - 2020,0.5
,,2020 - 2021,0.52
,,2021 - 2022,0.55
,,2022 - 2023,0.6
,Barwani,2003 - 2004,0.38
,,2004 - 2005,0.24
,,2005 - 2006,0.16
,,2006 - 2007,0.18
,,2007 - 2008,0.19
,,2008 - 2009,0.19
,,2009 - 2010,0.19
,,2010 - 2011,0.21
,,2011 - 2012,0.15
,,2012 - 2013,1.06
,,2013 - 2014,0.97
,,2014 - 2015,0.7
,,2015 - 2016,0.63
,,2016 - 2017,1.0
,,2017 - 2018,0.89
,,2018 - 2019,0.75
,,2019 - 2020,0.54
,,2020 - 2021,0.53
,,2021 - 2022,0.85
,,2022 - 2023,0.87
,Betul,2003 - 2004,0.3
,,2004 - 2005,0.31
,,2005 - 2006,0.34
,,2006 - 2007,0.35
,,2007 - 2008,0.36
,,2008 - 2009,0.35
,,2009 - 2010,0.36
,,2010 - 2011,0.37
,,2011 - 2012,0.28
,,2012 - 2013,0.43
,,2013 - 2014,0.26
,,2014 - 2015,0.2
,,2015 - 2016,0.25
,,2016 - 2017,0.5
,,2017 - 2018,0.44
,,2018 - 2019,0.26
,,2019 - 2020,0.21
,,2020 - 2021,0.16
,,2021 - 2022,0.35
,,2022 - 2023,0.35
,Bhind,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.25
,,2007 - 2008,0.29
,,2008 - 2009,0.24
,,2009 - 2010,0.26
,,2010 - 2011,0.31
,,2011 - 2012,0.17
,,2012 - 2013,0.21
,,2013 - 2014,0.37
,,2014 - 2015,0.6
,,2015 - 2016,0.33
,,2016 - 2017,1.0
,,2017 - 2018,0.57
,,2018 - 2019,0.35
,,2019 - 2020,0.4
,,2020 - 2021,0.2
,,2021 - 2022,0.24
,,2022 - 2023,0.54
,Bhopal,2003 - 2004,0.32
,,2004 - 2005,0.32
,,2005 - 2006,0.33
,,2006 - 2007,0.34
,,2007 - 2008,0.34
,,2008 - 2009,0.34
,,2009 - 2010,0.34
,,2010 - 2011,0.36
,,2011 - 2012,0.29
,,2012 - 2013,0.48
,,2013 - 2014,0.33
,,2014 - 2015,0.43
,,2015 - 2016,0.5
,,2016 - 2017,0.67
,,2017 - 2018,0.33
,,2018 - 2019,0.44
,,2019 - 2020,0.45
,,2020 - 2021,0.23
,,2021 - 2022,0.36
,,2022 - 2023,0.45
,Burhanpur,2003 - 2004,0.31
,,2004 - 2005,0.27
,,2005 - 2006,0.29
,,2006 - 2007,0.31
,,2007 - 2008,0.3
,,2008 - 2009,0.29
,,2009 - 2010,0.3
,,2010 - 2011,0.24
,,2011 - 2012,0.26
,,2012 - 2013,0.42
,,2013 - 2014,0.42
,,2014 - 2015,0.8
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,0.95
,,2018 - 2019,0.5
,,2019 - 2020,0.46
,,2020 - 2021,0.52
,,2021 - 2022,0.49
,,2022 - 2023,0.65
,Chhatarpur,2003 - 2004,0.16
,,2004 - 2005,0.2
,,2005 - 2006,0.2
,,2006 - 2007,0.19
,,2007 - 2008,0.18
,,2008 - 2009,0.25
,,2009 - 2010,0.24
,,2010 - 2011,0.24
,,2011 - 2012,0.12
,,2012 - 2013,0.32
,,2013 - 2014,0.4
,,2014 - 2015,0.7
,,2015 - 2016,0.79
,,2016 - 2017,1.03
,,2017 - 2018,1.05
,,2018 - 2019,0.73
,,2019 - 2020,0.2
,,2020 - 2021,0.44
,,2021 - 2022,0.68
,,2022 - 2023,0.81
,Chhindwara,2003 - 2004,0.32
,,2004 - 2005,0.29
,,2005 - 2006,0.19
,,2006 - 2007,0.36
,,2007 - 2008,0.31
,,2008 - 2009,0.28
,,2009 - 2010,0.32
,,2010 - 2011,0.33
,,2011 - 2012,0.22
,,2012 - 2013,0.41
,,2013 - 2014,0.14
,,2014 - 2015,0.31
,,2015 - 2016,0.42
,,2016 - 2017,0.5
,,2017 - 2018,0.88
,,2018 - 2019,0.24
,,2019 - 2020,0.39
,,2020 - 2021,0.4
,,2021 - 2022,0.4
,,2022 - 2023,0.51
,Damoh,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2005 - 2006,0.3
,,2006 - 2007,0.27
,,2007 - 2008,0.28
,,2008 - 2009,0.38
,,2009 - 2010,0.34
,,2010 - 2011,0.4
,,2011 - 2012,0.32
,,2012 - 2013,0.49
,,2013 - 2014,0.28
,,2014 - 2015,0.42
,,2015 - 2016,0.52
,,2016 - 2017,1.15
,,2017 - 2018,1.35
,,2018 - 2019,0.49
,,2019 - 2020,0.11
,,2020 - 2021,0.16
,,2021 - 2022,0.49
,,2022 - 2023,0.68
,Datia,2003 - 2004,0.25
,,2004 - 2005,0.23
,,2005 - 2006,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.19
,,2008 - 2009,0.25
,,2009 - 2010,0.22
,,2010 - 2011,0.3
,,2011 - 2012,0.19
,,2012 - 2013,0.29
,,2013 - 2014,0.3
,,2014 - 2015,0.5
,,2015 - 2016,0.28
,,2016 - 2017,0.31
,,2017 - 2018,0.15
,,2018 - 2019,0.34
,,2019 - 2020,0.3
,,2020 - 2021,0.28
,,2021 - 2022,0.28
,,2022 - 2023,0.33
,Dewas,2003 - 2004,0.27
,,2004 - 2005,0.29
,,2005 - 2006,0.31
,,2006 - 2007,0.3
,,2007 - 2008,0.37
,,2008 - 2009,0.37
,,2009 - 2010,0.36
,,2010 - 2011,0.36
,,2011 - 2012,0.3
,,2012 - 2013,0.31
,,2013 - 2014,0.31
,,2014 - 2015,0.5
,,2017 - 2018,0.48
,,2018 - 2019,0.32
,,2019 - 2020,0.3
,,2020 - 2021,0.28
,,2021 - 2022,0.3
,,2022 - 2023,
,Dhar,2003 - 2004,0.34
,,2004 - 2005,0.28
,,2005 - 2006,0.28
,,2006 - 2007,0.29
,,2007 - 2008,0.35
,,2008 - 2009,0.35
,,2009 - 2010,0.32
,,2010 - 2011,0.36
,,2011 - 2012,0.24
,,2012 - 2013,0.38
,,2013 - 2014,0.69
,,2014 - 2015,0.5
,,2015 - 2016,0.67
,,2016 - 2017,1.0
,,2017 - 2018,1.11
,,2018 - 2019,0.57
