state,district,year,jowar_kharif_yield_tonne_per_hectare
,,2006 - 2007,0.43
,,2007 - 2008,0.53
,,2008 - 2009,0.44
,,2009 - 2010,0.01
,,2010 - 2011,0.71
,,2011 - 2012,0.64
,,2012 - 2013,0.28
,,2013 - 2014,0.28
,,2014 - 2015,0.82
,,2015 - 2016,0.62
,,2016 - 2017,0.47
,,2017 - 2018,0.58
,,2018 - 2019,0.61
,,2019 - 2020,0.73
,,2020 - 2021,0.92
,,2021 - 2022,0.57
,,2022 - 2023,0.65
,Karauli,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.13
,,2003 - 2004,0.71
,,2004 - 2005,0.46
,,2005 - 2006,0.29
,,2006 - 2007,0.86
,,2007 - 2008,1.32
,,2008 - 2009,1.63
,,2009 - 2010,0.54
,,2010 - 2011,0.7
,,2011 - 2012,0.74
,,2012 - 2013,0.62
,,2013 - 2014,0.62
,,2014 - 2015,0.76
,,2015 - 2016,0.54
,,2016 - 2017,0.6
,,2017 - 2018,0.58
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,1.06
,,2021 - 2022,0.86
,,2022 - 2023,0.89
,Kota,2000 - 2001,0.45
,,2001 - 2002,0.93
,,2002 - 2003,0.72
,,2003 - 2004,0.92
,,2004 - 2005,1.73
,,2005 - 2006,1.1
,,2006 - 2007,0.95
,,2007 - 2008,1.22
,,2008 - 2009,1.17
,,2009 - 2010,1.2
,,2010 - 2011,1.02
,,2011 - 2012,0.85
,,2012 - 2013,1.05
,,2013 - 2014,1.17
,,2014 - 2015,1.1
,,2015 - 2016,0.96
,,2016 - 2017,1.37
,,2017 - 2018,1.22
,,2018 - 2019,1.59
,,2019 - 2020,1.09
,,2020 - 2021,1.39
,,2021 - 2022,1.13
,,2022 - 2023,1.25
,Nagaur,2000 - 2001,0.16
,,2001 - 2002,0.26
,,2002 - 2003,0.13
,,2003 - 2004,0.45
,,2004 - 2005,0.43
,,2005 - 2006,0.34
,,2006 - 2007,0.41
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.07
,,2010 - 2011,1.04
,,2011 - 2012,1.04
,,2012 - 2013,0.18
,,2013 - 2014,0.52
,,2014 - 2015,0.87
,,2015 - 2016,0.72
,,2016 - 2017,0.58
,,2017 - 2018,0.5
,,2018 - 2019,0.61
,,2019 - 2020,0.6
,,2020 - 2021,0.73
,,2021 - 2022,0.68
,,2022 - 2023,0.71
,Pali,2000 - 2001,0.01
,,2001 - 2002,0.31
,,2002 - 2003,0.04
,,2003 - 2004,0.52
,,2004 - 2005,0.42
,,2005 - 2006,0.12
,,2006 - 2007,0.52
,,2007 - 2008,0.47
,,2008 - 2009,0.35
,,2009 - 2010,0.01
,,2010 - 2011,0.62
,,2011 - 2012,0.62
,,2012 - 2013,0.57
,,2013 - 2014,0.5
,,2014 - 2015,0.63
,,2015 - 2016,0.51
,,2016 - 2017,0.58
,,2017 - 2018,0.31
,,2018 - 2019,0.51
,,2019 - 2020,0.35
,,2020 - 2021,0.61
,,2021 - 2022,0.43
,,2022 - 2023,0.55
,Pratapgarh,2008 - 2009,1.06
,,2009 - 2010,0.8
,,2010 - 2011,0.7
,,2011 - 2012,0.74
,,2012 - 2013,0.62
,,2013 - 2014,0.62
,,2014 - 2015,0.76
,,2015 - 2016,0.55
,,2016 - 2017,0.58
,,2017 - 2018,0.67
,,2018 - 2019,1.0
,,2019 - 2020,0.5
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.88
,Rajsamand,2000 - 2001,0.08
,,2001 - 2002,0.78
,,2002 - 2003,0.0
,,2003 - 2004,1.45
,,2004 - 2005,0.8
,,2005 - 2006,1.24
,,2006 - 2007,1.52
,,2007 - 2008,2.04
,,2008 - 2009,1.61
,,2009 - 2010,0.7
,,2010 - 2011,1.43
,,2011 - 2012,1.48
,,2012 - 2013,2.44
,,2013 - 2014,1.93
,,2014 - 2015,2.12
,,2015 - 2016,0.89
,,2016 - 2017,1.08
,,2017 - 2018,1.79
,,2018 - 2019,2.45
,,2019 - 2020,1.62
,,2020 - 2021,2.25
,,2021 - 2022,2.14
,,2022 - 2023,1.8
,Sawai madhopur,2000 - 2001,0.53
,,2001 - 2002,0.68
,,2002 - 2003,0.15
,,2003 - 2004,1.29
,,2004 - 2005,1.52
,,2005 - 2006,1.2
,,2006 - 2007,1.25
,,2007 - 2008,1.91
,,2008 - 2009,1.63
,,2009 - 2010,1.54
,,2010 - 2011,0.7
,,2011 - 2012,1.76
,,2012 - 2013,2.04
,,2013 - 2014,0.61
,,2014 - 2015,0.76
,,2015 - 2016,0.55
,,2016 - 2017,0.6
,,2017 - 2018,0.58
,,2018 - 2019,0.83
,,2019 - 2020,0.71
,,2020 - 2021,1.05
,,2021 - 2022,0.86
,,2022 - 2023,0.89
,Sikar,2000 - 2001,0.21
,,2001 - 2002,0.42
,,2002 - 2003,0.13
,,2003 - 2004,0.71
,,2004 - 2005,0.47
,,2005 - 2006,0.33
,,2006 - 2007,0.67
,,2007 - 2008,0.6
,,2008 - 2009,0.5
,,2009 - 2010,0.15
,,2010 - 2011,0.7
,,2011 - 2012,0.75
,,2012 - 2013,0.64
,,2013 - 2014,0.58
,,2014 - 2015,0.8
,,2015 - 2016,0.56
,,2016 - 2017,1.0
,,2018 - 2019,0.67
,,2021 - 2022,0.84
,,2022 - 2023,0.89
,Sirohi,2000 - 2001,0.2
,,2001 - 2002,0.41
,,2002 - 2003,0.23
,,2003 - 2004,1.09
,,2004 - 2005,0.49
,,2005 - 2006,0.61
,,2006 - 2007,0.41
,,2008 - 2009,0.51
,,2009 - 2010,0.2
,,2010 - 2011,0.7
,,2011 - 2012,0.53
,,2012 - 2013,1.02
,,2013 - 2014,0.5
,,2014 - 2015,0.76
,,2015 - 2016,0.98
,,2016 - 2017,0.17
,,2017 - 2018,0.0
,,2018 - 2019,0.63
,,2019 - 2020,0.76
,,2020 - 2021,1.08
,,2021 - 2022,0.43
,,2022 - 2023,0.98
,Tonk,2000 - 2001,0.04
,,2001 - 2002,0.13
,,2002 - 2003,0.04
,,2003 - 2004,0.54
,,2004 - 2005,0.37
,,2005 - 2006,0.38
,,2006 - 2007,0.29
,,2007 - 2008,0.57
,,2008 - 2009,0.45
,,2009 - 2010,0.03
,,2010 - 2011,0.57
,,2011 - 2012,0.45
,,2012 - 2013,0.57
,,2013 - 2014,0.28
,,2014 - 2015,0.68
,,2015 - 2016,0.46
,,2016 - 2017,0.43
,,2017 - 2018,0.51
,,2018 - 2019,0.83
,,2019 - 2020,0.66
,,2020 - 2021,0.88
,,2021 - 2022,0.95
,,2022 - 2023,0.51
,Udaipur,2000 - 2001,0.17
,,2001 - 2002,0.61
,,2002 - 2003,0.53
,,2003 - 2004,0.33
,,2004 - 2005,0.66
,,2005 - 2006,0.28
,,2006 - 2007,0.63
,,2007 - 2008,0.57
,,2008 - 2009,0.68
,,2009 - 2010,0.32
,,2010 - 2011,0.6
,,2011 - 2012,0.56
,,2012 - 2013,0.62
,,2013 - 2014,0.58
,,2014 - 2015,0.56
,,2015 - 2016,0.42
,,2016 - 2017,0.46
,,2017 - 2018,0.66
,,2018 - 2019,0.53
,,2019 - 2020,0.29
,,2020 - 2021,1.09
,,2021 - 2022,0.72
,,2022 - 2023,0.68
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.27
,,2013 - 2014,1.24
,,2014 - 2015,2.59
,,2015 - 2016,1.05
,,2016 - 2017,0.83
,,2017 - 2018,1.14
,,2018 - 2019,1.14
,,2019 - 2020,1.22
,,2020 - 2021,1.1
,,2021 - 2022,1.08
,,2022 - 2023,0.83
,Chengalpattu,2020 - 2021,2.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Coimbatore,2000 - 2001,0.48
,,2001 - 2002,0.39
,,2002 - 2003,0.29
,,2003 - 2004,0.3
,,2004 - 2005,0.34
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,0.72
,,2013 - 2014,0.9
,,2014 - 2015,1.46
,,2015 - 2016,0.91
,,2016 - 2017,1.04
,,2017 - 2018,0.7
,,2018 - 2019,0.76
,,2019 - 2020,1.0
,,2020 - 2021,1.03
,,2021 - 2022,0.93
,,2022 - 2023,0.62
,Cuddalore,2000 - 2001,0.89
,,2001 - 2002,0.45
,,2002 - 2003,0.37
,,2003 - 2004,0.46
,,2004 - 2005,0.39
,,2005 - 2006,0.63
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.1
,,2013 - 2014,1.11
,,2014 - 2015,2.01
,,2015 - 2016,1.0
,,2016 - 2017,0.8
,,2017 - 2018,1.12
,,2018 - 2019,1.16
,,2019 - 2020,1.21
,,2020 - 2021,1.14
,,2021 - 2022,1.07
,,2022 - 2023,
,Dharmapuri,2000 - 2001,1.87
,,2001 - 2002,0.93
,,2002 - 2003,0.93
,,2003 - 2004,0.65
,,2004 - 2005,1.16
,,2005 - 2006,0.92
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.35
,,2013 - 2014,1.06
,,2014 - 2015,2.62
,,2015 - 2016,1.13
,,2016 - 2017,0.38
,,2017 - 2018,1.58
,,2018 - 2019,1.44
,,2019 - 2020,2.04
,,2020 - 2021,1.88
,,2021 - 2022,1.83
,,2022 - 2023,1.44
,Dindigul,2000 - 2001,1.65
,,2001 - 2002,1.37
,,2002 - 2003,0.9
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,0.86
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.4
,,2013 - 2014,1.7
,,2014 - 2015,3.33
,,2015 - 2016,2.49
,,2016 - 2017,1.47
,,2017 - 2018,1.58
,,2018 - 2019,1.38
,,2019 - 2020,1.07
,,2020 - 2021,1.03
,,2021 - 2022,0.72
,,2022 - 2023,0.61
,Erode,2000 - 2001,0.87
,,2001 - 2002,0.31
,,2002 - 2003,0.54
,,2003 - 2004,0.54
,,2004 - 2005,0.6
,,2005 - 2006,0.38
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2017 - 2018,1.14
,,2018 - 2019,1.13
,,2019 - 2020,1.33
,,2020 - 2021,1.15
,,2021 - 2022,1.07
,,2022 - 2023,1.0
,Kallakurichi,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.83
,Kanchipuram,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,1.2
,,2014 - 2015,2.0
,,2015 - 2016,1.07
,,2016 - 2017,
,,2017 - 2018,1.2
,,2018 - 2019,1.17
,,2019 - 2020,1.0
,Kanniyakumari,2014 - 2015,2.0
,,2017 - 2018,1.0
,Karur,2000 - 2001,0.39
,,2001 - 2002,0.3
,,2002 - 2003,0.34
,,2003 - 2004,0.35
,,2004 - 2005,0.26
,,2005 - 2006,0.3
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,0.5
,,2013 - 2014,1.27
,,2014 - 2015,1.98
,,2015 - 2016,0.47
,,2016 - 2017,0.41
,,2017 - 2018,0.17
,,2018 - 2019,0.65
,,2019 - 2020,0.58
,,2020 - 2021,0.87
,,2021 - 2022,0.42
,,2022 - 2023,0.68
,Krishnagiri,2004 - 2005,0.63
,,2005 - 2006,1.07
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,2.57
,,2013 - 2014,1.43
,,2014 - 2015,2.08
,,2015 - 2016,1.76
,,2016 - 2017,1.27
,,2017 - 2018,1.84
,,2018 - 2019,1.7
,,2019 - 2020,1.47
,,2020 - 2021,1.77
,,2021 - 2022,1.72
,,2022 - 2023,1.33
,Madurai,2000 - 2001,0.91
,,2001 - 2002,1.27
,,2002 - 2003,0.99
,,2003 - 2004,1.16
,,2004 - 2005,1.01
,,2005 - 2006,1.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.62
,,2013 - 2014,1.81
,,2014 - 2015,2.82
,,2015 - 2016,1.64
,,2016 - 2017,1.83
,,2017 - 2018,2.7
,,2018 - 2019,1.32
,,2019 - 2020,2.08
,,2020 - 2021,1.63
,,2021 - 2022,1.18
,,2022 - 2023,1.95
,Mayiladuthurai,2020 - 2021,1.1
,,2021 - 2022,1.0
,,2022 - 2023,0.67
,Nagapattinam,2008 - 2009,
,,2013 - 2014,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,Namakkal,2000 - 2001,1.16
,,2001 - 2002,1.69
,,2002 - 2003,1.07
,,2003 - 2004,0.77
,,2004 - 2005,0.75
,,2005 - 2006,0.97
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,0.66
,,2013 - 2014,1.15
,,2014 - 2015,1.7
,,2015 - 2016,0.61
,,2016 - 2017,0.61
,,2017 - 2018,0.47
,,2018 - 2019,0.54
,,2019 - 2020,0.45
,,2020 - 2021,0.5
,,2021 - 2022,0.57
,,2022 - 2023,0.44
,Perambalur,2000 - 2001,1.18
,,2001 - 2002,1.1
,,2002 - 2003,0.9
,,2003 - 2004,0.82
,,2004 - 2005,0.96
,,2005 - 2006,0.6
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.19
,,2013 - 2014,1.73
,,2014 - 2015,1.63
,,2015 - 2016,1.3
,,2016 - 2017,0.83
,,2017 - 2018,1.87
,,2018 - 2019,1.15
,,2019 - 2020,1.19
,,2020 - 2021,1.14
,,2021 - 2022,1.07
,,2022 - 2023,0.84
,Pudukkottai,2000 - 2001,0.89
,,2001 - 2002,0.49
,,2002 - 2003,0.72
,,2003 - 2004,0.63
,,2004 - 2005,0.64
,,2005 - 2006,0.67
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.1
,,2013 - 2014,1.11
,,2014 - 2015,2.01
,,2015 - 2016,1.04
,,2016 - 2017,0.85
,,2017 - 2018,1.15
,,2018 - 2019,1.0
,,2019 - 2020,1.2
,,2020 - 2021,0.8
,,2021 - 2022,0.89
,,2022 - 2023,0.81
,Ramanathapuram,2000 - 2001,0.89
,,2001 - 2002,0.79
,,2002 - 2003,0.61
,,2003 - 2004,0.6
,,2004 - 2005,1.16
,,2005 - 2006,0.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,1.14
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.83
,Ranipet,2020 - 2021,1.15
,,2021 - 2022,1.08
,,2022 - 2023,0.81
,Salem,2000 - 2001,1.1
,,2001 - 2002,1.5
,,2002 - 2003,0.44
,,2003 - 2004,0.49
,,2004 - 2005,0.62
,,2005 - 2006,1.03
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,0.95
,,2013 - 2014,0.84
,,2014 - 2015,1.93
,,2015 - 2016,1.02
,,2016 - 2017,1.11
,,2017 - 2018,0.96
,,2018 - 2019,1.05
,,2019 - 2020,1.05
,,2020 - 2021,1.19
,,2021 - 2022,1.24
,,2022 - 2023,0.64
,Sivaganga,2000 - 2001,0.9
,,2001 - 2002,0.95
,,2002 - 2003,0.68
,,2003 - 2004,0.62
,,2004 - 2005,0.77
,,2005 - 2006,0.88
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.09
,,2013 - 2014,1.11
,,2014 - 2015,2.01
,,2015 - 2016,1.04
,,2016 - 2017,0.83
,,2017 - 2018,1.13
,,2018 - 2019,1.15
,,2019 - 2020,1.19
,,2020 - 2021,1.14
,,2021 - 2022,1.1
,,2022 - 2023,0.88
,Thanjavur,2003 - 2004,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.17
,,2015 - 2016,1.0
,,2017 - 2018,1.25
,,2018 - 2019,1.33
,,2019 - 2020,1.18
,,2020 - 2021,1.14
,,2021 - 2022,1.1
,,2022 - 2023,1.0
,The nilgiris,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2013 - 2014,1.17
,,2020 - 2021,1.0
,Theni,2000 - 2001,1.47
,,2001 - 2002,1.75
,,2002 - 2003,1.36
,,2003 - 2004,0.6
,,2004 - 2005,1.55
,,2005 - 2006,2.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,3.06
,,2013 - 2014,1.91
,,2014 - 2015,3.43
,,2015 - 2016,2.59
,,2016 - 2017,1.14
,,2017 - 2018,3.55
,,2018 - 2019,5.23
,,2019 - 2020,2.08
,,2020 - 2021,1.92
,,2021 - 2022,1.98
,,2022 - 2023,2.02
,Thenkasi,2020 - 2021,1.13
,,2021 - 2022,1.07
,,2022 - 2023,0.83
,Thiruvallur,2000 - 2001,1.11
,,2001 - 2002,1.67
,,2002 - 2003,0.65
,,2003 - 2004,0.59
,,2004 - 2005,0.75
,,2005 - 2006,0.75
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.07
,,2013 - 2014,1.11
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,0.8
,,2017 - 2018,1.13
,,2018 - 2019,2.0
,,2019 - 2020,1.2
,,2020 - 2021,
,,2021 - 2022,1.0
,Thiruvarur,2007 - 2008,
,,2013 - 2014,
,,2021 - 2022,1.0
,Thoothukudi,2000 - 2001,0.89
,,2001 - 2002,0.78
,,2002 - 2003,0.61
,,2003 - 2004,0.59
,,2004 - 2005,0.63
,,2005 - 2006,0.68
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.23
,,2020 - 2021,
,,2021 - 2022,1.09
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,0.74
,,2001 - 2002,0.57
,,2002 - 2003,0.61
,,2003 - 2004,0.61
,,2004 - 2005,0.45
,,2005 - 2006,0.36
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,0.54
,,2013 - 2014,0.63
,,2014 - 2015,1.75
,,2015 - 2016,0.84
,,2016 - 2017,0.83
,,2017 - 2018,1.93
,,2018 - 2019,1.98
,,2019 - 2020,1.6
,,2020 - 2021,1.11
,,2021 - 2022,0.73
,,2022 - 2023,0.49
,Tirunelveli,2000 - 2001,1.07
,,2001 - 2002,1.45
,,2002 - 2003,1.21
,,2003 - 2004,1.62
,,2004 - 2005,1.92
,,2005 - 2006,3.24
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.1
,,2013 - 2014,2.51
,,2014 - 2015,5.02
,,2015 - 2016,3.87
,,2016 - 2017,0.83
,,2017 - 2018,3.63
,,2018 - 2019,3.95
,,2019 - 2020,1.19
,,2020 - 2021,1.14
,,2021 - 2022,1.07
,,2022 - 2023,0.83
,Tirupathur,2020 - 2021,1.75
,,2021 - 2022,1.23
,,2022 - 2023,1.35
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,0.57
,,2013 - 2014,0.48
,,2014 - 2015,0.56
,,2015 - 2016,0.32
,,2016 - 2017,0.32
,,2017 - 2018,0.39
,,2018 - 2019,0.31
,,2019 - 2020,0.19
,,2020 - 2021,0.51
,,2021 - 2022,0.17
,,2022 - 2023,0.4
,Tiruvannamalai,2000 - 2001,0.92
,,2001 - 2002,0.91
,,2002 - 2003,0.66
,,2003 - 2004,0.63
,,2004 - 2005,0.67
,,2005 - 2006,0.71
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.1
,,2013 - 2014,1.11
,,2014 - 2015,2.01
,,2015 - 2016,1.05
,,2016 - 2017,0.83
,,2017 - 2018,1.14
,,2018 - 2019,1.11
,,2019 - 2020,1.19
,,2020 - 2021,1.12
,,2021 - 2022,1.07
,,2022 - 2023,0.76
,Vellore,2000 - 2001,1.09
,,2001 - 2002,1.47
,,2002 - 2003,1.42
,,2003 - 2004,1.08
,,2004 - 2005,1.31
,,2005 - 2006,1.22
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.59
,,2013 - 2014,0.91
,,2014 - 2015,2.8
,,2015 - 2016,1.63
,,2016 - 2017,1.31
,,2017 - 2018,1.54
,,2018 - 2019,1.63
,,2019 - 2020,1.43
,,2020 - 2021,1.36
,,2021 - 2022,2.35
,,2022 - 2023,1.24
,Villupuram,2000 - 2001,0.92
,,2001 - 2002,1.29
,,2002 - 2003,0.69
,,2003 - 2004,0.59
,,2004 - 2005,0.72
,,2005 - 2006,0.79
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,1.03
,,2013 - 2014,1.11
,,2014 - 2015,2.01
,,2015 - 2016,1.05
,,2016 - 2017,0.83
,,2017 - 2018,1.14
,,2018 - 2019,1.15
,,2019 - 2020,1.19
,,2020 - 2021,1.12
,,2021 - 2022,1.07
,,2022 - 2023,0.86
,Virudhunagar,2000 - 2001,0.89
,,2001 - 2002,0.8
,,2002 - 2003,0.62
,,2003 - 2004,0.84
,,2004 - 2005,0.64
,,2005 - 2006,0.69
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,0.43
,,2013 - 2014,2.31
,,2014 - 2015,2.04
,,2015 - 2016,2.3
,,2016 - 2017,1.03
,,2017 - 2018,1.14
,,2018 - 2019,3.25
,,2019 - 2020,1.65
,,2020 - 2021,1.87
,,2021 - 2022,1.61
,,2022 - 2023,1.31
Telangana,Adilabad,2000 - 2001,1.6
,,2001 - 2002,1.68
,,2002 - 2003,1.54
,,2003 - 2004,1.44
,,2004 - 2005,1.56
,,2005 - 2006,1.87
,,2006 - 2007,1.51
,,2007 - 2008,2.35
,,2008 - 2009,1.78
,,2009 - 2010,1.76
,,2010 - 2011,1.06
,,2011 - 2012,1.86
,,2012 - 2013,1.39
,,2013 - 2014,0.89
,,2014 - 2015,0.99
,,2015 - 2016,1.17
,,2016 - 2017,0.97
,,2017 - 2018,0.74
,,2018 - 2019,0.72
,,2019 - 2020,1.05
,,2020 - 2021,0.83
,,2021 - 2022,0.41
,,2022 - 2023,0.42
,Bhadradri,2016 - 2017,1.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.17
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,0.7
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,0.75
,,2022 - 2023,
,Jangoan,2016 - 2017,0.85
,,2017 - 2018,0.93
,,2018 - 2019,1.0
,,2019 - 2020,1.18
,,2020 - 2021,0.8
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.64
,Jogulamba,2016 - 2017,0.79
,,2017 - 2018,0.95
,,2018 - 2019,0.93
,,2019 - 2020,1.18
,,2020 - 2021,0.81
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Kamareddy,2016 - 2017,0.58
,,2017 - 2018,0.94
,,2018 - 2019,0.93
,,2019 - 2020,1.18
,,2020 - 2021,0.81
,,2021 - 2022,0.68
,,2022 - 2023,0.7
,Karimnagar,2000 - 2001,0.72
,,2001 - 2002,0.96
,,2002 - 2003,0.98
,,2003 - 2004,0.91
,,2004 - 2005,0.88
,,2005 - 2006,1.2
,,2006 - 2007,1.05
,,2009 - 2010,
,,2010 - 2011,0.94
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,1.0
,,2015 - 2016,
,,2019 - 2020,1.0
,,2020 - 2021,0.78
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Khammam,2000 - 2001,0.94
,,2001 - 2002,1.25
,,2002 - 2003,0.91
,,2003 - 2004,0.65
,,2004 - 2005,0.61
,,2005 - 2006,0.87
,,2006 - 2007,0.9
,,2007 - 2008,
,,2008 - 2009,1.31
,,2009 - 2010,0.74
,,2010 - 2011,0.83
,,2011 - 2012,1.52
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.9
,,2018 - 2019,1.0
,,2019 - 2020,1.17
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,0.7
,Komaram bheem asifabad,2016 - 2017,0.97
,,2017 - 2018,1.19
,,2018 - 2019,1.07
,,2019 - 2020,0.8
,,2020 - 2021,0.93
,,2021 - 2022,0.19
,,2022 - 2023,0.07
,Mahabubabad,2016 - 2017,
,,2017 - 2018,0.95
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,0.81
,,2021 - 2022,0.67
,,2022 - 2023,0.7
,Mahbubnagar,2000 - 2001,0.76
,,2001 - 2002,0.71
,,2002 - 2003,0.92
,,2003 - 2004,0.76
,,2004 - 2005,0.45
,,2005 - 2006,0.97
,,2006 - 2007,0.82
,,2007 - 2008,0.98
,,2008 - 2009,0.88
,,2009 - 2010,0.55
,,2010 - 2011,0.87
,,2011 - 2012,0.83
,,2012 - 2013,1.21
,,2013 - 2014,1.19
,,2014 - 2015,1.17
,,2015 - 2016,1.03
,,2016 - 2017,0.79
,,2017 - 2018,1.06
,,2018 - 2019,1.05
,,2019 - 2020,1.0
,,2020 - 2021,0.65
,,2021 - 2022,0.74
,,2022 - 2023,0.62
,Mancherial,2016 - 2017,
,,2017 - 2018,0.95
,,2018 - 2019,0.9
,,2019 - 2020,1.17
,,2020 - 2021,0.8
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Medak,2000 - 2001,0.97
,,2001 - 2002,1.1
,,2002 - 2003,0.84
,,2003 - 2004,0.82
,,2004 - 2005,0.95
,,2005 - 2006,1.45
,,2006 - 2007,0.86
,,2007 - 2008,1.35
,,2008 - 2009,1.17
,,2009 - 2010,0.58
,,2010 - 2011,1.14
,,2011 - 2012,1.49
,,2012 - 2013,1.23
,,2013 - 2014,1.17
,,2014 - 2015,1.1
,,2015 - 2016,1.16
,,2016 - 2017,0.71
,,2017 - 2018,0.94
,,2018 - 2019,0.93
,,2019 - 2020,1.18
,,2020 - 2021,0.82
,,2021 - 2022,0.66
,,2022 - 2023,0.68
,Medchal,2016 - 2017,1.32
,,2017 - 2018,0.94
,,2018 - 2019,0.92
,,2019 - 2020,1.19
,,2020 - 2021,0.81
,,2021 - 2022,0.67
,,2022 - 2023,0.68
,Mulugu,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,0.6
,,2022 - 2023,
,Nagarkurnool,2016 - 2017,0.8
,,2017 - 2018,0.61
,,2018 - 2019,0.68
,,2019 - 2020,1.3
,,2020 - 2021,0.94
