feature,H_Cluster,State,District
Maharashtra_Wardha,9,Maharashtra,Wardha
Maharashtra_Washim,9,Maharashtra,Washim
Maharashtra_Yavatmal,9,Maharashtra,Yavatmal
Manipur_Bishnupur,3,Manipur,Bishnupur
Manipur_Chandel,3,Manipur,Chandel
Manipur_Churachandpur,3,Manipur,Churachandpur
Manipur_Imphal East,3,Manipur,Imphal East
Manipur_Imphal West,3,Manipur,Imphal West
Manipur_Kakching,3,Manipur,Kakching
Manipur_Kamjong,3,Manipur,Kamjong
Manipur_Kangpokpi,3,Manipur,Kangpokpi
Manipur_Noney,3,Manipur,Noney
Manipur_Pherzawl,3,Manipur,Pherzawl
Manipur_Senapati,10,Manipur,Senapati
Manipur_Tamenglong,3,Manipur,Tamenglong
Manipur_Tengnoupal,3,Manipur,Tengnoupal
Manipur_Thoubal,3,Manipur,Thoubal
Manipur_Ukhrul,3,Manipur,Ukhrul
Meghalaya_East Garo Hills,1,Meghalaya,East Garo Hills
Meghalaya_East Jaintia Hills,10,Meghalaya,East Jaintia Hills
Meghalaya_East Khasi Hills,10,Meghalaya,East Khasi Hills
Meghalaya_Eastern West Khasi Hills,10,Meghalaya,Eastern West Khasi Hills
Meghalaya_North Garo Hills,1,Meghalaya,North Garo Hills
Meghalaya_Ri Bhoi,10,Meghalaya,Ri Bhoi
Meghalaya_South Garo Hills,1,Meghalaya,South Garo Hills
Meghalaya_South West Garo Hills,1,Meghalaya,South West Garo Hills
Meghalaya_South West Khasi Hills,10,Meghalaya,South West Khasi Hills
Meghalaya_West Garo Hills,1,Meghalaya,West Garo Hills
Meghalaya_West Jaintia Hills,10,Meghalaya,West Jaintia Hills
Meghalaya_West Khasi Hills,10,Meghalaya,West Khasi Hills
Mizoram_Aizawl,3,Mizoram,Aizawl
Mizoram_Champhai,3,Mizoram,Champhai
Mizoram_Hnahthial,3,Mizoram,Hnahthial
Mizoram_Khawzawl,3,Mizoram,Khawzawl
Mizoram_Kolasib,3,Mizoram,Kolasib
Mizoram_Lawngtlai,3,Mizoram,Lawngtlai
Mizoram_Lunglei,3,Mizoram,Lunglei
Mizoram_Mamit,3,Mizoram,Mamit
Mizoram_Saiha,3,Mizoram,Saiha
Mizoram_Saitual,3,Mizoram,Saitual
Mizoram_Serchhip,3,Mizoram,Serchhip
Nagaland_Chumoukedima,10,Nagaland,Chumoukedima
Nagaland_Kiphire,10,Nagaland,Kiphire
Nagaland_Kohima,10,Nagaland,Kohima
Nagaland_Longleng,10,Nagaland,Longleng
Nagaland_Mokokchung,10,Nagaland,Mokokchung
Nagaland_Mon,10,Nagaland,Mon
Nagaland_Noklak,10,Nagaland,Noklak
Nagaland_Peren,10,Nagaland,Peren
Nagaland_Phek,10,Nagaland,Phek
Nagaland_Shamator,10,Nagaland,Shamator
Nagaland_Tseminyu,10,Nagaland,Tseminyu
Nagaland_Tuensang,10,Nagaland,Tuensang
Nagaland_Wokha,10,Nagaland,Wokha
Nagaland_Zunheboto,10,Nagaland,Zunheboto
Odisha_Anugul,4,Odisha,Anugul
