state,district,year,groundnut_rabi_area_hectare,groundnut_rabi_production_tonne,groundnut_rabi_yield_tonne_per_hectare,groundnut_kharif_area_hectare,groundnut_kharif_production_tonne,groundnut_kharif_yield_tonne_per_hectare,groundnut_summer_area_hectare,groundnut_summer_production_tonne,groundnut_summer_yield_tonne_per_hectare,groundnut_whole_year_area_hectare,groundnut_whole_year_production_tonne,groundnut_whole_year_yield_tonne_per_hectare,groundnut_autumn_area_hectare,groundnut_autumn_production_tonne,groundnut_autumn_yield_tonne_per_hectare,groundnut_winter_area_hectare,groundnut_winter_production_tonne,groundnut_winter_yield_tonne_per_hectare
,,2017 - 2018,,,,9.0,11.0,1.22,,,,,,,,,,,,
,,2018 - 2019,,,,9.0,11.0,1.22,,,,,,,,,,,,
,,2019 - 2020,,,,9.0,11.0,1.22,,,,,,,,,,,,
,,2020 - 2021,,,,9.0,11.0,1.22,,,,,,,,,,,,
,,2021 - 2022,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2022 - 2023,,,,10.0,10.0,1.0,,,,,,,,,,,,
,Lohit,2016 - 2017,,,,13.0,15.0,1.15,,,,,,,,,,,,
,,2017 - 2018,,,,15.0,17.0,1.13,,,,,,,,,,,,
,,2018 - 2019,,,,15.0,17.0,1.13,,,,,,,,,,,,
,,2019 - 2020,,,,15.0,17.0,1.13,,,,,,,,,,,,
,,2020 - 2021,,,,15.0,17.0,1.13,,,,,,,,,,,,
,,2021 - 2022,,,,19.0,20.0,1.05,,,,,,,,,,,,
,,2022 - 2023,,,,34.0,25.0,0.74,,,,,,,,,,,,
,Lower dibang valley,2016 - 2017,,,,70.0,126.0,1.8,,,,,,,,,,,,
,,2017 - 2018,,,,177.0,94.0,0.53,,,,,,,,,,,,
,,2018 - 2019,,,,177.0,94.0,0.53,,,,,,,,,,,,
,,2019 - 2020,,,,177.0,94.0,0.53,,,,,,,,,,,,
,,2020 - 2021,,,,177.0,97.0,0.55,,,,,,,,,,,,
,,2021 - 2022,,,,187.0,119.0,0.64,,,,,,,,,,,,
,,2022 - 2023,,,,225.0,148.0,0.66,,,,,,,,,,,,
,Lower subansiri,2016 - 2017,,,,15.0,15.0,1.0,,,,,,,,,,,,
,,2017 - 2018,,,,12.0,17.0,1.42,,,,,,,,,,,,
,,2018 - 2019,,,,12.0,17.0,1.42,,,,,,,,,,,,
,,2019 - 2020,,,,13.0,17.0,1.31,,,,,,,,,,,,
,,2020 - 2021,,,,13.0,17.0,1.31,,,,,,,,,,,,
,,2021 - 2022,,,,17.0,19.0,1.12,,,,,,,,,,,,
,,2022 - 2023,,,,27.0,29.0,1.07,,,,,,,,,,,,
,Namsai,2016 - 2017,,,,68.0,145.0,2.13,,,,,,,,,,,,
,,2017 - 2018,,,,186.0,38.0,0.2,,,,,,,,,,,,
,,2018 - 2019,,,,186.0,38.0,0.2,,,,,,,,,,,,
,,2019 - 2020,,,,186.0,38.0,0.2,,,,,,,,,,,,
,,2020 - 2021,,,,186.0,40.0,0.22,,,,,,,,,,,,
,,2021 - 2022,,,,194.0,117.0,0.6,,,,,,,,,,,,
,,2022 - 2023,,,,234.0,127.0,0.54,,,,,,,,,,,,
,Papum pare,2016 - 2017,,,,226.0,196.0,0.87,,,,,,,,,,,,
,,2017 - 2018,,,,187.0,129.0,0.69,,,,,,,,,,,,
,,2018 - 2019,,,,187.0,129.0,0.69,,,,,,,,,,,,
,,2019 - 2020,,,,188.0,129.0,0.69,,,,,,,,,,,,
,,2020 - 2021,,,,189.0,134.0,0.71,,,,,,,,,,,,
,,2021 - 2022,,,,199.0,150.0,0.75,,,,,,,,,,,,
,,2022 - 2023,,,,239.0,188.0,0.79,,,,,,,,,,,,
,Siang,2016 - 2017,,,,20.0,14.0,0.7,,,,,,,,,,,,
,,2017 - 2018,,,,22.0,69.0,3.14,,,,,,,,,,,,
,,2018 - 2019,,,,22.0,69.0,3.14,,,,,,,,,,,,
,,2019 - 2020,,,,22.0,69.0,3.14,,,,,,,,,,,,
,,2020 - 2021,,,,22.0,69.0,3.14,,,,,,,,,,,,
,,2021 - 2022,,,,26.0,45.0,1.73,,,,,,,,,,,,
,,2022 - 2023,,,,36.0,55.0,1.53,,,,,,,,,,,,
,Upper subansiri,2016 - 2017,,,,47.0,51.0,1.09,,,,,,,,,,,,
,,2017 - 2018,,,,49.0,53.0,1.08,,,,,,,,,,,,
,,2018 - 2019,,,,49.0,53.0,1.08,,,,,,,,,,,,
,,2019 - 2020,,,,49.0,53.0,1.08,,,,,,,,,,,,
,,2020 - 2021,,,,49.0,53.0,1.08,,,,,,,,,,,,
,,2021 - 2022,,,,54.0,61.0,1.13,,,,,,,,,,,,
,,2022 - 2023,,,,64.0,66.0,1.03,,,,,,,,,,,,
,West siang,2016 - 2017,,,,10.0,14.0,1.4,,,,,,,,,,,,
,,2017 - 2018,,,,12.0,16.0,1.33,,,,,,,,,,,,
,,2018 - 2019,,,,12.0,16.0,1.33,,,,,,,,,,,,
,,2019 - 2020,,,,12.0,16.0,1.33,,,,,,,,,,,,
,,2020 - 2021,,,,12.0,16.0,1.33,,,,,,,,,,,,
,,2021 - 2022,,,,17.0,18.0,1.06,,,,,,,,,,,,
,,2022 - 2023,,,,22.0,23.0,1.05,,,,,,,,,,,,
Bihar,Araria,2002 - 2003,,,,32.0,16.0,0.5,,,,,,,,,,,,
,,2003 - 2004,,,,63.0,31.0,0.49,,,,,,,,,,,,
,,2004 - 2005,,,,47.0,23.0,0.49,,,,,,,,,,,,
,,2005 - 2006,,,,116.0,57.0,0.49,,,,,,,,,,,,
,,2007 - 2008,,,,295.0,219.0,0.74,,,,,,,,,,,,
,,2008 - 2009,,,,231.0,114.0,0.49,,,,,,,,,,,,
,,2010 - 2011,,,,46.0,47.0,1.02,,,,,,,,,,,,
,Arwal,2003 - 2004,,,,21.0,10.0,0.48,,,,,,,,,,,,
,,2004 - 2005,,,,28.0,14.0,0.5,,,,,,,,,,,,
,,2005 - 2006,,,,69.0,34.0,0.49,,,,,,,,,,,,
,,2007 - 2008,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2008 - 2009,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2011 - 2012,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2012 - 2013,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,4.0,4.0,1.0,,,,,,,,,,,,
,,2019 - 2020,,,,15.0,15.0,1.0,,,,,,,,,,,,
,Aurangabad,2000 - 2001,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2004 - 2005,,,,10.0,5.0,0.5,,,,,,,,,,,,
,,2015 - 2016,,,,1.0,1.0,1.0,,,,,,,,,,,,
,Banka,2007 - 2008,,,,63.0,45.0,0.71,,,,,,,,,,,,
,,2008 - 2009,,,,63.0,31.0,0.49,,,,,,,,,,,,
,Begusarai,2007 - 2008,,,,16.0,12.0,0.75,,,,,,,,,,,,
,,2011 - 2012,,,,9.0,9.0,1.0,,,,,,,,,,,,
,,2012 - 2013,,,,9.0,9.0,1.0,,,,,,,,,,,,
,,2013 - 2014,,,,9.0,9.0,1.0,,,,,,,,,,,,
,,2014 - 2015,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2017 - 2018,,,,11.0,11.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,14.0,14.0,1.0,,,,,,,,,,,,
,,2019 - 2020,,,,14.0,14.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,18.0,18.0,1.0,,,,,,,,,,,,
,Gaya,2000 - 2001,,,,7.0,8.0,1.14,,,,,,,,,,,,
,,2001 - 2002,,,,20.0,11.0,0.55,,,,,,,,,,,,
,,2002 - 2003,,,,12.0,6.0,0.5,,,,,,,,,,,,
,,2003 - 2004,,,,63.0,31.0,0.49,,,,,,,,,,,,
,,2004 - 2005,,,,6.0,3.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,16.0,12.0,0.75,,,,,,,,,,,,
,,2008 - 2009,,,,,558.0,0.49,,,,,,,,,,,,
,,2010 - 2011,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2011 - 2012,,,,16.0,16.0,1.0,,,,,,,,,,,,
,,2012 - 2013,,,,81.0,83.0,1.02,,,,,,,,,,,,
,,2013 - 2014,,,,89.0,91.0,1.02,,,,,,,,,,,,
,,2014 - 2015,,,,103.0,105.0,1.02,,,,,,,,,,,,
,,2015 - 2016,,,,100.0,102.0,1.02,,,,,,,,,,,,
,,2016 - 2017,,,,100.0,98.0,0.98,,,,,,,,,,,,
,,2017 - 2018,,,,100.0,101.0,1.01,,,,,,,,,,,,
,,2018 - 2019,,,,40.0,40.0,1.0,,,,,,,,,,,,
,Gopalganj,2002 - 2003,,,,19.0,9.0,0.47,,,,,,,,,,,,
,,2003 - 2004,,,,19.0,10.0,0.53,,,,,,,,,,,,
,Jehanabad,2001 - 2002,,,,11.0,6.0,0.55,,,,,,,,,,,,
,,2003 - 2004,,,,1.0,0.0,0.0,,,,,,,,,,,,
,,2004 - 2005,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2005 - 2006,,,,213.0,105.0,0.49,,,,,,,,,,,,
,,2007 - 2008,,,,178.0,128.0,0.72,,,,,,,,,,,,
,Katihar,2007 - 2008,,,,12.0,9.0,0.75,,,,,,,,,,,,
,Kishanganj,2001 - 2002,,,,24.0,13.0,0.54,,,,,,,,,,,,
,,2008 - 2009,,,,2.0,1.0,0.5,,,,,,,,,,,,
,Madhepura,2014 - 2015,,,,12.0,12.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,7.0,7.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,7.0,7.0,1.0,,,,,,,,,,,,
,Munger,2010 - 2011,,,,9.0,9.0,1.0,,,,,,,,,,,,
,Nalanda,2000 - 2001,,,,15.0,17.0,1.13,,,,,,,,,,,,
,,2001 - 2002,,,,33.0,16.0,0.48,,,,,,,,,,,,
,,2002 - 2003,,,,35.0,17.0,0.49,,,,,,,,,,,,
,,2003 - 2004,,,,57.0,28.0,0.49,,,,,,,,,,,,
,,2004 - 2005,,,,74.0,37.0,0.5,,,,,,,,,,,,
,,2005 - 2006,,,,169.0,84.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,92.0,62.0,0.67,,,,,,,,,,,,
,,2008 - 2009,,,,74.0,37.0,0.5,,,,,,,,,,,,
,,2010 - 2011,,,,14.0,14.0,1.0,,,,,,,,,,,,
,,2011 - 2012,,,,82.0,84.0,1.02,,,,,,,,,,,,
,,2012 - 2013,,,,60.0,61.0,1.02,,,,,,,,,,,,
,,2013 - 2014,,,,7.0,7.0,1.0,,,,,,,,,,,,
,,2014 - 2015,,,,50.0,51.0,1.02,,,,,,,,,,,,
,,2015 - 2016,,,,49.0,49.0,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,54.0,55.0,1.02,,,,,,,,,,,,
,,2020 - 2021,,,,7.0,7.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2022 - 2023,,,,10.0,10.0,1.0,,,,,,,,,,,,
,Nawada,2000 - 2001,,,,48.0,52.0,1.08,,,,,,,,,,,,
,,2001 - 2002,,,,115.0,65.0,0.57,,,,,,,,,,,,
,,2002 - 2003,,,,159.0,79.0,0.5,,,,,,,,,,,,
,,2003 - 2004,,,,139.0,69.0,0.5,,,,,,,,,,,,
,,2004 - 2005,,,,206.0,101.0,0.49,,,,,,,,,,,,
,,2005 - 2006,,,,192.0,94.0,0.49,,,,,,,,,,,,
,,2007 - 2008,,,,256.0,184.0,0.72,,,,,,,,,,,,
,,2008 - 2009,,,,167.0,83.0,0.5,,,,,,,,,,,,
,,2010 - 2011,,,,80.0,82.0,1.03,,,,,,,,,,,,
,,2011 - 2012,,,,500.0,511.0,1.02,,,,,,,,,,,,
,,2012 - 2013,,,,394.0,403.0,1.02,,,,,,,,,,,,
,,2013 - 2014,,,,577.0,591.0,1.02,,,,,,,,,,,,
,,2014 - 2015,,,,207.0,212.0,1.02,,,,,,,,,,,,
,,2015 - 2016,,,,185.0,189.0,1.02,,,,,,,,,,,,
,,2016 - 2017,,,,683.0,697.0,1.02,,,,,,,,,,,,
,,2017 - 2018,,,,357.0,365.0,1.02,,,,,,,,,,,,
,,2018 - 2019,,,,692.0,707.0,1.02,,,,,,,,,,,,
,,2019 - 2020,,,,730.0,745.0,1.02,,,,,,,,,,,,
,,2020 - 2021,,,,674.0,689.0,1.02,,,,,,,,,,,,
,,2021 - 2022,,,,599.0,612.0,1.02,,,,,,,,,,,,
,,2022 - 2023,,,,598.0,611.0,1.02,,,,,,,,,,,,
,Pashchim champaran,2001 - 2002,,,,15.0,13.0,0.87,,,,,,,,,,,,
,,2011 - 2012,,,,184.0,188.0,1.02,,,,,,,,,,,,
,,2012 - 2013,,,,196.0,201.0,1.03,,,,,,,,,,,,
,,2013 - 2014,,,,183.0,188.0,1.03,,,,,,,,,,,,
,,2014 - 2015,,,,166.0,170.0,1.02,,,,,,,,,,,,
,,2015 - 2016,,,,131.0,134.0,1.02,,,,,,,,,,,,
,,2016 - 2017,,,,118.0,120.0,1.02,,,,,,,,,,,,
,,2017 - 2018,,,,101.0,103.0,1.02,,,,,,,,,,,,
,,2018 - 2019,,,,101.0,103.0,1.02,,,,,,,,,,,,
,,2019 - 2020,,,,81.0,83.0,1.02,,,,,,,,,,,,
,,2020 - 2021,,,,71.0,72.0,1.01,,,,,,,,,,,,
,,2021 - 2022,,,,53.0,54.0,1.02,,,,,,,,,,,,
,,2022 - 2023,,,,43.0,44.0,1.02,,,,,,,,,,,,
,Purnia,2002 - 2003,,,,73.0,36.0,0.49,,,,,,,,,,,,
,,2003 - 2004,,,,62.0,31.0,0.5,,,,,,,,,,,,
,,2004 - 2005,,,,78.0,39.0,0.5,,,,,,,,,,,,
,,2005 - 2006,,,,24.0,12.0,0.5,,,,,,,,,,,,
,,2018 - 2019,,,,5.0,5.0,1.0,,,,,,,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,2.0,2.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,6.0,6.0,1.0,,,,,,,,,,,,
,,2022 - 2023,,,,13.0,13.0,1.0,,,,,,,,,,,,
,Rohtas,2001 - 2002,,,,27.0,13.0,0.48,,,,,,,,,,,,
,,2002 - 2003,,,,41.0,20.0,0.49,,,,,,,,,,,,
,,2003 - 2004,,,,43.0,21.0,0.49,,,,,,,,,,,,
,,2004 - 2005,,,,86.0,42.0,0.49,,,,,,,,,,,,
,,2005 - 2006,,,,64.0,32.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,57.0,38.0,0.67,,,,,,,,,,,,
,,2008 - 2009,,,,65.0,32.0,0.49,,,,,,,,,,,,
,,2010 - 2011,,,,35.0,36.0,1.03,,,,,,,,,,,,
,,2011 - 2012,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2012 - 2013,,,,11.0,11.0,1.0,,,,,,,,,,,,
,,2013 - 2014,,,,11.0,11.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,9.0,9.0,1.0,,,,,,,,,,,,
,Sheikhpura,2007 - 2008,,,,2.0,1.0,0.5,,,,,,,,,,,,
,Sitamarhi,2010 - 2011,,,,177.0,182.0,1.03,,,,,,,,,,,,
,Supaul,2000 - 2001,,,,25.0,28.0,1.12,,,,,,,,,,,,
,,2005 - 2006,,,,64.0,32.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,218.0,157.0,0.72,,,,,,,,,,,,
,,2011 - 2012,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2012 - 2013,,,,10.0,10.0,1.0,,,,,,,,,,,,
,,2013 - 2014,,,,16.0,16.0,1.0,,,,,,,,,,,,
,,2014 - 2015,,,,26.0,27.0,1.04,,,,,,,,,,,,
,,2016 - 2017,,,,14.0,14.0,1.0,,,,,,,,,,,,
Chhattisgarh,Balod,2016 - 2017,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,3.0,,0.0,,,,,,,,,,,,
,,2019 - 2020,,,,5.0,7.0,1.4,,,,,,,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,7.0,12.0,1.71,,,,,,,,,,,,
,,2022 - 2023,,,,6.0,9.0,1.5,,,,,,,,,,,,
,Baloda bazar,2011 - 2012,,,,469.0,619.0,1.32,,,,,,,,,,,,
,,2012 - 2013,,,,466.0,584.0,1.25,,,,,,,,,,,,
,,2013 - 2014,,,,458.0,599.0,1.31,,,,,,,,,,,,
,,2014 - 2015,,,,482.0,679.0,1.41,,,,,,,,,,,,
,,2015 - 2016,,,,486.0,615.0,1.27,,,,,,,,,,,,
,,2016 - 2017,,,,192.0,372.0,1.94,,,,,,,,,,,,
,,2017 - 2018,,,,525.0,584.0,1.11,,,,,,,,,,,,
,,2018 - 2019,,,,208.0,203.0,0.98,,,,,,,,,,,,
,,2019 - 2020,,,,236.0,277.0,1.17,,,,,,,,,,,,
,,2020 - 2021,,,,260.0,312.0,1.2,,,,,,,,,,,,
,,2021 - 2022,,,,302.0,411.0,1.36,,,,,,,,,,,,
,,2022 - 2023,,,,29.0,49.0,1.69,,,,,,,,,,,,
,Balrampur,2011 - 2012,,,,,,1.26,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.26,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.24,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.38,,,,,,,,,,,,
,,2015 - 2016,,,,857.0,,1.24,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.57,,,,,,,,,,,,
,,2017 - 2018,,,,,260.0,0.18,,,,,,,,,,,,
,,2018 - 2019,,,,,,1.12,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.23,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.24,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.4,,,,,,,,,,,,
,,2022 - 2023,,,,839.0,,1.32,,,,,,,,,,,,
,Bastar,2000 - 2001,,,,15.0,14.0,0.93,,,,,,,,,,,,
,,2001 - 2002,,,,14.0,19.0,1.36,,,,,,,,,,,,
,,2002 - 2003,,,,13.0,16.0,1.23,,,,,,,,,,,,
,,2003 - 2004,,,,18.0,22.0,1.22,,,,,,,,,,,,
,,2004 - 2005,,,,25.0,36.0,1.44,,,,,,,,,,,,
,,2005 - 2006,,,,28.0,34.0,1.21,,,,,,,,,,,,
,,2006 - 2007,,,,19.0,25.0,1.32,,,,,,,,,,,,
,,2007 - 2008,,,,18.0,29.0,1.61,,,,,,,,,,,,
,,2008 - 2009,,,,17.0,27.0,1.59,,,,,,,,,,,,
,,2009 - 2010,,,,14.0,23.0,1.64,,,,,,,,,,,,
,,2010 - 2011,,,,13.0,20.0,1.54,,,,,,,,,,,,
,,2012 - 2013,,,,1.0,2.0,2.0,,,,,,,,,,,,
,,2013 - 2014,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,4.0,5.0,1.25,,,,,,,,,,,,
,,2016 - 2017,,,,4.0,5.0,1.25,,,,,,,,,,,,
,,2017 - 2018,,,,4.0,7.0,1.75,,,,,,,,,,,,
,,2018 - 2019,,,,13.0,21.0,1.62,,,,,,,,,,,,
,,2019 - 2020,,,,3.0,5.0,1.67,,,,,,,,,,,,
,,2020 - 2021,,,,4.0,5.0,1.25,,,,,,,,,,,,
,,2021 - 2022,,,,8.0,12.0,1.5,,,,,,,,,,,,
,,2022 - 2023,,,,18.0,33.0,1.83,,,,,,,,,,,,
,Bemetara,2011 - 2012,,,,330.0,512.0,1.55,,,,,,,,,,,,
,,2012 - 2013,,,,282.0,395.0,1.4,,,,,,,,,,,,
,,2013 - 2014,,,,275.0,469.0,1.71,,,,,,,,,,,,
,,2014 - 2015,,,,240.0,387.0,1.61,,,,,,,,,,,,
,,2015 - 2016,,,,177.0,206.0,1.16,,,,,,,,,,,,
,,2016 - 2017,,,,125.0,218.0,1.74,,,,,,,,,,,,
,,2017 - 2018,,,,76.0,95.0,1.25,,,,,,,,,,,,
,,2018 - 2019,,,,346.0,463.0,1.34,,,,,,,,,,,,
,,2019 - 2020,,,,508.0,787.0,1.55,,,,,,,,,,,,
,,2020 - 2021,,,,901.0,,1.79,,,,,,,,,,,,
,,2021 - 2022,,,,,,1.88,,,,,,,,,,,,
,,2022 - 2023,,,,908.0,,1.86,,,,,,,,,,,,
,Bijapur,2006 - 2007,,,,12.0,,0.0,,,,,,,,,,,,
,,2007 - 2008,,,,11.0,7.0,0.64,,,,,,,,,,,,
,,2008 - 2009,,,,10.0,6.0,0.6,,,,,,,,,,,,
,,2009 - 2010,,,,4.0,6.0,1.5,,,,,,,,,,,,
,,2010 - 2011,,,,8.0,12.0,1.5,,,,,,,,,,,,
,,2011 - 2012,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2012 - 2013,,,,9.0,13.0,1.44,,,,,,,,,,,,
,,2013 - 2014,,,,13.0,9.0,0.69,,,,,,,,,,,,
,,2014 - 2015,,,,13.0,15.0,1.15,,,,,,,,,,,,
,,2015 - 2016,,,,8.0,9.0,1.13,,,,,,,,,,,,
,,2016 - 2017,,,,16.0,21.0,1.31,,,,,,,,,,,,
,,2017 - 2018,,,,8.0,8.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,13.0,16.0,1.23,,,,,,,,,,,,
,,2019 - 2020,,,,19.0,24.0,1.26,,,,,,,,,,,,
,,2020 - 2021,,,,9.0,11.0,1.22,,,,,,,,,,,,
,,2021 - 2022,,,,13.0,16.0,1.23,,,,,,,,,,,,
,,2022 - 2023,,,,19.0,23.0,1.21,,,,,,,,,,,,
,Bilaspur,2000 - 2001,,,,,,0.85,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.32,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.92,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.06,,,,,,,,,,,,
,,2004 - 2005,,,,,,1.15,,,,,,,,,,,,
,,2005 - 2006,,,,,,1.06,,,,,,,,,,,,
,,2006 - 2007,,,,,,1.11,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.29,,,,,,,,,,,,
,,2008 - 2009,,,,,,1.29,,,,,,,,,,,,
,,2009 - 2010,,,,,,1.57,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.5,,,,,,,,,,,,
,,2011 - 2012,,,,,,1.56,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.28,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.29,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.29,,,,,,,,,,,,
,,2015 - 2016,,,,960.0,,1.35,,,,,,,,,,,,
,,2016 - 2017,,,,956.0,,1.92,,,,,,,,,,,,
,,2017 - 2018,,,,930.0,,1.45,,,,,,,,,,,,
,,2018 - 2019,,,,740.0,,1.57,,,,,,,,,,,,
,,2019 - 2020,,,,68.0,107.0,1.57,,,,,,,,,,,,
,,2020 - 2021,,,,92.0,131.0,1.42,,,,,,,,,,,,
,,2021 - 2022,,,,48.0,75.0,1.56,,,,,,,,,,,,
,,2022 - 2023,,,,61.0,95.0,1.56,,,,,,,,,,,,
,Dantewada,2000 - 2001,,,,49.0,50.0,1.02,,,,,,,,,,,,
,,2001 - 2002,,,,39.0,44.0,1.13,,,,,,,,,,,,
,,2002 - 2003,,,,35.0,68.0,1.94,,,,,,,,,,,,
,,2003 - 2004,,,,37.0,23.0,0.62,,,,,,,,,,,,
,,2004 - 2005,,,,4.0,2.0,0.5,,,,,,,,,,,,
,,2005 - 2006,,,,21.0,14.0,0.67,,,,,,,,,,,,
,,2006 - 2007,,,,1.0,8.0,8.0,,,,,,,,,,,,
,,2008 - 2009,,,,6.0,8.0,1.33,,,,,,,,,,,,
,,2010 - 2011,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2012 - 2013,,,,1.0,2.0,2.0,,,,,,,,,,,,
,,2013 - 2014,,,,2.0,1.0,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,2.0,4.0,2.0,,,,,,,,,,,,
,,2015 - 2016,,,,2.0,2.0,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,2.0,2.0,1.0,,,,,,,,,,,,
,,2018 - 2019,,,,5.0,,0.0,,,,,,,,,,,,
,Dhamtari,2000 - 2001,,,,10.0,5.0,0.5,,,,,,,,,,,,
,,2001 - 2002,,,,12.0,12.0,1.0,,,,,,,,,,,,
,,2002 - 2003,,,,11.0,8.0,0.73,,,,,,,,,,,,
,,2003 - 2004,,,,8.0,7.0,0.88,,,,,,,,,,,,
,,2004 - 2005,,,,12.0,15.0,1.25,,,,,,,,,,,,
,,2005 - 2006,,,,17.0,18.0,1.06,,,,,,,,,,,,
,,2006 - 2007,,,,16.0,8.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,7.0,8.0,1.14,,,,,,,,,,,,
,,2008 - 2009,,,,8.0,9.0,1.13,,,,,,,,,,,,
,,2009 - 2010,,,,11.0,16.0,1.45,,,,,,,,,,,,
,,2010 - 2011,,,,26.0,35.0,1.35,,,,,,,,,,,,
,,2011 - 2012,,,,12.0,17.0,1.42,,,,,,,,,,,,
,,2012 - 2013,,,,4.0,7.0,1.75,,,,,,,,,,,,
,,2013 - 2014,,,,8.0,13.0,1.63,,,,,,,,,,,,
,,2014 - 2015,,,,6.0,8.0,1.33,,,,,,,,,,,,
,,2015 - 2016,,,,5.0,5.0,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,5.0,7.0,1.4,,,,,,,,,,,,
,,2017 - 2018,,,,9.0,11.0,1.22,,,,,,,,,,,,
,,2018 - 2019,,,,4.0,4.0,1.0,,,,,,,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,3.0,5.0,1.67,,,,,,,,,,,,
,,2022 - 2023,,,,3.0,4.0,1.33,,,,,,,,,,,,
,Durg,2000 - 2001,,,,988.0,934.0,0.95,,,,,,,,,,,,
,,2001 - 2002,,,,925.0,,1.4,,,,,,,,,,,,
,,2002 - 2003,,,,941.0,,1.36,,,,,,,,,,,,
,,2003 - 2004,,,,672.0,985.0,1.47,,,,,,,,,,,,
,,2004 - 2005,,,,520.0,823.0,1.58,,,,,,,,,,,,
,,2005 - 2006,,,,574.0,880.0,1.53,,,,,,,,,,,,
,,2006 - 2007,,,,426.0,594.0,1.39,,,,,,,,,,,,
,,2007 - 2008,,,,409.0,657.0,1.61,,,,,,,,,,,,
,,2008 - 2009,,,,333.0,532.0,1.6,,,,,,,,,,,,
,,2009 - 2010,,,,428.0,793.0,1.85,,,,,,,,,,,,
,,2010 - 2011,,,,314.0,556.0,1.77,,,,,,,,,,,,
,,2011 - 2012,,,,1.0,2.0,2.0,,,,,,,,,,,,
,,2015 - 2016,,,,4.0,5.0,1.25,,,,,,,,,,,,
,,2020 - 2021,,,,1.0,2.0,2.0,,,,,,,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,,,,,,,
,Gariyaband,2011 - 2012,,,,431.0,569.0,1.32,,,,,,,,,,,,
,,2012 - 2013,,,,528.0,553.0,1.05,,,,,,,,,,,,
,,2013 - 2014,,,,540.0,660.0,1.22,,,,,,,,,,,,
,,2014 - 2015,,,,500.0,603.0,1.21,,,,,,,,,,,,
,,2015 - 2016,,,,545.0,583.0,1.07,,,,,,,,,,,,
