state,district,year,cotton_kharif_area_hectare,cotton_kharif_production_bales,cotton_kharif_yield_tonne_per_hectare,cotton_rabi_area_hectare,cotton_rabi_production_bales,cotton_rabi_yield_tonne_per_hectare,cotton_whole_year_area_hectare,cotton_whole_year_production_bales,cotton_whole_year_yield_tonne_per_hectare,cotton_summer_area_hectare,cotton_summer_production_bales,cotton_summer_yield_tonne_per_hectare
,,2008 - 2009,2.0,1.0,0.5,,,,,,,,,
,,2009 - 2010,2.0,1.0,0.5,,,,,,,,,
,,2011 - 2012,7.0,3.0,0.43,,,,,,,,,
,,2012 - 2013,34.0,15.0,0.44,,,,,,,,,
,,2013 - 2014,27.0,11.0,0.41,,,,,,,,,
,,2014 - 2015,24.0,10.0,0.42,,,,,,,,,
,,2015 - 2016,29.0,14.0,0.48,,,,,,,,,
,,2016 - 2017,16.0,7.0,0.44,,,,,,,,,
,,2017 - 2018,10.0,4.0,0.4,,,,,,,,,
,,2018 - 2019,9.0,3.0,0.33,,,,,,,,,
,,2019 - 2020,5.0,2.0,0.4,,,,,,,,,
,Darrang,2000 - 2001,31.0,14.0,0.45,,,,,,,,,
,,2001 - 2002,29.0,13.0,0.45,,,,,,,,,
,,2002 - 2003,17.0,8.0,0.47,,,,,,,,,
,,2003 - 2004,7.0,3.0,0.43,,,,,,,,,
,,2004 - 2005,9.0,4.0,0.44,,,,,,,,,
,,2005 - 2006,6.0,3.0,0.5,,,,,,,,,
,,2006 - 2007,1.0,1.0,1.0,,,,,,,,,
,,2008 - 2009,6.0,3.0,0.5,,,,,,,,,
,,2009 - 2010,3.0,1.0,0.33,,,,,,,,,
,,2010 - 2011,4.0,2.0,0.5,,,,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,,,,
,,2012 - 2013,3.0,1.0,0.33,,,,,,,,,
,,2013 - 2014,2.0,1.0,0.5,,,,,,,,,
,,2014 - 2015,2.0,1.0,0.5,,,,,,,,,
,,2015 - 2016,2.0,1.0,0.5,,,,,,,,,
,,2016 - 2017,2.0,1.0,0.5,,,,,,,,,
,,2017 - 2018,2.0,5.0,2.5,,,,,,,,,
,,2018 - 2019,2.0,5.0,2.5,,,,,,,,,
,,2019 - 2020,1.0,3.0,3.0,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,
,Dhemaji,2000 - 2001,8.0,3.0,0.38,,,,,,,,,
,,2001 - 2002,8.0,3.0,0.38,,,,,,,,,
,,2002 - 2003,8.0,3.0,0.38,,,,,,,,,
,,2003 - 2004,6.0,2.0,0.33,,,,,,,,,
,,2004 - 2005,7.0,3.0,0.43,,,,,,,,,
,,2005 - 2006,8.0,3.0,0.38,,,,,,,,,
,,2006 - 2007,8.0,4.0,0.5,,,,,,,,,
,,2007 - 2008,6.0,3.0,0.5,,,,,,,,,
,,2008 - 2009,6.0,3.0,0.5,,,,,,,,,
,,2009 - 2010,5.0,2.0,0.4,,,,,,,,,
