state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2015 - 2016,0.64
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.73
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.7
,,2022 - 2023,0.73
,Nainital,2000 - 2001,0.68
,,2001 - 2002,0.65
,,2002 - 2003,0.67
,,2003 - 2004,0.77
,,2004 - 2005,0.76
,,2005 - 2006,0.74
,,2006 - 2007,0.75
,,2007 - 2008,0.85
,,2008 - 2009,0.37
,,2009 - 2010,0.84
,,2010 - 2011,0.85
,,2011 - 2012,0.86
,,2012 - 2013,0.85
,,2013 - 2014,0.87
,,2014 - 2015,0.87
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.68
,,2020 - 2021,0.66
,,2021 - 2022,0.66
,,2022 - 2023,0.68
,Pauri garhwal,2000 - 2001,0.6
,,2001 - 2002,0.58
,,2002 - 2003,0.67
,,2004 - 2005,0.71
,,2005 - 2006,0.55
,,2006 - 2007,0.76
,,2007 - 2008,0.6
,,2008 - 2009,0.4
,,2009 - 2010,0.4
,,2010 - 2011,0.57
,,2011 - 2012,0.72
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.69
,,2015 - 2016,0.69
,,2017 - 2018,0.69
,,2018 - 2019,0.73
,,2019 - 2020,0.67
,,2020 - 2021,0.68
,,2021 - 2022,0.71
,,2022 - 2023,0.7
,Pithoragarh,2000 - 2001,0.77
,,2001 - 2002,0.7
,,2002 - 2003,0.7
,,2003 - 2004,0.73
,,2004 - 2005,0.59
,,2005 - 2006,0.55
,,2006 - 2007,0.45
,,2007 - 2008,0.48
,,2008 - 2009,0.42
,,2009 - 2010,0.45
,,2010 - 2011,0.55
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2013 - 2014,0.59
,,2014 - 2015,0.58
,,2015 - 2016,0.56
,,2016 - 2017,0.57
,,2017 - 2018,0.57
,,2018 - 2019,0.58
,,2019 - 2020,0.57
,,2020 - 2021,0.57
,,2021 - 2022,0.57
,,2022 - 2023,0.57
,Rudra prayag,2000 - 2001,0.67
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,0.67
,,2005 - 2006,0.8
,,2006 - 2007,1.0
,,2007 - 2008,0.62
,,2008 - 2009,0.33
,,2009 - 2010,0.42
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2015 - 2016,0.77
,,2016 - 2017,0.71
,,2017 - 2018,0.78
,,2018 - 2019,0.75
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.69
,,2022 - 2023,0.5
,Tehri garhwal,2000 - 2001,0.61
,,2001 - 2002,0.59
,,2002 - 2003,0.59
,,2003 - 2004,0.49
,,2004 - 2005,0.5
,,2005 - 2006,0.6
,,2006 - 2007,0.5
,,2007 - 2008,0.63
,,2008 - 2009,0.25
,,2009 - 2010,0.6
,,2010 - 2011,0.54
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2013 - 2014,0.52
,,2014 - 2015,0.51
,,2015 - 2016,0.54
,,2016 - 2017,0.55
,,2017 - 2018,0.55
,,2018 - 2019,0.54
,,2019 - 2020,0.56
,,2020 - 2021,0.62
,,2021 - 2022,0.57
,,2022 - 2023,0.57
,Udam singh nagar,2000 - 2001,0.85
,,2001 - 2002,0.8
,,2002 - 2003,0.82
,,2003 - 2004,0.87
,,2004 - 2005,0.9
,,2005 - 2006,0.73
,,2006 - 2007,1.1
,,2007 - 2008,1.05
,,2008 - 2009,0.45
,,2009 - 2010,1.1
,,2010 - 2011,1.1
,,2011 - 2012,1.12
,,2012 - 2013,1.12
,,2013 - 2014,1.12
,,2014 - 2015,1.13
,,2015 - 2016,1.12
,,2016 - 2017,1.09
,,2017 - 2018,1.09
,,2018 - 2019,1.11
,,2019 - 2020,0.99
,,2020 - 2021,0.99
,,2021 - 2022,1.06
,,2022 - 2023,1.05
,Uttar kashi,2000 - 2001,0.75
,,2001 - 2002,0.7
,,2002 - 2003,0.62
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.45
,,2006 - 2007,0.8
,,2007 - 2008,0.73
,,2008 - 2009,0.38
,,2009 - 2010,0.7
,,2010 - 2011,0.68
,,2011 - 2012,0.66
,,2012 - 2013,0.66
,,2013 - 2014,0.66
,,2014 - 2015,0.66
,,2015 - 2016,0.66
,,2016 - 2017,0.66
,,2017 - 2018,0.66
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.59
,,2022 - 2023,0.57
West Bengal,paraganas north,2000 - 2001,0.85
,,2001 - 2002,0.64
,,2002 - 2003,0.79
,,2003 - 2004,1.2
,,2004 - 2005,0.64
,,2005 - 2006,0.8
,,2006 - 2007,0.69
,,2007 - 2008,0.71
,,2008 - 2009,0.78
,,2009 - 2010,2.77
,,2010 - 2011,1.27
,,2011 - 2012,0.88
,,2012 - 2013,1.18
,,2013 - 2014,1.16
,,2014 - 2015,1.2
,,2015 - 2016,0.74
,,2016 - 2017,0.95
,,2017 - 2018,1.01
,,2018 - 2019,1.14
,,2019 - 2020,0.8
,,2020 - 2021,1.33
,,2021 - 2022,1.09
,,2022 - 2023,1.16
,paraganas south,2000 - 2001,0.84
,,2001 - 2002,0.64
,,2002 - 2003,0.79
,,2003 - 2004,1.2
,,2004 - 2005,0.64
,,2005 - 2006,0.8
,,2006 - 2007,0.69
,,2007 - 2008,0.71
,,2008 - 2009,0.78
,,2009 - 2010,1.3
,,2010 - 2011,1.26
,,2011 - 2012,0.88
,,2012 - 2013,1.18
,,2013 - 2014,1.16
,,2014 - 2015,1.2
,,2015 - 2016,0.74
,,2016 - 2017,0.95
,,2017 - 2018,1.01
,,2018 - 2019,1.14
,,2019 - 2020,0.8
,,2020 - 2021,1.33
,,2021 - 2022,1.09
,,2022 - 2023,2.38
,Alipurduar,2016 - 2017,1.16
,,2017 - 2018,1.11
,,2018 - 2019,1.14
,,2019 - 2020,0.92
,,2020 - 2021,1.24
,,2021 - 2022,0.99
,,2022 - 2023,1.14
,Bankura,2001 - 2002,0.42
,,2002 - 2003,1.0
,,2003 - 2004,1.15
,,2004 - 2005,0.75
,,2005 - 2006,1.27
,,2006 - 2007,0.58
,,2007 - 2008,0.67
,,2008 - 2009,0.73
,,2009 - 2010,1.2
,,2010 - 2011,0.56
,,2011 - 2012,0.05
,,2012 - 2013,0.32
,,2013 - 2014,1.2
,,2014 - 2015,1.22
,,2015 - 2016,0.68
,,2016 - 2017,0.96
,,2017 - 2018,1.11
,,2018 - 2019,1.14
,,2019 - 2020,0.92
,,2020 - 2021,0.96
,,2021 - 2022,0.99
,,2022 - 2023,2.02
,Birbhum,2000 - 2001,0.82
,,2001 - 2002,0.41
,,2002 - 2003,0.8
,,2003 - 2004,1.14
,,2004 - 2005,0.79
,,2005 - 2006,1.27
,,2006 - 2007,0.6
,,2007 - 2008,0.72
,,2008 - 2009,0.76
,,2009 - 2010,1.26
,,2010 - 2011,0.06
,,2011 - 2012,1.18
,,2012 - 2013,1.08
,,2013 - 2014,1.37
,,2014 - 2015,1.01
,,2015 - 2016,0.72
,,2016 - 2017,1.24
,,2017 - 2018,1.16
,,2018 - 2019,1.55
,,2019 - 2020,1.29
,,2020 - 2021,1.33
,,2021 - 2022,1.02
,,2022 - 2023,1.06
,Coochbehar,2000 - 2001,0.88
,,2001 - 2002,0.63
,,2002 - 2003,0.8
,,2003 - 2004,1.16
,,2004 - 2005,0.57
,,2005 - 2006,0.83
,,2006 - 2007,1.0
,,2008 - 2009,0.6
,,2009 - 2010,0.69
,,2010 - 2011,1.21
,,2017 - 2018,1.11
,,2018 - 2019,1.14
,,2019 - 2020,0.92
,,2020 - 2021,1.24
,,2021 - 2022,0.99
,,2022 - 2023,1.14
,Darjeeling,2000 - 2001,0.83
,,2001 - 2002,0.64
,,2002 - 2003,0.8
,,2003 - 2004,1.14
,,2004 - 2005,0.64
,,2005 - 2006,0.81
,,2006 - 2007,0.68
,,2007 - 2008,0.78
,,2008 - 2009,0.57
,,2009 - 2010,0.7
,,2010 - 2011,1.21
,,2011 - 2012,0.74
,,2012 - 2013,0.84
,,2013 - 2014,1.15
,,2014 - 2015,1.21
,,2015 - 2016,0.75
,,2016 - 2017,1.16
,,2017 - 2018,1.11
,,2018 - 2019,1.14
,,2019 - 2020,0.92
,,2020 - 2021,1.24
,,2021 - 2022,0.99
,,2022 - 2023,1.14
,Dinajpur dakshin,2000 - 2001,0.78
,,2002 - 2003,0.78
,,2003 - 2004,1.13
,,2004 - 2005,0.63
,,2005 - 2006,1.0
,,2006 - 2007,0.67
,,2007 - 2008,0.75
,,2008 - 2009,0.56
,,2009 - 2010,0.5
,,2010 - 2011,1.33
,,2013 - 2014,1.15
,,2014 - 2015,1.22
,,2015 - 2016,0.74
,,2016 - 2017,1.32
,,2017 - 2018,1.29
,,2018 - 2019,1.09
,,2019 - 2020,1.05
,,2020 - 2021,0.96
,,2021 - 2022,0.75
,,2022 - 2023,1.02
,Dinajpur uttar,2001 - 2002,0.64
,,2002 - 2003,0.83
,,2003 - 2004,1.15
,,2004 - 2005,0.6
,,2005 - 2006,1.0
,,2006 - 2007,0.67
,,2007 - 2008,1.0
,,2008 - 2009,0.56
,,2010 - 2011,1.21
,,2011 - 2012,0.76
,,2012 - 2013,0.88
,,2013 - 2014,1.14
,,2014 - 2015,1.21
,,2015 - 2016,0.75
,,2016 - 2017,1.33
,,2017 - 2018,1.28
,,2018 - 2019,1.09
,,2019 - 2020,1.05
,,2020 - 2021,1.19
,,2021 - 2022,0.75
,,2022 - 2023,1.02
,Hooghly,2000 - 2001,0.83
,,2001 - 2002,0.33
,,2002 - 2003,0.76
,,2003 - 2004,1.0
,,2004 - 2005,0.75
,,2005 - 2006,1.27
,,2006 - 2007,0.6
,,2007 - 2008,0.72
,,2008 - 2009,0.77
,,2009 - 2010,1.26
,,2010 - 2011,0.06
,,2011 - 2012,1.18
,,2012 - 2013,1.08
,,2013 - 2014,1.42
,,2014 - 2015,1.01
,,2015 - 2016,0.73
,,2016 - 2017,1.26
,,2017 - 2018,1.22
,,2018 - 2019,1.62
,,2019 - 2020,1.36
,,2020 - 2021,1.41
,,2021 - 2022,1.08
,,2022 - 2023,1.06
,Howrah,2000 - 2001,1.0
,,2001 - 2002,0.63
,,2002 - 2003,0.78
,,2003 - 2004,1.22
,,2004 - 2005,0.65
,,2005 - 2006,0.79
,,2006 - 2007,0.5
,,2007 - 2008,0.75
,,2008 - 2009,0.78
,,2009 - 2010,1.2
,,2010 - 2011,1.25
,,2011 - 2012,0.89
,,2012 - 2013,1.17
,,2013 - 2014,1.15
,,2014 - 2015,1.2
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,1.01
,,2018 - 2019,1.14
,,2019 - 2020,0.8
,,2020 - 2021,1.33
,,2021 - 2022,1.1
,,2022 - 2023,1.16
,Jalpaiguri,2000 - 2001,0.86
,,2001 - 2002,0.63
,,2002 - 2003,0.79
,,2003 - 2004,1.14
,,2004 - 2005,0.64
,,2005 - 2006,0.81
,,2006 - 2007,0.68
,,2007 - 2008,0.77
,,2008 - 2009,0.59
,,2009 - 2010,0.7
,,2010 - 2011,1.21
,,2011 - 2012,0.75
,,2012 - 2013,0.84
,,2013 - 2014,1.14
,,2014 - 2015,1.21
,,2015 - 2016,0.75
,,2016 - 2017,1.16
,,2017 - 2018,1.11
,,2018 - 2019,1.14
,,2019 - 2020,0.92
,,2020 - 2021,1.24
,,2021 - 2022,0.99
,,2022 - 2023,1.14
,Jhargram,2016 - 2017,1.0
,,2017 - 2018,1.07
,,2018 - 2019,1.14
,,2019 - 2020,0.92
,,2020 - 2021,0.74
,,2021 - 2022,0.99
,,2022 - 2023,2.03
,Kalimpong,2016 - 2017,1.15
,,2017 - 2018,1.12
,,2018 - 2019,1.15
,,2019 - 2020,0.93
,,2020 - 2021,1.25
,,2021 - 2022,0.98
,,2022 - 2023,1.14
,Maldah,2000 - 2001,0.83
,,2001 - 2002,0.64
,,2002 - 2003,0.8
,,2003 - 2004,1.14
,,2004 - 2005,0.64
,,2005 - 2006,0.81
,,2006 - 2007,0.68
,,2007 - 2008,0.92
,,2008 - 2009,0.7
,,2009 - 2010,0.75
,,2010 - 2011,1.21
,,2011 - 2012,0.87
,,2012 - 2013,0.84
,,2013 - 2014,1.11
,,2014 - 2015,1.27
,,2015 - 2016,0.77
,,2016 - 2017,1.33
,,2017 - 2018,1.23
,,2018 - 2019,1.29
,,2019 - 2020,1.11
,,2020 - 2021,1.0
,,2021 - 2022,1.11
,,2022 - 2023,1.07
,Medinipur east,2000 - 2001,0.8
,,2017 - 2018,1.06
,,2018 - 2019,1.12
,,2019 - 2020,0.92
,Medinipur west,2000 - 2001,0.79
,,2002 - 2003,1.0
,,2003 - 2004,1.14
,,2004 - 2005,0.71
,,2005 - 2006,1.27
,,2006 - 2007,0.57
,,2007 - 2008,1.0
,,2009 - 2010,1.33
,,2010 - 2011,0.0
,,2014 - 2015,1.0
,,2015 - 2016,0.73
,,2016 - 2017,0.98
,,2017 - 2018,1.07
,,2018 - 2019,1.14
,,2019 - 2020,0.92
,,2020 - 2021,0.74
,,2021 - 2022,0.99
,,2022 - 2023,2.03
,Murshidabad,2000 - 2001,0.9
,,2001 - 2002,0.61
,,2002 - 2003,0.59
,,2003 - 2004,1.22
,,2004 - 2005,0.48
,,2005 - 2006,0.83
,,2006 - 2007,0.45
,,2007 - 2008,0.54
,,2008 - 2009,0.68
,,2009 - 2010,1.5
,,2010 - 2011,1.67
,,2011 - 2012,0.99
,,2012 - 2013,1.54
,,2013 - 2014,1.76
,,2014 - 2015,1.81
,,2015 - 2016,0.63
,,2016 - 2017,1.4
,,2017 - 2018,1.38
,,2018 - 2019,1.11
,,2019 - 2020,1.08
,,2020 - 2021,1.28
,,2021 - 2022,0.78
,,2022 - 2023,1.08
,Nadia,2000 - 2001,0.79
,,2001 - 2002,0.65
,,2002 - 2003,0.89
,,2003 - 2004,1.12
,,2004 - 2005,0.88
,,2005 - 2006,0.83
,,2006 - 2007,0.88
,,2007 - 2008,0.9
,,2008 - 2009,0.81
,,2009 - 2010,1.0
,,2010 - 2011,1.06
,,2011 - 2012,0.86
,,2012 - 2013,1.04
,,2013 - 2014,1.03
,,2014 - 2015,1.01
,,2015 - 2016,0.93
,,2016 - 2017,0.96
,,2017 - 2018,1.01
,,2018 - 2019,1.14
,,2019 - 2020,0.81
,,2020 - 2021,0.86
,,2021 - 2022,0.65
,,2022 - 2023,0.83
,Paschim bardhaman,2017 - 2018,1.22
,,2020 - 2021,1.41
,,2021 - 2022,1.08
,,2022 - 2023,1.06
,Purba bardhaman,2000 - 2001,0.85
,,2001 - 2002,0.94
,,2002 - 2003,0.78
,,2003 - 2004,1.14
,,2004 - 2005,1.0
,,2005 - 2006,0.2
,,2006 - 2007,0.61
,,2007 - 2008,0.73
,,2008 - 2009,0.76
,,2009 - 2010,1.25
,,2010 - 2011,0.05
,,2011 - 2012,1.36
,,2012 - 2013,1.08
,,2013 - 2014,1.34
,,2014 - 2015,1.02
,,2015 - 2016,0.71
,,2016 - 2017,1.25
,,2017 - 2018,1.22
,,2018 - 2019,1.62
,,2019 - 2020,1.36
,,2020 - 2021,1.41
,,2021 - 2022,1.08
,,2022 - 2023,1.23
,Purulia,2001 - 2002,0.5
,,2002 - 2003,0.75
,,2003 - 2004,1.0
,,2005 - 2006,1.33
,,2006 - 2007,1.0
,,2007 - 2008,0.8
,,2013 - 2014,1.42
,,2014 - 2015,1.0
,,2016 - 2017,0.96
,,2017 - 2018,1.07
,,2018 - 2019,1.14
,,2019 - 2020,0.92
,,2020 - 2021,0.74
,,2021 - 2022,0.99
,,2022 - 2023,2.03
