state,district,year,safflower_rabi_yield_tonne_per_hectare
,,2020 - 2021,0.6
,,2021 - 2022,1.0
,Shimoga,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2009 - 2010,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.6
,,2013 - 2014,0.75
,,2014 - 2015,0.82
,Tumkur,2001 - 2002,0.8
,,2004 - 2005,0.5
,,2005 - 2006,0.73
,,2006 - 2007,0.71
,,2013 - 2014,0.81
,,2018 - 2019,0.58
,,2019 - 2020,0.91
,,2020 - 2021,0.67
,,2021 - 2022,0.76
,,2022 - 2023,0.89
,Udupi,2020 - 2021,1.0
,Uttar kannad,2000 - 2001,1.0
,Vijayanagar,2022 - 2023,0.91
,Yadgir,2010 - 2011,0.62
,,2011 - 2012,0.35
,,2012 - 2013,0.55
,,2013 - 2014,0.67
,,2014 - 2015,0.56
,,2015 - 2016,0.27
,,2016 - 2017,0.61
,,2017 - 2018,0.69
,,2018 - 2019,0.55
,,2019 - 2020,0.35
,,2020 - 2021,0.51
,,2021 - 2022,0.55
,,2022 - 2023,0.47
Madhya Pradesh,Anuppur,2015 - 2016,0.55
,,2016 - 2017,0.6
,Ashoknagar,2004 - 2005,0.24
,,2016 - 2017,0.63
,Balaghat,2000 - 2001,0.17
,,2001 - 2002,0.25
,,2002 - 2003,0.21
,,2003 - 2004,0.2
,,2004 - 2005,0.25
,,2007 - 2008,0.33
,,2008 - 2009,0.2
,,2009 - 2010,
,,2010 - 2011,0.33
,,2015 - 2016,0.5
,,2016 - 2017,0.74
,,2017 - 2018,0.57
,,2018 - 2019,0.0
,Barwani,2003 - 2004,0.0
,,2006 - 2007,0.0
,,2016 - 2017,4.17
,,2017 - 2018,0.39
,Betul,2000 - 2001,0.2
,,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.22
,,2016 - 2017,0.55
,Bhind,2016 - 2017,0.65
,Bhopal,2000 - 2001,0.14
,,2001 - 2002,0.17
,,2002 - 2003,0.14
,,2003 - 2004,0.14
,,2004 - 2005,0.17
,,2016 - 2017,0.3
,Burhanpur,2003 - 2004,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.33
,,2017 - 2018,1.0
,Chhatarpur,2001 - 2002,0.01
,,2002 - 2003,0.01
,,2014 - 2015,0.33
,,2015 - 2016,0.6
,,2016 - 2017,0.2
,Chhindwara,2001 - 2002,0.38
,,2003 - 2004,0.5
,,2007 - 2008,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.4
,,2012 - 2013,0.44
,,2013 - 2014,0.53
,,2016 - 2017,0.11
,Damoh,2016 - 2017,0.73
,Datia,2016 - 2017,0.33
,Dewas,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2006 - 2007,0.5
,,2016 - 2017,0.71
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,Dhar,2001 - 2002,0.28
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2006 - 2007,0.33
,,2008 - 2009,0.0
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,0.19
,,2012 - 2013,0.36
,,2016 - 2017,1.0
,,2018 - 2019,0.25
,,2019 - 2020,1.0
,Dindori,2001 - 2002,0.01
,,2002 - 2003,0.01
,,2003 - 2004,0.0
,,2015 - 2016,1.0
,,2016 - 2017,0.1
,Guna,2000 - 2001,0.25
,,2001 - 2002,0.24
,,2002 - 2003,0.09
,,2003 - 2004,0.23
,,2004 - 2005,0.24
,,2006 - 2007,0.24
,,2007 - 2008,0.18
,,2008 - 2009,0.2
,,2009 - 2010,
,,2010 - 2011,0.2
,,2011 - 2012,0.2
