state,district,year,wheat_rabi_yield_tonne_per_hectare
,,2003 - 2004,2.72
,,2004 - 2005,1.62
,,2005 - 2006,1.5
,,2006 - 2007,0.94
,,2007 - 2008,1.47
,,2008 - 2009,1.54
,,2009 - 2010,1.15
,,2010 - 2011,1.76
,,2011 - 2012,1.76
,,2012 - 2013,1.79
,,2013 - 2014,1.81
,,2014 - 2015,1.81
,,2015 - 2016,1.82
,,2016 - 2017,1.86
,,2017 - 2018,1.84
,,2018 - 2019,1.84
,,2019 - 2020,1.84
,,2020 - 2021,1.84
,,2021 - 2022,1.83
,,2022 - 2023,1.97
,Zunheboto,2000 - 2001,1.92
,,2001 - 2002,1.93
,,2002 - 2003,2.03
,,2003 - 2004,1.65
,,2004 - 2005,1.56
,,2005 - 2006,1.75
,,2006 - 2007,0.93
,,2007 - 2008,1.69
,,2008 - 2009,1.46
,,2009 - 2010,1.16
,,2010 - 2011,1.58
,,2011 - 2012,1.58
,,2012 - 2013,1.77
,,2013 - 2014,1.82
,,2014 - 2015,1.83
,,2015 - 2016,1.81
,,2016 - 2017,1.87
,,2017 - 2018,1.84
,,2018 - 2019,1.81
,,2019 - 2020,1.81
,,2020 - 2021,1.82
,,2021 - 2022,1.8
,,2022 - 2023,1.96
Odisha,Anugul,2000 - 2001,1.38
,,2001 - 2002,1.55
,,2002 - 2003,1.31
,,2003 - 2004,1.47
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,Balangir,2000 - 2001,1.27
,,2001 - 2002,1.38
,,2002 - 2003,1.3
,,2003 - 2004,1.29
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,Baleshwar,2000 - 2001,1.3
,,2001 - 2002,0.88
,,2002 - 2003,0.84
,,2003 - 2004,1.12
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2021 - 2022,
,Bargarh,2000 - 2001,1.4
,,2001 - 2002,1.32
,,2002 - 2003,1.27
,,2003 - 2004,1.47
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadrak,2000 - 2001,1.03
,,2001 - 2002,0.82
,,2002 - 2003,0.78
,,2003 - 2004,1.06
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2022 - 2023,
,Boudh,2000 - 2001,1.06
,,2001 - 2002,1.08
,,2002 - 2003,1.38
,,2003 - 2004,1.48
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Cuttack,2000 - 2001,1.43
,,2001 - 2002,1.11
,,2002 - 2003,1.26
,,2003 - 2004,1.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,Deogarh,2000 - 2001,1.01
,,2001 - 2002,1.27
,,2002 - 2003,1.23
,,2003 - 2004,1.39
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Dhenkanal,2000 - 2001,0.99
,,2001 - 2002,1.34
,,2002 - 2003,1.14
,,2003 - 2004,1.61
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2015 - 2016,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gajapati,2000 - 2001,0.1
,,2004 - 2005,
,Ganjam,2001 - 2002,0.3
,,2007 - 2008,
,,2014 - 2015,
,Jagatsinghapur,2000 - 2001,1.65
,,2003 - 2004,1.54
,,2004 - 2005,
,,2011 - 2012,
,Jajapur,2000 - 2001,0.89
,,2001 - 2002,1.1
,,2002 - 2003,0.63
,,2003 - 2004,1.6
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2022 - 2023,
,Jharsuguda,2000 - 2001,1.57
,,2001 - 2002,1.4
,,2002 - 2003,1.4
,,2003 - 2004,1.5
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2021 - 2022,
,Kalahandi,2000 - 2001,1.4
,,2001 - 2002,0.7
,,2002 - 2003,0.91
,,2003 - 2004,1.33
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,Kandhamal,2000 - 2001,0.78
,,2001 - 2002,1.0
,,2002 - 2003,1.23
,,2003 - 2004,0.96
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,Kendrapara,2000 - 2001,1.18
,,2003 - 2004,1.21
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,Kendujhar,2000 - 2001,1.29
,,2001 - 2002,1.15
,,2002 - 2003,1.02
,,2003 - 2004,1.48
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,Khordha,2003 - 2004,1.41
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,Koraput,2000 - 2001,1.78
,,2001 - 2002,1.69
,,2003 - 2004,0.97
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,Mayurbhanj,2000 - 2001,1.29
,,2001 - 2002,1.1
,,2002 - 2003,0.99
,,2003 - 2004,1.23
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nabarangpur,2000 - 2001,1.06
,,2001 - 2002,1.33
,,2002 - 2003,1.88
,,2003 - 2004,1.73
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Nayagarh,2000 - 2001,1.41
,,2001 - 2002,0.1
,,2002 - 2003,0.67
,,2003 - 2004,1.86
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2020 - 2021,
,Nuapada,2000 - 2001,0.97
,,2001 - 2002,0.56
,,2002 - 2003,1.05
,,2003 - 2004,1.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2019 - 2020,
,Puri,2000 - 2001,0.53
,,2001 - 2002,1.88
,,2003 - 2004,1.27
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,Rayagada,2001 - 2002,1.1
,,2002 - 2003,0.48
,,2003 - 2004,1.31
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Sambalpur,2000 - 2001,1.54
,,2001 - 2002,1.58
,,2002 - 2003,1.44
,,2003 - 2004,1.5
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonepur,2000 - 2001,1.31
,,2001 - 2002,0.77
,,2002 - 2003,1.4
,,2003 - 2004,1.3
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Sundargarh,2000 - 2001,1.62
,,2001 - 2002,1.71
,,2002 - 2003,1.33
,,2003 - 2004,1.59
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Punjab,Amritsar,2000 - 2001,4.68
,,2001 - 2002,4.68
,,2002 - 2003,4.25
,,2003 - 2004,4.3
,,2004 - 2005,4.28
,,2005 - 2006,4.43
,,2006 - 2007,4.15
,,2007 - 2008,4.4
,,2008 - 2009,4.05
,,2009 - 2010,4.07
,,2010 - 2011,4.29
,,2011 - 2012,4.97
,,2012 - 2013,4.65
,,2013 - 2014,4.97
,,2014 - 2015,3.91
,,2015 - 2016,4.48
,,2016 - 2017,4.95
,,2017 - 2018,4.87
,,2018 - 2019,4.81
,,2019 - 2020,4.53
,,2020 - 2021,4.76
,,2021 - 2022,4.45
,,2022 - 2023,4.79
,Barnala,2007 - 2008,4.78
,,2008 - 2009,4.86
,,2009 - 2010,4.56
,,2010 - 2011,4.97
,,2011 - 2012,5.35
,,2012 - 2013,4.97
,,2013 - 2014,5.23
,,2014 - 2015,4.62
,,2015 - 2016,4.91
,,2016 - 2017,5.49
,,2017 - 2018,5.34
,,2018 - 2019,5.57
,,2019 - 2020,5.25
,,2020 - 2021,4.8
,,2021 - 2022,4.57
,,2022 - 2023,5.06
,Bathinda,2000 - 2001,4.17
,,2001 - 2002,3.91
,,2002 - 2003,4.18
,,2003 - 2004,3.89
,,2004 - 2005,4.12
,,2005 - 2006,3.93
,,2006 - 2007,4.26
,,2007 - 2008,4.36
,,2008 - 2009,4.63
,,2009 - 2010,4.04
,,2010 - 2011,4.61
,,2011 - 2012,5.0
,,2012 - 2013,4.79
,,2013 - 2014,4.96
,,2014 - 2015,4.8
,,2015 - 2016,4.68
,,2016 - 2017,5.3
,,2017 - 2018,5.3
,,2018 - 2019,5.6
,,2019 - 2020,5.42
,,2020 - 2021,4.95
,,2021 - 2022,4.41
,,2022 - 2023,4.95
,Faridkot,2000 - 2001,4.72
,,2001 - 2002,4.47
,,2002 - 2003,4.23
,,2003 - 2004,4.04
,,2004 - 2005,4.27
,,2005 - 2006,4.16
,,2006 - 2007,4.14
,,2007 - 2008,4.35
,,2008 - 2009,4.66
,,2009 - 2010,4.11
,,2010 - 2011,4.81
,,2011 - 2012,5.26
,,2012 - 2013,4.73
,,2013 - 2014,5.18
,,2014 - 2015,4.81
,,2015 - 2016,4.7
,,2016 - 2017,5.21
,,2017 - 2018,5.34
,,2018 - 2019,5.34
,,2019 - 2020,5.57
,,2020 - 2021,5.07
,,2021 - 2022,4.58
,,2022 - 2023,4.38
,Fatehgarh sahib,2000 - 2001,5.05
,,2001 - 2002,4.92
,,2002 - 2003,4.46
,,2003 - 2004,4.32
,,2004 - 2005,4.91
,,2005 - 2006,4.39
,,2006 - 2007,4.09
,,2007 - 2008,5.05
,,2008 - 2009,4.42
,,2009 - 2010,4.93
,,2010 - 2011,4.91
,,2011 - 2012,5.28
,,2012 - 2013,5.18
,,2013 - 2014,5.08
,,2014 - 2015,4.05
,,2015 - 2016,4.69
,,2016 - 2017,5.19
,,2017 - 2018,5.34
,,2018 - 2019,5.18
,,2019 - 2020,4.4
,,2020 - 2021,4.96
,,2021 - 2022,3.4
,,2022 - 2023,4.79
,Fazilka,2012 - 2013,4.67
,,2013 - 2014,4.92
,,2014 - 2015,4.43
,,2015 - 2016,4.49
,,2016 - 2017,4.94
,,2017 - 2018,4.8
,,2018 - 2019,5.06
,,2019 - 2020,4.93
,,2020 - 2021,4.74
,,2021 - 2022,4.28
,,2022 - 2023,4.63
,Firozepur,2000 - 2001,4.51
,,2001 - 2002,4.34
,,2002 - 2003,3.98
,,2003 - 2004,4.14
,,2004 - 2005,4.14
,,2005 - 2006,4.06
,,2006 - 2007,4.08
,,2007 - 2008,4.52
,,2008 - 2009,4.68
,,2009 - 2010,4.14
,,2010 - 2011,4.66
,,2011 - 2012,5.0
,,2012 - 2013,4.92
,,2013 - 2014,5.3
,,2014 - 2015,4.66
,,2015 - 2016,4.59
,,2016 - 2017,5.21
,,2017 - 2018,5.22
,,2018 - 2019,5.4
,,2019 - 2020,5.12
,,2020 - 2021,4.93
,,2021 - 2022,4.37
,,2022 - 2023,4.8
,Gurdaspur,2000 - 2001,4.26
,,2001 - 2002,4.66
,,2002 - 2003,3.81
,,2003 - 2004,4.35
,,2004 - 2005,3.57
,,2005 - 2006,3.98
,,2006 - 2007,3.97
,,2007 - 2008,4.23
,,2008 - 2009,4.01
,,2009 - 2010,4.09
,,2010 - 2011,4.07
,,2011 - 2012,4.75
,,2012 - 2013,4.48
,,2013 - 2014,4.47
,,2014 - 2015,3.35
,,2015 - 2016,4.65
,,2016 - 2017,4.61
,,2017 - 2018,4.74
,,2018 - 2019,4.72
,,2019 - 2020,4.17
,,2020 - 2021,4.53
,,2021 - 2022,4.22
,,2022 - 2023,4.43
,Hoshiarpur,2000 - 2001,3.44
,,2001 - 2002,3.61
,,2002 - 2003,3.44
,,2003 - 2004,3.42
,,2004 - 2005,3.4
,,2005 - 2006,3.54
,,2006 - 2007,3.64
,,2007 - 2008,3.81
,,2008 - 2009,3.54
,,2009 - 2010,3.85
,,2010 - 2011,4.29
,,2011 - 2012,4.51
,,2012 - 2013,4.22
,,2013 - 2014,4.53
,,2014 - 2015,3.6
,,2015 - 2016,4.08
,,2016 - 2017,4.12
,,2017 - 2018,4.34
,,2018 - 2019,4.24
,,2019 - 2020,4.29
,,2020 - 2021,4.14
,,2021 - 2022,3.62
,,2022 - 2023,4.03
,Jalandhar,2000 - 2001,4.63
,,2001 - 2002,4.7
,,2002 - 2003,4.28
,,2003 - 2004,4.42
,,2004 - 2005,4.29
,,2005 - 2006,4.49
,,2006 - 2007,4.19
,,2007 - 2008,4.44
,,2008 - 2009,4.14
,,2009 - 2010,4.32
,,2010 - 2011,4.69
,,2011 - 2012,5.06
,,2012 - 2013,4.57
,,2013 - 2014,4.95
,,2014 - 2015,4.1
,,2015 - 2016,4.46
,,2016 - 2017,4.84
,,2017 - 2018,5.06
,,2018 - 2019,4.97
,,2019 - 2020,5.03
,,2020 - 2021,4.9
,,2021 - 2022,4.22
,,2022 - 2023,4.35
,Kapurthala,2000 - 2001,4.44
,,2001 - 2002,4.72
,,2002 - 2003,3.97
,,2003 - 2004,4.43
,,2004 - 2005,4.0
,,2005 - 2006,4.35
,,2006 - 2007,4.07
,,2007 - 2008,4.56
,,2008 - 2009,4.25
,,2009 - 2010,4.12
,,2010 - 2011,4.44
,,2011 - 2012,4.93
,,2012 - 2013,4.64
,,2013 - 2014,4.94
,,2014 - 2015,3.9
,,2015 - 2016,4.26
,,2016 - 2017,4.92
,,2017 - 2018,4.84
,,2018 - 2019,4.73
,,2019 - 2020,4.65
,,2020 - 2021,4.62
,,2021 - 2022,3.99
,,2022 - 2023,4.46
,Ludhiana,2000 - 2001,5.17
,,2001 - 2002,5.07
,,2002 - 2003,4.5
,,2003 - 2004,4.75
,,2004 - 2005,4.83
,,2005 - 2006,4.78
,,2006 - 2007,4.51
,,2007 - 2008,4.8
,,2008 - 2009,4.39
,,2009 - 2010,4.63
,,2010 - 2011,4.96
,,2011 - 2012,5.37
,,2012 - 2013,4.85
,,2013 - 2014,5.22
,,2014 - 2015,4.46
,,2015 - 2016,4.67
,,2016 - 2017,5.09
,,2017 - 2018,5.14
,,2018 - 2019,5.13
,,2019 - 2020,5.1
,,2020 - 2021,4.97
,,2021 - 2022,4.28
,,2022 - 2023,4.59
,Malerkotla,2021 - 2022,4.33
,,2022 - 2023,4.96
,Mansa,2000 - 2001,4.59
,,2001 - 2002,4.04
,,2002 - 2003,4.24
,,2003 - 2004,4.16
,,2004 - 2005,4.23
,,2005 - 2006,3.75
,,2006 - 2007,4.35
,,2007 - 2008,4.3
,,2008 - 2009,4.63
,,2009 - 2010,4.29
,,2010 - 2011,4.88
,,2011 - 2012,4.95
,,2012 - 2013,4.44
,,2013 - 2014,5.02
,,2014 - 2015,4.47
,,2015 - 2016,4.64
,,2016 - 2017,5.12
,,2017 - 2018,5.17
,,2018 - 2019,5.45
,,2019 - 2020,5.39
,,2020 - 2021,4.97
,,2021 - 2022,4.45
,,2022 - 2023,5.0
,Moga,2000 - 2001,4.76
,,2001 - 2002,4.66
,,2002 - 2003,4.32
,,2003 - 2004,4.35
,,2004 - 2005,4.39
,,2005 - 2006,4.41
,,2006 - 2007,4.14
,,2007 - 2008,4.67
,,2008 - 2009,7.46
,,2009 - 2010,4.4
,,2010 - 2011,5.01
,,2011 - 2012,5.46
,,2012 - 2013,4.95
,,2013 - 2014,5.24
,,2014 - 2015,4.54
,,2015 - 2016,4.6
,,2016 - 2017,5.28
,,2017 - 2018,5.19
,,2018 - 2019,5.38
,,2019 - 2020,5.35
,,2020 - 2021,5.15
,,2021 - 2022,4.37
,,2022 - 2023,4.75
,Muktsar,2000 - 2001,4.6
,,2001 - 2002,4.24
,,2002 - 2003,4.21
,,2003 - 2004,4.13
,,2004 - 2005,4.0
,,2005 - 2006,3.94
,,2006 - 2007,4.23
,,2007 - 2008,4.77
,,2008 - 2009,4.84
,,2009 - 2010,4.63
,,2010 - 2011,4.98
,,2011 - 2012,5.03
,,2012 - 2013,4.77
,,2013 - 2014,5.06
,,2014 - 2015,4.36
,,2015 - 2016,4.64
,,2016 - 2017,5.13
,,2017 - 2018,5.25
,,2018 - 2019,5.57
,,2019 - 2020,5.46
,,2020 - 2021,5.05
,,2021 - 2022,4.53
,,2022 - 2023,4.69
,Nawanshahr,2000 - 2001,4.46
,,2001 - 2002,4.56
,,2002 - 2003,3.74
,,2003 - 2004,4.15
,,2004 - 2005,4.11
,,2005 - 2006,4.21
,,2006 - 2007,4.17
,,2007 - 2008,4.56
,,2008 - 2009,3.91
,,2009 - 2010,4.27
,,2010 - 2011,4.7
,,2011 - 2012,5.16
,,2012 - 2013,4.78
,,2013 - 2014,4.95
,,2014 - 2015,3.71
,,2015 - 2016,4.72
,,2016 - 2017,4.92
,,2017 - 2018,5.0
,,2018 - 2019,5.0
,,2019 - 2020,5.08
,,2020 - 2021,4.94
,,2021 - 2022,3.87
,,2022 - 2023,4.95
,Pathankot,2012 - 2013,4.12
,,2013 - 2014,3.98
,,2014 - 2015,2.74
,,2015 - 2016,4.05
,,2016 - 2017,4.1
,,2017 - 2018,4.02
,,2018 - 2019,3.98
,,2019 - 2020,3.95
,,2020 - 2021,4.33
,,2021 - 2022,3.65
,,2022 - 2023,4.0
,Patiala,2000 - 2001,4.56
,,2001 - 2002,4.94
,,2002 - 2003,4.47
,,2003 - 2004,4.12
,,2004 - 2005,4.5
,,2005 - 2006,4.23
,,2006 - 2007,4.61
,,2007 - 2008,4.72
,,2008 - 2009,4.7
,,2009 - 2010,4.52
,,2010 - 2011,4.83
,,2011 - 2012,5.47
,,2012 - 2013,4.8
,,2013 - 2014,4.97
,,2014 - 2015,4.39
,,2015 - 2016,4.59
,,2016 - 2017,5.16
,,2017 - 2018,5.27
,,2018 - 2019,5.47
,,2019 - 2020,4.77
,,2020 - 2021,4.97
,,2021 - 2022,3.88
,,2022 - 2023,4.91
,Rupnagar,2000 - 2001,3.63
,,2001 - 2002,3.94
,,2002 - 2003,3.55
,,2003 - 2004,3.53
,,2004 - 2005,3.51
,,2005 - 2006,3.59
,,2006 - 2007,3.79
,,2007 - 2008,4.13
,,2008 - 2009,3.31
,,2009 - 2010,4.26
,,2010 - 2011,3.89
,,2011 - 2012,4.64
,,2012 - 2013,4.51
,,2013 - 2014,4.58
,,2014 - 2015,4.03
,,2015 - 2016,4.28
,,2016 - 2017,4.82
,,2017 - 2018,4.87
,,2018 - 2019,4.57
,,2019 - 2020,4.33
,,2020 - 2021,4.51
,,2021 - 2022,3.62
,,2022 - 2023,4.51
,S.a.s nagar,2006 - 2007,3.86
,,2007 - 2008,3.98
,,2008 - 2009,4.24
,,2009 - 2010,4.49
,,2010 - 2011,4.28
,,2011 - 2012,4.79
,,2012 - 2013,4.31
,,2013 - 2014,4.47
,,2014 - 2015,3.96
,,2015 - 2016,4.64
,,2016 - 2017,4.7
,,2017 - 2018,4.96
,,2018 - 2019,4.64
,,2019 - 2020,4.52
,,2020 - 2021,4.37
,,2021 - 2022,3.71
,,2022 - 2023,4.09
,Sangrur,2000 - 2001,4.89
,,2001 - 2002,4.82
,,2002 - 2003,4.58
,,2003 - 2004,4.33
,,2004 - 2005,4.49
,,2005 - 2006,4.23
,,2006 - 2007,4.43
,,2007 - 2008,4.69
,,2008 - 2009,4.75
,,2009 - 2010,4.54
,,2010 - 2011,5.13
,,2011 - 2012,5.49
,,2012 - 2013,5.17
,,2013 - 2014,5.5
,,2014 - 2015,4.81
,,2015 - 2016,4.8
,,2016 - 2017,5.56
,,2017 - 2018,5.55
,,2018 - 2019,5.8
,,2019 - 2020,5.77
,,2020 - 2021,5.26
,,2021 - 2022,4.14
,,2022 - 2023,5.27
,Tarn taran,2006 - 2007,4.14
,,2007 - 2008,4.43
,,2008 - 2009,4.6
,,2009 - 2010,4.15
,,2010 - 2011,4.57
,,2011 - 2012,4.88
,,2012 - 2013,4.38
,,2013 - 2014,5.09
,,2014 - 2015,4.13
,,2015 - 2016,4.53
,,2016 - 2017,4.79
,,2017 - 2018,4.68
,,2018 - 2019,4.9
,,2019 - 2020,4.55
,,2020 - 2021,4.71
,,2021 - 2022,4.29
,,2022 - 2023,4.67
Rajasthan,Ajmer,2000 - 2001,1.22
,,2001 - 2002,1.82
,,2002 - 2003,2.05
,,2003 - 2004,1.96
,,2004 - 2005,2.06
,,2005 - 2006,1.33
,,2006 - 2007,2.8
,,2007 - 2008,2.39
,,2008 - 2009,2.26
,,2009 - 2010,2.47
,,2010 - 2011,3.23
,,2011 - 2012,3.15
,,2012 - 2013,3.32
,,2013 - 2014,3.45
,,2014 - 2015,2.11
,,2015 - 2016,2.76
,,2016 - 2017,3.34
,,2017 - 2018,3.17
,,2018 - 2019,3.47
,,2019 - 2020,3.58
,,2020 - 2021,3.5
,,2021 - 2022,3.32
,,2022 - 2023,3.24
,Alwar,2000 - 2001,3.57
,,2001 - 2002,3.04
,,2002 - 2003,3.15
,,2003 - 2004,3.45
,,2004 - 2005,3.25
,,2005 - 2006,3.09
,,2006 - 2007,3.56
,,2007 - 2008,3.49
,,2008 - 2009,4.04
,,2009 - 2010,3.75
,,2010 - 2011,4.21
,,2011 - 2012,3.93
,,2012 - 2013,4.09
,,2013 - 2014,3.96
,,2014 - 2015,3.46
,,2015 - 2016,3.65
,,2016 - 2017,4.37
,,2017 - 2018,4.29
,,2018 - 2019,4.59
,,2019 - 2020,4.38
,,2020 - 2021,4.85
,,2021 - 2022,4.85
,,2022 - 2023,4.45
,Banswara,2000 - 2001,1.39
,,2001 - 2002,2.02
,,2002 - 2003,1.48
,,2003 - 2004,2.02
,,2004 - 2005,2.07
,,2005 - 2006,1.97
,,2006 - 2007,1.86
,,2007 - 2008,2.02
,,2008 - 2009,1.56
,,2009 - 2010,2.01
,,2010 - 2011,2.05
,,2011 - 2012,2.34
,,2012 - 2013,2.12
,,2013 - 2014,2.26
,,2014 - 2015,2.22
,,2015 - 2016,2.02
,,2016 - 2017,2.04
,,2017 - 2018,2.36
,,2018 - 2019,2.56
,,2019 - 2020,2.65
,,2020 - 2021,2.66
,,2021 - 2022,2.62
,,2022 - 2023,2.5
,Baran,2000 - 2001,2.09
,,2001 - 2002,3.12
,,2002 - 2003,3.1
,,2003 - 2004,2.39
,,2004 - 2005,2.83
,,2005 - 2006,3.07
,,2006 - 2007,3.62
,,2007 - 2008,3.28
,,2008 - 2009,3.61
,,2009 - 2010,3.76
,,2010 - 2011,3.47
,,2011 - 2012,3.81
,,2012 - 2013,4.37
,,2013 - 2014,3.39
,,2014 - 2015,3.83
,,2015 - 2016,4.21
,,2016 - 2017,4.53
,,2017 - 2018,4.62
,,2018 - 2019,4.97
,,2019 - 2020,4.86
,,2020 - 2021,4.48
,,2021 - 2022,4.75
,,2022 - 2023,4.41
,Barmer,2000 - 2001,2.4
,,2001 - 2002,2.79
,,2002 - 2003,2.71
,,2003 - 2004,1.53
,,2004 - 2005,1.89
,,2005 - 2006,0.9
,,2006 - 2007,1.6
,,2007 - 2008,1.6
,,2008 - 2009,0.87
,,2009 - 2010,1.52
,,2010 - 2011,1.47
,,2011 - 2012,1.24
,,2012 - 2013,1.36
,,2013 - 2014,1.45
,,2014 - 2015,1.04
,,2015 - 2016,1.4
,,2016 - 2017,1.23
,,2017 - 2018,1.51
,,2018 - 2019,1.73
,,2019 - 2020,1.8
,,2020 - 2021,1.58
,,2021 - 2022,1.53
,,2022 - 2023,1.79
,Bharatpur,2000 - 2001,3.53
