state,district,year,gram_rabi_yield_tonne_per_hectare
,,2007 - 2008,1.12
,,2008 - 2009,0.8
,,2009 - 2010,0.76
,,2010 - 2011,0.61
,,2011 - 2012,0.87
,,2012 - 2013,1.06
,,2013 - 2014,1.07
,,2014 - 2015,1.07
,,2015 - 2016,0.64
,,2016 - 2017,1.0
,,2017 - 2018,1.12
,,2018 - 2019,1.02
,,2019 - 2020,1.06
,,2020 - 2021,1.09
,,2021 - 2022,1.09
,,2022 - 2023,1.12
Karnataka,Bagalkot,2000 - 2001,0.6
,,2001 - 2002,0.7
,,2002 - 2003,0.67
,,2003 - 2004,0.16
,,2004 - 2005,0.49
,,2005 - 2006,0.57
,,2006 - 2007,0.32
,,2007 - 2008,0.7
,,2008 - 2009,0.42
,,2009 - 2010,0.38
,,2010 - 2011,0.65
,,2011 - 2012,0.46
,,2012 - 2013,0.53
,,2013 - 2014,0.78
,,2014 - 2015,0.6
,,2015 - 2016,0.47
,,2016 - 2017,0.32
,,2017 - 2018,0.7
,,2018 - 2019,0.41
,,2019 - 2020,0.83
,,2020 - 2021,0.87
,,2021 - 2022,0.73
,,2022 - 2023,0.84
,Bangalore rural,2000 - 2001,0.65
,,2001 - 2002,0.58
,,2003 - 2004,0.33
,,2004 - 2005,0.51
,,2005 - 2006,0.55
,,2006 - 2007,0.74
,,2007 - 2008,0.6
,,2008 - 2009,0.54
,,2009 - 2010,0.47
,,2010 - 2011,0.61
,,2011 - 2012,0.4
,,2012 - 2013,0.64
,,2013 - 2014,0.76
,,2014 - 2015,0.72
,,2015 - 2016,0.39
,,2016 - 2017,0.59
,,2017 - 2018,0.77
,,2018 - 2019,0.48
,,2019 - 2020,0.75
,,2020 - 2021,0.63
,,2021 - 2022,0.69
,,2022 - 2023,0.68
,Belgaum,2000 - 2001,0.54
,,2001 - 2002,0.35
,,2002 - 2003,0.36
,,2003 - 2004,0.18
,,2004 - 2005,0.49
,,2005 - 2006,0.5
,,2006 - 2007,0.41
,,2007 - 2008,0.53
,,2008 - 2009,0.49
,,2009 - 2010,0.21
,,2010 - 2011,0.63
,,2011 - 2012,0.46
,,2012 - 2013,0.51
,,2013 - 2014,0.5
,,2014 - 2015,0.62
,,2015 - 2016,0.3
,,2016 - 2017,0.5
,,2017 - 2018,0.75
,,2018 - 2019,0.78
,,2019 - 2020,0.68
,,2020 - 2021,0.73
,,2021 - 2022,0.81
,,2022 - 2023,0.75
,Bellary,2000 - 2001,1.02
,,2001 - 2002,0.78
,,2002 - 2003,0.61
,,2003 - 2004,0.48
,,2004 - 2005,0.42
,,2005 - 2006,0.72
,,2006 - 2007,0.47
,,2007 - 2008,0.56
,,2008 - 2009,0.66
,,2009 - 2010,0.25
,,2010 - 2011,0.61
,,2011 - 2012,0.58
,,2012 - 2013,0.84
,,2013 - 2014,0.86
,,2014 - 2015,0.75
,,2015 - 2016,0.65
,,2016 - 2017,0.28
,,2017 - 2018,0.99
,,2018 - 2019,0.54
,,2019 - 2020,0.72
,,2020 - 2021,0.71
,,2021 - 2022,0.72
,,2022 - 2023,0.6
,Bengaluru urban,2002 - 2003,0.67
,,2003 - 2004,0.46
,,2004 - 2005,0.52
,,2006 - 2007,
,,2009 - 2010,0.48
,,2010 - 2011,0.8
,,2011 - 2012,0.5
,,2013 - 2014,1.0
,,2014 - 2015,0.73
,,2015 - 2016,0.33
,,2018 - 2019,0.5
,,2019 - 2020,0.74
,,2020 - 2021,0.64
,,2021 - 2022,0.64
,,2022 - 2023,0.67
,Bidar,2000 - 2001,0.62
,,2001 - 2002,0.66
,,2002 - 2003,0.63
,,2003 - 2004,0.56
,,2004 - 2005,0.52
,,2005 - 2006,0.51
,,2006 - 2007,0.69
,,2007 - 2008,0.49
,,2008 - 2009,0.57
,,2010 - 2011,0.65
,,2011 - 2012,0.51
,,2012 - 2013,0.8
,,2013 - 2014,0.78
,,2014 - 2015,0.54
,,2015 - 2016,0.25
,,2016 - 2017,0.83
,,2017 - 2018,0.88
,,2018 - 2019,0.39
,,2019 - 2020,0.74
,,2020 - 2021,0.62
,,2021 - 2022,0.62
,,2022 - 2023,0.7
,Bijapur,2000 - 2001,0.61
,,2001 - 2002,0.65
,,2002 - 2003,0.56
,,2003 - 2004,0.23
,,2004 - 2005,0.51
,,2005 - 2006,0.41
,,2006 - 2007,0.42
,,2007 - 2008,0.67
,,2008 - 2009,0.61
,,2009 - 2010,0.23
,,2010 - 2011,0.68
,,2011 - 2012,0.29
,,2012 - 2013,0.62
,,2013 - 2014,0.68
,,2014 - 2015,0.67
,,2015 - 2016,0.24
,,2016 - 2017,0.56
,,2017 - 2018,0.74
,,2018 - 2019,0.46
,,2019 - 2020,0.57
,,2020 - 2021,0.62
,,2021 - 2022,0.66
,,2022 - 2023,0.72
,Chamarajanagar,2000 - 2001,0.65
,,2001 - 2002,0.59
,,2002 - 2003,0.51
,,2003 - 2004,0.32
,,2004 - 2005,0.95
,,2005 - 2006,0.6
,,2006 - 2007,0.43
,,2007 - 2008,0.39
,,2008 - 2009,0.59
,,2009 - 2010,0.59
,,2010 - 2011,0.55
,,2011 - 2012,0.56
,,2012 - 2013,0.29
,,2013 - 2014,0.56
,,2014 - 2015,0.6
,,2015 - 2016,0.59
,,2016 - 2017,0.01
,,2017 - 2018,0.72
,,2018 - 2019,0.58
,,2019 - 2020,0.84
,,2020 - 2021,0.78
,,2021 - 2022,0.71
,,2022 - 2023,0.8
,Chikballapur,2008 - 2009,0.71
,,2009 - 2010,0.44
,,2010 - 2011,0.64
,,2011 - 2012,0.41
,,2012 - 2013,0.64
,,2013 - 2014,0.76
,,2014 - 2015,0.71
,,2015 - 2016,0.39
,,2016 - 2017,0.59
,,2017 - 2018,0.77
,,2018 - 2019,0.48
,,2019 - 2020,0.74
,,2020 - 2021,0.63
,,2021 - 2022,0.69
,,2022 - 2023,0.68
,Chikmagalur,2000 - 2001,0.51
,,2001 - 2002,0.33
,,2002 - 2003,0.43
,,2003 - 2004,0.36
,,2004 - 2005,0.43
,,2005 - 2006,0.31
,,2006 - 2007,0.16
,,2007 - 2008,0.41
,,2008 - 2009,0.47
,,2009 - 2010,0.69
,,2010 - 2011,0.74
,,2011 - 2012,0.6
,,2012 - 2013,0.63
,,2013 - 2014,0.78
,,2014 - 2015,0.92
,,2015 - 2016,1.21
,,2016 - 2017,0.25
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.79
,,2020 - 2021,0.83
,,2021 - 2022,0.83
,,2022 - 2023,0.75
,Chitradurga,2000 - 2001,0.62
,,2001 - 2002,0.43
,,2002 - 2003,0.39
,,2003 - 2004,0.52
,,2004 - 2005,0.29
,,2005 - 2006,0.35
,,2006 - 2007,0.2
,,2007 - 2008,0.44
,,2008 - 2009,0.38
,,2009 - 2010,0.34
,,2010 - 2011,0.72
,,2011 - 2012,0.34
,,2012 - 2013,0.46
,,2013 - 2014,0.5
,,2014 - 2015,0.67
,,2015 - 2016,0.64
,,2016 - 2017,0.11
,,2017 - 2018,0.73
,,2018 - 2019,0.41
,,2019 - 2020,0.68
,,2020 - 2021,0.65
,,2021 - 2022,0.61
,,2022 - 2023,0.76
,Dakshin kannad,2009 - 2010,0.47
,Davangere,2000 - 2001,0.62
,,2001 - 2002,0.42
,,2002 - 2003,0.39
,,2003 - 2004,0.21
,,2004 - 2005,0.23
,,2005 - 2006,0.31
,,2006 - 2007,0.16
,,2007 - 2008,0.28
,,2008 - 2009,0.26
,,2009 - 2010,0.63
,,2010 - 2011,0.43
,,2011 - 2012,0.36
,,2012 - 2013,0.71
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.35
,,2016 - 2017,0.12
,,2017 - 2018,0.56
,,2018 - 2019,0.46
,,2019 - 2020,0.51
,,2020 - 2021,0.48
,,2021 - 2022,0.6
,,2022 - 2023,0.53
,Dharwad,2000 - 2001,0.59
,,2001 - 2002,0.21
,,2002 - 2003,0.29
,,2003 - 2004,0.03
,,2004 - 2005,0.45
,,2005 - 2006,0.6
,,2006 - 2007,0.66
,,2007 - 2008,0.58
,,2008 - 2009,0.73
,,2009 - 2010,0.53
,,2010 - 2011,0.76
,,2011 - 2012,0.39
,,2012 - 2013,0.35
,,2013 - 2014,0.67
,,2014 - 2015,0.82
,,2015 - 2016,0.24
,,2016 - 2017,0.17
,,2017 - 2018,0.56
,,2018 - 2019,0.3
,,2019 - 2020,0.7
,,2020 - 2021,0.52
,,2021 - 2022,0.8
,,2022 - 2023,0.73
,Gadag,2000 - 2001,0.47
,,2001 - 2002,0.18
,,2002 - 2003,0.15
,,2003 - 2004,0.11
,,2004 - 2005,0.63
,,2005 - 2006,0.53
,,2006 - 2007,0.27
,,2007 - 2008,0.46
,,2008 - 2009,0.42
,,2009 - 2010,0.57
,,2010 - 2011,0.46
,,2011 - 2012,0.2
,,2012 - 2013,0.37
,,2013 - 2014,0.62
,,2014 - 2015,0.64
,,2015 - 2016,0.27
,,2016 - 2017,0.12
,,2017 - 2018,0.44
,,2018 - 2019,0.15
,,2019 - 2020,0.58
,,2020 - 2021,0.44
,,2021 - 2022,0.56
,,2022 - 2023,0.52
,Gulbarga,2000 - 2001,0.79
,,2001 - 2002,0.78
,,2002 - 2003,0.77
,,2003 - 2004,0.61
,,2004 - 2005,0.7
,,2005 - 2006,0.74
,,2006 - 2007,0.55
,,2007 - 2008,0.68
,,2008 - 2009,0.63
,,2009 - 2010,0.44
,,2010 - 2011,0.71
,,2011 - 2012,0.7
,,2012 - 2013,0.81
,,2013 - 2014,0.9
,,2014 - 2015,0.84
,,2015 - 2016,0.43
,,2016 - 2017,1.17
,,2017 - 2018,1.12
,,2018 - 2019,0.81
,,2019 - 2020,1.16
,,2020 - 2021,1.08
,,2021 - 2022,0.79
,,2022 - 2023,0.96
,Hassan,2000 - 2001,0.49
,,2001 - 2002,0.59
,,2002 - 2003,0.51
,,2003 - 2004,0.34
,,2004 - 2005,0.38
,,2005 - 2006,0.45
,,2006 - 2007,0.53
,,2007 - 2008,0.56
,,2008 - 2009,0.82
,,2009 - 2010,0.48
,,2010 - 2011,0.68
,,2011 - 2012,0.66
,,2012 - 2013,0.51
,,2013 - 2014,0.58
,,2014 - 2015,1.03
,,2015 - 2016,0.63
,,2016 - 2017,0.1
,,2017 - 2018,0.76
,,2018 - 2019,0.61
,,2019 - 2020,0.56
,,2020 - 2021,0.51
,,2021 - 2022,0.62
,,2022 - 2023,0.58
,Haveri,2000 - 2001,0.65
,,2001 - 2002,0.59
,,2002 - 2003,0.41
,,2003 - 2004,0.33
,,2004 - 2005,0.26
,,2005 - 2006,0.34
,,2006 - 2007,0.25
,,2007 - 2008,0.35
,,2008 - 2009,0.37
,,2009 - 2010,0.57
,,2010 - 2011,0.4
,,2011 - 2012,0.31
,,2012 - 2013,0.37
,,2013 - 2014,0.4
,,2014 - 2015,0.52
,,2015 - 2016,0.38
,,2016 - 2017,0.14
,,2017 - 2018,0.46
,,2018 - 2019,0.4
,,2019 - 2020,0.49
,,2020 - 2021,0.59
,,2021 - 2022,0.56
,,2022 - 2023,0.64
,Kodagu,2003 - 2004,0.36
,,2004 - 2005,0.52
,,2005 - 2006,0.5
,,2006 - 2007,0.8
,,2007 - 2008,0.6
,,2009 - 2010,0.47
,,2020 - 2021,1.0
,Kolar,2001 - 2002,0.6
,,2004 - 2005,0.75
,,2005 - 2006,0.69
,,2006 - 2007,
,,2009 - 2010,0.3
,,2010 - 2011,0.62
,,2011 - 2012,0.39
,,2012 - 2013,0.67
,,2013 - 2014,0.79
,,2014 - 2015,0.75
,,2018 - 2019,0.48
,,2019 - 2020,0.75
,,2020 - 2021,0.63
,,2021 - 2022,0.68
,,2022 - 2023,0.7
,Koppal,2000 - 2001,0.56
,,2001 - 2002,0.37
,,2002 - 2003,0.12
,,2003 - 2004,0.09
,,2004 - 2005,0.9
,,2005 - 2006,0.39
,,2006 - 2007,0.13
,,2007 - 2008,0.52
,,2008 - 2009,0.38
,,2009 - 2010,0.18
,,2010 - 2011,0.61
,,2011 - 2012,0.19
,,2012 - 2013,0.59
,,2013 - 2014,0.58
,,2014 - 2015,0.6
,,2015 - 2016,0.31
,,2016 - 2017,0.51
,,2017 - 2018,0.44
,,2018 - 2019,0.3
,,2019 - 2020,0.41
,,2020 - 2021,0.47
,,2021 - 2022,0.45
,,2022 - 2023,0.38
,Mandya,2002 - 2003,0.51
,,2003 - 2004,0.32
,,2004 - 2005,0.76
,,2005 - 2006,0.67
,,2006 - 2007,0.71
,,2007 - 2008,0.76
,,2008 - 2009,0.5
,,2009 - 2010,0.43
,,2010 - 2011,0.75
,,2012 - 2013,0.64
,,2013 - 2014,0.76
,,2014 - 2015,0.72
,,2015 - 2016,0.39
,,2016 - 2017,0.58
,,2017 - 2018,0.77
,,2018 - 2019,0.49
,,2019 - 2020,0.74
,,2020 - 2021,0.63
,,2021 - 2022,0.69
,,2022 - 2023,1.0
,Mysore,2000 - 2001,0.65
,,2001 - 2002,0.59
,,2002 - 2003,0.44
,,2003 - 2004,0.36
,,2004 - 2005,0.38
,,2005 - 2006,0.55
,,2006 - 2007,0.41
,,2007 - 2008,1.19
,,2008 - 2009,0.55
,,2009 - 2010,0.55
,,2010 - 2011,1.13
,,2011 - 2012,0.78
,,2012 - 2013,0.32
,,2013 - 2014,0.54
,,2014 - 2015,0.69
,,2015 - 2016,0.76
,,2016 - 2017,0.59
,,2017 - 2018,0.87
,,2018 - 2019,0.69
,,2019 - 2020,0.48
,,2020 - 2021,0.52
,,2021 - 2022,0.64
,,2022 - 2023,0.63
,Raichur,2000 - 2001,0.48
,,2001 - 2002,0.59
,,2002 - 2003,0.47
,,2003 - 2004,0.38
,,2004 - 2005,0.48
,,2005 - 2006,0.53
,,2006 - 2007,0.49
,,2007 - 2008,0.61
,,2008 - 2009,0.36
,,2009 - 2010,0.25
,,2010 - 2011,0.45
,,2011 - 2012,0.38
,,2012 - 2013,0.94
,,2013 - 2014,0.99
,,2014 - 2015,0.96
,,2015 - 2016,0.64
,,2016 - 2017,0.66
,,2017 - 2018,1.0
,,2018 - 2019,0.53
,,2019 - 2020,1.07
,,2020 - 2021,0.65
,,2021 - 2022,1.01
,,2022 - 2023,0.94
,Ramanagara,2007 - 2008,0.76
,,2009 - 2010,0.51
,,2012 - 2013,0.64
,,2013 - 2014,0.77
,,2014 - 2015,0.72
,,2015 - 2016,0.33
,,2018 - 2019,0.49
,,2019 - 2020,0.74
,,2020 - 2021,0.62
,,2021 - 2022,0.71
,,2022 - 2023,0.7
,Shimoga,2000 - 2001,0.65
,,2001 - 2002,0.6
,,2002 - 2003,0.51
,,2003 - 2004,0.32
,,2004 - 2005,0.51
,,2005 - 2006,0.57
,,2006 - 2007,0.49
,,2007 - 2008,0.67
,,2008 - 2009,0.66
,,2009 - 2010,0.47
,,2010 - 2011,0.62
,,2011 - 2012,0.42
,,2012 - 2013,0.65
,,2013 - 2014,0.77
,,2014 - 2015,0.69
,,2015 - 2016,0.33
,,2016 - 2017,0.67
,,2017 - 2018,0.78
,,2018 - 2019,0.45
,,2019 - 2020,0.8
,,2020 - 2021,0.6
,,2021 - 2022,0.75
,Tumkur,2000 - 2001,0.64
,,2001 - 2002,0.59
,,2002 - 2003,0.51
,,2003 - 2004,0.32
,,2004 - 2005,0.96
,,2005 - 2006,0.55
,,2006 - 2007,0.41
,,2007 - 2008,0.57
,,2008 - 2009,0.51
,,2009 - 2010,0.35
,,2010 - 2011,0.61
,,2011 - 2012,0.4
,,2012 - 2013,0.64
,,2013 - 2014,0.76
,,2014 - 2015,0.72
,,2015 - 2016,0.13
,,2016 - 2017,0.59
,,2017 - 2018,0.77
,,2018 - 2019,0.51
,,2019 - 2020,0.49
,,2020 - 2021,0.54
,,2021 - 2022,0.33
,,2022 - 2023,1.0
,Udupi,2005 - 2006,0.58
,,2006 - 2007,0.5
,,2009 - 2010,1.01
,,2019 - 2020,0.75
,Uttar kannad,2000 - 2001,0.66
,,2001 - 2002,0.57
,,2002 - 2003,0.5
,,2003 - 2004,0.3
,,2004 - 2005,0.57
,,2005 - 2006,0.53
,,2006 - 2007,0.5
,,2007 - 2008,0.56
,,2008 - 2009,0.5
,,2009 - 2010,0.47
,,2010 - 2011,0.6
,,2011 - 2012,0.5
,,2012 - 2013,0.75
,,2013 - 2014,0.77
,,2014 - 2015,0.72
,,2015 - 2016,0.43
,,2016 - 2017,0.5
,,2017 - 2018,0.67
,,2018 - 2019,0.4
,,2019 - 2020,0.73
,,2020 - 2021,0.64
,,2021 - 2022,1.0
,,2022 - 2023,0.67
,Vijayanagar,2022 - 2023,0.48
,Yadgir,2010 - 2011,0.66
,,2011 - 2012,0.37
,,2012 - 2013,0.59
,,2013 - 2014,0.71
,,2014 - 2015,0.69
,,2015 - 2016,0.37
,,2016 - 2017,0.86
,,2017 - 2018,0.74
,,2018 - 2019,0.51
,,2019 - 2020,0.91
,,2020 - 2021,0.81
,,2021 - 2022,0.51
,,2022 - 2023,0.44
Kerala,Alappuzha,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannur,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kasaragod,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kollam,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kozhikode,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malappuram,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Palakkad,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pathanamthitta,2018 - 2019,
,,2021 - 2022,
,Thiruvananthapuram,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wayanad,2021 - 2022,
,,2022 - 2023,
Madhya Pradesh,Agar malwa,2013 - 2014,0.64
,,2014 - 2015,1.52
,,2015 - 2016,1.0
,,2016 - 2017,0.98
,,2017 - 2018,1.5
,,2018 - 2019,0.76
,,2019 - 2020,1.25
,,2020 - 2021,1.64
,,2021 - 2022,1.07
,,2022 - 2023,1.02
,Alirajpur,2008 - 2009,0.56
,,2009 - 2010,
,,2010 - 2011,0.56
,,2011 - 2012,0.5
,,2012 - 2013,0.53
,,2013 - 2014,0.96
,,2014 - 2015,1.0
,,2015 - 2016,1.1
,,2016 - 2017,1.17
,,2017 - 2018,1.02
,,2018 - 2019,1.31
,,2019 - 2020,1.64
,,2020 - 2021,1.11
,,2021 - 2022,1.27
,,2022 - 2023,0.78
,Anuppur,2003 - 2004,0.54
,,2004 - 2005,0.49
,,2005 - 2006,0.43
,,2006 - 2007,0.39
,,2007 - 2008,0.34
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.51
,,2012 - 2013,0.49
,,2013 - 2014,0.52
,,2014 - 2015,0.83
,,2015 - 2016,0.53
,,2016 - 2017,0.8
,,2017 - 2018,1.05
,,2018 - 2019,0.64
,,2019 - 2020,0.97
,,2020 - 2021,1.12
,,2021 - 2022,1.36
,,2022 - 2023,0.74
,Ashoknagar,2003 - 2004,0.77
,,2004 - 2005,0.79
,,2005 - 2006,0.9
,,2006 - 2007,0.95
,,2007 - 2008,0.52
,,2008 - 2009,1.06
,,2009 - 2010,
,,2010 - 2011,0.81
,,2011 - 2012,1.33
,,2012 - 2013,1.52
,,2013 - 2014,0.7
,,2014 - 2015,1.07
,,2015 - 2016,1.25
,,2016 - 2017,1.25
,,2017 - 2018,1.01
,,2018 - 2019,1.5
,,2019 - 2020,1.42
,,2020 - 2021,1.8
,,2021 - 2022,2.0
,,2022 - 2023,1.39
,Balaghat,2000 - 2001,0.76
,,2001 - 2002,0.82
,,2002 - 2003,0.86
,,2003 - 2004,0.84
,,2004 - 2005,0.8
,,2005 - 2006,0.79
,,2006 - 2007,0.88
,,2007 - 2008,0.76
,,2008 - 2009,0.83
,,2009 - 2010,
,,2010 - 2011,1.04
,,2011 - 2012,1.06
,,2012 - 2013,0.95
,,2013 - 2014,0.84
,,2014 - 2015,0.47
,,2015 - 2016,1.15
,,2016 - 2017,1.42
,,2017 - 2018,1.5
,,2018 - 2019,1.25
,,2019 - 2020,1.41
,,2020 - 2021,1.43
,,2021 - 2022,1.9
,,2022 - 2023,1.06
,Barwani,2000 - 2001,0.5
,,2001 - 2002,0.57
,,2002 - 2003,0.59
,,2003 - 2004,0.58
,,2004 - 2005,0.53
,,2005 - 2006,0.5
,,2006 - 2007,0.6
,,2007 - 2008,0.47
,,2008 - 2009,0.62
,,2009 - 2010,
,,2010 - 2011,0.59
,,2011 - 2012,0.64
,,2012 - 2013,1.16
,,2013 - 2014,1.09
,,2014 - 2015,1.56
,,2015 - 2016,1.33
,,2016 - 2017,2.0
,,2017 - 2018,1.62
,,2018 - 2019,2.73
,,2019 - 2020,1.67
,,2020 - 2021,1.7
,,2021 - 2022,1.86
,,2022 - 2023,1.71
,Betul,2000 - 2001,0.38
,,2001 - 2002,0.54
,,2002 - 2003,0.46
,,2003 - 2004,0.64
,,2004 - 2005,0.61
,,2005 - 2006,0.68
,,2006 - 2007,0.68
,,2007 - 2008,0.6
,,2008 - 2009,0.62
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,1.29
,,2012 - 2013,1.2
,,2013 - 2014,0.66
,,2014 - 2015,0.84
,,2015 - 2016,1.05
,,2016 - 2017,1.16
,,2017 - 2018,1.49
,,2018 - 2019,1.68
,,2019 - 2020,1.23
,,2020 - 2021,1.94
,,2021 - 2022,1.27
,,2022 - 2023,1.03
,Bhind,2000 - 2001,0.72
,,2001 - 2002,1.32
,,2002 - 2003,1.01
,,2003 - 2004,1.35
,,2004 - 2005,1.09
,,2005 - 2006,1.05
,,2006 - 2007,0.86
,,2007 - 2008,0.73
,,2008 - 2009,1.23
,,2009 - 2010,
,,2010 - 2011,1.3
,,2011 - 2012,1.15
,,2012 - 2013,1.47
,,2013 - 2014,1.04
,,2014 - 2015,0.97
,,2015 - 2016,0.86
,,2016 - 2017,1.56
,,2017 - 2018,1.56
,,2018 - 2019,1.59
,,2019 - 2020,1.24
,,2020 - 2021,1.83
,,2021 - 2022,1.91
,,2022 - 2023,1.36
,Bhopal,2000 - 2001,0.89
,,2001 - 2002,0.98
,,2002 - 2003,0.93
,,2003 - 2004,0.99
,,2004 - 2005,0.95
,,2005 - 2006,1.07
,,2006 - 2007,1.02
,,2007 - 2008,0.89
,,2008 - 2009,0.91
,,2009 - 2010,
,,2010 - 2011,0.65
,,2011 - 2012,1.5
,,2012 - 2013,1.23
,,2013 - 2014,1.0
,,2014 - 2015,1.03
,,2015 - 2016,1.26
,,2016 - 2017,1.34
,,2017 - 2018,1.26
,,2018 - 2019,1.22
,,2019 - 2020,1.66
,,2020 - 2021,1.33
,,2021 - 2022,1.6
,,2022 - 2023,1.4
,Burhanpur,2003 - 2004,1.14
,,2004 - 2005,1.0
,,2005 - 2006,1.02
,,2006 - 2007,1.0
,,2007 - 2008,0.76
,,2008 - 2009,0.83
,,2009 - 2010,
,,2010 - 2011,0.9
,,2011 - 2012,1.12
,,2012 - 2013,1.11
,,2013 - 2014,0.93
,,2014 - 2015,1.71
,,2015 - 2016,1.29
,,2016 - 2017,1.57
,,2017 - 2018,1.62
,,2018 - 2019,1.86
,,2019 - 2020,2.02
,,2020 - 2021,1.91
,,2021 - 2022,1.87
,,2022 - 2023,1.97
,Chhatarpur,2000 - 2001,0.88
,,2001 - 2002,1.12
,,2002 - 2003,0.99
,,2003 - 2004,1.15
,,2004 - 2005,1.14
,,2005 - 2006,1.06
,,2006 - 2007,0.79
,,2007 - 2008,0.73
,,2008 - 2009,1.03
,,2009 - 2010,
,,2010 - 2011,0.93
,,2011 - 2012,1.51
,,2012 - 2013,1.27
,,2013 - 2014,0.3
,,2014 - 2015,0.61
,,2015 - 2016,0.86
,,2016 - 2017,1.5
,,2017 - 2018,1.21
,,2018 - 2019,1.66
,,2019 - 2020,1.64
,,2020 - 2021,1.89
,,2021 - 2022,1.62
,,2022 - 2023,1.9
,Chhindwara,2000 - 2001,0.84
,,2001 - 2002,0.77
,,2002 - 2003,0.81
,,2003 - 2004,1.33
,,2004 - 2005,1.16
,,2005 - 2006,1.16
,,2006 - 2007,1.18
,,2007 - 2008,1.13
,,2008 - 2009,1.16
,,2009 - 2010,
,,2010 - 2011,1.33
,,2011 - 2012,2.5
,,2012 - 2013,2.83
,,2013 - 2014,2.47
,,2014 - 2015,0.74
,,2015 - 2016,1.22
,,2016 - 2017,1.39
,,2017 - 2018,1.6
,,2018 - 2019,2.21
,,2019 - 2020,2.74
,,2020 - 2021,1.98
,,2021 - 2022,1.94
,,2022 - 2023,2.03
,Damoh,2000 - 2001,0.65
,,2001 - 2002,0.78
,,2002 - 2003,0.2
,,2003 - 2004,0.82
,,2004 - 2005,0.79
,,2005 - 2006,0.86
,,2006 - 2007,0.92
,,2007 - 2008,0.67
,,2008 - 2009,0.96
,,2009 - 2010,
,,2010 - 2011,0.54
,,2011 - 2012,0.95
,,2012 - 2013,1.12
,,2013 - 2014,0.38
,,2014 - 2015,0.56
,,2015 - 2016,1.07
,,2016 - 2017,1.4
,,2017 - 2018,1.5
,,2018 - 2019,1.46
,,2019 - 2020,1.47
,,2020 - 2021,1.68
,,2021 - 2022,1.8
,,2022 - 2023,1.85
,Datia,2000 - 2001,1.32
,,2001 - 2002,1.48
,,2002 - 2003,1.37
,,2003 - 2004,1.26
,,2004 - 2005,1.17
,,2005 - 2006,1.47
,,2006 - 2007,1.06
,,2007 - 2008,0.77
,,2008 - 2009,1.25
,,2009 - 2010,
,,2010 - 2011,1.06
,,2011 - 2012,1.26
,,2012 - 2013,1.4
,,2013 - 2014,1.16
,,2014 - 2015,1.12
,,2015 - 2016,1.17
,,2016 - 2017,1.38
,,2017 - 2018,1.0
,,2018 - 2019,2.07
,,2019 - 2020,2.29
,,2020 - 2021,1.37
,,2021 - 2022,1.74
,,2022 - 2023,1.64
,Dewas,2000 - 2001,0.88
,,2001 - 2002,1.05
,,2002 - 2003,1.09
,,2003 - 2004,1.05
,,2004 - 2005,1.11
,,2005 - 2006,1.18
,,2006 - 2007,1.3
,,2007 - 2008,1.12
,,2008 - 2009,1.14
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.11
,,2012 - 2013,1.51
,,2013 - 2014,0.7
,,2014 - 2015,1.7
,,2015 - 2016,1.15
,,2016 - 2017,1.5
,,2017 - 2018,1.8
,,2018 - 2019,1.3
,,2019 - 2020,1.41
,,2020 - 2021,1.89
,,2021 - 2022,1.68
,,2022 - 2023,1.98
,Dhar,2000 - 2001,0.4
,,2001 - 2002,0.69
,,2002 - 2003,0.63
,,2003 - 2004,0.7
,,2004 - 2005,0.83
,,2005 - 2006,0.87
,,2006 - 2007,1.02
,,2007 - 2008,1.01
,,2008 - 2009,0.98
,,2009 - 2010,
,,2010 - 2011,1.06
,,2011 - 2012,1.02
,,2012 - 2013,1.22
,,2013 - 2014,1.14
,,2014 - 2015,1.03
,,2015 - 2016,1.05
,,2016 - 2017,1.14
,,2017 - 2018,1.55
,,2018 - 2019,0.76
,,2019 - 2020,1.51
,,2020 - 2021,1.57
,,2021 - 2022,1.32
,,2022 - 2023,1.47
,Dindori,2000 - 2001,0.42
,,2001 - 2002,0.56
,,2002 - 2003,0.58
,,2003 - 2004,0.57
,,2004 - 2005,0.67
,,2005 - 2006,0.49
,,2006 - 2007,0.55
,,2007 - 2008,0.4
,,2008 - 2009,0.53
,,2009 - 2010,
,,2010 - 2011,0.17
